pXC50,Mp,C.,Mv,H.,Mi,nBM,nDB,AMW,nCsp2
9.398,0.597,29.4,0.534,60.8,1.143,0,0,5.991,0
7.119,0.601,27.8,0.545,58.3,1.144,0,0,6.539,0
7.538,0.6,28.2,0.542,59.0,1.144,0,0,6.395,0
8.357,0.599,28.6,0.54,59.5,1.144,0,0,6.273,0
8.222,0.61,30.0,0.554,57.5,1.14,0,0,6.536,0
8.398,0.608,30.2,0.551,58.1,1.14,0,0,6.406,0
7.721,0.641,35.0,0.591,52.5,1.13,6,0,7.086,6
8.523,0.637,34.9,0.585,53.5,1.131,6,0,6.918,6
6.699,0.6,28.3,0.552,56.5,1.146,1,1,6.663,1
7.921,0.63,32.7,0.59,51.0,1.139,7,1,7.255,7
7.523,0.635,34.0,0.593,51.1,1.134,7,1,7.244,7
6.602,0.599,28.8,0.547,57.7,1.146,1,1,6.433,1
6.347,0.605,29.4,0.562,54.9,1.144,1,1,6.834,1
7.222,0.563,26.1,0.536,56.5,1.157,0,0,6.4,0
7.523,0.563,26.1,0.536,56.5,1.157,0,0,6.4,0
5.565,0.571,28.8,0.529,59.6,1.149,0,0,5.874,0
4.604,0.571,28.8,0.529,59.6,1.149,0,0,5.874,0
4.943,0.6,31.1,0.548,58.1,1.14,1,1,6.24,1
7.495,0.571,28.8,0.529,59.6,1.149,0,0,5.874,0
5.579,0.572,29.1,0.528,60.0,1.149,0,0,5.809,0
6.553,0.577,30.4,0.522,62.0,1.146,0,0,5.465,0
7.499,0.572,29.1,0.528,60.0,1.149,0,0,5.809,0
8.367,0.577,30.4,0.522,62.0,1.146,0,0,5.465,0
6.886,0.571,28.8,0.529,59.6,1.149,0,0,5.874,0
6.181,0.577,30.4,0.522,62.0,1.146,0,0,5.465,0
4.959,0.6,33.3,0.553,57.1,1.141,1,1,6.041,1
5.11,0.646,35.3,0.607,49.0,1.143,12,0,7.391,9
4.684,0.628,34.7,0.598,49.0,1.146,12,0,7.03,9
5.215,0.621,33.3,0.59,50.0,1.149,12,0,6.926,9
5.167,0.649,39.0,0.616,47.5,1.135,18,0,7.128,15
4.916,0.646,34.0,0.624,44.7,1.146,12,0,8.104,9
4.507,0.646,34.7,0.615,46.9,1.145,12,0,7.733,9
4.726,0.654,38.8,0.628,44.9,1.137,18,0,7.479,15
5.111,0.628,34.8,0.62,43.5,1.161,12,0,7.966,9
5.366,0.635,35.6,0.601,48.9,1.145,12,0,6.988,9
4.998,0.635,35.6,0.601,48.9,1.145,12,0,6.988,9
4.538,0.659,35.7,0.628,45.2,1.144,12,0,7.973,9
5.198,0.659,35.7,0.628,45.2,1.144,12,0,7.973,9
5.967,0.631,34.8,0.604,47.8,1.146,12,0,7.183,9
5.084,0.631,34.8,0.604,47.8,1.146,12,0,7.183,9
5.699,0.634,34.9,0.61,46.5,1.147,12,0,7.358,9
4.664,0.657,39.6,0.628,45.3,1.135,18,0,7.406,15
6.481,0.624,34.5,0.588,50.9,1.145,12,0,6.773,9
4.503,0.653,39.3,0.622,46.4,1.135,18,0,7.26,15
5.476,0.627,34.8,0.629,41.3,1.168,12,0,8.357,9
5.815,0.625,34.0,0.6,48.0,1.147,12,0,7.209,9
5.577,0.625,34.7,0.621,42.9,1.167,12,0,8.131,9
5.654,0.653,39.3,0.622,46.4,1.135,18,0,7.26,15
6.137,0.654,34.9,0.63,44.2,1.146,12,0,8.159,9
6.018,0.646,34.7,0.615,46.9,1.145,12,0,7.733,9
5.463,0.643,34.6,0.609,48.1,1.144,12,0,7.557,9
4.783,0.639,35.7,0.608,47.6,1.145,12,0,7.153,9
5.983,0.64,34.5,0.603,49.1,1.144,12,0,7.399,9
5.975,0.634,38.6,0.582,54.4,1.132,12,1,6.203,10
5.611,0.652,40.0,0.611,49.2,1.132,18,1,6.841,14
4.321,0.631,34.8,0.604,47.8,1.146,12,0,7.183,9
4.148,0.707,45.5,0.672,40.9,1.111,21,3,8.329,19
7.227,0.64,39.3,0.595,51.8,1.131,12,1,6.563,10
6.876,0.635,38.7,0.587,53.2,1.131,12,1,6.381,10
6.54,0.64,39.7,0.589,53.4,1.13,12,1,6.303,10
6.828,0.654,40.9,0.619,47.7,1.128,12,1,7.078,10
6.883,0.693,41.9,0.67,39.5,1.12,20,3,8.638,16
4.777,0.575,28.6,0.581,47.6,1.149,0,0,7.722,0
5.302,0.711,40.0,0.673,40.0,1.119,20,3,8.945,15
4.873,0.716,46.3,0.684,39.0,1.109,21,3,8.596,19
5.889,0.766,44.7,0.725,34.2,1.103,20,3,10.34,17
4.547,0.732,43.9,0.689,39.0,1.107,20,3,9.085,17
6.824,0.615,34.9,0.585,51.2,1.139,7,1,6.846,7
8.678,0.628,33.8,0.591,50.7,1.138,14,3,7.165,11
6.301,0.661,36.8,0.621,47.4,1.128,13,2,7.748,10
8.62,0.641,34.6,0.608,48.1,1.135,13,2,7.606,10
4.328,0.558,25.0,0.543,54.2,1.159,0,0,6.8,0
6.959,0.563,26.1,0.536,56.5,1.157,0,0,6.4,0
5.678,0.565,26.9,0.533,57.7,1.155,0,0,6.201,0
4.097,0.574,29.4,0.521,61.8,1.149,0,0,5.509,0
5.056,0.559,25.0,0.54,55.0,1.16,0,0,6.659,0
4.027,0.599,33.3,0.551,57.6,1.141,1,1,5.979,1
5.405,0.635,35.6,0.601,48.9,1.145,12,0,6.988,9
5.175,0.659,35.7,0.628,45.2,1.144,12,0,7.973,9
5.622,0.657,34.8,0.614,47.8,1.14,12,0,7.533,9
5.31,0.625,34.0,0.6,48.0,1.147,12,0,7.209,9
5.056,0.631,34.8,0.604,47.8,1.146,12,0,7.183,9
4.609,0.672,39.5,0.631,46.5,1.123,15,3,7.732,13
7.523,0.643,39.6,0.6,50.9,1.13,12,1,6.67,10
4.658,0.693,41.9,0.67,39.5,1.12,20,3,8.638,16
7.142,0.72,40.5,0.685,38.1,1.118,20,3,9.25,15
6.747,0.638,39.3,0.585,54.1,1.13,12,1,6.223,10
4.333,0.654,34.9,0.63,44.2,1.146,12,0,8.159,9
4.301,0.747,50.0,0.698,39.3,1.097,13,1,8.619,13
6.26,0.644,39.5,0.62,46.5,1.13,12,1,7.358,11
6.523,0.573,29.4,0.525,60.8,1.148,0,0,5.676,0
4.745,0.6,33.3,0.556,56.7,1.141,1,1,6.109,1
5.824,0.577,28.6,0.556,53.6,1.152,0,0,6.759,0
6.432,0.657,39.6,0.628,45.3,1.135,18,0,7.406,15
5.636,0.634,34.9,0.61,46.5,1.147,12,0,7.358,9
6.383,0.65,34.8,0.622,45.7,1.145,12,0,7.932,9
6.114,0.628,34.7,0.598,49.0,1.146,12,0,7.03,9
4.337,0.581,30.6,0.536,59.2,1.146,1,1,5.866,1
5.053,0.563,26.1,0.536,56.5,1.157,0,0,6.4,0
6.0,0.576,28.0,0.562,52.0,1.153,0,0,7.008,0
6.699,0.593,32.8,0.546,58.2,1.141,0,0,5.935,0
5.0,0.668,42.5,0.647,42.5,1.126,17,0,7.784,13
5.783,0.621,36.1,0.597,49.2,1.136,9,2,7.124,8
6.456,0.644,40.0,0.622,46.2,1.127,15,2,7.424,14
4.301,0.753,42.9,0.703,37.1,1.114,20,0,9.356,13
4.301,0.672,44.4,0.643,44.4,1.119,16,4,7.476,14
5.602,0.619,34.2,0.625,42.1,1.141,8,2,8.219,8
5.311,0.628,36.1,0.62,44.4,1.138,7,1,7.786,7
5.43,0.637,37.5,0.627,43.8,1.135,7,1,7.821,7
4.505,0.554,23.8,0.548,52.4,1.162,0,0,7.103,0
4.533,0.554,24.0,0.55,52.0,1.161,0,0,7.168,0
7.6,0.558,24.0,0.534,56.0,1.165,0,0,6.489,0
