pXC50,N.070,nArNHR,ATS6m,IDMT,LPRS,ATSC8m,ATS7v,Eig11_EA.ri.,ON0,X0,ATS7p,ATS7s,Psi_i_0,GMTI,IDET,SMTI,IAC,TIC0,Eig10_AEA.dm.,PHI,ATS8s,ATSC8i,Eta_epsi,S1K,AECC,MSD,HVcpx,ON1,Dz,SpMax8_Bh.s.,ATSC6i,ATSC7i,X0sol,Eig09_EA.ri.,Sv,Psi_e_0,X2,GMTIV,Chi0_EA.ri.,IDE,Chi1_EA.ri.,ATS8e,ICR,SMTIV,Eta_C,DECC,SpMin3_Bh.m.,SpAD_AEA.dm.,Eta_alpha,S0K,Eta_betaS,SAtot,Eig09_EA,SM03_AEA.dm.,Eig06_AEA.dm.,ATSC7p,ATS5v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,X1,Eig11_AEA.dm.,HDcpx,IDM,Sp,SpMaxA_AEA.ri.
4.5,0,0,1.709,1348.09,45.621,2.369,1.285,-1.2,6.167,8.836,1.457,3.356,9.334,1084.0,191.066,1072.0,33.019,33.019,-0.87,1.398,2.565,0.085,12.567,7.361,5.231,3.18,2.471,2.75,27.0,2.339,0.257,0.134,9.19,-0.823,14.81,4.779,5.945,2894.0,9.247,2.45,7.955,2.018,1.95,1823.0,7.64,0.899,1.375,23.183,6.633,48.106,8.25,203.014,-0.851,-0.851,0.912,0.876,2.511,8.947,8.947,8.947,8.947,8.947,6.343,-1.307,1.487,6.1,15.943,0.28
5.0,0,0,4.1,17189.3,139.301,15.059,3.494,0.8,14.667,19.836,3.576,5.546,18.782,9437.0,1337.15,9030.0,74.755,74.755,1.524,5.174,5.329,0.837,28.133,19.037,10.857,6.335,3.35,6.028,62.167,4.358,1.044,0.955,19.449,1.347,29.022,10.378,12.589,40448.0,19.305,3.537,16.502,3.952,2.901,18837.0,22.586,1.745,1.807,51.825,13.867,128.606,18.0,434.149,1.415,1.415,2.8,5.842,3.841,18.654,18.654,18.654,18.654,18.654,13.436,1.309,1.711,8.312,29.517,0.138
5.0,1,0,4.131,14929.7,131.774,20.115,3.635,0.489,15.25,19.767,3.632,6.303,18.068,7608.0,1202.48,7624.0,85.36,85.36,1.238,5.406,5.865,1.03,29.781,19.589,10.0,5.899,3.28,5.861,61.833,4.502,1.433,1.35,18.777,1.113,28.677,10.447,12.312,31568.0,17.991,3.426,15.1,4.354,2.718,15673.0,21.809,1.556,1.877,47.401,12.819,126.382,17.25,434.639,1.127,1.127,2.628,7.11,3.796,17.508,17.508,17.508,17.508,17.508,12.731,0.882,1.706,8.23,29.091,0.148
6.3,0,0,3.426,6627.37,92.691,11.769,3.268,0.321,10.167,14.397,3.337,5.151,14.815,4274.0,649.197,4040.0,54.222,54.222,0.752,2.722,4.959,0.626,21.267,12.419,7.81,4.785,3.002,4.556,45.0,3.436,0.857,0.758,14.397,0.741,23.434,7.693,9.328,11108.0,14.999,3.091,12.455,3.965,2.453,6618.0,12.971,1.17,1.797,37.128,9.933,92.239,14.75,320.369,0.763,0.763,1.532,4.676,3.524,14.541,14.541,14.541,14.541,14.541,10.258,0.347,1.636,7.497,24.284,0.177
5.0,0,0,3.757,14195.1,127.048,8.904,3.485,0.714,12.0,17.51,3.532,5.303,18.24,8952.0,1149.49,8108.0,63.315,63.315,1.31,3.61,5.121,0.762,25.167,15.354,10.731,6.261,3.413,5.528,55.5,3.743,0.988,0.968,17.863,1.312,27.917,9.512,11.732,24672.0,18.546,3.537,15.729,4.023,2.902,13651.0,16.575,1.675,1.724,48.245,12.633,122.211,17.5,388.113,1.365,1.365,2.209,4.658,3.618,18.049,18.049,18.049,18.049,18.049,12.759,0.964,1.689,8.088,28.972,0.135
5.77,0,0,3.621,8611.62,104.624,18.592,3.508,0.449,11.833,16.137,3.616,5.519,15.992,5166.0,792.445,4956.0,62.621,62.621,0.819,3.112,5.26,0.775,24.067,14.182,8.043,4.958,3.012,4.861,50.0,3.737,1.06,1.019,16.137,0.964,25.477,8.444,10.627,14062.0,15.732,3.132,13.432,4.324,2.442,8299.0,16.793,1.18,1.839,40.431,10.733,102.042,15.75,366.651,1.015,1.015,1.815,5.868,3.674,15.378,15.378,15.378,15.378,15.378,11.042,0.536,1.663,7.772,26.296,0.166
5.0,0,0,4.265,67410.3,239.147,42.617,4.276,1.41,20.5,28.606,4.386,6.216,29.822,33017.0,3558.6,31085.0,125.561,125.561,2.029,10.415,6.094,1.914,46.767,29.679,18.659,10.427,4.128,9.139,89.0,4.286,2.283,2.115,28.606,1.695,49.47,15.239,17.611,72394.0,29.056,4.34,23.635,5.196,3.647,46350.0,42.849,3.243,1.999,67.816,19.233,205.66,28.0,755.002,1.812,1.812,2.595,14.519,4.425,28.093,28.093,28.093,28.093,28.093,19.996,1.7,1.801,9.376,52.557,0.092
6.03,0,2,4.156,48931.0,209.085,41.493,4.205,1.278,19.667,26.468,4.337,6.073,26.502,24047.0,2792.67,23005.0,117.093,117.093,1.615,8.705,6.039,1.843,41.667,27.337,16.351,9.572,3.948,7.861,80.0,4.255,1.832,1.916,26.718,1.581,44.362,13.95,17.312,57016.0,24.832,4.193,20.944,5.076,3.422,35731.0,36.06,2.793,1.955,60.566,17.733,175.995,24.0,694.546,1.625,1.625,2.666,13.852,4.214,24.159,24.159,24.159,24.159,24.159,17.571,1.465,1.776,9.083,47.466,0.11
6.02,0,0,3.804,19263.3,142.529,18.187,3.752,0.956,13.667,19.347,3.841,5.597,19.632,10784.0,1418.13,10198.0,72.918,72.918,1.318,5.448,5.489,1.051,27.633,18.33,12.286,7.218,3.561,6.278,59.0,3.826,1.195,1.168,19.7,1.309,31.675,10.281,11.851,29751.0,19.808,3.752,15.815,4.411,3.067,17078.0,19.057,2.265,1.936,49.301,13.767,132.606,17.25,466.205,1.348,1.348,1.95,7.871,3.83,19.438,19.438,19.438,19.438,19.438,13.742,1.087,1.707,8.285,33.455,0.131
5.0,0,0,3.841,31334.0,172.898,16.236,3.67,1.069,17.75,23.303,3.684,6.22,20.963,15376.0,1989.05,15123.0,94.33,94.33,1.433,7.36,5.663,1.053,35.129,23.544,14.281,8.626,3.763,6.972,73.833,4.739,1.273,1.129,21.303,1.315,33.422,12.345,14.506,65351.0,21.506,4.01,17.916,4.383,3.254,31467.0,23.394,2.451,1.896,52.199,14.671,151.245,21.0,514.074,1.412,1.412,2.575,6.854,3.811,20.806,20.806,20.806,20.806,20.806,15.151,1.187,1.738,8.658,33.148,0.125
5.0,0,1,4.3,32631.5,178.143,32.202,3.938,1.051,17.167,23.372,4.07,5.861,23.249,16711.0,2097.49,15991.0,105.106,105.106,1.578,7.884,5.736,1.324,36.186,23.984,14.515,8.272,3.77,7.278,71.833,4.037,1.578,1.499,24.225,1.433,37.862,12.193,14.445,48685.0,23.048,3.973,19.239,4.729,3.242,27529.0,31.371,2.349,1.843,54.91,16.014,157.71,22.75,599.738,1.484,1.484,2.486,11.075,4.099,22.195,22.195,22.195,22.195,22.195,15.923,1.558,1.749,8.765,40.068,0.11
6.1,0,0,3.307,4672.51,77.189,8.426,2.917,-0.508,8.667,12.372,3.061,4.739,12.704,3172.0,486.785,3020.0,49.281,49.281,0.347,3.369,4.403,0.373,17.7,11.785,8.056,5.048,3.049,3.944,38.0,3.1,0.464,0.406,13.079,0.304,20.239,6.636,7.869,9674.0,12.866,3.182,10.768,3.429,2.461,5391.0,11.883,1.284,1.557,30.0,9.3,75.059,11.25,304.931,0.347,0.347,1.395,3.454,2.988,12.378,12.378,12.378,12.378,12.378,8.81,0.152,1.581,7.005,21.807,0.195
5.0,0,1,4.272,14907.7,131.576,26.345,3.784,0.587,14.833,19.552,3.795,5.983,18.167,7560.0,1184.36,7581.0,85.632,85.632,1.579,6.34,5.806,1.017,29.167,20.044,9.815,5.818,3.224,6.028,60.583,4.248,1.235,1.128,20.181,1.223,29.154,10.009,11.669,31134.0,18.585,3.374,15.422,4.555,2.658,15494.0,24.068,1.317,1.738,47.308,13.433,128.382,18.0,470.565,1.377,1.377,2.668,7.214,3.785,17.922,17.922,17.922,17.922,17.922,12.918,1.217,1.709,8.245,29.864,0.147
8.509,0,0,4.686,24785.1,176.229,47.876,4.58,1.418,16.583,23.637,4.709,6.463,25.55,14300.0,1821.68,12834.0,92.203,92.203,1.901,3.859,6.201,2.232,36.2,20.312,8.057,5.059,2.956,7.347,75.0,4.076,3.117,2.864,23.637,1.703,40.025,13.078,16.322,32464.0,25.037,3.062,21.485,5.314,2.248,19467.0,38.341,0.986,1.955,68.73,16.6,177.525,24.75,507.97,1.766,1.766,2.678,21.781,4.794,24.479,24.479,24.479,24.479,24.479,17.08,1.705,1.784,9.056,41.762,0.113
7.149,0,0,4.038,28585.6,169.78,32.436,3.982,1.188,17.0,22.828,4.053,6.049,22.41,15023.0,1916.02,14279.0,98.652,98.652,1.951,6.767,6.219,1.494,36.281,22.679,13.219,7.755,3.644,6.944,71.5,4.083,1.624,1.529,21.957,1.619,36.65,11.977,14.264,43244.0,21.716,3.863,18.022,4.921,3.082,24393.0,31.146,2.219,1.852,55.464,14.719,156.0,21.25,558.306,1.639,1.639,2.546,10.501,4.069,21.223,21.223,21.223,21.223,21.223,15.329,1.554,1.743,8.683,37.915,0.121
4.5,0,1,2.427,2618.89,61.927,3.585,2.115,-0.856,7.667,10.958,2.339,3.989,11.173,1856.0,312.203,1804.0,38.886,38.886,-0.186,2.065,2.996,0.131,15.767,9.278,5.75,3.602,2.594,3.5,34.0,3.222,0.393,0.253,10.958,-0.105,17.865,5.888,6.962,4944.0,11.15,2.602,9.045,2.554,1.805,3020.0,7.983,0.781,1.349,27.812,7.633,62.0,10.25,247.306,-0.109,-0.109,1.358,2.328,3.139,11.069,11.069,11.069,11.069,11.069,7.843,-0.802,1.559,6.732,18.512,0.226
6.538,0,0,3.475,9238.71,106.314,11.964,3.28,0.618,10.833,15.648,3.392,5.114,16.561,5727.0,817.862,5381.0,59.604,59.604,1.0,3.749,5.073,0.743,23.9,14.267,8.217,5.368,3.049,5.139,49.0,3.345,1.111,0.763,15.648,0.945,26.289,8.479,9.78,13930.0,16.506,3.233,13.317,4.06,2.392,8528.0,18.157,1.338,1.86,41.503,10.9,100.042,15.5,384.706,1.0,1.0,1.721,4.675,3.777,16.215,16.215,16.215,16.215,16.215,11.365,0.737,1.66,7.757,27.603,0.159
5.0,0,1,4.487,56274.5,227.222,42.208,4.376,1.314,21.0,28.485,4.435,6.404,27.684,26029.0,3188.76,25305.0,113.135,113.135,2.123,10.068,6.311,1.79,42.086,29.007,15.75,8.962,3.876,9.056,86.333,4.416,1.956,1.965,28.985,1.744,45.422,14.727,17.013,75280.0,27.862,4.088,22.361,5.1,3.383,43287.0,34.223,2.538,1.919,67.325,19.114,208.877,26.0,711.879,1.815,1.815,2.787,13.007,4.343,27.101,27.101,27.101,27.101,27.101,19.372,2.053,1.803,9.348,47.392,0.097
5.65,0,0,4.013,22407.8,154.477,30.777,3.904,0.983,15.667,21.25,3.992,5.855,21.013,12062.0,1608.53,11474.0,92.467,92.467,1.564,6.487,5.886,1.34,32.852,21.378,11.767,7.009,3.52,6.528,65.667,4.324,1.357,1.286,21.38,1.34,34.128,11.117,13.223,37175.0,20.687,3.698,17.389,4.731,2.94,20405.0,28.716,1.916,1.903,51.399,14.548,143.207,19.75,520.968,1.414,1.414,2.472,9.058,3.981,20.068,20.068,20.068,20.068,20.068,14.436,1.077,1.728,8.51,35.75,0.124
6.2,0,0,3.877,11165.2,117.32,21.544,3.664,0.671,12.833,17.552,3.722,5.869,17.312,6415.0,967.357,6157.0,73.667,73.667,1.186,3.996,5.592,0.791,27.633,16.148,8.6,5.245,3.091,5.472,56.0,4.008,1.238,1.084,17.552,1.096,27.235,9.221,11.013,18821.0,17.437,3.225,14.4,4.488,2.519,10724.0,20.268,1.344,1.81,44.062,11.367,116.096,18.25,398.846,1.133,1.133,1.902,5.941,3.87,17.008,17.008,17.008,17.008,17.008,12.097,0.825,1.687,8.021,27.762,0.154
6.0,0,0,4.163,36183.0,193.699,26.695,4.201,1.509,18.083,25.026,4.274,5.936,25.423,19352.0,2374.53,17874.0,84.218,84.218,1.695,4.95,6.007,1.635,34.867,22.074,12.778,7.32,3.596,7.653,75.5,4.141,1.689,1.679,25.026,1.586,40.563,13.291,16.443,48630.0,24.703,3.769,20.579,4.9,3.051,28481.0,28.947,1.988,2.031,67.704,17.333,180.117,23.5,572.755,1.618,1.618,2.742,10.54,4.309,24.411,24.411,24.411,24.411,24.411,17.369,1.618,1.778,9.053,42.336,0.107
5.6,0,1,4.13,29368.7,174.58,33.506,4.009,1.071,16.5,22.949,4.112,5.951,23.779,15946.0,1993.8,14837.0,96.588,96.588,1.508,6.135,5.853,1.459,36.133,21.998,12.697,7.385,3.56,7.167,71.5,3.946,1.823,1.643,22.949,1.587,38.374,12.313,14.583,37061.0,22.934,3.776,19.014,4.939,3.021,22815.0,32.132,1.925,1.86,57.616,15.467,158.465,23.0,562.702,1.579,1.579,2.726,9.921,4.264,22.482,22.482,22.482,22.482,22.482,16.025,1.412,1.752,8.78,40.324,0.118
5.0,0,1,4.12,45020.9,201.777,28.205,4.063,1.276,17.667,24.907,4.197,5.882,25.904,23949.0,2629.52,22116.0,101.608,101.608,1.795,7.711,5.832,1.47,37.633,24.572,16.667,9.392,3.996,7.833,76.0,3.913,1.685,1.669,25.261,1.624,42.352,13.307,15.845,56104.0,25.183,4.174,20.793,4.807,3.51,34149.0,30.923,2.722,1.951,60.427,17.567,178.117,23.75,626.853,1.719,1.719,2.445,12.794,4.17,24.549,24.549,24.549,24.549,24.549,17.53,1.509,1.769,9.002,45.273,0.098
7.385,0,0,4.281,39940.0,197.391,40.207,4.337,1.329,18.0,25.07,4.463,6.186,25.778,20863.0,2473.04,19451.0,98.357,98.357,1.566,7.19,6.018,1.941,38.033,24.262,14.139,8.169,3.681,7.861,76.5,4.131,1.978,2.119,25.07,1.659,42.385,13.343,15.775,47913.0,24.952,3.925,20.467,5.154,3.155,29678.0,30.662,2.179,1.997,61.273,17.167,174.117,23.75,626.71,1.732,1.732,2.444,15.806,4.315,24.499,24.499,24.499,24.499,24.499,17.491,1.396,1.774,9.034,44.836,0.107
5.0,0,0,4.52,94747.1,277.171,45.289,4.422,1.587,23.083,32.097,4.472,6.584,32.375,46200.0,4596.73,42766.0,136.718,136.718,2.35,10.07,6.46,2.366,51.429,32.235,20.217,11.185,4.232,10.111,103.0,4.624,2.488,2.589,30.357,1.867,52.097,17.28,20.088,129162.0,32.28,4.441,26.493,5.262,3.754,71800.0,46.072,3.28,1.976,79.08,21.171,245.329,30.75,767.721,1.989,1.989,2.927,16.613,4.459,31.349,31.349,31.349,31.349,31.349,22.341,2.313,1.829,9.714,53.569,0.092
5.0,0,0,4.368,45852.4,210.842,41.697,4.281,1.331,20.083,27.026,4.346,6.281,26.503,22818.0,2772.43,21602.0,117.578,117.578,1.983,7.607,6.332,2.434,42.143,26.826,14.0,8.21,3.737,8.028,85.0,4.62,2.313,2.187,24.88,1.746,42.722,14.647,17.739,68915.0,25.903,3.944,22.329,5.093,3.249,37959.0,38.98,2.316,1.95,64.755,17.857,190.666,25.5,622.201,1.894,1.894,2.775,13.693,4.328,25.004,25.004,25.004,25.004,25.004,18.096,1.499,1.789,9.202,44.296,0.102
6.577,0,0,4.153,33647.9,182.986,44.144,4.27,1.057,17.667,24.079,4.409,6.093,24.414,16678.0,2175.75,16131.0,99.209,99.209,1.685,7.824,6.12,1.991,37.333,24.198,13.5,7.819,3.695,7.556,73.0,4.207,2.01,2.071,24.079,1.539,40.406,12.638,14.737,41855.0,23.298,3.878,18.738,5.236,3.257,25792.0,34.026,2.176,1.885,59.698,16.067,166.974,22.25,620.991,1.55,1.55,2.54,15.464,4.261,22.955,22.955,22.955,22.955,22.955,16.44,1.656,1.762,8.878,42.841,0.111
5.0,0,0,4.112,34684.5,184.239,29.803,4.024,1.214,17.667,24.079,4.096,5.988,23.479,17564.0,2211.08,16807.0,100.075,100.075,1.827,7.824,5.849,1.381,36.7,24.198,13.882,8.16,3.74,7.722,75.0,4.234,1.573,1.482,24.432,1.495,38.115,12.504,14.365,54100.0,24.349,3.941,19.529,4.825,3.282,29673.0,28.055,2.256,1.822,56.017,16.1,172.974,22.75,591.951,1.588,1.588,2.549,10.886,4.144,23.281,23.281,23.281,23.281,23.281,16.516,1.471,1.758,8.859,39.557,0.111
6.456,0,0,3.443,13891.0,123.075,14.848,3.496,0.863,11.833,17.062,3.628,5.309,17.912,8527.0,1101.36,7883.0,66.256,66.256,1.146,4.53,5.085,0.767,25.867,15.915,11.68,6.868,3.504,5.528,53.0,3.674,0.972,0.962,17.062,1.0,29.015,9.239,10.661,20263.0,17.65,3.671,14.164,4.195,2.919,12265.0,17.41,1.904,1.941,42.775,11.933,105.342,16.0,413.221,1.0,1.0,1.838,6.932,3.635,17.413,17.413,17.413,17.413,17.413,12.31,1.0,1.672,7.942,30.569,0.144
7.1,0,1,3.821,16517.3,134.659,13.325,3.355,0.715,15.25,19.767,3.348,5.662,17.526,8604.0,1272.16,8515.0,82.243,82.243,1.238,4.934,5.69,0.783,29.695,18.92,11.074,6.705,3.394,5.722,63.0,4.741,1.1,0.9,18.277,1.219,27.334,10.298,12.62,38044.0,17.762,3.624,15.122,4.157,2.908,18059.0,17.715,1.786,1.514,47.088,12.305,116.382,17.75,405.579,1.258,1.258,2.528,3.884,3.54,17.264,17.264,17.264,17.264,17.264,12.664,1.0,1.698,8.189,26.966,0.146
7.796,0,0,4.134,31733.1,181.178,34.65,4.132,1.339,17.333,23.819,4.21,6.066,24.418,16694.0,2100.97,15690.0,97.072,97.072,1.701,6.259,6.165,1.697,36.733,22.788,11.971,7.325,3.55,7.333,73.0,4.003,1.842,1.692,23.819,1.586,39.88,12.648,15.265,38621.0,23.371,3.745,19.479,5.007,2.938,24070.0,31.886,1.74,1.928,59.924,16.067,170.974,23.25,578.68,1.65,1.65,2.469,11.491,4.224,22.93,22.93,22.93,22.93,22.93,16.419,1.49,1.762,8.886,42.08,0.113
5.8,0,0,0.549,1037.22,40.393,0.0,0.13,-1.656,6.333,8.552,0.255,1.099,8.008,747.0,146.078,801.0,31.877,31.877,-1.129,1.679,0.0,0.0,12.152,7.466,4.333,2.923,2.281,2.667,26.333,1.872,0.084,0.017,9.052,-1.076,12.639,4.377,5.144,3136.0,8.266,2.213,6.76,0.0,1.459,1697.0,5.903,0.667,1.078,20.775,5.848,43.02,8.0,197.369,-1.303,-1.303,0.894,0.281,2.099,8.052,8.052,8.052,8.052,8.052,5.788,-1.465,1.465,5.893,12.847,0.313
5.6,0,0,4.655,6576.92,92.538,247.445,3.305,-0.121,12.917,15.947,3.665,5.309,14.73,3422.0,641.953,3608.0,58.842,58.842,0.122,5.8,4.85,0.399,19.481,18.123,7.762,4.718,2.95,4.444,42.3,3.467,0.766,0.518,20.947,0.138,25.328,7.744,9.785,16640.0,13.61,3.057,12.226,3.579,2.416,8032.0,30.014,1.224,1.642,36.091,14.119,72.239,11.5,479.906,0.339,0.339,2.098,10.881,3.83,12.911,12.911,12.911,12.911,12.911,9.641,0.122,1.637,7.508,30.023,0.206
6.0,0,0,3.975,29889.4,171.182,26.318,3.889,1.035,16.333,22.501,3.996,5.727,22.404,15476.0,1967.36,14825.0,86.227,86.227,1.24,6.818,5.635,1.296,32.333,21.978,14.406,8.203,3.774,7.139,67.5,4.133,1.434,1.324,22.855,1.511,36.75,11.757,13.788,41095.0,22.23,3.966,17.918,4.638,3.296,24325.0,24.75,2.369,1.891,53.408,15.667,154.0,20.0,546.091,1.584,1.584,2.415,8.613,4.016,21.8,21.8,21.8,21.8,21.8,15.546,1.229,1.741,8.666,38.983,0.121
5.6,0,0,3.546,12817.5,121.005,11.582,3.315,0.124,13.583,18.027,3.312,5.975,16.539,7007.0,1041.29,6873.0,69.074,69.074,1.057,4.495,5.357,0.84,27.11,17.032,9.76,6.173,3.289,5.306,57.5,4.116,1.0,0.86,15.527,1.043,26.111,9.711,11.705,26816.0,16.677,3.471,14.194,4.05,2.661,13675.0,16.614,1.488,1.725,41.118,11.29,111.342,16.5,381.086,1.112,1.112,2.068,4.594,3.551,16.212,16.212,16.212,16.212,16.212,11.826,0.6,1.679,7.981,25.858,0.154
4.5,0,0,1.745,1085.04,40.969,0.951,0.961,-1.692,6.333,8.552,1.025,3.651,8.264,791.0,158.282,839.0,34.954,34.954,-1.004,1.643,1.386,0.014,13.067,7.405,4.917,3.131,2.421,2.611,26.5,2.111,0.168,0.058,8.552,-1.019,13.359,4.394,5.357,2395.0,8.086,2.398,6.636,1.298,1.855,1530.0,7.091,0.778,1.447,20.153,5.533,43.02,8.0,206.138,-1.0,-1.0,0.762,0.339,2.371,7.947,7.947,7.947,7.947,7.947,5.754,-1.413,1.459,5.865,13.756,0.299
