pXC50,Se,Si,nAT,Sv,Sp,nBT,nH,nC,N.,MW,RBN,Mp,Me,nSK,nDB,nAB,AMW,SCBO,nBO,O.,nCsp2,nO,nBM,nX,nF,RBF,X.,C.
8.721,72.316,81.81,73,44.363,47.529,75,37,31,1.4,487.69,11,0.651,0.991,36,2,18,6.681,49.0,38,5.5,20,4,20,0,0,0.147,0.0,42.5
8.481,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
8.796,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
8.26,69.432,78.394,70,42.836,45.767,72,35,30,1.4,473.66,11,0.654,0.992,35,2,18,6.767,48.0,37,5.7,20,4,20,0,0,0.153,0.0,42.9
8.538,69.756,78.338,70,43.664,46.625,72,34,30,1.4,508.1,11,0.666,0.997,36,2,18,7.259,49.0,38,5.7,20,4,20,1,0,0.153,1.4,42.9
8.137,73.643,83.019,74,45.078,47.983,76,37,31,1.4,503.69,12,0.648,0.995,37,2,18,6.807,50.0,39,6.8,20,5,20,0,0,0.158,0.0,41.9
8.268,71.534,80.893,72,43.858,46.773,74,36,30,2.8,488.68,11,0.65,0.994,36,2,18,6.787,49.0,38,5.6,19,4,20,0,0,0.149,0.0,41.7
7.409,66.549,74.979,67,41.309,44.006,69,33,29,1.5,459.63,10,0.657,0.993,34,2,18,6.86,47.0,36,6.0,20,4,20,0,0,0.145,0.0,43.3
8.77,75.199,85.225,76,45.89,49.29,78,39,32,1.3,501.72,11,0.649,0.989,37,2,18,6.602,50.0,39,5.3,20,4,20,0,0,0.141,0.0,42.1
8.699,68.65,77.477,69,42.331,45.012,71,34,29,2.9,474.65,11,0.652,0.995,35,2,18,6.879,48.0,37,5.8,19,4,20,0,0,0.155,0.0,42.0
8.538,72.316,81.81,73,44.363,47.529,75,37,31,1.4,487.69,10,0.651,0.991,36,2,18,6.681,49.0,38,5.5,20,4,20,0,0,0.133,0.0,42.5
8.42,67.767,76.062,68,42.804,45.25,70,32,30,2.9,484.64,10,0.665,0.997,36,2,18,7.127,51.0,38,5.9,20,4,21,0,0,0.143,0.0,44.1
8.161,68.349,76.947,68,42.383,44.432,70,32,29,2.9,494.63,10,0.653,1.005,36,2,18,7.274,49.0,38,4.4,20,3,20,2,2,0.143,2.9,42.6
7.959,67.574,75.659,67,42.076,43.881,69,31,29,1.5,495.61,10,0.655,1.009,36,2,18,7.397,49.0,38,6.0,20,4,20,2,2,0.145,3.0,43.3
8.569,70.65,79.477,71,44.331,47.012,73,34,31,2.8,498.67,11,0.662,0.995,37,2,18,7.024,52.0,39,5.6,20,4,21,0,0,0.151,0.0,43.7
7.721,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
8.611,75.199,85.225,76,45.89,49.29,78,39,32,1.3,501.72,11,0.649,0.989,37,2,18,6.602,50.0,39,5.3,20,4,20,0,0,0.141,0.0,42.1
8.26,70.207,79.683,71,43.143,46.319,73,36,30,2.8,472.68,10,0.652,0.989,35,2,18,6.657,48.0,37,4.2,20,3,20,0,0,0.137,0.0,42.3
8.357,71.534,80.893,72,43.858,46.773,74,36,30,2.8,488.68,11,0.65,0.994,36,2,18,6.787,49.0,38,5.6,19,4,20,0,0,0.149,0.0,41.7
8.31,68.541,77.351,69,43.111,45.802,71,33,30,4.3,483.66,10,0.664,0.993,36,2,18,7.01,51.0,38,4.3,20,3,21,0,0,0.141,0.0,43.5
8.699,73.09,83.098,74,44.67,48.08,76,38,31,2.7,486.71,10,0.65,0.988,36,2,18,6.577,49.0,38,4.1,20,3,20,0,0,0.132,0.0,41.9
6.0,42.313,45.676,41,29.419,30.114,43,14,20,2.4,406.25,6,0.734,1.032,27,1,18,9.909,39.0,29,7.3,18,3,19,3,1,0.14,7.3,48.8
5.77,61.443,68.026,61,39.938,41.421,65,26,28,3.3,470.56,6,0.679,1.007,35,2,22,7.714,52.0,39,8.2,22,5,24,0,0,0.092,0.0,45.9
5.553,64.327,71.441,64,41.465,43.182,68,28,29,3.1,484.59,6,0.675,1.005,36,2,22,7.572,53.0,40,7.8,22,5,24,0,0,0.088,0.0,45.3
5.0,61.767,67.97,61,40.766,42.279,65,25,28,3.3,505.0,6,0.693,1.013,36,2,22,8.279,53.0,40,8.2,22,5,24,1,0,0.092,1.6,45.9
5.721,61.956,68.366,61,40.322,41.358,65,25,28,3.3,488.55,6,0.678,1.016,36,2,22,8.009,53.0,40,8.2,22,5,24,1,1,0.092,1.6,45.9
5.602,65.654,72.651,65,42.18,43.637,69,28,29,3.1,500.59,7,0.671,1.01,37,2,22,7.701,54.0,41,9.2,22,6,24,0,0,0.101,0.0,44.6
5.444,64.327,71.441,64,41.465,43.182,68,28,29,3.1,484.59,6,0.675,1.005,36,2,22,7.572,53.0,40,7.8,22,5,24,0,0,0.088,0.0,45.3
5.0,61.767,67.97,61,40.766,42.279,65,25,28,3.3,505.0,6,0.693,1.013,36,2,22,8.279,53.0,40,8.2,22,5,24,1,0,0.092,1.6,45.9
5.495,62.28,68.31,61,41.149,42.216,65,24,28,3.3,522.99,6,0.692,1.021,37,2,22,8.574,54.0,41,8.2,22,5,24,2,1,0.092,3.3,45.9
5.553,65.883,73.647,66,42.277,44.489,70,30,30,3.0,482.62,7,0.674,0.998,36,2,22,7.312,53.0,40,6.1,22,4,24,0,0,0.1,0.0,45.5
5.0,56.56,62.611,56,36.412,37.659,59,24,25,3.6,432.51,7,0.672,1.01,32,2,18,7.723,46.0,35,8.9,20,5,20,0,0,0.119,0.0,44.6
6.678,57.963,63.74,57,37.313,38.761,60,24,24,3.5,468.57,8,0.68,1.017,33,3,18,8.221,48.0,36,10.5,19,6,21,0,0,0.133,0.0,42.1
5.0,56.56,62.611,56,36.412,37.659,59,24,25,3.6,432.51,7,0.672,1.01,32,2,18,7.723,46.0,35,8.9,20,5,20,0,0,0.119,0.0,44.6
5.77,59.443,66.026,59,37.938,39.421,62,26,26,3.4,446.54,7,0.668,1.008,33,2,18,7.568,47.0,36,8.5,20,5,20,0,0,0.113,0.0,44.1
6.155,62.327,69.441,62,39.465,41.182,65,28,27,3.2,460.57,8,0.664,1.005,34,2,18,7.429,48.0,37,8.1,20,5,20,0,0,0.123,0.0,43.5
5.0,59.443,66.026,59,37.938,39.421,62,26,26,3.4,446.54,7,0.668,1.008,33,2,18,7.568,47.0,36,8.5,20,5,20,0,0,0.113,0.0,44.1
5.0,62.327,69.441,62,39.465,41.182,65,28,27,3.2,460.57,7,0.664,1.005,34,2,18,7.429,48.0,37,8.1,20,5,20,0,0,0.108,0.0,43.5
5.0,62.327,69.441,62,39.465,41.182,65,28,27,3.2,460.57,7,0.664,1.005,34,2,18,7.429,48.0,37,8.1,20,5,20,0,0,0.108,0.0,43.5
5.0,57.207,62.499,56,38.067,39.375,59,22,25,3.6,501.39,7,0.703,1.022,34,2,18,8.953,48.0,37,8.9,20,5,20,2,0,0.119,3.6,44.6
5.0,57.396,62.895,56,37.622,38.455,59,22,25,3.6,484.94,7,0.687,1.025,34,2,18,8.66,48.0,37,8.9,20,5,20,2,1,0.119,3.6,44.6
5.481,50.131,55.903,50,31.675,33.199,52,23,22,2.0,365.46,7,0.664,1.003,27,2,16,7.309,39.0,29,8.0,16,4,18,0,0,0.135,0.0,44.0
5.241,50.131,55.903,50,31.675,33.199,52,23,22,2.0,365.46,7,0.664,1.003,27,2,16,7.309,39.0,29,8.0,16,4,18,0,0,0.135,0.0,44.0
5.0,53.014,59.318,53,33.202,34.961,55,25,23,1.9,379.49,7,0.66,1.0,28,2,16,7.16,40.0,30,7.5,16,4,18,0,0,0.127,0.0,43.4
5.0,51.458,57.113,51,32.39,33.654,53,23,22,2.0,381.46,7,0.66,1.009,28,2,16,7.48,40.0,30,9.8,16,5,18,0,0,0.132,0.0,43.1
6.125,54.902,59.907,54,36.578,37.347,58,21,26,1.9,443.48,6,0.692,1.017,33,2,22,8.213,50.0,37,11.1,22,6,24,0,0,0.103,0.0,48.1
5.0,48.574,53.697,48,30.863,31.892,50,21,21,2.1,367.43,7,0.664,1.012,27,2,16,7.655,39.0,29,10.4,16,5,18,0,0,0.14,0.0,43.8
5.77,61.956,68.366,61,40.322,41.358,65,25,28,3.3,488.55,6,0.678,1.016,36,2,22,8.009,53.0,40,8.2,22,5,24,1,1,0.092,1.6,45.9
5.0,62.992,70.773,63,38.497,40.699,65,31,26,1.6,437.58,11,0.646,1.0,32,2,16,6.946,44.0,34,7.9,16,5,18,0,0,0.169,0.0,41.3
5.62,60.109,67.358,60,36.971,38.938,62,29,25,1.7,423.55,10,0.649,1.002,31,2,16,7.059,43.0,33,8.3,16,5,18,0,0,0.161,0.0,41.7
5.0,57.225,63.943,57,35.444,37.176,59,27,24,1.8,409.52,9,0.652,1.004,30,2,16,7.185,42.0,32,8.8,16,5,18,0,0,0.153,0.0,42.1
5.0,55.458,61.113,55,36.39,37.654,58,23,26,1.8,429.5,8,0.685,1.008,32,2,22,7.809,48.0,35,9.1,22,5,24,0,0,0.138,0.0,47.3
5.481,57.014,63.318,57,37.202,38.96,60,25,27,1.8,427.53,8,0.684,1.0,32,2,22,7.501,48.0,35,7.0,22,4,24,0,0,0.133,0.0,47.4
5.0,61.876,70.189,62,36.024,38.461,63,33,23,1.6,403.57,13,0.62,0.998,29,3,6,6.509,36.0,30,8.1,10,5,9,0,0,0.206,0.0,37.1
5.0,60.069,67.693,60,35.684,38.347,61,31,22,1.7,421.61,13,0.639,1.001,29,3,6,7.027,36.0,30,8.3,10,5,9,0,0,0.213,0.0,36.7
6.721,60.851,68.61,61,36.19,39.103,62,32,23,0.0,420.62,13,0.641,0.998,29,3,6,6.895,36.0,30,8.2,10,5,9,0,0,0.21,0.0,37.7
5.194,51.418,57.448,51,31.104,33.063,52,25,19,2.0,379.52,11,0.648,1.008,26,3,6,7.442,33.0,27,9.8,10,5,9,0,0,0.212,0.0,37.3
5.553,54.302,60.863,54,32.631,34.824,55,27,20,1.9,393.55,11,0.645,1.006,27,3,6,7.288,34.0,28,9.3,10,5,9,0,0,0.2,0.0,37.0
5.569,57.185,64.278,57,34.158,36.586,58,29,21,1.8,407.58,12,0.642,1.003,28,3,6,7.151,35.0,29,8.8,10,5,9,0,0,0.207,0.0,36.8
5.721,60.069,67.693,60,35.684,38.347,61,31,22,1.7,421.61,13,0.639,1.001,29,3,6,7.027,36.0,30,8.3,10,5,9,0,0,0.213,0.0,36.7
5.796,55.84,61.882,54,33.781,34.637,55,24,20,1.9,447.52,11,0.641,1.034,30,3,6,8.287,37.0,31,9.3,10,5,9,3,3,0.2,5.6,37.0
5.398,51.931,57.787,51,31.487,33.0,52,24,19,2.0,397.51,11,0.647,1.018,27,3,6,7.794,34.0,28,9.8,10,5,9,1,1,0.212,2.0,37.3
6.201,51.742,57.392,51,31.932,33.921,52,24,19,2.0,413.96,11,0.665,1.015,27,3,6,8.117,34.0,28,9.8,10,5,9,1,0,0.212,2.0,37.3
5.0,61.185,68.278,61,38.158,40.585,63,29,25,1.6,455.62,12,0.665,1.003,32,3,12,7.469,43.0,34,8.2,16,5,15,0,0,0.19,0.0,41.0
5.77,57.167,63.091,55,34.496,35.091,56,24,20,1.8,463.52,12,0.638,1.039,31,3,6,8.428,38.0,32,10.9,10,6,9,3,3,0.214,5.5,36.4
5.0,58.512,65.488,58,34.873,37.04,59,29,21,1.7,423.58,13,0.639,1.009,29,3,6,7.303,36.0,30,10.3,10,6,9,0,0,0.22,0.0,36.2
7.409,51.167,57.158,51,31.576,34.256,52,25,19,2.0,395.59,11,0.672,1.003,26,3,6,7.757,33.0,27,7.8,10,4,9,0,0,0.212,0.0,37.3
7.187,56.934,63.989,57,34.63,37.779,58,29,21,1.8,423.65,12,0.663,0.999,28,3,6,7.432,35.0,29,7.0,10,4,9,0,0,0.207,0.0,36.8
5.921,59.818,67.404,60,36.157,39.54,61,31,22,1.7,437.68,13,0.659,0.997,29,3,6,7.295,36.0,30,6.7,10,4,9,0,0,0.213,0.0,36.7
6.553,55.589,61.593,54,34.253,35.83,55,24,20,1.9,463.59,11,0.664,1.029,30,3,6,8.585,37.0,31,7.4,10,4,9,3,3,0.2,5.6,37.0
5.745,51.68,57.498,51,31.96,34.193,52,24,19,2.0,413.58,11,0.67,1.013,27,3,6,8.109,34.0,28,7.8,10,4,9,1,1,0.212,2.0,37.3
5.0,58.262,65.198,58,35.345,38.233,59,29,21,1.7,439.65,13,0.659,1.005,29,3,6,7.58,36.0,30,8.6,10,5,9,0,0,0.22,0.0,36.2
5.638,54.531,61.859,55,32.728,35.677,56,29,21,1.8,375.58,11,0.649,0.991,26,3,6,6.829,33.0,27,5.5,10,3,9,0,0,0.196,0.0,38.2
5.638,60.298,68.69,61,35.782,39.199,62,33,23,1.6,403.64,12,0.643,0.988,28,3,6,6.617,35.0,29,4.9,10,3,9,0,0,0.194,0.0,37.7
5.699,63.181,72.105,64,37.308,40.961,65,35,24,1.6,417.67,13,0.64,0.987,29,3,6,6.526,36.0,30,4.7,10,3,9,0,0,0.2,0.0,37.5
6.347,58.952,66.294,58,35.405,37.25,59,28,22,1.7,443.58,11,0.642,1.016,30,3,6,7.648,37.0,31,5.2,10,3,9,3,3,0.186,5.2,37.9
5.77,55.043,62.199,55,33.111,35.614,56,28,21,1.8,393.57,11,0.648,1.001,27,3,6,7.156,34.0,28,5.5,10,3,9,1,1,0.196,1.8,38.2
5.201,61.625,69.899,62,36.496,39.654,63,33,23,1.6,419.64,13,0.64,0.994,29,3,6,6.768,36.0,30,6.5,10,4,9,0,0,0.206,0.0,37.1
6.009,55.607,62.779,56,33.915,37.324,57,29,21,1.8,407.65,11,0.667,0.993,27,3,6,7.279,34.0,28,5.4,10,3,9,0,0,0.193,0.0,37.5
5.237,55.858,63.069,56,33.443,36.131,57,29,21,1.8,391.58,11,0.645,0.997,27,3,6,6.992,34.0,28,7.1,10,4,9,0,0,0.193,0.0,37.5
5.0,55.898,62.734,56,34.729,36.722,58,27,24,1.8,393.52,8,0.656,0.998,29,3,12,7.027,40.0,31,7.1,16,4,15,0,0,0.138,0.0,42.9
5.796,55.974,62.654,56,34.916,37.37,58,27,23,1.8,413.58,9,0.667,1.0,29,3,11,7.385,39.5,31,7.1,14,4,14,0,0,0.155,0.0,41.1
5.0,55.443,62.026,55,33.938,35.421,57,26,22,3.6,398.5,9,0.644,1.008,29,3,11,7.245,39.5,31,9.1,13,5,14,0,0,0.158,0.0,40.0
5.0,55.192,61.737,55,34.411,36.614,57,26,22,3.6,414.57,9,0.666,1.003,29,3,11,7.538,39.5,31,7.3,13,4,14,0,0,0.158,0.0,40.0
6.268,53.385,59.241,53,34.071,36.5,55,24,21,3.8,432.61,9,0.689,1.007,29,3,11,8.162,39.5,31,7.5,13,4,14,0,0,0.164,0.0,39.6
5.0,53.385,59.241,53,34.071,36.5,55,24,21,3.8,432.61,9,0.689,1.007,29,3,11,8.162,39.5,31,7.5,13,4,14,0,0,0.164,0.0,39.6
7.824,52.269,58.657,52,31.598,34.262,53,26,18,3.8,398.6,11,0.659,1.005,26,3,5,7.665,32.5,27,7.7,7,4,8,0,0,0.208,0.0,34.6
6.114,50.502,55.826,50,32.544,34.739,52,22,20,4.0,418.58,9,0.695,1.01,28,3,11,8.372,38.5,30,8.0,13,4,14,0,0,0.173,0.0,40.0
5.921,62.018,68.3,60,38.989,40.29,62,25,23,3.3,530.64,12,0.671,1.034,35,3,11,8.844,45.5,37,8.3,13,5,14,3,3,0.194,5.0,38.3
7.31,50.829,56.036,50,32.259,34.193,52,22,19,4.0,422.57,9,0.684,1.017,28,3,10,8.451,38.0,30,10.0,11,5,13,0,0,0.173,0.0,38.0
7.071,53.269,59.657,53,32.598,35.262,55,26,19,3.8,410.61,9,0.665,1.005,27,3,5,7.747,34.5,29,7.5,7,4,8,0,0,0.164,0.0,35.8
5.0,53.298,59.598,53,32.744,35.228,54,26,20,1.9,411.99,11,0.665,1.006,27,3,6,7.773,34.0,28,7.5,10,4,9,1,0,0.204,1.9,37.7
6.244,54.167,60.158,54,34.576,37.256,56,25,22,1.9,431.62,9,0.69,1.003,29,3,11,7.993,39.5,31,7.4,14,4,14,0,0,0.161,0.0,40.7
5.0,53.338,59.262,53,34.03,35.818,55,24,23,1.9,413.93,8,0.676,1.006,29,3,12,7.81,40.0,31,7.5,16,4,15,1,0,0.145,1.9,43.4
5.0,55.898,62.734,56,34.729,36.722,58,27,24,1.8,393.52,8,0.656,0.998,29,3,12,7.027,40.0,31,7.1,16,4,15,0,0,0.138,0.0,42.9
5.0,56.222,62.678,56,35.556,37.58,58,26,24,1.8,427.96,9,0.671,1.004,30,3,12,7.642,41.0,32,7.1,16,4,15,1,0,0.155,1.8,42.9
6.456,53.414,59.182,53,34.217,36.466,55,24,22,1.9,433.99,9,0.688,1.008,29,3,11,8.188,39.5,31,7.5,14,4,14,1,0,0.164,1.9,41.5
5.367,60.269,66.657,60,39.598,42.262,63,26,26,3.3,494.68,10,0.704,1.004,34,3,17,8.245,48.5,37,6.7,19,4,20,0,0,0.159,0.0,43.3
5.0,60.593,66.601,60,40.425,43.119,63,25,26,3.3,529.12,10,0.719,1.01,35,3,17,8.819,49.5,38,6.7,19,4,20,1,0,0.159,1.7,43.3
5.0,66.152,73.072,66,44.125,47.023,70,28,30,3.0,544.74,10,0.712,1.002,38,3,22,8.254,56.0,42,6.1,23,4,25,0,0,0.143,0.0,45.5
5.0,62.741,70.484,63,38.97,41.892,65,31,26,1.6,453.65,12,0.665,0.996,32,3,12,7.201,43.0,34,6.3,16,4,15,0,0,0.185,0.0,41.3
5.0,68.625,76.899,69,43.496,46.654,72,33,30,1.4,503.71,12,0.676,0.995,36,3,17,7.3,50.5,39,5.8,20,4,20,0,0,0.167,0.0,43.5
5.0,61.96,69.567,62,38.464,41.137,64,30,25,3.2,454.64,12,0.663,0.999,32,3,12,7.333,43.0,34,6.5,15,4,15,0,0,0.188,0.0,40.3
5.0,68.727,77.397,69,42.518,45.659,72,34,28,2.9,494.71,12,0.662,0.996,35,3,12,7.17,47.0,38,5.8,16,4,15,0,0,0.167,0.0,40.6
5.0,66.843,74.982,67,41.991,44.898,70,32,28,3.0,492.69,12,0.67,0.998,35,3,16,7.354,49.0,38,6.0,18,4,19,0,0,0.171,0.0,41.8
5.0,65.287,72.776,65,41.179,43.591,68,30,27,3.1,494.66,12,0.671,1.004,35,3,16,7.61,49.0,38,7.7,17,5,19,0,0,0.176,0.0,41.5
5.0,65.036,72.487,65,41.651,44.784,68,30,27,3.1,510.73,12,0.689,1.001,35,3,16,7.857,49.0,38,6.2,17,4,19,0,0,0.176,0.0,41.5
5.0,66.069,73.693,66,41.684,44.347,69,31,28,1.5,493.67,12,0.672,1.001,35,3,16,7.48,49.0,38,7.6,18,5,19,0,0,0.174,0.0,42.4
5.0,66.171,74.192,66,40.706,43.353,68,32,26,3.0,484.67,14,0.657,1.003,34,3,12,7.343,45.0,36,7.6,15,5,15,0,0,0.206,0.0,39.4
5.0,66.171,74.192,66,40.706,43.353,68,32,26,3.0,484.67,14,0.657,1.003,34,3,12,7.343,45.0,36,7.6,15,5,15,0,0,0.206,0.0,39.4
5.0,66.171,74.192,66,40.706,43.353,68,32,26,3.0,484.67,14,0.657,1.003,34,3,12,7.343,45.0,36,7.6,15,5,15,0,0,0.206,0.0,39.4
5.0,63.152,70.072,63,41.125,44.023,66,28,27,3.2,508.71,10,0.699,1.002,35,3,17,8.075,49.5,38,6.3,19,4,20,0,0,0.152,0.0,42.9
5.0,64.48,71.281,64,41.839,44.477,67,28,27,3.1,524.71,11,0.695,1.007,36,3,17,8.199,50.5,39,7.8,19,5,20,0,0,0.164,0.0,42.2
5.0,66.036,73.487,66,42.651,45.784,69,30,28,3.0,522.74,10,0.694,1.001,36,3,17,7.92,50.5,39,6.1,19,4,20,0,0,0.145,0.0,42.4
5.0,66.036,73.487,66,42.651,45.784,69,30,28,3.0,522.74,10,0.694,1.001,36,3,17,7.92,50.5,39,6.1,19,4,20,0,0,0.145,0.0,42.4
5.77,63.596,69.866,63,42.313,44.716,67,26,28,3.2,534.7,10,0.71,1.009,37,3,21,8.487,54.5,41,7.9,21,5,24,0,0,0.149,0.0,44.4
5.0,62.814,68.949,62,41.807,43.96,66,25,27,4.8,535.69,10,0.709,1.013,37,3,21,8.64,54.5,41,8.1,20,5,24,0,0,0.152,0.0,43.5
5.0,62.563,68.66,62,42.279,45.154,66,25,27,4.8,551.76,10,0.728,1.009,37,3,21,8.899,54.5,41,6.5,20,4,24,0,0,0.152,0.0,43.5
5.0,62.887,68.604,62,43.107,46.011,66,24,27,4.8,586.2,10,0.742,1.014,38,3,21,9.455,55.5,42,6.5,20,4,24,1,0,0.152,1.6,43.5
5.0,65.698,72.364,65,43.334,45.722,69,27,28,4.6,549.72,10,0.703,1.011,38,3,21,8.457,55.5,42,7.7,20,5,24,0,0,0.145,0.0,43.1
5.0,65.698,72.364,65,43.334,45.722,69,27,28,4.6,549.72,10,0.703,1.011,38,3,21,8.457,55.5,42,7.7,20,5,24,0,0,0.145,0.0,43.1
5.0,65.698,72.364,65,43.334,45.722,69,27,28,4.6,549.72,10,0.703,1.011,38,3,21,8.457,55.5,42,7.7,20,5,24,0,0,0.145,0.0,43.1
5.0,68.582,75.78,68,44.861,47.483,72,29,29,4.4,563.75,10,0.698,1.009,39,3,21,8.29,56.5,43,7.4,20,5,24,0,0,0.139,0.0,42.6
5.0,63.138,68.893,62,42.635,44.818,66,24,27,4.8,570.13,10,0.723,1.018,38,3,21,9.196,55.5,42,8.1,20,5,24,1,0,0.152,1.6,43.5
7.066,54.781,62.149,55,32.256,34.483,56,29,21,1.8,359.51,10,0.627,0.996,26,3,6,6.537,33.0,27,7.3,10,4,9,0,0,0.179,0.0,38.2
7.585,54.741,62.484,55,30.97,33.892,55,31,18,1.8,357.57,13,0.616,0.995,24,3,0,6.501,27.0,24,7.3,4,4,3,0,0,0.236,0.0,32.7
6.0,52.738,58.21,52,35.305,36.949,55,21,24,3.8,459.37,8,0.711,1.014,31,1,18,8.834,44.0,34,3.8,18,2,19,3,1,0.145,5.8,46.2
6.0,52.738,58.21,52,35.305,36.949,55,21,24,3.8,459.37,6,0.711,1.014,31,1,18,8.834,44.0,34,3.8,18,2,19,3,1,0.109,5.8,46.2
6.0,52.738,58.21,52,35.305,36.949,55,21,24,3.8,459.37,7,0.711,1.014,31,1,18,8.834,44.0,34,3.8,18,2,19,3,1,0.127,5.8,46.2
6.67,54.622,60.626,54,35.832,37.71,56,23,24,3.7,461.39,8,0.698,1.012,31,1,18,8.544,43.0,33,3.7,18,2,19,3,1,0.143,5.6,44.4
6.0,54.622,60.626,54,35.832,37.71,56,23,24,3.7,461.39,8,0.698,1.012,31,1,18,8.544,43.0,33,3.7,18,2,19,3,1,0.143,5.6,44.4
6.0,54.622,60.626,54,35.832,37.71,56,23,24,3.7,461.39,7,0.698,1.012,31,1,18,8.544,43.0,33,3.7,18,2,19,3,1,0.125,5.6,44.4
