pXC50,nDB,O.,nAB,N.,nO,nN,RBF,nS,nBM,nCsp2,Si,Sp,AMW
4.979,2,2.7,11,8.1,1,3,0.158,1,13,12,41.531,25.449,7.768
5.0,1,2.1,12,4.3,1,2,0.061,0,13,13,52.661,32.557,8.029
6.0,1,1.7,18,3.3,1,2,0.063,0,19,19,68.038,39.938,7.543
5.0,1,1.8,18,3.5,1,2,0.067,0,19,19,63.548,39.222,7.351
5.0,1,1.8,18,5.4,1,3,0.068,0,19,18,62.687,37.608,6.885
6.252,2,3.6,12,5.4,2,3,0.211,0,14,14,63.311,35.824,6.563
5.629,2,2.5,11,7.5,1,3,0.195,1,13,12,44.946,27.211,7.536
5.053,2,2.3,17,7.0,1,3,0.111,0,19,18,48.026,29.563,7.382
5.959,2,4.0,12,6.0,2,3,0.196,0,14,14,56.481,32.302,6.79
5.545,2,2.2,12,6.5,1,3,0.17,0,14,14,51.856,30.086,6.727
5.252,2,4.5,12,6.8,2,3,0.178,0,14,14,49.651,28.779,7.078
5.567,2,2.3,12,7.0,1,3,0.182,0,14,14,48.329,30.04,8.472
5.102,2,5.0,11,7.5,2,3,0.195,0,13,12,45.235,26.017,7.134
5.821,2,7.3,12,5.5,4,3,0.196,0,14,14,62.315,34.972,7.009
5.268,2,2.3,12,7.0,1,3,0.182,0,14,14,48.329,30.04,8.472
5.387,2,2.0,17,6.1,1,3,0.157,0,19,18,54.856,33.086,7.051
5.328,1,4.5,18,6.8,2,3,0.13,0,19,17,50.198,30.688,9.587
4.523,1,2.4,18,7.1,1,3,0.068,0,20,18,46.611,29.801,7.795
6.523,0,2.6,12,7.7,1,3,0.1,1,12,10,43.946,26.211,7.422
5.921,0,2.9,6,8.6,1,3,0.2,1,6,4,39.946,22.211,6.897
4.0,2,6.5,12,6.5,2,2,0.061,0,14,14,34.491,21.727,8.138
5.879,2,4.7,17,9.3,2,4,0.089,0,19,17,50.357,28.887,10.287
4.0,3,3.4,18,5.2,2,3,0.098,1,21,19,65.496,39.586,8.097
4.523,4,4.2,10,5.6,3,4,0.12,0,14,14,80.265,45.569,6.714
5.26,1,7.7,17,5.1,3,2,0.122,0,18,16,43.703,29.216,11.017
5.06,1,7.7,17,5.1,3,2,0.122,0,18,16,43.363,29.278,10.556
5.58,1,7.7,17,5.1,3,2,0.122,0,18,16,43.307,30.136,11.439
4.59,1,6.4,17,6.4,3,3,0.122,0,18,16,52.748,32.949,8.943
5.06,1,8.3,17,6.3,4,3,0.14,0,18,15,53.957,33.404,9.09
5.87,1,7.7,17,5.8,4,3,0.127,0,18,15,58.373,36.165,8.892
4.54,1,7.8,17,5.9,4,3,0.132,0,18,15,57.373,35.165,8.83
4.48,1,7.1,17,4.8,3,2,0.114,0,18,16,47.118,30.977,10.564
5.14,1,7.1,17,4.8,3,2,0.136,0,18,16,47.118,30.977,10.564
4.55,1,9.3,17,4.7,4,2,0.156,0,18,16,47.988,31.494,10.272
4.8,1,7.7,17,5.1,3,2,0.122,0,18,16,44.099,28.296,10.595
5.11,1,6.7,17,4.4,3,2,0.106,0,18,16,50.645,31.023,8.641
5.07,1,5.0,17,7.5,2,3,0.095,0,18,16,44.992,29.767,10.717
4.98,1,4.3,17,6.5,2,3,0.083,0,18,16,51.934,31.574,8.432
5.23,1,7.0,17,7.0,4,4,0.1,0,18,15,64.286,38.932,8.621
4.48,1,7.0,17,7.0,4,4,0.1,0,18,15,64.342,38.074,8.017
4.48,1,6.3,17,6.3,4,4,0.091,0,18,15,71.228,40.739,7.152
4.7,1,5.5,17,7.3,3,4,0.105,0,18,15,62.189,35.762,7.173
4.48,1,4.3,22,10.6,2,5,0.1,0,23,19,52.705,33.983,9.411
4.48,1,3.8,22,9.4,2,5,0.089,0,23,19,59.647,35.79,7.576
4.48,1,6.3,17,10.4,3,5,0.12,0,18,14,54.329,33.199,9.09
5.33,1,6.0,17,6.0,3,3,0.135,0,18,15,56.163,34.71,8.687
4.48,1,6.4,17,6.4,3,3,0.143,0,18,15,53.767,32.762,10.091
4.48,1,5.7,17,5.7,3,3,0.127,0,18,15,60.709,34.569,8.179
4.48,1,4.2,22,8.3,2,4,0.118,0,23,19,53.622,34.739,9.195
4.92,1,6.7,17,5.0,4,3,0.161,0,18,15,68.749,38.546,7.959
5.268,1,2.1,18,12.8,1,6,0.08,0,19,16,53.106,31.819,7.669
5.167,1,3.2,18,9.5,2,6,0.106,0,19,16,72.41,40.892,7.946
5.284,1,4.7,18,9.4,3,6,0.119,0,19,16,73.62,41.347,8.072
6.301,1,3.3,18,10.0,2,6,0.095,0,19,16,68.995,39.131,8.109
6.523,1,4.9,18,9.8,3,6,0.109,0,19,16,70.204,39.586,8.239
4.523,1,2.0,21,14.0,1,7,0.093,0,22,16,57.623,33.637,8.829
5.301,1,4.5,18,1.5,3,1,0.145,0,19,19,73.77,43.552,6.722
5.301,1,4.4,18,2.9,3,2,0.141,0,19,19,76.268,44.557,6.745
5.301,1,3.8,24,2.6,3,2,0.146,0,25,25,87.438,52.018,7.086
6.699,3,2.4,6,7.1,1,3,0.093,1,9,10,47.361,27.972,7.225
5.238,1,4.9,6,2.4,2,1,0.195,0,7,7,46.428,26.148,6.923
5.129,1,4.9,6,2.4,2,1,0.195,0,7,7,46.428,26.148,6.923
5.321,1,4.9,6,2.4,2,1,0.195,0,7,7,46.428,26.148,6.923
5.301,1,4.5,18,1.5,3,1,0.145,0,19,19,73.77,43.552,6.722
5.301,1,3.8,24,2.6,3,2,0.146,0,25,25,87.438,52.018,7.086
5.301,1,4.4,18,2.9,3,2,0.141,0,19,19,76.268,44.557,6.745
5.824,0,5.1,18,10.3,2,4,0.122,0,18,16,44.922,26.313,9.291
4.928,0,2.8,18,8.3,1,3,0.105,0,18,17,40.14,25.898,8.661
5.248,0,2.9,18,14.7,1,5,0.111,0,18,15,38.306,24.387,9.229
6.301,0,2.9,18,11.4,1,4,0.108,0,18,16,39.223,25.142,8.937
5.854,0,2.8,18,8.3,1,3,0.105,0,18,17,40.14,25.898,8.661
6.143,0,2.9,18,11.4,1,4,0.108,0,18,16,39.223,25.142,8.937
5.432,0,0.0,18,12.8,0,5,0.098,0,18,16,43.927,27.455,8.355
5.644,0,2.6,18,10.5,1,4,0.1,0,18,16,42.638,26.904,8.6
5.77,0,2.9,18,11.4,1,4,0.108,0,18,16,39.223,25.142,8.937
6.444,0,2.9,18,11.4,1,4,0.108,0,18,16,39.223,25.142,8.937
6.108,0,2.9,18,11.4,1,4,0.108,0,18,16,39.618,24.222,8.467
6.229,0,2.6,18,10.5,1,4,0.1,0,18,16,42.694,26.046,7.694
5.699,0,2.4,18,9.5,1,4,0.111,0,18,16,47.109,28.807,7.581
5.921,0,2.8,18,13.9,1,5,0.105,0,19,16,40.362,25.529,8.426
6.0,0,2.6,18,10.5,1,4,0.1,0,18,16,43.713,25.858,9.114
6.62,0,5.1,18,10.3,2,4,0.122,0,18,16,44.922,26.313,9.291
5.745,0,2.9,18,11.4,1,4,0.108,0,18,16,39.279,24.284,7.953
6.328,0,2.9,18,11.4,1,4,0.108,0,18,16,39.618,24.222,8.467
6.387,0,2.6,18,10.5,1,4,0.1,0,18,16,42.694,26.046,7.694
5.523,0,2.4,18,9.5,1,4,0.111,0,18,16,47.109,28.807,7.581
6.337,0,2.6,18,10.5,1,4,0.1,0,18,16,43.713,25.858,9.114
6.921,0,1.7,21,8.6,1,5,0.097,1,21,15,65.188,39.506,7.476
7.301,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
7.523,0,1.9,21,9.6,1,5,0.107,1,21,15,58.697,35.921,8.145
7.097,0,1.9,21,9.6,1,5,0.107,1,21,15,58.302,36.841,8.462
6.699,0,1.9,21,9.6,1,5,0.107,1,21,15,58.358,35.983,7.799
6.456,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
5.804,0,1.8,21,9.1,1,5,0.102,1,21,15,62.792,37.557,8.61
6.032,0,2.0,21,11.8,1,6,0.109,1,21,14,57.441,35.228,7.972
6.602,0,1.7,17,8.3,1,5,0.094,1,17,13,67.603,40.267,7.261
6.886,1,3.4,17,8.5,2,5,0.095,1,18,14,66.398,39.961,7.621
7.699,0,1.9,21,9.6,1,5,0.107,1,21,15,58.697,35.921,8.145
6.959,0,1.9,21,9.6,1,5,0.107,1,21,15,58.302,36.841,8.462
6.523,0,1.9,21,9.6,1,5,0.107,1,21,15,58.302,36.841,8.462
6.854,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
7.222,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
5.658,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
6.921,0,1.8,21,9.1,1,5,0.102,1,21,15,62.792,37.557,8.61
6.721,0,1.8,21,9.1,1,5,0.102,1,21,15,62.792,37.557,8.61
7.155,0,1.9,21,9.6,1,5,0.107,1,21,15,59.037,35.858,8.491
7.301,0,1.9,21,9.6,1,5,0.107,1,21,15,58.641,36.779,8.808
7.398,0,1.8,21,9.1,1,5,0.102,1,21,15,63.132,37.495,8.937
7.398,0,1.9,21,9.6,1,5,0.107,1,21,15,59.037,35.858,8.491
6.131,0,1.8,22,7.1,1,4,0.1,0,22,18,62.77,37.853,7.117
5.569,0,1.9,21,11.3,1,6,0.105,0,21,15,59.936,35.341,7.331
6.237,0,1.9,21,11.3,1,6,0.105,0,21,15,59.936,35.341,7.331
6.357,0,1.8,21,10.7,1,6,0.1,0,21,15,63.351,37.103,7.188
7.097,0,1.8,21,9.1,1,5,0.102,1,21,15,61.773,37.745,7.629
6.796,0,1.8,22,9.1,1,5,0.102,0,22,17,61.853,37.097,7.264
7.046,0,1.7,22,8.6,1,5,0.097,0,22,17,65.268,38.858,7.131
7.222,0,1.7,22,8.6,1,5,0.097,0,22,17,65.268,38.858,7.131
7.398,0,1.7,22,8.6,1,5,0.097,0,22,17,65.268,38.858,7.131
6.824,0,1.7,22,8.6,1,5,0.097,0,22,17,65.268,38.858,7.131
6.26,0,1.8,22,9.1,1,5,0.102,0,22,17,62.193,37.034,7.591
6.959,0,1.8,22,9.1,1,5,0.102,0,22,17,62.193,37.034,7.591
7.046,0,1.8,22,9.1,1,5,0.102,0,22,17,62.193,37.034,7.591
7.523,0,1.8,22,9.1,1,5,0.102,0,22,17,62.193,37.034,7.591
7.699,0,1.8,22,9.1,1,5,0.102,0,22,17,62.532,36.972,7.919
7.097,0,1.8,22,9.1,1,5,0.102,0,22,17,62.137,37.892,8.218
6.721,0,1.7,22,8.6,1,5,0.097,0,22,17,66.627,38.608,8.371
4.523,0,6.5,6,3.2,2,1,0.097,0,6,6,35.239,19.006,6.3
4.699,3,4.2,18,8.3,3,6,0.051,0,21,19,81.695,48.171,7.954
4.523,1,4.2,12,12.5,1,3,0.08,0,13,11,27.573,17.489,11.235
5.2,1,4.7,12,4.7,3,3,0.104,0,13,13,72.351,40.802,6.619
5.7,1,5.5,12,5.5,3,3,0.069,0,13,13,63.125,35.33,7.918
5.3,1,5.3,12,7.0,3,4,0.083,0,13,12,65.623,36.336,7.904
5.3,1,5.0,12,6.7,3,4,0.095,0,13,12,69.038,38.097,7.742
5.3,1,3.3,17,10.0,2,6,0.063,0,18,15,67.976,39.319,7.21
5.6,1,3.0,17,9.1,2,6,0.057,0,18,15,74.806,42.841,6.979
5.5,1,6.4,18,4.3,3,2,0.08,0,19,18,53.381,32.04,8.817
5.4,1,6.4,18,4.3,3,2,0.08,0,19,18,53.381,32.04,8.817
5.5,1,6.1,18,6.1,3,3,0.096,0,19,17,55.879,33.046,8.764
5.5,1,6.1,18,6.1,3,3,0.096,0,19,17,55.879,33.046,8.764
5.4,1,7.5,18,5.7,4,3,0.107,0,19,17,60.843,35.199,9.008
5.2,1,7.5,18,5.7,4,3,0.107,0,19,17,60.504,35.262,8.669
5.2,1,7.5,18,5.7,4,3,0.107,0,19,17,60.504,35.262,8.669
5.1,1,8.3,18,5.0,5,3,0.143,0,19,17,68.543,39.239,8.392
5.0,1,7.9,18,4.8,5,3,0.136,0,19,17,71.959,41.0,8.215
5.3,1,7.9,18,4.8,5,3,0.136,0,19,17,71.959,41.0,8.215
4.5,1,3.8,23,9.6,2,5,0.071,0,24,20,58.232,36.029,7.913
4.5,1,5.8,17,9.6,3,5,0.109,0,18,14,58.857,34.245,7.567
4.5,1,5.8,17,9.6,3,5,0.109,0,18,14,58.857,34.245,7.567
4.5,1,3.7,17,9.3,2,5,0.088,0,18,14,61.062,35.552,7.25
5.4,1,5.9,18,7.8,3,4,0.111,0,19,16,58.377,34.051,8.715
5.2,1,7.7,18,7.7,4,4,0.109,0,19,16,59.587,34.506,8.855
5.4,1,7.3,18,7.3,4,4,0.121,0,19,16,63.002,36.267,8.627
5.0,1,7.3,18,7.3,4,4,0.121,0,19,16,63.002,36.267,8.627
5.3,1,5.9,18,7.8,3,4,0.093,0,19,16,58.377,34.051,8.715
4.6,1,7.7,18,7.7,4,4,0.109,0,19,16,59.587,34.506,8.855
5.5,1,5.9,18,7.8,3,4,0.093,0,19,16,58.377,34.051,8.715
4.9,1,7.3,18,7.3,4,4,0.121,0,19,16,63.002,36.267,8.627
4.7,1,5.6,18,7.4,3,4,0.105,0,19,16,61.793,35.813,8.49
4.222,2,3.6,16,10.7,2,6,0.085,0,18,14,64.24,36.432,7.902
4.0,2,3.6,16,10.7,2,6,0.085,0,18,14,64.24,36.432,7.902
4.523,3,5.4,18,5.4,3,3,0.102,1,21,19,62.61,38.404,7.778
4.0,3,3.4,18,5.2,2,3,0.098,1,21,19,65.496,39.586,8.097
4.523,3,5.0,18,5.0,3,3,0.111,2,21,19,66.946,41.813,8.028
4.0,2,3.6,16,10.7,2,6,0.085,0,18,14,64.24,36.432,7.902
4.5,1,5.7,18,7.5,3,4,0.164,0,19,16,60.737,35.671,9.074
4.9,1,5.7,18,7.5,3,4,0.164,0,19,16,60.793,34.813,8.424
5.2,1,5.7,18,7.5,3,4,0.164,0,19,16,60.793,34.813,8.424
5.2,1,5.7,18,7.5,3,4,0.164,0,19,16,61.472,34.688,9.103
5.2,1,4.0,18,6.0,2,3,0.154,0,19,17,57.085,33.353,8.309
5.3,1,3.8,18,7.7,2,4,0.148,0,19,16,59.583,34.358,8.278
4.9,1,5.6,18,5.6,3,3,0.161,0,19,17,61.709,35.569,8.25
4.5,1,3.8,18,7.7,2,4,0.148,0,19,16,59.583,34.358,8.278
4.5,1,5.4,18,7.1,3,4,0.172,0,19,16,64.208,36.574,8.223
4.5,1,5.1,18,6.8,3,4,0.164,0,19,16,67.623,38.336,8.043
5.2,2,3.4,18,8.6,2,5,0.15,0,20,17,66.497,38.125,8.13
4.5,1,1.8,18,8.9,1,5,0.155,0,19,16,64.287,36.671,7.92
5.2,1,5.4,18,7.1,3,4,0.155,0,19,16,64.208,36.574,8.223
5.5,1,5.7,18,7.5,3,4,0.164,0,19,16,61.132,34.75,8.763
5.3,1,5.7,18,7.5,3,4,0.164,0,19,16,60.737,35.671,9.074
5.2,1,7.0,18,7.0,4,4,0.169,0,19,16,65.417,37.029,8.36
4.7,1,7.0,18,7.0,4,4,0.169,0,19,16,65.417,37.029,8.36
4.5,1,5.6,18,9.3,3,5,0.161,0,20,16,61.876,36.057,8.731
4.7,1,5.7,18,7.5,3,4,0.164,0,19,16,61.472,34.688,9.103
5.1,1,7.0,18,7.0,4,4,0.169,0,19,16,66.097,36.904,8.991
6.1,1,5.4,18,7.1,3,4,0.155,0,19,16,64.547,36.512,8.544
5.6,1,5.7,18,7.5,3,4,0.145,0,19,16,61.132,34.75,8.763
6.0,1,5.4,18,7.1,3,4,0.155,0,19,16,64.547,36.512,8.544
5.8,1,5.7,18,7.5,3,4,0.164,0,19,16,61.472,34.688,9.103
5.8,1,3.8,18,7.7,2,4,0.148,0,19,16,60.263,34.233,8.97
4.5,1,5.8,18,9.6,3,5,0.167,0,19,15,59.876,34.057,8.605
4.5,1,5.5,18,9.1,3,5,0.158,0,19,15,63.291,35.819,8.391
4.5,1,5.5,18,9.1,3,5,0.158,0,19,15,63.291,35.819,8.391
4.5,1,5.5,18,9.1,3,5,0.158,0,19,15,63.291,35.819,8.391
4.5,1,5.7,18,7.5,3,4,0.164,0,19,16,61.472,34.688,9.103
5.0,1,5.7,18,7.5,3,4,0.164,0,19,16,61.812,34.625,9.442
5.161,1,4.2,11,4.2,2,2,0.078,0,12,11,53.983,31.296,6.76
5.215,2,5.5,12,5.5,3,3,0.086,0,15,14,62.709,36.568,8.318
4.796,2,7.0,18,5.3,4,3,0.133,0,20,19,64.919,38.023,8.518
4.481,2,7.4,18,5.6,4,3,0.123,0,20,19,61.504,36.262,8.731
4.77,2,5.7,18,5.7,3,3,0.125,0,20,19,60.634,35.745,8.933
5.071,2,7.0,18,5.3,4,3,0.133,0,20,19,64.919,38.023,8.518
6.027,2,7.4,18,5.6,4,3,0.123,0,20,19,61.504,36.262,8.731
4.796,2,5.8,18,7.7,3,4,0.127,0,20,18,59.717,34.989,9.124
4.77,2,5.8,18,7.7,3,4,0.127,0,20,18,60.057,34.926,9.47
4.602,2,3.9,18,7.8,2,4,0.111,0,20,18,58.847,34.472,9.342
5.0,2,7.5,18,7.5,4,4,0.125,0,20,18,60.926,35.443,9.254
5.215,2,5.7,18,5.7,3,3,0.125,0,20,19,60.294,35.807,8.594
5.921,2,5.7,18,5.7,3,3,0.125,0,20,19,60.634,35.745,8.933
5.721,2,5.4,18,5.4,3,3,0.119,0,20,19,63.709,37.568,8.384
5.102,2,5.4,18,5.4,3,3,0.136,0,20,19,63.709,37.568,8.384
5.013,2,7.4,18,5.6,4,3,0.14,0,20,19,61.504,36.262,8.731
5.367,2,5.7,18,5.7,3,3,0.107,0,20,19,61.313,35.62,9.612
5.398,2,5.4,18,5.4,3,3,0.119,0,20,19,63.709,37.568,8.384
4.886,2,5.1,18,5.1,3,3,0.113,0,20,19,67.125,39.33,8.195
4.602,2,5.1,18,5.1,3,3,0.113,0,20,19,67.125,39.33,8.195
5.721,2,5.7,18,5.7,3,3,0.125,0,20,19,60.974,35.682,9.273
5.081,2,5.8,18,7.7,3,4,0.127,0,20,18,59.377,35.051,8.778
4.921,2,5.8,18,7.7,3,4,0.127,0,20,18,59.377,35.051,8.778
4.721,2,5.8,18,7.7,3,4,0.127,0,20,18,59.717,34.989,9.124
4.569,2,5.4,18,5.4,3,3,0.119,0,20,19,63.709,37.568,8.384
6.092,2,5.7,18,5.7,3,3,0.125,0,20,19,60.634,35.745,8.933
5.328,2,5.4,18,5.4,3,3,0.119,0,20,19,63.709,37.568,8.384
5.538,2,7.0,12,5.3,4,3,0.117,0,14,14,65.334,36.784,8.132
4.481,2,7.7,12,3.8,4,2,0.091,0,14,14,59.421,34.017,8.355
4.481,2,7.7,12,3.8,4,2,0.109,0,14,14,59.421,34.017,8.355
4.509,2,5.6,12,3.7,3,2,0.088,0,14,14,62.306,35.199,8.675
5.347,3,7.4,12,4.4,5,3,0.099,0,15,15,77.789,43.523,7.847
5.357,3,8.1,12,4.8,5,3,0.108,0,15,15,70.959,40.0,8.154
4.921,2,6.3,12,4.2,3,2,0.098,0,14,14,55.475,31.676,9.175
4.745,2,5.9,12,3.9,3,2,0.111,0,14,14,58.891,33.438,8.91
4.721,2,6.4,12,4.3,3,2,0.122,0,14,14,54.815,30.614,9.497
4.481,2,7.8,12,3.9,4,2,0.151,0,14,14,59.44,32.83,9.341
4.509,2,6.3,12,6.3,3,3,0.12,0,15,14,54.879,32.046,8.696
4.585,2,6.7,12,6.7,3,3,0.128,0,15,14,51.464,30.284,8.964
5.585,2,5.7,18,5.7,3,3,0.125,0,20,19,60.294,35.807,8.594
5.921,2,3.8,18,5.8,2,3,0.091,0,20,19,58.066,35.54,7.413
5.06,2,4.1,18,6.1,2,3,0.115,0,20,19,54.492,35.131,9.191
4.921,2,4.1,18,6.1,2,3,0.115,0,20,19,54.492,35.131,9.191
4.481,2,4.1,18,6.1,2,3,0.115,0,20,19,54.492,35.131,9.191
5.796,2,3.8,18,5.8,2,3,0.109,0,20,19,59.085,35.353,8.451
4.638,2,5.7,18,5.7,3,3,0.125,0,20,19,59.275,35.995,7.575
4.745,2,5.7,18,5.7,3,3,0.125,0,20,19,60.294,35.807,8.594
5.553,2,5.7,18,5.7,3,3,0.125,0,20,19,60.294,35.807,8.594
5.357,2,3.6,18,5.5,2,3,0.121,0,20,19,62.5,37.114,8.245
5.051,2,5.4,18,5.4,3,3,0.136,0,20,19,63.709,37.568,8.384
5.432,2,5.1,18,5.1,3,3,0.129,0,20,19,67.125,39.33,8.195
4.481,2,5.8,18,7.7,3,4,0.127,0,20,18,59.038,35.114,8.432
4.481,2,5.5,18,7.3,3,4,0.138,0,20,18,62.793,36.813,8.554
4.481,2,5.2,18,6.9,3,4,0.148,0,20,18,66.208,38.574,8.354
4.721,2,6.9,12,3.4,4,2,0.115,0,14,14,66.251,37.54,7.974
4.781,1,3.8,11,1.9,2,1,0.091,0,12,11,58.315,33.813,6.49
4.481,2,4.8,6,6.5,3,4,0.127,0,8,8,70.737,39.523,7.411
5.134,1,9.8,17,2.4,4,1,0.116,0,18,17,45.602,28.773,8.727
4.967,2,2.3,12,6.8,1,3,0.178,1,14,14,49.361,29.972,7.443
5.407,2,4.2,16,8.3,2,4,0.12,0,18,16,54.149,31.784,7.301
5.071,2,2.5,12,7.5,1,3,0.146,0,14,14,44.97,27.421,7.896
5.678,2,4.3,12,6.4,2,3,0.188,0,14,14,53.066,30.54,6.924
5.046,2,2.0,12,6.1,1,3,0.16,0,14,14,55.272,31.847,6.602
5.444,2,2.3,12,7.0,1,3,0.182,0,14,14,48.385,29.182,7.671
4.0,2,2.6,12,7.9,1,3,0.075,0,14,14,42.611,25.801,7.352
4.886,1,3.8,11,1.9,2,1,0.091,0,12,11,58.315,33.813,6.49
5.398,0,3.7,11,1.9,2,1,0.088,0,11,10,60.73,34.574,6.287
4.824,0,4.2,6,2.1,2,1,0.1,0,6,6,54.203,31.529,7.465
5.699,1,5.4,17,5.4,2,2,0.077,0,19,17,40.907,26.489,8.172
5.754,2,4.2,16,8.3,2,4,0.12,0,18,16,54.149,31.784,7.301
5.103,2,2.3,12,7.0,1,3,0.182,0,14,14,48.329,30.04,8.472
5.046,2,2.8,6,8.3,1,3,0.139,0,8,8,41.026,22.563,6.482
5.0,1,4.0,12,2.0,2,1,0.057,0,13,13,56.239,32.989,7.069
5.0,3,6.5,12,3.2,4,2,0.045,1,15,13,69.567,41.137,7.333
5.638,1,3.9,11,3.9,2,2,0.056,0,12,11,57.342,33.915,7.312
5.0,2,5.8,12,3.8,3,2,0.018,0,14,14,58.192,34.75,7.24
5.0,1,3.8,12,3.8,2,2,0.035,0,13,13,59.738,34.995,7.179
7.0,1,3.2,11,3.2,2,2,0.061,0,12,11,71.059,40.103,6.264
4.076,1,3.5,6,3.5,2,2,0.085,0,7,7,64.871,36.995,7.569
5.0,4,7.8,12,3.1,5,2,0.044,1,16,14,71.776,42.591,7.541
6.0,2,5.5,12,3.6,3,2,0.017,0,14,14,61.607,36.512,7.1
5.0,2,4.8,17,6.5,3,4,0.045,0,19,17,69.604,41.523,7.364
5.0,2,4.7,17,7.8,3,5,0.058,0,19,17,72.102,42.529,7.369
5.0,4,8.6,12,3.4,5,2,0.048,1,16,14,64.946,39.068,7.838
5.0,2,4.9,18,4.9,3,3,0.045,0,20,19,68.106,41.517,7.436
5.0,2,5.9,12,5.9,3,3,0.036,0,14,13,57.275,33.995,7.402
5.0,1,3.8,12,3.8,2,2,0.035,0,13,13,59.398,35.057,6.84
5.0,2,5.8,12,3.8,3,2,0.036,0,14,14,58.192,34.75,7.24
5.0,3,7.5,12,1.9,4,1,0.036,1,15,13,60.257,35.421,8.557
5.0,3,7.5,12,1.9,4,1,0.054,1,15,13,59.126,37.324,8.838
5.699,1,20.5,0,7.7,8,3,0.024,0,1,1,45.077,22.983,8.187
5.416,0,4.0,12,2.0,2,1,0.135,2,12,12,55.74,34.347,7.512
5.0,2,5.2,12,3.4,3,2,0.016,0,14,14,65.022,38.273,6.975
5.0,3,6.8,12,3.4,4,2,0.048,1,15,13,66.152,39.375,7.468
5.337,1,5.7,11,5.7,2,2,0.054,0,12,11,39.266,24.108,8.308
5.0,1,3.8,12,5.8,2,3,0.036,0,13,12,58.481,34.302,6.99
5.0,1,5.7,12,5.7,3,3,0.035,0,13,12,59.69,34.756,7.16
5.0,1,4.3,12,2.1,2,1,0.02,0,13,13,53.503,31.103,7.988
4.5,4,2.8,17,5.6,2,4,0.107,0,21,22,80.943,47.961,8.466
5.0,1,3.6,17,9.1,2,5,0.051,0,18,14,62.062,36.552,7.337
