pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC
7.398,6.504,31.0,54.0,1.004,1.15,0.598,0.563,565.81,8.0,6,87,0,10,40,0,87,27
2.5,9.08,28.6,35.7,1.06,1.166,0.621,0.644,254.24,21.4,10,28,0,11,19,0,29,8
7.538,12.685,27.3,31.8,1.078,1.159,0.669,0.683,279.07,18.2,0,22,0,4,15,1,22,6
8.149,10.665,27.3,31.8,1.082,1.164,0.646,0.674,234.62,18.2,0,22,0,4,15,0,22,6
7.036,12.09,30.4,34.8,1.065,1.149,0.673,0.675,278.08,13.0,0,23,0,4,15,1,23,7
6.828,6.434,35.6,53.4,0.993,1.139,0.621,0.578,469.7,6.8,12,73,0,14,35,0,74,26
4.0,9.21,48.6,35.1,1.022,1.11,0.724,0.707,340.78,5.4,17,37,0,19,26,0,39,18
6.781,6.269,36.4,54.5,0.989,1.136,0.621,0.575,482.74,5.2,12,77,0,14,36,0,78,28
6.744,6.334,36.5,54.1,0.99,1.136,0.623,0.577,468.71,5.4,12,74,0,14,35,0,75,27
6.553,6.01,32.9,57.1,0.99,1.144,0.601,0.553,420.67,5.7,6,70,0,8,30,0,70,23
8.282,9.08,28.6,35.7,1.06,1.166,0.621,0.644,254.24,21.4,10,28,0,11,19,0,29,8
4.389,8.654,29.0,38.7,1.051,1.164,0.617,0.631,268.27,19.4,10,31,0,11,20,0,32,9
3.3,8.303,29.4,41.2,1.043,1.161,0.615,0.62,282.3,17.6,10,34,0,11,21,0,35,10
2.5,8.693,36.8,36.8,1.038,1.144,0.655,0.66,330.34,15.8,16,38,0,17,26,0,40,14
6.824,9.959,26.3,36.8,1.06,1.151,0.661,0.655,189.22,15.8,5,19,0,6,12,0,19,5
6.591,6.069,32.8,56.7,0.991,1.144,0.602,0.555,406.64,6.0,6,67,0,8,29,0,67,22
5.523,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
6.733,9.959,26.3,36.8,1.06,1.151,0.661,0.655,189.22,15.8,5,19,0,6,12,0,19,5
5.208,5.955,32.9,57.5,0.989,1.144,0.601,0.551,434.7,5.5,6,73,0,8,31,0,73,24
5.248,7.446,41.3,47.8,0.995,1.119,0.678,0.629,342.5,4.3,12,46,0,15,25,0,47,19
4.733,9.189,32.1,39.3,1.044,1.14,0.662,0.651,257.3,10.7,0,28,0,4,18,0,29,9
5.387,9.818,34.6,34.6,1.052,1.135,0.683,0.68,255.28,11.5,5,26,0,8,18,0,27,9
4.0,6.727,31.3,53.1,1.015,1.146,0.591,0.565,215.28,3.1,0,32,0,3,14,0,31,10
5.959,7.109,33.3,50.0,1.02,1.141,0.605,0.586,213.26,3.3,0,30,0,3,15,0,30,10
4.658,6.051,31.9,56.9,0.992,1.147,0.599,0.552,435.69,6.9,6,72,0,8,31,0,72,23
4.2,7.745,26.3,47.4,1.05,1.158,0.572,0.578,147.15,5.3,0,19,0,2,9,0,18,5
5.0,8.271,38.9,44.4,1.022,1.128,0.66,0.637,297.76,2.8,6,36,0,9,20,0,36,14
5.0,7.334,37.5,47.5,1.017,1.132,0.628,0.608,293.35,2.5,6,40,0,9,21,0,40,15
4.678,7.976,41.9,41.9,1.023,1.123,0.658,0.646,247.27,3.2,6,31,0,7,21,0,34,13
6.569,8.568,32.0,40.0,1.055,1.148,0.613,0.629,214.2,8.0,5,25,0,7,15,0,25,8
5.35,9.748,35.0,40.0,1.032,1.126,0.708,0.67,389.92,7.5,6,40,0,11,27,0,43,14
5.358,10.33,30.0,35.0,1.074,1.151,0.649,0.665,206.6,10.0,5,20,0,6,13,0,20,6
4.854,12.553,30.0,35.0,1.07,1.146,0.673,0.675,251.05,10.0,5,20,0,6,13,1,20,6
5.866,7.745,26.3,47.4,1.05,1.158,0.572,0.578,147.15,5.3,0,19,0,2,9,0,18,5
