pXC50,nBO,nCsp2,nCsp3,nSK,nBM,nC,nHet,nBT,Se,nAT,Mi,MW,Sv,Si,C.,Sp,nH,nAB,nX,nDB,Mv,nF,Me,RBN,SCBO,X.,nO,nHM,O.,Mp
5.357,49,14,20,46,12,34,12,98,94.988,95,1.135,655.95,56.172,107.802,35.8,60.154,49,6,0,6,0.591,0,1.0,15,58.0,0.0,6,1,6.3,0.633
6.509,52,17,20,49,20,37,12,104,100.647,101,1.134,693.02,60.006,114.506,36.6,64.467,52,17,0,3,0.594,0,0.997,19,63.5,0.0,5,1,5.0,0.638
6.602,53,17,19,49,20,36,13,101,97.207,97,1.133,692.97,58.667,109.885,37.1,62.398,48,17,0,3,0.605,0,1.002,17,64.5,0.0,6,1,6.2,0.643
7.81,48,11,20,45,14,31,14,95,92.174,92,1.138,661.99,54.634,104.679,33.7,58.836,47,11,0,3,0.594,0,1.002,16,56.5,0.0,5,2,5.4,0.64
7.481,54,17,20,50,20,37,13,105,100.865,101,1.135,706.02,60.5,114.59,36.6,64.711,51,17,0,3,0.599,0,0.999,17,65.5,0.0,5,1,5.0,0.641
7.237,51,14,23,48,15,37,11,106,102.312,103,1.134,682.04,60.038,116.839,35.9,64.984,55,12,0,3,0.583,0,0.993,18,60.0,0.0,5,1,4.9,0.631
7.252,49,14,20,46,15,34,12,98,94.988,95,1.135,655.95,56.172,107.802,35.8,60.154,49,12,0,3,0.591,0,1.0,16,58.0,0.0,6,1,6.3,0.633
6.638,61,18,24,57,21,42,15,120,116.054,116,1.135,806.15,69.037,131.669,36.2,73.666,59,17,0,4,0.595,0,1.0,20,73.5,0.0,7,1,6.0,0.635
6.114,48,14,20,45,15,34,11,97,93.661,94,1.134,639.95,55.458,106.593,36.2,59.699,49,12,0,3,0.59,0,0.996,15,57.0,0.0,5,1,5.3,0.635
6.757,48,13,21,46,15,34,12,99,97.123,97,1.139,641.9,56.227,110.507,35.1,59.722,51,11,0,4,0.58,0,1.001,18,57.5,0.0,7,0,7.2,0.616
6.886,51,17,19,48,20,36,12,101,97.763,98,1.134,678.99,58.479,111.091,36.7,62.705,50,17,0,3,0.597,0,0.998,18,62.5,0.0,5,1,5.1,0.64
8.328,59,15,27,57,17,42,15,126,123.504,124,1.143,794.18,70.759,141.782,33.9,75.859,67,12,0,5,0.571,0,0.996,23,70.0,0.0,6,0,4.8,0.612
8.347,58,15,26,56,17,41,15,123,120.621,121,1.144,780.15,69.232,138.367,33.9,74.098,65,12,0,5,0.572,0,0.997,24,69.0,0.0,6,0,5.0,0.612
8.745,57,15,25,55,17,40,15,120,117.737,118,1.144,766.12,67.705,134.952,33.9,72.336,63,12,0,5,0.574,0,0.998,21,68.0,0.0,6,0,5.1,0.613
7.0,58,8,32,59,8,40,19,133,134.348,134,1.151,842.24,73.725,154.28,29.9,78.723,75,0,0,8,0.55,0,1.003,28,66.0,0.0,10,0,7.5,0.587
4.699,37,12,15,36,14,27,9,78,76.723,77,1.14,499.73,44.449,87.803,35.1,47.552,41,11,0,3,0.577,0,0.996,14,45.5,0.0,4,0,5.2,0.618
7.027,46,12,20,43,11,32,11,91,88.479,88,1.135,599.8,51.845,99.889,36.4,54.642,45,6,0,5,0.589,0,1.005,7,54.0,0.0,8,0,9.1,0.621
7.721,49,11,28,48,10,39,9,114,111.661,113,1.138,672.07,62.684,128.623,34.5,68.347,65,6,0,4,0.555,0,0.988,22,56.0,0.0,6,0,5.3,0.605
7.921,46,10,27,45,9,37,8,108,105.675,107,1.137,631.01,59.136,121.709,34.6,64.58,62,6,0,3,0.553,0,0.988,21,52.0,0.0,6,0,5.6,0.604
8.222,48,12,25,47,11,37,10,108,106.112,107,1.139,657.01,60.125,121.875,34.6,65.069,60,6,0,5,0.562,0,0.992,19,56.0,0.0,6,0,5.6,0.608
8.62,45,19,14,42,19,33,9,84,81.156,81,1.123,634.09,50.92,90.97,40.7,54.631,39,18,3,1,0.629,0,1.002,16,55.0,3.7,4,3,4.9,0.674
8.886,57,10,29,52,10,39,13,116,110.985,111,1.139,726.03,64.049,126.377,35.1,68.222,59,6,0,4,0.577,0,1.0,10,64.0,0.0,8,0,7.2,0.615
7.0,47,6,28,48,6,34,14,110,111.079,111,1.148,686.02,60.817,127.417,30.6,65.2,63,0,0,6,0.548,0,1.001,22,53.0,0.0,9,0,8.1,0.587
8.26,48,11,27,47,10,38,9,111,108.777,110,1.138,658.04,61.157,125.207,34.5,66.586,63,6,0,4,0.556,0,0.989,21,55.0,0.0,6,0,5.5,0.605
7.215,46,10,21,43,10,31,12,91,88.807,88,1.137,603.79,51.56,100.099,35.2,54.097,45,6,0,4,0.586,0,1.009,8,53.0,0.0,9,0,10.2,0.615
6.523,59,8,33,60,8,41,19,136,137.232,137,1.151,856.27,75.252,157.696,29.9,80.484,77,0,0,8,0.549,0,1.002,29,67.0,0.0,10,0,7.3,0.587
7.721,48,21,14,43,20,35,8,87,81.723,82,1.121,620.67,51.873,91.9,42.7,55.563,39,18,2,2,0.633,0,0.997,10,59.0,2.4,3,2,3.7,0.678
9.097,36,9,18,35,9,27,8,79,77.614,78,1.139,489.73,44.174,88.846,34.6,47.518,43,6,0,3,0.566,0,0.995,13,42.0,0.0,5,0,6.4,0.609
7.336,48,21,11,44,26,32,12,86,82.461,82,1.129,618.83,51.318,92.6,39.0,54.137,38,23,0,3,0.626,0,1.006,12,62.5,0.0,5,1,6.1,0.66
8.42,48,18,15,44,19,33,11,86,82.701,82,1.125,663.09,52.13,92.263,40.2,55.33,38,18,3,1,0.636,0,1.009,13,58.0,3.7,5,3,6.1,0.675
8.699,42,23,9,38,24,32,6,74,69.872,70,1.113,530.1,45.137,77.923,45.7,47.864,32,23,1,1,0.645,0,0.998,10,54.5,1.4,4,1,5.7,0.684
5.301,28,16,6,25,17,22,3,50,46.378,47,1.109,396.35,30.556,52.117,46.8,33.188,22,17,1,0,0.65,0,0.987,4,36.5,2.1,1,1,2.1,0.706
7.041,34,21,5,30,23,26,4,59,54.352,55,1.114,395.54,35.574,61.272,47.3,37.847,25,22,0,1,0.647,0,0.988,4,46.0,0.0,1,0,1.8,0.688
6.377,34,21,4,30,23,25,5,57,52.796,53,1.114,397.51,34.762,59.066,47.2,36.54,23,22,0,1,0.656,0,0.996,4,46.0,0.0,2,0,3.8,0.689
8.699,38,21,7,34,23,28,6,66,61.96,62,1.123,457.59,39.725,69.651,45.2,41.762,28,22,1,1,0.641,1,0.999,4,50.0,1.6,2,0,3.2,0.674
8.796,71,20,30,68,23,50,18,147,143.795,144,1.141,945.36,83.317,164.36,34.7,88.819,76,17,0,6,0.579,0,0.999,26,85.5,0.0,8,0,5.6,0.617
7.398,71,20,30,68,23,50,18,147,143.795,144,1.141,945.36,83.317,164.36,34.7,88.819,76,17,0,6,0.579,0,0.999,26,85.5,0.0,8,0,5.6,0.617
4.097,37,12,15,36,14,27,9,78,76.723,77,1.14,499.73,44.449,87.803,35.1,47.552,41,11,0,3,0.577,0,0.996,14,45.5,0.0,4,0,5.2,0.618
8.222,45,8,28,44,8,36,8,107,104.675,106,1.139,619.0,58.136,120.709,34.0,63.58,62,6,0,2,0.548,0,0.988,19,50.0,0.0,6,0,5.7,0.6
7.602,48,11,27,47,10,38,9,111,108.777,110,1.138,658.04,61.157,125.207,34.5,66.586,63,6,0,4,0.556,0,0.989,20,55.0,0.0,6,0,5.5,0.605
6.076,38,14,16,36,14,30,6,80,77.185,78,1.13,494.74,45.438,88.138,38.5,49.057,42,12,0,2,0.583,0,0.99,11,46.0,0.0,4,0,5.1,0.629
9.301,60,11,29,57,11,40,17,122,120.287,119,1.141,807.06,68.655,135.756,33.6,72.012,62,6,0,5,0.577,0,1.011,19,68.0,0.0,13,0,10.9,0.605
5.0,44,10,25,43,9,35,8,103,100.683,102,1.139,601.97,56.389,116.168,34.3,61.609,59,6,0,3,0.553,0,0.987,19,50.0,0.0,5,0,4.9,0.604
6.745,56,12,24,54,12,36,18,107,107.069,105,1.138,822.26,63.601,119.509,34.3,66.631,51,6,3,6,0.606,0,1.02,13,65.0,2.9,11,3,10.5,0.635
5.745,46,11,21,44,11,32,12,93,91.69,91,1.138,617.82,53.087,103.514,35.2,55.858,47,6,0,5,0.583,0,1.008,9,54.0,0.0,9,0,9.9,0.614
5.936,45,24,11,42,24,35,7,84,80.73,81,1.118,608.65,51.072,90.528,43.2,54.767,39,24,2,0,0.631,0,0.997,15,57.0,2.5,4,2,4.9,0.676
6.851,45,25,10,42,25,35,7,82,78.847,79,1.115,606.63,50.545,88.113,44.3,54.006,37,24,2,1,0.64,0,0.998,14,58.0,2.5,4,2,5.1,0.684
5.954,46,25,11,43,25,36,7,86,82.505,83,1.118,619.68,52.378,92.817,43.4,56.319,40,24,2,1,0.631,0,0.994,13,59.0,2.4,3,2,3.6,0.679
6.987,45,25,9,42,25,34,8,81,78.065,78,1.118,607.62,50.039,87.196,43.6,53.25,36,24,2,1,0.642,0,1.001,14,58.0,2.6,4,2,5.1,0.683
8.018,45,25,10,42,25,35,7,83,79.621,80,1.118,605.65,50.851,89.402,43.8,54.557,38,24,2,1,0.636,0,0.995,13,58.0,2.5,3,2,3.8,0.682
6.883,46,25,11,43,25,36,7,86,82.505,83,1.118,619.68,52.378,92.817,43.4,56.319,40,24,2,1,0.631,0,0.994,14,59.0,2.4,3,2,3.6,0.679
7.353,39,24,6,36,24,30,6,67,63.982,64,1.109,540.94,42.835,70.977,46.9,45.909,28,24,3,0,0.669,0,1.0,10,51.0,4.7,2,3,3.1,0.717
5.441,41,24,7,38,24,31,7,71,68.192,68,1.112,570.97,45.077,75.602,45.6,48.125,30,24,3,0,0.663,0,1.003,11,53.0,4.4,3,3,4.4,0.708
5.939,40,24,6,37,24,30,7,67,64.494,64,1.114,558.93,43.219,71.317,46.9,45.847,27,24,4,0,0.675,1,1.008,10,52.0,6.3,2,3,3.1,0.716
6.099,40,24,7,37,24,31,6,70,66.865,67,1.11,554.97,44.362,74.392,46.3,47.671,30,24,3,0,0.662,0,0.998,10,52.0,4.5,2,3,3.0,0.712
6.117,40,24,6,37,24,30,7,67,64.305,64,1.108,575.38,43.663,70.921,46.9,46.767,27,24,4,0,0.682,0,1.005,10,52.0,6.3,2,4,3.1,0.731
5.718,43,24,10,40,24,34,6,80,76.52,77,1.116,578.62,48.83,85.903,44.2,52.552,37,24,2,0,0.634,0,0.994,13,55.0,2.6,3,2,3.9,0.682
6.936,44,24,11,41,24,35,6,83,79.403,80,1.116,592.65,50.357,89.319,43.8,54.313,39,24,2,0,0.629,0,0.993,14,56.0,2.5,3,2,3.8,0.679
5.825,44,24,10,41,24,34,7,81,77.847,78,1.117,594.62,49.545,87.113,43.6,53.006,37,24,2,0,0.635,0,0.998,14,56.0,2.6,4,2,5.1,0.68
6.272,44,25,9,41,25,34,7,79,75.963,76,1.114,592.6,49.018,84.698,44.7,52.245,35,24,2,1,0.645,0,1.0,13,57.0,2.6,4,2,5.3,0.687
6.264,43,24,9,40,25,34,6,77,73.527,74,1.113,573.6,48.083,82.362,45.9,51.58,34,24,2,0,0.65,0,0.994,12,57.0,2.7,2,2,2.7,0.697
6.86,44,25,9,41,25,34,7,80,76.738,77,1.117,591.62,49.325,85.986,44.2,52.796,36,24,2,1,0.641,0,0.997,12,57.0,2.6,3,2,3.9,0.686
6.381,43,24,7,39,28,31,8,73,69.08,69,1.118,561.55,45.545,77.113,44.9,48.307,30,28,2,0,0.66,0,1.001,10,57.0,2.9,2,2,2.9,0.7
6.642,40,23,7,37,24,30,7,71,67.861,68,1.118,536.54,44.051,76.03,44.1,47.063,31,24,2,0,0.648,0,0.998,10,52.0,2.9,2,2,2.9,0.692
6.212,39,22,7,36,24,29,7,68,64.978,65,1.117,522.51,42.524,72.615,44.6,45.301,29,24,2,0,0.654,0,1.0,10,51.0,3.1,2,2,3.1,0.697
