pXC50,nF,nCsp,nHet,nTB,Mi,Me,Sv,H.,nCL,nHM,Mv,Mp,nC,X.,AMW,Sp,nX,SCBO,nBM,Si,nAB,nCsp2,RBF,nCsp3,MW,Se,N.,RBN
5.0,1,0,4,0,1.107,1.0,35.742,40.4,1,1,0.687,0.724,27,3.8,8.268,37.631,2,47.0,25,57.559,24,25,0.109,2,429.94,51.985,1.9,6
7.9,1,0,9,0,1.111,1.014,42.314,40.3,1,3,0.682,0.723,28,3.2,9.002,44.813,2,56.0,28,68.857,24,24,0.123,4,558.13,62.887,1.6,8
7.1,1,0,11,0,1.119,1.022,40.303,39.0,1,3,0.683,0.717,25,3.4,9.29,42.301,2,54.5,27,66.023,23,21,0.129,4,548.1,60.323,5.1,8
6.0,3,0,8,0,1.127,1.03,33.551,35.4,0,1,0.699,0.713,23,6.3,9.219,34.233,3,47.5,25,54.091,23,20,0.059,3,442.49,49.425,4.2,3
6.0,3,0,8,0,1.127,1.03,33.551,35.4,0,1,0.699,0.713,23,6.3,9.219,34.233,3,47.5,25,54.091,23,20,0.059,3,442.49,49.425,4.2,3
6.879,3,0,8,0,1.128,1.026,35.077,37.3,0,1,0.688,0.706,24,5.9,8.951,35.995,3,48.5,25,57.507,23,20,0.074,4,456.52,52.309,3.9,4
7.5,3,0,11,0,1.127,1.025,45.021,41.2,0,2,0.662,0.688,29,4.4,8.702,46.807,3,58.5,27,76.632,23,22,0.113,7,591.72,69.683,1.5,8
6.066,0,0,6,0,1.102,1.007,31.701,37.8,1,2,0.704,0.745,22,2.2,9.087,33.517,1,44.5,25,49.601,23,20,0.063,2,408.93,45.327,4.4,3
7.8,1,0,9,0,1.113,1.01,45.368,42.6,1,3,0.667,0.711,30,2.9,8.62,48.335,2,58.0,28,75.688,24,24,0.113,6,586.19,68.654,1.5,8
6.0,3,0,8,0,1.127,1.03,33.551,35.4,0,1,0.699,0.713,23,6.3,9.219,34.233,3,47.5,25,54.091,23,20,0.059,3,442.49,49.425,4.2,3
8.3,1,0,9,0,1.109,1.017,40.787,39.0,1,3,0.691,0.73,27,3.4,9.222,43.051,2,55.0,28,65.442,24,24,0.129,3,544.1,60.003,1.7,8
7.05,1,0,9,0,1.113,1.01,45.368,42.6,1,3,0.667,0.711,30,2.9,8.62,48.335,2,58.0,28,75.688,24,24,0.113,6,586.19,68.654,1.5,8
7.7,1,0,9,0,1.115,1.018,37.787,41.1,1,3,0.675,0.715,24,3.6,9.073,40.051,2,49.0,22,62.442,18,18,0.136,6,508.07,57.003,1.8,8
6.524,0,1,6,1,1.103,1.005,32.369,37.0,0,1,0.704,0.737,23,0.0,8.685,33.904,0,47.5,26,50.74,23,20,0.061,2,399.5,46.222,6.5,3
6.403,0,0,6,0,1.108,1.004,33.116,40.8,0,1,0.676,0.712,23,0.0,8.256,34.875,0,45.5,25,54.282,23,20,0.077,3,404.52,49.214,4.1,4
6.547,3,0,7,0,1.123,1.025,34.056,36.7,0,1,0.695,0.714,24,6.1,9.01,34.989,3,47.5,25,55.008,23,21,0.058,3,441.5,50.207,2.0,3
6.45,3,0,7,0,1.123,1.025,34.056,36.7,0,1,0.695,0.714,24,6.1,9.01,34.989,3,47.5,25,55.008,23,21,0.058,3,441.5,50.207,2.0,3
6.28,3,0,7,0,1.122,1.029,32.529,34.8,0,1,0.707,0.722,23,6.5,9.293,33.228,3,46.5,25,51.593,23,21,0.061,2,427.47,47.323,2.2,3
6.0,3,0,7,0,1.122,1.029,32.529,34.8,0,1,0.707,0.722,23,6.5,9.293,33.228,3,46.5,25,51.593,23,21,0.061,2,427.47,47.323,2.2,3
6.975,3,0,7,0,1.124,1.018,37.11,40.0,0,1,0.675,0.7,26,5.5,8.537,38.512,3,49.5,25,61.839,23,21,0.086,5,469.56,55.974,1.8,5
6.248,5,0,9,0,1.136,1.051,33.296,30.4,0,1,0.724,0.72,23,10.9,10.075,33.103,5,48.5,25,52.272,23,21,0.061,2,463.45,48.349,2.2,3
6.793,4,0,8,0,1.13,1.035,34.439,34.7,0,1,0.703,0.713,24,8.2,9.377,34.926,4,48.5,25,55.348,23,21,0.058,3,459.49,50.72,2.0,3
6.71,5,0,9,0,1.136,1.046,34.823,32.7,0,1,0.711,0.712,24,10.2,9.744,34.864,5,49.5,25,55.688,23,21,0.058,3,477.48,51.232,2.0,3
6.291,4,0,8,0,1.129,1.04,32.913,32.6,0,1,0.715,0.721,23,8.7,9.684,33.165,4,47.5,25,51.933,23,21,0.061,2,445.46,47.836,2.2,3
7.041,3,0,7,0,1.124,1.018,37.11,40.0,0,1,0.675,0.7,26,5.5,8.537,38.512,3,49.5,25,61.839,23,21,0.069,5,469.56,55.974,1.8,4
7.0,3,0,7,0,1.116,1.017,41.11,37.3,0,1,0.697,0.721,30,5.1,8.773,42.512,3,57.5,31,65.839,29,27,0.079,3,517.6,59.974,1.7,5
5.481,3,0,7,0,1.116,1.017,41.11,37.3,0,1,0.697,0.721,30,5.1,8.773,42.512,3,57.5,31,65.839,29,27,0.079,3,517.6,59.974,1.7,5
7.119,3,0,7,0,1.124,1.021,35.583,38.5,0,1,0.684,0.707,25,5.8,8.76,36.75,3,48.5,25,58.423,23,21,0.073,4,455.53,53.091,1.9,4
5.967,3,0,7,0,1.123,1.025,34.056,36.7,0,1,0.695,0.714,24,6.1,9.01,34.989,3,47.5,25,55.008,23,21,0.077,3,441.5,50.207,2.0,4
6.237,3,0,7,0,1.124,1.021,35.583,38.5,0,1,0.684,0.707,25,5.8,8.76,36.75,3,48.5,25,58.423,23,21,0.073,4,455.53,53.091,1.9,4
6.757,3,0,7,0,1.124,1.021,35.583,38.5,0,1,0.684,0.707,25,5.8,8.76,36.75,3,48.5,25,58.423,23,21,0.055,4,455.53,53.091,1.9,3
6.201,3,0,8,0,1.125,1.027,36.298,37.7,0,1,0.685,0.702,25,5.7,8.897,37.205,3,49.5,25,59.633,23,21,0.071,4,471.53,54.418,1.9,4
5.0,3,0,12,0,1.135,1.036,43.577,37.5,2,2,0.681,0.692,28,7.8,9.288,44.262,5,55.5,24,72.637,23,21,0.134,7,594.45,66.287,4.7,9
5.0,3,0,12,0,1.133,1.039,43.05,35.5,2,2,0.694,0.702,28,8.1,9.555,43.5,5,56.5,24,70.222,23,21,0.136,7,592.43,64.403,4.8,9
5.0,3,0,12,0,1.133,1.039,43.05,35.5,2,2,0.694,0.702,28,8.1,9.555,43.5,5,56.5,24,70.222,23,21,0.136,7,592.43,64.403,4.8,9
6.071,0,0,4,0,1.112,1.005,23.633,40.0,0,0,0.675,0.7,17,0.0,7.952,24.489,0,32.0,15,38.907,12,16,0.081,1,278.33,35.16,5.7,3
5.081,3,1,10,1,1.132,1.061,29.4,27.5,0,1,0.735,0.721,19,7.5,10.51,28.858,3,42.0,16,45.265,12,16,0.095,2,420.39,42.429,5.0,4
5.244,6,0,11,0,1.159,1.074,30.394,30.2,0,1,0.707,0.686,19,14.0,10.451,29.495,6,42.5,19,49.822,17,16,0.089,3,449.4,46.189,2.3,4
4.921,6,0,15,0,1.177,1.116,28.399,21.1,1,2,0.747,0.698,15,18.4,12.521,26.534,7,42.0,18,44.726,16,12,0.1,3,475.78,42.393,7.9,4
4.699,6,0,11,0,1.165,1.058,31.974,38.8,0,1,0.653,0.649,19,12.2,9.295,31.779,6,39.0,14,57.067,12,12,0.1,7,455.46,51.84,2.0,5
5.222,6,0,12,0,1.164,1.081,29.889,28.6,0,1,0.712,0.684,18,14.3,10.724,28.739,6,42.5,19,48.905,17,15,0.091,3,450.39,45.407,4.8,4
4.745,6,0,12,0,1.171,1.086,28.109,31.7,0,1,0.686,0.657,16,14.6,10.472,26.949,6,37.0,14,48.031,12,12,0.119,4,429.37,44.516,2.4,5
6.585,0,0,5,0,1.108,1.006,31.402,39.1,0,0,0.683,0.706,23,0.0,8.053,32.466,0,43.0,21,50.946,18,22,0.102,1,370.43,46.254,4.3,5
6.24,0,0,5,0,1.112,1.01,25.988,39.5,1,1,0.684,0.713,18,2.6,8.6,27.108,1,34.0,15,42.266,12,16,0.1,2,326.8,38.367,5.3,4
7.398,0,0,5,0,1.109,1.003,32.928,40.8,0,0,0.672,0.699,24,0.0,7.846,34.228,0,44.0,21,54.362,18,22,0.115,2,384.46,49.138,4.1,6
6.959,0,0,5,0,1.104,1.006,31.514,37.8,1,1,0.7,0.73,23,2.2,8.642,32.87,1,43.0,21,49.681,18,22,0.104,1,388.87,45.251,4.4,5
6.699,0,0,5,0,1.118,1.006,27.402,42.9,0,0,0.652,0.678,19,0.0,7.676,28.466,0,35.0,15,46.946,12,16,0.114,3,322.39,42.254,4.8,5
6.523,0,0,5,0,1.116,1.01,25.875,41.0,0,0,0.663,0.685,18,0.0,7.907,26.705,0,34.0,15,43.531,12,16,0.098,2,308.36,39.371,5.1,4
8.699,0,0,7,0,1.121,0.996,55.12,50.5,0,0,0.606,0.645,38,0.0,6.756,58.694,0,60.0,16,102.015,12,16,0.083,22,614.84,90.614,0.0,8
6.788,0,0,4,0,1.12,0.985,49.449,53.0,0,0,0.596,0.645,35,0.0,6.371,53.569,0,52.0,14,92.972,12,14,0.045,21,528.79,81.748,0.0,4
4.301,0,0,3,0,1.124,0.988,30.52,53.8,0,0,0.587,0.635,21,0.0,6.317,33.023,0,31.0,8,58.441,6,9,0.093,12,328.49,51.352,0.0,5
4.301,0,0,2,0,1.121,0.975,41.745,54.9,0,0,0.588,0.647,30,0.0,6.052,45.927,0,43.0,13,79.597,12,13,0.053,17,429.7,69.218,1.4,4
4.301,0,0,3,0,1.125,0.98,38.933,55.2,0,0,0.581,0.636,27,0.0,6.084,42.62,0,39.0,7,75.391,6,7,0.028,20,407.65,65.661,1.5,2
4.301,0,0,3,0,1.12,0.981,41.933,52.9,0,0,0.599,0.652,30,0.0,6.338,45.62,0,45.0,14,78.391,12,14,0.041,16,443.68,68.661,1.4,3
4.301,0,0,3,0,1.126,0.979,40.46,55.7,0,0,0.578,0.634,28,0.0,6.024,44.381,0,40.0,7,78.806,6,7,0.04,21,421.68,68.545,1.4,3
4.301,0,0,3,0,1.123,0.98,39.933,54.4,0,0,0.587,0.641,28,0.0,6.171,43.62,0,41.0,8,76.391,6,8,0.027,20,419.66,66.661,1.5,2
6.745,0,0,2,0,1.119,0.976,38.692,53.8,0,0,0.595,0.652,28,0.0,6.179,42.404,0,41.0,13,72.766,12,13,0.029,15,401.64,63.45,1.5,2
4.301,0,0,2,0,1.12,0.977,40.439,55.1,0,0,0.586,0.643,29,0.0,6.068,44.376,0,41.0,8,77.308,6,8,0.054,21,418.67,67.443,0.0,4
7.921,0,0,4,0,1.122,0.985,48.449,53.7,0,0,0.591,0.641,34,0.0,6.302,52.569,0,50.0,13,91.972,12,13,0.046,21,516.78,80.748,0.0,4
4.563,0,0,3,0,1.123,0.989,28.993,53.1,0,0,0.592,0.638,20,0.0,6.418,31.262,0,30.0,8,55.026,6,9,0.078,11,314.46,48.469,0.0,4
4.301,0,0,3,0,1.121,0.983,35.353,52.5,0,0,0.599,0.65,25,0.0,6.399,38.336,0,38.0,13,66.145,12,13,0.065,12,377.57,58.01,1.7,4
5.0,0,0,5,0,1.127,0.988,44.417,53.9,0,0,0.584,0.632,30,0.0,6.312,48.052,0,45.0,8,85.64,6,8,0.062,22,479.72,75.083,1.3,5
6.432,0,0,2,0,1.119,0.976,38.692,53.8,0,0,0.595,0.652,28,0.0,6.179,42.404,0,41.0,13,72.766,12,13,0.029,15,401.64,63.45,1.5,2
5.824,0,0,2,0,1.116,0.977,40.692,52.2,0,0,0.607,0.663,30,0.0,6.353,44.404,0,45.0,14,74.766,12,15,0.014,15,425.66,65.45,1.5,1
4.301,0,0,3,0,1.127,0.98,37.933,56.1,0,0,0.575,0.631,26,0.0,5.995,41.62,0,37.0,7,74.391,6,7,0.029,19,395.64,64.661,1.5,2
6.714,0,0,3,0,1.125,0.98,38.933,55.2,0,0,0.581,0.636,27,0.0,6.084,42.62,0,39.0,7,75.391,6,7,0.028,20,407.65,65.661,1.5,2
6.097,3,0,9,0,1.13,1.024,38.846,39.7,0,1,0.67,0.689,26,5.2,8.631,39.972,3,51.5,25,65.546,23,22,0.115,4,500.58,59.403,3.4,7
5.0,3,0,9,0,1.131,1.021,40.373,41.0,0,1,0.662,0.684,27,4.9,8.436,41.733,3,52.5,25,68.962,23,22,0.125,5,514.61,62.287,3.3,8
5.745,3,0,10,0,1.141,1.031,35.561,41.8,0,1,0.647,0.662,22,5.5,8.519,36.426,3,44.5,19,62.756,17,16,0.14,6,468.54,56.731,3.6,8
6.046,3,0,10,0,1.141,1.028,37.087,43.1,0,1,0.639,0.658,23,5.2,8.32,38.188,3,45.5,19,66.171,17,16,0.15,7,482.57,59.614,3.4,9
6.097,3,0,9,0,1.14,1.026,34.846,42.6,0,1,0.645,0.666,22,5.6,8.38,35.972,3,43.5,19,61.546,17,16,0.143,6,452.54,55.403,3.7,8
5.824,3,0,10,0,1.141,1.028,37.087,43.1,0,1,0.639,0.658,23,5.2,8.32,38.188,3,45.5,19,66.171,17,16,0.15,7,482.57,59.614,3.4,9
6.155,3,0,9,0,1.14,1.023,36.373,43.9,0,1,0.638,0.662,23,5.3,8.185,37.733,3,44.5,19,64.962,17,16,0.153,7,466.57,58.287,3.5,9
5.0,3,0,8,0,1.146,1.048,24.717,37.8,0,1,0.668,0.674,15,8.1,9.334,24.921,3,32.0,14,42.387,12,12,0.105,3,345.37,38.767,2.7,4
7.699,6,0,11,0,1.171,1.08,27.394,32.5,0,1,0.685,0.662,16,15.0,10.334,26.495,6,36.0,14,46.822,12,12,0.098,4,413.37,43.189,2.5,4
5.658,6,0,11,0,1.168,1.071,28.921,34.9,0,1,0.673,0.657,17,14.0,9.94,28.256,6,37.0,14,50.237,12,12,0.114,5,427.4,46.072,2.3,5
5.0,3,0,12,0,1.156,1.057,28.749,33.3,0,1,0.685,0.677,16,7.1,9.843,28.421,3,40.5,19,48.55,17,13,0.114,3,413.42,44.407,11.9,5
5.277,3,2,11,1,1.133,1.031,41.802,39.7,0,1,0.664,0.677,27,4.8,8.676,42.642,3,55.0,23,71.38,18,18,0.108,7,546.61,64.941,3.2,7
6.444,3,0,9,0,1.145,1.027,35.9,43.9,0,0,0.63,0.641,23,5.3,7.904,36.54,3,43.0,17,65.251,16,14,0.169,9,450.5,58.538,3.5,10
6.796,8,0,13,0,1.184,1.095,29.687,30.2,0,1,0.69,0.654,17,18.6,10.776,28.131,8,39.0,14,50.916,12,12,0.114,5,463.38,47.098,2.3,5
5.0,3,0,8,0,1.133,1.028,33.298,40.0,0,1,0.666,0.684,22,6.0,8.71,34.205,3,43.0,20,56.633,18,18,0.115,4,435.5,51.418,2.0,6
5.824,3,0,9,0,1.13,1.039,30.431,36.4,0,2,0.692,0.712,19,6.8,9.716,31.33,3,40.5,19,49.722,17,16,0.109,3,427.5,45.727,2.3,5
5.444,3,0,8,0,1.132,1.033,31.771,38.3,0,1,0.676,0.69,21,6.4,8.967,32.443,3,42.0,20,53.218,18,18,0.102,3,421.47,48.534,2.1,5
5.125,3,0,10,0,1.135,1.045,29.926,34.9,0,2,0.696,0.711,18,7.0,9.965,30.574,3,40.5,19,48.806,17,15,0.111,3,428.49,44.945,4.7,5
5.0,3,0,10,0,1.145,1.045,29.76,36.4,0,1,0.676,0.68,18,6.8,9.351,29.932,3,40.5,19,50.384,17,15,0.109,3,411.44,45.971,6.8,5
5.0,3,0,11,0,1.15,1.051,29.255,34.9,0,1,0.68,0.679,17,7.0,9.591,29.176,3,40.5,19,49.467,17,14,0.111,3,412.43,45.189,9.3,5
5.194,6,2,11,1,1.162,1.076,29.394,31.0,0,1,0.7,0.678,18,14.3,10.414,28.495,6,40.0,15,48.822,12,12,0.093,4,437.39,45.189,2.4,4
4.523,3,2,8,1,1.138,1.026,32.824,43.1,0,1,0.644,0.666,21,5.9,8.343,33.966,3,40.0,15,58.048,12,12,0.096,7,425.51,52.301,2.0,5
5.427,3,2,8,1,1.127,1.031,33.771,36.7,0,1,0.689,0.703,23,6.1,9.092,34.443,3,46.0,21,55.218,18,18,0.078,3,445.49,50.534,2.0,4
5.48,7,2,12,1,1.154,1.067,36.831,30.8,0,1,0.708,0.691,24,13.5,10.221,35.955,7,51.0,21,59.992,18,18,0.093,4,531.48,55.469,1.9,5
5.097,3,2,8,1,1.129,1.02,38.351,41.4,0,1,0.661,0.685,26,5.2,8.407,39.728,3,49.0,21,65.463,18,18,0.1,6,487.58,59.185,1.7,6
5.48,3,2,8,1,1.138,1.016,37.405,46.7,0,1,0.623,0.654,24,5.0,7.793,39.25,3,43.0,15,68.294,12,12,0.098,10,467.6,60.952,1.7,6
5.0,3,2,8,1,1.129,1.018,39.878,42.6,0,1,0.654,0.68,27,4.9,8.223,41.489,3,50.0,21,68.878,18,18,0.111,7,501.61,62.069,1.6,7
5.48,3,2,8,1,1.134,1.015,39.405,45.2,0,1,0.636,0.665,26,4.8,7.929,41.25,3,47.0,16,70.294,12,14,0.094,10,491.62,62.952,1.6,6
5.21,3,2,9,1,1.132,1.025,37.846,40.4,0,1,0.664,0.684,25,5.3,8.571,38.972,3,49.0,21,64.546,18,17,0.102,6,488.57,58.403,3.5,6
5.0,3,2,9,1,1.132,1.025,37.846,40.4,0,1,0.664,0.684,25,5.3,8.571,38.972,3,49.0,21,64.546,18,17,0.102,6,488.57,58.403,3.5,6
5.146,3,2,10,1,1.139,1.026,37.867,41.4,0,1,0.653,0.672,24,5.2,8.476,38.978,3,48.5,20,66.045,17,15,0.1,7,491.58,59.505,5.2,6
5.248,3,2,10,1,1.136,1.027,39.087,41.7,0,1,0.651,0.67,25,5.0,8.443,40.188,3,49.5,20,68.171,17,15,0.097,8,506.59,61.614,3.3,6
5.385,3,2,10,1,1.139,1.023,39.394,42.6,0,1,0.646,0.668,25,4.9,8.289,40.739,3,49.5,20,69.46,17,15,0.111,8,505.61,62.389,4.9,7
5.0,3,3,9,2,1.128,1.024,39.846,39.0,0,1,0.675,0.694,27,5.1,8.688,40.972,3,53.0,22,66.546,18,18,0.098,6,512.59,60.403,3.4,6
5.427,3,2,10,1,1.127,1.032,40.006,37.9,2,3,0.69,0.715,26,8.6,9.594,41.443,5,51.0,21,65.351,18,18,0.1,6,556.46,59.832,1.7,6
5.0,3,3,10,2,1.127,1.029,40.673,37.3,1,2,0.689,0.709,27,6.8,9.272,41.83,4,54.0,22,66.49,18,18,0.098,6,547.03,60.727,3.4,6
5.0,6,2,11,1,1.146,1.043,41.028,37.7,0,1,0.673,0.677,27,9.8,9.108,41.301,6,53.0,21,69.898,18,18,0.095,7,555.58,63.607,1.6,6
5.301,6,2,11,1,1.146,1.043,41.028,37.7,0,1,0.673,0.677,27,9.8,9.108,41.301,6,53.0,21,69.898,18,18,0.095,7,555.58,63.607,1.6,6
5.0,3,2,9,1,1.13,1.023,40.593,41.9,0,1,0.655,0.677,27,4.8,8.349,41.943,3,51.0,21,70.088,18,18,0.109,7,517.61,63.396,1.6,7
5.0,3,2,9,1,1.13,1.023,40.593,41.9,0,1,0.655,0.677,27,4.8,8.349,41.943,3,51.0,21,70.088,18,18,0.109,7,517.61,63.396,1.6,7
5.0,3,2,9,1,1.131,1.02,42.12,43.1,0,1,0.648,0.672,28,4.6,8.179,43.705,3,52.0,21,73.503,18,18,0.119,8,531.64,66.28,1.5,8
5.0,3,2,8,1,1.129,1.018,39.878,42.6,0,1,0.654,0.68,27,4.9,8.223,41.489,3,50.0,21,68.878,18,18,0.095,7,501.61,62.069,1.6,6
5.228,3,2,8,1,1.13,1.01,44.458,45.7,0,1,0.635,0.668,30,4.3,7.767,46.773,3,53.0,21,79.124,18,18,0.125,10,543.7,70.719,1.4,9
5.097,5,2,10,1,1.14,1.038,39.118,37.9,0,1,0.674,0.683,26,8.6,9.027,39.603,5,51.0,21,66.143,18,18,0.1,6,523.56,60.21,1.7,6
5.0,3,3,9,2,1.128,1.024,39.846,39.0,0,1,0.675,0.694,27,5.1,8.688,40.972,3,53.0,22,66.546,18,18,0.098,6,512.59,60.403,3.4,6
5.0,3,4,10,3,1.127,1.027,41.34,36.7,0,1,0.689,0.704,28,5.0,8.96,42.216,3,57.0,23,67.629,18,18,0.097,6,537.6,61.621,5.0,6
5.301,3,2,11,1,1.128,1.028,42.495,40.6,0,2,0.664,0.688,27,4.7,8.839,44.046,3,55.0,23,72.217,18,18,0.106,7,565.68,65.8,1.6,7
5.155,3,3,12,2,1.128,1.031,43.989,38.5,0,2,0.677,0.697,28,4.6,9.088,45.29,3,59.0,24,73.3,18,18,0.104,7,590.69,67.018,3.1,7
5.699,3,2,11,1,1.128,1.028,42.495,40.6,0,2,0.664,0.688,27,4.7,8.839,44.046,3,55.0,23,72.217,18,18,0.106,7,565.68,65.8,1.6,7
5.699,3,3,12,2,1.128,1.031,43.989,38.5,0,2,0.677,0.697,28,4.6,9.088,45.29,3,59.0,24,73.3,18,18,0.104,7,590.69,67.018,3.1,7
5.184,6,3,15,2,1.143,1.055,45.139,33.8,0,2,0.694,0.694,28,9.2,9.918,45.102,6,62.0,24,74.319,18,18,0.104,7,644.66,68.556,3.1,7
5.0,3,3,12,2,1.121,1.026,49.516,37.5,0,2,0.688,0.709,33,4.2,9.066,51.051,3,68.0,30,80.716,24,24,0.107,6,652.76,73.901,2.8,8
5.373,3,2,10,1,1.129,1.03,40.781,39.3,0,1,0.669,0.683,27,4.9,8.715,41.637,3,53.0,22,68.882,18,19,0.111,6,531.59,62.84,1.6,7
5.0,3,3,11,2,1.128,1.033,42.275,37.1,0,1,0.682,0.692,28,4.8,8.977,42.881,3,57.0,23,69.965,18,19,0.109,6,556.6,64.058,3.2,7
5.046,6,2,14,1,1.145,1.062,40.591,32.8,0,2,0.7,0.695,25,10.3,10.2,40.335,6,56.0,23,66.406,18,18,0.1,5,591.59,61.571,1.7,6
5.398,6,2,14,1,1.145,1.057,42.118,34.4,0,2,0.69,0.69,26,9.8,9.928,42.097,6,57.0,23,69.821,18,18,0.111,6,605.62,64.454,1.6,7
5.572,3,2,11,1,1.129,1.025,44.021,41.8,0,2,0.657,0.684,28,4.5,8.652,45.807,3,56.0,23,75.632,18,18,0.101,8,579.71,68.683,1.5,7
5.699,3,2,11,1,1.126,1.031,41.968,38.7,0,2,0.677,0.698,27,4.8,9.091,43.284,3,56.0,23,69.802,18,18,0.108,7,563.66,63.916,1.6,7
5.155,3,2,11,1,1.126,1.028,43.495,40.0,0,2,0.669,0.693,28,4.6,8.888,45.046,3,57.0,23,73.217,18,18,0.103,8,577.69,66.8,1.5,7
5.824,3,2,11,1,1.127,1.025,45.021,41.2,0,2,0.662,0.688,29,4.4,8.702,46.807,3,58.0,23,76.632,18,18,0.099,9,591.72,69.683,1.5,7
5.114,3,0,9,0,1.145,1.031,34.373,42.6,0,0,0.637,0.644,22,5.6,8.083,34.779,3,42.0,17,61.836,16,14,0.179,8,436.47,55.654,3.7,10
5.292,3,0,9,0,1.145,1.031,34.373,42.6,0,0,0.637,0.644,22,5.6,8.083,34.779,3,42.0,17,61.836,16,14,0.161,8,436.47,55.654,3.7,9
6.201,3,0,10,0,1.149,1.031,35.395,42.9,0,0,0.632,0.639,22,5.4,8.062,35.784,3,43.0,17,64.334,16,13,0.172,9,451.49,57.756,5.4,10
6.369,3,0,7,0,1.145,1.02,31.944,45.1,0,0,0.626,0.645,21,5.9,7.695,32.87,3,38.0,16,58.417,16,13,0.151,8,392.46,52.0,3.9,8
5.357,3,0,10,0,1.141,1.039,35.561,38.9,0,0,0.659,0.657,23,5.6,8.564,35.472,3,46.0,18,61.63,16,15,0.14,8,462.46,56.098,3.7,8
5.456,3,0,9,0,1.145,1.027,35.9,43.9,0,0,0.63,0.641,23,5.3,7.904,36.54,3,43.0,17,65.251,16,14,0.169,9,450.5,58.538,3.5,10
6.854,3,0,10,0,1.141,1.035,37.088,40.4,0,0,0.651,0.653,24,5.3,8.359,37.233,3,47.0,18,65.045,16,15,0.15,9,476.49,58.981,3.5,9
6.155,3,0,9,0,1.14,1.026,37.9,42.4,0,0,0.642,0.653,25,5.1,8.043,38.54,3,48.0,21,67.251,20,16,0.161,9,474.52,60.538,3.4,10
5.77,3,0,11,0,1.148,1.039,35.363,38.9,0,0,0.655,0.653,22,5.6,8.564,35.267,3,47.0,21,62.002,20,14,0.158,8,462.47,56.091,7.4,9
6.854,3,0,9,0,1.144,1.024,37.427,45.0,0,0,0.624,0.638,24,5.0,7.742,38.301,3,44.0,17,68.666,16,14,0.177,10,464.53,61.421,3.3,11
6.907,3,0,10,0,1.144,1.033,36.728,42.1,1,1,0.644,0.656,23,7.0,8.508,37.398,4,44.0,17,65.195,16,14,0.169,9,484.94,58.861,3.5,10
6.495,3,0,9,0,1.144,1.024,37.427,45.0,0,0,0.624,0.638,24,5.0,7.742,38.301,3,44.0,17,68.666,16,14,0.161,10,464.53,61.421,3.3,10
6.013,3,0,8,0,1.141,1.026,34.879,43.6,0,0,0.634,0.646,23,5.5,7.918,35.534,3,42.0,17,62.753,16,14,0.175,9,435.48,56.436,1.8,10
5.066,3,0,10,0,1.144,1.034,35.868,40.0,0,0,0.652,0.655,23,5.5,8.391,36.023,3,47.0,21,62.919,20,15,0.155,8,461.48,56.872,5.5,9
5.013,3,0,10,0,1.141,1.042,34.894,39.6,1,1,0.658,0.662,22,7.5,8.904,35.085,4,43.0,17,60.491,16,14,0.182,8,471.89,55.203,1.9,10
6.237,3,0,10,0,1.144,1.034,35.868,40.0,0,0,0.652,0.655,23,5.5,8.391,36.023,3,47.0,21,62.919,20,15,0.155,8,461.48,56.872,5.5,9
7.0,3,0,9,0,1.142,1.035,34.067,41.5,0,0,0.643,0.646,22,5.7,8.254,34.228,3,42.0,17,60.547,16,14,0.182,8,437.45,54.88,1.9,10
