pXC50,nHet,nCsp3,Sp,nBO,nBT,Si,nAT,nH,nC,Sv,nCsp,MW,SCBO,nTB,Se,nSK,nO,nCsp2,nN
7.108,12,7,39.517,38,63,69.366,61,25,24,39.267,0,500.53,49.0,0,62.931,36,7,17,4
4.699,10,6,37.364,35,59,64.402,57,24,23,36.642,0,452.51,46.0,0,58.207,33,6,17,4
6.721,11,8,41.341,38,66,72.441,64,28,25,40.411,0,496.57,49.0,0,65.302,36,7,17,4
6.108,12,7,40.034,38,64,70.236,62,26,24,39.599,0,498.54,49.0,0,63.745,36,8,17,4
6.066,11,6,38.369,36,61,66.9,59,25,23,37.664,0,467.53,47.0,0,60.309,34,6,17,5
6.319,12,7,43.585,41,68,74.525,66,27,27,42.905,2,533.59,55.0,1,67.52,39,7,18,5
6.921,11,7,39.983,37,62,67.761,60,25,24,38.997,0,500.98,48.0,0,61.414,35,6,17,4
7.959,12,7,43.585,41,68,74.525,66,27,27,42.905,2,533.59,55.5,1,67.52,39,7,18,5
7.854,12,8,45.347,42,71,77.94,69,29,28,44.432,2,547.62,56.5,1,70.403,40,7,18,5
6.818,12,8,43.347,40,69,75.94,67,29,26,42.432,0,523.6,52.5,0,68.403,38,7,18,5
8.367,13,8,45.284,43,71,78.279,69,28,28,44.815,2,565.61,57.5,1,70.916,41,7,18,5
7.745,12,8,52.87,49,82,88.77,79,33,34,51.486,2,623.72,66.5,1,80.171,46,7,24,5
7.854,12,7,51.108,48,79,85.355,76,31,33,49.959,2,609.69,65.5,1,77.287,45,7,24,5
6.928,10,10,46.961,41,74,81.351,72,33,29,45.056,2,531.67,54.5,1,72.516,39,5,17,5
8.0,14,8,47.256,45,74,81.359,72,29,29,46.862,2,591.63,60.5,1,74.058,43,9,19,5
7.658,13,8,45.801,43,72,79.149,70,29,28,45.147,2,563.62,57.5,1,71.731,41,8,18,5
4.914,11,5,28.42,28,45,48.717,43,17,15,27.899,0,384.31,35.0,0,44.865,26,8,10,2
5.489,11,6,30.182,29,48,52.132,46,19,16,29.426,0,398.34,36.0,0,47.749,27,8,10,2
4.481,12,6,30.636,30,49,53.342,47,19,16,30.141,0,414.34,37.0,0,49.076,28,9,10,2
4.947,12,5,29.426,29,47,51.215,45,18,15,28.921,0,399.33,36.0,0,46.967,27,8,10,3
4.951,12,6,38.159,37,60,64.172,57,23,22,37.194,0,490.44,47.0,0,58.844,34,9,16,2
5.893,12,5,28.875,29,46,49.927,44,17,15,28.614,0,400.31,36.0,0,46.193,27,9,10,2
4.319,12,7,32.949,31,53,58.046,51,22,17,31.974,0,427.39,38.0,0,52.734,29,8,10,3
4.01,12,5,29.665,30,46,49.8,44,16,16,29.394,1,409.32,39.0,1,46.084,28,8,10,3
4.03,14,6,29.994,32,48,53.151,46,16,16,30.576,0,452.31,39.0,0,49.287,30,8,10,2
5.893,13,5,30.881,31,49,53.425,47,18,16,30.636,0,427.34,39.0,0,49.295,29,9,11,3
4.535,12,5,29.773,29,45,48.559,43,16,15,28.925,0,463.2,36.0,0,45.095,27,8,10,2
4.336,13,6,32.091,32,51,55.551,49,19,17,31.856,0,442.35,40.0,0,51.404,30,10,11,2
5.691,13,6,24.119,24,40,45.01,39,16,10,24.109,0,353.26,28.0,0,41.411,23,9,4,3
5.186,13,5,24.562,23,36,40.106,35,13,9,23.184,0,449.12,27.0,0,37.269,22,8,4,3
5.854,13,5,21.841,23,36,40.725,35,13,9,22.25,0,341.22,27.0,0,37.713,22,8,4,3
5.401,12,5,21.903,22,36,40.385,35,14,9,21.867,0,323.23,26.0,0,37.2,21,8,4,3
4.465,13,5,23.256,23,36,40.227,35,13,9,22.892,0,402.12,27.0,0,37.429,22,8,4,3
5.074,13,5,22.761,23,36,40.329,35,13,9,22.695,0,357.67,27.0,0,37.524,22,8,4,3
9.398,18,12,58.671,55,93,103.146,91,38,35,58.135,2,734.79,72.5,1,93.676,53,12,21,6
9.201,22,14,66.563,63,106,118.103,104,43,39,66.354,2,849.89,82.5,1,107.527,61,15,23,7
9.569,22,15,68.324,64,109,121.518,107,45,40,67.881,2,863.92,83.5,1,110.411,62,15,23,7
9.013,18,11,56.909,54,90,99.731,88,36,34,56.608,2,720.76,71.5,1,90.792,52,12,21,6
6.854,16,5,25.835,26,39,43.704,38,13,9,25.296,0,422.25,31.0,0,41.2,25,10,4,2
7.301,9,9,49.461,43,76,82.165,73,33,31,46.761,2,557.15,57.0,1,72.96,40,2,20,6
6.807,8,4,40.142,37,59,62.489,56,22,26,38.303,2,516.43,51.5,1,56.345,34,2,20,5
8.284,17,8,45.744,46,71,79.219,69,25,27,46.152,2,639.64,61.5,1,72.531,44,7,17,5
7.301,10,10,51.466,46,80,85.664,76,34,32,48.782,2,584.18,60.0,1,76.061,42,2,20,7
8.62,13,8,44.415,43,70,76.316,67,27,27,43.682,2,546.62,58.0,1,68.472,40,4,17,8
7.824,13,7,42.654,42,67,72.901,64,25,26,42.155,2,532.59,57.0,1,65.589,39,4,17,8
8.046,14,8,53.455,50,82,89.03,79,32,33,52.056,2,661.77,68.5,1,80.76,47,7,23,5
8.854,15,9,48.279,46,75,81.86,72,29,28,47.11,2,608.72,62.0,1,73.76,43,5,17,8
8.167,14,8,53.455,50,82,89.03,79,32,33,52.056,2,661.77,68.5,1,80.76,47,7,23,5
8.745,15,6,42.994,43,66,71.615,63,23,25,42.53,2,566.63,59.0,1,65.109,40,5,17,8
8.854,13,7,42.654,42,67,72.901,64,25,26,42.155,2,532.59,57.0,1,65.589,39,4,17,8
7.848,14,9,55.216,51,85,92.445,82,34,34,53.583,2,675.8,69.5,1,83.643,48,7,23,5
8.268,14,6,43.75,43,67,72.532,64,24,26,43.035,2,565.64,59.0,1,65.891,40,5,18,7
8.495,11,8,42.824,40,67,73.572,65,27,27,42.079,2,522.58,53.5,1,66.487,38,6,17,4
7.194,14,7,51.693,49,79,85.615,76,30,32,50.529,2,647.74,67.5,1,77.876,46,7,23,5
8.252,13,8,44.477,41,69,75.99,67,28,26,43.288,2,557.66,55.5,1,68.665,39,6,16,5
8.357,14,8,45.932,43,71,78.199,69,28,27,45.003,2,585.67,58.5,1,70.992,41,7,17,5
8.79,14,8,47.273,45,73,79.362,70,28,28,46.089,2,593.7,60.0,1,71.658,42,5,18,7
8.658,14,9,47.693,44,74,81.615,72,30,28,46.529,2,599.7,59.5,1,73.876,42,7,17,5
8.268,14,9,47.693,44,74,81.615,72,30,28,46.529,2,599.7,59.5,1,73.876,42,7,17,5
8.62,14,10,49.455,45,77,85.03,75,32,29,48.056,2,613.73,60.5,1,76.76,43,7,17,5
8.046,11,7,41.063,39,64,70.157,62,25,26,40.552,2,508.55,52.5,1,63.603,37,6,17,4
5.721,13,6,35.091,36,55,58.551,52,19,20,34.856,0,478.38,46.0,0,54.404,33,10,14,2
5.292,13,8,33.852,33,54,58.966,52,21,18,33.383,0,456.38,41.0,0,54.287,31,10,10,2
6.658,11,4,35.489,34,54,58.491,52,20,21,34.776,0,456.52,45.5,0,53.516,32,6,17,4
5.229,15,11,45.244,43,71,77.2,68,28,25,44.007,0,599.98,53.0,0,70.433,40,9,14,3
5.975,17,11,39.182,38,63,70.077,61,25,19,38.69,0,554.9,46.5,0,64.094,36,10,8,4
4.921,11,4,34.296,34,54,58.781,52,20,21,34.304,0,440.45,45.5,0,53.767,32,7,17,4
5.009,12,4,36.301,36,57,62.279,55,21,22,36.325,0,467.48,48.5,0,56.869,34,7,18,5
7.689,12,5,39.466,38,60,65.429,58,22,24,38.964,2,511.96,51.5,1,59.749,36,6,17,5
5.495,11,5,39.921,37,63,69.189,61,26,24,38.97,0,478.56,49.5,0,62.083,35,5,19,6
5.301,12,5,39.466,38,60,65.429,58,22,24,38.964,2,511.96,51.5,1,59.749,36,6,17,5
5.357,11,5,39.159,37,61,66.774,59,24,24,38.444,2,476.54,50.5,1,60.2,35,5,17,6
5.066,11,5,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.5,1,59.425,35,6,17,5
5.136,12,5,23.557,22,34,37.607,33,12,9,22.163,0,434.1,26.0,0,35.167,21,8,4,2
5.824,12,5,22.25,22,34,37.728,33,12,9,21.871,0,387.1,26.0,0,35.327,21,8,4,2
5.432,12,6,23.114,23,38,42.511,37,15,10,23.087,0,338.24,27.0,0,39.309,22,9,4,2
8.337,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
9.0,15,9,48.637,47,77,84.439,74,30,29,47.945,2,603.68,63.0,1,75.785,44,5,18,9
8.73,17,10,52.307,51,83,91.273,80,32,31,51.901,2,661.72,68.0,1,82.323,48,7,19,9
6.076,13,4,49.364,48,74,78.481,70,26,31,47.959,2,606.72,67.5,1,71.152,44,4,25,8
5.377,10,5,43.466,41,67,71.979,64,26,28,42.256,2,510.6,57.5,1,64.756,38,4,21,6
7.0,11,6,39.818,38,62,67.611,60,24,25,39.357,2,492.53,51.5,1,61.534,36,7,17,4
6.796,13,9,51.358,48,81,88.399,78,33,32,50.176,2,616.71,64.5,1,79.458,45,6,21,6
6.959,13,5,50.057,49,75,79.737,71,26,32,48.847,2,623.72,68.5,1,72.447,45,4,25,7
7.699,11,5,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.5,1,59.425,35,6,17,5
6.319,12,4,48.358,47,72,75.983,68,25,31,46.937,2,591.7,66.5,1,69.051,43,4,25,7
6.854,11,7,46.926,44,73,79.15,70,29,30,45.692,2,556.65,60.5,1,71.036,41,4,21,6
6.699,12,10,53.216,48,84,91.893,81,36,33,51.294,2,613.76,64.5,1,81.789,45,4,21,7
7.143,11,5,42.852,42,66,71.03,63,24,28,42.332,2,529.57,58.5,1,64.494,39,5,21,5
9.217,15,10,50.716,48,80,88.529,78,32,31,50.299,2,637.68,63.5,1,80.338,46,9,19,5
8.31,16,9,50.608,49,80,87.518,77,31,30,49.991,2,629.7,66.0,1,78.927,46,7,19,9
6.959,12,10,52.455,49,83,89.478,79,34,33,50.767,2,611.74,65.5,1,79.905,45,4,21,7
5.77,10,4,41.705,40,64,68.564,61,24,27,40.729,2,496.57,56.5,1,61.872,37,4,21,6
6.046,11,9,50.756,47,80,85.723,76,33,32,48.857,2,579.72,63.5,1,76.509,43,4,21,7
5.481,13,4,48.813,48,73,77.192,69,25,31,47.652,2,607.7,67.5,1,70.378,44,5,25,7
7.553,13,12,49.12,45,80,87.814,77,35,29,47.702,0,582.7,56.5,0,78.341,42,6,17,6
6.62,13,6,47.023,45,71,76.318,68,26,29,45.872,2,586.68,61.5,1,69.487,42,6,21,6
6.42,11,8,48.443,46,76,81.019,72,30,31,47.024,2,566.67,62.5,1,72.851,42,5,21,6
7.076,11,7,44.926,42,71,77.15,68,29,28,43.692,0,532.63,56.5,0,69.036,39,4,21,6
7.097,11,5,40.852,40,64,69.03,61,24,26,40.332,0,505.55,54.5,0,62.494,37,5,21,5
6.222,11,8,48.443,46,76,81.019,72,30,31,47.024,2,566.67,62.5,1,72.851,42,5,21,6
6.523,10,4,41.154,40,63,67.275,60,23,27,40.422,2,497.55,56.5,1,61.098,37,5,21,5
7.886,12,8,45.347,42,71,77.94,69,29,28,44.432,2,547.62,56.5,1,70.403,40,7,18,5
7.569,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
8.699,15,10,48.716,46,78,86.529,76,32,29,48.299,0,613.66,59.5,0,78.338,44,9,19,5
8.189,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
6.553,11,5,39.369,37,62,67.9,60,25,24,38.664,0,479.54,49.5,0,61.309,35,6,19,5
4.602,10,4,33.841,33,53,57.571,51,20,21,33.589,0,424.45,44.5,0,52.44,31,6,17,4
7.432,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
7.841,11,6,39.301,38,61,66.741,59,23,25,39.026,2,494.52,51.0,1,60.72,36,6,17,4
7.523,11,8,36.37,34,59,64.9,57,25,21,35.664,0,443.51,43.0,0,58.309,32,6,13,5
8.699,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
8.337,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
9.217,15,10,50.716,48,80,88.529,78,32,31,50.299,2,637.68,63.5,1,80.338,46,9,19,5
7.921,12,8,45.347,42,71,77.94,69,29,28,44.432,2,547.62,56.5,1,70.403,40,7,18,5
9.229,15,9,48.955,47,77,85.113,75,30,30,48.772,2,623.65,62.5,1,77.454,45,9,19,5
6.841,10,5,37.602,36,58,62.986,56,22,24,37.116,2,462.5,49.5,1,57.323,34,6,17,4
4.86,10,4,34.483,33,52,55.993,50,19,21,33.755,0,441.5,44.5,0,51.414,31,6,17,3
8.329,23,15,65.21,61,104,116.023,102,43,36,64.541,0,845.93,78.0,0,105.603,59,15,21,7
7.292,10,6,40.557,37,61,66.112,59,24,25,39.115,2,492.6,50.5,1,59.956,35,5,17,4
5.046,7,2,15.051,17,24,26.42,23,7,9,15.866,0,226.18,22.0,0,24.676,16,4,7,2
5.032,6,2,16.358,17,26,28.625,25,9,10,16.678,0,224.21,22.0,0,26.233,16,3,8,2
5.26,8,4,18.028,19,30,33.459,29,11,10,18.634,0,258.23,23.0,0,30.771,18,5,6,2
6.959,10,5,38.796,36,58,62.697,56,22,24,37.588,2,478.57,49.5,1,57.073,34,5,17,4
7.721,11,5,39.801,37,60,65.195,58,23,24,38.609,2,493.59,50.5,1,59.174,35,5,17,5
5.372,11,6,36.608,35,58,63.485,56,23,22,36.137,0,453.5,46.0,0,57.425,33,6,16,5
7.62,12,11,50.631,45,80,88.185,78,35,31,49.013,2,589.71,59.5,1,79.054,43,7,18,5
4.921,15,8,37.347,38,60,65.093,57,22,20,37.094,0,512.43,47.0,0,59.676,35,9,12,4
5.078,5,0,7.619,9,12,14.17,12,3,4,8.383,0,130.09,12.0,0,13.255,9,2,4,2
6.277,11,6,36.25,34,56,60.906,54,22,21,35.303,0,458.54,45.0,0,55.4,32,6,15,4
6.469,11,5,33.847,33,54,59.07,52,21,20,33.61,0,427.46,44.0,0,53.542,31,6,15,5
4.959,11,9,40.131,37,64,70.315,62,27,24,39.191,2,481.56,48.0,1,63.192,35,6,13,5
4.0,11,4,34.847,34,55,60.07,53,21,21,34.61,0,439.47,45.5,0,54.542,32,6,17,5
6.086,11,9,51.517,46,81,88.139,78,35,32,49.384,2,581.74,62.5,1,78.392,43,4,21,7
5.137,8,4,19.824,16,29,33.202,29,13,8,18.303,0,259.4,20.5,0,29.524,16,1,4,5
5.235,11,4,34.847,34,55,60.07,53,21,21,34.61,0,439.47,45.5,0,54.542,32,6,17,5
7.301,10,6,39.364,37,61,66.402,59,24,25,38.642,2,476.53,50.5,1,60.207,35,6,17,4
8.056,15,9,46.955,45,75,83.113,73,30,28,46.772,0,599.63,58.5,0,75.454,43,9,19,5
7.77,12,9,47.108,43,74,81.355,72,31,29,45.959,2,561.65,57.5,1,73.287,41,7,18,5
7.319,8,5,42.489,40,64,68.402,61,24,29,41.188,3,493.58,56.5,2,61.512,37,2,21,5
5.848,7,4,37.239,35,57,60.358,54,22,25,35.971,2,426.51,49.0,1,54.342,32,3,19,4
8.398,15,10,50.716,48,80,88.529,78,32,31,50.299,2,637.68,63.5,1,80.338,46,9,19,5
9.398,26,18,77.977,73,125,139.89,123,52,45,77.627,2,993.05,94.5,1,127.145,71,18,25,8
7.167,11,6,39.818,38,62,67.611,60,24,25,39.357,2,492.53,51.0,1,61.534,36,7,17,4
7.796,14,9,49.568,46,78,86.063,76,32,30,48.695,2,604.68,61.5,1,77.716,44,8,19,6
5.646,6,6,35.546,31,55,59.564,53,24,23,33.783,2,388.51,42.5,1,52.898,29,2,15,4
8.523,11,5,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.5,1,59.425,35,6,17,5
7.051,9,4,41.392,40,63,67.323,60,23,28,40.596,2,498.55,55.5,1,61.065,37,4,22,4
6.284,9,4,40.699,39,62,66.066,59,23,27,39.707,2,481.55,55.5,1,59.771,36,4,21,5
6.959,9,5,39.375,37,59,62.907,56,22,25,37.848,2,475.59,51.0,1,56.705,34,2,18,5
6.824,8,5,35.693,33,55,59.568,53,22,23,34.686,2,418.49,45.5,1,53.669,31,4,16,4
7.174,10,6,39.915,37,62,67.691,60,25,25,38.949,2,475.55,50.5,1,60.982,35,5,17,5
7.469,8,4,41.455,39,63,66.983,60,24,28,40.213,2,480.56,54.5,1,60.552,36,4,22,4
6.119,8,4,37.676,35,56,59.152,53,21,24,35.938,2,443.57,49.0,1,53.309,32,2,18,5
7.237,8,7,39.216,35,61,66.398,59,26,25,37.74,2,446.55,47.5,1,59.436,33,4,16,4
6.553,7,4,40.79,38,61,64.647,58,23,28,39.278,3,461.56,54.5,2,58.116,35,2,21,5
7.0,9,5,39.375,37,59,62.907,56,22,25,37.848,2,475.59,51.0,1,56.705,34,2,18,5
7.357,10,5,42.398,41,65,69.821,62,24,28,41.617,2,513.57,57.5,1,63.167,38,4,21,5
8.421,27,18,74.864,70,120,134.395,118,50,41,74.288,0,975.06,89.0,0,122.338,68,18,23,8
7.377,11,5,44.369,43,68,72.9,65,25,29,43.664,2,539.59,60.5,1,66.309,40,6,22,5
5.114,7,4,40.404,37,60,63.508,57,23,27,38.611,2,470.99,51.5,1,57.222,34,2,21,4
5.764,8,4,37.676,35,56,59.152,53,21,24,35.938,2,443.57,49.0,1,53.309,32,2,18,5
6.114,8,5,39.438,36,59,62.567,56,23,25,37.465,2,457.6,50.0,1,56.192,33,2,18,5
4.789,11,8,41.341,38,66,72.441,64,28,25,40.411,0,496.57,49.0,0,65.302,36,7,17,4
6.674,12,5,21.756,22,34,37.831,33,12,9,21.673,0,342.65,26.0,0,35.422,21,8,4,2
4.921,11,8,36.37,34,59,64.9,57,25,21,35.664,0,443.51,43.0,0,58.309,32,6,13,5
7.456,12,10,48.108,45,76,82.355,73,31,30,46.959,2,573.66,59.5,1,74.287,42,7,18,5
7.745,14,11,52.54,48,83,91.604,81,35,32,51.442,2,633.72,63.5,1,82.709,46,9,19,5
5.733,11,8,39.773,36,62,67.737,60,26,23,38.356,0,486.6,47.0,0,61.167,34,6,15,4
7.959,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
8.699,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
5.866,12,6,36.188,35,56,61.246,54,21,21,35.686,0,476.53,46.0,0,55.913,33,6,15,4
8.523,15,11,50.477,47,81,89.944,79,34,30,49.825,0,627.69,60.5,0,81.221,45,9,19,5
6.721,13,7,37.193,36,58,63.744,56,22,21,36.707,0,491.55,47.0,0,58.014,34,6,14,5
6.174,11,6,36.25,34,56,60.906,54,22,21,35.303,0,458.54,45.0,0,55.4,32,6,15,4
7.398,11,6,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.0,1,59.425,35,6,16,5
8.585,14,11,52.54,48,83,91.604,81,35,32,51.442,2,633.72,63.5,1,82.709,46,9,19,5
8.62,14,9,47.387,47,75,80.395,71,28,29,46.728,2,584.65,63.0,1,72.614,43,6,18,8
9.377,14,11,51.779,49,82,89.189,79,33,32,50.915,2,631.7,64.5,1,80.825,46,9,19,5
4.947,9,3,29.074,30,45,49.338,43,15,19,29.353,2,388.38,40.5,1,44.785,28,2,14,4
6.456,11,6,36.608,35,58,63.485,56,23,22,36.137,0,453.5,46.0,0,57.425,33,6,16,5
8.658,16,11,53.37,52,85,91.933,81,33,32,52.518,2,655.74,69.0,1,82.811,48,7,19,9
9.585,18,12,57.04,56,91,98.767,87,35,34,56.474,2,713.78,74.0,1,89.349,52,9,20,9
9.678,15,11,54.477,51,85,93.944,83,34,34,53.825,4,675.73,68.5,2,85.221,49,9,19,5
8.699,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
6.0,9,4,34.131,31,52,56.361,50,21,20,32.653,2,411.53,43.5,1,50.636,29,3,14,5
4.668,10,5,35.051,34,55,59.698,53,21,22,34.809,0,439.46,45.5,0,54.549,32,7,17,3
5.0,12,4,36.852,36,58,63.568,56,22,22,36.632,0,466.5,48.5,0,57.643,34,6,18,6
6.222,11,5,37.159,35,59,64.774,57,24,22,36.444,0,452.52,46.5,0,58.2,33,5,17,6
6.292,9,3,30.074,31,46,50.338,44,15,20,30.353,2,400.39,42.5,1,45.785,29,2,15,4
5.301,11,4,35.398,34,56,61.358,54,22,21,34.917,0,438.49,45.5,0,55.316,32,5,17,6
7.481,11,5,37.159,35,59,64.774,57,24,22,36.444,0,452.52,46.5,0,58.2,33,5,17,6
5.082,10,6,36.602,36,58,61.986,55,22,23,36.116,0,450.49,47.5,0,56.323,33,6,17,4
5.845,11,6,39.301,38,61,66.741,59,23,25,39.026,2,494.52,51.0,1,60.72,36,6,17,4
6.921,11,6,37.301,36,59,64.741,57,23,23,37.026,0,470.5,47.0,0,58.72,34,6,17,4
6.143,10,7,38.364,37,61,65.402,58,24,24,37.642,0,464.52,48.5,0,59.207,34,6,17,4
5.021,10,6,39.364,37,61,66.402,59,24,25,38.642,2,476.53,50.5,1,60.207,35,6,17,4
4.778,11,5,34.847,34,55,60.07,53,21,21,34.61,0,439.47,45.5,0,54.542,32,6,16,5
5.585,9,5,38.761,36,58,62.638,56,22,25,37.734,2,479.95,49.5,1,57.102,34,5,18,3
4.553,11,4,33.085,33,52,56.654,50,19,20,33.083,0,425.44,44.5,0,51.658,31,6,16,5
8.456,14,11,51.779,49,82,89.189,79,33,32,50.915,2,631.7,64.5,1,80.825,46,9,19,5
6.62,13,6,47.023,45,71,76.318,68,26,29,45.872,2,586.68,61.0,1,69.487,42,6,21,6
5.201,9,6,40.119,37,62,67.319,60,25,26,39.148,2,475.54,50.5,1,60.989,35,6,18,3
5.886,11,7,40.477,37,62,67.658,60,25,24,39.194,0,545.43,48.0,0,61.32,35,6,17,4
5.873,13,6,39.761,39,63,69.449,61,24,24,39.762,0,513.53,51.0,0,63.149,37,7,18,5
5.244,13,6,39.176,40,61,67.421,59,21,25,39.792,2,530.5,53.0,1,61.745,38,6,17,4
7.119,11,6,40.063,38,63,69.157,61,25,25,39.552,0,496.54,50.0,0,62.603,36,6,19,4
9.77,16,11,53.37,52,85,91.933,81,33,32,52.518,2,655.74,69.0,1,82.811,48,7,19,9
9.377,14,11,51.779,49,82,89.189,79,33,32,50.915,2,631.7,64.5,1,80.825,46,9,19,5
6.886,13,6,40.517,40,63,68.904,61,23,25,40.567,2,521.53,55.0,1,63.08,38,8,17,5
6.027,10,7,39.125,36,62,67.817,60,26,24,38.169,0,466.54,47.0,0,61.091,34,6,17,4
7.796,12,10,48.87,44,77,84.77,75,33,30,47.486,2,575.68,58.5,1,76.171,42,7,18,5
7.699,12,10,48.87,44,77,84.77,75,33,30,47.486,2,575.68,58.5,1,76.171,42,7,18,5
7.046,11,6,39.818,38,62,67.611,60,24,25,39.357,2,492.53,51.0,1,61.534,36,7,17,4
8.678,16,11,53.37,52,85,91.933,81,33,32,52.518,2,655.74,69.0,1,82.811,48,7,19,9
8.699,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
6.77,10,7,49.199,45,76,81.936,73,31,32,47.529,2,565.68,61.5,1,73.632,42,5,23,5
