pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
5.6,6.842,29.4,51.8,1.013,1.156,0.596,0.57,1347.82,11.2
8.12,6.956,30.7,50.8,1.013,1.153,0.602,0.578,1836.43,10.6
9.22,7.07,31.2,49.7,1.014,1.153,0.607,0.584,1406.84,11.6
5.5,7.083,31.1,49.7,1.015,1.153,0.607,0.584,1253.63,11.3
8.44,7.07,30.8,50.0,1.016,1.155,0.604,0.581,1399.82,11.1
8.4,7.024,30.7,50.3,1.015,1.153,0.603,0.58,1397.83,11.1
7.83,6.956,30.7,50.8,1.013,1.153,0.602,0.578,1836.43,10.6
8.08,6.975,30.9,50.6,1.013,1.152,0.604,0.579,1848.44,10.6
7.9,6.881,30.8,51.3,1.012,1.152,0.602,0.575,1878.52,10.3
7.87,6.906,30.7,51.1,1.012,1.153,0.602,0.576,1864.49,10.4
9.1,7.009,29.9,50.5,1.015,1.157,0.6,0.577,1969.59,11.7
5.6,6.803,29.9,52.0,1.011,1.155,0.598,0.57,1387.89,10.8
7.91,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
8.735,6.991,29.3,50.7,1.015,1.159,0.598,0.575,1957.59,12.5
5.0,7.062,32.3,49.6,1.013,1.149,0.612,0.588,939.23,10.5
7.56,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
7.62,6.956,30.7,50.8,1.013,1.153,0.602,0.578,1836.43,10.6
7.83,6.931,30.7,50.9,1.013,1.153,0.602,0.577,1850.46,10.5
7.12,6.906,30.7,51.1,1.012,1.153,0.602,0.576,1864.49,10.4
5.0,7.062,32.3,49.6,1.013,1.149,0.612,0.588,939.23,10.5
