pXC50,MPC05,MPC06,MPC07,N.,Eig01_AEA.ri.,GATS1s,SpMax_AEA.ri.,MPC04,X5,LOC,piPC06,Eig01_EA.ri.,SpDiam_AEA.ed.,SpDiam_EA.ri.,SpMax_EA.ri.,X4A,BAC,CATS2D_03_AL,ZM2Kup,TPC,Wap,Eig02_AEA.dm.,Eig03_AEA.dm.,Eig03_AEA.ed.,Eig03_EA.ed.,GGI4,GGI5,MWC06,MWC07,MWC08,MWC09,MWC10,SM02_EA.dm.,SM02_EA.ed.,SM04_EA.dm.,SM12_AEA.dm.,SpAD_EA.dm.,SRW10,TWC,SM06_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_AEA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_AEA.ed.,SM15_EA.ed.,SpMAD_AEA.ed.,X5A,Eig01_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpDiam_EA.dm.,SpMax_EA.dm.,piPC07
6.0,4.043,3.892,4.007,6.7,4.006,0.948,4.006,3.871,4.902,0.0,5.188,3.005,6.3,5.005,3.005,0.13,0,0,245.493,6.42,4402.0,3.041,2.361,5.247,6.4,0.373,0.174,7.987,8.82,9.658,10.495,11.336,1.618,6.094,1.617,6.4,4.933,9.702,11.902,14.195,16.263,18.676,20.895,23.248,25.526,27.859,24.465,30.161,32.486,28.163,34.799,1.445,0.088,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.557
6.0,4.043,3.932,4.043,7.1,4.007,0.956,4.007,3.85,4.773,0.0,5.237,3.001,6.301,5.001,3.001,0.128,0,0,241.493,6.358,3932.0,3.026,2.361,5.247,6.4,0.373,0.396,7.968,8.807,9.651,10.494,11.341,1.618,6.075,1.617,6.4,4.933,9.687,11.902,14.196,16.264,18.679,20.897,23.252,25.53,27.863,24.466,30.166,32.491,28.164,34.804,1.458,0.085,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.613
6.0,3.989,3.892,4.025,6.7,4.007,0.945,4.007,3.912,4.553,0.405,5.188,3.006,6.3,5.006,3.006,0.128,2,0,253.268,6.418,4313.0,3.294,2.361,5.247,6.4,0.427,0.163,8.055,8.899,9.746,10.592,11.44,1.738,6.196,1.755,6.4,5.725,9.747,11.999,14.391,16.458,18.854,21.057,23.393,25.654,27.971,24.702,30.259,32.57,28.389,34.871,1.483,0.086,1.325,2.032,2.443,2.922,3.438,3.975,2.304,1.325,5.561
6.0,4.06,4.06,4.078,6.7,4.007,0.948,4.007,3.871,4.898,0.0,5.304,3.001,6.301,5.001,3.001,0.129,0,1,245.493,6.461,4597.0,3.018,2.361,5.247,6.4,0.347,0.386,7.99,8.826,9.667,10.508,11.353,1.618,6.094,1.617,6.4,4.933,9.656,11.916,14.196,16.264,18.678,20.897,23.252,25.53,27.863,24.465,30.166,32.491,28.164,34.804,1.446,0.086,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.624
7.342,4.06,4.111,4.205,3.3,4.031,0.921,4.031,3.951,4.963,0.0,4.899,3.008,6.456,5.008,3.008,0.13,0,2,211.085,7.058,12423.0,3.019,2.277,5.075,5.975,0.476,0.417,8.064,8.897,9.739,10.581,11.43,1.51,6.151,1.826,5.975,3.354,9.664,11.991,14.24,16.312,18.736,20.959,23.322,25.605,27.945,24.5,30.253,32.585,28.205,34.903,1.413,0.087,1.408,2.304,2.873,3.495,4.147,4.814,2.428,1.408,5.139
6.0,4.06,4.025,4.043,6.3,4.006,0.942,4.006,3.892,5.027,0.0,5.258,3.005,6.302,5.005,3.005,0.131,0,1,249.493,6.521,5131.0,3.033,2.361,5.247,6.4,0.347,0.163,8.008,8.838,9.674,10.509,11.348,1.618,6.111,1.617,6.4,4.933,9.672,11.915,14.194,16.263,18.676,20.894,23.248,25.526,27.859,24.464,30.161,32.486,28.162,34.798,1.436,0.088,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.568
6.0,4.344,4.277,4.382,5.8,4.007,0.945,4.007,4.174,6.198,0.0,5.371,3.006,6.3,5.006,3.006,0.121,0,2,280.127,7.069,10692.0,3.3,2.479,5.247,6.4,0.604,0.243,8.286,9.146,10.011,10.872,11.738,1.618,6.402,1.617,6.4,4.933,9.99,12.285,14.612,16.677,19.083,21.288,23.627,25.888,28.203,24.868,30.488,32.795,28.556,35.09,1.481,0.082,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.704
6.0,4.382,4.382,4.454,5.8,4.006,0.951,4.006,4.174,6.584,0.0,5.748,3.005,6.3,5.005,3.005,0.125,0,2,320.493,7.243,13854.0,3.21,2.848,5.309,6.871,0.739,0.319,8.301,9.149,10.0,10.85,11.702,1.814,6.422,1.775,6.871,6.382,10.001,12.258,14.55,16.597,18.989,21.182,23.513,25.767,28.078,24.819,30.359,32.665,28.496,34.96,1.463,0.083,1.29,1.986,2.322,2.725,3.168,3.634,2.327,1.29,6.05
5.479,4.625,4.779,4.812,3.4,4.422,0.654,4.422,4.382,6.515,1.751,6.083,3.368,7.032,5.368,3.368,0.107,138,4,497.892,7.134,10032.0,3.895,3.508,6.394,9.952,2.676,2.437,8.654,9.547,10.48,11.382,12.316,3.6,6.948,5.539,9.952,21.422,10.456,12.821,16.117,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.502,38.674,1.623,0.065,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.357
7.062,4.736,4.86,4.898,1.1,4.422,0.613,4.422,4.522,8.18,3.218,6.113,3.368,7.348,5.368,3.368,0.118,112,5,538.484,7.683,26753.0,3.892,3.48,6.296,9.188,2.596,2.271,8.733,9.612,10.518,11.413,12.329,3.546,6.93,5.531,9.188,19.022,10.474,12.846,16.015,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.497,0.072,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.393
8.0,5.075,5.159,5.236,6.2,4.612,0.55,4.612,4.828,11.106,0.749,6.691,3.61,7.765,5.61,3.61,0.112,54,10,634.102,8.46,66252.0,3.779,3.694,6.268,9.057,2.849,2.201,9.018,9.92,10.833,11.739,12.654,2.904,7.22,4.234,9.057,12.261,10.817,13.168,16.697,19.255,21.957,24.61,27.304,29.99,32.688,27.264,35.387,38.09,31.343,40.795,1.577,0.07,2.612,5.961,7.796,9.67,11.563,13.468,4.612,2.612,7.037
7.759,4.718,4.844,4.883,2.2,4.422,0.627,4.422,4.5,7.841,2.827,6.097,3.368,7.305,5.368,3.368,0.115,148,5,537.892,7.605,22997.0,3.894,3.485,6.394,9.951,2.756,2.382,8.76,9.634,10.548,11.437,12.357,3.6,7.022,5.539,9.951,21.422,10.526,12.872,16.118,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.503,38.674,1.528,0.071,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.371
7.523,5.112,5.193,5.298,4.8,4.612,0.506,4.612,4.852,11.553,0.861,6.71,3.61,7.765,5.61,3.61,0.11,55,11,655.803,8.497,68781.0,3.784,3.747,6.296,9.188,2.849,2.118,9.038,9.943,10.857,11.766,12.682,3.088,7.235,4.417,9.188,13.65,10.832,13.195,16.709,19.263,21.965,24.617,27.31,29.995,32.693,27.271,35.391,38.094,31.348,40.798,1.581,0.07,2.612,6.064,7.845,9.692,11.572,13.471,4.612,2.612,7.077
7.777,4.682,4.812,4.852,1.3,4.422,0.621,4.422,4.454,7.43,2.707,6.099,3.368,7.341,5.368,3.368,0.114,106,5,514.484,7.435,17124.0,3.892,3.48,6.296,9.188,2.596,2.271,8.669,9.559,10.476,11.378,12.302,3.546,6.882,5.531,9.188,19.022,10.43,12.813,16.014,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.534,0.069,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.383
6.539,4.913,5.124,5.366,4.0,4.317,0.576,4.317,4.575,8.43,0.902,6.315,3.259,6.634,5.259,3.259,0.099,12,5,377.355,8.458,55152.0,3.536,3.185,6.255,9.295,2.031,1.125,8.717,9.651,10.59,11.527,12.467,2.261,6.851,2.932,9.295,7.246,10.51,12.963,15.648,17.857,20.383,22.728,25.198,27.601,30.053,25.974,32.481,34.93,29.78,37.369,1.613,0.062,1.674,3.841,4.834,5.853,6.88,7.91,3.349,1.674,6.738
6.87,5.1,5.187,5.278,3.7,4.612,0.51,4.612,4.844,11.389,0.861,6.708,3.61,7.765,5.61,3.61,0.111,55,12,671.567,8.497,68781.0,3.785,3.773,6.296,9.188,2.929,2.229,9.034,9.938,10.85,11.759,12.674,3.231,7.233,4.565,9.188,14.882,10.83,13.187,16.705,19.261,21.963,24.615,27.309,29.994,32.692,27.269,35.39,38.093,31.347,40.797,1.582,0.07,2.612,6.156,7.891,9.713,11.582,13.475,4.612,2.612,7.063
7.866,4.663,4.796,4.836,1.4,4.422,0.626,4.422,4.431,7.18,2.509,6.095,3.368,7.335,5.368,3.368,0.112,104,5,506.484,7.342,14533.0,3.892,3.48,6.296,9.188,2.596,2.271,8.647,9.541,10.461,11.367,12.292,3.546,6.866,5.531,9.188,19.022,10.415,12.802,16.013,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.55,0.068,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.38
8.668,4.605,4.745,4.779,1.9,4.422,0.649,4.422,4.357,6.42,1.799,6.081,3.368,7.265,5.368,3.368,0.107,98,5,482.484,7.017,8504.0,3.892,3.48,6.296,9.188,2.596,2.271,8.577,9.484,10.416,11.33,12.263,3.546,6.815,5.531,9.188,19.022,10.369,12.767,16.013,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.618,0.065,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.366
5.301,5.1,5.187,5.278,6.0,4.612,0.506,4.612,4.844,11.389,0.861,6.708,3.61,7.765,5.61,3.61,0.111,55,10,642.666,8.497,68781.0,3.779,3.707,6.296,9.188,2.929,2.229,9.034,9.938,10.85,11.759,12.674,2.921,7.233,4.243,9.188,12.418,10.83,13.187,16.705,19.261,21.963,24.615,27.309,29.994,32.692,27.269,35.39,38.093,31.347,40.797,1.582,0.07,2.612,5.964,7.797,9.67,11.563,13.468,4.612,2.612,7.063
5.932,4.7,4.828,4.868,2.4,4.422,0.63,4.422,4.477,7.591,2.646,6.092,3.368,7.288,5.368,3.368,0.114,146,5,529.892,7.523,19796.0,3.894,3.485,6.394,9.951,2.756,2.382,8.739,9.617,10.534,11.426,12.348,3.6,7.008,5.539,9.951,21.422,10.512,12.862,16.118,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.503,38.674,1.544,0.07,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.368
7.197,4.754,4.875,4.913,2.0,4.422,0.622,4.422,4.543,8.341,3.154,6.106,3.368,7.325,5.368,3.368,0.118,152,5,553.892,7.757,30367.0,3.894,3.485,6.394,9.951,2.756,2.382,8.799,9.667,10.574,11.459,12.374,3.6,7.05,5.539,9.951,21.422,10.553,12.893,16.119,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.503,38.674,1.503,0.073,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.378
8.62,4.644,4.779,4.82,1.5,4.422,0.632,4.422,4.407,6.93,2.294,6.09,3.368,7.326,5.368,3.368,0.111,102,5,498.484,7.242,12238.0,3.892,3.48,6.296,9.188,2.596,2.271,8.624,9.522,10.446,11.355,12.283,3.546,6.849,5.531,9.188,19.022,10.4,12.79,16.013,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.569,0.067,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.376
5.824,4.382,4.554,4.673,3.2,4.49,0.817,4.49,4.205,5.235,1.587,5.723,3.471,6.926,5.471,3.471,0.11,113,3,305.958,6.902,7438.0,3.726,3.502,6.671,10.714,1.895,1.886,8.523,9.411,10.337,11.234,12.162,3.61,6.849,5.994,10.714,14.687,10.313,12.671,16.048,18.405,20.966,23.416,25.946,28.435,30.956,26.652,33.464,35.986,30.586,38.504,1.63,0.066,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.02
6.194,4.804,4.99,5.204,3.5,4.296,0.897,4.296,4.5,7.991,1.515,6.442,3.144,7.003,5.144,3.144,0.105,23,6,395.843,7.982,31405.0,3.487,3.216,5.915,8.21,1.956,1.237,8.625,9.545,10.47,11.397,12.326,3.44,6.739,5.813,8.21,13.059,10.373,12.83,15.536,17.781,20.332,22.72,25.225,27.672,30.166,25.845,32.639,35.132,29.677,37.618,1.548,0.066,3.691,8.362,10.925,13.492,16.062,18.636,7.163,3.691,6.898
6.119,4.443,4.443,4.5,5.3,3.997,0.545,3.997,4.234,6.751,0.434,5.965,2.799,6.251,4.799,2.799,0.121,5,6,396.277,7.606,24872.0,2.989,2.891,5.412,7.154,1.192,0.663,8.406,9.262,10.124,10.985,11.85,1.481,6.55,1.104,7.154,4.92,10.119,12.398,14.572,16.554,18.951,21.098,23.431,25.657,27.966,24.831,30.229,32.532,28.483,34.815,1.502,0.08,0.86,0.854,0.661,0.505,0.382,0.285,1.72,0.86,6.224
6.638,4.956,5.088,5.215,4.6,4.49,0.784,4.49,4.754,9.796,0.823,6.446,3.471,7.072,5.471,3.471,0.111,86,5,524.039,8.794,106155.0,3.726,3.502,6.671,10.714,2.664,2.347,8.999,9.891,10.804,11.7,12.614,3.636,7.256,5.996,10.714,16.287,10.766,13.13,16.234,18.542,21.085,23.507,26.021,28.494,31.004,26.791,33.502,36.017,30.695,38.529,1.591,0.069,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.767
7.032,4.71,4.82,4.913,2.4,4.49,0.81,4.49,4.533,7.908,0.998,6.054,3.471,6.943,5.471,3.471,0.115,138,8,465.401,7.866,32024.0,3.726,3.502,6.671,10.714,2.668,2.212,8.815,9.694,10.602,11.488,12.398,3.687,7.104,6.0,10.714,18.127,10.595,12.918,16.13,18.46,21.01,23.447,25.969,28.451,30.968,26.709,33.473,35.993,30.627,38.509,1.591,0.072,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.271
6.638,4.644,4.771,4.86,2.5,4.49,0.813,4.49,4.466,7.379,0.945,5.967,3.471,6.975,5.471,3.471,0.116,110,7,457.311,7.768,28819.0,3.726,3.502,6.671,10.714,2.197,2.149,8.756,9.63,10.535,11.418,12.327,3.687,7.045,6.0,10.714,18.127,10.529,12.848,16.079,18.421,20.977,23.422,25.949,28.436,30.957,26.669,33.464,35.986,30.596,38.504,1.571,0.072,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.191
6.367,4.787,4.913,5.03,2.4,4.49,0.869,4.49,4.635,8.462,0.849,6.114,3.471,6.921,5.471,3.471,0.115,105,7,537.947,8.201,53302.0,3.726,3.502,6.671,10.714,2.543,2.111,8.895,9.774,10.681,11.566,12.475,3.759,7.168,6.016,10.714,20.253,10.656,12.996,16.145,18.469,21.018,23.452,25.973,28.454,30.971,26.717,33.475,35.994,30.632,38.51,1.574,0.071,3.784,8.588,11.208,13.837,16.469,19.103,7.434,3.784,6.363
6.523,4.787,4.898,4.977,2.2,4.49,0.816,4.49,4.625,8.588,1.02,6.147,3.471,6.965,5.471,3.471,0.115,170,5,540.401,8.024,40267.0,3.726,3.502,6.671,10.714,2.899,2.441,8.892,9.773,10.683,11.569,12.481,3.759,7.174,6.005,10.714,21.567,10.673,13.0,16.199,18.521,21.068,23.498,26.016,28.492,31.005,26.763,33.504,36.019,30.676,38.532,1.598,0.072,3.784,8.586,11.208,13.837,16.469,19.103,7.434,3.784,6.351
5.921,4.466,4.605,4.727,2.9,4.49,0.793,4.49,4.304,5.853,0.945,5.74,3.471,6.921,5.471,3.471,0.111,86,5,333.311,7.228,12347.0,3.726,3.502,6.671,10.714,2.065,1.91,8.654,9.539,10.458,11.35,12.269,3.61,6.956,5.994,10.714,14.687,10.433,12.783,16.075,18.421,20.977,23.423,25.95,28.437,30.958,26.667,33.465,35.987,30.595,38.505,1.613,0.068,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.034
5.357,4.357,4.511,4.595,3.5,4.49,0.889,4.49,4.174,5.099,1.455,5.71,3.471,7.248,5.471,3.471,0.108,93,3,290.973,6.739,5810.0,3.726,3.502,6.671,10.714,1.895,1.886,8.48,9.375,10.306,11.207,12.136,3.584,6.806,5.993,10.714,13.087,10.278,12.644,16.046,18.404,20.966,23.416,25.945,28.435,30.956,26.651,33.464,35.986,30.586,38.504,1.641,0.066,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,5.995
6.222,4.575,4.682,4.796,2.7,4.49,0.806,4.49,4.407,6.836,0.909,5.867,3.471,7.191,5.471,3.471,0.115,86,5,379.311,7.526,19568.0,3.726,3.502,6.671,10.714,2.126,1.948,8.685,9.563,10.476,11.362,12.277,3.625,6.978,5.996,10.714,15.264,10.462,12.795,16.07,18.416,20.974,23.421,25.948,28.436,30.957,26.664,33.464,35.986,30.593,38.504,1.575,0.071,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.138
5.62,4.369,4.533,4.635,3.3,4.49,0.817,4.49,4.19,5.175,1.612,5.717,3.471,7.297,5.471,3.471,0.109,94,3,297.395,6.823,6623.0,3.726,3.502,6.671,10.714,1.895,1.886,8.494,9.387,10.315,11.215,12.144,3.593,6.815,5.993,10.714,13.887,10.287,12.652,16.046,18.404,20.966,23.416,25.945,28.435,30.956,26.651,33.464,35.986,30.586,38.504,1.624,0.066,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.008
5.481,4.407,4.575,4.7,3.0,4.49,0.871,4.49,4.248,5.447,1.873,5.73,3.471,7.165,5.471,3.471,0.113,115,3,326.826,7.045,9294.0,3.726,3.502,6.671,10.714,1.895,1.886,8.558,9.443,10.365,11.259,12.183,3.61,6.876,5.994,10.714,14.687,10.341,12.695,16.052,18.407,20.968,23.417,25.946,28.435,30.956,26.654,33.464,35.986,30.588,38.504,1.611,0.067,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.027
5.77,4.454,4.595,4.718,4.1,4.49,0.829,4.49,4.277,5.955,1.975,5.736,3.471,6.927,5.471,3.471,0.112,137,3,336.719,7.173,11382.0,3.726,3.502,6.671,10.714,2.135,1.941,8.598,9.478,10.395,11.285,12.206,3.636,6.917,5.996,10.714,16.287,10.374,12.72,16.055,18.408,20.968,23.417,25.946,28.435,30.956,26.656,33.464,35.986,30.588,38.504,1.608,0.07,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.032
6.921,4.7,4.82,4.92,2.5,4.49,0.811,4.49,4.533,7.741,1.008,6.062,3.471,6.943,5.471,3.471,0.115,138,9,461.401,7.829,29624.0,3.726,3.502,6.671,10.714,2.588,2.24,8.809,9.69,10.601,11.488,12.4,3.701,7.099,6.001,10.714,18.704,10.591,12.919,16.133,18.462,21.012,23.448,25.97,28.452,30.969,26.71,33.473,35.993,30.628,38.509,1.603,0.071,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.288
7.456,4.595,4.736,4.92,2.6,4.276,0.534,4.276,4.304,6.484,0.72,5.857,3.132,6.712,5.132,3.132,0.104,6,7,323.455,7.41,15119.0,3.766,3.378,5.836,7.948,1.52,0.896,8.436,9.354,10.277,11.2,12.125,3.42,6.567,5.521,7.948,13.256,10.208,12.631,15.339,17.578,20.124,22.507,25.008,27.45,29.938,25.661,32.406,34.893,29.49,37.372,1.58,0.066,3.272,7.832,10.186,12.551,14.92,17.291,6.545,3.272,6.224
8.699,4.575,4.71,4.71,3.8,4.368,0.84,4.368,4.304,6.331,1.806,6.014,3.337,7.093,5.337,3.337,0.108,73,5,409.405,6.89,6922.0,3.51,3.18,6.134,8.771,2.418,2.007,8.468,9.376,10.297,11.211,12.136,2.861,6.627,3.475,8.771,13.458,10.225,12.644,15.582,17.884,20.47,22.911,25.455,27.952,30.486,25.933,33.006,35.539,29.806,38.068,1.583,0.066,1.674,4.252,5.119,6.042,7.004,7.989,3.349,1.674,6.268
7.347,4.905,5.094,5.357,3.8,4.317,0.691,4.317,4.585,8.483,0.902,6.249,3.265,6.64,5.265,3.265,0.1,12,5,347.173,8.458,55192.0,3.537,3.057,6.289,9.429,1.991,0.924,8.718,9.652,10.59,11.527,12.466,2.529,6.853,3.862,9.429,7.635,10.513,12.962,15.68,17.904,20.434,22.791,25.266,27.677,30.134,26.009,32.567,35.019,29.826,37.463,1.611,0.063,2.443,5.489,7.209,8.963,10.734,12.512,4.174,2.443,6.686
6.0,5.081,5.165,5.236,5.8,4.612,0.551,4.612,4.836,11.227,0.739,6.431,3.61,7.765,5.61,3.61,0.112,54,10,617.539,8.485,70665.0,3.888,3.777,6.268,9.057,2.849,2.257,9.026,9.926,10.838,11.743,12.657,3.11,7.226,4.297,9.057,17.215,10.822,13.171,16.697,19.255,21.957,24.61,27.304,29.99,32.688,27.264,35.387,38.09,31.343,40.795,1.57,0.07,2.612,5.979,7.801,9.672,11.564,13.468,4.612,2.612,6.756
