pXC50,CATS2D_01_DD,nRNHO,P_VSA_MR_3,O.056,nRCNO,C.038,CATS2D_01_DA,N.074,CATS2D_04_DD,NaasN,SaasN,NdsN,SpDiam_EA.dm.,P_VSA_LogP_5,SdssC,N.073,SaaN,P_VSA_LogP_3,O.060,SpMax1_Bh.s.,MATS3s,SpMax1_Bh.i.,CATS2D_02_AA,piPC07,piPC08,piPC10,nRCONHR,SsOH,P_VSA_MR_7,X5A,GATS5s,MATS1e,CATS2D_03_AL,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,ATSC1e,Eig01_AEA.ri.,SpMax_AEA.ri.,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMax1_Bh.e.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,ATSC3s,GATS5m,ATSC3e,X4A,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,GATS4s,SpDiam_EA.ed.,GATS5e,MATS5m,SpMAD_AEA.dm.,SssNH,SM14_EA
5.043,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.404,15.248,-0.749,0,3.53,99.663,1,7.433,0.077,3.977,0,4.871,4.886,4.981,1,8.468,19.597,0.092,1.098,0.067,4,2.876,2.876,4.876,2.876,0.19,3.868,3.868,6.075,6.075,3.948,3.848,5.848,3.848,81.72,1.094,0.593,0.135,3.854,3.854,6.854,3.854,8.801,8.801,8.801,0.926,14.857,1.1,-0.107,1.575,4.297,15.095
4.622,1,1,42.806,1,1,1,0,1,0,0,0.0,1,4.883,33.375,-0.464,0,0.0,90.187,1,7.433,0.066,3.965,0,4.562,4.624,4.489,1,8.497,0.0,0.092,1.165,0.075,4,2.876,2.876,4.876,2.876,0.183,3.855,3.855,6.075,6.075,3.927,4.135,6.135,4.135,87.594,1.091,0.63,0.135,3.497,3.497,6.497,3.497,8.801,8.801,8.801,0.968,14.857,1.149,-0.095,1.654,4.357,15.095
5.815,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,19.0,-0.559,0,0.0,80.711,1,7.432,0.103,3.979,0,5.061,5.245,5.381,1,8.478,0.0,0.091,1.053,0.007,7,2.923,2.923,4.923,2.923,0.115,3.884,3.884,6.209,6.209,3.949,3.864,5.864,3.864,94.716,1.036,0.79,0.136,3.818,3.818,6.818,3.818,9.273,9.273,9.273,0.987,15.699,1.115,-0.048,1.532,4.532,15.318
6.166,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,19.0,-0.555,0,0.0,80.711,1,7.432,0.109,3.98,0,5.067,5.25,5.377,1,8.498,0.0,0.091,1.042,0.012,7,2.923,2.923,4.923,2.923,0.105,3.884,3.884,6.209,6.209,3.95,3.864,5.864,3.864,93.91,1.028,0.776,0.137,3.818,3.818,6.818,3.818,9.273,9.273,9.273,0.973,15.698,1.104,-0.038,1.52,4.557,15.319
6.019,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,19.0,-0.551,0,0.0,80.711,1,7.432,0.115,3.981,0,5.073,5.255,5.381,1,8.515,0.0,0.092,1.033,0.017,7,2.923,2.923,4.923,2.923,0.097,3.884,3.884,6.209,6.209,3.95,3.864,5.864,3.864,93.557,1.021,0.762,0.138,3.818,3.818,6.818,3.818,9.273,9.273,9.273,0.962,15.698,1.093,-0.029,1.517,4.577,15.32
7.151,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.698,41.615,-0.658,0,0.0,128.092,2,7.432,0.076,4.019,0,6.037,6.32,6.995,1,8.575,18.952,0.085,1.034,-0.002,10,2.931,2.931,4.931,2.931,0.132,3.892,3.892,6.21,6.21,3.997,3.864,5.864,3.864,95.064,1.014,0.76,0.128,3.872,3.872,6.872,3.872,9.278,9.278,9.278,0.988,15.712,1.049,-0.035,1.547,4.552,15.714
7.204,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.698,41.615,-0.658,0,0.0,128.092,2,7.432,0.076,4.019,0,6.037,6.32,6.995,1,8.575,18.952,0.085,1.034,-0.002,10,2.931,2.931,4.931,2.931,0.132,3.892,3.892,6.21,6.21,3.997,3.864,5.864,3.864,95.064,1.014,0.76,0.128,3.872,3.872,6.872,3.872,9.278,9.278,9.278,0.988,15.712,1.049,-0.035,1.547,4.552,15.714
6.818,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.698,41.615,-0.658,0,0.0,128.092,2,7.432,0.076,4.019,0,6.037,6.32,6.995,1,8.575,18.952,0.085,1.034,-0.002,10,2.931,2.931,4.931,2.931,0.132,3.892,3.892,6.21,6.21,3.997,3.864,5.864,3.864,95.064,1.014,0.76,0.128,3.872,3.872,6.872,3.872,9.278,9.278,9.278,0.988,15.712,1.049,-0.035,1.547,4.552,15.714
6.495,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,41.615,-0.615,0,0.0,109.139,2,7.432,0.079,4.023,0,5.855,6.127,6.783,1,8.581,0.0,0.085,1.019,0.003,10,2.931,2.931,4.931,2.931,0.123,3.892,3.892,6.21,6.21,3.999,3.864,5.864,3.864,95.42,1.032,0.776,0.128,3.853,3.853,6.853,3.853,9.278,9.278,9.278,0.967,15.712,1.045,-0.051,1.545,4.584,15.714
6.721,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,41.615,-0.615,0,0.0,109.139,2,7.432,0.079,4.023,0,5.855,6.127,6.783,1,8.581,0.0,0.085,1.019,0.003,10,2.931,2.931,4.931,2.931,0.123,3.892,3.892,6.21,6.21,3.999,3.864,5.864,3.864,95.42,1.032,0.776,0.128,3.853,3.853,6.853,3.853,9.278,9.278,9.278,0.967,15.712,1.045,-0.051,1.545,4.584,15.714
6.699,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.674,41.615,-0.615,0,0.0,109.139,2,7.432,0.079,4.023,0,5.855,6.127,6.783,1,8.581,0.0,0.085,1.019,0.003,10,2.931,2.931,4.931,2.931,0.123,3.892,3.892,6.21,6.21,3.999,3.864,5.864,3.864,95.42,1.032,0.776,0.128,3.853,3.853,6.853,3.853,9.278,9.278,9.278,0.967,15.712,1.045,-0.051,1.545,4.584,15.714
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,58.81,-0.205,0,0.0,47.381,1,7.431,0.009,3.959,0,4.315,4.43,4.087,2,8.717,0.0,0.104,1.352,0.024,3,2.754,2.754,4.754,2.754,0.097,3.747,3.747,5.998,5.998,3.92,3.855,5.855,3.855,55.596,1.164,0.327,0.153,3.476,3.476,6.476,3.476,8.409,8.409,8.409,1.202,14.122,1.369,-0.16,1.531,5.262,14.637
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,63.956,-0.216,0,0.0,66.334,1,7.431,0.007,4.107,0,6.159,6.502,6.24,2,8.783,0.0,0.088,1.295,0.03,3,2.931,2.931,4.931,2.931,0.09,3.926,3.926,6.185,6.185,4.084,3.855,5.855,3.855,54.402,1.145,0.303,0.135,4.337,4.337,7.337,4.337,9.238,9.238,9.238,1.146,15.555,1.317,-0.139,1.557,5.365,15.488
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,72.574,-0.269,0,4.322,47.381,1,7.431,0.01,4.096,0,6.159,6.502,6.24,2,8.778,16.786,0.088,1.312,0.017,6,2.931,2.931,4.931,2.931,0.104,3.911,3.911,6.185,6.185,4.066,3.855,5.855,3.855,59.08,1.167,0.376,0.135,4.337,4.337,7.337,4.337,9.238,9.238,9.238,1.181,15.555,1.298,-0.163,1.557,5.298,15.488
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.782,68.795,-0.169,0,0.0,75.81,1,7.431,0.011,4.122,0,6.481,6.843,7.141,2,8.852,0.0,0.074,1.126,0.033,3,3.346,3.346,5.346,3.346,0.096,4.339,4.339,7.048,7.048,4.1,3.855,5.855,3.855,54.446,1.097,0.297,0.114,4.283,4.283,7.283,4.283,12.152,12.152,12.152,1.157,19.385,1.198,-0.105,1.58,5.637,16.99
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,64.691,-0.218,0,0.0,37.905,1,7.431,0.001,3.99,0,4.934,4.877,4.38,2,8.762,0.0,0.095,1.211,0.029,5,2.797,2.797,4.797,2.797,0.091,3.759,3.759,5.998,5.998,3.95,3.855,5.855,3.855,50.475,1.091,0.314,0.146,3.691,3.691,6.691,3.691,8.409,8.409,8.409,1.111,14.122,1.133,-0.111,1.549,5.317,15.129
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,65.181,-0.227,0,0.0,85.286,1,7.431,0.01,4.036,0,5.923,6.216,6.596,2,8.799,0.0,0.091,1.254,0.034,3,2.875,2.875,4.875,2.875,0.096,3.872,3.872,6.143,6.143,4.009,3.855,5.855,3.855,54.614,1.123,0.311,0.139,3.891,3.891,6.891,3.891,9.057,9.057,9.057,1.157,15.132,1.25,-0.129,1.54,5.354,15.366
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,61.865,-0.23,0,0.0,37.905,1,7.431,-0.002,3.957,0,4.408,4.619,4.203,2,8.734,0.0,0.099,1.372,0.012,3,2.754,2.754,4.754,2.754,0.113,3.747,3.747,5.998,5.998,3.924,3.855,5.855,3.855,58.771,0.849,0.391,0.15,3.661,3.661,6.661,3.661,8.409,8.409,8.409,1.196,14.122,1.364,-0.083,1.552,5.274,14.823
4.135,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,65.181,-0.23,0,0.0,85.286,1,7.431,0.007,4.037,0,5.915,6.19,6.519,2,8.81,0.0,0.09,1.262,0.034,3,2.9,2.9,4.9,2.9,0.096,3.896,3.896,6.17,6.17,4.01,3.855,5.855,3.855,54.697,1.129,0.311,0.138,3.917,3.917,6.917,3.917,9.184,9.184,9.184,1.149,15.41,1.28,-0.133,1.544,5.387,15.419
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,68.367,-1.331,0,0.0,75.81,1,7.475,0.014,4.045,0,6.229,6.461,7.013,2,17.817,0.0,0.085,1.09,-0.025,5,2.933,2.933,4.933,2.933,0.147,3.93,3.93,6.185,6.185,4.021,3.855,5.855,3.855,76.83,1.114,0.435,0.135,3.967,3.967,6.967,3.967,9.224,9.224,9.224,1.065,15.489,1.119,-0.132,1.567,5.305,15.68
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,83.276,-0.254,0,4.117,56.857,1,7.431,0.002,4.031,0,5.915,6.19,6.519,2,8.806,16.786,0.09,1.27,0.023,5,2.9,2.9,4.9,2.9,0.096,3.893,3.893,6.17,6.17,4.0,3.855,5.855,3.855,57.507,1.127,0.331,0.138,3.917,3.917,6.917,3.917,9.184,9.184,9.184,1.15,15.41,1.286,-0.131,1.544,5.363,15.419
4.636,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,74.228,-0.288,0,4.076,56.857,1,7.431,0.003,4.031,0,5.994,6.307,6.757,2,8.812,16.786,0.088,1.219,0.008,5,2.913,2.913,4.913,2.913,0.118,3.902,3.902,6.174,6.174,4.001,3.855,5.855,3.855,64.265,0.844,0.412,0.135,3.943,3.943,6.943,3.943,9.199,9.199,9.199,1.146,15.434,1.168,-0.065,1.552,5.345,15.489
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.776,91.922,-0.292,0,4.327,66.334,1,7.431,-0.008,4.129,0,6.875,7.312,7.858,2,8.864,55.934,0.079,1.192,0.013,6,3.145,3.145,5.145,3.145,0.109,4.138,4.138,6.699,6.699,4.108,3.855,5.855,3.855,63.758,0.967,0.391,0.124,4.511,4.511,7.511,4.511,10.875,10.875,10.875,1.089,18.076,1.173,-0.078,1.567,5.404,16.32
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,4.055,85.486,-1.204,0,3.839,47.381,3,7.436,-0.021,4.035,1,6.14,6.479,6.984,1,8.841,19.597,0.083,1.65,0.034,6,3.134,3.134,5.134,3.134,0.213,4.072,4.072,6.446,6.446,4.015,3.855,5.855,3.855,87.98,1.267,0.774,0.133,4.036,4.036,7.036,4.036,10.157,10.157,10.157,1.032,16.618,1.564,-0.238,1.591,7.884,16.603
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,4.055,85.486,-1.161,0,3.834,47.381,3,7.436,-0.018,4.034,1,6.135,6.473,7.001,1,8.836,19.597,0.083,1.65,0.034,6,3.133,3.133,5.133,3.133,0.213,4.071,4.071,6.446,6.446,4.014,3.855,5.855,3.855,87.928,1.272,0.774,0.134,4.023,4.023,7.023,4.023,10.157,10.157,10.157,1.036,16.535,1.583,-0.241,1.589,7.875,16.586
4.812,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.737,74.486,-0.55,0,3.801,80.278,2,7.432,0.073,4.028,0,5.888,6.176,6.513,1,8.785,19.597,0.086,1.093,0.038,6,2.989,2.989,4.989,2.989,0.201,3.983,3.983,6.263,6.263,4.007,3.855,5.855,3.855,67.847,1.102,0.5,0.133,4.032,4.032,7.032,4.032,9.477,9.477,9.477,1.21,15.9,1.172,-0.111,1.573,5.222,15.763
4.662,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.737,74.486,-0.542,0,3.804,80.278,2,7.432,0.078,4.027,0,5.874,6.16,6.465,1,8.785,19.597,0.086,1.089,0.038,6,2.982,2.982,4.982,2.982,0.201,3.976,3.976,6.253,6.253,4.007,3.855,5.855,3.855,67.875,1.08,0.5,0.132,4.021,4.021,7.021,4.021,9.429,9.429,9.429,1.224,15.795,1.196,-0.085,1.57,5.225,15.733
4.007,0,0,0.0,0,1,1,1,1,1,0,0.0,1,4.083,89.239,-1.316,0,0.0,85.286,3,7.437,-0.052,4.018,3,5.582,5.832,6.102,2,9.093,0.0,0.083,1.699,0.008,8,3.193,3.193,5.193,3.193,0.111,4.131,4.131,6.676,6.676,3.983,3.94,5.94,3.94,79.576,1.159,0.638,0.131,3.65,3.65,6.65,3.65,10.751,10.751,10.751,1.227,17.929,1.488,-0.109,1.569,5.362,16.768
4.423,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.824,78.239,-0.357,0,0.0,103.297,2,7.431,0.043,4.003,0,5.213,5.366,5.671,2,8.953,0.0,0.091,1.311,0.005,5,2.834,2.834,4.834,2.834,0.105,3.818,3.818,6.052,6.052,3.965,3.855,5.855,3.855,61.723,1.061,0.434,0.141,3.635,3.635,6.635,3.635,8.698,8.698,8.698,1.243,14.874,1.168,-0.066,1.523,8.764,15.376
4.0,0,0,0.0,0,1,1,1,1,1,0,0.0,1,3.828,68.305,-0.295,0,0.0,142.144,1,7.431,0.029,4.041,0,5.663,5.996,6.503,2,9.106,0.0,0.086,1.43,0.043,8,3.023,3.023,5.023,3.023,0.115,3.986,3.986,6.474,6.474,3.999,3.855,5.855,3.855,57.105,1.112,0.419,0.133,3.52,3.52,6.52,3.52,10.073,10.073,10.073,1.132,16.909,1.47,-0.094,1.518,5.584,15.898
4.971,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.176,16.521,-0.072,0,4.318,47.381,0,7.431,-0.03,4.1,0,6.111,6.433,6.174,2,0.0,16.786,0.085,1.174,-0.061,4,3.042,3.042,5.042,3.042,0.024,4.018,4.018,6.513,6.513,4.07,3.803,5.803,3.803,58.988,1.002,0.333,0.129,4.432,4.432,7.432,4.432,10.232,10.232,10.232,1.067,17.059,1.158,-0.093,1.551,5.678,15.645
5.057,0,0,0.0,0,0,0,0,0,1,0,0.0,0,4.176,9.067,-0.199,0,0.0,37.905,0,7.431,-0.002,3.989,0,5.047,4.26,4.246,1,0.0,0.0,0.089,1.144,-0.062,4,2.865,2.865,4.865,2.865,0.024,3.854,3.854,6.06,6.06,3.955,3.803,5.803,3.803,46.34,0.964,0.242,0.141,3.791,3.791,6.791,3.791,8.676,8.676,8.676,1.25,14.642,1.029,-0.074,1.585,5.51,15.024
5.812,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.176,9.067,-0.091,0,0.0,37.905,0,7.431,0.029,3.991,0,5.06,4.231,4.26,1,0.0,0.0,0.091,1.084,-0.047,4,2.865,2.865,4.865,2.865,0.038,3.854,3.854,6.06,6.06,3.957,3.803,5.803,3.803,48.334,0.943,0.273,0.144,3.791,3.791,6.791,3.791,8.676,8.676,8.676,1.187,14.642,1.017,-0.057,1.561,5.672,15.026
7.638,1,1,42.806,1,0,0,0,0,0,1,2.331,0,2.993,10.353,-0.543,1,4.848,90.187,0,7.433,0.18,4.182,1,6.72,7.128,7.417,0,8.581,35.738,0.073,0.459,0.085,7,3.206,3.206,5.206,3.206,0.109,4.151,4.151,6.756,6.756,4.14,3.806,5.806,3.806,57.886,0.861,0.435,0.116,4.595,4.595,7.595,4.595,11.098,11.098,11.098,0.667,18.147,0.653,0.09,1.533,1.597,16.383
7.469,1,1,42.806,1,0,0,0,0,0,1,2.286,0,2.993,7.229,-0.547,1,4.807,108.198,0,7.433,0.145,4.181,1,6.702,7.106,7.369,0,8.556,35.738,0.074,0.503,0.057,7,3.205,3.205,5.205,3.205,0.109,4.15,4.15,6.755,6.755,4.139,3.806,5.806,3.806,61.783,0.925,0.428,0.113,4.594,4.594,7.594,4.594,11.097,11.097,11.097,0.658,18.145,0.68,0.028,1.566,5.043,16.364
7.469,1,1,42.806,1,0,0,0,0,0,1,2.345,0,2.993,10.353,-0.551,1,4.935,90.187,0,7.433,0.059,4.191,1,6.827,7.217,7.581,0,8.633,35.738,0.068,0.634,0.093,11,3.339,3.339,5.339,3.339,0.121,4.306,4.306,6.9,6.9,4.149,3.806,5.806,3.806,59.223,1.227,0.297,0.112,4.599,4.599,7.599,4.599,11.636,11.636,11.636,0.445,18.831,0.922,-0.226,1.65,1.603,17.41
7.553,1,1,42.806,1,0,0,0,0,0,1,2.303,0,2.993,7.229,-0.544,1,4.848,108.198,0,7.433,0.183,4.182,1,6.703,7.111,7.385,0,8.575,35.738,0.075,0.504,0.063,7,3.205,3.205,5.205,3.205,0.116,4.15,4.15,6.755,6.755,4.14,3.806,5.806,3.806,60.848,0.926,0.425,0.116,4.594,4.594,7.594,4.594,11.097,11.097,11.097,0.674,18.145,0.679,0.029,1.526,4.973,16.358
7.538,1,1,42.806,1,0,0,0,0,0,1,2.31,0,2.993,7.229,-0.544,1,4.867,108.198,0,7.433,0.156,4.182,1,6.713,7.123,7.414,0,8.594,35.738,0.074,0.497,0.067,7,3.205,3.205,5.205,3.205,0.122,4.15,4.15,6.755,6.755,4.14,3.806,5.806,3.806,63.562,0.919,0.449,0.116,4.594,4.594,7.594,4.594,11.097,11.097,11.097,0.638,18.145,0.661,0.038,1.545,5.074,16.365
7.886,1,1,42.806,1,0,0,0,0,0,1,2.315,0,2.993,10.353,-0.543,1,4.857,90.187,0,7.433,0.166,4.182,1,6.711,7.121,7.406,0,8.578,35.738,0.074,0.507,0.085,7,3.206,3.206,5.206,3.206,0.109,4.151,4.151,6.755,6.755,4.14,3.806,5.806,3.806,57.633,0.908,0.379,0.114,4.595,4.595,7.595,4.595,11.098,11.098,11.098,0.62,18.147,0.748,0.056,1.544,1.596,16.367
7.745,1,1,42.806,1,0,0,0,0,0,1,2.27,0,2.993,7.229,-0.551,1,4.814,127.15,0,7.433,0.163,4.181,1,6.732,7.153,7.475,0,8.57,54.691,0.075,0.497,0.057,7,3.205,3.205,5.205,3.205,0.109,4.15,4.15,6.755,6.755,4.139,3.806,5.806,3.806,61.08,0.928,0.407,0.116,4.595,4.595,7.595,4.595,11.097,11.097,11.097,0.72,18.145,0.654,0.019,1.536,4.952,16.358
7.721,1,1,42.806,1,0,0,0,0,0,1,2.3,0,2.993,7.229,-0.546,1,4.842,108.198,0,7.433,0.151,4.182,1,6.71,7.118,7.395,0,8.576,35.738,0.074,0.504,0.063,7,3.205,3.205,5.205,3.205,0.116,4.15,4.15,6.755,6.755,4.14,3.806,5.806,3.806,62.793,0.921,0.439,0.115,4.594,4.594,7.594,4.594,11.097,11.097,11.097,0.647,18.145,0.67,0.034,1.56,5.06,16.364
6.11,1,1,42.806,1,0,0,0,0,0,0,0.0,2,3.641,19.952,-1.247,0,3.824,109.139,1,7.434,0.058,4.058,0,6.738,7.036,7.565,0,8.455,19.597,0.081,1.002,0.114,11,2.99,2.99,4.99,2.99,0.336,3.983,3.983,6.254,6.254,4.033,3.864,5.864,3.864,123.417,0.966,0.875,0.125,4.025,4.025,7.025,4.025,9.435,9.435,9.435,0.997,15.836,1.079,0.028,1.545,7.105,16.088
6.854,1,1,42.806,1,0,0,0,0,0,1,1.633,2,3.641,19.952,-0.532,1,4.236,109.139,0,7.432,0.004,4.075,0,6.224,6.564,7.044,1,8.42,19.597,0.085,1.023,0.153,9,2.879,2.879,4.879,2.879,0.265,3.857,3.857,5.852,5.852,4.024,3.864,5.864,3.864,106.941,1.04,0.72,0.131,3.901,3.901,6.901,3.901,8.538,8.538,8.538,0.821,14.538,1.057,-0.071,1.505,4.387,15.296
6.824,0,0,0.0,0,0,1,0,0,1,0,0.0,0,3.682,8.332,-1.429,0,0.0,66.334,0,7.44,-0.055,4.126,0,6.352,6.689,6.838,4,0.0,0.0,0.08,1.133,-0.039,5,3.066,3.066,5.066,3.066,0.06,4.063,4.063,6.523,6.523,4.103,3.847,5.847,3.847,120.377,1.042,0.806,0.124,4.431,4.431,7.431,4.431,10.273,10.273,10.273,1.241,17.142,1.161,-0.01,1.552,11.463,16.369
4.523,0,0,0.0,0,0,0,0,0,1,0,0.0,0,1.96,46.139,-0.46,1,0.0,123.191,1,7.437,-0.087,4.024,0,5.893,6.207,6.879,0,0.0,0.0,0.086,1.241,-0.069,3,2.985,2.985,4.985,2.985,0.037,3.975,3.975,6.417,6.417,3.995,3.538,5.538,3.538,30.808,1.068,0.194,0.13,3.95,3.95,6.95,3.95,9.816,9.816,9.816,0.84,16.377,1.409,-0.051,1.475,3.222,15.594
