pXC50,Sp,Sv,nBT,nAB,nSK,Si,Se,nN,nBO,nAT,MW,SCBO,nH,X.,nHet,nC,Mi,N.,Mv,AMW,H.,Mp
5.0,28.972,27.917,43.0,26,26,43.654,39.44,7,30,39.0,359.45,43.0,13,0.0,8,18,1.119,17.9,0.716,9.217,33.3,0.743
5.4,36.364,35.642,58.0,16,32,63.402,57.207,4,34,56.0,440.5,46.0,24,0.0,10,22,1.132,7.1,0.636,7.866,42.9,0.649
7.824,51.193,49.508,82.0,30,44,82.438,74.531,4,52,74.0,586.69,69.0,30,0.0,9,35,1.114,5.4,0.669,7.928,40.5,0.692
7.3,34.091,34.105,54.0,18,32,59.153,53.76,6,34,52.0,440.46,46.0,20,0.0,12,20,1.138,11.5,0.656,8.47,38.5,0.656
5.0,26.296,25.477,42.0,20,23,44.275,39.356,6,26,39.0,308.38,36.0,16,0.0,7,16,1.135,15.4,0.653,7.907,41.0,0.674
5.4,34.461,32.697,52.0,22,29,53.527,48.098,5,33,48.0,401.53,45.0,19,0.0,7,22,1.115,10.4,0.681,8.365,39.6,0.718
5.2,52.557,49.47,87.0,17,41,94.301,82.825,6,45,83.0,562.79,54.5,42,0.0,10,31,1.136,7.2,0.596,6.781,50.6,0.633
5.4,40.057,40.142,61.0,17,38,65.876,59.981,5,41,58.0,519.52,56.5,20,5.2,11,27,1.136,8.6,0.692,8.957,34.5,0.691
5.0,47.466,44.362,76.0,18,37,82.766,72.923,6,40,73.0,524.76,51.0,36,0.0,10,27,1.134,8.2,0.608,7.188,49.3,0.65
5.0,33.455,31.675,49.0,22,28,51.029,45.996,4,31,46.0,386.51,44.0,18,0.0,6,22,1.109,8.7,0.689,8.402,39.1,0.727
4.602,33.273,32.246,53.0,22,29,55.315,49.451,6,33,49.0,388.47,44.0,20,0.0,8,21,1.129,12.2,0.658,7.928,40.8,0.679
5.2,33.148,33.422,50.0,18,32,54.906,50.32,4,34,48.0,464.86,45.0,16,8.3,11,21,1.144,8.3,0.696,9.685,33.3,0.691
5.4,28.597,27.268,44.0,22,24,45.983,40.811,5,27,41.0,315.41,38.0,17,0.0,5,19,1.122,12.2,0.665,7.693,41.5,0.697
5.4,25.79,24.449,37.0,17,22,39.143,35.553,4,24,35.0,332.84,32.5,13,2.9,7,15,1.118,11.4,0.699,9.51,37.1,0.737
5.4,27.693,26.569,41.0,22,24,42.512,38.251,5,27,38.0,335.82,38.0,14,2.6,6,18,1.119,13.2,0.699,8.837,36.8,0.729
5.4,28.483,28.676,44.0,22,28,46.734,42.338,9,31,41.0,375.39,44.0,13,0.0,11,17,1.14,22.0,0.699,9.156,31.7,0.695
5.2,40.068,37.862,62.0,17,33,66.923,59.603,7,36,59.0,488.07,45.5,26,1.7,11,22,1.134,11.9,0.642,8.272,44.1,0.679
4.076,21.591,21.664,30.0,12,21,32.383,30.695,2,22,29.0,327.13,31.0,8,6.9,8,13,1.117,6.9,0.747,11.28,27.6,0.745
5.4,20.455,20.27,31.0,16,19,32.705,29.68,3,21,29.0,255.27,30.0,10,3.4,5,14,1.128,10.3,0.699,8.802,34.5,0.705
5.0,33.103,31.111,54.0,16,26,59.351,51.774,6,28,52.0,354.51,36.0,26,0.0,7,19,1.141,11.5,0.598,6.817,50.0,0.637
5.4,24.279,23.413,37.0,16,21,37.78,34.051,3,24,34.0,275.33,34.0,13,0.0,4,17,1.111,8.8,0.689,8.098,38.2,0.714
4.066,20.614,19.767,30.0,16,18,30.996,28.469,2,20,28.0,258.32,28.0,10,0.0,5,13,1.107,7.1,0.706,9.226,35.7,0.736
5.0,29.864,29.154,44.0,16,27,47.653,43.64,4,29,42.0,457.71,38.0,15,7.1,10,17,1.135,9.5,0.694,10.898,35.7,0.711
5.4,32.824,31.962,51.0,17,29,54.516,49.069,5,32,48.0,415.89,41.5,19,4.2,9,20,1.136,10.4,0.666,8.664,39.6,0.684
6.8,23.086,22.257,37.0,16,20,40.149,35.247,7,22,35.0,269.35,30.0,15,0.0,7,13,1.147,20.0,0.636,7.696,42.9,0.66
6.5,26.301,25.499,43.0,16,23,45.774,40.458,7,26,40.0,311.39,34.0,17,0.0,8,15,1.144,17.5,0.637,7.785,42.5,0.658
7.2,28.063,27.025,46.0,16,24,49.189,43.342,7,27,43.0,325.42,35.0,19,0.0,8,16,1.144,16.3,0.628,7.568,44.2,0.653
7.7,36.284,35.288,58.0,22,32,61.312,54.654,8,36,54.0,430.52,48.0,22,0.0,10,22,1.135,14.8,0.653,7.973,40.7,0.672
6.482,39.353,37.627,63.0,22,33,66.933,59.094,8,37,59.0,442.58,49.0,26,0.0,9,24,1.134,13.6,0.638,7.501,44.1,0.667
7.8,39.33,37.396,65.0,16,32,70.972,62.189,8,35,62.0,438.6,44.0,30,0.0,10,22,1.145,12.9,0.603,7.074,48.4,0.634
6.821,39.33,37.396,65.0,16,32,70.972,62.189,8,35,62.0,438.6,44.0,30,0.0,10,22,1.145,12.9,0.603,7.074,48.4,0.634
8.77,41.762,40.025,68.0,24,35,68.189,61.109,4,42,61.0,466.58,55.0,26,0.0,7,28,1.118,6.6,0.656,7.649,42.6,0.685
5.4,30.529,31.068,49.0,12,30,51.547,47.112,4,34,45.0,416.39,43.0,15,6.7,10,20,1.145,8.9,0.69,9.253,33.3,0.678
5.301,37.142,36.691,57.0,27,34,59.959,54.225,4,38,53.0,460.49,52.5,19,5.7,8,26,1.131,7.5,0.692,8.688,35.8,0.701
5.4,24.074,23.214,37.0,21,21,38.152,34.043,5,24,34.0,275.34,34.5,13,0.0,5,16,1.122,14.7,0.683,8.098,38.2,0.708
5.4,24.074,23.214,37.0,21,21,38.152,34.043,5,24,34.0,275.34,34.5,13,0.0,5,16,1.122,14.7,0.683,8.098,38.2,0.708
5.4,25.08,24.236,39.0,21,22,40.651,36.145,6,25,36.0,290.36,35.5,14,0.0,6,16,1.129,16.7,0.673,8.066,38.9,0.697
5.4,24.279,23.413,37.0,21,21,37.78,34.051,3,24,34.0,275.33,34.5,13,0.0,4,17,1.111,8.8,0.689,8.098,38.2,0.714
5.4,20.279,19.413,32.0,15,17,33.78,30.051,3,19,30.0,227.29,26.5,13,0.0,4,13,1.126,10.0,0.647,7.576,43.3,0.676
5.4,25.807,24.488,42.0,15,21,44.109,38.92,4,24,39.0,282.38,31.5,18,0.0,5,16,1.131,10.3,0.628,7.241,46.2,0.662
5.4,19.551,19.161,30.0,20,18,30.322,27.276,5,21,27.0,235.27,31.0,9,0.0,5,13,1.123,18.5,0.71,8.714,33.3,0.724
5.4,24.716,23.38,36.0,21,21,36.574,33.018,4,24,33.0,292.39,34.5,12,0.0,5,16,1.108,12.1,0.708,8.86,36.4,0.749
5.4,26.478,24.907,39.0,21,22,39.989,35.902,4,25,36.0,306.42,35.5,14,0.0,5,17,1.111,11.1,0.692,8.512,38.9,0.735
5.4,30.364,28.816,49.0,20,25,50.896,44.796,6,29,45.0,332.45,39.0,20,0.0,6,19,1.131,13.3,0.64,7.388,44.4,0.675
5.4,25.841,24.762,41.0,20,22,43.066,38.029,6,25,38.0,292.38,35.0,16,0.0,6,16,1.133,15.8,0.652,7.694,42.1,0.68
5.4,34.273,32.946,55.0,21,29,57.777,51.301,5,33,51.0,391.49,43.5,22,2.0,7,22,1.133,9.8,0.646,7.676,43.1,0.672
4.042,11.79,11.634,19.0,10,11,20.907,18.393,5,12,18.0,149.18,17.0,7,0.0,5,6,1.161,27.8,0.646,8.288,38.9,0.655
4.022,13.938,12.789,19.0,11,11,19.664,17.829,1,12,18.0,161.24,17.5,7,0.0,2,9,1.092,5.6,0.71,8.958,38.9,0.774
4.011,13.75,13.338,21.0,10,12,22.452,20.182,2,13,20.0,160.19,19.0,8,0.0,3,9,1.123,10.0,0.667,8.01,40.0,0.688
6.416,18.557,18.182,29.0,16,17,30.82,27.378,6,19,27.0,226.27,27.0,10,0.0,6,11,1.141,22.2,0.673,8.38,37.0,0.687
5.573,17.551,17.161,27.0,16,16,28.322,25.276,5,18,25.0,211.25,26.0,9,0.0,5,11,1.133,20.0,0.686,8.45,36.0,0.702
5.138,19.313,18.687,30.0,16,17,31.737,28.16,5,19,28.0,225.28,27.0,11,0.0,5,12,1.133,17.9,0.667,8.046,39.3,0.69
4.866,19.313,18.687,30.0,16,17,31.737,28.16,5,19,28.0,225.28,27.0,11,0.0,5,12,1.133,17.9,0.667,8.046,39.3,0.69
4.674,20.068,19.193,31.0,16,17,32.654,28.942,4,19,29.0,224.29,27.0,12,0.0,4,13,1.126,13.8,0.662,7.734,41.4,0.692
4.6,18.307,17.666,28.0,16,16,29.239,26.058,4,18,26.0,210.26,26.0,10,0.0,4,12,1.125,15.4,0.679,8.087,38.5,0.704
4.879,18.307,17.666,28.0,16,16,29.239,26.058,4,18,26.0,210.26,26.0,10,0.0,4,12,1.125,15.4,0.679,8.087,38.5,0.704
5.585,37.915,36.65,62.0,11,32,67.153,59.832,4,35,59.0,442.54,43.5,27,1.7,9,23,1.138,6.8,0.621,7.501,45.8,0.643
5.4,30.932,29.322,45.0,23,26,46.661,42.08,3,29,42.0,361.47,40.5,16,2.4,5,21,1.111,7.1,0.698,8.606,38.1,0.736
4.951,37.103,35.111,60.0,20,30,63.351,55.774,6,34,56.0,402.55,45.0,26,0.0,7,23,1.131,10.7,0.627,7.188,46.4,0.663
4.523,36.347,34.606,59.0,20,30,62.434,54.992,7,34,55.0,403.54,45.0,25,0.0,8,22,1.135,12.7,0.629,7.337,45.5,0.661
5.9,28.063,27.025,46.0,16,24,49.189,43.342,7,27,43.0,325.42,35.0,19,0.0,8,16,1.144,16.3,0.628,7.568,44.2,0.653
7.5,29.824,28.552,49.0,16,25,52.604,46.225,7,28,46.0,339.45,36.0,21,0.0,8,17,1.144,15.2,0.621,7.379,45.7,0.648
6.7,31.586,30.079,52.0,16,26,56.019,49.109,7,29,49.0,353.48,37.0,23,0.0,8,18,1.143,14.3,0.614,7.214,46.9,0.645
6.9,29.37,27.837,48.0,16,24,51.395,44.898,7,27,45.0,323.45,35.0,21,0.0,7,17,1.142,15.6,0.619,7.188,46.7,0.653
6.0,36.284,35.288,58.0,22,32,61.312,54.654,8,36,54.0,430.52,48.0,22,0.0,10,22,1.135,14.8,0.653,7.973,40.7,0.672
7.5,37.591,36.1,60.0,22,32,63.517,56.211,8,36,56.0,428.55,48.0,24,0.0,9,23,1.134,14.3,0.645,7.653,42.9,0.671
6.9,37.591,36.1,60.0,22,32,63.517,56.211,8,36,56.0,428.55,48.0,24,0.0,9,23,1.134,14.3,0.645,7.653,42.9,0.671
7.2,39.875,37.681,66.0,16,32,70.763,61.861,8,36,62.0,434.61,45.0,30,0.0,9,23,1.141,12.9,0.608,7.01,48.4,0.643
6.9,38.114,36.154,63.0,16,31,67.348,58.978,8,35,59.0,420.58,44.0,28,0.0,9,22,1.141,13.6,0.613,7.128,47.5,0.646
4.533,39.353,37.627,63.0,22,33,66.933,59.094,8,37,59.0,442.58,49.0,26,0.0,9,24,1.134,13.6,0.638,7.501,44.1,0.667
6.1,39.353,37.627,63.0,22,33,66.933,59.094,8,37,59.0,442.58,49.0,26,0.0,9,24,1.134,13.6,0.638,7.501,44.1,0.667
6.484,41.114,39.154,66.0,22,34,70.348,61.978,8,38,62.0,456.61,50.0,28,0.0,9,25,1.135,12.9,0.632,7.365,45.2,0.663
6.413,41.637,39.208,69.0,16,33,74.178,64.745,8,37,65.0,448.64,46.0,32,0.0,9,24,1.141,12.3,0.603,6.902,49.2,0.641
8.6,43.398,40.734,72.0,16,34,77.593,67.629,8,38,68.0,462.67,47.0,34,0.0,9,25,1.141,11.8,0.599,6.804,50.0,0.638
6.402,38.046,36.815,61.0,22,33,64.727,57.538,8,37,57.0,444.55,49.0,24,0.0,10,23,1.136,14.0,0.646,7.799,42.1,0.667
7.15,41.569,39.869,67.0,22,35,71.557,63.305,8,39,63.0,472.61,51.0,28,0.0,10,25,1.136,12.7,0.633,7.502,44.4,0.66
7.572,42.091,39.922,70.0,16,34,75.388,66.072,8,38,66.0,464.64,47.0,32,0.0,10,24,1.142,12.1,0.605,7.04,48.5,0.638
6.991,43.853,41.449,73.0,16,35,78.803,68.956,8,39,69.0,478.67,48.0,34,0.0,10,25,1.142,11.6,0.601,6.937,49.3,0.636
7.2,37.591,36.1,60.0,22,32,63.517,56.211,8,36,56.0,428.55,48.0,24,0.0,9,23,1.134,14.3,0.645,7.653,42.9,0.671
7.3,37.569,35.869,62.0,16,31,67.557,59.305,8,34,59.0,424.57,43.0,28,0.0,10,21,1.145,13.6,0.608,7.196,47.5,0.637
6.0,37.569,35.869,62.0,16,31,67.557,59.305,8,34,59.0,424.57,43.0,28,0.0,10,21,1.145,13.6,0.608,7.196,47.5,0.637
7.6,37.569,35.869,62.0,16,31,67.557,59.305,8,34,59.0,424.57,43.0,28,0.0,10,21,1.145,13.6,0.608,7.196,47.5,0.637
6.2,39.33,37.396,65.0,16,32,70.972,62.189,8,35,62.0,438.6,44.0,30,0.0,10,22,1.145,12.9,0.603,7.074,48.4,0.634
7.721,42.853,40.449,71.0,16,34,77.803,67.956,8,37,68.0,466.66,46.0,34,0.0,10,24,1.144,11.8,0.595,6.863,50.0,0.63
6.936,42.398,39.734,70.0,16,33,76.593,66.629,8,36,67.0,450.66,45.0,34,0.0,9,24,1.143,11.9,0.593,6.726,50.7,0.633
6.0,20.318,19.709,32.0,16,18,34.235,30.262,6,20,30.0,240.3,28.0,12,0.0,6,12,1.141,20.0,0.657,8.01,40.0,0.677
4.7,22.08,21.236,35.0,16,19,37.651,33.145,6,21,33.0,254.33,29.0,14,0.0,6,13,1.141,18.2,0.644,7.707,42.4,0.669
5.1,22.08,21.236,35.0,16,19,37.651,33.145,6,21,33.0,254.33,29.0,14,0.0,6,13,1.141,18.2,0.644,7.707,42.4,0.669
4.9,19.767,19.402,31.0,16,18,32.947,29.487,5,20,29.0,241.28,28.0,11,0.0,6,12,1.136,17.2,0.669,8.32,37.9,0.682
6.9,20.318,19.709,32.0,16,18,34.235,30.262,6,20,30.0,240.3,28.0,12,0.0,6,12,1.141,20.0,0.657,8.01,40.0,0.677
6.6,23.841,22.762,38.0,16,20,41.066,36.029,6,22,36.0,268.36,30.0,16,0.0,6,14,1.141,16.7,0.632,7.454,44.4,0.662
6.7,26.08,25.236,40.0,22,23,41.651,37.145,6,26,37.0,302.37,37.0,14,0.0,6,17,1.126,16.2,0.682,8.172,37.8,0.705
6.6,20.773,20.424,33.0,16,19,35.445,31.589,6,21,31.0,256.3,29.0,12,0.0,7,12,1.143,19.4,0.659,8.268,38.7,0.67
7.1,21.324,20.73,34.0,16,19,36.734,32.363,7,21,32.0,255.32,29.0,13,0.0,7,12,1.148,21.9,0.648,7.979,40.6,0.666
6.9,24.847,23.784,40.0,16,21,43.564,38.131,7,23,38.0,283.38,31.0,17,0.0,7,14,1.146,18.4,0.626,7.457,44.7,0.654
7.3,27.608,26.311,45.0,16,23,47.979,42.014,7,26,42.0,309.42,34.0,19,0.0,7,16,1.142,16.7,0.626,7.367,45.2,0.657
7.7,27.086,26.257,42.0,22,24,44.149,39.247,7,27,39.0,317.39,38.0,15,0.0,7,17,1.132,17.9,0.673,8.138,38.5,0.695
6.3,23.086,22.257,37.0,16,20,40.149,35.247,7,22,35.0,269.35,30.0,15,0.0,7,13,1.147,20.0,0.636,7.696,42.9,0.66
6.6,25.847,24.784,42.0,16,22,44.564,39.131,7,25,39.0,295.39,33.0,17,0.0,7,15,1.143,17.9,0.635,7.574,43.6,0.663
6.6,27.608,26.311,45.0,16,23,47.979,42.014,7,26,42.0,309.42,34.0,19,0.0,7,16,1.142,16.7,0.626,7.367,45.2,0.657
5.4,41.705,40.729,67.0,20,37,68.564,61.872,6,43,61.0,496.57,57.0,24,0.0,10,27,1.124,9.8,0.668,8.14,39.3,0.684
5.0,31.489,29.95,46.0,18,27,47.986,43.105,6,30,43.0,372.49,42.0,16,0.0,7,20,1.116,14.0,0.697,8.663,37.2,0.732
5.0,27.603,26.289,44.0,15,23,46.481,40.912,6,26,41.0,306.41,35.5,18,0.0,6,17,1.134,14.6,0.641,7.473,43.9,0.673
5.0,47.392,45.422,72.0,23,40,77.544,69.52,6,43,69.0,557.1,58.5,29,1.4,10,30,1.124,8.7,0.658,8.074,42.0,0.687
5.4,35.75,34.128,55.0,17,30,59.081,52.832,5,33,52.0,450.38,41.5,22,5.8,9,21,1.136,9.6,0.656,8.661,42.3,0.688
5.4,33.779,32.235,52.0,18,28,54.651,48.912,3,31,49.0,371.47,42.0,21,0.0,5,23,1.115,6.1,0.658,7.581,42.9,0.689
5.4,33.779,32.235,52.0,18,28,54.651,48.912,3,31,49.0,371.47,42.0,21,0.0,5,23,1.115,6.1,0.658,7.581,42.9,0.689
5.4,32.017,30.708,49.0,18,27,51.235,46.029,3,30,46.0,357.44,41.0,19,0.0,5,22,1.114,6.5,0.668,7.77,41.3,0.696
5.0,45.273,42.352,70.0,23,36,74.102,65.618,6,40,66.0,498.71,52.5,30,0.0,8,28,1.123,9.1,0.642,7.556,45.5,0.686
5.553,44.836,42.385,71.0,22,36,75.308,66.65,5,40,67.0,481.65,53.0,31,0.0,7,29,1.124,7.5,0.633,7.189,46.3,0.669
5.0,53.569,52.097,87.0,17,46,92.987,83.418,4,51,82.0,634.74,63.5,36,2.4,12,34,1.134,4.9,0.635,7.741,43.9,0.653
5.0,44.296,42.722,70.0,21,38,75.247,67.265,5,42,66.0,543.67,53.5,28,4.5,11,27,1.14,7.6,0.647,8.237,42.4,0.671
5.409,42.841,40.406,69.0,11,34,74.806,65.752,6,37,66.0,460.64,47.5,32,0.0,8,26,1.133,9.1,0.612,6.979,48.5,0.649
5.0,39.557,38.115,61.0,22,34,65.112,58.956,4,37,58.0,480.59,49.0,24,0.0,10,24,1.123,6.9,0.657,8.286,41.4,0.682
6.187,30.569,29.015,48.0,16,25,50.524,44.803,4,28,45.0,332.44,38.0,20,0.0,5,20,1.123,8.9,0.645,7.388,44.4,0.679
5.509,26.966,27.334,41.0,17,27,44.878,41.229,6,29,39.0,394.4,40.5,12,5.1,12,15,1.151,15.4,0.701,10.113,30.8,0.691
5.854,36.853,34.595,58.0,18,29,61.77,54.454,4,32,55.0,386.54,42.0,26,0.0,5,24,1.123,7.3,0.629,7.028,47.3,0.67
6.409,37.341,35.584,59.0,22,31,61.936,54.891,6,35,55.0,412.54,47.0,24,0.0,7,24,1.126,10.9,0.647,7.501,43.6,0.679
5.796,26.387,25.757,39.0,22,24,40.306,36.694,5,27,36.0,337.79,38.0,12,2.8,7,17,1.12,13.9,0.715,9.383,33.3,0.733
7.009,34.733,33.982,55.0,22,31,59.023,52.88,7,34,52.0,419.49,46.0,21,0.0,10,21,1.135,13.5,0.653,8.067,40.4,0.668
6.824,37.04,35.794,59.0,22,32,62.229,55.436,7,36,55.0,429.53,48.0,23,0.0,9,23,1.131,12.7,0.651,7.81,41.8,0.673
9.222,38.739,37.704,62.0,22,34,65.983,58.832,7,38,58.0,461.55,50.0,24,1.7,10,24,1.138,12.1,0.65,7.958,41.4,0.668
7.0,26.301,25.499,42.0,16,23,45.774,40.458,7,25,40.0,311.39,34.0,17,0.0,8,15,1.144,17.5,0.637,7.785,42.5,0.658
7.456,34.83,33.574,55.0,22,30,59.102,52.327,8,33,52.0,402.51,45.0,22,0.0,9,21,1.137,15.4,0.646,7.741,42.3,0.67
8.699,40.108,38.133,64.0,22,33,67.85,59.876,7,37,60.0,441.59,49.0,27,0.0,8,25,1.131,11.7,0.636,7.36,45.0,0.668
9.222,40.046,38.516,64.0,22,34,68.189,60.389,7,38,60.0,459.58,50.0,26,1.7,9,25,1.136,11.7,0.642,7.66,43.3,0.667
9.046,41.807,40.043,67.0,22,35,71.604,63.272,7,39,63.0,473.61,51.0,28,1.6,9,26,1.137,11.1,0.636,7.518,44.4,0.664
8.886,38.739,37.704,62.0,22,34,65.983,58.832,7,38,58.0,461.55,50.0,24,1.7,10,24,1.138,12.1,0.65,7.958,41.4,0.668
8.602,39.29,38.01,63.0,22,34,67.272,59.607,8,38,59.0,460.57,50.0,25,1.7,10,24,1.14,13.6,0.644,7.806,42.4,0.666
9.0,39.29,38.01,63.0,22,34,67.272,59.607,8,38,59.0,460.57,50.0,25,1.7,10,24,1.14,13.6,0.644,7.806,42.4,0.666
