pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
5.824,9.902,44.4,33.3,1.021,1.109,0.758,0.722,178.23,11.1,6,18.0,0,8
4.271,7.441,28.0,49.2,1.023,1.156,0.606,0.582,2842.36,11.3,15,382.0,0,45
5.0,7.644,33.3,50.0,1.012,1.132,0.645,0.601,229.33,3.3,0,30.0,0,3
4.703,10.26,45.5,36.4,1.017,1.101,0.773,0.721,225.71,4.5,6,22.0,0,8
5.222,6.414,40.4,53.2,0.99,1.124,0.636,0.59,602.88,0.0,6,94.0,0,14
4.233,7.441,28.0,49.2,1.023,1.156,0.606,0.582,2842.36,11.3,15,382.0,0,45
4.181,7.441,28.0,49.2,1.023,1.156,0.606,0.582,2842.36,11.3,15,382.0,0,45
4.218,7.465,27.5,49.1,1.025,1.157,0.602,0.581,3008.52,11.2,10,403.0,0,43
5.252,10.804,31.8,36.4,1.061,1.13,0.699,0.682,237.68,4.5,0,22.0,0,4
5.699,9.821,33.3,41.7,1.038,1.128,0.695,0.659,235.71,4.2,0,24.0,0,3
5.377,12.088,47.4,26.3,1.052,1.114,0.799,0.774,229.67,5.3,6,19.0,0,8
5.31,9.509,38.5,38.5,1.037,1.123,0.695,0.675,370.84,5.1,6,39.0,0,10
5.644,7.363,28.2,49.8,1.023,1.155,0.603,0.579,3033.61,10.2,10,412.0,0,42
5.0,9.871,33.3,44.4,1.02,1.124,0.723,0.659,177.67,5.6,0,18.0,0,2
5.62,13.205,33.3,33.3,1.054,1.117,0.807,0.744,198.08,6.7,0,15.0,0,2
5.0,6.334,32.2,59.3,0.982,1.132,0.63,0.556,373.69,1.7,0,59.0,0,3
5.0,10.068,32.0,40.0,1.049,1.131,0.685,0.661,251.71,4.0,0,25.0,0,4
5.0,9.821,33.3,41.7,1.038,1.128,0.695,0.659,235.71,4.2,0,24.0,0,3
5.0,11.228,31.3,37.5,1.05,1.127,0.732,0.69,179.64,6.3,0,16.0,0,3
5.585,12.196,33.3,33.3,1.064,1.124,0.751,0.72,256.12,4.8,0,21.0,0,3
5.0,12.369,31.8,31.8,1.076,1.127,0.738,0.72,272.12,4.5,0,22.0,0,4
5.0,9.441,31.8,45.5,1.026,1.13,0.692,0.641,207.7,4.5,0,22.0,0,3
5.0,6.842,32.2,55.9,0.995,1.133,0.632,0.571,403.67,1.7,0,59.0,0,4
5.0,13.38,31.3,31.3,1.071,1.123,0.785,0.742,214.08,6.3,0,16.0,0,3
5.0,10.193,31.6,42.1,1.036,1.129,0.709,0.662,193.67,5.3,0,19.0,0,3
5.0,7.426,32.2,54.2,1.0,1.132,0.647,0.585,438.11,1.7,0,59.0,0,4
5.796,6.976,33.3,50.0,1.009,1.147,0.616,0.588,209.28,10.0,6,30.0,0,8
5.243,9.226,46.4,35.7,1.017,1.107,0.736,0.706,258.32,7.1,12,28.0,0,13
4.639,8.975,48.1,37.0,1.005,1.103,0.747,0.706,242.32,7.4,12,27.0,0,13
5.456,10.511,46.2,26.9,1.043,1.111,0.752,0.748,273.29,11.5,12,26.0,0,15
4.553,9.328,47.4,36.8,1.008,1.099,0.757,0.711,177.24,5.3,6,19.0,0,8
