pXC50,SM06_EA.bo.,SpMax2_Bh.v.,SpMax2_Bh.p.,SpMax2_Bh.e.,SM08_AEA.bo.,SM09_EA.bo.,SM08_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,D.Dtr05,SpMax3_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM05_EA.bo.,SM07_EA.bo.,SpMax4_Bh.m.,SpMax2_Bh.m.,IC2,piPC10,SpMax1_Bh.v.,Eta_betaP,nBM,Uc,Ui,SM07_AEA.bo.,MPC10,X4v,ZM1Mad,SpMax1_Bh.e.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM04_EA.bo.,X3v,SpMax5_Bh.p.,SpMax1_Bh.p.,SpMax2_Bh.i.,SpMax1_Bh.m.,P_VSA_LogP_6,piPC03,SpMaxA_AEA.dm.,GATS6s,MPC07,MATS6s,SM03_EA.bo.,SpMaxA_EA.dm.,CATS2D_01_LL,nCsp2,MPC09,CATS2D_09_DL,MAXDP,SM06_EA.ri.,X4,X4sol,ATSC4p,Eig05_AEA.ri.,Eig05_EA,Eig05_EA.ri.,Eig08_AEA.ed.,Eig08_EA.ed.
5.959,10.031,3.887,3.891,3.978,13.51,13.82,12.617,15.357,16.694,19.611,21.105,122.609,3.896,18.199,22.557,8.223,11.0,3.855,4.085,4.978,7.132,4.057,31.0,29,4.907,4.248,12.134,5.652,9.185,381.252,4.138,4.474,4.474,7.474,4.474,7.663,12.565,3.64,4.052,4.014,4.175,13.915,5.357,0.06,1.186,5.318,-0.08,5.373,0.03,20,27,5.553,19,7.542,8.463,16.483,17.926,26.054,3.698,2.709,2.669,5.363,6.911
6.0,9.675,3.882,3.888,3.968,13.026,13.609,12.363,15.184,16.556,19.52,21.029,0.0,3.711,18.085,22.496,7.783,10.686,3.533,3.884,4.462,6.607,4.011,18.0,18,4.248,3.392,11.618,4.522,4.251,175.058,4.082,4.471,4.471,7.471,4.471,7.196,5.969,3.357,4.006,4.008,4.043,4.276,4.858,0.105,1.187,4.533,0.036,4.82,0.049,11,16,4.615,3,5.414,7.92,9.07,9.07,14.262,3.26,2.318,2.165,3.805,3.081
6.222,9.695,3.873,3.874,3.971,13.044,13.597,12.354,15.143,16.504,19.431,20.921,233.8,3.762,18.01,22.373,7.848,10.714,3.633,3.9,4.99,6.73,4.053,17.5,18,4.248,3.459,11.66,4.942,5.712,235.199,4.086,4.425,4.425,7.425,4.425,7.252,7.967,3.506,4.107,4.012,4.334,2.104,4.964,0.092,1.65,4.779,-0.127,4.913,0.048,11,16,4.92,4,6.17,7.85,10.547,11.395,18.022,3.416,2.426,2.386,4.657,5.175
5.0,9.744,3.867,3.869,3.951,13.108,13.679,12.414,15.225,16.606,19.558,21.058,111.316,3.752,18.119,22.525,7.925,10.787,3.613,3.883,4.995,6.626,4.053,20.5,20,4.392,3.7,11.719,4.727,4.372,212.564,4.132,4.474,4.474,7.474,4.474,7.296,6.409,3.449,4.048,3.983,4.086,13.915,4.958,0.094,1.335,4.727,-0.11,4.997,0.049,13,18,4.736,6,6.375,8.003,9.97,9.97,14.238,3.46,2.471,2.437,4.673,5.079
7.469,9.578,3.844,3.841,3.919,13.147,13.445,12.214,14.948,16.271,19.105,20.549,46.881,3.693,17.734,21.946,7.784,10.622,3.546,3.869,4.455,7.54,4.011,15.0,13,3.807,3.0,11.714,5.897,5.934,195.548,4.1,4.233,4.233,7.233,4.233,7.131,7.71,3.209,4.004,3.946,4.051,0.0,4.934,0.106,1.417,5.421,-0.109,4.82,0.034,10,13,5.768,0,6.822,8.096,11.431,11.431,18.508,3.304,2.358,2.228,4.475,4.221
5.0,10.031,3.887,3.891,3.978,13.51,13.82,12.617,15.357,16.694,19.611,21.105,122.609,3.896,18.199,22.557,8.223,11.0,3.855,4.085,4.978,7.132,4.057,31.0,29,4.907,4.248,12.134,5.652,9.185,381.252,4.138,4.474,4.474,7.474,4.474,7.663,12.565,3.64,4.052,4.014,4.175,13.915,5.357,0.06,1.186,5.318,-0.08,5.373,0.03,20,27,5.553,19,7.542,8.463,16.483,17.926,26.054,3.698,2.709,2.669,5.363,6.911
9.959,10.202,3.895,3.898,3.996,13.816,13.929,12.739,15.436,16.759,19.647,21.131,196.427,3.906,18.246,22.577,8.474,11.173,3.856,4.087,5.185,7.217,4.06,37.0,33,5.087,4.524,12.445,5.911,11.23,518.802,4.144,4.474,4.474,7.474,4.474,7.883,16.294,3.649,4.055,4.033,4.18,13.915,5.576,0.044,1.047,5.553,-0.04,5.702,0.026,22,31,5.793,25,7.977,8.823,21.962,23.38,34.091,3.89,2.906,2.851,5.957,8.335
9.222,10.137,3.892,3.895,3.989,13.704,13.889,12.694,15.406,16.735,19.634,21.121,167.084,3.901,18.228,22.57,8.379,11.109,3.856,4.086,5.043,7.188,4.059,34.0,31,5.0,4.392,12.329,5.829,10.389,460.002,4.141,4.474,4.474,7.474,4.474,7.797,14.873,3.649,4.054,4.026,4.178,13.915,5.498,0.049,1.133,5.455,-0.063,5.574,0.03,22,29,5.714,24,7.836,8.699,19.526,20.944,31.336,3.834,2.848,2.799,5.863,8.007
8.187,10.048,3.876,3.878,3.974,13.663,13.85,12.617,15.348,16.702,19.61,21.096,165.613,3.891,18.188,22.554,8.351,11.069,3.786,4.085,5.137,7.006,4.057,29.5,26,4.755,4.248,12.288,5.663,9.714,446.43,4.139,4.474,4.474,7.474,4.474,7.709,13.97,3.635,4.052,4.011,4.177,13.915,5.391,0.052,1.02,5.366,-0.035,5.568,0.031,15,24,5.561,19,7.512,8.66,18.28,19.699,28.667,3.837,2.85,2.803,5.851,8.016
5.0,9.859,3.868,3.874,3.955,13.375,13.719,12.474,15.248,16.617,19.555,21.052,105.734,3.871,18.122,22.519,8.088,10.877,3.775,4.084,4.999,6.951,4.055,24.5,23,4.585,4.0,11.997,5.451,8.24,341.148,4.135,4.474,4.474,7.474,4.474,7.484,11.308,3.568,4.05,3.992,4.174,13.915,5.181,0.068,1.122,5.13,-0.066,5.239,0.035,15,21,5.347,16,7.262,8.345,14.311,15.754,22.775,3.697,2.709,2.669,5.287,6.718
6.0,10.152,3.89,3.893,3.986,13.727,13.897,12.703,15.412,16.739,19.636,21.123,168.4,3.899,18.231,22.571,8.407,11.124,3.856,4.086,4.902,7.154,4.058,35.5,32,5.044,4.459,12.354,5.762,10.038,460.55,4.14,4.474,4.474,7.474,4.474,7.815,14.332,3.634,4.053,4.022,4.178,13.915,5.498,0.05,1.054,5.438,-0.038,5.619,0.03,20,30,5.652,20,7.678,8.714,19.401,20.82,29.952,3.861,2.873,2.83,5.874,8.103
9.398,10.146,3.891,3.894,3.988,13.712,13.891,12.698,15.407,16.735,19.633,21.121,167.946,3.901,18.228,22.569,8.393,11.115,3.856,4.086,5.072,7.194,4.059,35.5,32,5.044,4.459,12.34,5.841,10.277,467.244,4.141,4.474,4.474,7.474,4.474,7.812,14.658,3.648,4.054,4.025,4.178,13.915,5.502,0.049,1.033,5.485,-0.033,5.597,0.029,20,30,5.717,22,7.833,8.693,19.426,20.845,30.292,3.82,2.835,2.782,5.815,7.916
8.796,10.008,3.886,3.889,3.976,13.468,13.808,12.603,15.349,16.688,19.608,21.102,115.252,3.895,18.194,22.556,8.188,10.979,3.854,4.085,4.95,7.095,4.057,29.5,28,4.858,4.17,12.09,5.576,8.761,365.198,4.137,4.474,4.474,7.474,4.474,7.629,12.201,3.633,4.052,4.011,4.173,13.915,5.333,0.063,1.154,5.268,-0.056,5.316,0.038,20,26,5.485,18,7.434,8.418,15.627,17.086,25.166,3.662,2.679,2.622,5.363,6.911
7.824,10.031,3.887,3.891,3.978,13.51,13.82,12.617,15.357,16.694,19.611,21.105,122.609,3.896,18.199,22.557,8.223,11.0,3.855,4.085,4.978,7.132,4.057,31.0,29,4.907,4.248,12.134,5.652,9.185,381.252,4.138,4.474,4.474,7.474,4.474,7.663,12.565,3.64,4.052,4.014,4.175,13.915,5.357,0.06,1.186,5.318,-0.08,5.373,0.03,20,27,5.553,19,7.542,8.463,16.483,17.926,26.054,3.698,2.709,2.669,5.363,6.911
5.0,9.935,3.881,3.885,3.967,13.326,13.764,12.553,15.318,16.662,19.594,21.092,146.928,3.852,18.176,22.548,8.085,10.908,3.747,3.897,4.85,6.93,4.056,28.0,27,4.807,4.087,11.946,5.209,5.703,272.832,4.135,4.474,4.474,7.474,4.474,7.531,8.325,3.542,4.051,4.002,4.089,13.915,5.21,0.073,1.359,5.017,-0.096,5.19,0.038,20,25,5.147,13,7.091,8.248,13.052,13.052,18.866,3.58,2.587,2.567,5.107,5.897
8.606,10.289,4.035,4.034,4.089,13.655,14.25,12.977,15.803,17.19,20.149,21.651,127.487,4.04,18.707,23.12,8.449,11.337,3.868,4.09,4.875,7.542,4.076,34.5,34,5.129,4.426,12.262,5.805,10.008,399.148,4.148,4.474,4.474,7.474,4.474,7.83,13.493,3.641,4.077,4.113,4.178,13.915,5.523,0.056,1.201,5.464,-0.058,5.491,0.029,27,31,5.724,23,7.68,8.583,18.244,19.687,28.219,3.799,2.817,2.76,5.776,7.739
9.469,10.449,4.032,4.032,4.087,13.988,14.279,13.047,15.799,17.152,20.065,21.552,231.313,4.036,18.647,23.004,8.7,11.463,3.879,4.093,5.198,7.617,4.08,43.5,40,5.358,4.781,12.61,6.066,12.696,586.902,4.158,4.474,4.474,7.474,4.474,8.078,18.267,3.654,4.08,4.112,4.183,13.915,5.762,0.038,1.09,5.717,-0.045,5.876,0.023,29,37,5.971,31,8.149,8.975,25.509,26.928,38.751,3.928,2.94,2.89,6.06,8.714
6.09,10.026,3.881,3.883,3.985,13.634,13.832,12.598,15.335,16.692,19.604,21.091,161.409,3.894,18.181,22.55,8.312,11.041,3.814,4.086,5.146,7.068,4.058,28.0,25,4.7,4.17,12.262,5.817,11.171,450.162,4.141,4.474,4.474,7.474,4.474,7.693,15.45,3.648,4.054,4.026,4.178,13.915,5.395,0.051,1.131,5.447,-0.085,5.521,0.03,22,23,5.694,23,7.809,8.663,19.411,20.829,32.062,3.822,2.835,2.79,5.826,7.93
10.0,10.12,3.891,3.894,3.987,13.675,13.876,12.68,15.397,16.727,19.629,21.118,161.409,3.9,18.223,22.567,8.356,11.09,3.856,4.086,5.126,7.185,4.059,34.0,31,5.0,4.392,12.302,5.817,10.242,450.162,4.141,4.474,4.474,7.474,4.474,7.779,14.439,3.649,4.054,4.023,4.178,13.915,5.473,0.051,1.092,5.447,-0.075,5.551,0.03,22,29,5.694,23,7.778,8.663,19.411,20.829,30.369,3.822,2.835,2.79,5.826,7.93
8.3,10.171,3.894,3.898,3.991,13.8,13.931,12.731,15.441,16.768,19.659,21.142,164.736,3.9,18.256,22.588,8.435,11.158,3.856,4.086,5.128,7.207,4.059,34.0,31,5.0,4.392,12.411,5.866,10.955,466.843,4.141,4.474,4.474,7.474,4.474,7.82,15.637,3.656,4.054,4.027,4.206,13.915,5.494,0.058,1.113,5.493,-0.071,5.64,0.03,21,29,5.733,25,7.835,8.794,19.994,21.594,32.964,3.867,2.881,2.832,5.911,8.134
5.699,9.998,3.831,3.837,3.913,13.352,14.3,12.875,15.853,17.342,20.406,21.95,86.575,4.004,18.886,23.486,8.279,11.283,3.722,4.734,4.703,6.791,4.04,16.5,14,3.907,3.17,11.871,4.635,5.91,285.403,4.116,4.76,4.76,7.76,4.76,7.316,7.719,3.019,4.135,3.937,6.881,0.0,4.792,0.17,0.968,4.564,0.114,5.19,0.106,3,12,4.554,0,6.067,7.558,8.564,11.093,14.709,3.131,2.222,1.993,4.576,4.597
5.409,9.525,3.833,3.833,3.908,13.066,13.343,12.138,14.836,16.13,18.922,20.349,87.494,3.802,17.579,21.718,7.77,10.561,3.699,3.947,4.743,6.897,3.918,14.0,12,3.7,2.807,11.641,4.762,3.826,252.321,4.005,4.068,4.068,7.068,4.068,7.07,5.703,3.025,3.918,3.924,6.88,0.0,4.732,0.14,0.889,4.543,-0.029,4.879,0.12,3,12,4.727,0,5.446,7.652,8.519,8.204,12.861,3.329,2.416,2.18,4.62,4.836
4.921,9.577,3.86,3.857,3.953,13.249,13.172,12.097,14.706,15.901,18.633,20.058,0.0,3.832,17.366,21.367,7.684,10.44,3.65,3.903,4.208,6.475,3.951,22.0,20,4.392,3.585,11.815,5.236,5.59,210.882,4.044,3.991,3.991,6.991,3.991,7.22,7.819,3.41,3.952,3.978,3.975,0.0,4.992,0.102,0.835,4.963,0.012,4.796,0.05,19,20,5.142,0,6.975,8.341,11.406,11.406,18.493,3.359,2.386,2.308,4.656,4.78
5.149,9.446,3.86,3.853,3.953,13.18,13.157,12.004,14.646,15.896,18.638,20.05,0.0,3.779,17.335,21.385,7.669,10.421,3.51,3.922,4.399,6.159,3.947,16.0,14,3.907,3.17,11.733,4.997,4.748,196.069,4.034,4.012,4.012,7.012,4.012,7.053,6.622,3.282,3.949,3.977,4.035,0.0,4.796,0.123,0.711,4.828,0.003,4.796,0.06,10,14,4.92,0,6.205,8.248,9.436,9.603,15.496,3.286,2.31,2.234,4.656,4.68
4.62,9.372,3.859,3.852,3.952,13.127,13.07,11.927,14.571,15.814,18.561,19.977,0.0,3.65,17.261,21.309,7.561,10.324,3.498,3.902,4.194,6.101,3.941,16.0,14,3.907,3.17,11.677,4.942,4.61,174.549,4.033,3.99,3.99,6.99,3.99,6.989,6.3,3.282,3.942,3.977,3.966,0.0,4.758,0.127,0.726,4.762,0.0,4.677,0.062,12,14,4.86,0,6.153,8.238,9.279,9.279,15.0,3.279,2.301,2.229,3.805,3.073
4.367,9.551,3.859,3.853,3.953,13.203,13.138,12.07,14.677,15.866,18.595,20.021,0.0,3.822,17.334,21.326,7.642,10.403,3.643,3.902,4.116,6.537,3.949,22.0,20,4.392,3.585,11.77,5.226,5.15,200.522,4.04,3.973,3.973,6.973,3.973,7.192,7.215,3.379,3.95,3.977,3.972,0.0,4.958,0.107,1.052,4.92,-0.012,4.745,0.053,18,20,5.13,0,6.59,8.295,10.932,10.932,16.345,3.279,2.302,2.234,4.596,4.289
6.481,9.583,3.863,3.855,3.954,13.264,13.246,12.099,14.721,15.971,18.712,20.124,0.0,3.808,17.405,21.465,7.849,10.542,3.713,3.925,4.798,6.526,3.953,17.5,15,4.0,3.322,11.87,5.313,6.646,262.67,4.042,4.048,4.048,7.048,4.048,7.248,9.171,3.62,3.956,3.978,4.048,0.0,4.97,0.081,1.215,5.043,-0.112,5.066,0.044,16,15,5.283,3,6.413,8.321,12.682,12.902,23.463,3.559,2.598,2.507,5.28,6.681
6.222,9.583,3.862,3.854,3.954,13.264,13.246,12.099,14.721,15.971,18.712,20.124,0.0,3.791,17.405,21.465,7.849,10.542,3.713,3.924,4.772,6.526,3.952,17.5,15,4.0,3.322,11.87,5.313,6.34,267.873,4.039,4.048,4.048,7.048,4.048,7.248,8.788,3.549,3.954,3.978,4.048,6.763,4.97,0.082,1.222,5.043,-0.127,5.066,0.047,12,15,5.283,3,6.393,8.222,12.682,12.902,21.536,3.558,2.598,2.502,5.28,6.681
6.678,9.692,3.866,3.862,3.955,13.23,13.279,12.194,14.799,16.007,18.746,20.172,0.0,3.851,17.466,21.495,7.838,10.561,3.759,3.926,4.747,6.65,3.956,23.5,21,4.459,3.7,11.849,5.425,6.919,278.557,4.044,4.048,4.048,7.048,4.048,7.366,9.71,3.624,3.958,3.978,4.049,4.276,5.134,0.075,1.405,5.118,-0.115,4.997,0.04,18,21,5.361,2,6.466,8.162,13.76,13.979,21.355,3.509,2.519,2.488,5.28,6.682
7.276,10.101,3.919,3.942,4.008,13.567,14.164,12.841,15.691,17.099,20.054,21.551,0.0,3.924,18.602,23.025,8.342,11.25,3.786,4.046,4.711,6.672,3.98,25.0,22,4.524,3.807,12.122,5.434,8.525,319.31,4.094,4.568,4.568,7.568,4.568,7.568,11.531,3.627,4.046,4.025,4.731,0.0,5.163,0.089,1.29,5.153,-0.128,5.338,0.04,18,20,5.38,2,6.469,8.317,14.038,15.289,24.498,3.502,2.527,2.466,5.284,6.693
7.0,9.584,3.863,3.855,3.954,13.266,13.246,12.099,14.721,15.97,18.712,20.124,0.0,3.796,17.404,21.465,7.849,10.542,3.713,3.925,4.743,6.485,3.952,17.5,15,4.0,3.322,11.873,5.288,6.577,271.873,4.039,4.048,4.048,7.048,4.048,7.252,9.075,3.552,3.954,3.977,4.048,6.763,4.977,0.08,1.057,5.037,-0.093,5.066,0.046,13,15,5.252,0,6.352,8.229,12.912,13.132,22.526,3.558,2.598,2.505,5.293,6.716
5.721,9.446,3.862,3.854,3.954,12.994,13.142,11.993,14.645,15.902,18.667,20.089,0.0,3.721,17.352,21.435,7.627,10.388,3.701,3.923,4.353,6.435,3.948,16.0,14,3.907,3.17,11.604,5.182,5.719,227.51,4.033,4.048,4.048,7.048,4.048,7.093,7.894,3.361,3.951,3.977,4.046,0.0,4.875,0.093,1.245,4.898,-0.089,4.758,0.05,10,14,5.13,2,6.117,7.915,11.21,11.429,18.018,3.32,2.342,2.284,4.657,4.783
7.553,9.221,3.852,3.86,3.917,12.808,12.699,11.676,14.215,15.356,18.02,19.429,81.644,3.729,16.805,20.692,7.375,10.046,3.643,3.928,4.402,6.145,3.928,14.0,13,3.807,3.0,11.43,4.913,5.311,202.164,4.026,3.897,3.897,6.897,3.897,6.92,7.426,3.329,3.932,3.943,4.119,0.0,4.691,0.112,1.204,4.754,-0.031,4.575,0.058,11,13,4.89,0,6.501,7.713,9.229,9.615,16.225,3.327,2.432,2.094,4.082,3.547
8.301,9.244,3.855,3.862,3.921,12.88,12.71,11.691,14.227,15.367,18.032,19.441,88.013,3.731,16.816,20.704,7.382,10.055,3.654,3.928,4.493,6.208,3.93,17.0,14,3.907,3.322,11.508,5.004,5.463,211.191,4.027,3.9,3.9,6.9,3.9,6.959,7.566,3.394,3.933,3.948,4.12,0.0,4.736,0.113,1.068,4.852,0.078,4.575,0.068,11,13,4.984,0,6.667,7.74,9.756,10.142,16.461,3.363,2.46,2.125,4.147,3.597
5.5,9.238,3.849,3.853,3.913,12.681,12.775,11.723,14.292,15.461,18.154,19.566,98.497,3.721,16.913,20.852,7.395,10.092,3.553,3.892,4.617,6.052,3.9,14.0,13,3.807,3.0,11.32,4.635,3.818,192.347,3.992,3.94,3.94,6.94,3.94,6.908,5.876,3.151,3.903,3.929,4.121,0.0,4.62,0.112,0.84,4.394,0.034,4.59,0.033,7,13,4.522,0,5.464,7.44,7.644,8.03,13.525,3.179,2.246,2.071,4.098,3.557
8.0,10.119,3.891,3.894,3.986,13.674,13.876,12.68,15.397,16.727,19.629,21.118,159.518,3.9,18.223,22.567,8.356,11.09,3.856,4.086,5.106,7.18,4.058,34.0,31,5.0,4.392,12.3,5.802,10.071,446.162,4.14,4.474,4.474,7.474,4.474,7.777,14.189,3.636,4.053,4.022,4.178,13.915,5.469,0.051,1.086,5.434,-0.069,5.551,0.031,21,29,5.68,23,7.702,8.659,19.221,20.639,29.667,3.822,2.835,2.79,5.826,7.93
7.4,10.171,3.894,3.898,3.991,13.8,13.931,12.731,15.441,16.768,19.659,21.142,164.736,3.9,18.256,22.588,8.435,11.158,3.856,4.086,5.128,7.207,4.059,34.0,31,5.0,4.392,12.411,5.866,10.955,466.843,4.141,4.474,4.474,7.474,4.474,7.82,15.637,3.656,4.054,4.027,4.206,13.915,5.494,0.058,1.113,5.493,-0.071,5.64,0.03,21,29,5.733,25,7.835,8.794,19.994,21.594,32.964,3.867,2.881,2.832,5.911,8.134
7.3,10.119,3.891,3.894,3.986,13.674,13.876,12.68,15.397,16.727,19.629,21.118,159.518,3.9,18.223,22.567,8.356,11.09,3.856,4.086,5.106,7.18,4.058,34.0,31,5.0,4.392,12.3,5.802,10.071,446.162,4.14,4.474,4.474,7.474,4.474,7.777,14.189,3.636,4.053,4.022,4.178,13.915,5.469,0.051,1.086,5.434,-0.069,5.551,0.031,21,29,5.68,23,7.702,8.659,19.221,20.639,29.667,3.822,2.835,2.79,5.826,7.93
9.6,10.172,3.894,3.899,3.992,13.802,13.931,12.731,15.441,16.768,19.659,21.142,166.627,3.9,18.256,22.588,8.435,11.158,3.856,4.086,5.148,7.211,4.059,34.0,31,5.0,4.392,12.412,5.881,11.126,470.843,4.142,4.474,4.474,7.474,4.474,7.823,15.887,3.665,4.055,4.028,4.207,13.915,5.498,0.057,1.12,5.505,-0.077,5.64,0.03,22,29,5.746,25,7.876,8.797,20.185,21.785,33.656,3.867,2.881,2.832,5.911,8.134
6.398,9.692,3.865,3.86,3.955,13.23,13.279,12.194,14.799,16.007,18.746,20.172,0.0,3.846,17.466,21.495,7.838,10.561,3.758,3.926,4.688,6.65,3.955,23.5,21,4.459,3.7,11.849,5.425,6.824,280.544,4.043,4.048,4.048,7.048,4.048,7.366,9.6,3.624,3.957,3.978,4.049,6.763,5.134,0.075,1.422,5.118,-0.128,4.997,0.044,18,21,5.361,1,6.456,8.147,13.76,13.979,21.53,3.505,2.519,2.483,5.28,6.682
6.284,9.722,3.868,3.867,3.954,13.253,13.36,12.25,14.875,16.099,18.844,20.265,0.0,3.882,17.554,21.592,7.871,10.623,3.717,3.928,4.617,6.679,3.957,23.5,21,4.459,3.7,11.862,5.416,6.797,268.67,4.045,4.048,4.048,7.048,4.048,7.369,9.444,3.623,3.959,3.981,4.049,0.0,5.146,0.078,1.268,5.13,-0.134,4.997,0.042,18,21,5.352,2,6.442,8.199,13.551,13.771,21.011,3.491,2.511,2.456,5.134,6.136
