pXC50,Eig04_EA.ed.,SM13_AEA.dm.,Eig04_AEA.bo.,Eig04_AEA.ed.,Eig09_AEA.dm.,SpMax7_Bh.m.,LLS_01,SM10_EA.bo.,GGI2,SM13_EA.bo.,SM12_EA.bo.,Depressant.80,SM11_EA.bo.,SM03_AEA.bo.,Eig08_AEA.bo.,ZM1Per,Eig12_AEA.dm.,SM04_EA.bo.,Eig08_EA.bo.,SpMax6_Bh.s.,Eta_betaS,Eta_F,CMC.80,Eig08_EA,SM02_AEA.dm.,Eig08_EA.ri.,ZM1V,SM02_AEA.bo.,ATS3s,ZM2V,SpMax7_Bh.p.,cRo5,ZM2MulPer,Eig08_AEA.ri.,AECC,Eig06_AEA.ed.,ATS1s,Xu,Eig08_AEA.dm.,ZM2Kup,HVcpx,VAR,Eig06_EA.bo.,IC2,MSD,Eig15_EA,SM09_AEA.dm.,Inflammat.80,ZM1MulPer,SpMaxA_AEA.bo.,ATS2s,RDCHI,SpMaxA_AEA.ri.,ECC,ON0,SpMax5_Bh.s.,TIC1,ZM1Mad,Psi_i_s,GGI10,Infective.80,GMTIV,CSI,SpMaxA_AEA.ed.,ZM2Per,Eta_epsi,SpMin7_Bh.p.
4.0,6.02,6.02,3.646,5.022,1.047,2.622,0.5,15.357,3.111,19.752,18.295,1,16.76,6.017,2.678,513.06,0.26,7.162,1.635,4.609,14.25,24.572,1,1.104,1.104,1.091,354.0,4.798,5.703,355.0,2.573,1,378.127,2.097,10.391,4.177,5.034,22.869,1.286,372.261,3.343,84.0,2.074,4.281,6.184,-0.9,-0.9,1,382.549,0.183,5.458,3.593,0.165,239.0,11.833,4.721,120.898,129.362,59.167,0.103,1,19815.0,514.0,0.267,544.92,23.5,0.986
4.0,5.823,5.823,3.515,4.961,0.979,2.727,0.17,14.226,3.111,18.149,16.867,0,15.453,5.89,2.596,562.56,0.477,6.757,1.4,4.714,14.5,23.094,0,0.954,0.954,0.929,400.0,4.687,5.823,362.0,2.584,1,389.77,1.938,10.318,4.2,5.049,22.097,1.64,389.809,3.342,72.0,2.024,4.69,6.175,-1.129,-1.129,0,434.871,0.187,5.546,3.417,0.17,227.0,12.333,4.776,136.345,126.674,64.667,0.136,0,20759.0,466.0,0.269,558.94,24.433,1.042
6.409,7.178,7.178,3.696,5.604,1.286,2.778,0.33,15.437,3.556,19.822,18.367,1,16.841,6.069,2.783,562.67,0.565,7.223,1.914,4.629,14.5,26.146,1,1.287,1.287,1.285,394.0,4.838,5.934,376.0,2.702,1,400.298,2.286,10.458,4.233,5.088,23.67,1.647,400.129,3.363,80.0,2.082,4.114,6.329,-0.664,-0.664,1,427.397,0.176,5.52,3.634,0.158,251.0,12.667,4.88,121.001,137.361,65.833,0.144,1,23406.0,537.0,0.257,579.63,24.914,1.068
6.696,7.178,7.178,3.696,5.604,1.286,2.786,0.33,15.437,3.556,19.822,18.367,1,16.841,6.069,2.783,562.67,0.57,7.223,1.914,4.62,14.5,25.38,1,1.287,1.287,1.221,394.0,4.838,5.818,376.0,2.703,1,400.298,2.286,10.458,4.233,5.047,23.67,1.647,383.659,3.363,80.0,2.082,4.114,6.329,-0.664,-0.664,1,427.397,0.176,5.461,3.634,0.158,251.0,12.667,4.826,121.001,149.05,61.944,0.144,1,23406.0,537.0,0.257,579.63,24.486,1.011
4.0,5.696,5.696,3.49,4.889,0.941,2.684,0.5,14.313,2.667,18.195,16.948,1,15.488,5.825,2.5,471.69,0.108,6.816,1.438,4.438,12.75,21.286,1,0.947,0.947,0.929,332.0,4.625,5.689,312.0,2.627,1,335.735,1.939,10.286,4.168,4.992,21.331,1.0,331.342,3.349,74.0,1.988,4.046,6.108,-1.168,-1.168,1,359.518,0.196,5.39,3.385,0.178,216.0,11.5,4.742,120.364,114.409,56.0,0.091,1,15830.0,445.0,0.281,477.27,22.767,1.025
4.638,6.008,6.008,3.496,5.13,1.124,2.739,0.33,15.335,3.111,19.689,18.245,1,16.731,6.004,2.728,504.6,0.431,7.146,1.762,4.321,14.5,23.411,1,1.204,1.204,1.194,348.0,4.787,5.691,349.0,2.689,1,373.347,2.199,10.391,4.2,5.018,22.935,1.545,367.283,3.36,68.0,2.088,4.553,6.288,-0.83,-0.83,1,373.429,0.181,5.427,3.611,0.162,239.0,11.833,4.627,140.486,130.026,56.167,0.111,1,18547.0,513.0,0.261,538.42,24.1,1.047
5.469,7.178,7.178,3.696,5.604,1.286,2.777,0.33,15.437,3.556,19.822,18.367,1,16.841,6.069,2.783,534.95,0.497,7.223,1.914,4.628,14.5,26.361,1,1.287,1.287,1.285,370.0,4.838,5.886,368.0,2.703,1,391.827,2.286,10.458,4.233,5.104,23.67,1.646,385.826,3.363,80.0,2.082,3.984,6.329,-0.664,-0.664,1,401.602,0.176,5.497,3.634,0.158,251.0,12.667,4.88,119.408,135.634,63.833,0.144,1,22238.0,537.0,0.257,565.95,24.867,1.084
4.469,7.179,7.179,3.698,5.604,1.391,2.858,0.33,15.527,3.778,19.913,18.458,1,16.936,6.119,2.784,634.7,0.616,7.281,1.915,4.632,15.25,26.401,1,1.287,1.287,1.285,450.0,4.877,5.901,411.0,2.707,1,438.037,2.286,10.52,4.683,5.07,24.447,1.647,411.522,3.362,77.0,2.481,4.182,6.443,-0.611,-0.611,1,489.516,0.17,5.495,3.671,0.152,263.0,13.5,4.869,126.22,170.569,65.722,0.186,1,28231.0,560.0,0.247,637.38,25.571,0.962
4.0,7.18,7.18,3.701,5.604,1.286,2.801,0.33,15.748,3.333,20.167,18.701,1,17.173,6.167,2.8,523.03,0.624,7.398,1.927,4.252,15.5,26.45,1,1.291,1.291,1.288,354.0,4.936,5.723,377.0,2.745,1,399.579,2.289,10.56,4.409,5.048,24.568,1.534,390.738,3.386,75.0,2.301,4.291,6.515,-0.606,-0.606,1,379.433,0.164,5.467,3.839,0.147,264.0,12.167,4.621,127.883,143.147,58.333,0.111,1,22362.0,588.0,0.238,580.67,24.733,1.11
4.0,7.18,7.18,3.698,5.604,1.649,2.968,0.33,15.451,3.556,19.832,18.379,0,16.853,6.213,2.844,613.75,1.256,7.281,1.956,4.622,19.0,31.179,1,1.537,1.537,1.449,426.0,5.019,5.986,418.0,2.941,1,445.061,2.486,12.633,4.682,5.248,28.801,1.905,438.545,3.628,124.0,2.495,4.548,7.606,0.163,0.163,1,456.361,0.139,5.707,4.253,0.125,379.0,15.0,4.65,194.612,170.49,70.833,0.148,1,36213.0,827.0,0.202,646.82,32.167,1.376
4.0,7.18,7.18,3.7,5.604,1.379,2.835,0.5,15.729,3.333,20.134,18.675,1,17.142,6.193,2.88,570.49,0.693,7.417,1.999,4.345,16.5,28.756,1,1.376,1.376,1.325,388.0,4.966,5.774,407.0,2.763,1,431.732,2.341,11.192,4.452,5.092,25.433,1.618,423.695,3.458,88.0,2.427,4.259,6.748,-0.497,-0.497,1,415.556,0.158,5.511,3.92,0.142,291.0,12.667,4.623,131.328,148.868,61.833,0.115,1,26429.0,645.0,0.23,626.83,25.533,1.101
5.921,6.02,6.02,3.646,5.022,1.047,2.687,0.33,15.357,3.111,19.752,18.295,1,16.76,6.017,2.678,490.66,0.26,7.162,1.635,4.556,13.75,24.32,1,1.104,1.104,1.092,338.0,4.798,5.72,341.0,2.702,1,362.656,2.098,10.391,4.177,5.024,22.869,1.286,355.796,3.343,84.0,2.074,3.838,6.184,-0.9,-0.9,1,365.32,0.183,5.427,3.593,0.165,239.0,11.833,4.639,111.477,127.53,58.167,0.103,1,18821.0,514.0,0.267,522.22,23.4,1.062
4.0,6.559,6.559,3.645,5.248,1.237,2.857,0.33,15.383,2.889,19.781,18.323,1,16.788,6.051,2.745,524.06,0.874,7.184,1.793,4.354,15.25,26.215,1,1.228,1.228,1.206,362.0,4.846,5.669,361.0,2.832,1,387.576,2.213,11.04,4.171,5.06,24.526,1.35,378.826,3.434,92.0,2.091,3.95,6.522,-0.606,-0.606,1,385.318,0.17,5.476,3.745,0.153,276.0,12.833,4.534,136.547,137.08,57.167,0.103,1,20871.0,587.0,0.248,557.55,26.0,1.217
4.553,6.299,6.299,3.65,5.165,1.286,2.769,0.33,15.451,3.333,19.84,18.384,1,16.857,6.069,2.767,534.93,0.349,7.223,1.868,4.625,14.5,26.453,1,1.279,1.279,1.272,370.0,4.838,5.811,368.0,2.703,1,391.766,2.275,10.417,4.642,5.104,23.622,1.467,385.826,3.336,82.0,2.324,4.036,6.255,-0.615,-0.615,1,401.577,0.176,5.503,3.623,0.158,250.0,12.667,4.88,119.408,135.634,63.833,0.148,1,21902.0,535.0,0.257,565.81,24.867,1.082
4.585,6.917,6.917,3.819,5.327,1.134,2.727,0.17,14.633,3.111,18.535,17.284,1,15.807,6.072,2.705,532.78,0.941,7.092,1.743,4.472,15.5,27.776,1,1.189,1.189,1.186,368.0,4.879,5.788,368.0,2.735,1,393.688,2.188,12.615,4.249,5.116,25.905,1.594,384.311,3.625,100.0,2.066,3.774,7.488,-0.541,-0.541,1,394.688,0.154,5.517,3.951,0.14,328.0,13.333,4.714,134.335,140.305,61.667,0.144,1,26245.0,698.0,0.221,563.55,26.7,1.062
4.0,7.179,7.179,3.701,5.604,1.502,2.832,0.33,15.814,3.333,20.253,18.779,1,17.247,6.212,2.91,567.22,0.616,7.441,1.995,4.617,16.25,28.303,1,1.432,1.432,1.379,386.0,4.972,5.832,404.0,2.815,1,428.894,2.397,11.192,4.682,5.125,25.4,1.634,421.05,3.456,92.0,2.732,4.303,6.747,-0.436,-0.436,1,415.9,0.158,5.549,3.894,0.142,291.0,13.0,4.862,135.632,151.584,64.0,0.122,1,26491.0,643.0,0.23,623.29,26.2,1.2
4.523,7.81,7.81,3.838,5.859,1.911,3.006,0.5,15.84,4.444,20.327,18.832,0,17.299,6.288,3.108,669.79,0.835,7.412,2.168,4.39,17.5,25.059,1,1.72,1.72,1.618,466.0,5.011,5.989,450.0,2.788,1,475.532,2.709,7.846,5.186,5.002,23.798,2.177,455.174,2.965,76.0,2.628,4.813,4.834,-0.49,-0.49,1,502.651,0.166,5.58,3.511,0.159,204.0,13.417,4.644,163.393,199.578,63.472,0.025,1,23516.0,455.0,0.276,717.64,26.852,1.114
5.427,6.34,6.34,3.651,5.21,1.055,2.809,0.5,15.094,3.111,19.401,17.973,0,16.471,6.017,2.5,435.12,0.214,7.051,1.5,4.173,14.0,20.721,0,1.153,1.153,1.099,300.0,4.779,5.794,300.0,2.735,1,320.989,2.109,7.48,4.826,5.057,23.215,1.188,313.665,2.821,85.0,2.223,4.095,4.878,-1.0,-1.0,0,321.865,0.18,5.518,3.286,0.166,187.0,14.833,4.383,167.108,133.324,56.5,0.0,0,12059.0,371.0,0.271,469.0,28.181,1.239
5.5,7.094,7.094,3.64,5.61,1.14,2.863,0.5,15.204,3.333,19.535,18.098,0,16.599,6.015,2.415,458.8,0.065,7.058,1.403,4.193,14.25,20.573,0,1.234,1.234,1.181,316.0,4.771,5.899,317.0,2.746,1,335.97,2.195,7.36,4.911,5.093,23.029,1.358,334.453,2.803,81.0,2.064,3.92,4.719,-1.0,-1.0,0,340.815,0.181,5.581,3.211,0.168,184.0,15.167,4.458,164.518,138.092,59.833,0.0,0,12340.0,365.0,0.276,496.23,28.948,1.239
6.0,7.103,7.103,3.641,5.611,1.269,2.889,0.5,15.206,3.333,19.537,18.099,0,16.6,6.049,2.514,470.36,0.348,7.069,1.515,4.198,15.25,21.429,0,1.355,1.355,1.33,324.0,4.82,5.965,325.0,2.848,1,344.471,2.339,7.815,4.918,5.155,24.7,1.417,342.453,2.873,95.0,2.072,4.123,5.022,-0.572,-0.572,0,349.221,0.168,5.648,3.384,0.156,211.0,16.167,4.458,181.674,146.092,62.833,0.0,0,14250.0,418.0,0.256,508.25,31.548,1.295
7.5,6.877,6.877,3.516,5.575,1.075,2.828,0.5,15.151,3.111,19.487,18.048,0,16.545,5.978,2.428,393.23,0.142,7.0,1.42,4.109,14.0,19.318,0,1.265,1.265,1.222,264.0,4.754,5.83,287.0,2.746,1,303.66,2.234,6.64,4.443,5.063,22.989,1.328,295.12,2.706,70.0,2.019,3.967,4.643,-0.927,-0.927,0,282.902,0.181,5.515,3.231,0.168,166.0,14.833,4.195,167.606,132.261,53.667,0.0,0,9856.0,328.0,0.276,448.89,28.733,1.239
6.0,9.708,9.708,4.157,6.399,3.817,3.796,0.17,15.824,29.111,19.845,18.502,0,17.074,8.106,4.089,4821.47,3.76,8.698,3.296,7.461,149.0,479.613,0,2.946,2.946,2.878,3486.0,6.94,8.309,2980.0,3.692,0,3177.33,3.928,72.308,6.362,7.375,137.516,3.822,3203.07,6.022,5870.0,3.329,5.393,39.642,2.79,2.79,0,3805.49,0.019,7.953,14.998,0.017,16920.0,138.0,7.471,1704.24,1292.03,662.167,4.382,0,11686200.0,34451.0,0.027,4570.67,282.167,2.005
9.824,9.549,9.549,4.157,6.362,3.831,3.856,0.17,15.902,29.111,19.895,18.565,0,17.136,8.168,4.105,5181.86,3.8,8.781,3.315,7.436,157.25,543.893,0,2.948,2.948,2.888,3752.0,6.999,8.352,3191.0,3.726,0,3406.13,3.93,67.533,6.256,7.436,141.086,3.843,3421.03,5.942,6118.0,3.478,5.489,37.715,2.811,2.811,0,4097.28,0.018,8.006,15.036,0.016,16613.0,144.333,7.463,1814.01,1380.22,705.667,5.022,0,12918200.0,33917.0,0.026,4892.7,294.733,2.005
10.31,9.549,9.549,4.157,6.362,3.831,3.856,0.17,15.905,29.333,19.896,18.567,0,17.138,8.181,4.106,5258.2,3.8,8.791,3.315,7.461,159.0,555.769,0,2.949,2.949,2.89,3808.0,7.012,8.362,3237.0,3.726,0,3455.31,3.931,67.341,6.257,7.448,142.089,3.843,3472.18,5.938,6260.0,3.478,5.486,37.536,2.812,2.812,0,4160.79,0.018,8.025,15.088,0.016,16768.0,146.167,7.471,1831.16,1397.21,715.833,5.105,0,13213100.0,34224.0,0.026,4959.76,298.2,2.005
10.276,9.549,9.549,4.157,6.362,3.832,3.856,0.17,15.905,29.333,19.896,18.567,0,17.138,8.181,4.106,5277.92,3.801,8.791,3.315,7.471,159.0,556.156,0,2.949,2.949,2.889,3824.0,7.012,8.362,3245.0,3.726,0,3463.96,3.931,67.341,6.257,7.449,142.089,3.845,3482.36,5.938,6260.0,3.478,5.497,37.536,2.812,2.812,0,4178.69,0.018,8.029,15.088,0.016,16768.0,146.167,7.471,1832.44,1398.39,717.833,5.105,0,13294800.0,34224.0,0.026,4973.34,298.267,2.004
10.0,9.549,9.549,4.16,6.362,3.831,3.857,0.17,15.937,29.111,19.92,18.594,0,17.167,8.192,4.109,5262.57,3.8,8.817,3.318,7.436,160.5,559.323,0,2.95,2.95,2.892,3802.0,7.022,8.356,3260.0,3.736,0,3479.17,3.933,67.276,6.259,7.447,142.409,3.844,3492.67,5.936,6308.0,3.478,5.519,37.474,2.814,2.814,0,4149.52,0.018,8.016,15.157,0.016,16819.0,145.667,7.463,1852.37,1405.94,710.833,5.095,0,13254800.0,34429.0,0.025,4996.39,298.167,2.005
10.149,9.549,9.549,4.157,6.362,3.831,3.856,0.17,15.905,29.333,19.896,18.567,0,17.138,8.181,4.106,5238.52,3.8,8.791,3.315,7.436,159.0,555.293,0,2.949,2.949,2.89,3792.0,7.012,8.362,3229.0,3.726,0,3446.91,3.931,67.341,6.257,7.447,142.089,3.843,3461.99,5.938,6260.0,3.478,5.467,37.536,2.812,2.812,0,4143.0,0.018,8.02,15.088,0.016,16768.0,146.167,7.463,1828.95,1396.02,713.833,5.105,0,13164200.0,34224.0,0.026,4946.68,298.133,2.005
10.268,9.549,9.549,4.155,6.362,3.831,3.856,0.17,15.9,28.889,19.893,18.563,0,17.133,8.183,4.094,5262.88,3.796,8.791,3.315,7.461,159.5,553.839,0,2.945,2.945,2.877,3812.0,7.015,8.362,3239.0,3.726,0,3457.59,3.925,68.208,6.252,7.451,142.641,3.836,3474.18,5.957,6308.0,3.478,5.539,38.066,2.806,2.806,0,4164.99,0.018,8.028,15.193,0.016,17052.0,146.667,7.471,1845.97,1401.21,717.333,4.906,0,13463900.0,34804.0,0.026,4960.31,299.5,2.005
10.0,9.724,9.724,4.17,6.401,3.843,3.857,0.17,16.207,29.555,20.345,18.961,0,17.513,8.197,4.121,5341.96,3.812,8.842,3.318,7.463,159.75,562.821,0,2.961,2.961,2.893,3864.0,7.021,8.368,3299.0,3.789,0,3525.31,3.944,67.28,6.335,7.445,142.422,3.854,3507.21,5.935,6308.0,3.478,5.552,37.479,2.839,2.839,0,4229.27,0.018,8.056,15.099,0.016,16820.0,147.083,7.471,1859.08,1437.61,722.083,5.187,0,13406800.0,34327.0,0.026,5054.58,299.933,2.005
10.167,9.549,9.549,4.158,6.362,3.831,3.856,0.17,15.905,29.111,19.897,18.567,0,17.139,8.179,4.107,5252.48,3.801,8.79,3.317,7.461,158.5,554.469,0,2.949,2.949,2.892,3804.0,7.009,8.358,3233.0,3.726,0,3451.37,3.932,67.399,6.258,7.445,141.751,3.845,3468.18,5.939,6212.0,3.478,5.482,37.588,2.813,2.813,0,4156.72,0.018,8.022,15.062,0.016,16715.0,145.667,7.471,1822.46,1393.21,714.333,5.088,0,13154300.0,34119.0,0.026,4954.59,296.9,2.005
9.886,9.549,9.549,4.155,6.362,3.831,3.856,0.17,15.895,28.667,19.89,18.56,0,17.129,8.161,4.094,5136.84,3.796,8.774,3.314,7.436,156.0,535.62,0,2.944,2.944,2.876,3718.0,6.992,8.341,3167.0,3.725,0,3380.73,3.924,67.68,6.251,7.426,140.427,3.836,3395.23,5.943,6026.0,3.478,5.508,37.859,2.804,2.804,0,4060.57,0.018,7.998,15.029,0.016,16514.0,143.0,7.463,1797.97,1368.44,698.333,4.873,0,12740900.0,33721.0,0.026,4852.74,291.967,2.005
9.886,9.72,9.72,4.167,6.401,3.831,3.856,0.17,15.905,29.333,19.897,18.567,0,17.139,8.174,4.11,5192.78,3.8,8.785,3.317,7.436,157.75,546.455,0,2.953,2.953,2.896,3758.0,7.004,8.359,3202.0,3.726,0,3417.65,3.936,67.462,6.335,7.44,141.416,3.845,3432.78,5.94,6165.0,3.478,5.482,37.646,2.817,2.817,0,4104.58,0.018,8.011,15.04,0.016,16663.0,145.167,7.463,1823.05,1386.88,707.5,5.121,0,12962600.0,34016.0,0.026,4909.67,296.033,2.005
10.114,9.549,9.549,4.157,6.362,3.831,3.856,0.17,15.902,29.111,19.895,18.565,0,17.136,8.174,4.105,5200.92,3.8,8.784,3.315,7.461,158.75,549.183,0,2.948,2.948,2.889,3764.0,7.007,8.358,3207.0,3.726,0,3422.24,3.93,67.345,6.257,7.446,142.092,3.843,3438.12,5.939,6260.0,3.478,5.515,37.543,2.812,2.812,0,4110.46,0.018,8.019,15.098,0.016,16769.0,145.833,7.471,1846.29,1392.66,710.167,5.105,0,13058300.0,34226.0,0.026,4915.78,298.633,2.005
9.328,9.708,9.708,4.157,6.399,3.82,3.821,0.17,15.878,28.667,19.883,18.55,0,17.116,8.121,4.097,4887.38,3.772,8.733,3.315,7.471,149.75,502.182,0,2.944,2.944,2.885,3534.0,6.955,8.312,3020.0,3.726,0,3218.04,3.927,67.292,6.256,7.383,137.431,3.828,3244.06,5.931,5664.0,3.477,5.366,37.466,2.791,2.791,0,3857.94,0.019,7.962,14.78,0.017,15881.0,138.0,7.472,1711.41,1305.38,670.0,4.724,0,11404000.0,32463.0,0.027,4632.31,283.0,2.012
10.167,9.549,9.549,4.157,6.362,3.831,3.856,0.17,15.888,29.111,19.889,18.556,0,17.125,8.138,4.1,5034.8,3.798,8.749,3.314,7.471,151.75,513.181,0,2.945,2.945,2.885,3648.0,6.97,8.33,3094.0,3.726,0,3300.14,3.927,67.544,6.256,7.398,138.634,3.842,3319.7,5.94,5799.0,3.477,5.429,37.826,2.812,2.812,0,3983.3,0.018,7.98,14.865,0.017,16143.0,140.167,7.471,1735.19,1341.96,684.833,4.807,0,12153000.0,32984.0,0.027,4748.5,286.3,2.004
