pXC50,Sv,Sp,nC,nBT,Si,nAT
6.62,33.214,34.773,25,53,54.152,49
6.155,37.17,38.443,27,59,60.986,55
6.301,35.643,36.682,26,56,57.571,52
6.387,27.38,28.46,20,44,45.448,41
7.229,31.337,32.131,22,50,52.282,47
7.268,28.875,29.705,21,45,46.531,42
6.538,33.928,35.228,25,54,55.362,50
6.06,37.885,38.898,27,60,62.196,56
6.658,36.358,37.136,26,57,58.78,53
7.06,28.907,30.222,21,47,48.863,44
7.276,32.863,33.892,23,53,55.697,50
6.921,30.402,31.466,22,48,49.946,45
6.523,35.455,36.989,26,57,58.777,53
5.347,39.412,40.659,28,63,65.611,59
6.131,37.885,38.898,27,60,62.196,56
8.097,30.224,32.881,21,47,48.584,44
8.387,30.224,32.881,21,47,48.584,44
6.155,30.224,32.881,21,47,48.584,44
7.569,25.139,26.245,19,40,40.824,37
8.721,31.687,33.012,24,50,50.737,46
8.208,35.643,36.682,26,56,57.571,52
7.244,34.116,34.921,25,53,54.156,49
8.0,25.853,26.699,19,41,42.033,38
8.678,32.402,33.466,24,51,51.946,47
7.009,36.358,37.136,26,57,58.78,53
7.149,34.831,35.375,25,54,55.365,50
7.62,27.38,28.46,20,44,45.448,41
8.854,33.928,35.228,25,54,55.362,50
8.237,37.885,38.898,27,60,62.196,56
7.292,36.358,37.136,26,57,58.78,53
6.222,31.687,33.012,24,50,50.737,46
6.699,25.853,26.699,19,41,42.033,38
7.377,32.402,33.466,24,51,51.946,47
6.102,36.358,37.136,26,57,58.78,53
6.26,34.831,35.375,25,54,55.365,50
6.959,33.928,35.228,25,54,55.362,50
6.886,37.885,38.898,27,60,62.196,56
6.18,36.358,37.136,26,57,58.78,53
9.301,26.875,27.705,19,43,44.531,40
8.824,30.831,31.375,21,49,51.365,46
9.0,33.423,34.472,24,53,54.445,49
5.292,19.612,20.483,14,32,33.408,30
6.367,26.16,27.25,19,42,43.322,39
5.149,18.085,18.722,13,29,29.993,27
5.959,24.633,25.489,18,39,39.907,36
8.854,26.875,27.705,19,43,44.531,40
8.796,30.831,31.375,21,49,51.365,46
8.201,33.423,34.472,24,53,54.445,49
4.921,19.612,20.483,14,32,33.408,30
5.495,26.16,27.25,19,42,43.322,39
5.0,28.907,30.222,21,47,48.863,44
5.0,39.412,40.659,28,63,65.611,59
5.0,37.885,38.898,27,60,62.196,56
7.523,32.794,35.057,23,55,59.398,53
7.921,28.434,29.983,20,47,50.279,45
8.328,29.74,31.534,21,49,52.567,47
8.097,31.267,33.296,22,52,55.983,50
6.699,23.633,24.489,17,37,38.907,35
8.276,29.235,30.779,20,48,51.651,46
8.638,29.235,30.779,20,48,51.651,46
7.26,28.906,31.176,20,47,49.989,45
9.269,29.235,30.779,20,48,51.651,46
8.398,38.449,41.87,25,68,75.972,67
4.24,31.59,32.159,23,49,49.741,45
4.036,33.116,33.921,24,52,53.156,48
9.466,28.74,30.534,20,48,51.567,46
6.301,33.74,35.534,25,54,56.567,51
4.9,35.74,37.534,27,57,58.567,53
4.6,29.364,29.586,20,46,50.171,44
4.6,27.59,28.159,19,44,45.741,41
4.4,28.615,29.512,19,44,45.582,41
7.056,34.643,35.682,25,55,56.571,51
5.0,32.116,32.921,23,51,52.156,47
4.1,29.116,29.921,20,47,49.156,44
4.699,30.266,29.733,20,47,50.175,44
4.359,34.643,35.682,25,55,56.571,51
4.155,32.214,33.773,24,51,53.152,48
7.699,29.235,30.779,20,48,51.651,46
7.398,26.144,29.637,17,49,56.853,50
7.796,28.88,32.097,18,53,61.56,54
8.854,31.627,35.069,20,58,67.102,59
8.699,28.82,31.211,18,52,61.287,53
7.959,36.955,40.626,24,67,74.889,66
8.721,33.901,37.103,22,61,68.059,60
8.77,30.848,33.58,20,55,61.228,54
9.125,24.74,26.534,16,43,47.567,42
8.678,20.16,21.25,13,34,37.322,33
7.824,18.633,19.489,12,31,33.907,30
4.0,12.526,12.443,8,19,20.246,18
8.237,28.401,30.421,19,46,49.072,44
7.0,33.992,36.199,21,57,60.982,54
8.201,33.405,35.415,21,50,52.102,47
9.0,30.063,31.637,20,48,51.595,46
8.886,33.52,35.324,25,55,55.441,50
7.602,33.106,34.46,22,50,52.439,47
8.699,36.035,36.25,23,56,59.484,52
7.108,23.821,25.421,15,39,42.97,38
9.0,34.321,35.802,21,59,62.644,55
10.032,32.86,33.932,22,54,57.615,51
8.337,27.928,29.228,19,46,49.362,44
9.284,30.267,32.296,21,51,54.983,49
9.222,30.762,32.54,21,51,55.066,49
7.328,29.455,30.989,20,49,52.777,47
6.893,27.348,29.182,18,45,48.385,43
4.398,18.064,18.716,14,27,28.495,26
4.886,12.107,12.54,7,18,20.339,18
8.041,37.955,41.626,25,68,75.889,67
8.398,31.009,34.961,18,58,67.567,59
4.921,44.008,48.148,30,77,85.719,76
4.724,19.191,21.722,11,35,39.78,35
4.453,23.191,25.722,15,40,43.78,39
4.523,26.611,28.438,20,41,41.534,38
4.35,22.719,24.529,15,40,44.069,39
4.5,22.719,24.529,15,40,44.069,39
5.131,32.116,34.159,21,54,57.425,51
4.081,31.289,33.302,21,54,57.481,51
5.298,32.499,34.097,21,54,57.765,51
5.042,34.358,36.375,22,58,62.05,55
5.3,32.944,35.017,21,54,57.369,51
5.144,34.358,36.375,22,58,62.05,55
5.156,33.771,35.875,21,54,57.313,51
5.479,34.546,36.068,22,58,60.844,54
4.437,25.063,26.637,15,43,46.595,41
5.018,33.643,35.921,22,57,60.84,54
5.203,36.191,38.688,23,62,66.754,59
5.208,34.358,36.375,22,58,62.05,55
4.401,32.831,34.614,21,55,58.634,52
4.152,31.417,33.256,20,51,53.954,48
4.005,29.89,31.495,19,48,50.539,45
4.955,34.47,36.779,22,57,60.784,54
4.554,32.132,33.71,20,52,55.163,49
5.298,34.47,36.779,22,57,60.784,54
5.785,34.47,36.779,22,57,60.784,54
6.374,34.47,36.779,22,57,60.784,54
4.544,33.965,36.023,21,56,59.867,53
6.27,41.524,44.301,28,68,71.615,64
5.963,41.019,43.546,27,67,70.698,63
4.432,33.658,35.472,21,55,58.578,52
4.759,35.185,37.233,22,58,61.994,55
5.648,33.327,34.955,21,54,57.709,51
5.292,33.71,34.892,21,54,58.048,51
4.205,31.944,34.017,20,52,56.369,50
5.68,35.944,38.017,24,57,60.369,54
5.184,37.47,39.779,25,60,63.784,57
4.607,35.417,37.256,24,56,57.954,52
5.166,36.944,39.017,25,59,61.369,55
4.389,35.944,38.017,24,57,60.369,54
6.052,35.944,38.017,24,57,60.369,54
5.646,46.572,49.228,32,78,84.102,75
4.829,49.889,52.972,32,87,95.055,84
6.284,50.594,53.233,35,84,89.6,80
4.408,53.91,56.978,35,93,100.554,89
4.081,30.014,32.267,20,52,57.524,51
8.272,30.202,31.961,20,51,56.318,50
4.052,29.826,32.574,20,53,58.73,52
5.539,29.826,32.574,20,53,58.73,52
8.094,30.014,32.267,20,52,57.524,51
4.63,23.953,24.943,12,37,40.747,36
4.27,22.12,22.631,11,33,36.043,32
4.01,23.12,23.631,12,34,37.043,33
4.33,22.932,23.938,12,35,38.249,34
4.72,22.592,23.824,11,33,35.753,32
4.35,25.985,27.46,14,41,45.079,40
4.65,21.405,22.176,11,32,34.833,31
6.03,25.932,26.938,15,38,41.249,37
5.28,27.458,28.699,16,41,44.664,40
4.28,26.932,27.938,16,40,42.249,38
5.17,32.985,34.46,21,49,52.079,47
5.56,29.48,30.705,17,45,48.162,43
4.73,31.007,32.466,18,48,51.577,46
5.7,31.512,33.222,19,49,52.494,47
5.31,33.533,35.227,20,52,55.992,50
4.8,32.533,34.227,19,51,54.992,49
5.59,38.06,39.989,24,59,62.408,56
5.94,32.032,33.818,18,48,51.419,46
5.76,37.114,39.512,22,60,65.238,58
8.046,34.563,36.336,24,57,59.438,53
7.495,34.563,36.336,24,57,59.438,53
7.921,32.036,33.574,22,53,55.023,49
7.886,32.036,33.574,22,53,55.023,49
6.25,34.563,36.336,24,57,59.438,53
7.886,26.366,26.989,17,43,45.532,40
8.523,27.509,28.813,18,46,48.607,43
7.721,27.907,28.205,17,45,47.694,42
6.801,35.223,35.949,21,58,62.647,55
5.71,36.938,37.404,22,61,64.857,57
7.824,28.224,29.267,18,47,49.817,44
7.469,27.907,28.205,17,45,47.694,42
5.3,33.697,34.188,20,55,59.232,52
5.64,37.75,38.71,23,63,67.063,59
5.68,35.223,35.949,21,58,62.647,55
6.31,39.277,40.472,24,66,70.478,62
6.44,37.697,38.188,24,60,63.232,56
7.959,25.983,27.051,17,43,45.192,40
7.721,27.509,28.813,18,46,48.607,43
7.553,30.036,31.574,20,50,53.023,47
8.699,28.015,29.569,19,47,49.524,44
7.824,27.893,28.75,18,46,48.947,43
7.77,28.337,29.671,18,46,48.551,43
7.658,28.535,30.165,18,46,48.449,43
7.051,29.434,29.966,18,48,51.109,45
8.046,28.337,29.671,18,46,48.551,43
7.367,29.434,29.966,18,48,51.109,45
4.56,29.939,30.722,19,49,52.026,46
6.561,33.299,34.796,21,56,60.145,53
7.237,37.353,39.319,24,64,67.976,60
5.86,38.374,40.324,24,66,70.474,62
7.357,38.88,41.08,25,67,71.391,63
7.456,37.299,38.796,25,61,64.145,57
7.745,34.563,36.336,24,57,59.438,53
5.0,40.636,42.461,28,67,72.406,64
6.076,27.348,29.182,18,45,48.385,43
5.607,26.904,28.262,18,45,48.781,43
5.558,26.904,28.262,18,45,48.781,43
5.176,28.015,29.569,19,46,49.524,44
5.331,28.015,29.569,19,46,49.524,44
6.456,29.197,29.898,19,48,52.875,46
7.301,29.197,29.898,19,48,52.875,46
5.815,28.762,30.54,19,49,53.066,47
6.31,28.762,30.54,19,49,53.066,47
7.131,34.289,36.302,24,57,60.481,54
5.548,34.289,36.302,24,57,60.481,54
8.222,35.116,37.159,24,57,60.425,54
7.208,35.116,37.159,24,57,60.425,54
7.959,35.815,38.063,25,60,63.896,57
7.921,36.53,38.517,25,61,65.106,58
7.337,40.396,43.347,28,69,74.142,66
7.824,34.611,36.404,23,56,59.508,53
8.854,34.611,36.404,23,56,59.508,53
7.921,34.611,36.404,23,56,59.508,53
7.387,34.105,35.648,22,55,58.591,52
6.921,30.502,32.347,19,50,54.117,48
5.331,27.348,29.182,18,45,48.385,43
6.77,35.057,37.279,23,59,65.521,58
6.991,36.75,38.728,25,61,66.232,59
5.432,32.003,33.756,21,54,58.69,52
4.602,26.455,27.989,17,45,49.777,44
4.796,29.509,31.512,19,51,56.607,50
7.824,31.267,33.296,22,52,55.983,50
8.959,31.235,32.779,22,50,53.651,48
9.111,31.267,33.296,22,52,55.983,50
8.699,28.982,30.75,19,49,54.192,48
8.699,26.434,27.983,18,44,48.279,43
7.553,32.17,33.443,22,52,55.986,50
6.456,25.928,27.228,17,43,47.362,42
8.155,27.455,28.989,18,46,50.777,45
5.0,34.224,35.966,23,57,61.817,55
5.0,32.697,34.205,22,54,58.401,52
6.071,30.863,31.892,21,50,53.697,48
8.155,32.863,34.847,22,53,56.823,51
8.097,33.697,35.205,23,55,59.401,53
7.301,32.17,33.443,22,52,55.986,50
7.824,31.74,33.534,23,51,54.567,49
7.642,32.17,33.443,22,52,55.986,50
8.921,32.477,33.995,22,53,57.275,51
8.126,32.17,33.443,22,52,55.986,50
7.602,25.906,28.176,17,43,46.989,42
7.046,31.267,33.296,22,52,55.983,50
7.398,34.202,35.961,24,56,60.318,54
5.301,34.637,35.319,24,55,60.128,53
6.854,30.961,32.745,22,51,54.694,49
5.523,33.003,34.756,22,55,59.69,53
5.638,26.396,27.103,17,44,49.503,43
7.343,23.192,24.767,16,39,42.654,38
7.0,32.487,34.506,23,54,58.109,52
8.523,32.544,34.739,20,52,55.826,50
7.187,34.637,35.319,24,55,60.128,53
8.432,37.127,38.654,24,60,63.089,56
7.398,31.74,33.534,23,51,54.567,49
8.553,31.267,33.296,22,52,55.983,50
8.427,27.584,27.796,18,44,49.298,43
8.886,33.697,35.205,23,55,59.401,53
8.0,32.696,35.159,21,55,59.527,53
5.678,33.003,34.756,22,55,59.69,53
6.398,33.718,35.211,22,56,60.9,54
7.398,32.487,34.506,23,54,58.109,52
8.523,24.509,27.426,16,39,42.375,38
8.64,32.417,33.108,22,52,57.002,50
8.0,33.884,35.853,22,55,59.321,53
5.377,25.214,26.773,17,42,46.152,41
6.886,33.697,35.205,23,55,59.401,53
8.301,24.02,25.625,16,39,42.598,38
9.0,32.477,33.995,22,53,57.275,51
8.26,32.39,33.654,22,53,57.113,51
8.77,31.982,33.75,22,53,57.192,51
8.651,30.124,31.472,21,49,52.907,47
7.097,34.057,36.279,22,59,64.521,57
6.469,30.762,32.54,21,51,55.066,49
7.921,30.665,31.688,20,50,54.069,48
8.222,24.907,26.222,17,41,44.863,40
6.886,31.74,33.534,23,51,54.567,49
7.509,25.622,26.676,17,42,46.073,41
7.201,27.224,28.267,17,45,48.817,43
6.312,30.665,31.688,20,50,54.069,48
8.237,37.292,39.296,24,59,61.511,55
5.886,37.632,39.409,25,61,64.006,57
8.114,38.852,40.62,26,63,66.133,59
8.174,39.137,41.165,27,63,65.923,59
8.469,37.632,39.409,25,61,64.006,57
7.161,37.632,39.409,25,61,64.006,57
8.0,37.325,38.858,25,60,62.717,56
7.658,36.82,38.102,24,59,61.801,55
9.301,36.82,38.102,24,59,61.801,55
6.745,36.82,38.102,24,59,61.801,55
7.886,36.82,38.102,24,59,61.801,55
7.337,37.632,39.409,25,61,64.006,57
5.0,37.632,39.409,25,61,64.006,57
6.509,37.632,39.409,25,61,64.006,57
7.481,37.632,39.409,25,61,64.006,57
7.0,37.632,39.409,25,61,64.006,57
8.569,37.632,39.409,25,61,64.006,57
7.77,37.127,38.654,24,60,63.089,56
8.523,37.127,38.654,24,60,63.089,56
6.854,37.127,38.654,24,60,63.089,56
8.06,34.105,35.648,22,55,58.591,52
8.114,34.105,35.648,22,55,58.591,52
7.495,33.105,34.648,21,54,57.591,51
6.987,32.095,33.137,19,52,55.757,49
7.553,32.799,34.097,21,53,56.302,50
8.284,33.626,34.955,21,53,56.246,50
7.553,36.82,38.102,24,59,61.801,55
9.199,24.687,26.012,17,40,43.737,39
8.481,31.267,33.296,22,52,55.983,50
7.523,27.149,28.438,18,45,49.488,44
6.125,31.267,33.296,22,52,55.983,50
7.301,32.17,33.443,22,52,55.986,50
7.097,24.719,26.529,17,42,46.069,41
5.824,33.884,35.853,22,55,59.321,53
5.602,31.191,32.449,20,52,56.485,50
6.77,30.961,32.745,22,51,54.694,49
7.301,30.961,32.745,22,51,54.694,49
7.222,32.675,34.199,23,53,56.903,51
7.208,30.629,32.228,22,50,53.824,48
7.921,34.202,35.961,24,56,60.318,54
5.569,32.982,34.75,23,54,58.192,52
7.222,34.202,35.961,24,56,60.318,54
6.959,30.629,32.228,22,50,53.824,48
6.398,32.487,34.506,23,54,58.109,52
8.921,31.395,33.25,21,49,52.455,47
8.301,32.928,34.228,24,52,54.362,49
8.538,30.687,32.012,23,48,49.737,45
7.26,28.928,30.228,20,47,50.362,45
7.602,29.401,31.421,20,47,50.072,45
5.602,30.116,31.875,20,48,51.282,46
6.222,32.17,33.443,22,52,55.986,50
7.521,28.578,29.347,18,47,51.907,46
7.15,28.885,29.898,18,48,53.196,47
5.981,29.357,31.091,18,48,52.906,47
7.48,29.697,31.205,19,50,55.401,49
7.919,28.885,29.898,18,48,53.196,47
7.542,29.191,30.449,18,49,54.485,48
6.019,29.664,31.642,18,49,54.195,48
6.509,29.697,31.205,19,50,55.401,49
8.439,29.39,30.654,19,49,54.113,48
8.258,29.697,31.205,19,50,55.401,49
6.838,30.169,32.398,19,50,55.112,49
7.919,30.389,32.608,19,51,56.238,50
7.51,29.39,30.654,19,49,54.113,48
9.066,31.321,32.614,19,51,54.492,48
9.367,31.705,32.551,19,51,54.831,48
7.347,17.122,17.278,10,26,28.23,25
7.06,31.434,31.966,20,51,53.109,47
8.432,32.411,33.915,21,52,53.737,48
6.959,32.917,34.671,22,53,54.654,49
6.0,32.411,33.915,21,52,53.737,48
7.367,32.917,34.671,22,53,54.654,49
6.0,29.379,30.398,18,46,48.405,43
6.0,33.433,34.921,21,54,56.235,50
6.0,33.433,34.921,21,54,56.235,50
6.0,32.906,34.159,21,53,53.82,48
8.77,30.433,31.921,18,50,53.235,47
8.538,28.686,29.949,17,46,48.694,43
6.921,29.191,30.705,18,47,49.61,44
9.036,30.938,32.676,19,51,54.152,48
8.678,30.816,31.858,18,50,53.575,47
9.174,31.321,32.614,19,51,54.492,48
8.495,30.816,31.858,18,50,53.575,47
8.921,31.321,32.614,19,51,54.492,48
8.886,30.816,31.858,18,50,53.575,47
6.0,39.702,42.898,27,69,74.431,66
7.471,34.869,37.586,23,61,66.727,59
8.735,41.252,43.523,29,68,73.066,65
8.377,42.779,45.285,30,71,76.481,68
7.523,44.306,47.046,31,74,79.897,71
7.194,36.614,38.455,25,61,66.908,59
7.62,42.402,43.336,29,68,74.085,65
5.0,39.036,41.273,28,64,68.022,61
5.004,40.428,43.864,28,70,76.474,68
5.77,34.627,37.37,24,59,64.102,57
8.276,40.869,43.586,29,68,72.727,65
6.602,45.833,48.807,32,77,83.312,74
4.0,44.306,47.046,31,74,79.897,71
4.0,45.833,48.807,32,77,83.312,74
5.0,35.649,38.375,24,61,66.6,59
7.509,37.374,40.341,26,64,69.643,62
7.194,37.509,39.512,27,61,64.607,58
7.495,35.848,38.58,25,61,66.228,59
7.959,37.374,40.341,26,64,69.643,62
4.553,29.116,29.921,20,47,49.156,44
6.222,30.884,32.853,19,52,56.321,50
8.602,29.357,31.091,18,49,52.906,47
8.398,26.697,28.205,16,47,52.401,46
8.398,30.697,32.205,20,52,56.401,50
7.222,29.095,31.154,19,49,52.927,47
6.585,29.095,31.154,19,49,52.927,47
8.523,33.089,35.796,21,60,65.853,58
7.469,30.509,32.512,20,53,57.607,51
6.578,27.383,29.245,15,48,56.795,49
5.398,30.509,32.512,20,53,57.607,51
7.046,29.794,32.057,20,52,56.398,50
9.161,21.687,23.012,14,37,40.737,36
9.244,27.794,30.057,18,49,54.398,48
8.161,22.633,23.489,16,36,37.907,34
6.602,25.982,27.75,16,46,51.192,45
6.854,26.884,28.853,15,47,52.321,46
8.222,32.411,34.614,20,55,59.737,53
8.0,29.292,31.648,19,49,52.824,47
7.114,28.455,29.989,19,48,51.777,46
9.292,27.875,28.705,20,43,45.531,41
7.658,33.116,33.921,24,51,53.156,48
4.071,20.139,21.245,14,33,35.824,32
5.602,35.868,39.285,23,64,73.726,65
5.638,34.224,35.966,23,57,61.817,55
5.87,23.615,25.267,13,41,48.756,42
7.18,29.095,31.154,19,49,52.927,47
7.0,31.562,34.035,20,57,62.438,55
8.699,28.224,29.966,17,50,55.817,49
7.398,33.772,35.034,22,55,58.73,52
4.857,20.561,21.745,11,35,41.925,36
6.846,22.9,24.813,13,40,47.546,41
7.064,25.954,28.336,15,46,54.377,47
5.244,19.687,21.012,12,35,38.737,34
8.921,34.643,35.682,25,54,56.571,51
6.502,29.292,31.648,19,49,52.824,47
7.854,33.562,36.035,22,59,64.438,57
7.347,30.036,32.273,19,54,59.022,52
7.658,31.509,33.512,21,54,58.607,52
6.301,29.982,31.75,20,51,55.192,49
9.0,27.53,27.273,19,42,45.467,40
9.071,26.348,26.943,19,40,42.116,38
5.591,24.33,25.722,13,42,49.965,43
5.921,29.794,32.057,20,52,56.398,50
7.347,29.292,31.648,19,49,52.824,47
9.642,25.633,26.489,19,39,40.907,37
6.29,26.669,28.79,15,47,55.586,48
4.739,21.276,22.199,11,36,43.135,37
8.444,32.848,35.58,22,58,63.228,56
6.523,32.982,34.75,23,54,58.192,52
5.523,31.82,34.211,21,55,64.287,56
5.0,36.933,40.62,25,66,73.391,65
5.0,31.648,35.074,19,59,68.6,60
4.0,13.499,13.074,9,20,23.305,20
4.0,11.972,11.313,8,17,19.889,17
5.42,31.46,35.381,19,60,69.806,61
5.6,31.573,35.785,19,59,68.541,60
5.47,30.219,34.165,19,57,66.181,58
7.886,30.745,34.927,19,59,68.597,60
5.45,29.219,33.165,18,56,65.181,57
5.301,30.347,32.972,19,55,64.702,56
5.9,35.363,38.529,22,63,72.81,64
6.201,34.648,38.074,22,62,71.6,63
5.301,36.583,39.739,23,65,74.936,66
6.244,34.648,38.074,22,62,71.6,63
5.58,30.046,34.023,18,56,65.125,57
5.45,30.244,34.518,18,56,65.023,57
5.097,31.648,35.074,19,59,68.6,60
5.749,20.767,22.597,12,36,42.139,37
5.547,20.964,23.091,12,36,42.037,37
4.0,21.466,23.5,13,39,45.611,40
7.642,36.428,39.864,24,65,72.474,64
7.699,29.235,30.779,20,48,51.651,46
9.097,32.289,34.302,22,54,58.481,52
6.699,38.955,42.626,26,69,76.889,68
5.0,26.192,27.767,19,43,45.654,41
7.398,28.214,29.773,20,46,49.152,44
8.252,29.235,30.779,20,48,51.651,46
7.783,27.214,28.773,19,45,48.152,43
8.307,29.235,30.779,20,48,51.651,46
8.222,31.66,34.887,21,55,63.434,56
9.0,37.901,41.103,26,65,72.059,64
6.721,24.217,26.12,16,39,42.496,38
7.114,25.869,26.341,17,42,47.088,41
7.959,31.336,33.085,21,50,53.408,48
7.301,32.17,33.443,22,52,55.986,50
7.523,23.576,24.705,16,39,42.994,38
5.222,32.675,34.199,23,53,56.903,51
7.796,34.637,35.319,24,55,60.128,53
8.646,31.665,32.688,21,51,55.069,49
8.456,33.697,35.205,23,55,59.401,53
6.398,33.884,35.853,22,55,59.321,53
7.721,31.267,33.296,22,52,55.983,50
6.886,32.17,33.443,22,52,55.986,50
7.62,32.224,33.966,21,55,59.817,53
5.699,27.675,29.199,18,47,51.903,46
5.046,33.718,35.211,22,56,60.9,54
6.347,33.036,35.273,22,57,62.022,55
5.456,45.858,48.773,32,77,82.893,74
5.94,42.954,47.58,29,75,82.015,73
8.0,32.982,34.75,23,54,58.192,52
7.301,30.629,32.228,22,50,53.824,48
9.046,30.568,32.392,21,49,52.511,47
6.699,30.762,32.54,21,51,55.066,49
5.0,30.83,32.33,20,49,52.491,47
4.328,29.589,31.114,20,47,48.866,44
5.0,41.176,44.137,29,69,74.015,66
6.886,38.901,42.103,27,67,73.059,65
4.0,41.955,45.626,29,73,79.889,71
6.959,48.306,51.046,35,79,83.897,75
8.0,42.019,43.398,29,68,73.746,65
7.174,32.407,35.859,21,59,66.976,59
6.174,32.928,34.228,24,52,54.362,49
7.046,29.036,31.273,18,52,58.022,51
4.398,13.739,14.244,7,22,27.055,23
7.301,17.106,17.727,11,28,30.491,27
4.398,14.454,14.699,7,23,28.264,24
6.886,30.509,32.512,20,53,57.607,51
6.502,28.267,30.296,19,49,52.983,47
9.174,29.057,29.034,20,45,48.882,43
9.222,30.402,31.466,22,48,49.946,45
7.553,42.432,44.62,29,68,71.235,64
5.301,19.606,20.12,13,32,36.965,32
6.472,29.598,32.898,18,52,60.113,53
4.0,21.491,23.853,12,38,44.452,39
5.176,30.347,32.972,19,55,64.702,56
4.721,39.175,42.836,26,69,78.015,69
4.347,32.697,34.205,22,54,58.401,52
8.398,27.708,29.017,19,45,48.235,43
6.762,38.955,42.626,26,69,76.889,68
5.301,39.46,43.381,27,70,77.806,69
