pXC50,MATS3v,SM05_EA.ri.,D.Dtr08,MATS3p,SM14_EA,SM06_EA.ri.,SM08_EA.ri.,Eig01_AEA.ri.,SpMax_AEA.ri.,SM11_EA.ri.,SM03_EA.ri.,SM07_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM13_EA,SM12_EA,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMAD_AEA.bo.,Eig01_EA.ri.,SpMax_EA.ri.,SM15_EA,SpDiam_EA.ed.,SM15_AEA.ed.,SM12_EA.ri.,PHI,S2K,S3K,X1A,SpDiam_AEA.ri.,C.003,Rbrid,RCI,RFD,SsssCH,SpMAD_EA.ed.,SM13_EA.ri.,PW2,SpDiam_EA.ri.,SM11_EA.ed.,SM12_EA.ed.,X4v,nR08,SM14_EA.ri.,SM15_EA.ri.,SpDiam_AEA.ed.,SM09_EA,SM10_EA,SM08_EA.ed.,SM09_EA.ed.,RBN,RBF,nRCONR2,SpMin1_Bh.m.,SpMin1_Bh.p.,SpMin1_Bh.s.,SpMin1_Bh.v.,Uindex,SM10_EA.ed.,nCIR,SpMAD_EA.ri.,X3A
6.0,0.019,6.224,0.0,-0.008,16.6,7.713,9.753,4.23,4.23,12.994,3.822,8.487,10.733,11.917,15.438,14.32,6.842,6.842,1.499,3.212,3.212,17.744,18.912,29.119,14.154,6.28,9.06,4.58,0.443,5.333,0,1,1.091,0.091,0.173,4.114,15.275,0.571,5.212,26.75,29.181,4.14,0,16.43,17.573,6.644,10.879,12.083,19.655,21.941,5,0.085,0,2.095,2.084,1.476,2.074,42.178,24.39,5,1.424,0.183
6.0,-0.022,6.266,0.0,-0.109,16.62,7.771,9.81,4.233,4.233,13.034,3.857,8.534,10.778,11.967,15.457,14.336,6.845,6.845,1.514,3.214,3.214,17.766,18.932,29.129,14.194,5.241,7.956,3.899,0.441,5.281,0,1,1.091,0.091,0.165,4.165,15.309,0.572,5.214,26.768,29.199,3.796,0,16.463,17.601,6.646,10.89,12.094,19.672,21.958,4,0.075,0,2.095,2.088,1.476,2.079,39.912,24.408,5,1.462,0.181
6.826,0.012,6.418,0.0,-0.066,16.752,7.881,9.915,4.243,4.243,13.133,4.042,8.663,10.891,12.065,15.595,14.475,6.852,6.852,1.503,3.22,3.22,17.895,18.972,29.241,14.283,6.174,8.995,4.586,0.44,5.295,0,1,1.087,0.087,0.089,4.235,15.396,0.581,5.22,26.844,29.271,4.139,0,16.543,17.679,6.65,11.051,12.238,19.773,22.047,4,0.068,0,2.045,2.09,1.336,2.075,46.662,24.491,5,1.444,0.181
6.0,-0.038,6.413,0.0,-0.1,16.701,7.873,9.895,4.242,4.242,13.099,4.052,8.641,10.86,12.037,15.542,14.424,6.851,6.851,1.508,3.22,3.22,17.845,18.966,29.169,14.253,6.193,9.011,4.596,0.441,5.293,0,1,1.091,0.091,0.146,4.257,15.364,0.579,5.22,26.806,29.238,4.08,0,16.514,17.65,6.653,11.004,12.194,19.718,21.997,5,0.083,0,2.095,2.093,1.476,2.083,46.734,24.447,5,1.449,0.182
6.44,-0.027,6.557,81.435,-0.037,17.405,8.029,10.144,4.403,4.403,13.5,4.13,8.869,11.174,12.382,16.197,15.016,7.158,7.158,1.545,3.347,3.347,18.606,20.184,29.834,14.689,5.256,7.914,3.651,0.427,5.439,0,2,1.167,0.167,0.0,4.627,15.849,0.592,5.347,27.931,30.454,4.885,1,17.038,18.218,6.96,11.447,12.669,20.507,22.921,3,0.054,0,2.041,2.024,1.39,2.027,41.21,25.452,8,1.461,0.167
5.0,-0.157,6.624,90.998,-0.163,17.418,8.082,10.185,4.403,4.403,13.522,4.213,8.916,11.207,12.41,16.214,15.036,7.158,7.158,1.543,3.346,3.346,18.617,20.184,29.843,14.707,5.455,8.283,3.826,0.429,5.443,0,2,1.167,0.167,0.0,4.629,15.863,0.593,5.346,27.933,30.455,4.548,1,17.049,18.227,6.71,11.482,12.698,20.514,22.925,4,0.073,0,2.032,2.021,1.2,2.022,45.425,25.455,8,1.45,0.169
5.347,-0.178,6.701,101.699,-0.2,17.437,8.148,10.242,4.402,4.402,13.561,4.298,8.982,11.259,12.455,16.236,15.064,7.157,7.157,1.553,3.346,3.346,18.632,20.176,29.871,14.741,5.876,8.854,4.227,0.429,5.44,0,2,1.167,0.167,0.0,4.642,15.891,0.597,5.346,27.936,30.457,4.538,1,17.072,18.246,6.572,11.525,12.735,20.527,22.934,5,0.091,0,2.032,2.086,1.2,2.048,49.872,25.46,8,1.471,0.17
7.569,-0.086,6.475,0.0,-0.14,16.711,7.911,9.928,4.242,4.242,13.123,4.142,8.685,10.892,12.063,15.553,14.438,6.851,6.851,1.523,3.22,3.22,17.853,18.966,29.168,14.273,5.898,8.593,4.586,0.436,5.293,1,1,1.091,0.091,0.784,4.356,15.381,0.591,5.22,26.805,29.238,4.096,0,16.529,17.663,6.265,11.028,12.212,19.718,21.996,4,0.068,0,2.111,2.094,1.498,2.087,46.751,24.447,5,1.464,0.182
6.0,-0.011,6.341,0.0,-0.024,16.674,7.791,9.818,4.236,4.236,13.041,3.986,8.571,10.795,11.969,15.514,14.398,6.848,6.848,1.504,3.214,3.214,17.817,18.946,29.15,14.194,6.965,9.672,5.181,0.44,5.34,1,1,1.091,0.091,0.834,4.242,15.311,0.583,5.214,26.786,29.218,4.459,0,16.462,17.602,6.65,10.978,12.169,19.694,21.976,5,0.081,0,2.111,2.082,1.498,2.08,46.765,24.426,5,1.409,0.183
6.0,0.001,6.474,0.0,-0.015,16.788,7.959,9.962,4.238,4.238,13.139,4.109,8.699,10.91,12.087,15.636,14.529,6.848,6.848,1.51,3.218,3.218,17.921,18.946,29.28,14.289,7.501,10.927,5.6,0.438,5.306,0,1,1.071,0.071,0.164,4.228,15.393,0.579,5.218,26.858,29.278,5.32,0,16.539,17.67,6.65,11.123,12.315,19.812,22.079,6,0.081,0,2.095,2.095,1.476,2.085,52.154,24.512,6,1.448,0.181
5.921,-0.005,6.59,85.228,-0.007,17.461,8.053,10.169,4.409,4.409,13.525,4.168,8.897,11.2,12.406,16.255,15.076,7.161,7.161,1.549,3.351,3.351,18.661,20.2,29.878,14.713,5.673,8.321,3.842,0.426,5.445,0,2,1.167,0.167,0.0,4.688,15.874,0.597,5.351,27.955,30.478,5.061,1,17.062,18.243,6.963,11.515,12.732,20.541,22.949,3,0.054,0,2.041,2.021,1.39,2.026,43.204,25.479,8,1.444,0.168
5.301,-0.171,6.609,86.125,-0.165,17.414,8.068,10.174,4.403,4.403,13.515,4.204,8.903,11.197,12.402,16.208,15.03,7.158,7.158,1.554,3.346,3.346,18.613,20.184,29.838,14.702,4.996,7.703,3.601,0.426,5.441,0,2,1.167,0.167,0.0,4.675,15.859,0.598,5.346,27.932,30.455,4.407,1,17.045,18.224,6.572,11.472,12.689,20.51,22.923,3,0.059,0,2.032,2.02,1.2,2.022,43.29,25.453,8,1.459,0.168
6.0,-0.078,6.261,0.0,-0.126,16.673,7.746,9.731,4.221,4.221,12.857,3.918,8.469,10.658,11.828,15.509,14.387,6.851,6.851,1.5,3.144,3.144,17.821,18.966,29.151,13.995,5.864,8.525,4.354,0.439,5.272,1,1,1.091,0.091,-1.06,4.232,15.076,0.578,5.144,26.801,29.235,4.403,0,16.205,17.313,6.653,10.946,12.145,19.703,21.987,4,0.067,0,2.1,2.106,1.477,2.1,42.086,24.44,5,1.451,0.18
6.046,-0.013,6.566,81.435,-0.043,17.405,8.041,10.154,4.403,4.403,13.504,4.139,8.876,11.18,12.388,16.197,15.016,7.158,7.158,1.545,3.346,3.346,18.606,20.184,29.834,14.693,5.28,7.937,3.663,0.427,5.44,0,2,1.167,0.167,0.234,4.627,15.851,0.592,5.346,27.931,30.454,5.184,1,17.04,18.219,6.96,11.447,12.669,20.507,22.921,3,0.053,0,2.094,2.034,1.476,2.055,41.21,25.452,8,1.466,0.167
6.766,0.006,6.369,0.0,-0.086,16.754,7.844,9.886,4.241,4.241,13.108,3.983,8.625,10.861,12.041,15.596,14.477,6.852,6.852,1.517,3.216,3.216,17.896,18.972,29.241,14.261,5.864,8.543,4.302,0.438,5.295,0,1,1.091,0.091,0.078,4.305,15.373,0.584,5.216,26.844,29.271,3.988,0,16.522,17.656,6.654,11.051,12.241,19.773,22.047,4,0.075,0,2.095,2.084,1.476,2.075,44.327,24.491,5,1.433,0.18
6.0,0.023,6.275,0.0,0.021,16.655,7.763,9.809,4.243,4.243,13.062,3.884,8.54,10.793,11.981,15.492,14.372,6.848,6.848,1.5,3.23,3.23,17.8,18.946,29.142,14.226,6.783,9.501,4.958,0.441,5.347,0,1,1.091,0.091,0.165,4.181,15.352,0.576,5.23,26.784,29.217,4.461,0,16.512,17.659,6.65,10.936,12.134,19.686,21.972,5,0.083,0,2.096,2.085,1.476,2.079,44.397,24.423,5,1.413,0.182
6.0,-0.071,6.314,0.0,-0.069,16.674,7.752,9.728,4.217,4.217,12.854,4.002,8.494,10.664,11.819,15.514,14.398,6.848,6.848,1.49,3.141,3.141,17.817,18.946,29.15,13.983,7.169,9.841,5.29,0.44,5.321,2,1,1.091,0.091,-0.295,4.242,15.067,0.583,5.141,26.786,29.218,4.901,0,16.192,17.301,6.65,10.978,12.169,19.694,21.976,5,0.072,0,2.113,2.104,1.499,2.098,46.765,24.426,5,1.42,0.183
6.844,0.0,6.342,0.0,-0.064,16.672,7.825,9.851,4.242,4.242,13.071,3.965,8.588,10.821,12.002,15.508,14.385,6.851,6.851,1.501,3.22,3.22,17.82,18.966,29.151,14.227,5.987,8.816,4.527,0.441,5.294,0,1,1.087,0.087,0.152,4.159,15.343,0.575,5.22,26.801,29.235,4.109,0,16.495,17.635,6.653,10.945,12.142,19.702,21.987,4,0.068,0,2.06,2.09,1.336,2.077,44.367,24.44,5,1.451,0.181
6.86,-0.07,6.496,0.0,-0.143,16.771,7.933,9.963,4.243,4.243,13.166,4.142,8.721,10.935,12.104,15.616,14.501,6.852,6.852,1.522,3.22,3.22,17.911,18.972,29.249,14.313,5.898,8.593,4.433,0.437,5.294,1,1,1.091,0.091,0.756,4.369,15.421,0.59,5.22,26.846,29.272,4.12,0,16.565,17.697,6.539,11.089,12.272,19.78,22.051,4,0.068,0,2.111,2.094,1.498,2.086,46.707,24.494,5,1.464,0.181
6.305,-0.012,6.345,0.0,-0.083,16.692,7.82,9.849,4.24,4.24,13.062,3.983,8.585,10.815,11.997,15.532,14.413,6.851,6.851,1.518,3.216,3.216,17.837,18.966,29.16,14.219,5.864,8.543,4.455,0.438,5.294,0,1,1.091,0.091,0.097,4.292,15.332,0.585,5.216,26.803,29.236,3.964,0,16.483,17.62,6.653,10.988,12.179,19.71,21.992,4,0.075,0,2.095,2.084,1.476,2.075,44.377,24.443,5,1.433,0.181
6.0,-0.009,6.344,0.0,-0.065,16.655,7.83,9.855,4.238,4.238,13.065,3.965,8.587,10.817,12.002,15.492,14.372,6.848,6.848,1.507,3.218,3.218,17.8,18.946,29.142,14.222,5.987,8.816,4.527,0.441,5.289,0,1,1.091,0.091,0.167,4.181,15.335,0.576,5.218,26.784,29.217,4.096,0,16.488,17.626,6.65,10.936,12.134,19.686,21.972,5,0.085,0,2.096,2.091,1.476,2.082,44.397,24.423,5,1.461,0.182
5.301,-0.16,6.626,96.663,-0.167,17.411,8.089,10.186,4.402,4.402,13.518,4.213,8.917,11.205,12.408,16.206,15.03,7.157,7.157,1.535,3.346,3.346,18.61,20.176,29.839,14.704,5.889,8.84,4.134,0.431,5.44,0,2,1.167,0.167,0.0,4.578,15.859,0.591,5.346,27.929,30.452,4.546,1,17.045,18.222,6.712,11.477,12.693,20.508,22.921,5,0.088,0,2.032,2.02,1.2,2.021,47.651,25.451,8,1.447,0.171
5.0,-0.188,6.588,86.125,-0.202,17.414,8.053,10.162,4.403,4.403,13.508,4.177,8.889,11.187,12.394,16.208,15.03,7.158,7.158,1.554,3.346,3.346,18.613,20.184,29.838,14.697,5.208,7.9,3.712,0.426,5.442,0,2,1.167,0.167,0.0,4.675,15.854,0.598,5.346,27.932,30.455,4.533,1,17.042,18.221,6.572,11.472,12.689,20.51,22.923,3,0.059,0,2.032,2.02,1.2,2.021,43.29,25.453,8,1.447,0.168
5.688,0.015,6.506,81.435,0.002,17.405,7.992,10.111,4.402,4.402,13.473,4.071,8.829,11.142,12.353,16.197,15.016,7.158,7.158,1.545,3.344,3.344,18.606,20.184,29.834,14.664,5.437,8.079,3.743,0.427,5.438,0,2,1.167,0.167,0.0,4.627,15.825,0.592,5.344,27.931,30.454,4.92,1,17.014,18.195,6.96,11.447,12.669,20.507,22.921,3,0.057,0,2.041,2.02,1.39,2.026,41.21,25.452,8,1.436,0.167
5.0,-0.192,6.775,100.743,-0.214,17.83,8.201,10.311,4.403,4.403,13.636,4.377,9.06,11.338,12.528,16.625,15.438,7.158,7.158,1.578,3.347,3.347,19.03,20.184,30.344,14.811,5.618,8.369,4.203,0.424,5.443,0,2,1.167,0.167,0.0,4.851,15.958,0.608,5.347,28.267,30.773,4.616,1,17.135,18.304,6.572,11.858,13.074,20.865,23.284,3,0.056,0,2.032,2.024,1.2,2.023,49.8,25.797,8,1.457,0.167
5.0,-0.179,6.613,89.975,-0.169,17.453,8.07,10.176,4.403,4.403,13.518,4.213,8.907,11.201,12.404,16.252,15.078,7.158,7.158,1.56,3.347,3.347,18.647,20.184,29.876,14.705,5.62,8.305,3.914,0.425,5.444,0,2,1.167,0.167,0.0,4.739,15.861,0.602,5.347,27.94,30.461,4.745,1,17.047,18.225,6.468,11.536,12.746,20.534,22.939,3,0.059,0,2.032,2.019,1.2,2.021,45.371,25.466,8,1.433,0.169
7.506,0.071,6.491,0.0,0.052,17.278,7.988,10.068,4.36,4.36,13.362,4.071,8.788,11.068,12.268,16.084,14.92,7.128,7.128,1.521,3.293,3.293,18.463,20.067,29.797,14.537,6.389,9.258,4.415,0.431,5.395,0,2,1.154,0.154,0.0,4.481,15.675,0.587,5.293,27.844,30.356,5.279,0,16.847,18.007,6.93,11.39,12.603,20.457,22.856,3,0.051,0,2.041,2.026,1.39,2.028,45.181,25.378,8,1.417,0.17
8.241,-0.059,6.574,0.0,-0.087,17.284,8.048,10.117,4.358,4.358,13.391,4.177,8.848,11.111,12.304,16.093,14.932,7.127,7.127,1.528,3.292,3.292,18.467,20.059,29.8,14.562,6.126,9.054,4.375,0.43,5.393,0,2,1.154,0.154,0.0,4.526,15.694,0.593,5.292,27.838,30.349,4.94,0,16.862,18.018,6.638,11.417,12.624,20.456,22.853,3,0.053,0,2.038,2.026,1.292,2.028,47.375,25.373,8,1.426,0.17
8.602,-0.029,6.524,0.0,-0.063,17.284,8.013,10.087,4.358,4.358,13.371,4.12,8.809,11.083,12.281,16.093,14.932,7.127,7.127,1.528,3.292,3.292,18.467,20.059,29.8,14.545,6.317,9.223,4.474,0.43,5.395,0,2,1.154,0.154,0.0,4.526,15.68,0.593,5.292,27.838,30.349,4.962,0,16.85,18.008,6.638,11.417,12.624,20.456,22.853,3,0.056,0,2.021,2.026,1.292,2.027,47.375,25.373,8,1.404,0.17
8.362,-0.002,6.501,0.0,-0.038,17.274,8.0,10.078,4.358,4.358,13.365,4.08,8.796,11.074,12.275,16.081,14.917,7.127,7.127,1.524,3.292,3.292,18.459,20.059,29.795,14.54,5.89,8.816,4.16,0.431,5.392,0,2,1.154,0.154,0.0,4.476,15.676,0.587,5.292,27.837,30.349,4.824,0,16.847,18.006,6.929,11.39,12.602,20.453,22.851,3,0.056,0,2.021,2.026,1.292,2.027,45.205,25.372,8,1.42,0.169
9.959,0.015,6.554,0.0,0.006,17.275,8.019,10.1,4.359,4.359,13.395,4.13,8.838,11.108,12.299,16.083,14.919,7.127,7.127,1.52,3.295,3.295,18.46,20.059,29.795,14.565,5.717,8.494,3.971,0.429,5.401,0,2,1.16,0.16,0.0,4.532,15.703,0.59,5.295,27.837,30.349,5.104,0,16.873,18.032,6.742,11.396,12.603,20.453,22.852,3,0.051,0,2.066,2.043,1.302,2.05,43.112,25.372,8,1.443,0.168
9.523,0.077,6.501,0.0,0.041,17.274,8.0,10.078,4.358,4.358,13.365,4.08,8.796,11.074,12.275,16.081,14.917,7.127,7.127,1.519,3.292,3.292,18.459,20.059,29.795,14.54,6.416,9.282,4.428,0.431,5.392,0,2,1.154,0.154,0.216,4.476,15.676,0.587,5.292,27.837,30.349,5.613,0,16.847,18.006,6.929,11.39,12.602,20.453,22.851,3,0.05,0,2.094,2.033,1.476,2.055,45.205,25.372,8,1.42,0.169
