pXC50,nBO,SCBO,nC,nSK,Sv,MW,RBN,Se,nH
7.328,35,46.0,23,32,35.571,439.51,7,56.025,23
8.0,35,48.0,23,32,34.824,434.49,4,53.032,20
6.699,32,44.0,20,29,30.157,396.38,5,44.716,14
7.538,35,46.0,23,32,35.878,438.53,7,56.8,24
7.721,35,48.0,23,32,34.518,435.47,4,52.258,19
9.222,35,48.0,23,32,34.824,434.49,5,53.032,20
9.046,40,53.0,26,36,39.899,489.58,5,61.901,25
7.027,38,49.0,25,34,38.098,465.55,7,59.909,25
9.155,39,51.0,25,35,38.286,479.53,6,59.352,23
7.481,35,46.0,24,32,36.383,437.54,7,57.581,25
7.699,35,48.0,24,32,35.33,433.5,4,53.814,21
7.367,35,46.0,23,32,35.878,438.53,7,56.8,24
8.638,38,51.0,26,34,36.716,459.48,6,54.265,19
8.237,37,49.0,26,34,37.77,463.52,7,58.032,23
8.004,38,50.0,26,34,37.243,461.5,6,56.149,21
9.237,35,48.0,24,32,33.883,434.42,6,49.607,16
8.481,37,50.0,26,34,37.243,461.5,7,56.149,21
8.046,37,49.0,24,33,34.573,451.43,5,50.894,16
7.004,38,50.0,25,34,36.1,465.46,4,53.778,18
8.886,34,46.0,22,31,31.74,426.37,5,46.236,13
8.638,37,50.5,23,33,33.541,450.4,4,48.229,13
7.495,36,48.0,24,33,35.1,453.45,6,52.778,18
7.77,30,41.0,20,27,27.783,368.33,3,39.698,11
8.328,31,42.0,20,28,28.166,386.32,3,40.211,10
8.056,31,42.0,21,28,29.641,380.37,4,43.396,14
9.237,35,47.0,23,32,33.598,438.41,6,49.934,16
8.796,37,49.0,25,34,36.958,465.49,7,56.476,21
8.796,38,50.0,25,34,36.431,463.47,6,54.592,19
9.481,38,51.5,24,34,35.399,462.44,5,51.927,16
7.745,38,49.5,28,34,40.504,472.68,6,62.483,29
9.222,31,42.0,20,28,28.473,385.34,2,40.985,11
6.824,26,34.5,18,23,25.85,309.37,3,39.331,16
6.328,24,32.5,17,22,24.85,297.36,3,38.331,16
7.699,25,33.5,17,22,24.323,295.34,3,36.447,14
6.456,29,37.5,20,26,29.618,353.43,3,46.425,20
7.097,27,35.5,19,24,27.377,323.4,3,42.214,18
6.921,28,36.5,20,25,28.904,337.43,3,45.098,20
6.4,42,57.5,26,38,40.969,560.04,5,60.938,21
7.684,34,44.5,24,31,36.195,423.56,5,58.138,27
7.224,33,45.5,20,30,32.705,431.51,4,50.334,19
6.648,32,44.5,20,29,32.321,413.52,4,49.822,20
6.547,41,56.5,26,37,40.142,525.6,5,60.614,22
7.379,33,43.5,23,30,34.668,409.53,5,55.254,25
6.526,39,54.5,24,35,37.726,494.57,5,56.436,20
7.128,39,54.5,25,35,38.676,510.03,5,57.029,21
6.116,32,45.5,22,28,30.013,372.4,3,42.734,14
7.506,38,51.5,25,34,37.27,498.39,5,54.134,19
7.157,36,49.5,25,32,35.615,429.51,5,53.487,21
7.638,38,51.5,26,34,38.413,494.43,5,56.505,22
7.119,29,37.5,21,26,30.43,351.46,3,47.981,22
6.347,23,31.5,18,21,25.279,277.4,3,39.374,19
5.699,29,37.5,20,26,29.618,353.43,3,46.425,20
6.347,29,37.5,20,26,30.091,369.5,3,46.174,20
7.046,29,37.5,20,26,29.925,352.45,3,47.2,21
6.886,29,37.5,21,26,30.43,351.46,3,47.981,22
6.678,31,42.5,18,28,28.407,383.37,3,41.785,12
5.678,31,42.5,19,28,27.968,386.33,3,40.203,10
6.097,20,28.5,14,18,19.72,256.32,2,27.327,9
5.886,20,28.5,13,18,19.049,240.26,2,27.571,9
6.328,34,45.5,20,31,31.206,432.39,3,46.476,13
8.398,31,42.5,20,28,29.418,381.39,3,43.349,14
5.0,31,42.5,18,28,27.131,389.31,3,38.607,8
8.398,31,42.5,19,28,28.274,385.35,3,40.978,11
6.398,31,42.5,19,28,28.606,383.36,3,41.792,12
9.638,42,54.0,30,38,45.153,513.7,8,72.745,35
8.046,39,50.5,28,35,40.747,472.61,6,64.061,29
7.658,35,49.0,24,31,34.143,447.34,3,47.567,16
8.097,35,48.0,24,31,33.781,416.46,3,49.829,18
5.0,36,44.5,24,32,37.241,437.57,5,60.28,28
6.004,25,36.0,16,22,23.709,288.34,2,34.262,12
7.658,37,53.0,27,32,35.683,418.5,4,50.989,19
8.097,35,49.0,24,31,34.837,407.52,5,51.898,21
6.155,31,43.0,21,28,30.061,397.83,4,43.167,14
6.569,36,50.0,23,32,34.271,502.19,3,45.331,12
6.824,30,40.0,21,27,30.648,398.31,4,44.349,17
4.292,38,48.0,28,35,40.856,480.6,8,65.465,30
7.0,34,46.0,20,31,33.393,517.23,4,45.844,13
6.0,38,52.0,24,34,35.293,501.31,3,49.105,13
4.721,32,44.0,23,30,33.114,425.89,4,48.934,18
7.658,36,50.0,23,32,33.383,469.29,3,45.709,12
5.097,31,43.0,20,28,29.555,398.82,4,42.385,13
8.097,38,46.5,25,34,39.127,470.6,5,63.636,29
9.0,35,49.0,25,31,35.343,406.53,5,52.68,22
5.222,32,44.0,24,30,33.62,424.9,4,49.716,19
7.119,35,49.0,23,31,33.0,451.3,3,45.196,13
4.928,21,28.0,14,19,21.047,293.16,1,29.596,10
8.097,36,49.0,23,32,33.91,471.31,3,47.593,14
4.678,32,44.0,21,29,30.969,394.41,5,46.272,16
10.131,42,56.5,30,38,44.406,508.68,8,69.752,32
7.921,43,55.0,31,39,46.987,526.75,8,76.403,38
7.194,46,59.0,32,42,49.416,570.76,9,80.058,38
8.004,46,59.0,32,42,49.416,570.76,9,80.058,38
7.959,36,48.0,27,33,39.364,442.61,6,62.549,30
9.284,43,58.0,32,39,45.912,519.7,8,71.534,33
9.796,43,55.0,30,39,46.175,528.72,8,74.847,36
9.638,43,55.0,30,39,46.175,528.72,8,74.847,36
8.721,46,58.0,33,41,49.207,553.77,8,79.512,39
7.34,39,54.5,25,35,38.231,493.58,5,57.218,21
8.155,35,48.0,23,32,34.518,435.47,4,52.258,19
7.921,35,48.0,23,32,34.824,434.49,4,53.032,20
8.301,38,50.0,25,34,37.571,463.53,6,58.025,23
7.678,35,46.0,23,32,35.571,439.51,7,56.025,23
7.854,40,51.0,26,36,40.953,493.62,8,65.669,29
7.178,31,41.5,23,28,33.902,373.55,5,54.229,27
6.9,38,51.5,27,34,38.668,457.57,5,59.254,25
7.561,40,55.5,25,36,39.503,544.47,5,57.353,20
6.425,38,53.5,25,34,38.292,492.04,5,56.516,22
7.582,36,48.5,23,33,37.285,473.6,5,58.985,25
7.409,37,50.5,26,33,37.586,459.99,5,56.181,23
7.465,33,43.5,24,30,35.812,405.57,5,57.625,28
8.301,35,43.5,24,31,36.833,420.59,5,59.727,29
4.854,31,39.0,22,28,33.003,379.5,4,53.007,25
4.0,31,42.5,19,28,27.33,389.3,3,38.614,8
4.854,33,45.0,25,31,35.034,420.49,5,53.603,22
7.638,42,51.0,30,38,46.734,519.76,8,78.396,41
7.854,43,55.0,32,39,47.492,525.76,8,77.185,39
7.237,37,48.0,25,33,37.383,449.55,7,58.581,25
7.189,36,49.5,25,32,36.503,462.41,5,53.109,21
7.432,35,49.0,24,31,34.837,407.52,5,51.898,21
7.377,36,49.0,23,32,34.354,487.76,3,47.404,14
7.206,37,52.5,24,33,36.959,458.59,5,55.411,22
7.456,37,50.5,25,33,36.636,444.53,5,55.589,22
7.106,37,50.5,26,33,37.142,443.54,5,56.37,23
6.0,20,28.5,14,18,19.555,239.27,2,28.353,10
7.046,31,42.5,19,28,27.636,388.32,3,39.389,9
7.796,31,42.5,19,28,28.912,382.38,3,42.567,13
6.854,31,42.5,19,28,29.078,399.43,3,41.542,12
8.301,34,47.5,21,30,31.244,404.41,3,45.382,14
6.174,29,40.0,17,26,26.717,354.35,3,39.498,12
6.097,20,28.5,15,18,20.06,238.28,2,29.134,11
8.585,37,47.0,24,33,36.49,489.38,3,54.243,20
