pXC50,SpMax2_Bh.p.,JGI3,SpMax3_Bh.i.,SpMax2_Bh.v.,SpMax3_Bh.e.,SpMax3_Bh.p.,SpMax3_Bh.v.,SpMax3_Bh.m.,GGI3,RBF,RBN,SpMin2_Bh.i.,IDE,NNRS,RCI,RFD,SpMaxA_AEA.ri.,X3A,HVcpx,SpMax2_Bh.m.,PW4,SpMin2_Bh.e.,Vindex,Yindex,PHI,S2K,AECC,SpMAD_AEA.ed.,SM04_EA.ed.,SpDiam_AEA.ri.,SpMaxA_AEA.ed.,SpMaxA_EA.ed.,SpMaxA_EA.ri.,X4A,X5A,MSD,PW5,NRS,S3K,SpMaxA_EA,SpMax2_Bh.e.,D.Dtr06,BIC4,BIC5,Eig01_AEA.ed.,MATS2v,MWC08,MWC09,MWC10,nCIR,Rbrid,SM03_EA.ed.,SM05_EA.ed.,SM07_EA,SM08_AEA.ed.,SM08_EA,SM09_AEA.ed.,SM09_EA,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.
8.456,3.838,0.018,3.856,3.834,3.809,3.696,3.688,3.695,0.563,0.132,7,1.877,3.824,1.0,1.0,0.0,0.142,0.203,3.663,3.84,0.161,1.9,0.175,0.442,6.418,8.978,13.042,1.448,9.696,4.74,0.216,0.3,0.101,0.133,0.088,7.474,0.089,3,5.435,0.105,3.908,269.997,0.808,0.808,5.617,-0.006,9.669,10.486,11.309,3,0,6.698,11.028,7.781,15.036,9.109,16.707,9.785,18.384,10.955,20.066
8.699,3.836,0.019,3.856,3.833,3.809,3.696,3.688,3.695,0.563,0.122,6,1.872,3.748,1.0,1.0,0.0,0.148,0.203,3.587,3.842,0.157,1.897,0.18,0.457,5.789,8.235,12.304,1.447,9.635,4.737,0.225,0.312,0.105,0.133,0.089,7.142,0.091,3,5.159,0.109,3.907,255.329,0.806,0.806,5.617,-0.064,9.625,10.439,11.261,3,0,6.629,10.936,7.733,14.97,9.062,16.635,9.73,18.307,10.902,19.983
7.398,3.853,0.032,3.893,3.853,3.844,3.719,3.717,3.747,1.25,0.145,8,1.888,3.975,1.0,1.0,0.0,0.129,0.202,3.801,3.873,0.154,1.91,0.171,0.431,7.059,9.708,14.5,1.505,10.134,4.908,0.202,0.291,0.097,0.13,0.085,8.275,0.087,3,6.065,0.095,3.926,332.558,0.813,0.819,6.06,-0.076,9.916,10.745,11.581,3,0,7.14,11.621,8.288,15.588,9.538,17.322,10.351,19.065,11.486,20.817
7.432,3.838,0.029,3.844,3.834,3.794,3.68,3.673,3.683,0.938,0.106,5,1.875,3.416,1.0,1.0,0.0,0.157,0.194,3.31,3.84,0.169,1.899,0.224,0.62,5.197,7.522,9.957,1.486,10.034,4.967,0.249,0.375,0.117,0.126,0.083,5.823,0.097,3,4.266,0.118,3.903,227.575,0.846,0.846,6.228,-0.093,9.792,10.636,11.485,3,0,6.969,11.593,8.116,15.47,9.401,17.231,10.237,19.002,11.399,20.782
7.276,3.837,0.027,3.85,3.825,3.799,3.684,3.667,3.732,0.778,0.122,6,1.797,3.625,1.0,1.0,0.0,0.174,0.192,3.408,3.846,0.135,1.852,0.192,0.493,4.863,6.695,11.045,1.494,10.473,5.253,0.296,0.486,0.118,0.125,0.081,6.648,0.074,3,5.069,0.138,3.956,161.875,0.785,0.785,7.111,-0.069,9.833,10.671,11.529,3,0,7.6,12.459,8.796,16.082,10.033,17.96,11.082,19.855,12.271,21.764
8.0,3.853,0.028,3.843,3.841,3.797,3.701,3.686,3.717,0.938,0.113,6,1.884,3.715,1.0,1.0,0.0,0.148,0.198,3.567,3.864,0.165,1.911,0.192,0.498,6.361,8.706,12.167,1.48,9.933,4.876,0.233,0.336,0.108,0.13,0.084,6.945,0.091,3,5.103,0.11,3.905,266.04,0.815,0.815,6.06,-0.046,9.778,10.61,11.45,3,0,6.917,11.383,8.038,15.336,9.323,17.056,10.1,18.785,11.253,20.522
8.699,3.817,0.027,3.846,3.819,3.797,3.684,3.673,3.719,0.75,0.109,5,1.783,3.593,1.0,1.0,0.0,0.202,0.19,3.403,3.863,0.138,1.831,0.198,0.513,4.706,6.273,10.955,1.579,11.441,5.91,0.353,0.685,0.149,0.123,0.08,6.496,0.078,3,4.151,0.165,3.906,161.341,0.807,0.807,8.462,0.043,10.15,11.062,11.982,3,0,8.367,13.996,9.724,17.199,11.099,19.293,12.417,21.403,13.783,23.521
8.155,3.848,0.021,3.871,3.842,3.821,3.706,3.699,3.713,0.688,0.115,6,1.887,3.737,1.0,1.0,0.0,0.148,0.201,3.571,3.84,0.158,1.915,0.187,0.481,6.005,8.412,12.208,1.477,9.87,4.871,0.233,0.335,0.107,0.131,0.086,7.085,0.09,3,5.149,0.11,3.911,269.13,0.82,0.82,6.058,-0.093,9.737,10.563,11.395,3,0,6.862,11.299,7.991,15.28,9.278,16.995,10.038,18.719,11.192,20.451
7.959,3.854,0.024,3.892,3.847,3.843,3.719,3.716,3.74,0.813,0.138,8,1.894,3.916,1.0,1.0,0.0,0.137,0.203,3.733,3.839,0.157,1.924,0.171,0.432,7.223,9.848,13.731,1.463,9.879,4.873,0.216,0.312,0.1,0.133,0.089,7.959,0.088,3,6.209,0.102,3.915,304.002,0.831,0.831,6.06,-0.104,9.76,10.581,11.407,3,0,6.862,11.299,7.991,15.286,9.291,16.998,10.036,18.721,11.196,20.452
8.699,3.848,0.018,3.844,3.84,3.799,3.661,3.66,3.687,0.5,0.135,7,1.889,3.774,1.0,1.0,0.0,0.147,0.204,3.603,3.831,0.161,1.921,0.175,0.441,6.249,8.855,12.391,1.427,9.53,4.728,0.225,0.312,0.104,0.136,0.092,7.297,0.089,3,5.491,0.109,3.909,258.402,0.786,0.806,5.616,-0.101,9.558,10.366,11.181,3,0,6.475,10.824,7.567,14.847,8.953,16.513,9.574,18.187,10.779,19.867
8.155,3.852,0.025,3.884,3.845,3.835,3.714,3.71,3.732,0.813,0.127,7,1.892,3.827,1.0,1.0,0.0,0.142,0.202,3.653,3.838,0.158,1.921,0.179,0.457,6.605,9.123,12.96,1.466,9.875,4.873,0.224,0.323,0.103,0.133,0.088,7.503,0.088,3,5.658,0.106,3.913,286.581,0.826,0.826,6.06,-0.099,9.747,10.57,11.399,3,0,6.862,11.299,7.991,15.283,9.284,16.996,10.036,18.719,11.193,20.451
7.009,3.821,0.02,3.841,3.812,3.784,3.669,3.656,3.647,0.528,0.12,6,1.789,3.596,1.0,1.0,0.0,0.164,0.196,3.417,3.816,0.141,1.845,0.193,0.496,4.941,6.909,10.905,1.496,9.867,4.83,0.258,0.358,0.118,0.127,0.083,6.468,0.078,3,4.805,0.122,3.914,152.633,0.805,0.805,5.929,-0.085,9.698,10.533,11.374,3,0,6.974,11.365,8.107,15.302,9.331,17.016,10.146,18.737,11.264,20.463
7.77,3.814,0.04,3.834,3.806,3.778,3.667,3.655,3.647,1.028,0.114,5,1.779,3.344,1.0,1.0,0.0,0.176,0.192,3.219,3.814,0.151,1.83,0.223,0.605,4.164,6.052,9.3,1.5,9.913,4.917,0.276,0.398,0.132,0.125,0.081,5.51,0.084,3,4.141,0.131,3.909,139.352,0.838,0.838,6.061,-0.115,9.713,10.553,11.408,3,0,6.969,11.419,8.128,15.326,9.353,17.054,10.196,18.79,11.321,20.533
8.523,3.841,0.03,3.85,3.841,3.802,3.691,3.683,3.697,1.0,0.106,5,1.877,3.709,1.0,1.0,0.0,0.149,0.199,3.558,3.861,0.157,1.901,0.192,0.498,5.373,7.679,12.125,1.504,9.965,4.908,0.233,0.335,0.111,0.126,0.084,6.934,0.094,3,4.725,0.11,3.914,265.497,0.792,0.8,6.058,-0.066,9.806,10.64,11.48,3,0,6.969,11.389,8.112,15.371,9.37,17.084,10.158,18.806,11.298,20.536
7.854,3.841,0.038,3.845,3.837,3.797,3.688,3.68,3.687,1.188,0.106,5,1.879,3.534,1.0,1.0,0.0,0.155,0.196,3.41,3.843,0.165,1.904,0.209,0.56,5.197,7.522,10.696,1.48,9.906,4.914,0.242,0.35,0.116,0.129,0.084,6.221,0.093,3,4.494,0.115,3.908,238.629,0.846,0.846,6.061,-0.077,9.75,10.579,11.425,3,0,6.862,11.339,8.01,15.297,9.296,17.019,10.08,18.75,11.236,20.489
8.097,3.853,0.028,3.843,3.842,3.797,3.7,3.686,3.724,0.938,0.118,6,1.884,3.715,1.0,1.0,0.0,0.149,0.198,3.567,3.864,0.165,1.909,0.192,0.498,6.115,8.504,12.167,1.48,9.933,4.91,0.233,0.336,0.111,0.13,0.084,6.945,0.091,3,4.961,0.11,3.906,266.04,0.803,0.803,6.06,-0.035,9.778,10.61,11.45,3,0,6.917,11.383,8.038,15.336,9.323,17.056,10.1,18.785,11.253,20.522
8.046,3.861,0.031,3.88,3.861,3.83,3.709,3.704,3.726,1.25,0.113,6,1.896,3.954,1.0,1.0,0.0,0.139,0.196,3.724,3.883,0.147,1.919,0.174,0.44,6.517,8.88,13.929,1.51,10.62,5.206,0.237,0.389,0.097,0.127,0.082,8.193,0.083,3,5.906,0.11,3.932,327.082,0.805,0.805,7.111,-0.06,10.018,10.852,11.706,3,0,7.695,12.546,8.889,16.219,10.136,18.084,11.164,19.968,12.352,21.865
8.097,3.811,0.017,3.85,3.814,3.802,3.687,3.68,3.694,0.5,0.109,5,1.847,3.715,1.0,1.0,0.0,0.148,0.202,3.562,3.843,0.152,1.87,0.186,0.478,5.372,7.673,12.13,1.48,9.731,4.762,0.225,0.313,0.106,0.128,0.087,6.968,0.094,3,4.852,0.11,3.896,251.827,0.79,0.798,5.631,-0.071,9.691,10.515,11.344,3,0,6.763,11.037,7.876,15.08,9.161,16.744,9.866,18.414,11.015,20.089
7.456,3.817,0.011,3.838,3.809,3.782,3.668,3.655,3.645,0.278,0.128,6,1.787,3.549,1.0,1.0,0.0,0.171,0.199,3.4,3.812,0.146,1.842,0.197,0.506,4.713,6.705,10.75,1.467,9.701,4.814,0.258,0.362,0.123,0.128,0.084,6.226,0.082,3,4.571,0.127,3.906,143.391,0.8,0.8,5.676,-0.106,9.617,10.451,11.287,3,0,6.823,11.136,7.928,15.071,9.171,16.754,9.941,18.441,11.066,20.132
8.398,3.839,0.01,3.884,3.835,3.835,3.714,3.708,3.723,0.313,0.135,7,1.874,3.837,1.0,1.0,0.0,0.14,0.206,3.663,3.84,0.153,1.899,0.172,0.433,6.395,8.959,13.042,1.443,9.615,4.693,0.212,0.286,0.1,0.135,0.09,7.578,0.088,3,5.716,0.103,3.907,272.922,0.813,0.813,5.511,-0.073,9.624,10.434,11.247,3,0,6.629,10.907,7.721,14.96,9.054,16.618,9.699,18.283,10.873,19.952
8.301,3.811,0.016,3.849,3.812,3.795,3.679,3.668,3.667,0.375,0.109,5,1.78,3.539,1.0,1.0,0.0,0.182,0.199,3.397,3.832,0.139,1.829,0.198,0.511,4.376,6.236,10.7,1.473,9.947,5.069,0.285,0.431,0.136,0.125,0.084,6.195,0.083,3,4.286,0.137,3.902,142.971,0.815,0.815,6.277,-0.086,9.709,10.557,11.408,3,0,7.066,11.604,8.252,15.389,9.481,17.14,10.38,18.901,11.52,20.671
8.523,3.813,0.015,3.846,3.814,3.798,3.687,3.679,3.684,0.438,0.12,6,1.854,3.727,1.0,1.0,0.0,0.148,0.202,3.574,3.831,0.161,1.874,0.185,0.474,5.811,8.254,12.217,1.456,9.691,4.75,0.225,0.312,0.105,0.132,0.087,7.006,0.091,3,4.899,0.109,3.894,252.37,0.787,0.801,5.62,-0.018,9.659,10.481,11.307,3,0,6.698,11.028,7.781,15.033,9.102,16.705,9.787,18.383,10.954,20.066
6.836,3.817,0.03,3.838,3.808,3.781,3.672,3.66,3.649,0.778,0.109,5,1.783,3.447,1.0,1.0,0.0,0.176,0.194,3.306,3.812,0.147,1.836,0.211,0.56,4.183,6.069,10.0,1.502,9.894,4.91,0.275,0.396,0.132,0.125,0.082,5.835,0.084,3,4.154,0.13,3.912,142.769,0.79,0.79,6.058,-0.097,9.699,10.54,11.389,3,0,6.969,11.401,8.12,15.317,9.342,17.042,10.179,18.775,11.301,20.515
6.81,3.822,0.027,3.867,3.81,3.812,3.695,3.686,3.688,0.722,0.122,6,1.784,3.553,1.0,1.0,0.0,0.167,0.198,3.39,3.806,0.142,1.835,0.201,0.526,4.92,6.892,10.714,1.492,9.879,4.871,0.263,0.379,0.121,0.127,0.083,6.245,0.081,3,4.791,0.124,3.913,153.012,0.759,0.79,6.058,-0.133,9.698,10.533,11.374,3,0,6.969,11.383,8.112,15.31,9.335,17.031,10.157,18.76,11.276,20.496
7.509,3.867,0.026,3.868,3.861,3.823,3.723,3.713,3.711,1.0,0.089,5,1.895,3.75,0.75,1.091,0.091,0.137,0.189,3.593,3.863,0.176,1.932,0.164,0.427,5.333,8.03,12.346,1.484,10.225,5.013,0.216,0.325,0.102,0.123,0.081,7.16,0.1,3,4.345,0.103,3.949,327.932,0.834,0.846,6.255,-0.062,10.013,10.867,11.724,5,1,7.154,11.762,8.295,15.637,9.592,17.392,10.425,19.156,11.595,20.928
8.301,3.822,0.009,3.866,3.806,3.812,3.695,3.684,3.695,0.222,0.13,6,1.784,3.565,1.0,1.0,0.0,0.168,0.202,3.402,3.81,0.136,1.834,0.194,0.498,5.008,6.953,10.75,1.459,9.62,4.797,0.252,0.343,0.121,0.129,0.086,6.303,0.08,3,5.074,0.124,3.89,144.393,0.772,0.794,5.551,-0.12,9.569,10.394,11.221,3,0,6.763,11.028,7.876,14.997,9.118,16.669,9.864,18.345,10.986,20.025
7.553,3.832,0.041,3.867,3.817,3.812,3.702,3.692,3.732,1.222,0.125,6,1.784,3.536,1.0,1.0,0.0,0.177,0.192,3.358,3.815,0.142,1.836,0.209,0.557,4.843,6.679,10.682,1.519,10.621,5.358,0.304,0.521,0.121,0.124,0.08,6.184,0.079,3,4.786,0.141,3.935,161.631,0.769,0.79,7.308,-0.108,9.885,10.733,11.605,3,0,7.687,12.711,8.868,16.219,10.121,18.132,11.206,20.062,12.418,22.007
7.301,3.833,0.023,3.847,3.824,3.79,3.673,3.66,3.652,0.715,0.102,5,1.794,3.501,0.75,1.105,0.105,0.16,0.184,3.323,3.831,0.17,1.852,0.179,0.475,4.093,6.355,10.273,1.486,10.196,5.069,0.26,0.408,0.118,0.12,0.08,6.123,0.093,3,3.676,0.121,3.952,181.441,0.829,0.829,6.506,-0.089,9.924,10.784,11.647,5,1,7.182,11.869,8.309,15.622,9.581,17.404,10.467,19.199,11.631,21.004
7.854,3.828,0.027,3.846,3.818,3.789,3.672,3.66,3.651,0.778,0.109,6,1.794,3.625,1.0,1.0,0.0,0.18,0.192,3.408,3.821,0.135,1.851,0.192,0.493,4.892,6.72,11.045,1.494,10.473,5.375,0.296,0.486,0.138,0.125,0.081,6.648,0.074,3,5.089,0.138,3.929,161.875,0.735,0.735,7.111,0.019,9.833,10.671,11.529,3,0,7.6,12.459,8.796,16.082,10.033,17.96,11.082,19.855,12.271,21.764
7.699,3.864,0.02,3.864,3.858,3.82,3.716,3.709,3.714,0.75,0.117,7,1.894,4.009,1.0,1.0,0.0,0.125,0.196,3.827,3.86,0.169,1.93,0.14,0.349,6.543,9.68,14.714,1.451,10.04,4.921,0.198,0.292,0.093,0.129,0.086,8.504,0.094,4,5.548,0.093,3.943,426.529,0.806,0.811,6.143,-0.058,9.931,10.762,11.598,4,0,6.986,11.512,8.086,15.42,9.423,17.144,10.163,18.879,11.345,20.624
8.699,3.836,0.028,3.852,3.836,3.803,3.691,3.683,3.691,0.938,0.102,5,1.873,3.806,1.0,1.0,0.0,0.154,0.196,3.585,3.85,0.15,1.894,0.181,0.46,5.775,8.032,12.52,1.469,10.469,5.227,0.263,0.432,0.106,0.129,0.084,7.456,0.083,3,5.321,0.123,3.912,281.494,0.796,0.796,7.111,-0.068,9.866,10.695,11.545,3,0,7.545,12.431,8.737,16.068,10.005,17.945,11.036,19.841,12.239,21.751
7.959,3.822,0.028,3.839,3.813,3.784,3.677,3.665,3.655,0.778,0.111,5,1.788,3.531,1.0,1.0,0.0,0.169,0.195,3.39,3.817,0.151,1.841,0.205,0.54,4.365,6.413,10.667,1.499,9.941,4.915,0.263,0.38,0.126,0.126,0.081,6.147,0.082,3,4.158,0.125,3.917,152.01,0.784,0.784,6.06,-0.098,9.741,10.585,11.433,3,0,7.018,11.46,8.153,15.364,9.378,17.091,10.214,18.824,11.337,20.564
8.523,3.855,0.038,3.862,3.856,3.813,3.696,3.69,3.71,1.5,0.1,5,1.89,3.865,1.0,1.0,0.0,0.144,0.193,3.648,3.88,0.15,1.912,0.182,0.468,5.967,8.23,13.148,1.52,10.627,5.206,0.245,0.402,0.1,0.125,0.081,7.72,0.084,3,5.401,0.114,3.927,308.938,0.798,0.798,7.111,-0.052,10.019,10.858,11.718,3,0,7.695,12.552,8.893,16.221,10.139,18.088,11.171,19.972,12.359,21.87
8.301,3.75,0.014,3.837,3.756,3.785,3.669,3.664,3.676,0.375,0.111,5,1.799,3.567,1.0,1.0,0.0,0.161,0.202,3.415,3.799,0.162,1.838,0.195,0.506,4.984,7.348,10.762,1.439,9.517,4.741,0.244,0.339,0.114,0.133,0.089,6.375,0.091,3,4.384,0.119,3.864,223.692,0.825,0.825,5.619,-0.08,9.53,10.345,11.167,3,0,6.475,10.824,7.567,14.838,8.936,16.507,9.577,18.184,10.773,19.866
7.081,3.833,0.016,3.855,3.824,3.806,3.696,3.693,3.712,0.528,0.111,6,1.802,3.829,1.0,1.0,0.0,0.139,0.192,3.655,3.831,0.153,1.856,0.154,0.39,5.144,7.677,13.04,1.488,10.112,4.944,0.22,0.324,0.102,0.123,0.081,7.49,0.089,4,4.901,0.103,3.945,275.372,0.794,0.794,6.148,-0.093,9.953,10.8,11.649,4,0,7.168,11.634,8.288,15.515,9.54,17.241,10.352,18.975,11.491,20.717
6.757,3.739,0.01,3.826,3.745,3.768,3.651,3.642,3.637,0.215,0.119,5,1.743,3.375,1.0,1.0,0.0,0.188,0.198,3.224,3.783,0.146,1.786,0.209,0.547,3.916,5.812,9.333,1.446,9.529,4.808,0.284,0.398,0.135,0.13,0.087,5.602,0.081,3,4.06,0.139,3.862,125.313,0.778,0.778,5.676,-0.133,9.483,10.311,11.144,3,0,6.629,10.955,7.745,14.884,9.016,16.566,9.763,18.254,10.906,19.946
8.155,3.8,0.01,3.832,3.793,3.776,3.665,3.652,3.64,0.215,0.116,5,1.781,3.375,1.0,1.0,0.0,0.188,0.198,3.224,3.795,0.146,1.833,0.209,0.547,3.966,5.856,9.333,1.446,9.529,4.808,0.284,0.398,0.135,0.13,0.087,5.602,0.081,3,4.095,0.139,3.884,125.313,0.784,0.784,5.676,-0.145,9.483,10.311,11.144,3,0,6.629,10.955,7.745,14.884,9.016,16.566,9.763,18.254,10.906,19.946
8.301,3.858,0.028,3.816,3.828,3.779,3.695,3.673,3.698,0.715,0.109,5,1.8,3.497,1.0,1.0,0.0,0.165,0.196,3.335,3.865,0.169,1.843,0.205,0.54,5.178,7.302,10.143,1.459,9.795,4.85,0.263,0.379,0.117,0.13,0.085,6.117,0.084,3,4.224,0.124,3.884,148.562,0.832,0.832,6.055,-0.069,9.644,10.475,11.312,3,0,6.742,11.254,7.907,15.195,9.189,16.922,9.979,18.659,11.129,20.403
8.301,3.835,0.016,3.849,3.826,3.793,3.675,3.663,3.656,0.465,0.1,5,1.797,3.584,0.75,1.105,0.105,0.157,0.187,3.424,3.833,0.162,1.854,0.171,0.443,4.137,6.395,10.909,1.479,10.054,4.979,0.247,0.369,0.116,0.121,0.08,6.413,0.092,3,3.893,0.117,3.954,190.314,0.812,0.826,6.183,-0.087,9.884,10.737,11.593,5,1,7.081,11.597,8.211,15.448,9.477,17.184,10.311,18.93,11.462,20.683
8.301,3.856,0.022,3.87,3.851,3.823,3.707,3.701,3.735,0.75,0.12,6,1.887,3.804,1.0,1.0,0.0,0.143,0.201,3.643,3.9,0.153,1.91,0.182,0.467,6.226,8.599,12.92,1.497,9.951,4.906,0.224,0.323,0.107,0.128,0.085,7.391,0.091,3,5.387,0.106,3.915,283.287,0.807,0.807,6.058,-0.057,9.805,10.634,11.468,3,0,6.969,11.37,8.103,15.364,9.364,17.073,10.138,18.792,11.278,20.518
7.301,3.633,0.051,3.693,3.628,3.641,3.537,3.521,3.501,2.0,0.08,4,1.695,3.157,0.333,1.385,0.462,0.202,0.171,3.033,3.65,0.19,1.745,0.279,0.825,3.937,5.585,8.762,1.618,11.222,5.69,0.343,0.641,0.158,0.102,0.065,4.873,0.115,1,2.449,0.159,3.752,122.941,0.885,0.885,7.9,0.076,10.278,11.216,12.159,6,3,8.071,13.501,9.238,16.836,10.557,18.837,11.763,20.852,13.053,22.879
6.699,3.627,0.051,3.666,3.625,3.616,3.52,3.506,3.489,2.0,0.063,3,1.686,3.157,0.333,1.385,0.462,0.202,0.171,3.033,3.648,0.19,1.732,0.279,0.825,3.818,5.48,8.762,1.618,11.222,5.69,0.343,0.641,0.158,0.102,0.065,4.873,0.115,1,2.392,0.159,3.744,122.941,0.883,0.883,7.9,0.078,10.278,11.216,12.159,6,3,8.071,13.501,9.238,16.836,10.557,18.837,11.763,20.852,13.053,22.879
7.658,3.646,0.05,3.718,3.638,3.669,3.563,3.55,3.534,2.0,0.094,5,1.709,3.292,0.333,1.385,0.462,0.194,0.172,3.153,3.653,0.186,1.764,0.262,0.753,4.426,6.175,9.636,1.603,11.223,5.69,0.329,0.614,0.152,0.103,0.066,5.29,0.111,1,2.781,0.152,3.764,133.176,0.887,0.887,7.9,0.059,10.287,11.223,12.165,6,3,8.071,13.501,9.238,16.837,10.559,18.837,11.763,20.852,13.053,22.879
