pXC50,N.,nN,nS,Sv,nHM,MW,Se,Sp,nCsp2,Si,nAT,nCsp3,C.,nBT,nAB,nSK,SCBO,nBO,AMW,H.,Me,Mi,Mp,Mv,nB,nBM,nBR,nC
7.123,3.9,2,1,33.899,2,448.96,52.076,35.404,14,57.06,51,7,41.2,54,17,30,41.5,33,8.803,41.2,1.021,1.119,0.694,0.665,0,17,0,21
6.775,3.7,2,1,35.426,2,462.99,54.96,37.165,14,60.475,54,8,40.7,57,17,31,42.5,34,8.574,42.6,1.018,1.12,0.688,0.656,0,17,0,22
6.0,0.0,0,0,35.191,0,402.53,59.218,37.148,12,66.484,59,11,39.0,61,12,29,37.0,31,6.823,50.8,1.004,1.127,0.63,0.596,0,12,0,23
5.0,0.0,0,0,32.234,0,356.5,53.68,34.478,12,60.65,54,10,40.7,56,12,26,34.0,28,6.602,51.9,0.994,1.123,0.638,0.597,0,12,0,22
6.455,3.4,2,0,37.481,1,472.96,59.094,38.733,16,65.179,58,8,41.4,61,18,33,45.0,36,8.154,43.1,1.019,1.124,0.668,0.646,0,18,0,24
7.188,5.7,3,0,34.734,1,443.92,54.102,35.762,15,59.638,53,7,41.5,56,18,31,43.0,34,8.376,41.5,1.021,1.125,0.675,0.655,0,18,0,22
5.767,5.7,3,0,34.449,1,447.91,54.429,35.216,13,59.847,53,8,39.6,56,17,31,42.5,34,8.451,41.5,1.027,1.129,0.664,0.65,0,17,0,21
7.15,3.7,2,0,33.481,1,424.92,55.094,34.733,10,61.179,54,10,37.0,56,12,29,37.0,31,7.869,46.3,1.02,1.133,0.643,0.62,0,12,0,20
6.857,0.0,0,0,32.949,0,372.5,55.007,34.932,12,61.86,55,10,40.0,57,12,27,35.0,29,6.773,50.9,1.0,1.125,0.635,0.599,0,12,0,22
6.745,0.0,0,0,32.965,1,408.91,53.774,34.483,12,59.598,53,9,39.6,55,12,28,36.0,30,7.715,47.2,1.015,1.124,0.651,0.622,0,12,0,21
6.091,3.6,2,0,34.293,1,422.95,56.651,36.04,10,63.385,56,11,37.5,58,12,29,37.0,31,7.553,48.2,1.012,1.132,0.644,0.612,0,12,0,21
6.873,3.4,2,0,35.819,1,436.98,59.534,37.801,10,66.8,59,12,37.3,61,12,30,38.0,32,7.406,49.2,1.009,1.132,0.641,0.607,0,12,0,22
6.959,3.7,2,0,33.481,1,424.92,55.094,34.733,10,61.179,54,10,37.0,56,12,29,37.0,31,7.869,46.3,1.02,1.133,0.643,0.62,0,12,0,20
6.963,3.5,2,0,35.007,1,438.95,57.978,36.495,10,64.595,57,11,36.8,59,12,30,38.0,32,7.701,47.4,1.017,1.133,0.64,0.614,0,12,0,21
6.362,3.5,2,0,35.007,1,438.95,57.978,36.495,10,64.595,57,11,36.8,59,12,30,38.0,32,7.701,47.4,1.017,1.133,0.64,0.614,0,12,0,21
7.77,3.3,2,0,36.534,1,452.98,60.862,38.256,10,68.01,60,12,36.7,62,12,31,39.0,33,7.55,48.3,1.014,1.133,0.638,0.609,0,12,0,22
8.62,0.0,0,0,30.723,1,378.88,49.563,32.267,12,54.973,49,8,40.8,51,12,26,34.0,28,7.732,46.9,1.011,1.122,0.659,0.627,0,12,0,20
7.762,3.2,2,0,38.061,1,467.01,63.745,40.017,10,71.425,63,13,36.5,65,12,32,40.0,34,7.413,49.2,1.012,1.134,0.635,0.604,0,12,0,23
6.955,3.3,2,0,37.534,1,464.99,61.862,39.256,10,69.01,61,13,37.7,64,12,32,41.0,35,7.623,47.5,1.014,1.131,0.644,0.615,0,12,0,23
7.873,4.2,2,1,30.899,2,412.93,49.076,32.404,10,54.06,48,8,37.5,50,12,27,35.0,29,8.603,43.8,1.022,1.126,0.675,0.644,0,12,0,18
5.728,3.6,2,1,36.426,2,475.0,55.96,38.165,16,61.475,55,7,41.8,58,18,32,44.0,35,8.636,41.8,1.017,1.118,0.694,0.662,0,18,0,23
5.818,3.9,2,1,32.426,2,426.96,51.96,34.165,10,57.475,51,9,37.3,53,12,28,36.0,30,8.372,45.1,1.019,1.127,0.67,0.636,0,12,0,19
5.0,3.7,2,1,33.953,2,440.99,54.843,35.926,10,60.89,54,10,37.0,56,12,29,37.0,31,8.166,46.3,1.016,1.128,0.665,0.629,0,12,0,20
6.533,4.3,2,0,29.712,1,380.86,48.0,30.756,10,53.14,47,8,38.3,49,12,26,34.0,28,8.103,44.7,1.021,1.131,0.654,0.632,0,12,0,18
5.0,3.8,2,0,34.239,1,430.92,53.883,35.517,14,59.555,53,8,41.5,56,17,30,41.5,33,8.131,43.4,1.017,1.124,0.67,0.646,0,17,0,22
7.11,3.4,2,0,36.722,1,466.96,60.305,37.949,10,66.804,59,12,37.3,62,12,32,41.0,35,7.915,45.8,1.022,1.132,0.643,0.622,0,12,0,22
7.921,0.0,0,0,32.949,0,372.5,55.007,34.932,12,61.86,55,10,40.0,57,12,27,35.0,29,6.773,50.9,1.0,1.125,0.635,0.599,0,12,0,22
7.147,3.9,2,1,32.426,2,426.96,51.96,34.165,10,57.475,51,9,37.3,53,12,28,36.0,30,8.372,45.1,1.019,1.127,0.67,0.636,0,12,0,19
8.18,0.0,0,0,33.137,0,386.48,54.451,34.625,12,60.654,54,10,40.7,57,12,28,37.0,31,7.157,48.1,1.008,1.123,0.641,0.614,0,12,0,22
7.638,0.0,0,0,32.438,1,406.89,51.891,33.722,12,57.183,51,9,41.2,54,12,28,37.0,31,7.978,45.1,1.017,1.121,0.661,0.636,0,12,0,21
7.967,0.0,0,1,37.093,1,450.6,61.622,39.25,12,68.614,61,11,37.7,63,12,31,39.0,33,7.387,49.2,1.01,1.125,0.643,0.608,0,12,0,23
8.821,0.0,0,1,34.964,2,439.01,56.407,37.438,12,62.724,56,10,39.3,58,12,29,37.0,31,7.839,48.2,1.007,1.12,0.669,0.624,0,12,0,22
8.775,0.0,0,1,31.91,2,410.95,50.64,33.915,12,55.893,50,8,40.0,52,12,27,35.0,29,8.219,46.0,1.013,1.118,0.678,0.638,0,12,0,20
8.863,0.0,0,1,31.195,2,394.95,49.313,33.46,12,54.684,49,8,40.8,51,12,26,34.0,28,8.06,46.9,1.006,1.116,0.683,0.637,0,12,0,20
8.75,0.0,0,1,32.722,2,408.98,52.196,35.222,12,58.099,52,9,40.4,54,12,27,35.0,29,7.865,48.1,1.004,1.117,0.677,0.629,0,12,0,21
7.495,0.0,0,0,33.965,1,420.92,54.774,35.483,12,60.598,54,10,40.7,57,12,29,38.0,32,7.795,46.3,1.014,1.122,0.657,0.629,0,12,0,22
8.397,0.0,0,1,34.249,2,423.01,55.08,36.983,12,61.514,55,10,40.0,57,12,28,36.0,30,7.691,49.1,1.001,1.118,0.672,0.623,0,12,0,22
5.292,1.8,1,0,34.256,0,383.53,56.781,36.483,12,64.149,57,11,40.4,60,12,28,37.0,31,6.729,50.9,0.996,1.125,0.64,0.601,0,12,0,23
7.854,0.0,0,1,35.851,1,432.58,58.411,38.034,12,64.989,58,11,39.7,61,12,30,41.0,33,7.458,48.3,1.007,1.121,0.656,0.618,0,14,0,23
8.469,0.0,0,0,33.949,0,384.51,56.007,35.932,12,62.86,56,11,41.1,59,12,28,37.0,31,6.866,50.0,1.0,1.122,0.642,0.606,0,12,0,23
8.752,0.0,0,1,33.437,2,424.98,53.523,35.676,12,59.309,53,9,39.6,55,12,28,36.0,30,8.018,47.2,1.01,1.119,0.673,0.631,0,12,0,21
7.759,0.0,0,1,33.324,1,406.54,54.527,35.273,12,60.574,54,9,38.9,56,12,28,36.0,30,7.529,48.1,1.01,1.122,0.653,0.617,0,12,0,21
7.421,0.0,0,1,34.851,1,420.57,57.411,37.034,12,63.989,57,10,38.6,59,12,29,37.0,31,7.378,49.1,1.007,1.123,0.65,0.611,0,12,0,22
7.873,0.0,0,1,34.851,1,420.57,57.411,37.034,12,63.989,57,10,38.6,59,12,29,37.0,31,7.378,49.1,1.007,1.123,0.65,0.611,0,12,0,22
7.133,0.0,0,1,32.61,1,390.54,53.2,34.818,12,59.365,53,9,39.6,55,12,27,35.0,29,7.369,49.1,1.004,1.12,0.657,0.615,0,12,0,21
6.548,0.0,0,1,33.324,1,406.54,54.527,35.273,12,60.574,54,9,38.9,56,12,28,36.0,30,7.529,48.1,1.01,1.122,0.653,0.617,0,12,0,21
8.64,0.0,0,1,34.136,1,404.57,56.083,36.58,12,62.78,56,10,39.3,58,12,28,36.0,30,7.224,50.0,1.001,1.121,0.653,0.61,0,12,0,22
8.027,0.0,0,1,32.993,1,408.53,53.712,34.756,12,59.704,53,9,39.6,55,12,28,36.0,30,7.708,47.2,1.013,1.126,0.656,0.623,0,12,0,21
7.726,0.0,0,1,35.776,2,437.04,57.963,38.745,12,64.93,58,11,39.7,60,12,29,37.0,31,7.535,50.0,0.999,1.119,0.668,0.617,0,12,0,23
8.936,0.0,0,2,32.383,3,427.02,50.389,35.108,12,55.604,50,8,40.0,52,12,27,35.0,29,8.54,46.0,1.008,1.112,0.702,0.648,0,12,0,20
8.646,0.0,0,1,36.378,1,434.6,60.294,38.796,12,67.404,60,11,38.3,62,12,30,38.0,32,7.243,50.0,1.005,1.123,0.647,0.606,0,12,0,23
8.767,0.0,0,1,35.663,1,418.6,58.967,38.341,12,66.195,59,11,39.0,61,12,29,37.0,31,7.095,50.8,0.999,1.122,0.65,0.604,0,12,0,23
8.572,0.0,0,1,37.19,1,432.63,61.851,40.103,12,69.61,62,12,38.7,64,12,30,38.0,32,6.978,51.6,0.998,1.123,0.647,0.6,0,12,0,24
8.292,0.0,0,0,32.633,1,410.9,52.96,33.966,12,58.728,52,9,40.4,54,12,28,36.0,30,7.902,46.2,1.018,1.129,0.653,0.628,0,12,0,21
7.229,0.0,0,0,33.68,1,424.91,55.102,34.938,12,60.807,54,9,38.9,56,12,29,37.0,31,7.869,46.3,1.02,1.126,0.647,0.624,0,12,0,21
7.276,0.0,0,0,35.476,0,398.54,58.891,37.693,12,66.275,59,12,40.7,62,12,29,38.0,32,6.755,50.8,0.998,1.123,0.639,0.601,0,12,0,24
4.602,0.0,0,0,59.006,0,728.74,88.065,59.636,38,95.156,86,4,48.8,93,36,54,80.0,61,8.474,37.2,1.024,1.106,0.693,0.686,0,37,0,42
4.745,0.0,0,0,58.48,0,726.72,86.182,58.875,38,92.741,84,4,50.0,92,40,54,82.0,62,8.651,35.7,1.026,1.104,0.701,0.696,0,40,0,42
8.523,0.0,0,0,33.234,0,368.51,54.68,35.478,12,61.65,55,11,41.8,58,12,27,36.0,30,6.7,50.9,0.994,1.121,0.645,0.604,0,12,0,23
8.102,0.0,0,0,32.422,0,370.48,53.123,34.171,12,59.445,53,10,41.5,56,12,27,36.0,30,6.99,49.1,1.002,1.122,0.645,0.612,0,12,0,22
8.444,0.0,0,0,39.787,1,481.03,66.636,41.983,12,74.468,66,13,37.9,68,12,33,41.0,35,7.288,50.0,1.01,1.128,0.636,0.603,0,12,0,25
8.796,0.0,0,0,37.928,1,468.99,62.938,39.705,12,70.183,62,12,38.7,64,12,32,40.0,34,7.564,48.4,1.015,1.132,0.64,0.612,0,12,0,24
6.77,0.0,0,0,38.695,1,504.97,63.963,39.58,12,70.863,62,12,38.7,64,12,34,42.0,36,8.145,45.2,1.032,1.143,0.638,0.624,0,12,0,24
8.523,0.0,0,0,38.312,1,486.98,63.451,39.642,12,70.523,62,12,38.7,64,12,33,41.0,35,7.855,46.8,1.023,1.137,0.639,0.618,0,12,0,24
8.0,0.0,0,0,39.455,1,483.02,65.821,41.466,12,73.599,65,13,38.5,67,12,33,41.0,35,7.431,49.2,1.013,1.132,0.638,0.607,0,12,0,25
6.886,0.0,0,0,39.838,1,501.01,66.334,41.404,12,73.938,65,13,38.5,67,12,34,42.0,36,7.708,47.7,1.021,1.138,0.637,0.613,0,12,0,25
6.959,0.0,0,0,39.787,1,481.03,66.636,41.983,12,74.468,66,13,37.9,68,12,33,41.0,35,7.288,50.0,1.01,1.128,0.636,0.603,0,12,0,25
8.222,0.0,0,0,39.26,1,479.01,64.752,41.222,13,72.053,64,12,39.1,66,12,33,42.0,35,7.485,48.4,1.012,1.126,0.644,0.613,0,13,0,25
7.796,0.0,0,0,39.787,1,481.03,66.636,41.983,12,74.468,66,13,37.9,68,12,33,41.0,35,7.288,50.0,1.01,1.128,0.636,0.603,0,12,0,25
9.046,0.0,0,0,38.26,1,467.0,63.752,40.222,12,71.053,63,12,38.1,65,12,32,40.0,34,7.413,49.2,1.012,1.128,0.638,0.607,0,12,0,24
8.174,0.0,0,0,39.545,1,475.02,64.425,41.767,12,71.844,64,12,40.6,66,12,33,43.0,35,7.422,48.4,1.007,1.123,0.653,0.618,0,13,0,26
9.523,0.0,0,0,38.018,1,460.99,61.542,40.006,12,68.428,61,11,41.0,63,12,32,42.0,34,7.557,47.5,1.009,1.122,0.656,0.623,0,13,0,25
7.284,0.0,0,0,38.545,1,463.01,63.425,40.767,14,70.844,63,11,39.7,65,12,32,41.0,34,7.349,49.2,1.007,1.125,0.647,0.612,0,13,0,25
9.046,0.0,0,0,36.018,1,436.97,59.542,38.006,12,66.428,59,11,39.0,61,12,30,38.0,32,7.406,49.2,1.009,1.126,0.644,0.61,0,12,0,23
7.921,0.0,0,0,40.072,1,477.04,66.309,42.529,14,74.259,66,12,39.4,68,12,33,42.0,35,7.228,50.0,1.005,1.125,0.644,0.607,0,13,0,26
8.921,0.0,0,0,38.26,1,467.0,63.752,40.222,12,71.053,63,12,38.1,65,12,32,40.0,34,7.413,49.2,1.012,1.128,0.638,0.607,0,12,0,24
5.337,5.9,3,0,32.762,0,373.49,50.796,34.54,19,57.066,51,4,45.1,54,18,28,41.0,31,7.323,45.1,0.996,1.119,0.677,0.642,0,19,0,23
6.215,4.2,2,0,30.427,1,396.86,49.327,31.21,10,54.349,48,8,37.5,50,12,27,35.0,29,8.268,43.8,1.028,1.132,0.65,0.634,0,12,0,18
5.0,2.4,1,1,26.524,1,337.43,42.767,27.779,9,47.202,42,7,38.1,44,11,23,30.5,25,8.034,45.2,1.018,1.124,0.661,0.632,0,11,0,16
5.334,2.2,1,1,28.051,1,351.46,45.651,29.54,9,50.617,45,8,37.8,47,11,24,31.5,26,7.81,46.7,1.014,1.125,0.656,0.623,0,11,0,17
5.0,2.4,1,1,27.351,2,371.87,43.091,28.636,9,47.146,42,7,38.1,44,11,24,31.5,26,8.854,42.9,1.026,1.123,0.682,0.651,0,11,0,16
5.0,1.9,1,1,32.631,1,393.55,54.302,34.824,9,60.863,54,11,37.0,56,11,27,34.5,29,7.288,50.0,1.006,1.127,0.645,0.604,0,11,0,20
5.0,2.2,1,1,28.051,1,351.46,45.651,29.54,9,50.617,45,8,37.8,47,11,24,31.5,26,7.81,46.7,1.014,1.125,0.656,0.623,0,11,0,17
5.0,2.1,1,1,29.577,1,365.49,48.534,31.301,9,54.033,48,9,37.5,50,11,25,32.5,27,7.614,47.9,1.011,1.126,0.652,0.616,0,11,0,18
5.0,2.0,1,1,31.104,1,379.52,51.418,33.063,9,57.448,51,10,37.3,53,11,26,33.5,28,7.442,49.0,1.008,1.126,0.648,0.61,0,11,0,19
5.0,2.4,1,1,27.549,2,416.32,42.996,29.131,9,47.044,42,7,38.1,44,11,24,31.5,26,9.912,42.9,1.024,1.12,0.694,0.656,0,11,1,16
5.979,2.2,1,1,29.076,2,430.35,45.88,30.892,9,50.459,45,8,37.8,47,11,25,32.5,27,9.563,44.4,1.02,1.121,0.686,0.646,0,11,1,17
6.105,2.1,1,1,30.603,2,444.38,48.763,32.654,9,53.874,48,9,37.5,50,11,26,33.5,28,9.258,45.8,1.016,1.122,0.68,0.638,0,11,1,18
5.627,1.9,1,1,33.656,2,472.44,54.531,36.176,9,60.705,54,11,37.0,56,11,28,35.5,30,8.749,48.1,1.01,1.124,0.67,0.623,0,11,1,20
5.063,2.4,1,1,28.376,3,450.76,43.32,29.989,9,46.988,42,7,38.1,44,11,25,32.5,27,10.732,40.5,1.031,1.119,0.714,0.676,0,11,1,16
6.59,2.2,1,1,28.878,2,385.9,45.974,30.398,9,50.561,45,8,37.8,47,11,25,32.5,27,8.576,44.4,1.022,1.124,0.676,0.642,0,11,0,17
6.917,2.1,1,1,30.405,2,399.93,48.858,32.159,9,53.977,48,9,37.5,50,11,26,33.5,28,8.332,45.8,1.018,1.125,0.67,0.633,0,11,0,18
6.6,1.9,1,1,33.458,2,427.99,54.625,35.682,9,60.807,54,11,37.0,56,11,28,35.5,30,7.926,48.1,1.012,1.126,0.661,0.62,0,11,0,20
6.386,1.9,1,1,34.405,2,447.97,52.858,36.159,15,57.977,52,7,42.3,55,17,30,41.5,33,8.615,42.3,1.017,1.115,0.695,0.662,0,17,0,22
6.036,0.0,0,0,30.325,0,364.43,50.894,31.318,10,56.448,50,9,38.0,52,11,26,33.5,28,7.289,48.0,1.018,1.129,0.626,0.607,0,11,0,19
7.77,0.0,0,1,30.798,1,380.5,50.643,32.512,10,56.159,50,9,38.0,52,11,26,33.5,28,7.61,48.0,1.013,1.123,0.65,0.616,0,11,0,19
8.62,0.0,0,1,29.399,3,421.32,45.524,30.705,10,49.216,44,7,38.6,46,11,26,33.5,28,9.575,40.9,1.035,1.119,0.698,0.668,0,11,0,17
7.495,3.7,2,0,34.954,1,446.92,55.211,35.972,15,60.764,54,7,40.7,57,17,31,42.5,34,8.276,42.6,1.022,1.125,0.666,0.647,0,17,0,22
7.553,1.9,1,0,32.459,1,409.9,52.993,33.727,11,58.681,52,9,38.5,54,12,28,36.0,30,7.883,46.2,1.019,1.128,0.649,0.624,0,12,0,20
8.092,1.8,1,1,36.202,1,461.55,57.258,37.455,15,62.997,56,8,41.1,59,17,32,43.5,35,8.242,42.9,1.022,1.125,0.669,0.646,0,17,0,23
8.658,0.0,0,1,36.708,1,460.56,58.04,38.21,16,63.914,57,8,42.1,60,17,32,43.5,35,8.08,43.9,1.018,1.121,0.67,0.644,0,17,0,24
6.907,3.6,2,0,36.051,1,440.96,56.44,37.824,16,62.761,56,8,42.9,59,18,31,43.0,34,7.874,44.6,1.008,1.121,0.675,0.644,0,18,0,24
5.052,3.4,2,0,35.105,1,420.98,58.207,37.347,10,65.591,58,12,37.9,60,12,29,37.0,31,7.258,50.0,1.004,1.131,0.644,0.605,0,12,0,22
6.924,3.6,2,0,36.434,1,458.95,56.952,37.762,16,63.1,56,8,42.9,59,18,32,44.0,35,8.196,42.9,1.017,1.127,0.674,0.651,0,18,0,24
6.609,3.8,2,0,34.239,1,430.92,53.883,35.517,14,59.555,53,8,41.5,56,17,30,41.5,33,8.131,43.4,1.017,1.124,0.67,0.646,0,17,0,22
6.947,3.8,2,1,34.711,2,446.99,53.633,36.71,14,59.265,53,8,41.5,56,17,30,41.5,33,8.434,43.4,1.012,1.118,0.693,0.655,0,17,0,22
6.724,6.0,3,0,31.734,1,407.89,51.102,32.762,11,56.638,50,8,38.0,52,12,28,37.0,30,8.158,44.0,1.022,1.133,0.655,0.635,0,13,0,19
6.652,7.8,4,1,33.701,2,448.97,52.069,35.199,12,57.432,51,8,39.2,54,17,30,41.5,33,8.803,41.2,1.021,1.126,0.69,0.661,0,17,0,20
7.329,3.8,2,0,32.766,1,408.92,53.767,34.279,10,59.97,53,10,37.7,55,12,28,36.0,30,7.715,47.2,1.014,1.132,0.647,0.618,0,12,0,20
6.35,3.4,2,0,35.819,1,436.98,59.534,37.801,10,66.8,59,12,37.3,61,12,30,38.0,32,7.406,49.2,1.009,1.132,0.641,0.607,0,12,0,22
6.886,2.9,2,0,40.4,1,479.07,68.185,43.086,10,77.046,68,15,36.8,70,12,33,41.0,35,7.045,51.5,1.003,1.133,0.634,0.594,0,12,0,25
7.119,4.0,2,1,31.711,2,410.96,50.633,33.71,10,56.265,50,9,38.0,52,12,27,35.0,29,8.219,46.0,1.013,1.125,0.674,0.634,0,12,0,19
7.133,3.6,2,0,36.051,1,440.96,56.44,37.824,16,62.761,56,8,42.9,59,18,31,43.0,34,7.874,44.6,1.008,1.121,0.675,0.644,0,18,0,24
6.971,3.6,2,0,36.434,1,458.95,56.952,37.762,16,63.1,56,8,42.9,59,18,32,44.0,35,8.196,42.9,1.017,1.127,0.674,0.651,0,18,0,24
7.434,3.8,2,0,34.239,1,430.92,53.883,35.517,14,59.555,53,8,41.5,56,17,30,41.5,33,8.131,43.4,1.017,1.124,0.67,0.646,0,17,0,22
7.462,3.8,2,0,34.239,1,430.92,53.883,35.517,14,59.555,53,8,41.5,56,17,30,41.5,33,8.131,43.4,1.017,1.124,0.67,0.646,0,17,0,22
7.767,3.8,2,1,34.711,2,446.99,53.633,36.71,14,59.265,53,8,41.5,56,17,30,41.5,33,8.434,43.4,1.012,1.118,0.693,0.655,0,17,0,22
7.191,3.8,2,1,34.711,2,446.99,53.633,36.71,14,59.265,53,8,41.5,56,17,30,41.5,33,8.434,43.4,1.012,1.118,0.693,0.655,0,17,0,22
7.971,4.0,2,1,31.711,2,410.96,50.633,33.71,10,56.265,50,9,38.0,52,12,27,35.0,29,8.219,46.0,1.013,1.125,0.674,0.634,0,12,0,19
7.405,3.8,2,1,33.238,2,424.99,53.516,35.472,10,59.681,53,10,37.7,55,12,28,36.0,30,8.019,47.2,1.01,1.126,0.669,0.627,0,12,0,20
4.507,8.1,3,0,24.294,1,301.8,37.142,25.659,13,41.555,37,3,43.2,39,12,21,30.0,23,8.157,43.2,1.004,1.123,0.693,0.657,0,13,0,16
4.46,6.8,3,0,28.708,0,333.42,44.029,30.017,17,49.235,44,3,45.5,47,17,25,37.5,28,7.578,43.2,1.001,1.119,0.682,0.652,0,18,0,20
4.301,8.1,3,0,23.467,0,267.36,36.818,24.801,13,41.611,37,3,43.2,39,12,20,29.0,22,7.226,45.9,0.995,1.125,0.67,0.634,0,13,0,16
4.959,6.8,3,0,29.536,1,367.86,44.353,30.875,17,49.179,44,3,45.5,47,17,26,38.5,29,8.36,40.9,1.008,1.118,0.702,0.671,0,18,0,20
8.154,2.1,1,1,31.878,2,421.93,48.974,33.398,13,53.561,48,7,41.7,51,16,28,39.0,31,8.79,41.7,1.02,1.116,0.696,0.664,0,16,0,20
8.757,2.0,1,1,32.593,2,437.93,50.302,33.852,13,54.771,49,7,40.8,52,16,29,40.0,32,8.937,40.8,1.027,1.118,0.691,0.665,0,16,0,20
7.87,1.9,1,1,34.12,2,451.96,53.185,35.614,13,58.186,52,8,40.4,55,16,30,41.0,33,8.692,42.3,1.023,1.119,0.685,0.656,0,16,0,21
7.623,1.9,1,1,34.12,2,451.96,53.185,35.614,13,58.186,52,8,40.4,55,16,30,41.0,33,8.692,42.3,1.023,1.119,0.685,0.656,0,16,0,21
7.26,1.9,1,1,35.12,2,463.97,54.185,36.614,15,59.186,53,7,41.5,56,16,31,43.0,34,8.754,41.5,1.022,1.117,0.691,0.663,0,17,0,22
7.261,1.9,1,1,35.12,2,463.97,54.185,36.614,15,59.186,53,7,41.5,56,16,31,43.0,34,8.754,41.5,1.022,1.117,0.691,0.663,0,17,0,22
7.682,1.8,1,1,36.646,2,478.0,57.069,38.375,15,62.601,56,8,41.1,59,16,32,44.0,35,8.536,42.9,1.019,1.118,0.685,0.654,0,17,0,23
7.975,2.1,1,1,32.261,2,439.92,49.487,33.335,13,53.901,48,7,41.7,51,16,29,40.0,32,9.165,39.6,1.031,1.123,0.694,0.672,0,16,0,20
8.02,2.1,1,1,32.645,2,457.91,50.0,33.273,13,54.241,48,7,41.7,51,16,30,41.0,33,9.54,37.5,1.042,1.13,0.693,0.68,0,16,0,20
7.629,1.9,1,1,34.12,2,451.96,53.185,35.614,13,58.186,52,8,40.4,55,16,30,41.0,33,8.692,42.3,1.023,1.119,0.685,0.656,0,16,0,21
