pXC50,nAB,SCBO,nBM,Si,O.,nS,nCL,Se,nAT,Mi,nSK,nBT,nBO,MW,nF
6.658,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
6.174,0,34.0,1,82.553,2.7,0,0,71.094,73,1.131,29,77,33,400.71,0
6.886,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
6.979,0,33.0,2,76.932,4.4,0,0,66.654,68,1.131,28,71,31,388.65,0
5.229,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
6.328,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
6.561,18,43.0,21,50.946,6.5,0,0,46.254,46,1.108,28,49,31,370.43,0
6.14,12,34.0,15,42.266,5.3,0,1,38.367,38,1.112,23,40,25,326.8,0
7.301,18,44.0,21,54.362,6.1,0,0,49.138,49,1.109,29,52,32,384.46,0
6.886,18,43.0,21,49.681,4.4,0,1,45.251,45,1.104,28,48,31,388.87,0
6.523,12,35.0,15,46.946,7.1,0,0,42.254,42,1.118,24,44,26,322.39,0
6.24,12,34.0,15,43.531,7.7,0,0,39.371,39,1.116,23,41,25,308.36,0
8.699,12,60.0,16,102.015,7.7,0,0,90.614,91,1.121,45,96,50,614.84,0
6.495,12,52.0,14,92.972,4.8,0,0,81.748,83,1.12,39,88,44,528.79,0
4.301,6,31.0,8,58.441,5.8,0,0,51.352,52,1.124,24,54,26,328.49,0
6.735,12,43.0,13,79.597,1.4,0,0,69.218,71,1.121,32,75,36,429.7,0
6.495,6,39.0,7,75.391,3.0,0,0,65.661,67,1.125,30,72,35,407.65,0
6.574,12,45.0,14,78.391,2.9,0,0,68.661,70,1.12,33,74,37,443.68,0
6.638,6,40.0,7,78.806,2.9,0,0,68.545,70,1.126,31,75,36,421.68,0
5.824,6,41.0,8,76.391,2.9,0,0,66.661,68,1.123,31,73,36,419.66,0
6.699,12,41.0,13,72.766,1.5,0,0,63.45,65,1.119,30,69,34,401.64,0
4.301,6,41.0,8,77.308,2.9,0,0,67.443,69,1.12,31,74,36,418.67,0
7.854,12,50.0,13,91.972,4.9,0,0,80.748,82,1.122,38,87,43,516.78,0
4.563,6,30.0,8,55.026,6.1,0,0,48.469,49,1.123,23,51,25,314.46,0
5.409,12,38.0,13,66.145,3.4,0,0,58.01,59,1.121,28,62,31,377.57,0
6.1,6,45.0,8,85.64,5.3,0,0,75.083,76,1.127,35,81,40,479.72,0
6.634,12,41.0,13,72.766,1.5,0,0,63.45,65,1.119,30,69,34,401.64,0
6.246,12,45.0,14,74.766,1.5,0,0,65.45,67,1.116,32,72,37,425.66,0
6.538,6,37.0,7,74.391,3.0,0,0,64.661,66,1.127,29,70,33,395.64,0
6.756,6,39.0,7,75.391,3.0,0,0,65.661,67,1.125,30,72,35,407.65,0
6.097,23,51.5,25,65.546,5.2,1,0,59.403,58,1.13,35,61,38,500.58,3
5.0,23,52.5,25,68.962,4.9,1,0,62.287,61,1.131,36,64,39,514.61,3
5.824,17,44.5,19,62.756,7.3,1,0,56.731,55,1.141,32,57,34,468.54,3
6.398,17,45.5,19,66.171,6.9,1,0,59.614,58,1.141,33,60,35,482.57,3
6.699,17,43.5,19,61.546,5.6,1,0,55.403,54,1.14,31,56,33,452.54,3
6.301,17,45.5,19,66.171,6.9,1,0,59.614,58,1.141,33,60,35,482.57,3
6.699,17,44.5,19,64.962,5.3,1,0,58.287,57,1.14,32,59,34,466.57,3
7.0,12,36.0,14,46.822,7.5,1,0,43.189,40,1.171,27,41,28,413.37,6
6.699,12,34.0,13,45.692,5.1,0,0,41.785,39,1.172,26,40,27,377.31,6
5.301,12,32.0,14,42.387,8.1,1,0,38.767,37,1.146,23,38,24,345.37,3
7.0,6,29.0,7,49.732,7.1,0,0,44.88,42,1.184,25,42,25,373.33,6
6.699,12,36.0,14,46.822,7.5,1,0,43.189,40,1.171,27,41,28,413.37,6
6.0,12,37.0,14,50.237,7.0,1,0,46.072,43,1.168,28,44,29,427.4,6
6.0,12,36.0,14,46.822,7.5,1,0,43.189,40,1.171,27,41,28,413.37,6
5.301,12,37.0,14,46.766,7.5,1,1,43.512,40,1.169,28,41,29,447.81,6
7.301,12,38.0,14,47.822,7.3,1,0,44.189,41,1.166,28,43,30,425.38,6
6.222,11,34.5,13,43.326,8.1,2,0,40.382,37,1.171,26,38,27,419.4,6
7.097,12,42.0,16,52.659,11.1,2,0,49.022,45,1.17,31,46,32,492.46,6
7.699,12,40.0,15,47.905,7.3,1,0,44.407,41,1.168,29,42,30,438.38,6
7.523,18,46.0,20,57.652,6.0,1,0,52.956,50,1.153,33,52,35,489.47,6
8.097,12,41.0,14,58.067,6.0,1,0,52.84,50,1.161,31,52,33,467.47,6
5.699,12,40.0,15,47.905,7.3,1,0,44.407,41,1.168,29,42,30,438.38,6
6.347,16,43.0,17,65.251,7.0,0,0,58.538,57,1.145,32,59,34,450.5,3
5.194,16,46.0,18,67.46,8.5,0,0,60.865,59,1.143,34,61,36,478.51,3
5.097,16,42.0,17,61.836,7.4,0,0,55.654,54,1.145,31,56,33,436.47,3
5.222,16,42.0,17,61.836,7.4,0,0,55.654,54,1.145,31,56,33,436.47,3
5.301,16,43.0,17,64.334,7.1,0,0,57.756,56,1.149,32,58,34,451.49,3
6.429,16,38.0,16,58.417,3.9,0,0,52.0,51,1.145,28,53,30,392.46,3
5.523,16,46.0,18,61.63,9.3,0,0,56.098,54,1.141,33,57,36,462.46,3
5.585,16,43.0,17,65.251,7.0,0,0,58.538,57,1.145,32,59,34,450.5,3
6.745,16,47.0,18,65.045,8.8,0,0,58.981,57,1.141,34,60,37,476.49,3
6.086,20,48.0,21,67.251,6.8,0,0,60.538,59,1.14,34,62,37,474.52,3
5.638,20,47.0,21,62.002,7.4,0,0,56.091,54,1.148,33,57,36,462.47,3
6.959,16,44.0,17,68.666,6.7,0,0,61.421,60,1.144,33,62,35,464.53,3
6.77,16,44.0,17,65.195,7.0,0,1,58.861,57,1.144,33,59,35,484.94,3
6.237,16,44.0,17,68.666,6.7,0,0,61.421,60,1.144,33,62,35,464.53,3
5.194,16,45.0,18,64.045,8.9,0,0,57.981,56,1.144,33,58,35,464.48,3
6.276,16,42.0,17,62.753,7.3,0,0,56.436,55,1.141,31,57,33,435.48,3
6.745,20,47.0,21,62.919,7.3,0,0,56.872,55,1.144,33,58,36,461.48,3
7.409,16,43.0,17,60.491,9.4,0,1,55.203,53,1.141,32,55,34,471.89,3
6.319,20,47.0,21,62.919,7.3,0,0,56.872,55,1.144,33,58,36,461.48,3
6.137,16,42.0,17,60.547,9.4,0,0,54.88,53,1.142,31,55,33,437.45,3
6.208,16,43.0,17,63.417,7.3,0,0,56.974,55,1.153,32,57,34,452.48,3
6.886,29,59.5,31,65.922,6.8,0,0,60.669,59,1.117,39,63,43,527.52,3
5.724,12,33.0,12,49.396,2.4,0,0,44.443,42,1.176,26,43,27,378.35,6
6.562,29,59.5,30,75.247,3.0,0,0,67.767,67,1.123,40,71,44,540.62,3
6.141,29,59.5,31,65.922,6.8,0,0,60.669,59,1.117,39,63,43,527.52,3
5.26,18,51.0,19,72.546,6.3,0,1,66.065,63,1.152,39,65,41,575.97,6
5.854,18,53.0,19,79.377,5.8,0,1,71.832,69,1.15,41,71,43,604.03,6
6.622,29,58.5,30,70.543,4.8,0,0,64.109,63,1.12,39,67,43,527.57,3
5.824,12,33.0,12,49.396,2.4,0,0,44.443,42,1.176,26,43,27,378.35,6
6.549,12,36.0,12,54.882,4.3,0,1,49.76,47,1.168,29,48,30,441.83,6
6.046,12,36.0,12,51.332,2.3,0,0,46.763,43,1.194,29,44,30,431.33,9
6.301,12,35.0,12,54.938,4.3,0,0,49.436,47,1.169,28,48,29,407.39,6
6.699,17,46.5,17,64.87,3.6,0,0,58.959,55,1.179,36,57,38,526.44,9
4.66,12,38.0,12,62.978,5.6,0,0,56.53,54,1.166,31,55,32,451.45,6
5.638,12,38.0,13,57.147,6.1,0,0,51.763,49,1.166,30,50,31,435.4,6
6.549,12,40.0,13,65.266,3.6,0,0,58.305,56,1.165,32,57,33,462.48,6
6.301,11,32.5,11,45.845,2.6,1,1,41.96,39,1.176,26,40,27,418.82,6
6.155,17,49.5,17,65.889,3.6,0,0,60.497,55,1.198,39,57,41,580.41,12
6.523,17,44.5,17,60.324,3.8,0,2,55.185,52,1.16,34,54,36,527.32,6
6.072,12,42.0,13,69.891,5.0,0,0,62.516,60,1.165,34,61,35,492.51,6
6.155,18,51.0,19,72.546,6.3,0,1,66.065,63,1.152,39,65,41,575.97,6
4.957,12,38.0,13,58.436,4.0,0,0,52.538,50,1.169,30,51,31,434.42,6
6.301,12,41.0,13,63.922,5.5,0,1,57.854,55,1.162,33,56,34,497.9,6
5.156,12,37.0,13,53.732,6.5,0,0,48.88,46,1.168,29,47,30,421.37,6
4.215,12,40.0,13,61.772,7.5,0,0,55.974,53,1.166,32,54,33,465.43,6
6.461,12,34.0,12,53.728,2.2,0,0,48.109,46,1.168,27,47,28,391.39,6
6.222,12,36.0,12,58.353,4.0,0,0,52.319,50,1.167,29,51,30,421.42,6
5.721,18,46.0,18,69.183,3.3,0,0,62.087,60,1.153,35,62,37,497.52,6
6.699,12,34.0,12,50.257,2.3,0,1,45.549,43,1.169,27,44,28,411.8,6
4.86,12,39.0,13,61.851,3.8,0,0,55.421,53,1.167,31,54,32,448.45,6
6.699,17,43.5,17,60.38,3.8,0,1,54.861,52,1.161,33,54,35,492.88,6
7.151,12,39.0,13,60.562,5.8,0,0,54.647,52,1.165,31,53,32,449.43,6
5.959,18,52.0,19,75.961,6.1,0,1,68.949,66,1.151,40,68,42,590.0,6
5.468,12,33.0,12,49.396,2.4,0,0,44.443,42,1.176,26,43,27,378.35,6
7.328,29,58.5,30,71.832,3.1,0,0,64.883,64,1.122,39,68,43,526.59,3
4.721,12,29.0,14,36.697,3.0,0,0,32.833,33,1.112,19,35,21,250.32,0
8.108,29,58.5,30,71.832,3.1,0,0,64.883,64,1.122,39,68,43,526.59,3
5.886,18,44.0,21,55.279,6.0,0,0,49.92,50,1.106,29,53,32,383.47,0
4.678,18,45.0,21,58.694,5.7,0,0,52.803,53,1.107,30,56,33,397.5,0
5.658,18,45.0,21,58.694,5.7,0,0,52.803,53,1.107,30,56,33,397.5,0
5.215,12,33.0,16,36.701,9.1,0,0,33.604,33,1.112,21,35,23,280.3,0
5.387,12,29.0,14,35.408,6.3,0,0,32.058,32,1.107,19,34,21,251.3,0
5.0,12,30.0,14,38.824,5.7,0,0,34.942,35,1.109,20,37,22,265.33,0
4.854,12,32.0,15,37.618,8.8,0,0,34.385,34,1.106,21,36,23,279.31,0
5.31,12,32.0,15,39.824,5.6,0,0,35.942,36,1.106,21,38,23,277.34,0
5.387,12,35.0,13,43.277,5.4,0,0,39.901,37,1.17,26,39,28,375.29,6
5.377,12,36.0,13,44.486,7.9,0,0,41.229,38,1.171,27,40,29,391.29,6
6.041,12,37.0,13,50.107,4.7,0,0,45.669,43,1.165,28,45,30,403.35,6
5.77,12,38.0,14,47.692,4.9,0,0,43.785,41,1.163,28,43,30,401.33,6
5.0,12,28.0,14,34.199,3.2,0,0,30.731,31,1.103,18,33,20,235.3,0
5.0,12,29.0,14,37.614,2.9,0,0,33.614,34,1.106,19,36,21,249.33,0
4.523,12,30.0,14,41.029,2.7,0,0,36.498,37,1.109,20,39,22,263.36,0
5.0,12,34.0,14,54.69,2.0,0,0,48.032,49,1.116,24,51,26,319.48,0
4.523,12,40.0,14,75.181,1.5,0,0,65.334,67,1.122,30,69,32,403.66,0
5.77,12,31.0,14,44.445,2.5,0,0,39.382,40,1.111,21,42,23,277.39,0
5.268,12,32.0,14,47.86,2.3,0,0,42.265,43,1.113,22,45,24,291.42,0
4.523,18,44.0,21,55.279,6.0,0,0,49.92,50,1.106,29,53,32,383.47,0
5.728,29,59.5,31,65.922,6.8,0,0,60.669,59,1.117,39,63,43,527.52,3
6.0,29,60.5,31,69.337,6.5,0,0,63.552,62,1.118,40,66,44,541.55,3
4.093,6,18.0,7,27.123,20.8,0,0,25.055,24,1.13,14,24,14,198.19,0
6.331,29,55.5,30,70.813,3.1,0,0,63.345,64,1.106,36,68,40,472.62,0
6.983,29,57.5,31,66.532,5.0,0,0,60.418,60,1.109,37,64,41,490.56,1
6.187,29,56.5,31,66.192,5.0,0,0,59.905,60,1.103,36,64,40,472.57,0
7.764,29,62.5,31,77.457,4.3,0,0,70.094,69,1.123,42,73,46,568.63,3
8.046,29,57.5,31,66.136,5.0,0,1,60.229,60,1.102,37,64,41,507.01,0
6.917,29,55.5,30,67.342,3.3,0,1,60.785,61,1.104,36,65,40,493.03,0
7.474,29,60.5,31,70.626,4.8,0,0,64.327,63,1.121,40,67,44,540.57,3
7.194,29,61.5,31,71.836,6.3,0,0,65.654,64,1.122,41,68,45,556.57,3
5.0,29,62.5,32,71.626,4.7,0,0,65.327,64,1.119,41,68,45,552.58,3
6.377,29,59.5,31,67.211,5.0,0,0,61.443,60,1.12,39,64,43,526.54,3
7.474,29,61.5,31,71.836,6.3,0,0,65.654,64,1.122,41,68,45,556.57,3
7.959,29,60.5,31,71.915,3.1,0,0,65.101,64,1.124,40,68,44,539.59,3
7.469,29,58.5,30,71.832,3.1,0,0,64.883,64,1.122,39,68,43,526.59,3
6.618,29,55.5,30,63.792,1.8,0,0,57.789,57,1.119,36,61,40,482.53,3
7.043,29,57.5,30,68.417,3.3,0,0,62.0,61,1.122,38,65,42,512.56,3
5.0,23,51.5,25,62.294,5.5,0,0,56.661,55,1.133,35,58,38,479.49,3
8.155,29,60.5,31,70.626,4.8,0,0,64.327,63,1.121,40,67,44,540.57,3
8.097,29,57.5,30,68.417,3.3,0,0,62.0,61,1.122,38,65,42,512.56,3
6.416,29,59.5,30,73.042,4.6,0,0,66.21,65,1.124,40,69,44,542.59,3
5.0,12,42.0,13,70.983,9.5,0,0,63.32,63,1.127,32,66,35,441.57,0
6.495,12,37.0,14,50.237,7.0,1,0,46.072,43,1.168,28,44,29,427.4,6
7.451,16,43.0,17,60.201,7.5,1,1,54.952,53,1.136,32,55,34,487.96,3
5.824,22,53.0,25,70.152,6.3,1,0,63.076,63,1.114,35,67,39,488.65,0
5.854,18,47.0,20,55.64,6.1,1,0,51.265,49,1.136,33,52,36,476.48,4
5.854,18,47.0,20,58.716,5.8,1,0,53.636,52,1.129,33,55,36,472.52,3
6.745,18,45.0,20,50.62,4.4,1,1,46.865,45,1.125,31,48,34,462.9,3
7.155,18,46.0,20,51.356,4.4,1,0,47.567,45,1.141,32,48,35,464.44,5
5.721,18,47.0,20,51.695,4.4,1,0,48.08,45,1.149,33,48,36,482.43,6
5.824,18,46.0,20,55.301,6.1,1,0,50.752,49,1.129,32,52,35,458.49,3
5.409,18,49.0,20,50.094,6.8,1,1,47.334,44,1.138,34,48,38,512.86,5
6.046,18,48.0,20,59.925,7.5,1,0,54.963,53,1.131,34,56,37,488.52,3
6.046,18,47.0,20,55.142,6.1,1,0,50.982,49,1.125,33,52,36,537.38,3
6.155,18,49.0,20,60.265,7.5,1,0,55.476,53,1.137,35,56,38,506.51,4
4.886,12,33.0,14,49.069,4.5,0,0,43.592,44,1.115,23,46,25,307.42,0
5.009,18,39.0,20,46.239,4.8,0,0,41.825,42,1.101,25,45,28,327.4,0
6.244,22,55.0,25,70.831,6.3,1,0,64.101,63,1.124,37,67,41,524.63,2
6.268,21,51.5,24,66.657,6.7,2,0,60.269,60,1.111,34,64,38,494.68,0
6.537,34,66.0,35,78.247,2.9,0,0,70.767,70,1.118,43,75,48,576.65,3
6.804,34,65.0,35,74.832,3.0,0,0,67.883,67,1.117,42,72,47,562.62,3
6.951,35,71.5,37,83.583,5.3,0,0,76.203,75,1.114,47,80,52,631.68,3
4.237,29,60.5,30,78.663,2.9,0,0,70.65,70,1.124,41,74,45,554.65,3
7.187,35,75.5,37,97.244,4.6,0,0,87.738,87,1.118,51,92,56,687.8,3
5.925,28,55.0,29,64.002,3.5,0,0,58.116,57,1.123,36,61,40,486.52,3
7.77,29,60.5,31,69.337,6.5,0,0,63.552,62,1.118,40,66,44,541.55,3
6.277,41,81.5,43,94.413,4.7,0,0,85.97,85,1.111,53,91,59,707.78,3
8.222,29,66.5,32,78.168,5.7,0,0,71.32,70,1.117,44,74,48,593.63,3
7.678,29,67.5,32,81.583,5.5,0,0,74.203,73,1.118,45,77,49,607.66,3
8.699,29,70.5,33,80.168,5.6,0,0,73.32,72,1.113,46,76,50,617.65,3
7.959,29,60.5,30,77.374,4.3,0,0,69.876,69,1.121,41,73,45,555.63,3
5.602,24,47.0,24,62.816,3.5,0,0,56.141,57,1.102,31,61,35,406.55,0
4.602,24,49.0,24,67.441,4.9,0,0,60.352,61,1.106,33,65,37,436.58,0
5.444,24,49.0,24,67.441,4.9,0,0,60.352,61,1.106,33,65,37,436.58,0
5.699,24,51.0,24,72.066,6.2,0,0,64.563,65,1.109,35,69,39,466.61,0
5.119,24,47.0,24,62.816,3.5,0,0,56.141,57,1.102,31,61,35,406.55,0
5.357,24,47.0,24,60.611,5.5,0,0,54.585,55,1.102,31,59,35,408.52,0
6.523,12,40.0,13,63.978,5.5,0,0,57.53,55,1.163,32,56,33,463.46,6
4.301,0,39.0,2,91.593,3.7,0,0,79.188,81,1.131,33,85,37,456.78,0
5.347,18,52.0,19,75.961,6.1,0,1,68.949,66,1.151,40,68,42,590.0,6
6.745,0,34.0,2,82.553,2.7,0,0,71.094,73,1.131,29,76,32,400.71,0
4.0,0,11.0,0,27.827,16.7,0,0,24.713,24,1.159,11,24,11,163.2,0
5.509,12,33.0,14,48.78,2.3,1,0,43.342,44,1.109,23,46,25,323.49,0
6.77,0,34.0,2,81.636,2.8,0,0,70.312,72,1.134,29,75,32,401.7,0
6.602,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
7.046,12,52.0,14,90.766,6.2,0,0,80.192,81,1.121,39,86,44,530.76,0
7.0,18,42.0,21,49.737,4.4,0,0,44.927,45,1.105,27,48,30,354.43,0
9.0,12,52.0,14,92.055,4.9,0,0,80.967,82,1.123,39,87,44,529.78,0
6.377,18,48.0,19,79.181,1.4,0,0,69.334,71,1.115,34,75,38,451.7,0
6.143,0,33.0,2,78.221,2.9,0,0,67.428,69,1.134,28,72,31,387.67,0
6.509,6,41.0,7,82.221,2.7,0,0,71.428,73,1.126,32,78,37,435.71,0
6.051,12,33.0,15,42.322,5.3,0,0,38.043,38,1.114,22,40,24,292.36,0
6.854,6,41.0,7,82.221,2.7,0,0,71.428,73,1.126,32,78,37,435.71,0
7.301,12,44.0,13,80.806,2.8,0,0,70.545,72,1.122,33,76,37,445.7,0
7.818,29,61.5,31,74.042,4.5,0,0,67.21,66,1.122,41,70,45,554.6,3
7.52,29,62.5,31,71.306,4.8,0,0,65.352,63,1.132,42,67,46,576.55,5
6.341,29,67.5,33,73.629,4.5,1,0,67.621,66,1.116,44,71,49,609.66,3
5.721,20,46.0,21,60.421,7.5,0,0,54.771,53,1.14,32,56,35,446.46,3
6.268,16,43.0,17,63.417,7.3,0,0,56.974,55,1.153,32,57,34,452.48,3
6.201,12,34.0,13,45.692,5.1,0,0,41.785,39,1.172,26,40,27,377.31,6
6.699,12,37.0,14,46.766,7.5,1,1,43.512,40,1.169,28,41,29,447.81,6
8.0,12,40.0,14,54.652,6.4,1,0,49.956,47,1.163,30,49,32,453.44,6
5.523,12,37.0,14,50.237,7.0,1,0,46.072,43,1.168,28,44,29,427.4,6
7.398,11,37.5,13,53.572,6.5,2,0,49.032,46,1.165,29,47,30,461.49,6
5.959,15,41.5,16,60.839,7.5,1,0,54.949,53,1.148,31,55,33,457.52,3
7.523,12,39.0,14,51.237,6.8,1,0,47.072,44,1.164,29,46,31,439.41,6
7.0,12,39.0,14,49.031,9.5,1,0,45.516,42,1.167,29,44,31,441.38,6
5.444,16,47.0,17,69.685,6.7,0,0,62.959,60,1.161,36,62,38,518.5,6
5.398,12,35.0,14,43.406,8.1,1,0,40.305,37,1.173,26,38,27,399.34,6
6.561,6,38.0,7,77.806,2.9,0,0,67.545,69,1.128,30,73,34,409.67,0
6.201,16,44.0,17,65.195,7.0,0,1,58.861,57,1.144,33,59,35,484.94,3
5.301,12,33.0,14,45.802,7.5,1,0,41.651,40,1.145,24,41,25,359.4,3
6.229,20,47.0,21,63.836,7.1,0,0,57.654,56,1.14,33,59,36,460.49,3
7.0,17,47.5,17,64.814,3.6,0,1,59.283,55,1.178,37,57,39,560.88,9
7.134,12,41.0,13,61.562,5.7,0,0,55.647,53,1.162,32,55,34,461.44,6
5.959,12,33.0,12,50.313,2.3,0,0,45.225,43,1.17,26,44,27,377.36,6
7.0,12,37.0,12,51.276,2.3,0,1,47.087,43,1.192,30,44,31,465.77,9
6.699,12,40.0,13,58.147,6.0,0,0,52.763,50,1.163,31,52,33,447.41,6
5.658,12,41.0,13,65.187,7.1,0,0,58.858,56,1.164,33,57,34,479.46,6
5.84,12,35.0,12,54.938,4.3,0,0,49.436,47,1.169,28,48,29,407.39,6
5.855,12,35.0,12,54.938,4.3,0,0,49.436,47,1.169,28,48,29,407.39,6
5.17,12,43.0,13,67.476,5.2,0,0,60.632,58,1.163,34,60,36,490.49,6
4.572,12,41.0,13,66.476,5.3,0,0,59.632,57,1.166,33,58,34,478.48,6
5.481,11,31.5,11,45.901,2.6,1,0,41.636,39,1.177,25,40,26,384.38,6
5.432,18,50.0,19,69.131,6.7,0,1,63.181,60,1.152,38,62,40,561.94,6
6.097,12,35.0,12,53.672,2.2,0,1,48.432,46,1.167,28,47,29,425.83,6
6.0,17,46.5,17,61.399,3.8,0,1,56.399,52,1.181,36,54,38,546.85,9
7.783,29,60.5,31,69.337,6.5,0,0,63.552,62,1.118,40,66,44,541.55,3
7.745,29,57.5,31,69.607,4.8,0,0,62.789,63,1.105,37,67,41,486.6,0
6.824,23,51.5,25,58.67,3.8,0,0,53.451,52,1.128,34,55,37,461.47,3
5.638,18,47.0,20,55.245,6.1,1,1,51.076,49,1.127,33,52,36,492.93,3
7.796,23,48.5,24,61.002,3.7,0,0,55.116,54,1.13,33,57,36,450.49,3
6.658,22,44.0,24,49.528,2.2,0,0,44.6,45,1.101,27,48,30,350.44,0
5.955,16,39.0,18,57.192,5.9,0,0,50.905,51,1.121,27,53,29,364.48,0
5.62,18,46.0,20,58.376,5.8,1,0,53.123,52,1.123,32,55,35,454.53,2
5.924,16,39.0,18,53.567,4.2,0,0,47.694,48,1.116,26,50,28,346.46,0
5.939,16,39.0,18,55.903,8.0,0,0,50.131,50,1.118,27,52,29,365.46,0
5.367,22,54.0,25,70.492,6.3,1,0,63.589,63,1.119,36,67,40,506.64,1
4.523,26,60.0,29,73.364,7.6,2,0,66.698,66,1.112,39,71,44,561.73,0
7.678,29,60.5,30,78.663,2.9,0,0,70.65,70,1.124,41,74,45,554.65,3
7.796,29,64.5,32,77.168,5.8,0,0,70.32,69,1.118,43,73,47,581.62,3
6.833,29,74.5,33,93.829,4.8,0,0,84.854,84,1.117,50,88,54,673.77,3
6.793,34,66.0,35,76.958,4.3,0,0,69.992,69,1.115,43,74,48,577.63,3
7.509,29,60.5,30,77.374,4.3,0,0,69.876,69,1.121,41,73,45,555.63,3
7.678,34,66.0,35,78.247,2.9,0,0,70.767,70,1.118,43,75,48,576.65,3
5.658,24,49.0,24,67.441,4.9,0,0,60.352,61,1.106,33,65,37,436.58,0
