pXC50,RBF,Se,Si,nAT,Sv,Sp,nH,nBT,O.,nSK,MW,nBO,Mp
4.794,0.079,36.669,39.897,36,24.868,26.205,14,38,8.3,22,335.83,24,0.728
4.699,0.079,36.422,39.873,36,24.228,25.994,15,38,8.3,21,321.45,23,0.722
5.021,0.066,57.291,63.97,57,36.545,39.023,26,61,5.3,31,460.04,35,0.685
4.706,0.103,29.484,30.762,27,20.931,19.881,5,29,14.8,22,325.27,24,0.736
4.699,0.083,37.342,39.552,34,26.059,24.926,7,36,5.9,27,423.77,29,0.733
4.943,0.109,61.84,68.527,61,39.641,41.318,26,64,8.2,35,494.62,38,0.677
4.699,0.086,54.68,61.481,55,35.289,37.301,25,58,3.6,30,399.53,33,0.678
4.699,0.049,39.222,43.74,39,25.369,26.904,17,41,5.1,22,315.43,24,0.69
5.35,0.082,58.84,65.527,58,36.641,38.318,26,61,8.6,32,458.59,35,0.661
5.119,0.067,56.192,62.567,56,37.465,39.438,23,60,3.6,33,457.6,37,0.704
5.374,0.1,36.902,40.989,37,25.907,27.478,14,40,0.0,23,318.43,26,0.743
4.699,0.089,42.145,46.82,42,28.181,29.256,17,45,4.8,25,331.4,28,0.697
5.205,0.119,40.702,44.103,40,27.901,28.767,15,42,10.0,25,354.8,27,0.719
5.179,0.03,31.284,34.119,31,21.305,21.932,12,33,9.7,19,252.28,21,0.707
5.354,0.091,53.513,58.226,52,35.889,36.892,19,55,9.6,33,486.97,36,0.709
4.81,0.071,40.524,44.371,40,27.249,29.0,16,42,7.5,24,360.49,26,0.725
5.463,0.127,53.854,59.614,53,34.093,35.551,23,55,9.4,30,429.54,32,0.671
5.554,0.1,39.8,43.424,38,26.805,26.307,12,40,5.3,26,359.33,28,0.692
5.51,0.085,44.429,49.099,44,29.723,31.523,18,47,4.5,26,387.92,29,0.716
4.699,0.106,46.305,50.867,45,29.534,30.273,18,47,11.1,27,390.46,29,0.673
4.699,0.143,47.662,52.206,47,32.635,34.472,18,49,6.4,29,472.39,31,0.733
5.235,0.14,55.8,62.693,55,34.41,36.551,25,57,5.5,30,451.64,32,0.665
4.699,0.109,52.309,58.321,52,32.884,34.853,24,55,7.7,28,400.54,31,0.67
4.699,0.16,48.418,54.278,48,30.158,31.887,22,50,6.3,26,374.51,28,0.664
4.701,0.081,35.258,39.14,35,23.767,24.898,14,37,2.9,21,299.78,23,0.711
4.699,0.071,40.556,44.578,40,26.282,27.563,17,42,10.0,23,331.42,25,0.689
4.699,0.127,54.105,59.903,53,33.621,34.358,23,55,11.3,30,413.47,32,0.648
5.492,0.108,34.094,37.494,34,24.567,26.364,12,37,0.0,22,324.46,25,0.775
4.788,0.022,41.487,45.116,41,29.348,29.943,14,45,7.3,27,354.38,31,0.73
7.408,0.149,45.44,49.993,45,29.809,31.324,19,47,8.9,26,369.47,28,0.696
4.879,0.132,65.829,72.804,65,42.501,44.693,28,68,7.7,37,542.1,40,0.688
4.699,0.114,42.876,47.159,42,27.798,28.813,17,44,9.5,25,359.44,27,0.686
4.699,0.107,54.411,60.82,54,33.905,35.858,25,56,7.4,29,415.56,31,0.664
4.821,0.136,43.356,47.292,42,29.148,30.188,15,44,7.1,27,406.5,29,0.719
5.68,0.154,51.462,57.161,51,32.258,35.148,24,52,7.8,27,428.65,28,0.689
4.699,0.063,30.134,33.328,30,19.799,21.131,13,32,6.7,17,247.34,19,0.704
5.334,0.156,45.971,49.231,43,31.485,31.648,12,45,7.0,31,492.54,33,0.736
4.699,0.088,33.444,35.996,32,22.712,22.773,10,34,12.5,22,318.34,24,0.712
6.383,0.143,42.094,46.242,41,27.293,28.057,16,42,9.8,25,360.43,26,0.684
4.699,0.1,38.142,42.555,38,25.294,26.659,16,40,2.6,22,313.81,24,0.702
4.699,0.098,48.065,53.491,48,31.609,34.074,21,51,4.2,27,399.58,30,0.71
5.676,0.089,54.073,59.697,53,34.588,35.796,22,56,9.4,31,442.54,34,0.675
4.699,0.056,34.236,37.827,34,22.82,24.137,14,36,5.9,20,286.38,22,0.71
6.203,0.088,64.178,71.65,64,40.959,43.381,29,68,6.3,35,491.66,39,0.678
4.699,0.057,33.454,36.91,33,22.315,23.381,13,35,6.1,20,287.37,22,0.709
6.153,0.055,51.672,58.853,52,32.09,34.097,25,55,1.9,27,363.51,30,0.656
7.408,0.178,44.476,49.33,44,28.174,29.79,20,45,9.1,24,394.29,25,0.677
5.879,0.086,34.469,37.575,33,22.547,22.131,11,35,12.1,22,301.29,24,0.671
5.187,0.066,58.294,65.235,58,36.432,38.62,27,61,6.9,31,441.6,34,0.666
5.886,0.099,76.705,86.683,77,47.867,51.222,37,81,3.9,40,559.8,44,0.665
4.955,0.059,32.367,36.096,32,22.042,22.932,12,34,0.0,20,285.76,22,0.717
4.699,0.111,43.516,47.913,43,27.996,29.972,19,45,9.3,24,365.51,26,0.697
5.086,0.098,39.011,43.116,39,27.127,28.688,15,41,2.6,24,333.44,26,0.736
4.699,0.13,23.12,25.339,23,16.549,18.705,9,23,0.0,14,289.24,14,0.813
6.086,0.105,71.534,80.723,72,45.912,48.597,33,76,2.8,39,519.7,43,0.675
4.699,0.105,36.262,40.405,36,23.655,24.495,15,38,5.6,21,281.34,23,0.68
5.0,0.113,76.174,86.055,76,46.89,49.273,36,80,5.3,40,544.72,44,0.648
5.178,0.091,43.051,47.312,42,28.119,29.869,17,44,7.1,25,400.95,27,0.711
4.699,0.054,35.313,38.747,35,24.007,25.784,14,37,5.7,21,318.45,23,0.737
5.124,0.088,54.753,60.116,54,36.072,37.546,22,57,9.3,32,450.55,35,0.695
6.114,0.093,81.396,92.593,82,49.734,53.097,41,86,3.7,41,555.79,45,0.648
4.699,0.071,40.88,44.522,40,27.11,28.421,16,42,10.0,24,365.86,26,0.711
4.699,0.14,47.549,51.95,47,33.083,34.358,17,50,6.4,30,415.5,33,0.731
5.36,0.095,60.192,68.335,60,36.707,38.938,29,63,3.3,31,445.02,34,0.649
4.699,0.077,38.367,41.111,37,26.916,27.608,12,39,10.8,25,423.66,27,0.746
4.699,0.068,43.0,48.329,43,26.953,29.534,21,44,4.7,22,385.36,23,0.687
4.772,0.115,51.382,54.888,49,35.654,36.437,15,52,10.2,34,523.6,37,0.744
5.025,0.061,32.251,36.512,32,20.569,21.693,14,33,0.0,18,263.76,19,0.678
4.699,0.114,42.323,47.238,42,27.39,28.909,18,44,4.8,24,342.46,26,0.688
4.873,0.079,36.669,39.897,36,24.868,26.205,14,38,8.3,22,335.83,24,0.728
5.008,0.065,59.363,66.78,59,36.627,38.864,28,62,5.1,31,445.61,34,0.659
5.415,0.077,61.178,68.65,61,37.959,40.381,29,65,6.6,32,455.63,36,0.662
4.699,0.125,46.458,51.943,46,29.444,30.478,20,48,6.5,26,352.43,28,0.663
5.265,0.118,49.44,55.591,49,31.105,32.648,22,51,4.1,27,387.91,29,0.666
5.224,0.071,52.814,59.117,52,34.33,35.211,21,56,1.9,31,421.49,35,0.677
6.699,0.069,54.556,62.268,55,33.617,35.858,27,58,1.8,28,377.54,31,0.652
5.094,0.098,40.549,44.135,39,28.277,28.5,12,41,2.6,27,387.41,29,0.731
5.298,0.078,48.473,53.199,48,31.842,32.887,20,51,10.4,28,376.43,31,0.685
6.194,0.09,62.851,70.441,63,40.244,42.926,29,67,4.8,34,475.66,38,0.681
5.063,0.146,46.829,50.963,46,32.737,35.029,17,48,4.3,29,466.44,31,0.761
6.021,0.119,41.029,46.235,41,25.708,27.017,19,42,4.9,22,297.39,23,0.659
4.991,0.073,52.603,58.325,52,33.566,35.745,23,55,7.7,29,433.6,32,0.687
4.737,0.149,45.207,50.654,45,28.917,30.671,20,47,4.4,25,356.49,27,0.682
4.963,0.174,46.604,50.232,45,31.528,32.773,16,46,11.1,29,453.96,30,0.728
5.281,0.122,46.574,51.528,46,30.918,31.716,18,49,6.5,28,374.43,31,0.689
4.699,0.091,42.956,47.209,42,28.317,30.364,17,44,7.1,25,445.4,27,0.723
6.638,0.108,35.673,38.094,34,25.742,26.142,9,37,5.9,25,377.42,28,0.769
7.151,0.111,35.262,39.405,35,22.655,23.495,15,36,5.7,20,269.33,21,0.671
4.699,0.1,37.818,42.611,38,24.467,25.801,17,40,2.6,21,279.37,23,0.679
4.699,0.122,46.651,51.448,46,31.105,32.364,18,49,6.5,28,394.49,31,0.704
4.699,0.049,39.483,43.79,39,26.224,28.034,16,41,2.6,23,349.49,25,0.719
5.256,0.078,72.491,80.773,72,46.222,48.603,32,77,6.9,40,560.73,45,0.675
5.842,0.066,57.44,65.683,58,35.143,37.62,29,61,1.7,29,391.57,32,0.649
7.101,0.055,51.672,58.853,52,32.09,34.097,25,55,1.9,27,363.51,30,0.656
4.699,0.081,34.934,39.196,35,22.94,24.04,15,37,2.9,20,265.34,22,0.687
4.699,0.111,34.258,38.14,34,22.767,23.898,14,36,2.9,20,287.77,22,0.703
4.947,0.063,33.909,36.735,31,22.218,20.659,8,32,3.2,23,334.24,24,0.666
4.699,0.13,44.207,49.654,44,27.917,29.671,20,46,4.5,24,344.48,26,0.674
4.959,0.103,65.054,73.437,65,40.287,42.938,31,68,4.6,34,481.68,37,0.661
6.148,0.065,44.047,49.287,43,28.276,28.688,17,46,2.3,26,357.4,29,0.667
6.335,0.108,35.16,37.754,34,25.359,26.205,10,37,5.9,24,359.43,27,0.771
4.699,0.079,36.673,40.162,36,23.755,24.801,15,38,11.1,21,305.38,23,0.689
4.699,0.128,37.898,40.873,37,25.449,26.25,14,39,13.5,23,330.38,25,0.709
5.206,0.047,59.858,66.899,60,39.497,41.955,26,64,3.3,34,470.64,38,0.699
4.699,0.106,63.178,70.65,63,39.959,42.381,29,66,6.3,34,479.65,37,0.673
4.91,0.128,44.844,48.953,44,30.765,32.25,16,47,6.8,28,412.53,31,0.733
4.699,0.114,43.389,47.499,42,28.181,28.75,16,44,9.5,26,377.43,28,0.685
4.73,0.14,48.091,54.069,48,30.444,32.432,22,50,4.2,26,370.52,28,0.676
4.699,0.061,31.353,34.411,31,21.294,22.375,12,33,6.5,19,272.35,21,0.722
4.699,0.063,30.895,33.439,30,21.616,22.477,10,32,6.7,20,307.78,22,0.749
6.747,0.069,54.556,62.268,55,33.617,35.858,27,58,1.8,28,377.54,31,0.652
4.699,0.08,24.622,26.92,24,17.402,18.534,8,25,0.0,16,253.35,17,0.772
5.547,0.068,56.811,62.684,56,36.92,39.364,24,59,7.1,32,494.08,35,0.703
4.699,0.136,56.785,62.322,56,37.105,38.108,23,59,10.7,33,445.5,36,0.681
4.699,0.103,37.422,40.873,37,25.228,26.994,15,39,8.1,22,333.46,24,0.73
4.699,0.114,42.113,46.783,42,27.094,28.87,19,44,7.1,23,329.45,25,0.687
4.699,0.067,29.367,33.096,29,19.042,19.932,12,30,0.0,17,249.73,18,0.687
5.354,0.069,54.556,62.268,55,33.617,35.858,27,58,1.8,28,377.54,31,0.652
4.91,0.149,46.058,49.94,45,31.318,33.074,17,47,8.9,28,436.97,30,0.735
4.903,0.055,52.007,58.69,52,32.003,33.756,25,55,5.8,27,367.49,30,0.649
5.502,0.071,53.927,59.269,53,35.393,37.602,22,56,7.5,31,480.05,34,0.709
4.836,0.065,43.534,48.947,43,27.893,28.75,18,46,2.3,25,339.41,28,0.669
4.699,0.07,41.985,46.285,41,26.018,27.023,18,43,12.2,23,338.42,25,0.659
5.541,0.078,47.88,53.698,48,31.409,33.017,21,51,2.1,27,360.46,30,0.688
4.699,0.095,39.262,43.405,39,26.655,27.495,15,42,5.1,24,317.37,27,0.705
4.699,0.032,29.68,32.705,29,20.27,20.455,10,31,3.4,19,255.27,21,0.705
5.22,0.063,60.396,67.733,60,37.453,39.625,28,63,6.7,32,456.62,35,0.66
5.329,0.091,53.04,58.744,52,33.762,35.034,22,55,7.7,30,431.53,33,0.674
5.497,0.076,62.178,69.65,62,38.959,41.381,29,66,6.5,33,467.64,37,0.667
4.699,0.163,41.989,45.478,41,29.384,30.455,14,43,7.3,27,399.88,29,0.743
4.907,0.094,60.952,68.939,61,37.265,39.932,30,64,4.9,31,442.64,34,0.655
4.745,0.148,52.753,58.116,52,34.072,35.546,22,54,9.6,30,426.53,32,0.684
5.338,0.106,44.698,48.741,44,30.59,31.159,16,47,9.1,28,372.4,31,0.708
5.088,0.021,45.214,50.282,45,29.116,30.875,20,48,6.7,25,356.48,28,0.686
5.498,0.032,29.815,32.253,29,21.541,22.233,9,31,3.4,20,306.16,22,0.767
4.699,0.077,38.0,41.372,37,24.47,25.256,15,39,13.5,22,321.38,24,0.683
4.699,0.1,38.142,42.555,38,25.294,26.659,16,40,2.6,22,313.81,24,0.702
5.2,0.114,34.444,36.996,33,23.712,23.773,10,35,12.1,23,330.35,25,0.72
5.378,0.118,32.127,35.7,32,21.6,22.926,13,34,3.1,19,271.37,21,0.716
4.699,0.122,47.091,53.069,47,29.444,31.432,22,49,4.3,25,358.51,27,0.669
5.095,0.146,47.567,51.917,46,31.39,32.404,17,48,8.7,29,436.53,31,0.704
5.326,0.081,35.931,38.91,35,24.536,24.636,12,37,11.4,23,308.31,25,0.704
5.854,0.117,56.789,63.607,57,36.509,38.512,26,60,5.3,31,414.54,34,0.676
5.453,0.103,54.461,61.398,55,34.794,37.057,26,58,3.6,29,386.53,32,0.674
5.821,0.116,41.811,47.152,42,26.214,27.773,20,43,4.8,22,296.4,23,0.661
4.839,0.075,49.898,56.564,50,30.783,32.546,24,53,4.0,26,352.48,29,0.651
4.699,0.095,40.556,44.578,40,26.282,27.563,17,42,10.0,23,331.42,25,0.689
4.699,0.094,30.895,33.439,30,21.616,22.477,10,32,6.7,20,307.78,22,0.749
5.182,0.102,57.178,62.558,56,37.921,39.409,22,59,8.9,34,500.01,37,0.704
4.699,0.064,43.92,49.109,44,29.488,30.807,18,47,2.3,26,342.43,29,0.7
4.699,0.111,52.52,58.946,52,31.126,33.068,26,54,9.6,26,382.53,28,0.636
5.231,0.053,38.683,42.024,36,26.525,25.211,9,38,0.0,27,381.3,29,0.7
4.699,0.154,49.974,56.484,50,30.97,33.194,24,52,4.0,26,372.54,28,0.664
5.492,0.109,52.2,58.195,52,33.664,35.642,23,55,5.8,29,409.55,32,0.685
7.408,0.077,38.247,43.318,38,23.203,24.262,18,39,5.3,20,274.36,21,0.638
7.341,0.14,48.36,53.745,48,30.701,32.551,22,50,8.3,26,420.33,28,0.678
4.955,0.138,62.294,69.235,62,40.432,42.62,27,65,6.5,35,489.64,38,0.687
5.373,0.148,52.007,58.69,52,32.003,33.756,25,54,5.8,27,367.49,29,0.649
4.699,0.143,47.433,52.365,47,31.61,33.12,19,49,6.4,28,393.5,30,0.705
4.783,0.111,35.363,39.903,35,21.676,22.5,16,36,5.7,19,260.33,20,0.643
5.325,0.062,61.218,68.315,61,39.245,40.972,27,65,6.6,34,457.57,38,0.672
6.21,0.086,65.734,73.856,66,41.771,44.688,31,70,4.5,35,489.69,39,0.677
4.886,0.132,36.338,40.325,36,23.842,25.142,15,38,5.6,21,301.4,23,0.698
5.498,0.148,52.225,58.773,52,32.498,34.0,24,54,5.8,28,380.49,30,0.654
5.332,0.078,47.691,53.302,48,31.853,33.938,21,51,2.1,27,376.91,30,0.707
4.921,0.158,38.018,42.322,37,23.106,23.409,16,38,10.8,21,292.33,22,0.633
4.222,0.15,40.131,44.579,39,24.658,25.523,17,40,10.3,22,373.24,23,0.654
4.699,0.054,35.484,38.851,35,24.461,25.347,13,37,5.7,22,312.77,24,0.724
4.699,0.089,42.654,46.894,42,29.677,30.597,15,45,2.4,27,379.84,30,0.728
4.699,0.083,56.698,63.532,56,36.856,37.972,23,60,1.8,33,447.53,37,0.678
6.609,0.053,35.247,39.74,36,23.423,25.745,17,38,0.0,19,267.42,21,0.715
4.699,0.071,53.407,59.554,53,34.018,36.262,24,56,5.7,29,434.0,32,0.684
4.699,0.083,35.291,38.193,34,24.526,25.176,11,36,5.9,23,351.81,25,0.74
4.699,0.086,55.956,62.112,55,35.115,36.557,24,58,9.1,31,444.56,34,0.665
4.699,0.102,46.353,51.179,46,31.536,32.875,18,49,4.3,28,391.88,31,0.715
6.187,0.091,51.578,57.983,52,33.267,35.296,24,55,3.8,28,372.5,31,0.679
4.699,0.061,31.789,34.578,31,22.283,22.864,10,33,6.5,21,298.35,23,0.738
4.903,0.063,30.047,33.515,30,20.526,21.682,12,32,0.0,18,257.74,20,0.723
4.701,0.093,42.062,46.289,41,27.467,28.296,16,43,7.3,25,361.43,27,0.69
4.699,0.109,51.578,57.983,52,33.267,35.296,24,55,3.8,28,372.5,31,0.679
4.851,0.054,53.083,59.61,53,33.191,35.404,25,56,5.7,28,399.56,31,0.668
4.699,0.089,42.465,46.499,42,30.122,31.517,15,45,2.4,27,396.29,30,0.75
5.385,0.13,51.862,57.072,51,34.346,35.58,20,54,7.8,31,436.53,34,0.698
4.699,0.061,31.789,34.578,31,22.283,22.864,10,33,6.5,21,298.35,23,0.738
6.686,0.075,39.138,42.269,38,26.89,27.256,13,40,10.5,25,356.78,27,0.717
4.699,0.057,34.993,37.929,33,23.465,23.193,10,35,6.1,23,341.34,25,0.703
4.699,0.061,46.418,52.362,46,29.42,30.512,20,49,2.2,26,353.44,29,0.663
4.699,0.081,36.105,39.063,35,24.857,25.693,12,37,8.6,23,349.82,25,0.734
5.866,0.082,57.512,64.402,57,37.188,38.489,24,61,3.5,33,445.54,37,0.675
6.429,0.091,51.327,57.693,52,33.74,36.489,24,55,1.9,28,388.57,31,0.702
5.222,0.15,39.902,44.737,39,23.632,24.171,18,40,10.3,21,294.35,22,0.62
4.699,0.083,45.025,49.97,45,30.821,32.421,18,48,2.2,27,375.88,30,0.72
7.433,0.12,47.974,52.392,47,32.932,34.222,17,50,6.4,30,440.94,33,0.728
4.699,0.073,39.222,43.74,39,25.369,26.904,17,41,5.1,22,315.43,24,0.69
5.389,0.083,56.0,63.062,56,35.805,37.551,25,60,3.6,31,415.54,35,0.671
5.056,0.056,51.418,57.278,51,33.158,34.887,22,54,5.9,29,410.54,32,0.684
6.124,0.104,46.836,50.679,45,32.706,33.364,14,48,4.4,31,461.52,34,0.741
4.699,0.093,51.236,58.687,52,31.101,33.608,27,54,1.9,25,337.51,27,0.646
4.699,0.07,54.302,60.693,54,34.685,36.648,24,57,5.6,30,424.57,33,0.679
5.166,0.073,39.458,43.21,39,26.593,28.46,16,41,7.7,23,394.31,25,0.73
4.699,0.078,48.014,53.246,48,32.681,34.796,20,51,2.1,28,411.35,31,0.725
4.699,0.1,47.578,53.983,48,29.267,31.296,24,50,4.2,24,324.46,26,0.652
4.699,0.075,38.665,42.534,38,25.557,26.597,15,40,7.9,23,329.41,25,0.7
