pXC50,N.,nN,nS,nHet,H.,nHM,nF,Mp,nBM,SCBO,nX,X.,nAB
6.495,0.0,0,0,4,38.7,0,0,0.69,14,28.0,0,0.0,12
6.398,0.0,0,0,4,41.2,0,0,0.681,14,29.0,0,0.0,12
4.971,3.7,1,1,4,33.3,1,0,0.763,14,28.5,0,0.0,11
7.658,7.5,3,0,8,35.0,0,1,0.684,16,38.0,1,2.5,12
5.215,6.3,3,0,7,35.4,0,0,0.712,25,49.0,0,0.0,22
7.301,7.5,3,1,8,35.0,2,0,0.736,16,38.0,1,2.5,12
6.18,7.1,3,0,7,35.7,0,0,0.7,20,41.5,0,0.0,17
7.469,7.1,3,1,7,35.7,1,0,0.728,20,41.5,0,0.0,17
5.0,7.1,3,1,7,35.7,1,0,0.728,20,41.5,0,0.0,17
7.284,7.0,3,1,10,32.6,1,3,0.702,16,41.0,3,7.0,12
5.495,7.1,3,0,7,35.7,0,0,0.7,20,41.5,0,0.0,17
6.699,7.0,3,1,11,30.2,2,3,0.733,16,42.0,4,9.3,12
6.602,5.1,2,1,7,33.3,2,0,0.755,19,40.0,1,2.6,16
6.658,9.1,4,0,11,29.5,0,3,0.687,20,45.5,3,6.8,17
4.166,0.0,0,0,2,60.0,0,0,0.574,1,8.0,0,0.0,0
5.31,7.5,3,0,7,37.5,0,0,0.685,16,37.0,0,0.0,12
7.051,7.9,3,0,7,34.2,0,0,0.701,19,39.0,0,0.0,16
5.523,6.8,3,0,7,34.1,0,0,0.714,24,46.5,0,0.0,21
5.658,9.8,4,1,8,34.1,1,0,0.728,20,41.5,0,0.0,17
7.553,7.0,3,0,11,30.2,1,3,0.705,16,42.0,4,9.3,12
5.658,7.3,3,1,9,31.7,1,0,0.725,21,44.0,0,0.0,16
5.229,7.0,3,0,10,32.6,0,3,0.674,16,41.0,3,7.0,12
7.495,7.9,3,0,9,28.9,2,0,0.746,19,41.0,2,5.3,16
6.959,5.1,2,1,7,33.3,2,0,0.755,19,40.0,1,2.6,16
5.377,9.5,4,0,7,38.1,0,0,0.689,19,40.0,0,0.0,16
7.509,7.3,3,0,10,29.3,0,3,0.688,19,43.0,3,7.3,16
7.721,9.8,4,0,10,29.3,0,2,0.696,20,43.5,2,4.9,17
4.229,7.3,3,0,6,36.6,0,0,0.706,20,40.5,0,0.0,17
7.108,7.9,3,0,8,31.6,1,0,0.724,19,40.0,1,2.6,16
6.796,9.8,4,0,8,34.1,0,0,0.699,20,41.5,0,0.0,17
8.495,7.9,3,0,9,28.9,0,2,0.698,19,41.0,2,5.3,16
6.62,9.8,4,0,10,29.3,1,1,0.718,20,43.5,2,4.9,17
6.337,7.1,3,1,8,33.3,1,1,0.727,20,42.5,1,2.4,17
6.824,5.1,2,0,7,33.3,1,0,0.725,19,40.0,1,2.6,16
6.143,7.9,3,1,7,34.2,1,0,0.733,19,39.0,0,0.0,16
7.886,7.5,3,0,8,35.0,1,0,0.707,16,38.0,1,2.5,12
5.658,6.5,3,0,14,26.1,1,6,0.694,16,46.0,7,15.2,12
6.77,7.3,3,0,10,31.7,0,2,0.676,16,40.0,2,4.9,12
6.377,7.9,3,1,7,34.2,1,0,0.733,19,39.0,0,0.0,16
6.268,7.9,3,0,8,31.6,1,0,0.737,19,40.0,1,2.6,16
4.495,0.0,0,0,4,38.1,0,0,0.66,8,18.0,0,0.0,6
5.357,0.0,0,0,9,19.2,5,0,0.938,12,28.0,5,19.2,12
5.051,3.8,1,0,9,19.2,6,0,0.994,12,28.0,6,23.1,12
5.0,0.0,0,0,6,32.3,0,0,0.695,14,31.0,0,0.0,12
5.194,0.0,0,0,9,16.0,6,0,1.011,12,28.0,6,24.0,12
5.495,0.0,0,0,9,16.0,6,0,0.893,12,28.0,6,24.0,12
4.208,0.0,0,0,3,33.3,0,0,0.703,8,18.0,0,0.0,6
5.244,0.0,0,0,9,16.0,6,0,1.011,12,28.0,6,24.0,12
4.538,0.0,0,0,8,30.3,0,0,0.68,14,33.0,0,0.0,12
6.886,2.6,1,1,7,34.2,1,0,0.724,16,37.0,0,0.0,12
6.086,2.6,1,1,7,34.2,1,0,0.724,16,37.0,0,0.0,12
6.553,2.4,1,1,7,36.6,1,0,0.714,16,38.0,0,0.0,12
6.319,3.2,1,1,7,35.5,1,0,0.701,10,28.0,0,0.0,6
5.212,3.1,1,1,5,34.4,1,0,0.744,15,32.0,0,0.0,12
6.658,2.9,2,0,11,35.3,0,0,0.698,33,67.5,0,0.0,29
5.79,2.7,2,0,12,35.6,0,0,0.694,34,71.5,0,0.0,29
6.398,2.9,2,0,11,35.3,0,0,0.698,33,67.5,0,0.0,29
5.714,2.7,2,0,12,35.6,0,0,0.694,34,71.5,0,0.0,29
6.046,3.4,2,0,11,33.9,0,0,0.694,28,59.5,0,0.0,23
5.495,0.0,0,0,5,35.3,0,0,0.701,15,33.0,0,0.0,12
6.409,3.0,1,0,5,33.3,0,2,0.708,18,33.5,2,6.1,17
4.301,6.9,2,0,6,34.5,0,0,0.685,15,29.0,0,0.0,12
4.413,3.1,1,0,4,40.6,0,0,0.686,14,28.0,0,0.0,12
4.301,3.3,1,0,6,33.3,0,3,0.677,13,28.0,3,10.0,12
4.301,3.7,1,0,4,37.0,1,0,0.743,13,25.0,1,3.7,12
4.301,2.6,1,0,3,48.7,0,0,0.661,13,28.0,0,0.0,12
4.415,18.2,4,0,7,22.7,1,0,0.752,13,26.5,1,4.5,11
5.222,7.4,2,0,6,29.6,0,0,0.708,11,29.0,0,0.0,6
4.387,0.0,0,0,3,59.3,0,0,0.613,2,39.0,0,0.0,0
5.347,6.5,2,0,10,32.3,0,0,0.635,11,29.0,0,0.0,6
5.367,0.0,0,0,5,40.0,0,0,0.661,9,25.0,0,0.0,6
5.745,0.0,0,0,5,28.6,0,0,0.693,9,22.0,0,0.0,6
4.796,0.0,0,0,11,38.5,0,0,0.646,14,43.0,0,0.0,12
4.301,0.0,0,0,3,50.0,0,0,0.554,1,6.0,0,0.0,0
5.857,0.0,0,0,6,38.5,0,1,0.674,14,34.0,1,2.6,12
4.0,7.7,3,1,9,30.8,1,3,0.717,21,41.0,3,7.7,20
4.0,7.1,3,1,9,33.3,1,3,0.708,21,42.0,3,7.1,20
5.061,0.0,0,0,3,45.0,0,0,0.68,13,32.5,0,0.0,11
6.638,4.8,2,1,8,45.2,2,0,0.671,10,31.0,1,2.4,6
6.42,6.1,2,1,8,39.4,2,0,0.694,10,28.0,1,3.0,6
4.959,10.0,3,0,8,33.3,0,1,0.661,9,28.0,1,3.3,6
8.046,5.4,2,1,9,27.0,2,3,0.752,21,41.0,4,10.8,20
6.155,7.9,3,1,9,42.1,2,0,0.676,10,30.0,1,2.6,6
8.301,4.9,2,1,9,31.7,1,3,0.711,21,42.0,3,7.3,20
6.1,4.7,2,1,7,39.5,2,0,0.72,18,38.0,1,2.3,16
8.097,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
7.284,5.0,2,1,9,30.0,2,3,0.752,21,42.0,4,10.0,20
6.155,6.5,3,1,9,37.0,1,0,0.701,19,43.0,0,0.0,16
5.5,2.6,1,1,4,43.6,1,0,0.709,17,33.0,0,0.0,16
5.35,2.8,1,1,6,36.1,3,0,0.767,17,34.0,2,5.6,16
5.95,2.8,1,1,6,36.1,3,0,0.767,17,34.0,2,5.6,16
5.75,2.8,1,1,6,36.1,3,0,0.767,17,34.0,2,5.6,16
5.5,2.8,1,1,6,36.1,2,1,0.741,17,34.0,2,5.6,16
5.65,2.6,1,1,6,38.5,2,1,0.729,17,35.0,2,5.1,16
5.65,5.4,2,1,7,32.4,3,0,0.78,18,38.0,2,5.4,16
6.0,4.5,2,2,9,38.6,3,0,0.729,19,40.0,1,2.3,16
5.75,2.2,1,1,5,39.1,2,0,0.745,23,43.0,1,2.2,22
5.75,2.6,1,1,5,41.0,2,0,0.731,17,34.0,1,2.6,16
5.25,2.6,1,1,5,41.0,2,0,0.731,17,34.0,1,2.6,16
5.1,2.2,1,2,7,42.2,2,0,0.71,19,39.0,0,0.0,16
6.55,2.3,1,1,5,44.2,1,0,0.695,17,35.0,0,0.0,16
6.386,2.4,1,1,7,39.0,2,0,0.718,19,38.0,1,2.4,16
6.939,2.2,1,1,7,42.2,1,0,0.684,19,39.0,0,0.0,16
6.15,4.4,2,1,9,37.8,2,0,0.708,20,42.0,1,2.2,16
7.201,4.3,2,2,11,37.0,3,0,0.717,21,44.0,1,2.2,16
5.4,2.1,1,1,10,37.5,1,3,0.674,19,43.0,3,6.3,16
6.764,0.0,0,1,7,41.3,2,0,0.704,16,39.0,1,2.2,12
7.523,7.7,3,1,9,35.9,2,0,0.716,16,37.0,1,2.6,12
6.252,5.4,2,1,7,32.4,1,2,0.73,21,39.0,2,5.4,20
8.155,5.4,2,1,9,27.0,1,4,0.727,21,41.0,4,10.8,20
7.276,4.3,2,1,8,31.9,1,3,0.733,27,50.0,3,6.4,26
6.18,5.4,2,1,6,35.1,2,0,0.757,21,38.0,1,2.7,20
4.642,0.0,0,0,7,54.3,0,0,0.616,5,45.0,0,0.0,0
4.359,0.0,0,0,7,55.4,0,0,0.611,4,44.0,0,0.0,0
8.097,4.9,2,1,9,31.7,1,3,0.711,21,42.0,3,7.3,20
8.0,5.4,2,1,9,27.0,2,3,0.752,21,41.0,4,10.8,20
7.921,3.9,2,1,9,33.3,1,3,0.719,27,52.0,3,5.9,26
7.886,5.4,2,1,9,27.0,2,3,0.765,21,41.0,4,10.8,20
7.0,4.7,2,1,8,34.9,1,3,0.709,21,42.0,3,7.0,20
6.161,5.4,2,1,7,32.4,1,2,0.73,21,39.0,2,5.4,20
7.824,6.0,3,1,10,36.0,1,3,0.694,21,47.0,3,6.0,20
8.222,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
8.0,10.8,4,1,8,32.4,1,0,0.732,19,39.0,0,0.0,16
8.0,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
7.854,5.4,2,1,9,27.0,2,3,0.765,21,41.0,4,10.8,20
8.097,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
6.658,5.0,2,1,9,35.0,3,0,0.738,16,38.0,2,5.0,12
7.959,5.4,2,1,9,27.0,1,4,0.727,21,41.0,4,10.8,20
7.959,5.4,2,1,9,27.0,2,3,0.752,21,41.0,4,10.8,20
6.788,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
5.796,5.6,2,1,9,25.0,1,3,0.74,22,42.0,3,8.3,20
8.046,5.4,2,1,6,35.1,1,1,0.732,21,38.0,1,2.7,20
6.0,5.4,2,1,6,35.1,1,1,0.732,21,38.0,1,2.7,20
7.0,7.1,3,1,8,35.7,1,0,0.716,19,41.0,0,0.0,16
7.77,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
5.249,6.3,3,1,9,41.7,2,0,0.692,16,40.0,1,2.1,12
4.137,0.0,0,0,3,44.4,0,0,0.679,14,29.0,0,0.0,12
5.658,0.0,0,0,3,44.4,0,0,0.679,14,29.0,0,0.0,12
5.215,0.0,0,0,3,48.3,0,0,0.645,8,20.0,0,0.0,6
4.387,0.0,0,0,3,46.2,0,0,0.672,14,30.0,0,0.0,12
5.959,0.0,0,0,3,46.2,0,0,0.672,14,30.0,0,0.0,12
5.143,0.0,0,0,4,45.0,0,0,0.667,14,31.0,0,0.0,12
5.022,0.0,0,0,5,43.9,0,0,0.662,14,32.0,0,0.0,12
5.137,0.0,0,0,5,43.9,0,0,0.662,14,32.0,0,0.0,12
5.495,0.0,0,0,5,43.9,0,0,0.662,14,32.0,0,0.0,12
4.959,0.0,0,0,4,46.5,0,0,0.661,14,32.0,0,0.0,12
5.161,0.0,0,0,5,45.5,0,0,0.657,14,33.0,0,0.0,12
5.31,0.0,0,0,5,45.5,0,0,0.657,14,33.0,0,0.0,12
4.959,0.0,0,0,5,45.5,0,0,0.657,14,33.0,0,0.0,12
6.252,0.0,0,0,13,43.5,0,0,0.628,14,50.0,0,0.0,12
7.301,5.1,2,1,8,43.6,2,0,0.678,10,30.0,1,2.6,6
5.377,4.7,2,1,7,37.2,2,1,0.743,18,40.0,2,4.7,16
6.456,4.7,2,1,6,39.5,2,0,0.733,18,39.0,1,2.3,16
6.721,4.7,2,1,6,39.5,2,0,0.775,18,39.0,1,2.3,16
6.824,4.3,2,1,6,42.6,1,0,0.699,18,40.0,0,0.0,16
6.699,3.8,2,1,5,46.2,1,0,0.691,18,41.0,0,0.0,16
6.721,4.7,2,1,7,37.2,3,0,0.753,18,40.0,2,4.7,16
5.886,4.7,2,1,7,37.2,1,2,0.71,18,40.0,2,4.7,16
4.509,5.0,2,1,5,40.0,1,0,0.722,18,37.0,0,0.0,16
5.745,4.3,2,1,7,39.1,1,2,0.702,18,41.0,2,4.3,16
6.699,4.5,2,1,6,40.9,1,0,0.707,18,39.0,0,0.0,16
6.77,4.3,2,1,7,39.1,1,0,0.708,19,42.0,0,0.0,16
6.824,6.7,2,1,6,33.3,1,0,0.736,19,32.5,0,0.0,17
4.313,4.7,2,0,7,37.2,0,2,0.682,18,40.0,2,4.7,16
6.658,4.7,2,1,5,41.9,1,0,0.713,18,38.0,0,0.0,16
6.638,4.7,2,1,6,39.5,1,1,0.712,18,39.0,1,2.3,16
5.0,4.3,2,1,9,34.8,1,4,0.699,18,43.0,4,8.7,16
5.77,4.7,2,1,8,34.9,2,2,0.742,18,41.0,3,7.0,16
4.854,4.3,2,1,8,37.0,1,3,0.701,18,42.0,3,6.5,16
5.229,4.7,2,1,6,39.5,2,0,0.744,18,39.0,1,2.3,16
6.495,4.7,2,1,6,39.5,2,0,0.744,18,39.0,1,2.3,16
6.62,4.7,2,1,6,39.5,2,0,0.733,18,39.0,1,2.3,16
6.757,7.4,2,1,9,25.9,1,3,0.699,14,29.0,3,11.1,12
6.745,6.7,2,1,8,36.7,2,0,0.705,10,27.0,1,3.3,6
6.569,6.7,2,1,8,36.7,2,0,0.705,10,27.0,1,3.3,6
7.602,4.3,2,1,8,31.9,1,3,0.733,27,50.0,3,6.4,26
6.721,7.3,3,1,9,43.9,2,0,0.669,10,31.0,1,2.4,6
6.569,5.4,2,1,9,32.4,3,0,0.75,16,37.0,2,5.4,12
7.77,7.3,3,1,11,26.8,1,4,0.716,19,44.0,4,9.8,16
7.0,6.7,3,1,9,40.0,2,0,0.698,16,39.0,1,2.2,12
6.886,10.3,3,1,9,34.5,2,0,0.703,10,27.0,1,3.4,6
5.127,8.0,2,0,6,36.0,0,1,0.654,8,22.0,1,4.0,6
6.301,6.7,2,1,9,30.0,1,3,0.688,14,30.0,3,10.0,12
7.553,7.1,3,1,8,35.7,1,0,0.716,19,41.0,0,0.0,16
6.176,7.4,2,1,8,29.6,2,1,0.754,14,28.0,2,7.4,12
6.347,10.7,3,1,8,28.6,2,0,0.756,18,32.0,1,3.6,16
7.301,8.3,2,1,8,25.0,3,0,0.793,14,27.0,2,8.3,12
7.456,7.4,2,1,8,29.6,3,0,0.77,14,28.0,2,7.4,12
6.59,7.4,2,1,8,29.6,1,2,0.702,14,28.0,2,7.4,12
6.328,5.6,2,1,8,33.3,3,0,0.759,15,35.0,2,5.6,12
6.796,6.7,2,2,7,33.3,2,0,0.757,18,32.0,0,0.0,16
7.638,5.4,2,1,7,32.4,1,0,0.737,24,41.0,0,0.0,22
5.921,5.7,2,1,7,34.3,3,0,0.767,14,33.0,2,5.7,12
6.62,8.3,2,1,7,29.2,2,0,0.757,14,26.0,1,4.2,12
6.409,8.3,2,1,8,25.0,1,2,0.716,14,27.0,2,8.3,12
8.523,6.7,2,1,8,30.0,1,1,0.715,18,33.0,1,3.3,16
6.268,8.3,2,1,7,29.2,1,1,0.719,14,26.0,1,4.2,12
7.886,6.1,2,1,7,36.4,1,0,0.706,18,33.0,0,0.0,16
7.268,7.4,2,1,8,29.6,2,1,0.736,14,28.0,2,7.4,12
6.854,6.7,2,1,7,33.3,1,0,0.717,18,32.0,0,0.0,16
6.377,7.3,3,1,7,36.6,1,0,0.722,19,40.0,0,0.0,16
5.42,9.7,3,1,9,29.0,1,0,0.717,18,35.0,0,0.0,16
6.638,7.1,3,1,8,35.7,1,0,0.716,19,41.0,0,0.0,16
7.26,8.3,2,1,8,25.0,3,0,0.793,14,27.0,2,8.3,12
6.215,7.4,2,1,8,33.3,1,1,0.684,10,26.0,1,3.7,6
7.027,7.3,3,1,11,26.8,2,3,0.738,19,44.0,4,9.8,16
6.222,7.4,2,1,6,37.0,1,0,0.706,14,26.0,0,0.0,12
7.585,7.1,3,1,8,35.7,1,0,0.716,19,41.0,0,0.0,16
6.375,7.4,2,1,7,33.3,1,1,0.704,14,27.0,1,3.7,12
6.721,6.7,2,1,8,30.0,2,0,0.746,18,33.0,1,3.3,16
5.854,10.7,3,1,8,28.6,1,1,0.723,18,32.0,1,3.6,16
8.0,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
7.585,7.3,3,1,7,36.6,1,0,0.722,19,40.0,0,0.0,16
7.585,7.9,3,1,8,31.6,2,0,0.768,19,40.0,1,2.6,16
7.469,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
7.585,7.3,3,1,8,34.1,2,0,0.743,19,41.0,1,2.4,16
8.456,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
8.699,7.9,3,1,8,31.6,1,1,0.731,19,40.0,1,2.6,16
7.0,7.3,3,1,11,26.8,1,4,0.716,19,44.0,4,9.8,16
7.481,10.0,4,1,10,30.0,1,0,0.725,21,44.0,0,0.0,16
4.143,0.0,0,0,4,58.5,0,0,0.611,2,40.0,0,0.0,0
8.229,6.8,3,1,7,38.6,1,0,0.713,19,41.0,0,0.0,16
8.509,7.9,3,1,8,31.6,2,0,0.768,19,40.0,1,2.6,16
8.149,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
5.77,6.8,3,2,10,34.1,2,0,0.731,21,45.0,0,0.0,16
9.0,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
8.0,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
6.959,7.9,3,1,9,28.9,2,1,0.753,19,41.0,2,5.3,16
7.377,6.4,3,1,7,36.2,1,0,0.731,24,47.5,0,0.0,21
7.167,7.9,3,1,9,28.9,1,2,0.729,19,41.0,2,5.3,16
6.495,7.3,3,1,8,34.1,1,1,0.72,19,41.0,1,2.4,16
5.638,7.1,3,1,9,33.3,1,1,0.714,19,42.0,1,2.4,16
4.558,2.9,1,0,6,37.1,0,0,0.681,15,32.0,0,0.0,12
4.301,6.3,2,0,9,28.1,0,3,0.67,15,33.0,3,9.4,12
4.37,6.1,2,0,7,36.4,0,0,0.669,15,31.0,0,0.0,12
6.824,6.7,3,0,11,31.1,2,1,0.717,16,44.0,3,6.7,12
7.523,7.9,3,1,8,31.6,1,1,0.731,19,40.0,1,2.6,16
7.0,7.7,3,1,8,33.3,1,0,0.725,19,40.0,0,0.0,16
8.301,7.9,3,1,9,28.9,2,1,0.753,19,41.0,2,5.3,16
6.77,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
7.119,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
8.201,7.9,3,1,9,28.9,1,2,0.729,19,41.0,2,5.3,16
7.432,10.3,4,1,8,33.3,2,0,0.75,18,40.0,1,2.6,16
7.921,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
7.155,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
6.292,6.8,3,1,7,34.1,1,0,0.741,24,46.5,0,0.0,21
7.824,7.9,3,1,8,31.6,2,0,0.755,19,40.0,1,2.6,16
6.456,6.8,3,1,8,31.8,2,0,0.76,24,47.5,1,2.3,21
6.921,7.1,3,1,11,28.6,1,3,0.711,19,44.0,3,7.1,16
5.495,6.4,3,1,7,40.4,1,0,0.705,19,42.0,0,0.0,16
6.377,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
7.824,7.9,3,1,8,31.6,2,0,0.768,19,40.0,1,2.6,16
7.721,7.9,3,1,7,34.2,1,0,0.733,19,39.0,0,0.0,16
6.337,6.8,3,1,10,31.8,1,3,0.708,19,44.0,3,6.8,16
6.328,9.1,4,0,11,29.5,0,3,0.687,20,45.5,3,6.8,17
7.553,9.8,4,0,9,31.7,1,0,0.72,20,42.5,1,2.4,17
7.06,7.5,3,1,9,32.5,1,0,0.719,19,41.0,0,0.0,16
4.0,6.3,2,0,6,40.6,0,1,0.653,8,26.0,1,3.1,6
4.0,6.9,2,0,6,37.9,0,1,0.659,8,25.0,1,3.4,6
4.218,0.0,0,0,11,38.5,0,0,0.646,14,43.0,0,0.0,12
4.0,3.3,1,0,6,33.3,0,3,0.677,13,28.0,3,10.0,12
7.06,7.4,2,1,9,22.2,3,0,0.795,15,33.0,2,7.4,10
5.357,0.0,0,0,4,33.3,2,0,0.759,7,16.0,2,11.1,6
5.456,0.0,0,0,3,42.1,0,0,0.653,7,15.0,0,0.0,6
6.967,4.1,2,1,8,44.9,1,0,0.664,16,38.0,0,0.0,12
7.456,4.9,2,1,11,29.3,2,3,0.719,18,41.0,4,9.8,16
7.538,4.9,2,1,11,29.3,1,4,0.697,18,41.0,4,9.8,16
7.602,7.4,2,1,8,25.9,2,0,0.764,15,32.0,1,3.7,10
9.038,6.7,2,1,8,30.0,2,0,0.746,15,33.0,1,3.3,10
5.959,10.7,3,1,8,28.6,2,0,0.756,15,32.0,1,3.6,10
8.155,7.7,3,0,10,30.8,0,1,0.679,17,40.0,1,2.6,12
6.638,6.5,2,1,8,32.3,1,0,0.709,15,33.0,0,0.0,10
6.754,2.8,1,0,7,36.1,1,1,0.707,14,32.0,2,5.6,12
8.222,5.3,2,0,9,34.2,1,0,0.689,16,36.0,1,2.6,12
6.824,7.4,2,1,7,29.6,1,0,0.732,15,31.0,0,0.0,10
4.173,0.0,0,0,4,31.6,0,0,0.69,8,19.0,0,0.0,6
7.056,0.0,0,0,12,39.3,0,0,0.649,17,50.0,0,0.0,12
7.108,0.0,0,0,12,39.3,0,0,0.649,17,50.0,0,0.0,12
5.435,0.0,0,0,12,37.7,0,0,0.643,14,44.0,0,0.0,12
3.398,0.0,0,0,1,57.1,0,0,0.635,6,27.0,0,0.0,0
5.735,2.3,1,0,11,34.1,0,0,0.656,17,41.0,0,0.0,12
6.13,4.3,2,0,14,30.4,0,0,0.653,19,46.0,0,0.0,12
5.26,7.7,3,2,9,33.3,2,0,0.742,20,41.0,0,0.0,16
6.452,7.7,2,0,6,34.6,0,1,0.668,8,24.0,1,3.8,6
5.638,2.9,1,0,6,41.2,1,0,0.677,9,27.0,1,2.9,6
6.699,6.1,2,0,6,42.4,0,0,0.648,9,26.0,0,0.0,6
5.921,2.7,1,0,5,45.9,0,0,0.646,9,27.0,0,0.0,6
4.699,7.7,2,0,6,34.6,0,1,0.668,8,24.0,1,3.8,6
6.076,2.7,1,0,5,45.9,0,0,0.646,9,27.0,0,0.0,6
4.959,0.0,0,0,3,59.3,0,0,0.613,2,39.0,0,0.0,0
7.262,6.9,2,0,6,27.6,0,2,0.719,14,32.0,2,6.9,12
6.585,2.9,1,0,5,44.1,0,0,0.652,9,26.0,0,0.0,6
7.379,5.1,2,0,9,28.2,1,2,0.734,16,41.0,3,7.7,12
6.638,8.3,3,1,10,30.6,2,1,0.725,16,37.0,2,5.6,12
5.9,7.1,3,1,9,38.1,2,0,0.706,16,38.0,1,2.4,12
6.215,7.4,2,1,9,29.6,3,0,0.75,10,27.0,2,7.4,6
7.301,7.4,2,1,8,33.3,2,0,0.718,10,26.0,1,3.7,6
5.854,6.8,3,1,13,25.0,1,6,0.704,19,47.0,6,13.6,16
4.0,8.6,3,1,7,31.4,1,0,0.745,19,38.0,0,0.0,16
6.959,6.4,3,1,7,40.4,1,0,0.705,19,42.0,0,0.0,16
5.244,6.3,3,1,7,35.4,1,0,0.737,25,49.0,0,0.0,22
7.337,10.0,4,1,10,30.0,1,0,0.725,21,44.0,0,0.0,16
5.412,8.0,2,0,6,36.0,1,0,0.691,8,22.0,1,4.0,6
6.208,7.3,3,1,11,26.8,2,3,0.738,19,44.0,4,9.8,16
6.208,8.0,2,1,6,36.0,2,0,0.739,8,22.0,1,4.0,6
6.0,7.7,3,1,8,33.3,1,0,0.725,19,40.0,0,0.0,16
8.398,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
6.602,7.7,2,1,7,34.6,2,0,0.728,9,24.0,1,3.8,6
6.523,6.8,3,1,8,31.8,2,0,0.76,24,47.5,1,2.3,21
6.161,7.9,3,1,8,31.6,2,0,0.768,19,40.0,1,2.6,16
5.745,7.9,3,1,10,26.3,4,0,0.813,19,42.0,3,7.9,16
6.824,11.5,3,1,9,30.8,2,0,0.716,10,26.0,1,3.8,6
7.602,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
5.35,9.4,3,1,9,37.5,2,0,0.692,10,28.0,1,3.1,6
5.367,6.7,3,1,11,31.1,1,3,0.703,19,45.0,3,6.7,16
7.092,7.7,3,2,8,33.3,2,0,0.756,19,40.0,0,0.0,16
6.854,8.1,3,0,7,35.1,0,2,0.686,14,35.0,2,5.4,12
7.367,7.3,3,1,7,36.6,1,0,0.722,19,40.0,0,0.0,16
4.523,2.7,1,1,8,35.1,1,0,0.701,16,36.0,0,0.0,12
7.699,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
