pXC50,nDB,nH,nBT,Se,nAT,Si,nN,nO,O.,nAB,Sp,Sv,nC,nBO,MW
6.0,9,77,172.0,170.25,167.0,189.35,10,18,10.8,22,109.728,103.87,58,95,1425.56
5.745,0,28,63.0,57.01,58.0,64.976,4,0,0.0,21,39.16,36.407,26,35,396.58
6.0,8,68,143.0,139.915,139.0,158.118,10,10,7.2,22,87.683,83.639,51,75,981.29
6.0,9,74,164.0,158.894,158.0,178.573,10,11,7.0,34,102.421,97.934,63,90,1147.47
7.602,9,74,164.0,158.894,158.0,178.573,10,11,7.0,34,102.421,97.934,63,90,1147.47
6.0,8,70,150.0,145.799,145.0,164.533,10,10,6.9,27,92.444,88.166,55,80,1031.35
6.0,8,70,151.0,146.799,146.0,165.533,10,10,6.8,28,93.444,89.166,56,81,1043.36
6.0,8,70,151.0,146.799,146.0,165.533,10,10,6.8,28,93.444,89.166,56,81,1043.36
7.24,9,76,171.0,164.777,164.0,184.988,10,11,6.7,39,107.183,102.461,67,95,1197.53
5.0,0,34,70.0,64.661,66.0,74.221,4,0,0.0,21,43.444,39.988,28,36,426.66
5.0,1,35,76.0,73.512,73.0,82.255,2,6,8.2,17,47.54,45.115,29,41,543.11
5.0,1,35,76.0,73.512,73.0,82.255,2,6,8.2,17,47.54,45.115,29,41,543.11
5.0,1,38,79.0,76.072,76.0,85.727,2,6,7.9,17,48.444,45.814,30,41,522.7
5.0,1,38,79.0,76.072,76.0,85.727,2,6,7.9,17,48.444,45.814,30,41,522.7
5.553,1,36,80.0,76.189,76.0,85.311,2,6,7.9,22,49.682,47.287,32,44,544.7
5.018,1,33,73.0,70.378,70.0,78.551,2,5,7.1,17,46.972,44.06,28,40,545.15
6.148,3,47,93.0,89.374,90.0,102.048,5,4,4.4,16,56.836,53.029,34,46,589.86
5.0,8,58,125.0,123.65,122.0,138.882,10,10,8.2,16,78.171,74.379,42,67,927.24
6.0,3,29,66.0,65.003,64.0,73.197,5,3,4.7,16,41.165,39.866,25,37,485.59
5.0,8,58,125.0,123.65,122.0,138.882,10,10,8.2,16,78.171,74.379,42,67,927.24
5.398,1,32,76.0,70.501,71.0,79.517,6,1,1.4,30,49.035,45.879,31,44,536.76
5.301,0,19,51.0,46.374,47.0,51.817,3,0,0.0,28,34.108,32.279,25,32,361.47
5.0,2,32,71.0,66.425,67.0,75.597,6,1,1.5,21,44.387,41.692,28,39,468.66
5.469,2,19,50.0,47.349,47.0,52.817,5,2,4.3,22,32.267,31.224,21,31,373.45
5.013,1,33,71.0,66.283,67.0,75.434,5,1,1.5,20,44.79,41.384,27,38,475.72
5.301,0,20,48.0,44.476,45.0,50.315,4,0,0.0,22,31.114,29.3,21,28,328.45
5.538,0,20,52.0,47.552,48.0,53.235,4,0,0.0,26,34.762,32.487,23,32,384.54
6.41,7,66,141.0,138.185,137.0,155.543,10,10,7.3,22,88.217,83.487,49,75,1019.39
5.301,0,18,44.0,40.592,41.0,45.9,4,0,0.0,21,28.353,26.773,19,26,302.41
8.086,9,79,183.0,175.588,175.0,196.532,11,10,5.7,46,117.791,111.669,73,104,1334.77
5.547,1,21,50.0,46.578,47.0,52.813,5,0,0.0,21,32.12,30.321,21,29,343.47
5.818,1,23,58.0,53.461,54.0,60.228,5,0,0.0,27,37.881,35.848,26,35,405.54
5.81,1,21,58.0,54.487,54.0,60.908,5,0,0.0,27,37.756,36.615,26,37,441.52
5.0,1,26,59.0,55.781,56.0,62.979,4,2,3.6,21,37.307,35.31,24,33,402.54
5.59,1,22,62.0,59.21,58.0,65.872,5,1,1.7,27,39.909,39.24,27,40,489.54
5.726,1,31,70.0,64.996,66.0,73.889,5,0,0.0,27,44.927,41.955,30,39,461.66
5.854,1,24,61.0,56.898,57.0,63.564,4,2,3.5,27,39.546,37.783,27,37,436.55
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,68,155.0,150.486,149.0,168.772,13,9,6.0,32,98.637,93.664,56,87,1166.96
6.0,8,76,165.0,160.875,160.0,181.221,11,10,6.3,34,103.592,98.595,62,89,1170.94
6.0,8,78,172.0,166.759,166.0,187.636,11,10,6.0,39,108.353,103.122,66,94,1221.0
5.981,8,71,163.0,157.054,156.0,175.871,11,10,6.4,38,103.745,98.562,62,92,1194.58
6.0,8,78,172.0,166.759,166.0,187.636,11,10,6.0,39,108.353,103.122,66,94,1221.0
6.0,8,75,163.0,158.995,158.0,179.071,11,11,7.0,34,101.427,96.956,61,88,1138.47
6.025,15,104,224.0,222.199,219.0,249.642,18,19,8.7,28,138.774,132.993,76,120,1638.12
5.855,8,67,154.0,149.385,148.0,167.274,12,9,6.1,33,98.631,93.642,57,87,1163.95
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,72,160.0,154.828,154.0,174.16,12,9,5.8,33,101.296,95.868,59,88,1157.57
8.699,15,104,224.0,222.199,219.0,249.642,18,19,8.7,28,138.774,132.993,76,120,1638.12
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.403,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,71,160.0,155.152,154.0,174.104,12,9,5.8,33,102.154,96.696,59,89,1192.01
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,69,157.0,152.268,151.0,170.689,12,9,6.0,33,100.393,95.169,58,88,1177.98
6.0,8,68,154.0,149.381,148.0,167.911,14,9,6.1,32,97.024,92.331,55,86,1133.51
6.0,8,71,162.0,156.046,155.0,175.243,13,9,5.8,37,102.541,97.363,60,91,1182.58
6.0,8,61,145.0,140.734,139.0,157.028,12,9,6.5,33,93.347,89.062,54,84,1121.86
6.0,8,63,148.0,143.617,142.0,160.443,12,9,6.3,33,95.109,90.589,55,85,1135.89
6.0,8,73,164.0,159.035,158.0,178.519,12,9,5.7,34,104.916,99.223,61,91,1218.05
9.42,15,104,224.0,222.199,219.0,249.642,18,19,8.7,28,138.774,132.993,76,120,1638.12
8.638,15,104,224.0,222.199,219.0,249.642,18,19,8.7,28,138.774,132.993,76,120,1638.12
6.86,15,103,220.0,219.424,216.0,246.353,17,20,9.3,24,136.223,130.686,74,117,1615.08
6.854,15,103,220.0,219.424,216.0,246.353,17,20,9.3,24,136.223,130.686,74,117,1615.08
8.569,15,105,226.0,223.981,221.0,251.559,17,19,8.6,29,140.529,134.498,78,121,1649.14
8.387,15,105,226.0,223.981,221.0,251.559,17,19,8.6,29,140.529,134.498,78,121,1649.14
6.0,15,107,230.0,228.184,225.0,256.555,19,19,8.4,29,142.541,136.541,78,123,1679.18
6.0,15,107,230.0,228.184,225.0,256.555,19,19,8.4,29,142.541,136.541,78,123,1679.18
8.276,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.217,8,67,149.0,144.966,144.0,162.46,9,10,6.9,29,94.972,89.992,56,82,1090.46
6.0,8,69,153.0,149.17,148.0,167.456,11,10,6.8,29,96.984,92.035,56,84,1120.5
6.0,8,69,153.0,149.17,148.0,167.456,11,10,6.8,29,96.984,92.035,56,84,1120.5
6.745,0,25,62.0,57.847,58.0,65.006,6,0,0.0,26,41.154,38.411,25,37,477.08
6.886,0,28,65.0,60.407,61.0,68.477,6,0,0.0,26,42.057,39.11,26,37,456.67
8.432,34,207,434.0,434.507,427.0,489.819,41,39,9.1,28,264.098,254.04,137,227,3149.06
6.0,6,60,125.0,121.079,121.0,137.247,8,7,5.8,22,77.024,72.872,46,65,837.14
6.0,6,58,122.0,118.196,118.0,133.832,8,7,5.9,22,75.262,71.345,45,64,823.11
6.0,6,58,122.0,118.196,118.0,133.832,8,7,5.9,22,75.262,71.345,45,64,823.11
6.0,6,58,122.0,118.196,118.0,133.832,8,7,5.9,22,75.262,71.345,45,64,823.11
6.0,6,60,125.0,121.079,121.0,137.247,8,7,5.8,22,77.024,72.872,46,65,837.14
6.0,6,60,125.0,121.079,121.0,137.247,8,7,5.8,22,77.024,72.872,46,65,837.14
6.0,6,62,128.0,123.963,124.0,140.663,8,7,5.6,22,78.785,74.398,47,66,851.17
6.573,8,70,161.0,154.297,154.0,172.954,10,8,5.2,40,103.83,98.111,64,91,1171.58
8.921,8,70,161.0,154.297,154.0,172.954,10,8,5.2,40,103.83,98.111,64,91,1171.58
5.432,0,34,70.0,64.661,66.0,74.221,4,0,0.0,21,43.444,39.988,28,36,426.66
6.0,0,26,61.0,55.454,56.0,62.77,4,1,1.8,21,37.853,35.595,25,35,398.55
6.0,8,73,165.0,158.61,158.0,178.077,11,9,5.7,38,105.052,99.374,63,92,1192.61
5.337,8,74,167.0,160.384,160.0,180.366,12,8,5.0,39,106.603,100.68,64,93,1203.64
5.801,8,69,151.0,147.17,146.0,165.456,11,10,6.8,27,94.984,90.035,54,82,1096.48
5.315,8,69,151.0,147.17,146.0,165.456,11,10,6.8,27,94.984,90.035,54,82,1096.48
5.0,8,63,139.0,136.847,135.0,153.42,11,11,8.1,22,87.154,83.169,48,76,1034.36
6.0,9,65,149.0,146.057,144.0,163.045,11,12,8.3,28,94.37,90.411,54,84,1124.44
5.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.387,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.194,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
5.269,3,37,78.0,73.301,74.0,83.554,5,2,2.7,16,48.12,44.965,30,41,499.72
5.337,1,34,75.0,70.309,71.0,80.012,6,1,1.4,26,47.148,44.218,30,41,494.7
5.481,0,21,53.0,48.578,49.0,54.813,5,0,0.0,26,34.12,32.321,23,32,367.49
6.0,12,105,229.0,223.686,222.0,250.977,13,17,7.7,41,144.12,137.037,85,124,1645.17
6.249,12,105,229.0,223.686,222.0,250.977,13,17,7.7,41,144.12,137.037,85,124,1645.17
6.042,12,105,229.0,223.686,222.0,250.977,13,17,7.7,41,144.12,137.037,85,124,1645.17
7.31,8,68,150.0,146.068,145.0,163.958,10,10,6.9,28,94.978,90.013,55,82,1093.47
6.0,13,104,222.0,218.551,216.0,245.851,16,18,8.3,28,137.069,130.762,76,118,1594.1
6.0,8,76,171.0,164.268,164.0,184.781,12,8,4.9,40,109.365,103.207,66,95,1229.68
6.0,12,98,214.0,210.253,208.0,235.814,14,17,8.2,35,134.081,127.951,77,116,1556.03
8.276,9,78,168.0,164.134,163.0,184.825,12,11,6.7,28,105.49,99.878,60,90,1207.64
8.8,7,68,154.0,147.915,147.0,166.118,10,10,6.8,34,95.683,91.639,59,86,1077.37
5.997,8,73,165.0,158.603,158.0,178.449,13,8,5.1,38,104.848,99.175,62,92,1192.62
6.133,8,69,149.0,143.515,143.0,162.037,11,8,5.6,22,93.075,87.605,53,80,1052.47
5.989,9,75,170.0,163.821,163.0,183.702,11,10,6.1,38,108.268,102.615,65,95,1234.65
6.0,10,68,151.0,149.363,147.0,167.539,14,12,8.2,22,94.387,90.475,51,83,1133.47
6.0,8,65,141.0,138.403,137.0,155.626,11,10,7.3,22,88.461,83.981,49,76,1032.39
5.627,0,23,66.0,60.723,60.0,67.857,8,1,1.7,31,41.529,40.484,27,43,494.58
6.0,2,36,78.0,73.199,74.0,83.055,4,2,2.7,22,49.114,45.944,32,42,508.72
6.633,3,37,82.0,77.629,78.0,87.763,5,3,3.8,22,51.574,48.68,33,45,551.75
6.0,8,68,156.0,151.494,150.0,169.4,11,10,6.7,33,99.842,94.862,58,88,1178.96
5.779,8,73,165.0,158.61,158.0,178.077,11,9,5.7,38,105.052,99.374,63,92,1192.61
5.698,8,73,165.0,158.61,158.0,178.077,11,9,5.7,38,105.052,99.374,63,92,1192.61
5.379,2,31,68.0,65.709,65.0,73.856,5,5,7.7,16,41.847,39.716,23,37,489.66
5.292,1,26,55.0,52.887,53.0,59.84,3,2,3.8,12,34.921,32.643,21,29,387.95
7.745,3,32,70.0,66.087,66.0,74.644,4,4,6.1,12,42.5,40.32,26,38,464.62
7.62,1,27,68.0,62.214,62.0,69.817,6,2,3.2,20,42.671,40.378,26,41,535.49
5.71,4,30,69.0,63.88,64.0,72.15,5,2,3.1,10,43.188,40.41,26,39,524.51
6.3,1,27,68.0,62.214,62.0,69.817,6,2,3.2,20,42.671,40.378,26,41,535.49
6.0,8,68,143.0,139.915,139.0,158.118,10,10,7.2,22,87.683,83.639,51,75,981.29
6.017,8,70,150.0,145.472,145.0,164.324,10,9,6.2,28,92.99,88.451,56,80,1027.36
8.805,4,30,69.0,63.88,64.0,72.15,5,2,3.1,10,43.188,40.41,26,39,524.51
6.0,9,79,176.0,171.243,170.0,191.951,11,12,7.1,35,111.7,106.098,66,97,1282.7
6.0,8,64,140.0,137.621,136.0,154.709,12,10,7.4,22,87.705,83.476,48,76,1033.38
6.0,8,66,142.0,139.185,138.0,156.543,10,10,7.2,22,89.217,84.487,50,76,1031.4
6.0,13,98,217.0,212.573,210.0,238.396,16,17,8.1,34,135.331,129.467,77,119,1584.05
7.337,12,103,218.0,213.639,212.0,240.943,16,15,7.1,28,137.365,128.935,75,115,1659.98
8.0,11,90,194.0,191.392,189.0,214.944,14,16,8.5,28,120.58,115.129,67,104,1411.85
6.593,12,111,233.0,228.329,227.0,257.595,15,16,7.0,35,145.2,137.418,83,122,1639.23
7.347,12,108,233.0,227.664,226.0,256.262,16,16,7.1,40,145.683,138.386,84,125,1662.22
6.0,8,69,160.0,156.366,154.0,175.179,12,9,5.8,33,101.109,97.018,59,91,1211.54
5.0,8,70,154.0,149.952,149.0,168.373,10,10,6.7,29,97.739,92.54,57,84,1119.51
6.0,10,72,162.0,159.137,157.0,177.998,12,13,8.3,28,102.114,97.727,58,90,1209.56
6.0,8,70,154.0,149.952,149.0,168.373,10,10,6.7,29,97.739,92.54,57,84,1119.51
8.602,12,96,212.0,208.541,206.0,233.618,15,17,8.3,34,134.984,127.762,75,116,1670.9
6.0,8,73,165.0,158.61,158.0,178.077,11,9,5.7,38,105.052,99.374,63,92,1192.61
7.229,10,72,161.0,157.81,156.0,176.788,12,12,7.7,28,101.66,97.013,58,89,1193.56
8.4,7,68,153.0,146.588,146.0,164.908,10,9,6.2,34,95.228,90.924,59,85,1061.37
6.141,8,67,148.0,143.959,143.0,161.832,11,9,6.3,28,93.768,88.793,54,81,1078.46
6.231,8,71,159.0,154.054,153.0,172.871,11,10,6.5,33,100.745,95.562,59,88,1158.55
6.24,8,66,149.0,144.872,144.0,162.562,12,8,5.6,28,99.637,91.733,54,83,1329.26
6.0,8,62,136.0,133.417,132.0,149.712,10,10,7.6,22,85.694,81.433,48,74,1003.34
5.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.0,10,79,178.0,173.89,172.0,194.742,13,13,7.6,34,112.404,107.329,65,99,1314.71
6.8,8,70,156.0,150.945,150.0,169.745,12,9,6.0,32,98.535,93.341,57,86,1131.53
5.45,7,67,148.0,142.159,142.0,160.201,9,8,5.6,34,92.768,88.188,58,81,1018.34
6.0,8,79,176.0,169.261,169.0,190.323,11,9,5.3,40,112.336,105.954,68,97,1258.72
7.149,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
7.854,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
6.611,12,105,229.0,224.006,222.0,251.558,15,17,7.7,40,143.37,136.553,83,124,1649.17
6.0,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.724,9,84,182.0,176.784,176.0,199.07,12,11,6.3,34,114.774,108.459,67,98,1297.77
6.0,13,104,222.0,218.551,216.0,245.851,16,18,8.3,28,137.069,130.762,76,118,1594.1
6.51,11,90,198.0,194.064,192.0,217.735,14,15,7.8,34,124.126,118.414,71,108,1443.89
7.564,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.0,9,78,174.0,169.461,168.0,190.034,12,12,7.1,34,109.944,104.593,64,96,1271.68
5.842,8,75,169.0,162.494,162.0,182.492,11,9,5.6,39,107.813,101.9,65,94,1218.65
6.0,13,98,217.0,212.573,210.0,238.396,16,17,8.1,34,135.331,129.467,77,119,1584.05
7.569,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
5.492,8,71,159.0,154.054,153.0,172.871,11,10,6.5,33,100.745,95.562,59,88,1158.55
6.0,7,70,145.0,141.799,141.0,160.533,10,10,7.1,22,88.444,84.166,51,75,983.31
7.7,15,100,213.0,212.432,209.0,238.811,18,19,9.1,22,131.251,125.939,70,113,1562.02
5.0,9,67,151.0,147.614,146.0,165.25,11,11,7.5,28,95.677,91.223,55,84,1122.47
7.569,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
7.77,11,96,208.0,204.042,202.0,229.19,14,16,7.9,34,129.865,123.709,74,112,1501.98
7.125,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
6.0,11,89,202.0,197.603,195.0,221.399,17,15,7.7,39,126.62,121.425,72,113,1496.92
6.0,8,75,168.0,161.857,161.0,182.041,12,8,5.0,33,106.95,100.777,62,93,1231.7
7.194,14,109,236.0,231.42,229.0,260.18,17,18,7.9,34,146.598,139.837,83,127,1697.23
6.347,12,100,210.0,206.802,205.0,233.392,16,15,7.3,28,130.183,123.564,72,110,1494.02
6.759,8,73,165.0,158.61,158.0,178.077,11,9,5.7,38,105.052,99.374,63,92,1192.61
6.0,8,60,128.0,126.534,125.0,142.297,10,10,8.0,16,79.932,75.906,43,68,941.27
5.387,0,44,90.0,85.396,86.0,96.763,2,5,5.8,22,55.273,51.68,35,46,572.81
5.678,0,51,106.0,100.148,101.0,113.507,3,5,5.0,28,65.563,61.281,42,55,677.96
5.398,0,50,105.0,99.374,100.0,112.218,2,6,6.0,28,65.012,60.975,42,55,678.94
5.357,0,50,105.0,99.374,100.0,112.218,2,6,6.0,28,65.012,60.975,42,55,678.94
6.523,0,48,102.0,96.81,97.0,109.384,4,6,6.2,27,62.501,58.964,39,54,668.91
5.167,0,42,87.0,82.832,83.0,93.929,4,5,6.0,21,52.762,49.669,32,45,562.78
5.62,0,43,86.0,82.621,83.0,93.474,1,6,7.2,18,52.722,49.373,33,43,549.77
5.398,0,50,105.0,99.374,100.0,112.218,2,6,6.0,28,65.012,60.975,42,55,678.94
5.37,3,35,75.0,70.418,71.0,80.138,5,2,2.8,16,46.358,43.439,29,40,485.69
6.27,3,41,86.0,80.068,81.0,91.384,5,2,2.5,16,52.643,49.019,33,45,539.79
4.0,5,43,90.0,88.581,88.0,100.218,7,6,6.8,16,55.472,52.921,32,47,621.82
6.0,6,56,119.0,115.312,115.0,130.417,8,7,6.1,22,73.501,69.818,44,63,809.08
4.88,5,51,102.0,100.116,100.0,113.879,7,6,6.0,16,62.518,59.028,36,51,677.94
5.0,0,38,76.0,70.428,72.0,81.052,4,0,0.0,21,46.967,43.041,30,38,454.72
5.0,1,31,66.0,62.4,63.0,71.019,5,1,1.6,20,42.029,38.857,25,35,449.68
5.762,1,22,58.0,53.785,54.0,60.172,5,0,0.0,27,38.739,36.676,26,36,439.98
7.237,0,25,62.0,58.036,58.0,65.402,6,0,0.0,26,40.233,37.967,25,37,460.63
6.0,7,57,126.0,123.221,122.0,138.174,9,9,7.4,22,79.711,75.643,45,69,932.25
5.465,1,22,61.0,57.883,57.0,64.663,5,0,0.0,27,39.455,38.525,27,39,473.54
5.0,1,27,60.0,56.556,57.0,64.268,5,1,1.8,21,37.858,35.617,24,33,401.56
5.585,1,21,59.0,55.814,55.0,62.117,5,1,1.8,27,38.211,37.33,26,38,457.52
6.0,7,57,126.0,123.221,122.0,138.174,9,9,7.4,22,79.711,75.643,45,69,932.25
5.636,1,25,62.0,57.672,58.0,64.853,5,1,1.7,27,40.097,38.09,27,37,435.57
5.041,1,23,63.0,59.992,59.0,66.789,4,1,1.7,27,40.665,39.745,28,40,488.55
7.051,3,43,96.0,90.279,91.0,102.009,5,3,3.3,28,60.859,57.261,40,53,641.88
6.0,8,61,130.0,128.636,127.0,144.795,11,10,7.9,16,80.938,76.928,43,69,956.29
7.569,8,66,148.0,144.512,143.0,161.752,10,11,7.7,28,93.671,89.201,54,82,1095.44
6.562,14,111,239.0,234.304,232.0,263.595,17,18,7.8,34,148.359,141.364,84,128,1711.26
6.0,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
7.602,11,99,213.0,208.708,207.0,234.522,13,16,7.7,35,133.382,126.742,77,114,1527.03
6.0,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.0,8,66,151.0,147.17,146.0,165.287,14,8,5.5,28,96.808,92.089,56,85,1127.5
6.0,8,74,167.0,160.384,160.0,180.366,12,8,5.0,39,106.603,100.68,64,93,1203.64
8.4,7,66,150.0,144.025,143.0,162.075,12,9,6.3,33,92.717,88.914,56,84,1051.34
6.076,9,68,153.0,149.716,148.0,167.749,12,11,7.4,28,96.683,92.244,55,85,1137.49
5.901,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
8.071,11,98,212.0,207.77,206.0,233.615,15,15,7.3,34,134.836,126.86,75,114,1640.92
6.0,8,78,175.0,167.228,167.0,188.116,12,8,4.8,38,111.774,104.921,66,97,1263.77
6.0,8,65,142.0,139.73,138.0,156.835,11,11,8.0,22,88.915,84.696,49,77,1048.39
5.975,8,69,156.0,151.13,150.0,169.875,12,8,5.3,33,99.018,94.01,58,87,1145.53
5.772,8,67,154.0,149.385,148.0,167.274,12,9,6.1,33,98.631,93.642,57,87,1163.95
5.987,8,67,154.0,149.385,148.0,167.274,12,9,6.1,33,98.631,93.642,57,87,1163.95
7.824,12,106,230.0,224.78,223.0,252.847,16,16,7.2,40,143.922,136.859,83,124,1648.19
7.481,11,96,207.0,202.715,201.0,227.98,14,15,7.5,34,129.41,122.995,74,111,1485.98
6.185,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
6.706,9,73,161.0,157.592,156.0,176.705,11,12,7.7,28,101.416,96.518,58,88,1180.56
8.444,11,95,208.0,204.112,202.0,228.91,14,16,7.9,34,132.524,125.026,74,113,1627.87
6.0,9,67,151.0,147.614,146.0,165.25,11,11,7.5,28,95.677,91.223,55,84,1122.47
7.854,12,99,212.0,207.871,206.0,234.113,16,15,7.3,28,133.842,125.881,73,113,1631.92
6.0,13,100,216.0,212.784,210.0,239.02,16,18,8.6,28,133.546,127.709,74,116,1566.04
6.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.0,2,30,64.0,60.549,61.0,68.81,4,2,3.3,16,39.83,37.364,25,34,418.59
