pXC50,GGI7,Eig11_AEA.ri.,Eig11_EA.ri.,Eig11_EA,SM05_AEA.dm.,ATSC5p,Eig11_EA.ed.,SM06_AEA.ri.,Psi_i_1,TIC3,SpMax6_Bh.p.,Eig13_AEA.ed.,ATSC5m,SpMin5_Bh.i.,TIC4,TIC5,Eig14_AEA.bo.,SpMin7_Bh.i.,SpMax8_Bh.v.,Eig12_AEA.ed.,SNar,Xt,Eig12_AEA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,X1v,RDCHI,SpMin6_Bh.i.,Eig12_EA,Eig12_EA.bo.,SM06_AEA.dm.,Eig14_AEA.ri.,Eig12_EA.ed.,Eig12_EA.ri.,SM07_AEA.ri.,SpMin5_Bh.s.,Yindex,SpMax7_Bh.e.,SpMax6_Bh.v.,Eig13_AEA.ri.,Eig15_AEA.ri.,SpMin7_Bh.p.,Eig11_AEA.ed.,SpMin7_Bh.e.,Eig14_AEA.ed.,X1MulPer,SpMax8_Bh.p.,Eig12_AEA.bo.,SpMax7_Bh.i.,X1sol,Chi0_EA.ri.,GMTI,Eig14_EA.ri.,CATS2D_07_AL,SpMin6_Bh.e.,Chi1_EA.ed.,ATS1p,X1Per,ATS1v,SpMax7_Bh.p.,SpMax3_Bh.i.,X1Kup
5.301,0.066,0.204,-0.837,-0.817,-0.817,8.046,-1.617,-1.617,9.507,160.612,2.735,1.0,20.556,1.002,163.367,163.367,-0.5,0.762,2.4,1.434,10.92,0.303,0.0,8.325,8.325,8.325,8.325,8.325,6.581,2.97,0.821,-1.0,-1.478,-1.0,-0.679,-2.347,-1.0,-2.347,0.567,1.015,2.822,2.715,-0.287,-0.858,1.062,1.555,0.846,0.731,6.303,2.447,0.358,2.908,8.274,11.706,2199.0,-1.681,3,0.886,3.386,3.222,5.365,3.138,2.638,3.586,6.536
5.301,0.115,1.528,0.512,0.529,0.529,10.583,1.211,1.211,14.179,199.329,2.877,2.212,27.648,1.008,207.329,207.329,0.673,0.821,2.715,2.541,17.394,0.24,0.812,12.798,12.798,12.798,12.798,12.798,9.248,3.767,0.976,-0.091,-0.105,-0.091,0.392,-0.201,-0.067,-0.201,0.685,0.492,2.854,2.845,0.586,0.0,1.062,3.059,0.886,2.0,7.831,2.735,1.16,2.925,12.48,16.54,7300.0,-0.457,1,1.021,4.562,3.513,6.432,3.446,2.764,3.794,8.11
5.301,0.09,1.501,0.486,0.487,0.487,9.992,1.114,1.114,13.617,196.574,2.866,2.137,25.088,1.007,207.329,207.329,0.661,0.821,2.715,2.515,16.989,0.243,0.806,12.331,12.331,12.331,12.331,12.331,8.356,3.704,0.973,-0.105,-0.123,-0.105,0.28,-0.232,-0.079,-0.232,0.685,0.506,2.854,2.841,0.398,0.0,1.062,2.994,0.886,2.0,7.737,2.735,1.159,2.925,11.509,15.928,6511.0,-0.764,2,1.026,4.526,3.471,6.384,3.413,2.735,3.794,7.962
5.301,0.115,1.529,0.516,0.529,0.529,10.307,1.211,1.211,14.094,187.329,2.871,2.212,26.174,1.008,199.329,205.329,0.673,0.821,2.715,2.541,17.394,0.24,0.813,12.798,12.798,12.798,12.798,12.798,8.833,3.767,0.974,-0.091,-0.105,-0.091,0.393,-0.201,-0.068,-0.201,0.685,0.492,2.854,2.844,0.605,0.0,1.062,3.059,0.886,2.0,7.831,2.735,1.16,2.925,12.192,16.512,7300.0,-0.46,1,1.02,4.562,3.498,6.432,3.44,2.74,3.794,8.092
7.824,0.265,1.246,0.273,0.287,0.287,13.476,0.582,0.582,13.91,242.311,2.984,2.27,34.255,1.389,242.311,242.311,0.419,1.007,2.569,2.415,16.296,0.248,0.737,11.825,11.825,11.825,11.825,11.825,9.217,3.492,1.115,-0.213,-0.254,-0.213,0.284,-0.495,-0.2,-0.495,0.759,0.657,2.898,2.972,0.555,0.111,1.24,2.8,1.061,2.239,8.059,2.579,1.066,2.998,11.229,15.571,4999.0,-0.651,0,1.178,4.297,3.524,6.686,3.43,2.706,3.746,8.37
6.0,0.183,0.88,-0.133,-0.132,-0.132,9.092,-0.315,-0.315,13.439,191.329,2.941,2.0,24.54,1.064,191.329,191.329,0.409,0.961,2.713,2.0,15.603,0.253,0.434,11.288,11.288,11.288,11.288,11.288,8.001,3.561,1.064,-0.558,-0.731,-0.558,0.0,-1.079,-0.551,-1.079,0.825,0.54,2.934,2.91,0.278,0.0,1.229,2.522,1.024,2.0,7.771,2.701,1.0,3.005,10.242,14.49,5064.0,-0.946,3,1.153,3.994,3.412,6.409,3.351,2.735,3.839,7.948
5.301,0.075,1.488,0.474,0.469,0.469,9.642,1.078,1.078,13.139,181.82,2.865,2.1,23.73,1.007,199.329,205.329,0.573,0.821,2.715,2.408,16.583,0.246,0.675,11.865,11.865,11.865,11.865,11.865,7.878,3.641,0.973,-0.325,-0.36,-0.325,0.184,-0.747,-0.324,-0.747,0.686,0.519,2.854,2.841,0.281,0.0,1.062,2.972,0.886,2.0,7.643,2.735,0.874,2.925,10.826,15.344,5794.0,-0.833,3,1.03,4.489,3.444,6.336,3.385,2.735,3.795,7.833
5.301,0.066,-0.129,-1.154,-1.148,-1.148,6.587,-2.773,-2.773,8.174,130.709,2.735,0.514,17.855,0.883,133.464,133.464,-0.618,0.499,2.058,0.847,9.534,0.324,-0.652,7.249,7.249,7.249,7.249,7.249,5.581,2.742,0.821,-1.618,-1.618,-1.618,-0.956,-3.791,-1.5,-3.791,0.312,1.078,2.599,2.715,-0.691,-1.0,0.91,1.0,0.611,0.382,5.33,2.07,-0.463,2.712,7.274,10.364,1521.0,-1.889,1,0.886,2.797,3.071,4.501,2.995,2.349,3.48,5.536
4.0,0.816,1.51,0.515,0.524,0.524,11.16,0.958,0.958,14.638,229.403,3.142,2.623,32.525,1.356,231.403,235.403,0.632,0.905,2.747,2.797,16.989,0.243,1.125,14.2,14.2,14.2,14.2,14.2,8.997,3.752,1.229,0.138,0.166,0.138,0.521,0.317,0.134,0.317,0.563,1.07,3.031,3.151,0.613,0.323,1.282,3.034,1.0,2.273,8.629,2.739,1.391,3.126,10.956,18.706,8667.0,-0.428,1,1.278,4.857,3.423,7.174,3.451,2.787,3.653,8.752
4.301,0.171,0.447,-0.517,-0.531,-0.531,7.515,-1.184,-1.184,10.446,171.367,2.784,1.553,21.141,1.062,171.367,171.367,-0.104,0.742,2.4,1.555,12.712,0.28,0.108,9.335,9.335,9.335,9.335,9.335,6.852,3.139,0.921,-0.88,-1.096,-0.88,-0.449,-1.898,-0.866,-1.898,0.561,0.755,2.826,2.776,-0.009,-0.659,1.062,1.933,0.833,1.474,6.562,2.447,0.555,2.921,8.83,12.702,2824.0,-1.394,0,1.01,3.565,3.224,5.566,3.164,2.601,3.586,6.776
4.0,0.243,0.644,-0.323,-0.333,-0.333,10.933,-0.632,-0.632,12.451,229.403,3.146,1.937,31.199,1.402,231.403,235.403,0.544,0.912,2.729,2.218,14.216,0.265,0.521,11.318,11.318,11.318,11.318,11.318,8.363,3.412,1.252,-0.445,-0.445,-0.445,0.104,-0.871,-0.428,-0.871,0.72,1.025,3.004,3.133,0.328,0.096,1.279,2.334,1.012,1.581,7.91,2.741,0.658,3.107,10.956,15.237,4785.0,-0.975,3,1.324,4.362,3.435,6.741,3.376,2.788,3.592,8.27
4.146,0.117,0.437,-0.48,-0.512,-0.512,9.663,-1.093,-1.093,11.65,181.376,2.668,2.0,27.318,0.937,187.376,187.376,-0.106,0.68,2.408,2.117,13.405,0.273,0.199,9.803,9.803,9.803,9.803,9.803,6.938,2.97,0.893,-0.762,-0.828,-0.762,-0.423,-2.064,-0.722,-2.064,0.531,0.928,2.762,2.646,-0.071,-0.554,1.028,2.36,0.766,1.65,6.68,2.417,0.372,2.835,8.75,12.605,2499.0,-1.298,0,0.96,3.254,3.259,5.522,3.214,2.616,3.602,6.86
4.833,0.194,0.676,-0.253,-0.27,-0.27,12.443,-0.503,-0.503,12.792,213.624,2.851,2.238,33.632,1.128,219.624,221.624,0.2,0.856,2.662,2.43,14.792,0.26,0.385,10.741,10.741,10.741,10.741,10.741,7.827,3.124,0.98,-0.562,-0.656,-0.562,0.002,-1.202,-0.524,-1.202,0.694,0.895,2.942,2.832,0.286,-0.017,1.194,2.589,0.931,2.0,7.479,2.667,0.729,3.011,9.788,14.321,3258.0,-0.9,2,1.08,3.651,3.375,6.227,3.322,2.732,3.621,7.723
5.375,0.328,2.0,1.0,1.037,1.037,18.082,2.365,2.365,20.063,339.91,3.219,3.354,53.112,1.474,353.42,359.42,1.651,1.128,2.97,3.414,23.227,0.207,1.916,17.17,17.17,17.17,17.17,17.17,13.019,4.301,1.31,1.0,1.09,1.0,1.415,2.275,0.901,2.275,0.897,0.432,3.245,3.205,1.759,1.181,1.488,3.6,1.197,3.306,11.061,2.979,2.107,3.31,16.255,22.145,15201.0,0.455,2,1.368,5.805,3.813,9.174,3.751,2.983,3.854,11.516
5.379,0.096,0.489,-0.478,-0.49,-0.49,10.468,-1.34,-1.34,12.564,183.911,2.679,2.086,26.162,1.07,183.911,183.911,0.114,0.725,2.425,2.354,14.334,0.264,0.372,10.387,10.387,10.387,10.387,10.387,7.029,2.975,1.012,-0.6,-0.68,-0.6,-0.154,-1.514,-0.582,-1.514,0.678,0.927,2.757,2.652,0.029,-0.548,1.089,2.59,0.805,2.0,6.727,2.464,0.511,2.877,8.737,12.461,2574.0,-1.099,0,1.084,3.318,3.318,5.573,3.258,2.574,3.513,6.977
9.222,0.565,2.354,1.35,1.354,1.354,17.071,2.934,2.934,20.967,301.059,3.144,3.414,43.951,1.515,310.569,312.569,2.0,1.083,2.91,3.441,25.948,0.196,2.0,18.763,18.763,18.763,18.763,18.763,12.008,4.596,1.224,1.0,1.5,1.0,1.984,2.275,1.0,2.275,0.99,0.367,3.181,3.177,2.0,1.76,1.376,3.611,1.153,3.414,11.684,2.941,2.5,3.242,15.793,23.666,19093.0,0.983,7,1.276,6.541,3.806,9.593,3.776,3.013,3.872,11.872
4.796,0.028,-0.373,-1.368,-1.371,-1.371,7.353,-3.373,-3.373,8.842,140.955,2.743,1.021,17.913,0.976,148.955,148.955,-0.754,0.484,1.999,1.233,9.94,0.317,-0.414,7.379,7.379,7.379,7.379,7.379,5.556,2.613,0.882,-1.414,-1.926,-1.414,-1.0,-4.0,-1.414,-4.0,0.589,1.155,2.531,2.731,-0.871,-1.036,0.797,1.302,0.573,0.471,5.293,2.038,-0.17,2.626,6.788,9.531,1231.0,-1.941,0,0.991,2.686,3.106,4.454,3.018,2.359,3.288,5.533
5.459,0.161,0.281,-0.676,-0.695,-0.695,9.67,-1.622,-1.622,10.776,179.458,2.826,1.344,22.689,1.142,186.213,186.213,-0.232,0.782,2.345,1.548,11.731,0.292,-0.016,8.886,8.886,8.886,8.886,8.886,6.993,2.911,0.959,-1.0,-1.0,-1.0,-0.532,-2.298,-0.982,-2.298,0.719,0.944,2.839,2.812,-0.171,-0.767,1.141,2.0,0.885,1.172,6.63,2.39,0.03,2.949,8.186,11.494,2146.0,-1.532,0,1.064,3.255,3.31,5.624,3.213,2.643,3.611,6.961
4.77,0.153,0.161,-0.777,-0.808,-0.808,10.127,-1.838,-1.838,10.781,188.213,2.832,1.373,23.953,1.087,200.213,200.213,-0.23,0.874,2.345,1.539,11.731,0.292,-0.017,8.853,8.853,8.853,8.853,8.853,6.999,2.906,0.962,-1.0,-1.0,-1.0,-0.511,-2.437,-0.982,-2.437,0.696,0.948,2.929,2.816,-0.219,-0.766,1.206,2.0,0.969,1.328,6.64,2.39,0.035,3.029,8.203,11.546,2146.0,-1.508,1,1.065,3.213,3.31,5.625,3.213,2.746,3.61,6.967
4.638,0.106,0.087,-0.844,-0.879,-0.879,11.014,-1.928,-1.928,10.785,182.213,2.841,1.353,26.021,1.094,186.213,186.213,-0.232,0.928,2.346,1.536,11.731,0.292,-0.018,8.843,8.843,8.843,8.843,8.843,7.005,2.873,0.971,-1.0,-1.0,-1.0,-0.532,-2.518,-0.983,-2.518,0.719,1.016,2.997,2.821,-0.252,-0.757,1.29,2.0,1.033,1.331,6.65,2.391,0.044,3.104,8.22,11.599,2066.0,-1.532,0,1.071,3.197,3.31,5.628,3.213,2.79,3.605,6.973
8.523,0.205,0.521,-0.428,-0.445,-0.445,12.908,-0.804,-0.804,11.908,207.819,2.827,1.573,31.853,1.143,207.819,207.819,-0.085,0.902,2.471,1.86,12.83,0.279,0.264,9.791,9.791,9.791,9.791,9.791,7.707,3.001,0.933,-0.703,-0.771,-0.703,-0.198,-1.656,-0.676,-1.656,0.783,1.007,2.976,2.807,-0.008,-0.465,1.224,2.332,0.987,1.555,7.357,2.487,0.42,3.055,9.168,13.001,2706.0,-1.171,0,1.022,3.503,3.381,6.221,3.297,2.772,3.595,7.662
8.699,0.267,0.521,-0.428,-0.445,-0.445,11.266,-0.826,-0.826,11.629,194.705,2.795,1.555,29.988,1.097,196.705,196.705,-0.054,0.7,2.49,1.87,12.83,0.279,0.262,9.764,9.764,9.764,9.764,9.764,7.436,3.03,0.92,-0.709,-0.785,-0.709,-0.268,-1.648,-0.686,-1.648,0.758,0.933,2.792,2.791,-0.089,-0.499,1.062,2.24,0.76,1.501,7.147,2.497,0.407,2.845,9.168,13.032,2810.0,-1.135,0,1.01,3.463,3.328,5.997,3.263,2.594,3.586,7.376
8.222,0.327,1.266,0.295,0.313,0.313,13.641,0.662,0.662,14.326,247.323,2.985,2.474,35.941,1.389,249.323,249.323,0.447,1.009,2.569,2.744,16.701,0.245,1.129,12.282,12.282,12.282,12.282,12.282,9.358,3.539,1.115,0.217,0.242,0.217,0.332,0.46,0.195,0.46,0.758,0.649,2.917,2.975,0.617,0.194,1.249,2.864,1.059,2.292,8.193,2.579,1.356,3.005,11.64,16.099,5570.0,-0.608,0,1.177,4.362,3.532,6.783,3.45,2.711,3.746,8.495
7.398,0.118,-0.096,-1.077,-1.087,-1.087,9.289,-3.0,-3.0,8.9,155.911,2.793,0.449,21.154,0.994,155.911,155.911,-0.852,0.635,2.4,0.586,9.534,0.324,-0.609,7.262,7.262,7.262,7.262,7.262,6.211,2.696,0.916,-1.597,-1.802,-1.597,-0.947,-4.023,-1.566,-4.023,0.618,1.229,2.698,2.777,-0.858,-1.0,1.062,1.117,0.758,0.281,5.948,2.447,-0.376,2.832,7.312,10.48,1401.0,-1.811,0,1.012,2.819,3.163,5.059,3.06,2.517,3.586,6.181
5.461,0.233,0.0,-0.987,-1.0,-1.0,14.648,-1.88,-1.88,12.288,205.399,2.873,1.893,28.303,1.15,205.399,205.399,0.0,0.863,2.57,2.0,11.614,0.293,0.0,9.313,9.313,9.313,9.313,9.313,11.422,3.061,0.994,-1.0,-1.0,-1.0,-0.012,-3.0,-1.0,-3.0,0.733,1.007,2.934,2.843,0.0,-0.265,1.239,2.0,0.959,1.555,7.433,2.618,0.0,3.027,9.886,12.419,2905.0,-1.0,0,1.083,3.417,3.661,6.395,3.433,2.738,3.683,8.257
7.602,0.4,1.984,0.983,1.033,1.033,13.206,2.572,2.572,18.591,277.702,2.991,3.414,40.38,1.257,279.702,283.702,1.394,1.067,2.91,3.511,22.887,0.209,1.93,16.787,16.787,16.787,16.787,16.787,10.472,4.203,1.102,1.0,1.0,1.0,1.209,2.275,0.915,2.275,0.825,0.393,3.139,2.981,1.633,0.888,1.376,3.68,1.153,3.037,10.046,2.941,2.054,3.213,14.081,20.808,13555.0,0.253,4,1.188,5.53,3.645,8.232,3.639,2.977,3.871,10.298
7.155,0.313,1.984,0.983,1.0,1.0,12.012,2.275,2.275,17.493,250.193,2.941,3.188,35.021,1.243,252.193,256.193,1.234,0.958,2.769,3.414,22.076,0.213,1.648,15.836,15.836,15.836,15.836,15.836,10.438,4.105,1.064,0.727,0.912,0.727,1.054,1.816,0.656,1.816,0.825,0.408,3.065,2.91,1.579,0.626,1.284,3.51,1.015,2.961,9.362,2.788,2.0,3.132,14.247,19.962,11433.0,0.114,3,1.153,5.384,3.588,7.616,3.574,2.841,3.856,9.544
6.824,0.376,1.984,0.983,1.0,1.0,11.774,2.275,2.275,17.943,274.825,2.941,3.298,35.16,1.256,274.825,274.825,1.247,1.064,2.835,3.414,22.482,0.211,1.706,16.319,16.319,16.319,16.319,16.319,10.056,4.156,1.121,0.804,0.942,0.804,1.072,1.902,0.716,1.902,0.825,0.401,3.08,2.91,1.623,0.688,1.376,3.511,1.153,2.991,9.699,2.839,2.0,3.15,13.67,20.308,12448.0,0.125,3,1.188,5.462,3.598,7.924,3.598,2.844,3.865,9.881
7.222,0.338,1.984,0.983,1.0,1.0,12.335,2.275,2.275,18.051,274.825,2.978,3.284,36.288,1.252,274.825,274.825,1.324,1.064,2.833,3.414,22.482,0.211,1.662,16.319,16.319,16.319,16.319,16.319,10.434,4.162,1.073,0.748,0.914,0.748,1.133,1.83,0.674,1.83,0.825,0.397,3.111,2.964,1.608,0.773,1.368,3.511,1.146,3.002,9.699,2.828,2.0,3.206,14.352,20.382,12532.0,0.184,3,1.153,5.462,3.623,7.924,3.61,2.941,3.864,9.936
7.31,0.252,1.967,0.965,1.0,1.0,13.016,2.136,2.136,16.166,282.253,3.054,2.84,34.279,1.422,289.008,289.008,1.032,1.064,2.812,3.071,19.761,0.225,1.676,14.353,14.353,14.353,14.353,14.353,10.052,4.204,1.148,0.699,0.778,0.699,0.826,1.554,0.68,1.554,0.838,0.398,3.111,3.044,1.407,0.548,1.376,3.247,1.153,2.422,9.687,2.816,1.878,3.206,13.204,18.731,11139.0,-0.148,5,1.22,5.505,3.641,8.055,3.58,2.941,3.817,9.957
6.0,0.307,1.636,0.641,0.664,0.664,10.675,1.487,1.487,14.166,219.611,2.941,2.341,28.39,1.174,226.366,230.366,0.618,0.894,2.715,2.799,17.682,0.238,1.101,12.87,12.87,12.87,12.87,12.87,8.552,3.823,1.064,0.136,0.151,0.136,0.251,0.34,0.13,0.34,0.825,0.484,3.008,2.91,0.631,0.1,1.264,3.087,0.984,2.0,8.212,2.735,1.303,3.107,11.704,16.602,7364.0,-0.698,4,1.153,4.824,3.491,6.821,3.444,2.796,3.772,8.457
7.155,0.338,1.984,0.983,1.0,1.0,11.286,2.275,2.275,17.669,254.193,2.941,3.284,32.739,1.241,258.193,258.193,1.324,0.952,2.76,3.414,22.482,0.211,1.663,16.319,16.319,16.319,16.319,16.319,9.745,4.162,1.064,0.748,0.914,0.748,1.119,1.83,0.676,1.83,0.825,0.397,3.068,2.91,1.61,0.743,1.288,3.511,1.013,3.002,9.455,2.76,2.0,3.134,13.276,20.371,12532.0,0.182,2,1.153,5.462,3.547,7.666,3.566,2.84,3.861,9.545
6.495,0.199,0.719,-0.222,-0.235,-0.235,12.346,-0.67,-0.67,13.772,201.395,3.006,2.494,32.901,1.115,201.395,201.395,0.425,0.915,2.524,2.622,15.838,0.251,0.566,11.808,11.808,11.808,11.808,11.808,8.596,3.142,1.006,-0.395,-0.459,-0.395,0.139,-1.064,-0.376,-1.064,0.662,0.874,2.856,2.935,0.422,0.051,1.214,2.826,1.002,2.365,6.97,2.552,0.895,2.944,10.637,14.599,3663.0,-0.728,0,1.061,3.706,3.438,5.782,3.368,2.65,3.52,7.413
6.125,0.171,0.611,-0.356,-0.366,-0.366,13.478,-0.984,-0.984,13.753,206.213,3.011,2.347,34.918,1.133,206.213,206.213,0.337,0.939,2.551,2.558,15.433,0.255,0.513,11.308,11.308,11.308,11.308,11.308,8.789,3.097,1.029,-0.433,-0.491,-0.433,0.051,-1.115,-0.402,-1.115,0.731,0.882,2.882,2.936,0.374,-0.108,1.284,2.715,1.032,2.252,7.179,2.574,0.771,2.992,10.244,14.111,3288.0,-0.866,0,1.094,3.582,3.455,5.966,3.364,2.676,3.52,7.62
6.0,0.323,1.639,0.644,0.667,0.667,10.653,1.492,1.492,14.535,222.366,2.941,2.461,29.17,1.174,226.366,230.366,0.749,0.887,2.715,2.821,18.087,0.235,1.133,13.337,13.337,13.337,13.337,13.337,8.651,3.885,1.064,0.175,0.193,0.175,0.468,0.428,0.166,0.428,0.825,0.474,3.02,2.91,0.77,0.109,1.265,3.097,0.977,2.0,8.305,2.735,1.34,3.113,11.704,17.112,8201.0,-0.454,3,1.153,4.861,3.489,6.87,3.456,2.795,3.777,8.531
6.036,0.271,0.711,-0.19,-0.211,-0.211,12.628,-0.425,-0.425,14.018,213.065,3.015,2.422,33.16,1.186,213.065,213.065,0.532,0.994,2.525,2.612,16.126,0.249,0.611,11.846,11.846,11.846,11.846,11.846,8.811,3.198,1.007,-0.366,-0.424,-0.366,0.306,-1.022,-0.356,-1.022,0.69,0.833,2.828,3.009,0.382,0.019,1.221,2.815,1.052,2.269,7.441,2.555,0.889,2.934,10.64,14.878,3781.0,-0.606,1,1.083,3.886,3.486,6.173,3.398,2.649,3.568,7.86
