pXC50,RBN,nSK,MW,Se,nAT,Si,RBF,nBM,nCsp2,nH,nAB,nN,nC,SCBO,Sv,Sp,nBT,nBO,nHet,N.,C.,Me,nDB,O.,AMW,H.,Mi,Mp
6.77,5,34,468.51,58.327,57,64.626,0.083,20,20,23,18,2,26,48.0,37.659,38.324,60,37,8,3.5,45.6,1.023,2,5.3,8.219,40.4,1.134,0.672
6.149,6,34,468.61,57.982,58,64.112,0.097,27,25,24,24,2,28,53.0,39.169,41.398,62,38,6,3.4,48.3,1.0,3,5.2,8.079,41.4,1.105,0.714
7.097,4,32,438.48,54.116,53,60.002,0.071,20,20,21,18,2,25,46.0,35.417,36.108,56,35,7,3.8,47.2,1.021,2,3.8,8.273,39.6,1.132,0.681
7.854,7,39,570.7,65.363,64,71.882,0.103,26,23,25,23,2,29,57.5,43.56,45.381,68,43,10,3.1,45.3,1.021,3,4.7,8.917,39.1,1.123,0.709
7.097,4,34,467.53,59.101,58,65.915,0.066,20,20,24,18,3,26,48.0,37.965,38.875,61,37,8,5.2,44.8,1.019,2,3.4,8.061,41.4,1.136,0.67
6.0,5,37,500.55,61.0,60,67.417,0.078,26,26,23,24,2,30,55.0,40.944,41.87,64,41,7,3.3,50.0,1.017,2,3.3,8.342,38.3,1.124,0.698
6.77,5,31,438.56,54.494,54,60.452,0.088,21,19,23,18,2,24,46.0,35.552,37.335,57,34,7,3.7,44.4,1.009,3,5.6,8.121,42.6,1.119,0.691
9.412,10,54,740.8,90.043,88,99.924,0.106,36,33,34,34,4,42,79.0,59.297,60.262,94,60,12,4.5,47.7,1.023,2,2.3,8.418,38.6,1.135,0.685
8.398,11,56,768.86,95.81,94,106.754,0.11,36,33,38,34,4,44,81.0,62.351,63.785,100,62,12,4.3,46.8,1.019,2,2.1,8.179,40.4,1.136,0.679
8.0,10,47,663.68,81.476,80,90.343,0.118,27,25,33,24,3,35,67.0,52.667,54.728,85,52,12,3.8,43.8,1.018,3,6.3,8.296,41.3,1.129,0.684
8.301,10,51,709.79,90.036,88,100.465,0.108,26,26,37,24,3,39,70.0,57.044,58.234,93,56,12,3.4,44.3,1.023,2,3.4,8.066,42.0,1.142,0.662
7.959,9,41,586.59,72.49,71,80.43,0.12,21,20,30,18,2,30,57.0,46.119,47.961,75,45,11,2.8,42.3,1.021,3,7.0,8.262,42.3,1.133,0.676
8.046,10,50,719.77,84.552,83,93.263,0.112,31,27,33,28,3,37,73.0,55.854,58.375,89,56,13,3.6,44.6,1.019,3,6.0,8.672,39.8,1.124,0.703
8.523,10,50,703.7,84.803,83,93.553,0.112,31,27,33,28,3,37,73.0,55.382,57.182,89,56,13,3.6,44.6,1.022,3,7.2,8.478,39.8,1.127,0.689
7.921,10,47,671.71,85.57,84,95.383,0.112,21,20,37,18,3,34,64.0,53.436,55.705,89,52,13,3.6,40.5,1.019,3,7.1,7.997,44.0,1.136,0.663
6.678,11,43,616.62,76.701,75,85.054,0.139,21,20,32,18,2,31,59.0,48.361,50.176,79,47,12,2.7,41.3,1.023,3,8.0,8.222,42.7,1.134,0.669
7.649,9,45,608.66,73.414,72,81.038,0.118,33,32,27,30,4,35,67.0,49.228,50.097,76,49,10,5.6,48.6,1.02,3,4.2,8.454,37.5,1.126,0.696
8.195,8,45,615.7,78.29,77,86.995,0.099,27,27,32,24,3,35,64.0,50.502,51.83,81,49,10,3.9,45.5,1.017,3,5.2,7.996,41.6,1.13,0.673
7.159,7,43,588.63,71.741,70,79.248,0.095,27,26,27,24,4,32,62.0,46.943,47.551,74,47,11,5.7,45.7,1.025,3,5.7,8.409,38.6,1.132,0.679
7.688,11,45,617.72,80.174,79,89.41,0.134,27,27,34,24,3,35,63.0,51.029,52.591,82,48,10,3.8,44.3,1.015,3,5.1,7.819,43.0,1.132,0.666
7.636,10,48,651.73,81.29,80,89.995,0.119,33,33,32,30,3,38,70.0,53.502,54.83,84,52,10,3.8,47.5,1.016,3,5.0,8.147,40.0,1.125,0.685
8.297,11,44,601.72,78.847,78,88.201,0.136,27,27,34,24,3,35,62.0,50.314,52.137,81,47,9,3.8,44.9,1.011,3,3.8,7.714,43.6,1.131,0.668
7.116,8,45,613.73,79.847,79,89.201,0.096,27,27,34,24,3,36,64.0,51.314,53.137,83,49,9,3.8,45.6,1.011,3,3.8,7.769,43.0,1.129,0.673
8.775,10,44,601.67,75.407,74,83.58,0.128,27,27,30,24,3,34,63.0,48.975,50.069,78,48,10,4.1,45.9,1.019,3,5.4,8.131,40.5,1.129,0.677
7.929,8,44,601.67,75.407,74,83.58,0.103,27,27,30,24,3,34,63.0,48.975,50.069,78,48,10,4.1,45.9,1.019,3,5.4,8.131,40.5,1.129,0.677
8.597,9,41,560.62,69.414,68,77.038,0.127,27,26,27,24,4,31,59.0,45.228,46.097,71,44,10,5.9,45.6,1.021,3,4.4,8.244,39.7,1.133,0.678
8.189,8,44,601.67,75.407,74,83.58,0.103,27,27,30,24,3,34,63.0,48.975,50.069,78,48,10,4.1,45.9,1.019,3,5.4,8.131,40.5,1.129,0.677
7.771,10,43,585.67,74.079,73,82.37,0.13,27,27,30,24,3,34,62.0,48.26,49.614,77,47,9,4.1,46.6,1.015,3,4.1,8.023,41.1,1.128,0.68
8.527,10,46,621.7,77.079,76,85.37,0.125,33,33,30,30,3,37,68.0,51.26,52.614,80,50,9,3.9,48.7,1.014,3,3.9,8.18,39.5,1.123,0.692
7.0,11,47,653.77,78.156,77,86.29,0.136,33,33,30,30,3,37,69.0,52.448,54.262,81,51,10,3.9,48.1,1.015,3,3.9,8.491,39.0,1.121,0.705
7.0,9,45,633.74,76.483,75,84.5,0.114,27,27,30,24,3,34,64.0,50.162,51.716,79,49,11,4.0,45.3,1.02,3,5.3,8.45,40.0,1.127,0.69
7.018,6,42,577.7,76.847,76,86.201,0.075,21,21,34,18,3,33,58.0,48.314,50.137,80,46,9,3.9,43.4,1.011,3,3.9,7.601,44.7,1.134,0.66
7.538,6,45,611.71,77.963,77,86.785,0.073,27,27,32,24,3,36,65.0,50.787,52.375,82,50,9,3.9,46.8,1.013,3,3.9,7.944,41.6,1.127,0.68
7.827,6,44,597.68,75.079,74,83.37,0.076,27,27,30,24,3,35,64.0,49.26,50.614,79,49,9,4.1,47.3,1.015,3,4.1,8.077,40.5,1.127,0.684
7.0,11,49,664.73,81.509,80,90.078,0.131,34,34,31,30,4,38,72.0,53.997,55.074,84,53,11,5.0,47.5,1.019,4,5.0,8.309,38.8,1.126,0.688
7.763,12,45,633.79,79.923,79,89.121,0.146,27,27,34,24,3,35,63.0,51.501,53.785,82,48,10,3.8,44.3,1.012,3,3.8,8.023,43.0,1.128,0.681
8.386,10,47,635.73,79.963,79,88.785,0.12,33,33,32,30,3,38,69.0,52.787,54.375,83,51,9,3.8,48.1,1.012,3,3.8,8.047,40.5,1.124,0.688
7.015,8,40,551.66,72.963,72,81.785,0.107,21,21,32,18,3,31,55.0,45.787,47.375,75,43,9,4.2,43.1,1.013,3,4.2,7.662,44.4,1.136,0.658
8.472,7,43,585.67,74.079,73,82.37,0.091,27,27,30,24,3,34,62.0,48.26,49.614,77,47,9,4.1,46.6,1.015,3,4.1,8.023,41.1,1.128,0.68
8.146,10,48,651.73,81.29,80,89.995,0.119,33,33,32,30,3,38,70.0,53.502,54.83,84,52,10,3.8,47.5,1.016,3,5.0,8.147,40.0,1.125,0.685
7.0,12,47,644.75,83.276,82,92.908,0.141,28,28,35,24,4,36,66.0,53.05,54.597,85,50,11,4.9,43.9,1.016,4,4.9,7.863,42.7,1.133,0.666
8.335,9,47,635.73,79.963,79,88.785,0.108,33,33,32,30,3,38,69.0,52.787,54.375,83,51,9,3.8,48.1,1.012,3,3.8,8.047,40.5,1.124,0.688
7.628,9,42,579.72,78.73,78,88.616,0.111,21,21,36,18,3,33,57.0,48.841,50.898,81,45,9,3.8,42.3,1.009,3,3.8,7.432,46.2,1.136,0.653
8.206,8,45,615.7,78.29,77,86.995,0.099,27,27,32,24,3,35,64.0,50.502,51.83,81,49,10,3.9,45.5,1.017,3,5.2,7.996,41.6,1.13,0.673
7.0,6,41,563.67,73.963,73,82.785,0.078,21,21,32,18,3,32,57.0,46.787,48.375,77,45,9,4.1,43.8,1.013,3,4.1,7.722,43.8,1.134,0.663
7.0,11,45,616.69,77.509,76,86.078,0.139,28,28,31,24,4,34,64.0,49.997,51.074,79,48,11,5.3,44.7,1.02,4,5.3,8.114,40.8,1.133,0.672
7.83,8,45,617.67,76.734,75,84.789,0.101,27,27,30,24,3,34,64.0,49.69,50.523,79,49,11,4.0,45.3,1.023,3,6.7,8.236,40.0,1.131,0.674
7.158,8,44,599.7,76.963,76,85.785,0.1,27,27,32,24,3,35,63.0,49.787,51.375,80,48,9,3.9,46.1,1.013,3,3.9,7.891,42.1,1.129,0.676
8.757,8,44,601.67,75.407,74,83.58,0.103,27,27,30,24,3,34,63.0,48.975,50.069,78,48,10,4.1,45.9,1.019,3,5.4,8.131,40.5,1.129,0.677
7.0,9,46,628.7,78.509,77,87.078,0.111,28,28,31,24,4,35,66.0,50.997,52.074,81,50,11,5.2,45.5,1.02,4,5.2,8.165,40.3,1.131,0.676
8.456,9,46,621.7,77.079,76,85.37,0.113,33,33,30,30,3,37,68.0,51.26,52.614,80,50,9,3.9,48.7,1.014,3,3.9,8.18,39.5,1.123,0.692
8.277,11,45,617.72,80.174,79,89.41,0.134,27,27,34,24,3,35,63.0,51.029,52.591,82,48,10,3.8,44.3,1.015,3,5.1,7.819,43.0,1.132,0.666
7.0,9,47,642.73,81.392,80,90.493,0.107,28,28,33,24,4,36,67.0,52.523,53.836,84,51,11,5.0,45.0,1.017,4,5.0,8.034,41.3,1.131,0.673
8.917,11,50,666.8,85.367,85,94.814,0.122,38,36,35,35,4,41,75.5,56.757,58.961,90,55,9,4.7,48.2,1.004,3,4.7,7.845,41.2,1.115,0.694
8.745,7,43,584.64,71.414,70,79.038,0.095,31,29,27,28,4,33,64.0,47.228,48.097,74,47,10,5.7,47.1,1.02,3,4.3,8.352,38.6,1.129,0.687
8.824,7,42,570.61,68.53,67,75.623,0.099,31,29,25,28,4,32,63.0,45.701,46.336,71,46,10,6.0,47.8,1.023,3,4.5,8.517,37.3,1.129,0.692
9.131,9,51,690.74,82.694,81,91.208,0.105,38,36,30,35,4,40,76.5,55.665,56.557,86,56,11,4.9,49.4,1.021,3,3.7,8.528,37.0,1.126,0.698
8.553,9,47,622.74,78.272,78,86.774,0.108,38,36,31,35,4,39,72.5,52.988,54.983,83,52,8,5.1,50.0,1.003,3,3.8,7.984,39.7,1.112,0.705
8.658,9,48,636.77,81.156,81,90.189,0.105,38,36,33,35,4,40,73.5,54.515,56.745,86,53,8,4.9,49.4,1.002,3,3.7,7.861,40.7,1.113,0.701
9.26,10,49,650.8,84.039,84,93.604,0.112,38,36,35,35,4,41,74.5,56.042,58.506,89,54,8,4.8,48.8,1.0,3,3.6,7.748,41.7,1.114,0.697
9.357,11,50,664.83,86.923,87,97.02,0.12,38,36,37,35,4,42,75.5,57.569,60.268,92,55,8,4.6,48.3,0.999,3,3.4,7.642,42.5,1.115,0.693
9.222,10,50,664.83,86.923,87,97.02,0.109,38,36,37,35,4,42,75.5,57.569,60.268,92,55,8,4.6,48.3,0.999,3,3.4,7.642,42.5,1.115,0.693
8.921,10,51,678.86,89.807,90,100.435,0.105,38,36,39,35,4,43,76.5,59.096,62.029,95,56,8,4.4,47.8,0.998,3,3.3,7.543,43.3,1.116,0.689
8.523,10,49,652.77,82.483,82,91.399,0.115,38,36,33,35,4,40,74.5,55.23,57.199,87,54,9,4.9,48.8,1.006,3,4.9,7.961,40.2,1.115,0.698
8.553,11,50,666.8,85.367,85,94.814,0.122,38,36,35,35,4,41,75.5,56.757,58.961,90,55,9,4.7,48.2,1.004,3,4.7,7.845,41.2,1.115,0.694
9.114,11,51,680.83,88.25,88,98.229,0.118,38,36,37,35,4,42,76.5,58.284,60.722,93,56,9,4.5,47.7,1.003,3,4.5,7.737,42.0,1.116,0.69
9.081,11,52,694.86,91.134,91,101.644,0.115,38,36,39,35,4,43,77.5,59.81,62.483,96,57,9,4.4,47.3,1.001,3,4.4,7.636,42.9,1.117,0.687
8.959,11,52,694.86,91.134,91,101.644,0.115,38,36,39,35,4,43,77.5,59.81,62.483,96,57,9,4.4,47.3,1.001,3,4.4,7.636,42.9,1.117,0.687
8.125,11,53,708.84,90.578,90,100.438,0.116,39,37,37,35,4,43,79.5,59.998,62.177,95,58,10,4.4,47.8,1.006,4,5.6,7.876,41.1,1.116,0.691
8.367,11,51,680.83,88.25,88,98.229,0.118,38,36,37,35,4,42,76.5,58.284,60.722,93,56,9,4.5,47.7,1.003,3,4.5,7.737,42.0,1.116,0.69
7.921,11,52,694.81,87.694,87,97.023,0.12,39,37,35,35,4,42,78.5,58.472,60.415,92,57,10,4.6,48.3,1.008,4,5.7,7.986,40.2,1.115,0.694
9.252,8,43,570.74,76.643,77,85.849,0.099,32,30,34,29,4,36,64.5,50.132,52.807,81,47,7,5.2,46.8,0.995,3,3.9,7.412,44.2,1.115,0.686
8.921,10,50,664.83,86.923,87,97.02,0.109,38,36,37,35,4,42,75.5,57.569,60.268,92,55,8,4.6,48.3,0.999,3,3.4,7.642,42.5,1.115,0.693
7.959,9,48,638.74,79.6,79,87.983,0.107,38,36,31,35,4,39,73.5,53.703,55.438,84,53,9,5.1,49.4,1.008,3,5.1,8.085,39.2,1.114,0.702
8.027,12,52,696.83,89.578,89,99.438,0.128,38,36,37,35,4,42,77.5,58.998,61.177,94,57,10,4.5,47.2,1.006,3,5.6,7.83,41.6,1.117,0.687
7.658,12,53,710.81,89.021,88,98.233,0.129,39,37,35,35,4,42,79.5,59.186,60.87,93,58,11,4.5,47.7,1.012,4,6.8,8.077,39.8,1.116,0.692
9.599,9,43,572.71,75.087,75,83.644,0.114,32,30,32,29,4,35,64.5,49.32,51.5,79,47,8,5.3,46.7,1.001,3,5.3,7.636,42.7,1.115,0.687
7.771,10,43,588.68,75.181,74,83.869,0.13,27,26,31,24,4,33,61.0,48.282,49.62,77,46,10,5.4,44.6,1.016,3,4.1,7.955,41.9,1.133,0.671
7.876,10,43,588.68,75.181,74,83.869,0.13,27,26,31,24,4,33,61.0,48.282,49.62,77,46,10,5.4,44.6,1.016,3,4.1,7.955,41.9,1.133,0.671
7.0,11,50,678.76,84.392,83,93.493,0.126,34,34,33,30,4,39,73.0,55.523,56.836,87,54,11,4.8,47.0,1.017,4,4.8,8.178,39.8,1.126,0.685
7.658,15,37,539.63,74.596,74,84.383,0.197,14,13,37,12,1,28,47.0,44.49,47.546,76,39,9,1.4,37.8,1.008,2,5.4,7.292,50.0,1.14,0.643
7.301,6,38,556.67,62.48,61,68.466,0.092,26,23,23,23,2,28,56.5,42.033,43.62,65,42,10,3.3,45.9,1.024,3,4.9,9.126,37.7,1.122,0.715
7.699,5,37,510.6,66.978,66,74.872,0.072,20,20,29,18,2,29,51.0,42.239,43.608,69,40,8,3.0,43.9,1.015,2,4.5,7.736,43.9,1.134,0.661
6.959,7,37,533.08,62.516,62,68.681,0.106,27,25,25,24,2,29,56.0,42.238,44.472,66,41,8,3.2,46.8,1.008,3,6.5,8.598,40.3,1.108,0.717
6.921,5,32,448.98,57.112,57,63.551,0.083,20,20,25,18,2,26,46.0,37.336,39.37,60,35,6,3.5,45.6,1.002,2,5.3,7.877,43.9,1.115,0.691
7.097,5,36,516.63,64.17,63,71.377,0.076,21,19,27,18,2,27,51.0,40.899,42.495,66,39,9,3.2,42.9,1.019,3,4.8,8.2,42.9,1.133,0.675
7.032,6,36,496.67,63.749,64,70.942,0.088,27,25,28,24,2,30,55.0,42.223,44.921,68,40,6,3.1,46.9,0.996,3,4.7,7.76,43.8,1.108,0.702
7.155,7,36,496.57,64.094,63,71.457,0.106,20,20,27,18,2,28,50.0,40.712,41.847,66,39,8,3.2,44.4,1.017,2,4.8,7.882,42.9,1.134,0.664
6.62,6,36,500.63,61.378,61,67.867,0.092,27,25,25,24,2,29,55.0,41.079,43.097,65,40,7,3.3,47.5,1.006,3,4.9,8.207,41.0,1.113,0.707
6.745,6,39,570.7,65.363,64,71.882,0.088,26,23,25,23,2,29,57.5,43.56,45.381,68,43,10,3.1,45.3,1.021,3,4.7,8.917,39.1,1.123,0.709
8.301,10,53,726.77,87.159,85,96.509,0.11,36,33,32,34,4,41,78.0,57.771,58.501,91,59,12,4.7,48.2,1.025,2,2.4,8.55,37.6,1.135,0.688
8.699,12,56,768.86,95.81,94,106.754,0.12,36,33,38,34,4,44,81.0,62.351,63.785,100,62,12,4.3,46.8,1.019,2,2.1,8.179,40.4,1.136,0.679
8.0,9,52,712.74,84.276,82,93.093,0.102,36,33,30,34,4,40,77.0,56.244,56.739,88,58,12,4.9,48.8,1.028,2,2.4,8.692,36.6,1.135,0.692
8.097,10,50,693.79,88.708,87,99.256,0.109,26,26,37,24,3,39,69.0,56.33,57.779,92,55,11,3.4,44.8,1.02,2,2.3,7.975,42.5,1.141,0.664
9.0,10,55,754.83,92.926,91,103.339,0.103,36,33,36,34,4,43,80.0,60.824,62.023,97,61,12,4.4,47.3,1.021,2,2.2,8.295,39.6,1.136,0.682
9.0,10,54,740.8,90.043,88,99.924,0.106,36,33,34,34,4,42,79.0,59.297,60.262,94,60,12,4.5,47.7,1.023,2,2.3,8.418,38.6,1.135,0.685
7.301,6,35,506.66,58.571,58,64.372,0.097,26,23,23,23,2,27,53.5,39.739,41.983,62,39,8,3.4,46.6,1.01,3,5.2,8.736,39.7,1.11,0.724
7.097,5,33,463.01,59.996,60,66.966,0.079,20,20,27,18,2,27,47.0,38.863,41.131,63,36,6,3.3,45.0,1.0,2,5.0,7.717,45.0,1.116,0.686
6.387,6,37,501.59,63.658,63,71.121,0.09,25,24,26,24,3,30,54.0,41.777,43.182,67,41,7,4.8,47.6,1.01,1,1.6,7.962,41.3,1.129,0.685
6.387,5,37,522.48,59.865,57,65.645,0.083,20,20,20,18,2,26,51.0,38.809,38.137,60,40,11,3.5,45.6,1.05,2,5.3,9.166,35.1,1.152,0.669
6.979,6,38,536.61,62.403,61,68.546,0.092,27,25,23,24,2,29,57.0,41.846,42.972,65,42,9,3.3,47.5,1.023,3,4.9,8.797,37.7,1.124,0.704
7.046,5,35,482.54,61.21,60,68.042,0.079,20,20,25,18,2,27,49.0,39.185,40.086,63,38,8,3.3,45.0,1.02,2,5.0,8.042,41.7,1.134,0.668
7.0,6,32,448.98,57.112,57,63.551,0.1,20,20,25,18,2,26,46.0,37.336,39.37,60,35,6,3.5,45.6,1.002,2,5.3,7.877,43.9,1.115,0.691
6.0,5,39,537.63,70.079,69,78.37,0.068,20,20,30,18,3,30,54.0,44.26,45.614,73,43,9,4.3,43.5,1.016,2,4.3,7.792,43.5,1.136,0.661
6.824,6,35,502.6,61.287,60,67.962,0.095,21,19,25,18,2,26,50.0,39.373,40.733,63,38,9,3.3,43.3,1.021,3,5.0,8.377,41.7,1.133,0.679
7.469,5,34,488.57,58.403,57,64.546,0.083,21,19,23,18,2,25,49.0,37.846,38.972,60,37,9,3.5,43.9,1.025,3,5.3,8.571,40.4,1.132,0.684
8.046,10,47,669.74,87.127,86,97.589,0.11,21,20,39,18,3,35,64.0,54.248,57.012,91,52,12,3.5,40.7,1.013,3,5.8,7.788,45.3,1.135,0.663
7.357,10,51,730.69,86.679,84,95.694,0.112,27,26,33,24,2,37,71.0,55.849,57.057,89,56,14,2.4,44.0,1.032,3,6.0,8.699,39.3,1.139,0.679
8.025,9,42,579.72,78.73,78,88.616,0.111,21,21,36,18,3,33,57.0,48.841,50.898,81,45,9,3.8,42.3,1.009,3,3.8,7.432,46.2,1.136,0.653
8.246,8,44,599.7,76.963,76,85.785,0.1,27,27,32,24,3,35,63.0,49.787,51.375,80,48,9,3.9,46.1,1.013,3,3.9,7.891,42.1,1.129,0.676
7.068,9,45,613.73,79.847,79,89.201,0.108,27,27,34,24,3,36,64.0,51.314,53.137,83,49,9,3.8,45.6,1.011,3,3.8,7.769,43.0,1.129,0.673
7.214,10,42,573.66,73.079,72,81.37,0.133,27,27,30,24,3,33,60.0,47.26,48.614,75,45,9,4.2,45.8,1.015,3,4.2,7.967,41.7,1.13,0.675
7.156,11,44,617.74,75.156,74,83.29,0.141,27,27,30,24,3,34,63.0,49.448,51.262,78,48,10,4.1,45.9,1.016,3,4.1,8.348,40.5,1.126,0.693
8.082,9,44,617.74,75.156,74,83.29,0.115,27,27,30,24,3,34,63.0,49.448,51.262,78,48,10,4.1,45.9,1.016,3,4.1,8.348,40.5,1.126,0.693
8.699,10,43,589.66,74.407,73,82.58,0.132,27,27,30,24,3,33,61.0,47.975,49.069,76,46,10,4.1,45.2,1.019,3,5.5,8.078,41.1,1.131,0.672
7.451,9,42,572.63,70.414,69,78.038,0.123,27,26,27,24,4,32,61.0,46.228,47.097,73,46,10,5.8,46.4,1.02,3,4.3,8.299,39.1,1.131,0.683
8.75,9,43,585.67,74.079,73,82.37,0.117,27,27,30,24,3,34,62.0,48.26,49.614,77,47,9,4.1,46.6,1.015,3,4.1,8.023,41.1,1.128,0.68
7.0,12,47,644.75,83.276,82,92.908,0.141,28,28,35,24,4,36,66.0,53.05,54.597,85,50,11,4.9,43.9,1.016,4,4.9,7.863,42.7,1.133,0.666
8.415,10,47,637.7,78.407,77,86.58,0.123,33,33,30,30,3,37,69.0,51.975,53.069,81,51,10,3.9,48.1,1.018,3,5.2,8.282,39.0,1.124,0.689
8.135,11,48,667.8,81.039,80,89.705,0.131,33,33,32,30,3,38,70.0,53.974,56.023,84,52,10,3.8,47.5,1.013,3,3.8,8.347,40.0,1.121,0.7
7.53,7,43,586.66,73.298,72,81.453,0.092,27,26,29,24,4,33,62.0,47.755,48.858,76,47,10,5.6,45.8,1.018,3,4.2,8.148,40.3,1.131,0.679
7.445,11,43,605.73,74.156,73,82.29,0.145,27,27,30,24,3,33,61.0,48.448,50.262,76,46,10,4.1,45.2,1.016,3,4.1,8.298,41.1,1.127,0.689
7.575,8,48,647.74,80.963,80,89.785,0.094,33,33,32,30,3,39,71.0,53.787,55.375,85,53,9,3.8,48.8,1.012,3,3.8,8.097,40.0,1.122,0.692
7.76,7,42,572.63,70.414,69,78.038,0.096,27,26,27,24,4,32,61.0,46.228,47.097,73,46,10,5.8,46.4,1.02,3,4.3,8.299,39.1,1.131,0.683
7.0,6,42,579.67,75.29,74,83.995,0.077,21,21,32,18,3,32,58.0,47.502,48.83,78,46,10,4.1,43.2,1.017,3,5.4,7.833,43.2,1.135,0.66
8.631,11,45,617.72,80.174,79,89.41,0.134,27,27,34,24,3,35,63.0,51.029,52.591,82,48,10,3.8,44.3,1.015,3,5.1,7.819,43.0,1.132,0.666
7.807,11,44,601.72,78.847,78,88.201,0.136,27,27,34,24,3,35,62.0,50.314,52.137,81,47,9,3.8,44.9,1.011,3,3.8,7.714,43.6,1.131,0.668
7.738,9,45,613.73,79.847,79,89.201,0.108,27,27,34,24,3,36,64.0,51.314,53.137,83,49,9,3.8,45.6,1.011,3,3.8,7.769,43.0,1.129,0.673
7.253,9,45,631.77,78.039,77,86.705,0.111,27,27,32,24,3,35,64.0,50.974,53.023,81,49,10,3.9,45.5,1.013,3,3.9,8.205,41.6,1.126,0.689
8.257,8,43,585.67,74.079,73,82.37,0.104,27,27,30,24,3,34,62.0,48.26,49.614,77,47,9,4.1,46.6,1.015,3,4.1,8.023,41.1,1.128,0.68
8.785,9,42,573.66,73.079,72,81.37,0.12,27,27,30,24,3,33,60.0,47.26,48.614,75,45,9,4.2,45.8,1.015,3,4.2,7.967,41.7,1.13,0.675
7.0,8,41,563.67,73.963,73,82.785,0.104,21,21,32,18,3,32,57.0,46.787,48.375,77,45,9,4.1,43.8,1.013,3,4.1,7.722,43.8,1.134,0.663
