pXC50,SM15_EA.bo.,SM14_EA.bo.,SM13_EA.bo.,SM11_EA.bo.,SpMax1_Bh.v.,SpMax1_Bh.e.,SM12_EA.bo.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,GGI6,MPC08,Eig01_AEA.bo.,SpMax_AEA.bo.,SM10_EA.bo.,GGI5,MPC09,CATS2D_09_AP,piPC10,SM15_EA.ri.,MPC07,SRW09,SpDiam_AEA.ri.,Eig06_AEA.dm.,SM08_EA.ed.,nRCONH2,SM13_EA.ri.,SM15_EA.ed.,SM15_EA,SM09_EA.bo.,SpDiam_AEA.bo.,SM13_EA.ed.,SM14_EA.ed.,CATS2D_02_AP,SM11_EA.ed.,SM12_EA.ed.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,CATS2D_09_DA,piPC09,Eig01_AEA.ri.,SpMax_AEA.ri.,ATS5m,SM07_EA.ed.,SM14_AEA.ed.,SM15_AEA.ed.,piPC06,MPC05,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,ATS7s,SpDiam_EA.ed.,CATS2D_07_PL,CATS2D_05_AP,MPC06,SM14_EA,SM13_AEA.ed.,ATS6m,SM06_EA.ed.,ATS8s,X5A,MPC10,Eig05_AEA.dm.
4.602,20.251,18.989,17.605,14.97,3.901,3.993,16.388,3.828,3.828,6.828,3.828,0.408,4.554,4.278,4.278,13.824,0.667,4.635,0,6.245,16.169,4.431,6.555,4.975,2.646,18.509,0,14.125,33.784,16.771,12.347,5.278,29.377,31.594,0,24.972,27.203,2.842,4.842,2.842,1,6.265,3.907,3.907,3.929,16.164,26.253,28.047,5.46,4.344,2.942,2.942,4.942,2.942,5.867,15.56,0,0,4.357,15.734,24.463,3.842,14.268,5.738,0.086,4.644,2.712
4.585,20.292,19.034,17.659,15.042,3.902,3.996,16.445,3.828,3.828,6.828,3.828,0.449,4.644,4.278,4.278,13.896,0.841,4.718,0,6.307,16.385,4.543,6.555,4.996,2.651,18.723,0,14.335,34.037,16.969,12.441,5.278,29.621,31.842,0,25.208,27.443,2.854,4.854,2.854,1,6.31,3.929,3.929,4.107,16.374,26.495,28.296,5.518,4.443,2.968,2.968,4.968,2.968,6.086,15.656,0,0,4.466,15.924,24.698,4.0,14.457,5.988,0.086,4.727,2.873
7.301,19.725,18.545,17.172,14.63,3.884,3.982,16.044,3.673,3.673,6.673,3.673,0.453,4.522,4.135,4.135,13.578,0.695,4.595,0,6.19,15.653,4.466,6.529,4.885,2.537,18.063,0,13.699,32.793,16.398,12.099,5.135,28.523,30.675,0,24.265,26.43,2.733,4.733,2.733,3,6.017,3.817,3.817,4.085,15.771,25.855,27.609,5.284,4.369,2.867,2.867,4.867,2.867,6.086,14.914,0,0,4.369,15.41,24.107,4.032,13.997,6.028,0.091,4.644,2.851
5.69,19.725,18.545,17.172,14.63,3.882,3.979,16.043,3.673,3.673,6.673,3.673,0.453,4.477,4.135,4.135,13.577,0.695,4.554,0,6.181,15.653,4.419,6.529,4.885,2.537,18.062,0,13.699,32.793,16.398,12.099,5.135,28.523,30.675,0,24.265,26.43,2.733,4.733,2.733,3,6.007,3.817,3.817,3.989,15.771,25.854,27.608,5.263,4.317,2.867,2.867,4.867,2.867,5.968,14.914,0,0,4.317,15.408,24.105,3.93,13.992,5.903,0.089,4.605,2.851
5.517,19.785,18.608,17.25,14.727,3.882,3.979,16.12,3.673,3.673,6.673,3.673,0.576,4.533,4.137,4.137,13.667,0.813,4.625,0,6.226,15.877,4.522,6.529,4.915,2.579,18.359,0,13.915,33.229,16.648,12.216,5.137,28.932,31.096,0,24.642,26.82,2.744,4.744,2.744,3,6.046,3.847,3.847,4.094,16.057,26.189,27.961,5.324,4.382,2.903,2.903,4.903,2.903,6.193,15.092,0,0,4.407,15.643,24.42,4.03,14.226,6.03,0.088,4.673,2.927
4.244,20.31,19.051,17.677,15.057,3.901,3.994,16.46,3.829,3.829,6.829,3.829,0.531,4.615,4.28,4.28,13.906,0.834,4.71,0,6.403,16.475,4.489,6.555,5.037,2.66,18.78,0,14.399,34.218,17.064,12.451,5.28,29.763,32.005,0,25.312,27.569,2.887,4.887,2.887,1,6.35,3.97,3.97,4.01,16.41,26.522,28.328,5.518,4.419,3.009,3.009,5.009,3.009,5.997,16.133,0,0,4.431,16.004,24.72,3.918,14.486,5.85,0.084,4.736,2.876
4.39,20.461,19.194,17.826,15.198,3.901,3.994,16.594,3.829,3.829,6.829,3.829,0.531,4.615,4.302,4.302,14.022,0.834,4.71,0,6.403,16.843,4.5,6.555,5.124,2.64,19.07,0,14.7,34.944,17.288,12.574,5.302,30.359,32.666,0,25.782,28.102,2.998,4.998,2.998,1,6.35,4.056,4.056,3.985,16.651,26.823,28.664,5.518,4.394,3.081,3.081,5.081,3.081,5.997,17.338,0,0,4.431,16.203,24.986,3.918,14.663,5.85,0.083,4.736,2.853
4.125,20.292,19.034,17.659,15.042,3.901,3.994,16.445,3.828,3.828,6.828,3.828,0.449,4.605,4.278,4.278,13.895,0.841,4.682,0,6.3,16.385,4.5,6.555,4.996,2.651,18.722,0,14.335,34.037,16.969,12.441,5.278,29.621,31.842,0,25.208,27.443,2.854,4.854,2.854,1,6.302,3.929,3.929,4.013,16.374,26.495,28.296,5.502,4.394,2.968,2.968,4.968,2.968,5.967,15.656,0,0,4.419,15.922,24.697,3.894,14.454,5.857,0.084,4.691,2.873
5.886,20.31,19.051,17.677,15.057,3.902,3.997,16.46,3.829,3.829,6.829,3.829,0.531,4.654,4.28,4.28,13.907,0.834,4.745,0,6.41,16.475,4.533,6.555,5.037,2.66,18.781,0,14.399,34.218,17.064,12.451,5.28,29.763,32.005,0,25.312,27.569,2.887,4.887,2.887,1,6.357,3.97,3.97,4.104,16.41,26.523,28.329,5.534,4.466,3.009,3.009,5.009,3.009,6.112,16.133,0,0,4.477,16.005,24.721,4.021,14.488,5.982,0.086,4.771,2.876
6.638,20.237,18.984,17.611,14.997,3.913,4.01,16.401,3.81,3.81,6.81,3.81,0.718,4.7,4.312,4.312,13.856,0.952,4.762,0,6.422,16.782,4.625,6.529,5.153,2.489,19.165,0,14.648,35.253,17.367,12.398,5.312,30.596,32.935,0,25.955,28.3,3.008,5.008,3.008,0,6.187,4.085,4.085,4.204,16.731,26.875,28.72,5.471,4.511,3.125,3.125,5.125,3.125,6.23,17.553,0,0,4.533,16.277,25.036,4.134,14.738,6.118,0.085,4.852,2.909
4.523,19.705,18.531,17.161,14.625,3.903,3.992,16.036,3.664,3.664,6.664,3.664,0.616,4.522,4.123,4.123,13.575,0.549,4.595,0,6.298,15.868,4.431,6.529,4.912,2.412,18.121,0,13.883,32.917,16.484,12.099,5.123,28.63,30.791,0,24.353,26.53,2.763,4.763,2.763,0,6.074,3.845,3.845,3.953,15.813,25.886,27.644,5.249,4.317,2.89,2.89,4.89,2.89,5.98,15.067,0,0,4.317,15.481,24.132,3.915,14.028,5.814,0.088,4.682,2.849
5.77,20.241,18.993,17.624,15.021,3.907,3.998,16.419,3.806,3.806,6.806,3.806,0.656,4.625,4.283,4.283,13.881,0.785,4.691,0,6.428,16.584,4.575,6.529,5.071,2.388,18.787,0,14.486,34.378,17.014,12.43,5.283,29.865,32.134,0,25.366,27.645,2.955,4.955,2.955,0,6.18,4.003,4.003,4.127,16.407,26.559,28.376,5.464,4.431,3.028,3.028,5.028,3.028,6.178,16.626,0,0,4.466,15.96,24.748,4.059,14.48,6.065,0.087,4.787,2.91
5.796,20.227,18.98,17.611,15.009,3.907,3.998,16.407,3.804,3.804,6.804,3.804,0.616,4.615,4.271,4.271,13.873,0.736,4.663,0,6.374,16.525,4.585,6.529,5.043,2.538,18.737,0,14.442,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.937,4.937,2.937,0,6.123,3.976,3.976,4.108,16.374,26.535,28.349,5.447,4.407,2.998,2.998,4.998,2.998,6.205,16.453,0,0,4.454,15.893,24.727,4.039,14.45,6.071,0.087,4.762,2.911
5.569,20.227,18.98,17.611,15.009,3.905,3.995,16.407,3.804,3.804,6.804,3.804,0.616,4.575,4.271,4.271,13.872,0.736,4.625,0,6.368,16.525,4.543,6.529,5.043,2.538,18.736,0,14.442,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.937,4.937,2.937,0,6.114,3.976,3.976,4.014,16.374,26.535,28.348,5.43,4.357,2.998,2.998,4.998,2.998,6.101,16.453,0,0,4.407,15.891,24.726,3.938,14.448,5.951,0.085,4.727,2.911
5.569,20.227,18.98,17.611,15.009,3.905,3.993,16.407,3.804,3.804,6.804,3.804,0.616,4.595,4.271,4.271,13.872,0.736,4.644,0,6.371,16.447,4.564,6.529,5.045,2.551,18.737,0,14.364,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.935,4.935,2.935,0,6.118,3.974,3.974,4.067,16.374,26.535,28.348,5.439,4.382,2.998,2.998,4.998,2.998,6.184,16.453,0,0,4.431,15.892,24.727,3.995,14.449,5.989,0.086,4.745,2.911
6.824,20.227,18.98,17.611,15.009,3.906,3.996,16.407,3.804,3.804,6.804,3.804,0.616,4.635,4.271,4.271,13.873,0.736,4.682,0,6.378,16.447,4.605,6.529,5.045,2.551,18.737,0,14.364,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.935,4.935,2.935,0,6.127,3.974,3.974,4.157,16.374,26.536,28.349,5.456,4.431,2.998,2.998,4.998,2.998,6.28,16.453,0,0,4.477,15.894,24.727,4.091,14.452,6.105,0.088,4.779,2.911
6.481,20.227,18.98,17.611,15.009,3.906,3.997,16.407,3.804,3.804,6.804,3.804,0.616,4.635,4.271,4.271,13.873,0.736,4.682,0,6.378,16.48,4.605,6.529,5.042,2.535,18.737,0,14.397,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.936,4.936,2.936,0,6.127,3.975,3.975,4.155,16.374,26.536,28.349,5.456,4.431,2.998,2.998,4.998,2.998,6.267,16.453,0,0,4.477,15.894,24.727,4.088,14.452,6.115,0.088,4.779,2.911
7.523,20.294,19.106,17.702,15.112,3.918,4.016,16.568,3.692,3.692,6.692,3.692,0.653,4.86,4.147,4.147,14.061,0.688,4.956,0,6.695,15.905,4.771,6.529,4.909,2.796,18.344,0,13.934,33.323,16.609,12.521,5.147,28.979,31.161,0,24.654,26.842,2.743,4.743,2.743,0,6.445,3.841,3.841,4.207,16.046,26.075,27.838,5.708,4.605,2.898,2.898,4.898,2.898,6.138,15.186,0,0,4.625,15.616,24.318,4.149,14.228,6.02,0.088,5.069,2.88
7.155,20.622,19.388,17.994,15.371,3.92,4.018,16.808,3.804,3.804,6.804,3.804,0.735,4.92,4.273,4.273,14.259,0.868,5.011,0,6.849,16.582,4.852,6.529,5.046,2.831,18.895,0,14.502,34.416,17.071,12.75,5.273,29.929,32.184,0,25.454,27.717,2.937,4.937,2.937,0,6.546,3.979,3.979,4.253,16.535,26.655,28.468,5.837,4.644,3.005,3.005,5.005,3.005,6.221,16.467,0,0,4.7,16.031,24.848,4.185,14.605,6.154,0.085,5.153,2.911
6.658,20.622,19.388,17.994,15.371,3.918,4.015,16.808,3.804,3.804,6.804,3.804,0.735,4.89,4.273,4.273,14.258,0.868,4.984,0,6.845,16.582,4.82,6.529,5.046,2.831,18.894,0,14.502,34.416,17.071,12.75,5.273,29.929,32.184,0,25.454,27.717,2.937,4.937,2.937,0,6.541,3.979,3.979,4.172,16.535,26.655,28.467,5.826,4.605,3.005,3.005,5.005,3.005,6.119,16.467,0,0,4.663,16.03,24.847,4.098,14.603,6.044,0.084,5.13,2.911
4.062,20.601,19.293,17.974,15.359,3.985,4.068,16.68,3.851,3.851,6.385,3.851,0.575,4.82,4.8,4.8,14.093,1.236,4.92,0,5.609,20.035,4.762,6.783,5.87,2.518,22.225,0,17.421,41.349,20.047,12.756,5.8,35.859,38.604,0,30.38,33.121,3.778,5.778,3.778,0,5.549,4.778,4.778,3.987,19.479,29.633,31.703,5.088,4.673,3.778,3.778,5.778,3.778,5.842,24.793,0,0,4.691,18.741,27.567,3.786,16.867,5.691,0.07,4.956,2.959
4.504,20.212,18.91,17.609,15.019,3.737,3.92,16.316,3.783,3.783,5.783,3.783,0.753,3.892,4.451,4.451,13.743,1.056,3.85,1,4.143,17.625,3.951,6.804,5.266,1.926,20.016,0,15.393,36.594,18.273,12.446,5.439,31.845,34.221,0,27.098,29.476,3.151,5.11,3.151,0,4.025,4.188,4.188,4.132,17.602,27.593,29.485,4.22,3.892,3.211,3.211,5.198,3.211,6.501,17.592,0,2,3.989,17.13,25.703,4.172,15.33,5.914,0.088,3.912,2.552
5.276,20.022,18.709,17.396,14.787,3.727,3.901,16.093,3.783,3.783,5.783,3.783,0.571,3.434,4.448,4.448,13.503,0.944,3.401,0,3.434,17.391,3.555,0.0,5.223,1.717,19.533,0,15.151,36.032,17.924,12.201,5.432,31.301,33.666,0,26.578,28.94,3.148,5.106,3.148,0,3.497,4.18,4.18,4.114,17.162,27.1,28.978,3.871,3.611,3.196,3.196,5.18,3.196,6.469,16.751,0,2,3.689,16.785,25.224,4.139,14.888,6.091,0.101,3.332,1.926
4.339,20.261,18.959,17.658,15.069,3.773,3.948,16.365,3.783,3.783,5.783,3.783,0.794,4.22,4.452,4.452,13.792,1.358,4.159,1,4.277,17.762,4.19,7.018,5.299,2.086,20.234,0,15.521,37.043,18.461,12.495,5.44,32.219,34.632,0,27.403,29.816,3.152,5.111,3.152,0,4.369,4.207,4.207,4.307,17.786,27.766,29.667,4.477,4.159,3.252,3.252,5.239,3.252,6.56,18.557,0,2,4.248,17.305,25.867,4.317,15.505,6.303,0.082,4.127,2.82
4.397,20.261,18.959,17.658,15.069,3.773,3.948,16.365,3.783,3.783,5.783,3.783,0.794,4.22,4.452,4.452,13.792,1.358,4.159,1,4.277,17.762,4.19,7.018,5.299,2.086,20.234,0,15.521,37.043,18.461,12.495,5.44,32.219,34.632,0,27.403,29.816,3.152,5.111,3.152,0,4.369,4.207,4.207,4.307,17.786,27.766,29.667,4.477,4.159,3.252,3.252,5.239,3.252,6.56,18.557,0,2,4.248,17.305,25.867,4.317,15.505,6.303,0.082,4.127,2.82
7.678,20.005,18.919,17.443,14.881,3.935,3.995,16.435,3.677,3.677,6.677,3.677,0.546,4.357,4.089,4.089,13.982,0.528,4.382,0,6.546,15.549,4.29,0.0,4.829,2.718,17.506,0,13.636,31.419,15.817,12.318,5.059,27.384,29.426,0,23.354,25.419,2.696,4.696,2.696,0,6.313,3.715,3.715,4.138,15.282,25.282,26.969,5.462,4.317,2.735,2.735,4.735,2.735,6.168,13.328,0,0,4.205,14.908,23.597,4.136,13.647,6.064,0.093,4.419,2.855
7.357,23.374,21.83,20.271,17.179,4.12,4.197,18.746,4.746,4.746,7.746,4.746,0.818,5.198,4.799,4.799,15.695,1.4,5.263,0,7.991,18.064,5.1,7.943,5.445,2.623,20.4,1,15.702,38.01,18.472,14.103,5.696,32.948,35.481,1,27.892,30.427,3.32,5.32,3.32,0,7.751,4.386,4.386,4.165,17.815,27.751,29.688,6.6,4.736,3.415,3.415,5.415,3.415,6.195,20.164,2,1,4.913,17.264,25.82,4.154,15.52,5.98,0.066,5.263,2.79
6.184,23.303,21.758,20.202,17.105,4.091,4.17,18.668,4.727,4.727,7.727,4.727,0.637,4.949,4.759,4.759,15.601,1.258,4.963,0,7.265,17.68,4.836,7.209,5.366,2.225,19.983,1,15.355,37.265,18.125,14.019,5.759,32.299,34.785,1,27.335,29.827,3.242,5.242,3.242,0,7.142,4.31,4.31,4.027,17.429,27.427,29.347,6.313,4.543,3.34,3.34,5.34,3.34,6.035,19.241,2,1,4.644,16.937,25.513,3.94,15.191,5.915,0.072,4.977,2.566
4.245,23.359,21.824,20.275,17.208,4.098,4.175,18.761,4.734,4.734,7.734,4.734,0.774,5.037,4.77,4.77,15.736,1.424,5.075,0,7.849,18.117,4.92,7.222,5.383,2.27,20.267,1,15.805,37.546,18.444,14.163,5.67,32.571,35.06,1,27.609,30.096,3.256,5.256,3.256,0,7.609,4.324,4.324,4.155,17.747,27.693,29.607,6.498,4.615,3.355,3.355,5.355,3.355,6.197,19.431,2,1,4.745,17.265,25.785,4.125,15.48,6.035,0.07,5.081,2.723
5.416,23.315,21.775,20.219,17.131,4.093,4.17,18.697,4.728,4.728,7.728,4.728,0.576,4.942,4.761,4.761,15.65,1.313,4.949,0,7.803,17.679,4.812,7.209,5.357,2.224,19.983,1,15.353,37.265,18.126,14.057,5.568,32.299,34.785,1,27.335,29.827,3.242,5.242,3.242,0,7.565,4.31,4.31,3.968,17.429,27.427,29.347,6.44,4.533,3.34,3.34,5.34,3.34,5.919,19.241,2,1,4.625,16.938,25.513,3.878,15.191,5.717,0.071,4.905,2.706
7.125,23.535,21.98,20.411,17.296,4.106,4.18,18.872,4.798,4.798,7.798,4.798,0.841,5.037,4.811,4.811,15.795,1.424,5.069,0,7.853,17.921,4.927,7.222,5.417,2.521,20.242,1,15.567,37.742,18.348,14.198,5.697,32.713,35.23,1,27.688,30.209,3.293,5.293,3.293,0,7.64,4.36,4.36,4.1,17.662,27.647,29.581,6.535,4.625,3.39,3.39,5.39,3.39,6.128,19.86,3,1,4.754,17.144,25.72,4.013,15.391,6.015,0.07,5.043,2.721
5.721,23.35,21.821,20.271,17.209,4.095,4.173,18.767,4.728,4.728,7.728,4.728,0.576,5.106,4.761,4.761,15.757,1.473,5.182,0,8.102,17.786,4.984,7.209,5.379,2.596,20.046,1,15.489,37.271,18.2,14.168,5.59,32.31,34.793,1,27.357,29.842,3.242,5.242,3.242,0,7.741,4.31,4.31,4.138,17.511,27.525,29.433,6.595,4.736,3.34,3.34,5.34,3.34,6.011,19.241,2,1,4.804,17.024,25.625,4.054,15.308,5.891,0.073,5.273,2.747
7.409,23.514,21.962,20.396,17.289,4.099,4.176,18.861,4.788,4.788,7.788,4.788,0.798,5.043,4.811,4.811,15.793,1.48,5.094,1,7.906,17.914,4.934,7.235,5.416,2.526,20.361,1,15.556,37.96,18.384,14.199,5.626,32.904,35.434,1,27.851,30.385,3.293,5.293,3.293,2,7.678,4.365,4.365,4.179,17.777,27.718,29.656,6.556,4.663,3.396,3.396,5.396,3.396,6.246,20.075,2,1,4.812,17.179,25.787,4.225,15.477,6.066,0.067,5.024,2.83
6.928,23.37,21.826,20.267,17.172,4.118,4.194,18.74,4.745,4.745,7.745,4.745,0.621,4.97,4.798,4.798,15.686,1.31,4.934,0,7.737,18.058,4.934,7.943,5.414,2.205,20.391,1,15.692,38.007,18.462,14.091,5.695,32.945,35.479,1,27.888,30.424,3.32,5.32,3.32,0,7.562,4.385,4.385,3.957,17.803,27.74,29.68,6.531,4.644,3.414,3.414,5.414,3.414,6.054,20.162,2,1,4.796,17.252,25.807,3.926,15.501,5.623,0.064,4.787,2.452
5.991,23.311,21.771,20.215,17.125,4.096,4.168,18.692,4.727,4.727,7.727,4.727,0.454,4.736,4.76,4.76,15.643,1.223,4.654,0,7.56,17.647,4.663,7.209,5.311,2.087,19.974,0,15.321,37.262,18.117,14.048,5.568,32.296,34.783,0,27.332,29.823,3.235,5.235,3.235,0,7.35,4.308,4.308,4.128,17.418,27.418,29.34,6.367,4.454,3.34,3.34,5.34,3.34,5.689,19.235,1,0,4.533,16.926,25.502,4.068,15.173,5.367,0.07,4.554,2.221
6.71,23.625,22.1,20.563,17.508,4.094,4.172,19.051,4.728,4.728,7.728,4.728,0.719,4.963,4.761,4.761,16.025,1.313,4.984,0,7.809,17.793,4.852,7.209,5.387,2.246,20.166,1,15.496,37.324,18.395,14.464,5.654,32.383,34.856,1,27.455,29.926,3.242,5.242,3.242,0,7.539,4.31,4.31,4.073,17.657,27.635,29.544,6.438,4.554,3.34,3.34,5.34,3.34,6.046,19.241,2,1,4.654,17.22,25.731,4.002,15.41,5.938,0.072,5.017,2.717
4.449,23.333,21.792,20.235,17.145,4.098,4.175,18.711,4.734,4.734,7.734,4.734,0.692,5.024,4.77,4.77,15.663,1.369,5.056,0,7.838,17.743,4.905,7.222,5.381,2.272,20.103,1,15.409,37.499,18.189,14.069,5.655,32.502,35.003,1,27.507,30.013,3.256,5.256,3.256,0,7.604,4.324,4.324,4.095,17.541,27.498,29.424,6.496,4.605,3.355,3.355,5.355,3.355,6.154,19.431,2,1,4.736,16.996,25.579,4.047,15.278,5.95,0.07,5.043,2.723
6.307,23.488,21.935,20.367,17.254,4.095,4.172,18.829,4.783,4.783,7.783,4.783,0.639,4.949,4.803,4.803,15.754,1.313,4.97,0,7.775,17.855,4.836,7.222,5.412,2.241,20.258,1,15.503,37.784,18.315,14.154,5.692,32.75,35.269,1,27.719,30.242,3.281,5.281,3.281,1,7.529,4.353,4.353,4.068,17.678,27.65,29.587,6.439,4.585,3.384,3.384,5.384,3.384,6.009,19.926,2,1,4.682,17.111,25.719,4.001,15.387,5.981,0.071,4.956,2.656
