pXC50,RBF,RBN,MW,nHet,nBO,nSK,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT
6.009,0.104,5,348.88,5,26,24,32.0,7.584,41.3,47.8,1.002,1.132,0.666,0.625,4.3,12,46
5.678,0.125,7,374.5,6,29,27,35.0,6.935,38.9,50.0,1.003,1.136,0.634,0.6,3.7,12,54
7.0,0.125,7,408.94,7,30,28,36.0,7.573,38.9,48.1,1.009,1.135,0.649,0.616,3.7,12,54
5.268,0.068,3,311.4,6,26,23,34.0,7.595,41.5,43.9,1.005,1.14,0.666,0.638,12.2,16,41
6.553,0.133,8,404.53,7,31,29,37.0,6.975,37.9,50.0,1.007,1.138,0.628,0.598,3.4,12,58
5.721,0.115,6,344.47,5,27,25,33.0,6.889,40.0,50.0,0.999,1.135,0.64,0.604,4.0,12,50
5.268,0.115,6,344.47,5,27,25,33.0,6.889,40.0,50.0,0.999,1.135,0.64,0.604,4.0,12,50
5.745,0.104,5,348.88,5,26,24,32.0,7.584,41.3,47.8,1.002,1.132,0.666,0.625,4.3,12,46
5.921,0.068,3,372.3,6,26,23,34.0,9.08,41.5,43.9,0.998,1.128,0.7,0.654,12.2,16,41
5.357,0.068,3,372.3,6,26,23,34.0,9.08,41.5,43.9,0.998,1.128,0.7,0.654,12.2,16,41
5.824,0.065,3,308.42,5,26,23,34.0,7.173,41.9,46.5,0.995,1.128,0.664,0.628,9.3,16,43
5.26,0.096,5,354.47,6,29,26,37.0,7.234,40.8,46.9,1.002,1.137,0.654,0.621,8.2,16,49
4.854,0.096,5,354.47,6,29,26,37.0,7.234,40.8,46.9,1.002,1.137,0.654,0.621,8.2,16,49
8.47,0.02,1,295.46,2,24,22,30.0,6.286,42.6,53.2,0.979,1.121,0.651,0.597,2.1,12,47
6.046,0.067,3,326.86,5,26,23,34.0,7.782,42.9,45.2,0.995,1.125,0.69,0.646,9.5,16,42
6.481,0.145,9,411.57,6,32,30,40.0,6.859,40.0,50.0,0.997,1.134,0.642,0.604,5.0,12,60
5.469,0.083,4,357.88,7,28,25,36.0,7.953,40.0,44.4,1.005,1.133,0.676,0.641,11.1,16,45
5.921,0.067,3,361.3,6,27,24,35.0,8.602,42.9,42.9,1.003,1.124,0.71,0.666,9.5,16,42
6.066,0.067,3,310.41,5,26,23,34.0,7.391,42.9,45.2,1.0,1.135,0.668,0.635,9.5,16,42
8.69,0.022,1,281.43,2,23,21,29.0,6.396,43.2,52.3,0.981,1.12,0.655,0.603,2.3,12,44
8.24,0.02,1,295.46,2,24,22,30.0,6.286,42.6,53.2,0.979,1.121,0.651,0.597,2.1,12,47
6.071,0.115,6,378.91,6,28,26,34.0,7.578,40.0,48.0,1.006,1.134,0.657,0.62,4.0,12,50
4.886,0.096,5,354.47,6,29,26,37.0,7.234,40.8,46.9,1.002,1.137,0.654,0.621,8.2,16,49
5.013,0.068,3,311.4,6,26,23,34.0,7.595,41.5,43.9,1.005,1.14,0.666,0.638,12.2,16,41
4.607,0.065,3,308.42,5,26,23,34.0,7.173,41.9,46.5,0.995,1.128,0.664,0.628,9.3,16,43
5.538,0.096,5,354.47,6,29,26,37.0,7.234,40.8,46.9,1.002,1.137,0.654,0.621,8.2,16,49
6.456,0.129,8,423.63,6,33,30,42.0,7.18,40.7,49.2,0.992,1.123,0.669,0.619,5.1,16,59
4.638,0.098,5,393.9,7,29,27,36.0,8.039,40.8,44.9,1.014,1.141,0.665,0.636,6.1,12,49
7.21,0.0,0,253.37,2,21,19,27.0,6.668,44.7,50.0,0.984,1.117,0.666,0.618,2.6,12,38
6.357,0.122,6,360.89,5,27,25,34.0,7.679,42.6,46.8,1.002,1.129,0.673,0.633,4.3,12,47
5.959,0.106,7,407.61,5,33,30,40.0,6.47,39.7,52.4,0.988,1.129,0.64,0.594,4.8,12,63
6.004,0.111,7,393.58,5,32,29,39.0,6.56,40.0,51.7,0.989,1.129,0.643,0.598,5.0,12,60
8.4,0.022,1,281.43,2,23,21,29.0,6.396,43.2,52.3,0.981,1.12,0.655,0.603,2.3,12,44
8.879,0.093,5,395.47,7,32,29,41.0,7.754,43.1,43.1,1.012,1.13,0.665,0.644,5.9,12,51
7.523,0.118,6,375.9,5,28,26,35.0,7.671,42.9,46.9,1.004,1.126,0.67,0.632,2.0,12,49
6.215,0.075,3,266.38,4,22,20,29.5,7.01,42.1,47.4,0.989,1.129,0.667,0.626,10.5,11,38
6.638,0.082,4,366.43,8,28,26,34.0,7.796,38.3,44.7,1.024,1.157,0.636,0.622,8.5,6,47
6.42,0.073,3,265.39,3,22,20,29.5,6.805,43.6,48.7,0.984,1.124,0.669,0.623,7.7,11,39
5.77,0.146,23,1047.44,16,87,78,112.0,7.077,41.9,47.3,0.994,1.127,0.662,0.624,8.1,46,148
5.469,0.146,23,1047.44,16,87,78,112.0,7.077,41.9,47.3,0.994,1.127,0.662,0.624,8.1,46,148
5.886,0.08,4,317.47,3,27,24,35.5,6.755,44.7,48.9,0.982,1.12,0.673,0.624,6.4,17,47
6.42,0.067,3,326.86,5,26,23,34.0,7.782,42.9,45.2,0.995,1.125,0.69,0.646,9.5,16,42
