pXC50,D.Dtr07,PDI,X5A,H.047,nR07,ATSC7s,SpDiam_EA.ri.,nHM,SpMax2_Bh.m.,P_VSA_m_4,H.051,C.006,GATS7m,P_VSA_i_1,PW5,Eig01_EA.ri.,SpMax_EA.ri.,SpDiam_EA.ed.,RBF,X4A,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,TPSA.Tot.,SpDiam_EA,ATSC7m,SM14_AEA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,GATS5v,SM14_EA.ed.,SM15_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,SM10_EA.ed.,SM12_AEA.ed.,CATS2D_05_NL,ATSC7e,piPC04,SM08_EA.bo.,GATS6i,SM06_EA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM08_EA.ed.,SpMin5_Bh.i.,SM10_AEA.ed.,SpMin3_Bh.s.,SM13_AEA.ed.,MPC06,SpMax3_Bh.m.,Xindex,ATSC7p,ATSC8s,nCrs,SM15_AEA.ed.,SpDiam_AEA.bo.,LOC,MWC09,MWC10,SM09_EA.ed.,piPC05,piPC06,MATS2m,CATS2D_02_AN
10.0,0.0,0.881,0.079,7,0,118.22,5.129,0,3.74,0.0,0,1,1.214,0.0,0.101,3.129,3.129,18.534,0.128,0.117,6.783,6.783,13.461,94.91,5.174,22.767,27.122,26.553,28.959,31.327,1.037,33.725,36.107,3.174,3.174,3.174,24.213,23.358,4,0.632,4.744,11.472,0.976,14.869,11.052,11.052,11.052,19.504,1.124,19.614,1.091,25.238,3.951,3.462,0.501,7.405,176.851,5,29.01,5.426,1.234,10.719,11.598,21.786,5.141,5.11,0.02,1
8.26,0.0,0.857,0.079,13,0,124.784,4.974,1,3.765,38.564,1,2,1.034,38.564,0.097,2.974,2.974,17.516,0.175,0.121,6.606,6.606,22.234,114.87,5.098,31.451,26.811,25.965,28.312,30.617,1.075,32.956,35.277,3.098,3.098,3.098,23.691,23.107,2,0.974,4.634,11.399,1.093,14.607,10.438,10.438,10.438,19.111,1.112,19.425,0.779,24.957,3.871,3.517,0.67,8.304,74.967,0,28.668,5.237,1.935,10.586,11.455,21.32,5.106,5.222,0.015,1
8.155,0.0,0.906,0.079,13,0,168.235,5.164,0,3.839,0.0,2,1,1.048,0.0,0.103,3.164,3.164,19.065,0.164,0.116,6.979,6.979,23.51,133.24,5.291,27.713,27.436,27.218,29.691,32.147,0.966,34.618,37.083,3.291,3.291,3.291,24.785,23.647,3,1.029,5.133,11.698,0.997,15.199,11.843,11.843,11.843,19.932,1.284,19.896,1.132,25.537,4.454,3.686,0.318,8.716,95.426,2,29.341,5.466,0.873,11.13,12.016,22.304,5.604,5.56,-0.005,1
6.301,0.0,0.906,0.079,13,0,168.235,5.164,0,3.839,0.0,2,1,1.048,0.0,0.103,3.164,3.164,19.065,0.164,0.116,6.979,6.979,23.51,133.24,5.291,27.713,27.436,27.218,29.691,32.147,0.966,34.618,37.083,3.291,3.291,3.291,24.785,23.647,3,1.029,5.133,11.698,0.997,15.199,11.843,11.843,11.843,19.932,1.284,19.896,1.132,25.537,4.454,3.686,0.318,8.716,95.426,2,29.341,5.466,0.873,11.13,12.016,22.304,5.604,5.56,-0.005,1
5.469,0.0,0.846,0.089,6,0,53.187,4.856,1,3.584,38.564,1,3,1.065,38.564,0.086,2.916,2.916,16.486,0.115,0.133,6.4,6.4,8.321,96.41,4.985,8.684,26.057,24.976,27.279,29.523,1.029,31.81,34.069,2.985,2.985,2.985,22.761,22.381,1,0.269,3.401,9.773,0.889,13.852,9.693,9.693,9.693,18.273,0.693,18.725,0.776,24.217,2.944,3.349,0.713,1.49,13.283,2,27.9,5.131,1.508,9.92,10.765,20.424,3.497,3.178,-0.095,1
5.921,0.0,0.916,0.076,13,0,125.11,5.112,0,3.842,0.0,0,1,1.147,0.0,0.107,3.112,3.112,18.692,0.154,0.115,6.792,6.792,18.712,106.94,5.216,30.064,27.141,26.594,29.012,31.392,1.005,33.804,36.2,3.216,3.216,3.216,24.25,23.409,6,0.701,5.066,11.626,0.924,14.955,11.155,11.155,11.155,19.546,1.32,19.707,1.002,25.271,4.522,3.619,0.354,9.641,99.406,2,29.016,5.396,1.059,11.041,11.928,21.814,5.565,5.562,-0.025,1
4.244,0.0,0.849,0.082,5,0,111.673,4.933,0,3.693,0.0,0,1,1.172,0.0,0.085,3.028,3.028,18.121,0.145,0.123,6.715,6.715,14.137,112.73,5.129,35.852,26.992,26.257,28.641,30.984,1.067,33.362,35.723,3.144,3.144,3.144,23.947,23.269,1,0.525,4.06,10.437,0.792,14.753,10.796,10.796,10.796,19.303,1.362,19.571,1.213,25.127,3.829,3.563,0.636,10.689,140.089,3,28.861,5.247,2.351,10.696,11.566,21.542,4.205,4.06,0.087,1
7.292,0.0,0.882,0.083,12,0,153.13,5.02,0,3.817,0.0,0,2,1.05,0.0,0.087,3.02,3.02,18.095,0.197,0.125,6.714,6.714,16.559,132.96,5.141,45.117,27.008,26.26,28.64,30.982,0.994,33.357,35.716,3.141,3.141,3.141,23.951,23.292,4,0.796,4.611,10.989,0.947,14.781,10.788,10.788,10.788,19.317,1.47,19.601,1.213,25.147,4.159,3.645,0.43,13.532,151.144,3,28.875,5.243,1.479,10.841,11.701,21.555,4.912,4.745,-0.04,1
6.137,0.0,0.86,0.082,8,0,63.354,4.979,0,3.837,0.0,0,0,0.914,0.0,0.082,2.979,2.979,16.31,0.091,0.129,6.399,6.399,6.246,97.99,4.985,8.385,26.38,25.145,27.424,29.647,0.954,31.914,34.157,2.985,2.985,2.985,22.961,22.749,0,0.328,5.022,11.907,0.865,14.222,9.686,9.686,9.686,18.547,0.839,19.143,0.587,24.562,3.761,3.415,0.431,3.567,60.173,0,28.202,5.067,0.716,10.497,11.349,20.653,5.52,5.617,-0.017,0
5.721,0.0,0.783,0.12,3,0,45.793,4.331,1,3.487,38.564,0,1,1.786,38.564,0.047,2.57,2.57,12.83,0.167,0.155,5.74,5.74,4.699,105.2,4.522,4.927,24.515,22.049,24.102,26.066,1.096,28.097,30.081,2.655,2.655,2.655,20.122,21.048,1,0.237,2.197,9.249,0.943,12.282,7.432,7.432,7.432,16.172,0.215,17.596,0.139,22.78,1.609,3.05,1.105,0.782,6.323,0,26.253,4.72,1.761,8.844,9.596,18.026,2.485,1.946,0.038,0
7.79,124.345,0.907,0.08,15,1,172.112,5.052,0,3.84,0.0,0,1,1.17,0.0,0.103,3.052,3.052,18.389,0.148,0.12,6.753,6.753,22.021,106.94,5.164,45.356,27.111,26.479,28.876,31.237,0.989,33.63,36.009,3.164,3.164,3.164,24.152,23.389,7,0.853,5.002,11.385,1.007,14.925,10.999,10.999,10.999,19.485,1.506,19.697,1.178,25.247,4.522,3.714,0.348,13.847,134.129,5,28.98,5.275,0.999,11.026,11.897,21.739,5.441,5.334,-0.05,1
8.367,124.345,0.908,0.081,16,1,155.491,4.979,0,3.84,0.0,0,2,1.125,0.0,0.096,2.979,2.979,16.901,0.148,0.123,6.453,6.453,17.211,106.94,5.06,43.338,26.747,25.631,27.921,30.16,0.964,32.442,34.701,3.06,3.06,3.06,23.431,23.112,6,0.769,4.968,11.359,0.995,14.637,9.962,9.962,9.962,18.991,1.504,19.498,1.137,24.927,4.511,3.725,0.344,13.47,138.725,3,28.57,5.176,0.999,10.969,11.831,21.115,5.394,5.281,-0.056,1
7.824,0.0,0.837,0.082,6,0,153.598,5.312,1,3.854,38.564,0,0,0.991,38.564,0.075,3.312,3.312,19.652,0.154,0.126,7.27,7.27,14.712,154.53,5.382,37.728,27.948,27.63,30.134,32.63,0.863,35.135,37.638,3.382,3.382,3.382,25.152,24.055,4,0.834,4.515,11.338,1.255,15.368,12.288,12.288,12.288,20.212,1.119,20.197,1.082,25.998,3.829,3.682,0.592,10.93,195.917,0,29.903,5.426,2.442,10.727,11.587,22.647,4.922,4.769,0.113,0
7.824,0.0,0.859,0.078,6,0,136.212,5.525,1,3.857,38.564,0,0,0.996,38.564,0.075,3.525,3.525,21.616,0.157,0.119,7.689,7.689,14.712,154.53,5.59,32.677,28.642,29.132,31.779,34.423,0.831,37.07,39.717,3.59,3.59,3.59,26.495,24.616,4,0.75,4.599,11.472,1.201,16.047,14.121,14.121,14.121,21.235,1.076,20.624,0.895,26.626,3.989,3.778,0.426,9.894,187.178,2,30.663,5.623,1.531,11.025,11.923,23.849,4.979,4.834,0.044,0
7.585,102.124,0.888,0.084,10,1,120.843,4.991,1,3.801,38.564,0,1,1.203,38.564,0.088,2.991,2.991,17.783,0.12,0.125,6.656,6.656,14.303,125.51,5.106,33.394,26.896,25.969,28.33,30.638,0.94,32.99,35.319,3.106,3.106,3.106,23.701,23.198,2,0.643,4.539,10.982,1.058,14.65,10.504,10.504,10.504,19.126,1.319,19.524,1.136,25.044,4.025,3.701,0.432,9.733,101.699,4,28.753,5.211,1.051,10.716,11.57,21.316,4.901,4.676,-0.006,1
7.602,111.148,0.871,0.084,12,1,201.303,4.987,1,3.812,38.564,0,2,1.262,38.564,0.103,2.987,2.987,17.691,0.148,0.124,6.627,6.627,18.982,145.74,5.101,39.114,26.815,25.979,28.338,30.653,1.003,33.005,35.338,3.101,3.101,3.101,23.702,23.125,2,1.134,4.601,10.946,0.996,14.644,10.521,10.521,10.521,19.121,1.334,19.463,1.185,24.967,4.19,3.704,0.432,10.492,122.859,5,28.667,5.196,1.215,10.791,11.65,21.32,4.98,4.782,-0.052,1
7.886,0.0,0.895,0.073,5,0,149.171,5.437,1,3.914,38.564,0,0,1.127,38.564,0.089,3.437,3.437,21.332,0.129,0.113,7.627,7.627,14.712,170.32,5.503,49.031,28.638,28.994,31.615,34.236,0.875,36.861,39.487,3.503,3.503,3.503,26.387,24.656,3,0.832,5.282,12.402,1.119,16.104,13.895,13.895,13.895,21.199,1.507,20.711,1.211,26.643,4.564,3.771,0.351,15.385,237.664,4,30.639,5.554,1.399,11.288,12.186,23.771,5.71,5.972,0.054,0
7.638,114.617,0.908,0.08,10,1,141.344,5.002,1,3.85,38.564,0,1,1.191,38.564,0.095,3.002,3.002,17.755,0.138,0.119,6.632,6.632,17.277,125.51,5.114,43.569,26.88,26.035,28.393,30.706,0.98,33.058,35.391,3.114,3.114,3.114,23.763,23.203,3,0.732,4.641,10.993,1.042,14.742,10.553,10.553,10.553,19.197,1.319,19.556,1.194,25.038,4.331,3.731,0.343,12.826,133.01,7,28.727,5.226,0.959,10.956,11.825,21.386,5.027,4.87,-0.054,1
7.959,111.148,0.889,0.084,10,1,144.966,4.987,1,3.813,38.564,0,1,1.219,38.564,0.103,2.987,2.987,17.691,0.143,0.124,6.627,6.627,17.277,125.51,5.101,41.814,26.815,25.979,28.338,30.653,0.996,33.005,35.338,3.101,3.101,3.101,23.702,23.125,3,0.756,4.601,10.946,1.026,14.644,10.521,10.521,10.521,19.121,1.425,19.463,1.205,24.967,4.19,3.704,0.432,11.913,125.471,5,28.667,5.196,1.215,10.791,11.65,21.32,4.98,4.782,-0.013,1
7.77,115.771,0.908,0.079,10,1,160.327,5.054,1,3.849,38.564,0,1,1.208,38.564,0.099,3.054,3.054,18.394,0.115,0.119,6.753,6.753,17.277,125.51,5.165,48.735,27.11,26.475,28.873,31.234,1.013,33.627,36.006,3.165,3.165,3.165,24.149,23.388,4,0.866,4.715,11.005,1.073,14.924,10.998,10.998,10.998,19.483,1.464,19.696,1.211,25.246,4.443,3.72,0.348,13.765,129.358,9,28.98,5.258,0.94,11.006,11.88,21.733,5.072,4.944,-0.04,1
7.585,0.0,0.894,0.072,10,0,157.715,5.5,1,3.863,38.564,0,0,1.024,38.564,0.096,3.5,3.5,21.688,0.129,0.111,7.663,7.663,15.8,154.53,5.558,45.208,28.635,29.138,31.783,34.426,0.821,37.072,39.718,3.558,3.558,3.558,26.505,24.635,4,0.797,5.16,11.895,1.103,16.11,14.122,14.122,14.122,21.26,1.454,20.676,1.172,26.631,4.673,3.84,0.361,15.663,207.102,2,30.646,5.616,1.375,11.317,12.225,23.861,5.651,5.689,0.042,0
7.658,0.0,0.9,0.082,11,0,166.295,5.436,1,3.868,38.564,0,0,1.188,38.564,0.092,3.436,3.436,21.313,0.145,0.121,7.627,7.627,16.112,154.53,5.502,49.28,28.52,28.953,31.583,34.211,0.897,36.842,39.472,3.502,3.502,3.502,26.331,24.511,4,0.852,5.03,11.663,1.179,15.958,13.894,13.894,13.894,21.104,1.494,20.54,1.211,26.512,4.344,3.804,0.33,15.463,194.731,4,30.534,5.55,0.765,11.111,11.986,23.701,5.467,5.268,-0.022,0
7.959,0.0,0.857,0.079,10,0,158.566,5.426,1,3.855,38.564,0,2,1.163,38.564,0.088,3.426,3.426,21.321,0.138,0.12,7.625,7.625,20.276,163.76,5.496,48.471,28.536,28.953,31.582,34.209,0.789,36.84,39.469,3.496,3.496,3.496,26.333,24.53,4,0.922,4.695,11.411,1.152,15.963,13.89,13.89,13.89,21.109,1.182,20.558,1.217,26.529,4.248,3.744,0.444,14.632,253.329,2,30.548,5.565,1.449,11.005,11.884,23.704,5.096,4.982,0.027,0
8.155,111.148,0.891,0.084,13,1,152.086,4.987,1,3.814,38.564,0,1,1.244,38.564,0.103,2.987,2.987,17.691,0.148,0.124,6.627,6.627,15.607,125.51,5.101,38.102,26.815,25.979,28.338,30.653,0.983,33.005,35.338,3.101,3.101,3.101,23.702,23.125,3,0.701,4.621,10.951,1.022,14.644,10.521,10.521,10.521,19.121,1.41,19.463,1.171,24.967,4.19,3.705,0.432,11.236,121.187,5,28.667,5.197,1.215,10.791,11.65,21.32,5.0,4.823,-0.035,1
7.187,0.0,0.876,0.07,6,0,147.541,5.599,1,3.859,38.564,0,0,1.219,38.564,0.092,3.599,3.599,23.099,0.129,0.108,7.97,7.97,14.712,154.53,5.655,50.915,29.121,29.908,32.626,35.343,0.81,38.061,40.779,3.655,3.655,3.655,27.197,25.017,4,0.697,4.863,11.531,1.074,16.449,15.159,15.159,15.159,21.787,1.47,20.952,1.224,27.066,4.615,3.822,0.363,16.798,237.293,4,31.182,5.703,1.423,11.357,12.278,24.477,5.243,5.203,0.037,0
7.959,0.0,0.878,0.076,3,0,116.41,5.379,2,3.918,69.841,0,0,1.048,69.841,0.074,3.437,3.437,21.33,0.151,0.12,7.627,7.627,13.549,162.54,5.503,44.182,28.536,28.956,31.585,34.213,0.82,36.844,39.474,3.503,3.503,3.503,26.335,24.526,3,0.59,4.57,11.24,1.116,15.957,13.895,13.895,13.895,21.11,1.336,20.548,1.198,26.528,4.094,3.772,0.453,14.285,167.236,4,30.549,5.551,1.517,10.941,11.825,23.706,4.553,4.65,0.005,0
7.62,0.0,0.878,0.078,6,0,157.973,5.437,1,3.863,38.564,0,0,1.162,38.564,0.082,3.437,3.437,21.33,0.143,0.119,7.627,7.627,14.212,134.3,5.503,45.02,28.539,28.956,31.586,34.213,0.838,36.844,39.474,3.503,3.503,3.503,26.336,24.532,4,0.821,4.686,11.414,1.011,15.964,13.895,13.895,13.895,21.111,1.453,20.56,1.211,26.532,4.19,3.763,0.44,14.166,254.694,4,30.551,5.55,1.475,10.999,11.881,23.706,5.058,4.954,0.047,0
7.602,120.561,0.884,0.081,9,1,149.32,5.083,1,3.831,38.564,0,0,1.079,38.564,0.103,3.083,3.083,18.841,0.145,0.122,6.91,6.91,18.571,125.51,5.218,53.692,27.337,26.941,29.387,31.809,1.049,34.253,36.687,3.218,3.218,3.218,24.547,23.566,3,0.806,4.697,11.055,1.065,15.089,11.529,11.529,11.529,19.762,1.459,19.828,1.214,25.448,4.304,3.709,0.443,15.94,143.268,5,29.231,5.294,1.267,10.965,11.839,22.087,5.04,4.847,0.008,1
4.022,0.0,0.833,0.073,2,0,108.211,5.314,1,3.786,32.22,3,0,0.906,32.22,0.081,3.428,3.428,22.313,0.14,0.115,7.757,7.757,15.706,99.98,5.547,36.181,28.746,29.069,31.714,34.352,1.226,36.994,39.635,3.568,3.568,3.568,26.441,24.688,4,0.598,3.951,10.853,1.111,15.997,14.045,14.045,14.045,21.189,1.284,20.653,1.037,26.715,3.584,3.566,0.712,9.787,113.573,5,30.782,5.607,2.058,10.748,11.649,23.79,4.007,3.784,0.211,1
7.722,0.0,0.839,0.082,5,0,76.91,4.892,1,3.693,38.564,1,2,1.34,38.564,0.076,3.005,3.005,17.875,0.103,0.122,6.693,6.693,9.615,96.41,5.071,19.151,26.762,26.065,28.449,30.797,1.135,33.173,35.532,3.122,3.122,3.122,23.741,23.008,1,0.402,3.555,10.055,1.069,14.456,10.681,10.681,10.681,19.065,0.815,19.272,0.938,24.883,3.045,3.279,0.725,3.82,16.038,3,28.644,5.185,1.747,10.193,11.059,21.333,3.526,3.296,-0.046,1
4.432,0.0,0.974,0.075,13,0,86.549,5.194,2,3.977,39.903,1,1,1.039,39.903,0.1,3.194,3.194,20.355,0.125,0.116,7.297,7.297,15.008,130.65,5.422,29.041,28.077,27.887,30.404,32.908,0.97,35.426,37.94,3.422,3.422,3.422,25.406,24.183,1,0.434,5.503,13.044,0.964,15.592,12.515,12.515,12.515,20.453,1.349,20.318,0.985,26.126,4.466,3.871,0.355,10.841,119.491,0,30.032,5.791,0.905,11.086,11.984,22.885,6.083,6.335,-0.09,0
6.678,0.0,0.799,0.115,4,0,63.435,4.485,1,3.532,38.564,1,2,1.265,38.564,0.048,2.7,2.7,13.522,0.19,0.16,5.864,5.864,5.283,105.2,4.591,8.137,24.805,22.675,24.781,26.809,0.938,28.894,30.939,2.706,2.706,2.706,20.681,21.294,1,0.313,2.485,9.309,0.961,12.596,7.869,7.869,7.869,16.609,0.33,17.799,0.474,23.048,1.792,3.265,1.093,1.245,17.116,0,26.565,4.774,1.859,9.031,9.793,18.535,2.565,2.079,-0.068,0
4.921,0.0,0.897,0.095,7,0,112.732,4.856,2,3.888,39.903,1,1,1.18,39.903,0.078,2.856,2.856,16.113,0.182,0.136,6.4,6.4,6.18,130.65,5.107,23.555,26.406,25.492,27.773,30.044,0.953,32.326,34.606,3.107,3.107,3.107,23.237,22.751,1,0.573,4.184,12.119,1.114,14.286,9.967,9.967,9.967,18.733,0.931,19.11,0.947,24.577,3.219,3.719,0.601,6.553,44.31,0,28.237,5.539,2.256,10.071,10.903,20.951,4.639,4.288,-0.181,0
6.155,0.0,0.861,0.088,8,0,113.871,4.801,1,3.848,32.22,4,3,1.081,32.22,0.077,2.88,2.88,16.263,0.216,0.129,6.354,6.354,13.924,113.12,4.949,25.6,26.044,24.809,27.093,29.308,1.006,31.575,33.81,2.965,2.965,2.965,22.634,22.415,2,0.844,4.228,10.705,1.006,13.904,9.521,9.521,9.521,18.221,1.275,18.816,0.728,24.226,3.497,3.601,0.615,6.513,61.851,0,27.867,5.068,2.482,10.241,11.079,20.316,4.188,4.339,0.074,1
5.229,0.0,0.816,0.104,5,0,100.319,4.712,1,3.695,32.22,4,2,1.131,32.22,0.083,2.918,2.918,16.896,0.2,0.133,6.523,6.523,13.749,99.98,4.959,30.104,26.347,25.326,27.656,29.935,1.075,32.251,34.543,3.024,3.024,3.024,23.075,22.643,1,0.628,3.401,9.977,1.027,14.055,10.004,10.004,10.004,18.526,0.804,18.965,0.745,24.492,2.639,3.364,1.134,6.274,26.525,0,28.205,5.083,2.043,9.973,10.801,20.713,3.497,3.045,0.154,1
6.77,0.0,0.857,0.084,8,0,97.674,4.798,1,3.772,38.564,1,3,1.148,38.564,0.073,2.879,2.879,16.2,0.188,0.13,6.35,6.35,12.765,109.55,4.938,20.62,26.023,24.785,27.066,29.281,0.981,31.546,33.779,2.96,2.96,2.96,22.607,22.386,2,0.658,4.152,10.631,0.995,13.861,9.502,9.502,9.502,18.192,0.88,18.775,0.719,24.202,3.296,3.539,0.655,5.173,43.418,0,27.849,5.024,2.207,10.114,10.953,20.294,4.041,4.184,-0.057,1
5.347,0.0,0.826,0.103,6,0,112.97,4.654,1,3.678,32.22,4,3,1.091,32.22,0.084,2.859,2.859,16.108,0.226,0.138,6.338,6.338,9.454,99.98,4.874,17.358,25.927,24.668,26.948,29.161,1.143,31.423,33.651,2.939,2.939,2.939,22.488,22.277,2,0.539,3.466,9.92,0.95,13.712,9.428,9.428,9.428,18.061,0.8,18.654,0.722,24.1,2.833,3.364,1.104,4.294,48.59,0,27.758,5.029,2.137,9.85,10.67,20.17,3.689,3.555,0.097,1
