pXC50,H.051,ATSC5s,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,Eig01_AEA.bo.,SpDiam_AEA.bo.,SpMax_AEA.bo.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s
6.432,0,151.278,4.707,4.707,7.707,4.707,4.859,5.753,4.859,18.709,20.225,21.767,23.297,1.901,9.292,2.184,4.771,86.657,8.493,0.48,3.806,3.885,3.626,3.42,5.015,3.3445,4.28,4.388,3.899,3.766,5.803,3.6495,4.568,4.725,3.985,3.875,5.916,3.721,4.64,4.807,3.968,3.802,6.063,3.631,4.574,4.74,3.934,3.751,6.107,3.5605,4.454,4.595,3.782,3.754,6.036,3.5295,4.464,4.64,3.674,3.77,5.744,3.505,4.48,4.689,3.54,3.59,5.709,3.3385,0.279,0.659,9.738,4.519,33.285,4.332,0.526,1.033,13.982,7.29,74.9,7.2265,0.59,1.251,22.823,9.651,78.827,8.8645,0.786,1.21,27.263,9.205,112.468,9.071,0.82,1.113,26.789,8.536,8.293,0.731,1.074,19.36,7.933,130.014,7.619,0.514,1.126,19.211,9.386,67.458,7.574,0.681,1.043,25.73,8.96,97.042
6.979,0,135.832,4.365,4.365,7.365,4.365,4.522,5.408,4.522,18.084,19.488,20.965,22.396,1.607,10.038,3.537,12.509,95.07,7.891,0.607,3.865,3.953,3.462,3.519,5.104,3.3445,4.324,4.44,3.828,3.894,5.617,3.6495,4.63,4.789,3.942,4.021,5.908,3.721,4.699,4.87,3.877,3.945,6.023,3.631,4.619,4.795,3.857,3.885,6.138,3.5605,4.499,4.661,3.739,3.888,5.764,3.5295,4.557,4.732,3.715,3.855,5.835,3.505,4.518,4.715,3.555,3.721,5.899,3.3385,0.177,0.608,7.707,4.456,18.484,4.332,0.259,1.004,13.004,7.327,39.804,7.2265,0.355,1.278,20.354,9.797,53.037,8.8645,0.445,1.242,23.545,9.489,84.771,9.071,0.643,1.146,22.18,8.934,8.293,0.217,1.088,18.013,8.682,51.384,7.619,0.328,1.176,19.972,9.297,58.538,7.574,0.507,1.069,20.703,8.647,105.474
7.149,0,93.765,4.068,4.068,7.068,4.068,4.504,5.394,4.504,17.183,18.445,19.898,21.214,1.513,8.778,4.483,20.095,102.425,7.332,0.621,3.954,4.056,3.493,3.606,5.124,3.3445,4.423,4.556,3.83,3.982,5.612,3.6495,4.738,4.922,3.933,4.132,5.841,3.721,4.837,5.033,3.972,4.166,5.942,3.631,4.874,5.058,4.108,4.272,6.132,3.5605,4.938,5.122,4.089,4.348,6.059,3.5295,5.012,5.236,3.92,4.252,6.103,3.505,4.871,5.133,3.555,3.974,5.905,3.3385,0.165,0.671,9.683,5.05,16.334,4.332,0.259,1.11,16.192,8.338,37.46,7.2265,0.328,1.429,24.38,11.261,50.035,8.8645,0.344,1.457,27.798,11.536,64.913,9.071,0.44,1.517,28.191,12.084,8.293,0.159,1.686,29.116,13.722,43.616,7.619,0.29,1.866,33.763,14.987,68.92,7.574,0.36,1.594,31.525,13.015,76.637
5.855,0,75.944,4.125,4.125,7.125,4.125,4.47,5.349,4.47,17.038,18.412,19.855,21.251,1.789,6.588,1.013,1.027,56.128,7.712,0.353,3.525,3.609,3.07,2.975,4.81,3.3445,3.975,4.112,3.359,3.241,5.323,3.6495,4.107,4.23,3.462,3.328,5.441,3.721,4.208,4.349,3.518,3.361,5.628,3.631,4.244,4.415,3.374,3.351,5.696,3.5605,4.256,4.459,2.944,3.226,5.432,3.5295,3.992,4.223,2.909,3.061,5.307,3.505,3.884,4.167,2.39,2.678,5.019,3.3385,0.261,0.46,6.215,3.166,18.583,4.332,0.532,0.672,11.548,4.609,47.333,7.2265,0.482,0.663,12.945,4.881,54.555,8.8645,0.746,0.716,14.79,5.141,58.305,9.071,0.572,0.745,15.614,5.552,8.293,0.824,0.727,17.691,5.265,80.5,7.619,0.615,0.621,13.344,5.461,47.167,7.574,0.539,0.516,13.53,4.748,49.667
4.456,0,124.294,4.098,4.098,7.098,4.098,4.441,5.313,4.441,16.96,18.325,19.764,21.151,2.143,6.4,1.457,2.123,43.635,9.347,0.4,3.254,3.329,2.938,2.78,4.716,3.3445,3.662,3.758,3.298,3.05,5.32,3.6495,3.953,4.1,3.364,3.03,5.572,3.721,3.903,4.071,3.369,2.816,5.979,3.631,3.601,3.754,2.912,2.674,5.425,3.5605,3.464,3.632,2.618,2.589,4.973,3.5295,3.312,3.453,2.799,2.284,5.574,3.505,3.018,3.234,1.624,1.714,4.525,3.3385,0.353,0.495,2.966,2.512,48.904,4.332,0.514,0.742,4.77,3.866,71.827,7.2265,0.778,0.843,9.875,4.285,137.102,8.8645,1.051,0.849,10.892,3.587,180.756,9.071,0.651,0.545,7.466,3.047,8.293,0.671,0.709,6.794,3.458,104.829,7.619,0.676,0.323,5.955,2.625,109.786,7.574,0.434,0.194,5.679,1.647,73.782
4.224,0,71.176,3.916,3.916,6.916,3.916,4.31,5.178,4.31,16.433,17.721,19.14,20.461,2.033,6.357,1.711,2.926,48.007,9.28,0.429,3.226,3.303,2.931,2.839,4.556,3.3445,3.626,3.723,3.288,3.139,5.115,3.6495,3.899,4.047,3.35,3.179,5.296,3.721,3.818,3.991,3.271,2.97,5.299,3.631,3.545,3.694,2.904,2.787,5.248,3.5605,3.403,3.569,2.608,2.757,4.72,3.5295,3.242,3.395,2.778,2.371,4.894,3.505,2.951,3.161,1.619,1.841,4.256,3.3385,0.238,0.362,3.316,2.439,23.956,4.332,0.337,0.559,5.443,3.933,37.162,7.2265,0.448,0.531,11.673,4.551,63.388,8.8645,0.512,0.479,14.141,4.063,68.373,9.071,0.406,0.384,9.529,3.25,8.293,0.305,0.37,8.717,3.759,40.531,7.619,0.33,0.296,7.389,2.915,38.972,7.574,0.227,0.172,7.407,1.993,31.861
6.333,0,149.155,4.16,4.16,7.16,4.16,4.459,5.33,4.459,17.168,18.548,19.991,21.393,1.998,6.563,0.941,0.885,50.526,8.96,0.375,3.338,3.416,2.999,2.836,4.784,3.3445,3.732,3.819,3.32,3.134,5.443,3.6495,3.993,4.138,3.344,3.168,5.467,3.721,4.015,4.176,3.332,3.036,5.579,3.631,3.883,4.007,3.256,2.876,5.918,3.5605,3.622,3.788,2.693,2.762,5.038,3.5295,3.481,3.631,2.652,2.519,5.042,3.505,3.257,3.394,2.472,1.896,5.457,3.3385,0.348,0.415,3.696,2.412,37.189,4.332,0.504,0.609,5.727,3.804,74.26,7.2265,0.595,0.613,10.136,4.083,94.486,8.8645,0.686,0.589,11.411,3.68,109.058,9.071,0.806,0.494,9.907,3.198,8.293,0.5,0.472,8.019,3.231,88.782,7.619,0.576,0.381,7.208,3.145,80.315,7.574,0.572,0.192,6.308,1.599,102.693
4.824,0,232.634,4.079,4.079,7.079,4.079,4.579,5.456,4.579,16.931,18.284,19.715,21.093,2.14,6.647,1.989,3.954,49.175,9.5,0.353,3.377,3.456,3.07,2.88,4.791,3.3445,3.866,3.969,3.559,3.172,5.961,3.6495,4.044,4.188,3.465,3.223,5.592,3.721,4.116,4.287,3.521,3.093,5.773,3.631,4.048,4.207,3.508,2.919,6.223,3.5605,3.736,3.929,2.835,2.824,5.229,3.5295,3.603,3.786,2.77,2.555,5.188,3.505,3.408,3.54,2.855,1.944,5.866,3.3385,0.421,0.607,3.173,2.866,68.705,4.332,1.001,1.197,6.625,4.507,164.98,7.2265,0.811,0.911,9.78,4.854,141.854,8.8645,1.016,1.044,12.203,4.739,179.973,9.071,1.28,0.884,12.274,4.108,8.293,0.807,0.682,9.53,4.222,149.724,7.619,0.969,0.826,8.767,4.175,141.176,7.574,0.912,0.214,7.287,1.946,155.209
4.108,2,75.155,3.95,3.95,6.95,3.95,4.319,5.195,4.319,16.796,18.07,19.462,20.773,1.931,8.286,2.161,4.67,74.0,9.247,0.5,3.607,3.668,3.37,3.258,4.957,3.3445,4.016,4.09,3.737,3.615,5.564,3.6495,4.256,4.38,3.616,3.627,5.631,3.721,4.301,4.459,3.678,3.524,5.68,3.631,4.222,4.37,3.646,3.437,5.739,3.5605,4.194,4.327,3.542,3.35,5.938,3.5295,4.042,4.175,3.411,3.293,5.814,3.505,3.88,4.04,3.154,3.21,5.18,3.3385,0.286,0.497,4.948,3.596,34.641,4.332,0.397,0.746,8.681,5.851,64.093,7.2265,0.454,0.925,15.695,7.34,66.417,8.8645,0.535,0.915,15.942,6.703,92.932,9.071,0.654,0.9,14.079,6.726,8.293,0.909,0.776,13.937,5.954,154.495,7.619,0.734,0.675,14.567,6.21,148.451,7.574,0.434,0.587,11.26,5.511,82.717
4.553,0,73.065,3.949,3.949,6.949,3.949,4.319,5.214,4.319,16.787,18.018,19.445,20.729,1.766,9.783,2.222,4.936,76.556,8.516,0.5,3.72,3.788,3.352,3.272,5.072,3.3445,4.136,4.22,3.694,3.596,5.673,3.6495,4.393,4.525,3.708,3.671,5.798,3.721,4.41,4.575,3.616,3.579,5.724,3.631,4.332,4.489,3.677,3.499,5.796,3.5605,4.354,4.5,3.591,3.361,6.068,3.5295,4.183,4.334,3.417,3.216,5.943,3.505,4.02,4.171,3.126,3.146,5.503,3.3385,0.311,0.54,5.923,3.773,34.642,4.332,0.481,0.796,9.602,5.864,66.295,7.2265,0.656,0.975,15.016,7.074,72.934,8.8645,0.634,0.954,17.414,6.996,95.492,9.071,0.691,0.935,15.296,6.848,8.293,1.033,0.844,17.227,5.968,162.992,7.619,0.903,0.708,14.7,5.453,164.518,7.574,0.809,0.558,12.777,4.466,100.139
4.056,2,77.371,3.95,3.95,6.95,3.95,4.319,5.187,4.319,16.799,18.031,19.458,20.742,1.739,9.0,2.208,4.874,75.166,8.309,0.522,3.679,3.755,3.292,3.276,5.016,3.3445,4.093,4.188,3.642,3.624,5.612,3.6495,4.378,4.525,3.648,3.718,5.713,3.721,4.439,4.626,3.61,3.617,5.749,3.631,4.331,4.498,3.638,3.498,5.804,3.5605,4.293,4.445,3.523,3.384,6.004,3.5295,4.14,4.291,3.337,3.321,5.872,3.505,4.02,4.205,3.038,3.256,5.27,3.3385,0.26,0.525,5.969,3.685,31.57,4.332,0.369,0.783,9.318,5.832,61.482,7.2265,0.398,0.995,14.804,7.281,61.8,8.8645,0.488,1.009,18.489,7.449,90.821,9.071,0.65,0.958,15.895,6.777,8.293,0.898,0.823,16.284,5.945,155.481,7.619,0.735,0.704,13.707,5.735,150.659,7.574,0.401,0.621,12.656,5.194,81.819
4.638,0,85.498,3.981,3.981,6.981,3.981,4.367,5.208,4.367,17.233,18.53,19.948,21.277,1.766,8.304,2.157,4.65,77.08,8.516,0.5,3.72,3.788,3.352,3.272,5.083,3.3445,4.135,4.225,3.705,3.609,5.667,3.6495,4.357,4.472,3.789,3.721,5.76,3.721,4.479,4.619,3.782,3.673,5.913,3.631,4.439,4.598,3.735,3.617,5.887,3.5605,4.417,4.572,3.603,3.505,6.074,3.5295,4.265,4.435,3.482,3.42,5.931,3.505,4.035,4.178,3.322,3.352,5.37,3.3385,0.311,0.54,5.923,3.773,33.179,4.332,0.505,0.795,10.033,5.863,68.362,7.2265,0.456,0.965,13.107,7.017,57.065,8.8645,0.751,1.028,17.476,7.117,101.673,9.071,0.785,1.036,17.081,7.419,8.293,1.043,0.912,18.139,6.6,169.262,7.619,0.836,0.749,16.404,6.247,157.288,7.574,0.378,0.695,10.533,5.698,50.011
4.469,0,80.938,3.955,3.955,6.955,3.955,4.328,5.157,4.328,16.932,18.184,19.603,20.897,1.774,8.19,2.173,4.721,70.617,8.639,0.545,3.603,3.672,3.248,3.207,4.981,3.3445,3.994,4.071,3.606,3.551,5.581,3.6495,4.272,4.406,3.641,3.635,5.679,3.721,4.337,4.5,3.576,3.512,5.746,3.631,4.206,4.359,3.583,3.414,5.722,3.5605,4.159,4.275,3.469,3.337,5.936,3.5295,4.087,4.248,3.315,3.272,5.846,3.505,3.827,3.981,3.064,3.146,5.238,3.3385,0.277,0.486,5.021,3.345,33.805,4.332,0.377,0.71,7.321,5.165,60.774,7.2265,0.382,0.901,12.125,6.589,58.1,8.8645,0.568,0.925,15.798,6.362,103.665,9.071,0.655,0.864,13.357,6.076,8.293,0.841,0.726,12.56,5.303,143.03,7.619,0.715,0.644,13.275,5.358,148.919,7.574,0.281,0.584,8.8,4.872,46.513
4.495,0,81.278,3.955,3.955,6.955,3.955,4.329,5.169,4.329,16.938,18.226,19.617,20.935,1.979,7.5,2.126,4.521,69.451,9.704,0.524,3.526,3.577,3.329,3.188,4.92,3.3445,3.909,3.96,3.704,3.541,5.532,3.6495,4.136,4.242,3.667,3.523,5.59,3.721,4.188,4.322,3.581,3.423,5.659,3.631,4.098,4.23,3.601,3.382,5.633,3.5605,4.063,4.158,3.535,3.309,5.882,3.5295,3.956,4.09,3.404,3.227,5.797,3.505,3.637,3.761,3.328,2.982,5.102,3.3385,0.305,0.458,3.907,3.248,37.103,4.332,0.403,0.67,6.463,5.137,63.255,7.2265,0.435,0.828,11.817,6.268,63.459,8.8645,0.585,0.824,13.046,5.945,101.718,9.071,0.671,0.815,10.726,5.988,8.293,0.838,0.698,12.597,5.759,141.14,7.619,0.724,0.612,11.422,5.695,146.834,7.574,0.307,0.504,11.578,4.792,52.797
3.0,1,74.105,3.8,3.8,6.8,3.8,4.222,5.151,4.222,16.534,17.684,19.098,20.304,1.549,10.917,2.637,6.953,86.199,7.984,0.48,3.801,3.891,3.394,3.336,5.068,3.337,4.273,4.401,3.724,3.669,5.647,3.648,4.54,4.706,3.77,3.737,5.823,3.715,4.578,4.753,3.681,3.602,6.041,3.591,4.412,4.6,3.588,3.546,5.748,3.516,4.385,4.566,3.531,3.542,5.693,3.511,4.359,4.536,3.536,3.511,5.849,3.473,4.339,4.541,3.343,3.39,5.622,3.338,0.106,0.527,7.187,3.836,15.572,4.327,0.379,0.812,13.064,6.064,54.178,7.36,0.404,0.993,19.405,7.58,55.366,9.121,0.894,0.964,22.525,6.908,128.014,8.037,0.581,0.839,18.565,6.552,8.148,0.441,0.819,17.758,6.456,67.45,7.735,0.51,0.808,16.853,6.274,97.75,7.774,0.425,0.766,17.617,6.1,63.878
3.0,2,67.065,3.798,3.798,6.798,3.798,4.206,5.137,4.206,16.497,17.643,19.062,20.266,1.549,11.0,2.38,5.666,86.521,7.984,0.48,3.801,3.89,3.4,3.327,5.064,3.331,4.278,4.417,3.723,3.652,5.64,3.638,4.511,4.664,3.734,3.745,5.78,3.716,4.581,4.771,3.696,3.662,5.974,3.624,4.477,4.674,3.636,3.588,5.804,3.554,4.44,4.623,3.489,3.503,5.763,3.477,4.281,4.465,3.46,3.384,5.798,3.36,4.183,4.361,3.264,3.271,5.502,3.245,0.099,0.528,7.146,3.823,14.521,4.337,0.412,0.824,13.496,5.801,46.855,7.093,0.418,0.971,18.395,7.368,54.257,8.608,0.758,0.987,22.292,7.599,109.646,9.465,0.569,0.896,19.916,7.089,9.021,0.582,0.828,19.664,6.507,83.91,7.503,0.512,0.733,16.135,5.645,96.106,7.028,0.419,0.65,14.814,5.017,64.211
