pXC50,DBI,GATS1s,GATS2m,HVcpx,ICR,MATS1p,MATS1v,PW2,RBF,RBN,SpMAD_AEA.bo.,SpMAD_AEA.ri.,SpMAD_EA,X.,X1A,SpMin2_Bh.p.,SpMin2_Bh.v.,SpMin2_Bh.e.,IDE,MSD,AECC,AAC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.008,C.011,C.016,C.017,C.024,C.025,C.026,C.027,C.028,C.033,C.034,C.038,C.039,C.040,C.041,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DN,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_NN,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_LL,CATS2D_05_NL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_AN,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_DN,CATS2D_06_DP,CATS2D_06_LL,CATS2D_06_NL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_AN,CATS2D_07_AP,CATS2D_07_DA,CATS2D_07_DD,CATS2D_07_DL,CATS2D_07_DP,CATS2D_07_LL,CATS2D_07_NL,CATS2D_07_NN,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_AN,CATS2D_08_AP,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DN,CATS2D_08_LL,CATS2D_08_NL,CATS2D_08_NN,CATS2D_09_AA
4.022,6.928,0.697,0.755,4.544,3.979,0.075,0.065,0.596,0.126,22,1.543,1.527,1.524,1.2,0.433,2.076,2.081,2.007,4.848,15.363,25.412,1.349,18.923,358.087,335.705,7.203,0.383,5.171,5.275,4.698,4.775,6.217,4.723,5.758,5.915,5.12,5.245,6.822,5.162,6.138,6.337,5.302,5.504,7.054,5.387,6.363,6.599,5.328,5.603,7.248,5.454,6.431,6.694,5.334,5.618,7.284,5.449,6.388,6.654,5.307,5.576,7.239,5.415,6.323,6.556,5.338,5.543,7.285,5.401,6.348,6.59,5.314,5.499,7.299,5.361,0.117,2.044,35.416,17.467,29.07,22.326,0.672,3.586,68.282,31.273,139.048,41.236,0.6,5.141,106.902,45.686,123.911,61.157,1.313,6.249,137.893,56.003,201.588,75.955,1.307,6.601,159.519,60.72,223.405,83.452,1.042,6.292,150.266,57.825,207.129,79.262,0.959,5.826,145.532,54.101,209.897,72.051,1.552,5.84,153.53,53.51,258.227,70.352,255.0,138,0.177,0.442,0.609,0.741,0.813,0.836,4.455,1.003,-10.85,-10.46,-9.57,44.2,5,14,8,2,0,2,0,0,1,1,20,12,4,0,0,0,0,0,0,4,0,0,0,0,4,4,68,4,0,8,4,4,0,96,6,0,0,16,2,0,0,6,0,104,6,0,2,12,0,2,0,6,0,94,10,0,0,0,14,0,0,0,10,0,87,10,0,16,0,0,0,10,0,0,85,14,0,24,0,0,0,0,14,0,76,10,0,0,18,0,0,0,0,10,0,73,6,1,0
5.398,5.831,0.759,0.714,4.032,3.487,0.107,0.079,0.605,0.102,12,1.552,1.539,1.535,1.8,0.432,2.053,2.058,1.99,4.352,10.784,18.321,1.342,13.009,169.224,213.153,6.796,0.207,4.781,4.898,4.249,4.359,5.757,4.29,5.405,5.584,4.704,4.865,6.348,4.761,5.832,6.049,4.925,5.162,6.693,5.022,6.084,6.339,4.93,5.286,6.943,5.104,6.161,6.45,4.899,5.282,6.917,5.074,6.095,6.394,4.814,5.217,6.781,5.011,6.007,6.27,4.841,5.178,6.818,4.994,6.033,6.302,4.887,5.147,6.889,4.972,0.117,1.449,26.681,12.542,22.326,16.559,0.383,2.584,51.455,22.994,78.069,31.171,0.537,3.76,83.451,34.114,97.432,46.663,1.053,4.598,106.964,42.263,188.095,58.742,1.065,4.823,120.355,44.964,169.635,63.221,0.706,4.485,111.292,42.217,121.543,59.455,0.668,4.134,105.031,39.026,122.776,53.829,1.017,4.107,111.507,38.478,159.134,52.611,183.0,88,0.192,0.433,0.607,0.744,0.827,0.86,3.991,1.088,-9.6,-9.27,-8.5,39.8,5,14,8,2,0,0,0,0,1,1,4,4,4,0,0,0,0,0,0,2,0,0,0,0,2,2,42,2,0,2,2,4,0,64,2,0,0,2,0,0,0,8,2,76,2,0,0,2,0,2,2,4,0,72,6,0,0,0,6,0,0,0,8,0,61,4,0,4,0,0,0,8,0,0,59,6,0,6,0,0,0,0,12,0,54,4,0,0,4,0,0,0,0,8,0,53,4,1,0
4.18,7.416,0.677,0.822,4.337,3.785,0.041,0.049,0.593,0.131,22,1.535,1.518,1.519,0.0,0.438,2.086,2.08,2.003,4.608,13.136,22.815,1.415,12.927,167.112,306.034,6.916,0.273,5.15,5.259,4.63,4.673,6.234,4.64,5.74,5.907,5.039,5.135,6.834,5.072,6.088,6.282,5.238,5.416,7.05,5.324,6.351,6.576,5.316,5.55,7.336,5.431,6.451,6.709,5.287,5.583,7.378,5.439,6.454,6.718,5.283,5.54,7.477,5.405,6.351,6.586,5.312,5.529,7.388,5.418,6.403,6.635,5.365,5.574,7.395,5.47,0.114,2.123,36.153,16.879,34.907,21.488,0.93,3.587,68.899,29.335,166.042,38.857,0.552,5.014,97.746,41.38,129.167,56.071,1.8,6.152,132.282,50.962,254.526,70.891,1.455,6.672,147.736,55.723,244.813,79.535,2.5,6.423,151.951,54.22,429.47,77.053,1.589,6.065,133.377,50.119,321.343,69.713,1.403,6.35,140.802,52.468,261.623,72.27,447.0,130,0.187,0.454,0.628,0.736,0.8,0.837,4.408,0.976,-6.29,-6.13,-5.69,40.4,5,14,8,2,4,0,0,0,1,1,10,8,6,0,0,0,0,0,0,6,0,0,0,0,4,4,50,4,0,12,6,8,0,70,4,0,0,16,4,2,0,12,0,76,6,0,4,16,0,4,0,14,2,70,6,0,0,2,14,2,2,2,10,2,65,4,4,16,2,6,2,10,0,0,69,8,2,22,0,0,2,0,12,0,70,10,0,0,22,2,0,0,1,12,2,72,10,1,4
4.658,6.782,0.696,0.739,4.38,3.845,0.073,0.063,0.598,0.132,20,1.542,1.527,1.523,1.4,0.435,2.064,2.066,1.995,4.664,13.438,23.164,1.378,15.886,252.378,285.433,7.146,0.3,5.04,5.146,4.554,4.62,6.08,4.569,5.641,5.803,4.984,5.096,6.708,5.013,6.029,6.231,5.175,5.365,6.939,5.247,6.266,6.507,5.202,5.471,7.15,5.317,6.331,6.6,5.191,5.483,7.161,5.305,6.275,6.549,5.179,5.449,7.075,5.281,6.225,6.459,5.24,5.441,7.194,5.293,6.253,6.498,5.233,5.417,7.193,5.274,0.096,1.828,31.891,15.62,26.662,19.909,0.639,3.201,62.205,28.0,136.494,36.926,0.548,4.576,97.726,40.84,119.388,54.761,1.273,5.547,127.081,50.076,202.815,68.258,1.336,5.797,147.147,53.883,223.377,74.472,0.936,5.498,135.908,51.193,179.165,70.853,1.33,5.18,134.466,48.724,223.063,65.426,1.34,5.241,140.711,48.636,226.427,64.886,255.0,118,0.186,0.454,0.622,0.74,0.809,0.836,4.305,1.023,-9.58,-9.25,-8.49,42.1,5,14,8,2,0,2,0,0,1,1,12,8,4,0,0,0,0,0,0,4,0,0,0,0,4,4,54,4,0,8,4,4,0,76,6,0,0,16,2,0,0,6,0,82,6,0,2,12,0,2,0,6,0,74,8,0,0,0,12,0,0,0,8,0,71,6,0,10,2,0,0,6,0,0,77,10,2,16,0,0,2,0,10,0,74,8,0,0,12,0,0,0,0,8,0,71,8,1,0
4.569,7.071,0.65,0.863,4.311,3.819,-0.017,0.017,0.575,0.188,21,1.483,1.463,1.464,0.0,0.454,2.008,2.002,1.804,4.541,12.145,21.296,1.621,2.394,5.729,205.591,7.065,0.193,4.76,4.892,4.25,4.215,5.823,4.188,5.333,5.522,4.594,4.588,6.378,4.528,5.651,5.884,4.688,4.756,6.718,4.668,5.713,5.943,4.758,4.778,6.839,4.704,5.739,5.954,4.799,4.775,7.059,4.712,5.763,5.982,4.771,4.83,6.899,4.744,5.851,6.098,4.762,4.862,6.95,4.765,5.846,6.093,4.784,4.851,7.062,4.758,0.138,1.564,24.851,9.827,26.407,13.683,0.701,2.41,48.411,15.804,84.665,23.285,1.482,2.919,70.02,21.051,175.055,30.468,1.259,3.01,77.034,21.677,189.564,31.076,2.095,3.033,81.402,21.262,348.282,30.527,1.759,3.177,80.2,22.844,234.957,32.359,1.637,3.334,89.769,24.485,241.136,35.845,2.036,3.286,87.105,24.025,338.438,35.806,134.0,77,0.233,0.52,0.747,0.867,0.894,0.9,4.009,1.009,-0.91,-1.02,-1.12,34.9,3,7,1,0,0,5,6,0,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,15,0,1,4,5,6,0,14,0,1,2,5,0,6,4,7,0,10,0,1,0,14,0,2,0,5,0,4,0,0,1,6,10,0,5,0,7,0,2,0,1,7,0,6,4,10,0,1,5,0,0,12,0,1,3,1,5,1,7,0,0,5,9,0,1,4,1,7,0,8,0,0,1
4.585,7.45,0.635,0.914,4.428,3.929,-0.064,-0.005,0.568,0.207,24,1.471,1.452,1.453,0.0,0.462,2.008,2.002,1.804,4.646,12.968,23.368,1.602,1.274,1.623,206.141,7.018,0.186,4.803,4.931,4.275,4.214,5.915,4.206,5.378,5.564,4.618,4.593,6.5,4.552,5.691,5.915,4.717,4.757,6.809,4.693,5.751,5.974,4.759,4.767,6.925,4.725,5.79,6.004,4.84,4.776,7.175,4.738,5.814,6.039,4.782,4.819,6.969,4.761,5.886,6.124,4.774,4.848,7.054,4.781,5.876,6.114,4.803,4.84,7.135,4.77,0.222,1.583,25.698,9.994,35.11,13.904,1.094,2.396,49.449,16.05,116.845,23.6,1.869,2.867,71.293,20.543,218.096,30.471,1.674,2.937,76.012,20.129,245.467,30.594,2.743,2.989,80.448,20.228,425.044,30.955,2.097,3.116,81.513,21.708,282.307,32.725,2.225,3.21,88.576,22.777,325.097,34.932,2.541,3.165,87.937,23.109,389.639,35.363,202.0,78,0.229,0.518,0.761,0.882,0.901,0.906,4.062,0.98,-0.16,-0.3,-0.48,34.2,4,5,1,0,0,7,5,0,0,0,7,2,1,0,0,0,0,0,0,6,1,1,1,1,0,0,14,0,3,5,6,4,0,14,0,1,2,5,0,8,4,7,0,10,0,1,0,13,0,2,0,5,0,4,0,0,1,11,11,0,5,0,8,0,2,0,1,8,0,6,4,10,0,1,5,0,1,12,0,1,3,1,5,1,5,0,0,7,11,0,1,5,1,7,0,6,0,0,1
4.699,7.649,0.673,0.871,4.308,3.823,-0.037,0.002,0.578,0.198,22,1.485,1.46,1.463,0.0,0.461,2.008,2.002,1.805,4.565,12.336,21.377,1.569,1.618,2.618,196.504,6.764,0.204,4.753,4.89,4.186,4.166,5.856,4.145,5.318,5.514,4.542,4.543,6.421,4.491,5.645,5.869,4.632,4.725,6.761,4.647,5.772,6.032,4.676,4.728,6.888,4.659,5.709,5.918,4.715,4.677,7.098,4.642,5.711,5.933,4.641,4.723,6.877,4.654,5.801,6.053,4.686,4.784,6.933,4.701,5.827,6.072,4.717,4.799,7.081,4.714,0.161,1.517,25.572,9.65,30.82,13.778,0.834,2.278,47.328,15.438,104.362,23.123,1.527,2.793,67.99,19.538,191.821,29.613,1.45,2.831,78.415,20.254,222.092,32.084,2.315,2.678,75.123,18.208,390.9,27.84,1.834,2.804,73.937,19.608,255.196,29.761,1.651,2.991,80.556,21.479,257.462,33.671,2.105,3.035,83.224,21.922,352.891,34.249,272.0,73,0.226,0.507,0.723,0.851,0.87,0.875,3.991,0.99,-0.84,-0.95,-1.06,33.6,7,3,1,0,0,4,5,1,0,0,7,2,1,0,0,0,0,0,0,5,1,1,1,1,0,0,13,0,1,2,7,8,0,17,0,1,1,5,0,6,5,7,0,10,0,1,0,15,0,1,1,6,0,4,0,0,1,5,11,0,6,1,6,0,2,0,1,7,0,5,5,8,0,1,4,0,1,9,0,1,3,1,8,1,8,0,0,4,9,0,1,6,1,6,0,6,0,0,1
4.152,6.782,0.693,0.749,4.38,3.845,0.072,0.063,0.598,0.136,21,1.538,1.527,1.523,1.4,0.435,2.075,2.08,1.999,4.664,13.438,23.164,1.373,16.136,260.383,284.583,7.063,0.3,5.052,5.16,4.556,4.628,6.078,4.574,5.66,5.825,4.987,5.109,6.71,5.022,6.055,6.261,5.179,5.382,6.946,5.259,6.297,6.541,5.207,5.492,7.159,5.333,6.364,6.635,5.199,5.509,7.168,5.325,6.316,6.589,5.189,5.474,7.105,5.302,6.266,6.504,5.247,5.461,7.224,5.31,6.288,6.538,5.237,5.439,7.201,5.29,0.102,1.864,32.856,15.957,26.849,20.453,0.652,3.274,64.135,28.693,137.428,38.01,0.572,4.693,100.946,41.952,121.426,56.525,1.303,5.695,131.318,51.503,205.229,70.557,1.388,5.942,153.234,55.528,230.728,76.908,1.088,5.644,143.092,52.76,191.361,72.861,1.471,5.34,140.287,50.184,240.709,67.528,1.372,5.394,145.235,50.126,227.6,67.37,255.0,118,0.185,0.439,0.601,0.729,0.807,0.838,4.305,1.033,-9.65,-9.32,-8.55,41.5,5,15,9,2,0,2,0,0,0,0,12,8,4,0,0,0,0,0,0,4,0,0,0,0,4,4,54,4,0,8,4,4,0,76,6,0,0,16,2,0,0,6,0,82,6,0,2,12,0,2,0,6,0,74,8,0,0,0,12,0,0,0,8,0,71,6,0,10,2,0,0,6,0,0,77,10,2,16,0,0,2,0,10,0,74,8,0,0,12,0,0,0,0,8,0,71,8,1,0
4.137,7.616,0.704,0.736,4.3,3.77,0.102,0.072,0.598,0.151,23,1.534,1.522,1.518,1.4,0.44,2.074,2.08,1.998,4.579,12.732,22.014,1.486,11.913,141.929,268.628,6.995,0.158,5.049,5.165,4.523,4.573,6.102,4.524,5.663,5.838,4.962,5.064,6.73,4.975,6.093,6.309,5.158,5.35,7.047,5.227,6.315,6.563,5.184,5.473,7.229,5.319,6.389,6.656,5.238,5.491,7.359,5.325,6.351,6.616,5.249,5.463,7.389,5.309,6.304,6.542,5.281,5.456,7.409,5.313,6.321,6.572,5.326,5.455,7.302,5.31,0.16,1.945,33.8,15.612,41.813,20.303,0.705,3.362,65.386,28.12,167.845,38.132,1.154,4.746,107.758,40.809,223.057,56.238,1.556,5.612,135.249,49.144,309.381,69.084,2.137,5.804,152.448,52.336,402.111,74.521,2.136,5.532,147.752,50.56,434.395,71.263,2.104,5.318,144.783,48.921,430.965,67.509,1.836,5.362,154.918,49.182,329.356,68.109,427.0,112,0.202,0.441,0.616,0.753,0.828,0.855,4.278,1.056,-7.52,-7.29,-6.73,37.4,5,19,9,2,0,0,2,0,0,0,4,4,4,0,0,0,0,0,0,6,0,0,0,0,4,4,44,2,0,4,6,8,2,64,4,0,0,6,0,2,2,14,0,76,2,0,0,6,2,2,2,6,2,74,2,2,0,2,10,4,4,2,10,4,65,2,2,6,2,4,2,12,2,0,63,4,2,10,0,0,4,2,18,0,62,8,0,0,12,0,0,0,0,16,2,63,6,0,0
4.157,7.616,0.707,0.726,4.3,3.77,0.104,0.073,0.598,0.147,22,1.538,1.522,1.518,1.4,0.44,2.062,2.064,1.994,4.579,12.732,22.014,1.494,11.663,136.035,269.478,7.077,0.158,5.037,5.151,4.522,4.565,6.104,4.519,5.643,5.816,4.959,5.051,6.728,4.965,6.068,6.28,5.154,5.333,7.04,5.214,6.284,6.529,5.179,5.452,7.22,5.303,6.357,6.622,5.231,5.466,7.353,5.306,6.313,6.577,5.239,5.437,7.368,5.288,6.262,6.494,5.275,5.435,7.385,5.295,6.284,6.53,5.321,5.43,7.298,5.292,0.169,1.915,32.863,15.321,43.571,19.788,0.715,3.299,63.489,27.506,169.57,37.12,1.166,4.647,104.694,39.841,224.6,54.582,1.566,5.484,131.154,47.866,311.222,66.894,2.118,5.677,146.339,50.828,395.884,72.165,2.027,5.396,140.709,49.243,418.733,69.247,2.003,5.163,138.663,47.631,414.155,65.259,1.838,5.21,149.958,47.661,322.066,65.494,427.0,112,0.203,0.453,0.633,0.764,0.829,0.853,4.278,1.045,-7.45,-7.23,-6.68,37.9,5,18,8,2,0,0,2,0,1,1,4,4,4,0,0,0,0,0,0,6,0,0,0,0,4,4,44,2,0,4,6,8,2,64,4,0,0,6,0,2,2,14,0,76,2,0,0,6,2,2,2,6,2,74,2,2,0,2,10,4,4,2,10,4,65,2,2,6,2,4,2,12,2,0,63,4,2,10,0,0,4,2,18,0,62,8,0,0,12,0,0,0,0,16,2,63,6,0,0
4.538,6.782,0.696,0.739,4.356,3.799,0.073,0.063,0.597,0.132,20,1.54,1.528,1.523,1.4,0.435,2.064,2.066,1.995,4.637,13.249,22.712,1.378,15.886,252.378,285.433,7.146,0.3,5.04,5.146,4.554,4.62,6.08,4.569,5.641,5.803,4.984,5.096,6.708,5.013,6.029,6.231,5.175,5.365,6.938,5.247,6.266,6.507,5.212,5.475,7.141,5.323,6.332,6.597,5.223,5.491,7.184,5.319,6.306,6.576,5.192,5.455,7.176,5.289,6.214,6.453,5.236,5.447,7.123,5.299,6.256,6.494,5.297,5.436,7.222,5.303,0.096,1.828,31.891,15.62,26.662,19.909,0.639,3.201,62.205,28.0,136.716,36.926,0.548,4.576,97.726,40.84,119.935,54.761,1.278,5.549,127.103,50.084,194.141,68.26,1.214,5.823,146.439,54.025,217.027,74.534,1.629,5.578,141.586,51.741,253.921,71.154,0.806,5.176,132.293,48.813,164.753,65.828,1.266,5.268,139.936,48.802,213.061,64.797,255.0,118,0.186,0.454,0.629,0.755,0.824,0.851,4.305,1.023,-9.58,-9.25,-8.49,42.1,5,14,8,2,0,2,0,0,1,1,12,8,4,0,0,0,0,0,0,4,0,0,0,0,4,4,54,4,0,8,4,4,0,76,6,0,0,16,2,0,0,6,0,82,6,0,2,12,0,2,0,6,0,74,8,0,0,0,12,2,0,0,8,0,71,6,2,10,0,2,0,6,0,0,77,10,0,16,0,0,0,0,10,0,74,10,0,0,14,0,0,0,0,10,0,71,12,3,0
4.432,6.782,0.695,0.739,4.302,3.759,0.073,0.063,0.596,0.132,20,1.541,1.526,1.522,1.4,0.435,2.064,2.066,1.995,4.612,13.07,22.26,1.378,15.886,252.378,285.433,7.146,0.3,5.04,5.146,4.554,4.62,6.081,4.569,5.641,5.803,4.984,5.096,6.707,5.013,6.029,6.231,5.184,5.369,6.927,5.252,6.268,6.503,5.244,5.482,7.165,5.337,6.361,6.622,5.236,5.496,7.275,5.327,6.296,6.57,5.188,5.46,7.103,5.294,6.217,6.449,5.301,5.466,7.154,5.327,6.283,6.512,5.381,5.449,7.352,5.327,0.096,1.828,31.891,15.62,26.884,19.909,0.639,3.201,62.205,28.0,137.263,36.926,0.553,4.578,97.749,40.848,111.261,54.763,1.156,5.575,126.396,50.226,187.791,68.321,1.907,5.903,152.117,54.572,291.784,74.835,1.105,5.574,139.413,51.831,195.61,71.557,0.732,5.203,131.518,48.979,151.386,65.739,1.571,5.348,148.635,49.704,270.155,65.386,255.0,118,0.186,0.454,0.625,0.751,0.824,0.851,4.305,1.023,-9.58,-9.25,-8.49,42.1,5,14,8,2,0,2,0,0,1,1,12,8,4,0,0,0,0,0,0,4,0,0,0,0,4,4,54,4,0,8,4,4,0,76,6,0,0,16,2,0,0,6,0,82,6,0,2,12,2,2,0,6,0,74,8,0,0,2,12,0,2,0,8,0,71,6,0,10,0,0,0,6,0,0,77,12,0,18,0,0,0,0,12,0,74,14,2,0,18,4,0,0,0,14,4,71,8,1,2
6.886,6.403,0.748,0.595,4.199,3.675,0.119,0.094,0.607,0.072,11,1.561,1.543,1.538,4.2,0.431,2.047,2.043,1.934,4.412,11.774,20.957,1.806,8.992,80.861,338.475,9.631,0.451,5.098,5.178,4.848,4.669,6.376,4.678,5.607,5.713,5.309,5.107,6.91,5.1,5.99,6.111,5.57,5.336,7.398,5.321,6.172,6.328,5.652,5.437,7.497,5.414,6.289,6.452,5.738,5.522,7.733,5.514,6.391,6.534,5.878,5.653,7.803,5.647,6.527,6.683,5.977,5.795,7.927,5.78,6.622,6.779,6.038,5.892,8.04,5.86,0.744,1.947,17.571,12.259,97.588,12.009,1.336,3.184,33.615,21.079,165.981,22.786,3.078,4.341,71.52,31.604,390.36,32.115,3.454,5.196,104.55,38.095,467.08,39.406,4.457,5.832,115.478,42.213,660.596,46.374,4.977,6.436,119.103,46.283,644.966,48.09,5.398,7.442,131.164,53.946,760.217,57.766,6.097,8.013,163.359,61.207,892.961,67.016,535.0,153,0.24,0.555,0.709,0.818,0.861,0.878,4.544,0.885,-0.74,-0.85,-0.97,44.4,1,3,0,0,1,0,6,1,0,0,19,10,13,0,0,1,1,1,0,7,0,0,0,0,1,1,25,0,1,6,6,13,1,32,1,0,1,14,0,9,5,38,0,24,2,0,0,26,1,1,0,24,0,20,2,0,0,8,25,1,7,1,24,0,23,1,2,29,0,9,11,31,1,0,34,1,2,35,1,0,8,4,23,0,44,2,0,8,27,0,0,12,2,27,1,54,3,0,1
4.0,6.928,0.697,0.755,4.574,4.045,0.075,0.065,0.597,0.126,22,1.542,1.526,1.523,1.2,0.433,2.075,2.081,2.007,4.872,15.535,25.824,1.349,18.923,358.087,335.705,7.203,0.383,5.171,5.275,4.698,4.775,6.217,4.723,5.758,5.915,5.12,5.245,6.821,5.162,6.138,6.337,5.302,5.504,7.055,5.387,6.363,6.599,5.32,5.6,7.254,5.449,6.431,6.696,5.3,5.608,7.264,5.432,6.37,6.642,5.276,5.561,7.17,5.394,6.299,6.531,5.341,5.538,7.246,5.398,6.351,6.587,5.341,5.508,7.341,5.377,0.117,2.044,35.416,17.467,29.07,22.326,0.672,3.586,68.282,31.273,138.826,41.236,0.6,5.141,106.902,45.686,123.303,61.157,1.308,6.248,137.866,55.999,208.589,75.955,1.376,6.583,160.068,60.633,231.979,83.434,0.979,6.201,147.939,57.221,182.757,78.981,0.811,5.723,141.473,53.274,181.497,71.268,1.537,5.857,153.402,53.509,270.482,69.97,255.0,138,0.177,0.442,0.6,0.723,0.8,0.824,4.455,1.003,-10.85,-10.46,-9.57,44.2,5,14,8,2,0,2,0,0,1,1,20,12,4,0,0,0,0,0,0,4,0,0,0,0,4,4,68,4,0,8,4,4,0,96,6,0,0,16,2,0,0,6,0,104,6,0,2,12,0,2,0,6,0,94,8,0,0,0,12,0,0,0,8,0,87,8,0,14,0,0,0,8,0,0,85,14,0,24,0,0,0,0,14,0,76,12,0,0,20,0,0,0,0,12,0,73,8,1,0
6.886,5.831,0.728,0.6,4.173,3.654,0.118,0.095,0.606,0.063,9,1.558,1.541,1.535,4.5,0.431,2.046,2.043,1.934,4.383,11.526,20.764,1.822,9.842,96.873,323.727,9.917,0.469,5.033,5.109,4.809,4.616,6.326,4.629,5.534,5.634,5.265,5.051,6.858,5.047,5.911,6.032,5.523,5.272,7.336,5.259,6.081,6.232,5.59,5.36,7.405,5.339,6.19,6.351,5.656,5.428,7.644,5.426,6.284,6.422,5.805,5.558,7.724,5.563,6.431,6.582,5.894,5.719,7.837,5.708,6.54,6.694,5.981,5.821,7.958,5.795,0.732,1.812,14.416,11.046,92.609,10.313,1.308,2.955,26.827,18.856,155.977,19.559,2.898,4.029,62.649,28.902,355.245,28.791,3.238,4.764,92.046,34.675,429.509,34.196,4.16,5.337,101.849,37.903,609.314,40.084,4.584,5.878,94.514,40.693,596.602,40.7,4.955,6.856,109.003,48.43,691.047,50.043,5.703,7.451,139.25,55.635,824.081,58.701,443.0,146,0.245,0.556,0.706,0.821,0.865,0.878,4.501,0.877,-0.99,-1.1,-1.19,45.5,0,2,0,0,1,0,6,0,0,0,19,10,13,0,0,1,1,0,1,7,0,0,0,0,1,1,25,0,1,5,6,11,1,30,1,0,2,15,0,9,4,35,0,22,2,0,0,25,1,0,0,23,0,19,2,0,0,7,25,1,6,1,20,0,18,1,3,29,0,10,9,28,1,0,33,1,2,33,1,0,8,4,22,0,40,2,0,7,27,0,0,11,1,22,1,51,3,0,2
6.886,5.831,0.728,0.6,4.15,3.636,0.118,0.095,0.605,0.063,9,1.558,1.541,1.535,4.5,0.431,2.047,2.043,1.935,4.369,11.424,20.64,1.822,9.842,96.873,323.727,9.917,0.469,5.033,5.109,4.809,4.616,6.326,4.629,5.534,5.634,5.265,5.051,6.858,5.047,5.911,6.031,5.527,5.273,7.336,5.261,6.082,6.232,5.602,5.368,7.407,5.349,6.199,6.358,5.672,5.444,7.654,5.443,6.3,6.437,5.821,5.576,7.738,5.58,6.448,6.598,5.908,5.735,7.843,5.724,6.55,6.705,5.986,5.826,7.967,5.799,0.732,1.812,14.416,11.046,92.72,10.313,1.308,2.955,26.827,18.856,155.486,19.559,2.897,4.031,62.876,28.917,356.366,28.856,3.237,4.787,91.481,34.488,430.632,33.807,4.172,5.405,101.149,38.059,606.031,40.207,4.617,5.971,94.848,41.354,601.139,41.312,5.02,6.981,110.721,49.315,704.553,50.924,5.771,7.526,141.366,56.306,831.63,59.732,443.0,146,0.245,0.556,0.706,0.821,0.865,0.878,4.501,0.877,-0.99,-1.1,-1.19,45.5,0,2,0,0,1,0,6,0,0,0,19,10,13,0,0,1,1,0,1,7,0,0,0,0,1,1,25,0,1,5,6,11,1,29,1,0,2,15,0,9,4,36,0,22,2,0,0,25,1,0,0,22,0,20,2,0,0,7,24,1,6,2,21,0,19,1,3,30,0,11,8,28,1,0,34,1,2,33,1,0,7,5,22,0,38,2,0,7,28,0,0,12,1,24,1,50,3,0,2
