pXC50,HVcpx,AECC,IDE,MSD,SpMin3_Bh.e.,SpMin3_Bh.i.,SpMin3_Bh.p.,SpMin3_Bh.v.,ATS5s,IAC,TIC0,CATS2D_02_LL,SpMin3_Bh.m.,ATSC5p,Eig04_AEA.dm.,ATS1e,ATS1i,SpMax8_Bh.p.,SpMax8_Bh.v.,SpMaxA_AEA.dm.,SpMax8_Bh.m.,TIC3,TIC4,TIC5,ATSC5v,SpMin2_Bh.i.,ATS8m,ATS6s,Eig10_EA.bo.,Eig10_EA.ri.,SpMaxA_AEA.ri.,SpMaxA_EA,ATSC6v,CATS2D_04_LL,ECC,GGI10,SpMax3_Bh.i.,SpMax3_Bh.p.,SpMax3_Bh.v.,Se,Eig10_AEA.bo.,RDCHI,GGI9,MDDD,SAtot,AMR,ATSC6i,ISIZ,nAT,nBT,Sp,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.m.,SpMin8_Bh.p.,SpMin8_Bh.v.,Sv,VvdwMG,VvdwZAZ,Vx,X0v,ATS4m
6.488,3.515,11.966,3.671,6.776,1.804,1.758,1.94,1.948,5.966,82.737,82.737,17,1.959,16.848,2.847,4.178,4.307,2.935,2.912,0.106,2.89,299.659,306.413,306.413,24.681,1.886,3.737,6.044,1.5,1.115,0.128,0.099,23.979,8,347.0,0.165,3.888,3.755,3.753,59.298,2.5,4.137,0.184,30.611,536.793,115.031,2.151,354.413,60,64,38.824,3.093,3.176,0.922,0.853,1.215,1.124,1.16,36.043,214.831,378.48,515.947,16.959,4.003
6.42,3.548,12.269,3.722,7.008,1.734,1.68,1.884,1.898,5.729,72.116,72.116,18,1.915,14.23,2.828,4.059,4.185,2.735,2.715,0.116,2.687,258.009,264.764,264.764,20.517,1.889,3.383,5.746,1.5,1.0,0.142,0.109,17.823,15,319.0,0.174,3.872,3.736,3.731,53.312,2.5,3.973,0.118,26.686,496.679,103.954,1.553,310.764,54,57,35.057,2.854,2.925,0.886,0.821,1.209,1.062,1.114,32.495,196.245,345.24,470.598,15.228,3.726
9.508,3.549,12.037,3.7,6.9,1.808,1.761,1.943,1.952,5.851,78.289,78.289,15,1.964,14.425,2.792,4.1,4.231,2.756,2.737,0.11,2.778,268.947,281.212,281.212,21.356,1.886,3.619,5.849,1.5,1.0,0.133,0.102,20.189,6,325.0,0.128,3.869,3.698,3.701,55.414,2.5,4.016,0.195,28.313,512.393,108.15,1.769,325.212,56,59,36.063,2.909,2.99,0.926,0.852,1.241,1.142,1.18,33.516,203.039,356.24,487.176,15.805,3.865
8.854,3.27,10.0,3.425,5.834,1.746,1.7,1.906,1.917,5.683,65.8,65.8,16,1.933,12.887,2.403,3.955,4.074,2.745,2.73,0.149,2.719,212.469,228.078,234.078,18.076,1.876,3.125,5.715,1.0,0.983,0.169,0.134,17.392,10,240.0,0.041,3.756,3.567,3.563,47.545,2.0,3.674,0.084,22.083,428.824,95.269,1.628,268.078,48,51,31.535,2.864,2.93,0.886,0.825,1.181,1.062,1.107,29.441,177.06,310.64,423.787,13.957,3.844
7.469,3.489,11.444,3.629,6.621,1.81,1.762,1.941,1.956,5.971,75.327,75.327,17,1.977,13.889,2.456,4.082,4.208,2.756,2.737,0.123,2.727,262.465,273.975,275.975,20.067,1.887,3.566,5.93,1.5,1.0,0.135,0.103,19.646,6,309.0,0.128,3.866,3.698,3.7,54.345,2.5,3.962,0.159,26.593,513.761,107.765,1.693,317.975,55,58,35.819,2.906,2.986,0.925,0.852,1.229,1.141,1.177,33.321,202.91,356.32,486.86,15.705,3.935
7.64,3.174,9.2,3.309,5.392,1.694,1.637,1.849,1.876,5.57,57.625,57.625,15,1.916,11.614,2.367,3.903,4.042,2.735,2.715,0.148,2.687,212.311,220.311,220.311,16.905,1.823,2.874,5.336,0.0,0.0,0.18,0.137,14.278,8,184.0,0.078,3.742,3.561,3.547,45.916,1.168,3.315,0.073,15.18,424.376,84.189,1.137,261.066,47,49,29.358,2.854,2.925,0.886,0.821,1.181,1.071,1.108,26.585,163.261,283.85,390.116,12.593,3.519
5.866,3.769,14.3,3.934,8.001,1.833,1.788,1.959,1.964,6.057,89.118,89.118,10,1.971,14.91,2.889,4.146,4.267,2.941,2.91,0.113,2.866,282.253,293.763,295.763,20.98,1.886,3.702,6.063,1.5,1.0,0.122,0.093,20.937,9,429.0,0.157,3.893,3.729,3.731,58.254,2.5,4.257,0.149,37.307,545.506,113.78,1.829,339.763,58,61,37.455,3.111,3.202,1.097,1.055,1.318,1.327,1.321,35.614,214.899,385.76,516.113,17.014,4.002
5.48,3.827,14.968,3.995,8.317,1.834,1.79,1.962,1.966,6.1,92.729,92.729,10,1.973,16.026,2.888,4.208,4.328,2.941,2.91,0.109,2.898,314.896,320.405,320.405,22.867,1.89,3.745,6.054,1.5,1.0,0.118,0.09,22.078,9,464.0,0.169,3.892,3.729,3.731,61.952,2.5,4.35,0.179,40.316,583.864,120.027,1.852,369.16,62,65,39.733,3.111,3.206,1.145,1.064,1.447,1.376,1.427,37.472,227.289,405.78,546.346,18.044,4.045
6.397,3.706,13.621,3.875,7.71,1.835,1.789,1.958,1.967,6.036,84.842,84.842,12,1.979,14.914,2.887,4.138,4.262,2.941,2.91,0.116,2.866,287.498,295.763,295.763,21.05,1.89,3.612,5.998,1.5,1.0,0.126,0.095,21.073,9,395.0,0.124,3.89,3.729,3.73,57.741,2.5,4.194,0.123,34.794,542.672,113.564,1.787,339.763,58,61,37.517,3.111,3.196,1.102,1.059,1.328,1.326,1.325,35.231,213.701,379.69,513.189,16.713,3.97
5.693,3.706,13.621,3.875,7.71,1.815,1.771,1.95,1.954,6.031,87.072,87.072,7,1.955,14.416,2.887,4.128,4.254,2.941,2.91,0.116,2.866,290.965,296.475,296.475,20.465,1.845,3.612,6.007,1.5,1.0,0.126,0.095,20.314,9,395.0,0.124,3.882,3.713,3.715,56.96,2.5,4.194,0.123,34.794,537.352,111.407,1.742,332.475,57,60,36.762,3.111,3.191,1.094,1.047,1.323,1.322,1.32,34.726,210.903,373.39,506.362,16.583,3.971
6.532,3.829,14.968,3.993,8.299,1.834,1.79,1.962,1.967,6.098,92.729,92.729,10,1.974,16.026,2.834,4.208,4.328,2.941,2.91,0.109,2.919,314.896,320.405,320.405,22.867,1.887,3.753,6.007,1.5,1.0,0.119,0.09,22.056,9,464.0,0.169,3.892,3.729,3.731,61.952,2.5,4.348,0.159,39.892,583.864,120.027,1.886,369.16,62,65,39.733,3.111,3.206,1.145,1.064,1.459,1.376,1.427,37.472,227.289,405.78,546.346,18.044,4.045
4.83,3.886,15.656,4.05,8.613,1.835,1.792,1.965,1.969,6.139,93.745,93.745,10,1.976,17.127,2.828,4.266,4.386,2.941,2.91,0.106,2.95,323.91,335.42,337.42,24.7,1.891,3.793,5.998,1.5,1.0,0.115,0.087,23.161,9,501.0,0.181,3.891,3.729,3.732,65.65,2.5,4.44,0.189,43.02,622.223,126.274,1.906,398.93,66,69,42.012,3.15,3.223,1.145,1.064,1.482,1.399,1.429,39.331,239.68,425.8,576.578,19.074,4.086
7.355,3.769,14.3,3.937,8.011,1.836,1.791,1.961,1.97,6.078,86.309,86.309,12,1.982,16.031,2.827,4.2,4.324,2.941,2.91,0.113,2.898,312.141,320.405,320.405,22.912,1.89,3.667,5.939,1.5,1.0,0.122,0.093,22.161,9,429.0,0.136,3.889,3.729,3.73,61.44,2.5,4.286,0.132,37.182,581.03,119.81,1.841,369.16,62,65,39.796,3.111,3.206,1.145,1.064,1.469,1.376,1.427,37.089,226.091,399.71,543.422,17.743,4.014
6.863,3.769,14.3,3.937,8.011,1.817,1.773,1.953,1.957,6.073,88.646,88.646,7,1.959,15.526,2.827,4.191,4.316,2.941,2.91,0.113,2.895,315.51,321.02,321.02,22.344,1.846,3.667,5.949,1.5,1.0,0.122,0.093,21.408,9,429.0,0.136,3.881,3.713,3.715,60.658,2.5,4.286,0.132,37.182,575.711,117.653,1.8,361.775,61,64,39.04,3.111,3.206,1.145,1.064,1.461,1.376,1.426,36.584,223.293,393.41,536.595,17.613,4.015
5.444,3.774,14.323,3.932,8.005,1.833,1.788,1.958,1.961,6.213,91.469,91.469,10,1.967,14.278,2.89,4.137,4.25,2.941,2.91,0.109,2.866,274.475,282.475,288.475,19.377,1.884,3.767,6.195,1.5,1.0,0.119,0.091,20.629,9,444.0,0.173,3.893,3.729,3.731,57.698,2.5,4.269,0.165,37.888,549.707,113.611,1.792,332.475,57,60,37.148,3.111,3.196,1.071,1.048,1.228,1.314,1.28,35.802,215.968,391.91,518.721,17.215,4.094
4.51,3.83,14.969,3.991,8.3,1.833,1.79,1.961,1.964,6.248,94.797,94.797,10,1.97,15.42,2.888,4.2,4.312,2.941,2.91,0.106,2.921,311.02,315.02,315.02,21.405,1.888,3.814,6.14,1.5,1.0,0.116,0.088,21.782,9,479.0,0.185,3.892,3.729,3.731,61.396,2.5,4.36,0.195,40.563,588.066,119.858,1.836,361.775,61,64,39.426,3.111,3.206,1.145,1.064,1.395,1.376,1.426,37.66,228.358,411.93,548.953,18.245,4.133
6.166,3.714,13.667,3.877,7.738,1.835,1.789,1.957,1.966,6.196,87.299,87.299,12,1.978,14.279,2.888,4.129,4.245,2.941,2.91,0.113,2.866,283.72,290.475,290.475,19.516,1.887,3.683,6.059,1.5,1.0,0.123,0.094,20.6,9,410.0,0.14,3.89,3.729,3.73,57.185,2.5,4.207,0.138,35.458,546.874,113.395,1.77,332.475,57,60,37.211,3.111,3.19,1.079,1.053,1.251,1.313,1.287,35.419,214.769,385.84,515.797,16.914,4.064
5.476,3.714,13.667,3.877,7.738,1.813,1.77,1.948,1.949,6.181,89.449,89.449,7,1.943,13.882,2.888,4.119,4.236,2.941,2.91,0.113,2.866,288.457,291.212,291.212,19.12,1.842,3.683,6.068,1.5,1.0,0.123,0.094,19.83,9,410.0,0.14,3.881,3.712,3.715,56.403,2.5,4.207,0.138,35.458,541.554,111.238,1.728,325.212,56,59,36.455,3.111,3.185,1.068,1.041,1.245,1.309,1.281,34.913,211.971,379.54,508.97,16.784,4.068
5.461,3.833,15.0,3.992,8.308,1.834,1.79,1.961,1.964,6.248,94.797,94.797,10,1.97,15.42,2.889,4.2,4.312,2.941,2.91,0.106,2.929,311.02,315.02,315.02,21.405,1.884,3.814,6.146,1.5,1.0,0.116,0.088,21.799,9,480.0,0.185,3.892,3.729,3.731,61.396,2.5,4.361,0.175,40.57,588.066,119.858,1.846,361.775,61,64,39.426,3.111,3.206,1.145,1.064,1.393,1.376,1.426,37.66,228.358,411.93,548.953,18.245,4.133
6.256,3.775,14.355,3.94,8.044,1.836,1.791,1.96,1.969,6.231,88.472,88.472,12,1.982,15.422,2.828,4.192,4.308,2.941,2.91,0.109,2.92,308.265,315.02,315.02,21.514,1.888,3.734,6.004,1.5,1.0,0.119,0.091,21.758,9,445.0,0.152,3.889,3.729,3.73,60.883,2.5,4.299,0.148,37.992,585.232,119.642,1.822,361.775,61,64,39.489,3.111,3.206,1.145,1.064,1.399,1.376,1.426,37.277,227.16,405.86,546.03,17.944,4.104
6.429,3.775,14.355,3.94,8.044,1.814,1.772,1.951,1.952,6.217,90.738,90.738,7,1.946,15.016,2.828,4.183,4.299,2.941,2.91,0.109,2.918,312.904,315.659,315.659,21.122,1.843,3.734,6.013,1.5,1.0,0.119,0.091,20.995,9,445.0,0.152,3.88,3.713,3.716,60.101,2.5,4.299,0.148,37.992,579.913,117.485,1.785,354.413,60,63,38.733,3.111,3.206,1.145,1.064,1.395,1.376,1.426,36.772,224.362,399.56,539.203,17.814,4.108
6.866,3.701,13.533,3.854,7.614,1.83,1.786,1.957,1.962,6.021,89.118,89.118,10,1.969,14.21,2.889,4.146,4.267,2.876,2.868,0.113,2.866,282.253,293.763,295.763,20.483,1.886,3.796,6.069,1.5,1.0,0.122,0.093,20.922,7,406.0,0.173,3.891,3.726,3.728,58.254,2.5,4.218,0.265,34.418,545.506,113.78,1.88,339.763,58,61,37.455,3.05,3.112,1.026,0.972,1.276,1.257,1.264,35.614,214.899,385.76,516.113,17.014,4.006
5.706,3.763,14.194,3.916,7.913,1.831,1.787,1.96,1.965,6.065,92.729,92.729,10,1.971,15.328,2.888,4.208,4.328,2.884,2.875,0.109,2.88,314.896,320.405,320.405,22.385,1.89,3.835,6.06,1.5,1.0,0.119,0.09,22.158,7,440.0,0.202,3.89,3.726,3.729,61.952,2.5,4.309,0.275,37.272,583.864,120.027,1.894,369.16,62,65,39.733,3.111,3.206,1.113,1.024,1.439,1.376,1.418,37.472,227.289,405.78,546.346,18.044,4.048
6.827,3.642,12.897,3.796,7.345,1.832,1.786,1.956,1.966,5.999,84.842,84.842,12,1.977,14.213,2.887,4.138,4.262,2.876,2.868,0.116,2.866,287.498,295.763,295.763,20.562,1.889,3.714,6.005,1.5,1.0,0.126,0.096,21.123,7,374.0,0.14,3.888,3.726,3.727,57.741,2.5,4.156,0.189,31.71,542.672,113.564,1.824,339.763,58,61,37.517,3.05,3.112,1.027,0.973,1.279,1.257,1.264,35.231,213.701,379.69,513.189,16.713,3.974
6.625,3.642,12.897,3.796,7.345,1.812,1.768,1.948,1.951,5.994,87.072,87.072,7,1.953,13.715,2.887,4.128,4.254,2.876,2.867,0.116,2.866,290.965,296.475,296.475,19.975,1.845,3.723,6.014,1.5,1.0,0.126,0.096,20.347,7,374.0,0.14,3.879,3.709,3.711,56.96,2.5,4.156,0.189,31.71,537.352,111.407,1.788,332.475,57,60,36.762,3.05,3.111,1.026,0.972,1.278,1.257,1.264,34.726,210.903,373.39,506.362,16.583,3.975
7.313,3.765,14.226,3.917,7.915,1.831,1.788,1.96,1.965,6.064,92.729,92.729,10,1.972,15.328,2.829,4.208,4.328,2.941,2.91,0.109,2.866,314.896,320.405,320.405,22.385,1.887,3.842,6.014,1.5,1.0,0.119,0.09,22.136,7,441.0,0.185,3.89,3.726,3.729,61.952,2.5,4.309,0.275,36.807,583.864,120.027,1.927,369.16,62,65,39.733,3.111,3.206,1.153,1.064,1.459,1.376,1.429,37.472,227.289,405.78,546.346,18.044,4.048
5.967,3.823,14.875,3.975,8.209,1.832,1.789,1.963,1.967,6.106,93.745,93.745,10,1.975,16.432,2.828,4.266,4.386,2.941,2.91,0.106,2.941,323.91,335.42,337.42,24.231,1.891,3.879,6.004,1.5,1.0,0.115,0.087,23.322,7,476.0,0.214,3.889,3.726,3.729,65.65,2.5,4.399,0.285,39.867,622.223,126.274,1.939,398.93,66,69,42.012,3.139,3.222,1.153,1.064,1.492,1.397,1.429,39.331,239.68,425.8,576.578,19.074,4.089
7.45,3.706,13.567,3.861,7.65,1.833,1.789,1.959,1.969,6.042,86.309,86.309,12,1.981,15.333,2.827,4.2,4.324,2.941,2.91,0.113,2.866,312.141,320.405,320.405,22.44,1.89,3.764,5.946,1.5,1.0,0.122,0.093,22.301,7,407.0,0.152,3.887,3.726,3.728,61.44,2.5,4.247,0.199,33.991,581.03,119.81,1.869,369.16,62,65,39.796,3.111,3.206,1.153,1.064,1.479,1.376,1.429,37.089,226.091,399.71,543.422,17.743,4.017
6.971,3.706,13.567,3.861,7.65,1.813,1.769,1.951,1.954,6.037,88.646,88.646,7,1.957,14.829,2.827,4.191,4.316,2.941,2.91,0.113,2.866,315.51,321.02,321.02,21.869,1.846,3.773,5.956,1.5,1.0,0.122,0.093,21.533,7,407.0,0.152,3.878,3.71,3.712,60.658,2.5,4.247,0.199,33.991,575.711,117.653,1.837,361.775,61,64,39.04,3.111,3.206,1.153,1.064,1.462,1.376,1.429,36.584,223.293,393.41,536.595,17.613,4.019
9.0,3.418,11.192,3.578,6.37,1.764,1.717,1.925,1.942,5.758,72.116,72.116,17,1.971,14.312,2.401,4.06,4.184,2.765,2.754,0.138,2.768,251.154,266.764,272.764,20.132,1.877,3.499,5.8,1.372,1.0,0.158,0.124,19.821,13,291.0,0.053,3.768,3.571,3.565,53.312,2.391,3.884,0.125,27.994,480.978,104.514,1.725,310.764,54,57,35.057,2.929,3.0,0.908,0.845,1.204,1.14,1.162,32.495,196.245,345.24,470.598,15.371,3.886
7.561,3.619,12.781,3.765,7.223,1.855,1.821,1.966,1.971,6.256,94.022,94.022,15,1.978,17.896,2.955,4.237,4.354,2.933,2.91,0.104,2.88,329.814,332.569,332.569,25.418,1.894,3.943,6.24,1.5,1.181,0.116,0.09,24.632,8,409.0,0.206,3.902,3.764,3.765,62.952,2.5,4.319,0.234,34.688,579.701,121.262,2.173,376.569,63,67,40.733,3.111,3.172,1.079,1.02,1.341,1.303,1.317,38.472,229.488,410.72,551.711,18.276,4.209
9.357,3.549,12.037,3.7,6.9,1.808,1.761,1.943,1.952,5.851,78.289,78.289,15,1.964,14.425,2.792,4.1,4.231,2.756,2.737,0.11,2.778,268.947,281.212,281.212,21.356,1.886,3.619,5.849,1.5,1.0,0.133,0.102,20.189,6,325.0,0.128,3.869,3.698,3.701,55.414,2.5,4.016,0.195,28.313,512.393,108.15,1.769,325.212,56,59,36.063,2.909,2.99,0.926,0.852,1.241,1.142,1.18,33.516,203.039,356.24,487.176,15.805,3.865
9.495,3.48,11.6,3.642,6.74,1.727,1.674,1.89,1.897,6.278,88.098,88.098,18,1.911,18.608,2.962,4.183,4.309,2.941,2.91,0.115,2.866,312.265,321.02,321.02,25.984,1.922,3.815,6.217,1.5,1.12,0.127,0.098,24.579,11,348.0,0.161,3.801,3.606,3.606,60.625,2.5,4.043,0.212,30.009,568.749,117.969,2.29,361.775,61,64,39.279,3.111,3.206,1.146,1.064,1.441,1.359,1.389,36.758,223.293,396.99,536.595,17.636,4.173
7.301,3.629,12.839,3.801,7.39,1.725,1.673,1.887,1.893,6.3,88.472,88.472,18,1.908,16.482,3.103,4.192,4.309,2.919,2.91,0.107,2.866,317.02,325.775,325.775,23.696,1.921,3.897,6.088,1.5,1.185,0.122,0.093,21.546,11,398.0,0.206,3.796,3.604,3.604,60.883,2.5,4.24,0.274,36.554,587.768,119.058,1.887,361.775,61,64,39.489,3.111,3.191,1.073,1.033,1.288,1.347,1.35,37.277,227.16,405.86,546.03,17.666,4.101
5.0,2.939,7.533,3.013,4.421,1.417,1.353,1.651,1.67,5.17,44.157,44.157,11,1.701,7.177,1.566,3.584,3.72,2.01,1.997,0.194,2.047,138.219,140.974,140.974,10.517,1.679,2.069,4.898,-1.0,-0.946,0.241,0.179,7.695,5,113.0,0.012,3.498,3.244,3.239,33.382,0.5,2.844,0.026,10.0,319.64,63.065,0.621,172.974,34,35,21.313,2.383,2.501,0.365,0.241,0.89,0.761,0.81,19.477,122.692,209.71,291.13,9.101,3.061
6.699,3.486,11.692,3.669,6.887,1.813,1.762,1.96,1.988,6.057,83.945,83.945,10,2.036,17.626,2.441,4.247,4.394,2.941,2.91,0.112,2.871,257.91,276.93,276.93,26.535,1.83,3.472,5.854,1.0,0.983,0.138,0.105,22.93,4,304.0,0.123,3.854,3.69,3.675,64.647,2.0,3.914,0.105,26.84,577.754,107.101,1.761,398.93,66,69,39.387,3.111,3.206,1.146,1.064,1.487,1.376,1.427,35.482,213.809,379.3,513.455,16.567,3.939
6.699,3.063,8.45,3.193,5.04,1.667,1.615,1.83,1.85,5.758,59.55,59.55,11,1.878,11.187,2.151,3.877,4.007,2.735,2.715,0.152,2.687,216.379,225.133,225.133,16.227,1.817,2.778,5.679,0.0,0.0,0.184,0.14,14.429,4,169.0,0.029,3.724,3.537,3.53,44.36,1.082,3.264,0.041,14.31,426.677,80.433,1.149,247.133,45,47,28.052,2.854,2.925,0.886,0.821,1.181,1.062,1.107,25.773,157.665,275.34,376.462,11.988,3.627
5.523,3.377,10.625,3.515,6.141,1.678,1.623,1.855,1.877,5.866,70.156,70.156,14,1.926,13.442,2.444,4.055,4.189,2.838,2.825,0.143,2.822,266.465,273.22,273.22,19.37,1.823,3.316,5.75,1.049,0.983,0.154,0.117,19.292,8,255.0,0.082,3.741,3.544,3.536,54.01,2.076,3.679,0.107,22.66,495.244,97.527,1.587,317.975,55,57,34.336,3.036,3.118,1.041,0.963,1.384,1.288,1.325,31.353,193.107,341.9,462.94,14.954,3.8
4.398,3.082,8.526,3.206,5.092,1.672,1.615,1.827,1.852,5.5,52.949,52.949,13,1.89,10.147,1.915,3.795,3.929,2.735,2.715,0.181,2.687,182.213,190.477,190.477,14.588,1.815,2.74,5.268,-0.087,-0.078,0.19,0.143,12.796,7,162.0,0.029,3.723,3.539,3.527,41.149,1.208,3.249,0.041,13.839,374.123,78.326,1.031,226.477,42,44,26.836,2.854,2.925,0.886,0.821,1.181,1.062,1.107,24.531,150.741,263.91,359.568,11.554,3.452
7.699,3.218,9.478,3.394,5.753,1.717,1.661,1.871,1.893,5.864,66.508,66.508,21,1.923,15.9,2.397,4.064,4.207,2.735,2.718,0.135,2.708,255.173,257.928,257.928,23.382,1.88,3.117,5.769,1.0,0.983,0.173,0.133,19.642,10,218.0,0.111,3.775,3.588,3.58,54.567,2.0,3.469,0.161,19.183,516.409,97.321,1.633,325.212,56,58,34.643,2.9,3.009,0.934,0.837,1.417,1.239,1.308,31.165,192.038,335.75,460.332,15.04,3.764
5.699,2.987,7.889,3.135,4.886,1.571,1.507,1.755,1.787,5.4,51.618,51.618,12,1.845,10.112,1.85,3.779,3.914,2.602,2.578,0.163,2.548,182.905,185.66,185.66,14.607,1.695,2.67,5.213,-0.319,-0.293,0.199,0.151,12.337,7,142.0,0.017,3.71,3.528,3.515,40.149,0.846,3.162,0.039,12.494,372.223,74.547,0.974,219.66,41,43,25.836,2.763,2.852,0.608,0.516,0.974,0.873,0.9,23.531,144.076,249.25,343.306,10.963,3.359
