pXC50,C.019,nCconjX,nCXr.,C.036,nC.N.N.,P_VSA_MR_7,SsCl,NdsN,Cl.089,nCL,NsCl,P_VSA_e_4,CATS2D_02_DA,P_VSA_LogP_2,N.074,NssNH,D.Dtr06,P_VSA_m_4,CATS2D_03_AA,GATS1m,nR06,SpMax3_Bh.m.,Hy,Eig03_AEA.bo.,CATS2D_05_DL,P_VSA_LogP_6,CATS2D_04_DL,NdssC,nHDon,SAdon,CATS2D_07_DL,nRCONHR,H.050,MATS3s,CATS2D_06_DL,P_VSA_s_5,nArOR,GATS5m,CATS2D_03_DL,GATS2m,X.,nCsp2,P_VSA_LogP_8,CATS2D_03_DA,H.049,C.,TPSA.NO.,nCbH,nX,PCD,X5Av,P_VSA_LogP_5,P_VSA_p_3,P_VSA_v_3,nBnz,TPSA.Tot.,Eig03_EA.bo.,SM13_AEA.ri.,SssO,P_VSA_p_2,P_VSA_s_4,CATS2D_05_DA,GATS4m,SdsN,nR.Cs,P_VSA_v_2,CATS2D_03_AL
4.788,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,15.529,0,0,387.718,0.0,4,0.736,3,3.835,-0.809,4.14,0,20.474,0,3,0,0.0,0,0,0,0.012,0,0.0,0,0.972,0,0.816,1.3,25,0.0,0,0,45.5,71.85,14,1,2.896,0.026,34.762,223.077,223.077,3,71.85,3.649,3.649,5.502,94.582,177.967,0,1.027,0.0,0,109.543,17
4.358,0,0,0,0,0,18.685,0.0,0,0,0,0,0.0,0,2.106,0,0,146.312,0.0,0,0.485,3,3.795,0.311,3.575,2,2.328,1,0,2,32.897,3,0,2,-0.113,2,45.954,0,0.916,1,0.56,2.9,14,45.954,0,2,45.7,42.79,2,1,3.433,0.03,32.238,148.309,148.309,1,42.79,3.009,3.009,0.0,51.582,85.677,0,0.672,0.0,0,51.582,3
4.836,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,49.197,0,2,498.265,0.0,0,0.977,4,3.805,0.102,4.123,8,0.0,7,1,2,36.022,3,1,2,0.088,6,36.022,1,1.02,7,1.061,0.0,13,0.0,3,0,38.9,53.6,9,0,1.537,0.042,25.31,141.188,141.188,2,53.6,3.484,3.484,5.732,75.291,97.236,0,1.041,0.0,0,75.291,6
4.358,0,0,0,0,0,39.249,0.0,0,0,0,0,0.0,2,20.116,0,1,228.877,6.046,3,0.856,2,3.828,0.933,4.224,2,1.122,1,1,3,50.908,3,1,3,0.014,2,18.011,0,0.898,3,0.671,0.0,15,0.0,3,0,38.2,119.97,8,0,2.926,0.032,14.783,138.096,138.096,2,128.35,3.786,3.786,0.0,155.346,112.887,2,0.997,0.0,0,155.346,4
4.973,1,0,0,0,0,2.757,0.0,1,0,0,0,0.0,2,8.804,1,1,350.396,0.0,0,0.707,3,3.737,-0.322,3.968,4,1.899,4,4,1,18.011,2,0,1,0.028,4,18.011,0,0.893,0,0.788,5.1,16,7.76,1,0,40.7,63.16,9,3,2.447,0.024,88.532,157.03,157.03,2,63.16,3.45,3.45,10.094,85.065,119.002,0,0.997,4.675,1,129.946,4
4.461,0,0,0,0,0,16.663,0.0,0,0,0,0,0.0,0,17.474,0,0,198.608,0.0,0,0.808,2,3.713,0.247,4.132,5,32.677,3,1,2,59.346,2,0,2,-0.002,4,16.663,0,0.963,3,0.809,3.6,10,0.0,2,0,38.2,69.22,3,2,1.781,0.032,40.847,101.551,101.551,1,69.22,3.348,3.348,0.0,104.279,58.68,0,0.882,0.0,0,134.199,5
4.721,0,0,0,0,0,16.786,0.0,1,0,0,0,0.0,1,4.592,1,1,331.477,0.0,1,0.625,3,3.795,-0.283,4.009,2,34.735,3,1,1,20.625,0,0,1,-0.114,1,20.625,2,0.827,1,0.833,4.3,19,0.0,0,2,44.7,82.04,8,2,3.735,0.02,82.933,163.047,163.047,2,82.04,3.609,3.609,15.942,112.56,113.835,0,1.0,3.745,0,142.48,4
4.836,0,0,0,0,0,34.796,0.0,0,0,0,0,0.0,3,32.36,0,2,152.268,0.0,1,0.915,2,3.549,0.936,3.732,4,2.144,5,1,3,78.705,5,1,3,-0.007,2,36.022,0,1.032,2,0.973,0.0,8,0.0,1,0,37.0,79.18,4,0,2.103,0.036,5.942,71.972,71.972,1,79.18,3.061,3.061,0.0,122.534,48.629,4,0.893,0.0,0,122.534,4
4.358,0,0,0,0,0,48.302,0.0,0,0,0,0,0.0,1,36.342,0,1,367.194,31.052,3,0.743,3,3.799,-0.341,3.995,2,11.771,3,2,1,18.011,1,1,1,0.047,2,18.011,0,0.705,3,0.852,0.0,15,0.0,1,2,40.7,88.08,4,0,1.767,0.03,29.979,158.98,158.98,1,116.32,3.569,3.569,0.0,119.727,94.551,1,0.701,0.0,0,119.727,6
4.622,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,18.764,0,0,319.962,32.22,1,0.823,4,3.762,-0.813,3.99,0,0.0,0,1,0,0.0,0,0,0,0.044,0,0.0,0,0.849,0,1.03,0.0,13,0.0,0,0,40.4,26.79,7,0,2.211,0.04,20.113,150.412,150.412,2,52.09,3.365,3.365,0.0,34.518,93.357,0,1.008,0.0,0,34.518,9
4.705,0,0,0,0,0,1.899,0.0,0,0,0,0,0.0,0,14.35,0,0,134.184,0.0,0,0.589,2,3.666,-0.717,4.383,0,2.144,0,0,0,0.0,0,0,0,0.091,0,0.0,0,0.836,0,0.632,12.5,13,15.519,0,0,43.8,8.81,7,6,3.138,0.028,103.361,112.375,112.375,2,8.81,3.675,3.675,0.0,3.798,70.132,0,1.056,0.0,0,93.559,4
4.564,0,0,0,0,0,5.67,0.0,0,0,0,0,0.0,0,24.44,0,1,75.783,0.0,0,0.925,1,3.533,-0.31,3.494,2,0.0,3,0,1,18.011,0,0,1,0.091,1,18.011,1,0.885,3,0.998,0.0,6,50.747,0,0,35.4,67.08,3,0,1.369,0.044,22.186,72.88,72.88,1,67.08,2.502,2.502,5.594,85.428,42.924,1,1.018,0.0,0,85.428,8
4.358,0,0,0,0,0,35.738,0.0,0,0,0,0,0.0,0,22.933,0,0,327.799,0.0,4,0.905,3,3.704,-0.811,3.946,0,14.528,0,1,0,0.0,0,0,0,0.132,0,0.0,0,0.951,0,1.02,0.0,16,0.0,0,0,39.7,44.09,5,0,3.605,0.03,13.477,155.959,155.959,1,44.09,3.386,3.386,0.0,52.59,131.691,0,0.973,0.0,2,52.59,4
4.549,0,0,0,0,0,49.744,0.0,0,0,0,0,0.0,0,24.916,0,0,240.832,0.0,2,0.82,3,3.745,-0.323,3.978,0,14.96,4,0,1,42.683,0,0,1,-0.012,0,0.0,0,0.879,2,0.89,1.8,7,0.0,0,0,37.5,67.07,4,1,1.953,0.038,17.207,77.456,77.456,1,67.07,3.244,3.244,0.0,97.328,42.806,0,0.999,0.0,0,112.288,4
4.358,0,0,0,0,0,22.831,0.0,0,0,0,0,0.0,3,36.022,0,2,151.775,37.324,0,0.773,2,3.866,0.42,4.185,3,19.982,5,1,2,36.022,1,0,2,-0.172,3,36.022,0,0.966,2,0.947,2.8,14,0.0,0,0,41.7,88.16,7,1,3.17,0.037,16.073,131.943,131.943,2,124.78,3.787,3.787,0.0,122.265,73.524,0,0.975,0.0,0,137.225,6
4.699,0,0,0,0,0,39.149,6.316,0,1,1,1,39.149,1,43.383,0,1,391.592,71.368,1,0.635,4,3.788,-0.365,4.221,0,14.96,1,2,1,18.011,2,0,1,0.001,1,18.011,0,0.848,2,0.78,3.1,20,39.149,0,0,43.8,63.57,10,2,3.458,0.032,31.161,225.824,225.824,3,91.81,3.84,3.84,5.375,85.549,101.011,1,1.131,0.0,0,100.509,7
4.532,0,0,0,0,0,9.476,0.0,0,0,0,0,0.0,0,0.0,0,0,171.471,0.0,0,0.639,3,3.488,-0.797,3.786,0,0.0,0,3,0,0.0,0,0,0,-0.057,0,0.0,0,1.323,0,0.688,0.0,16,0.0,0,0,51.5,56.51,8,0,2.602,0.02,42.043,128.538,128.538,2,56.51,3.2,3.2,10.411,72.29,94.111,0,1.032,0.0,1,72.29,8
4.649,0,0,0,0,0,90.485,5.924,0,1,1,1,39.149,0,19.032,0,1,186.579,71.368,0,0.708,2,3.716,-0.277,3.524,3,0.0,0,0,1,18.011,0,0,1,0.07,0,18.011,0,1.165,2,0.877,2.0,8,39.149,2,0,35.3,45.98,4,1,1.918,0.05,11.974,146.409,146.409,1,71.28,2.715,2.715,0.0,56.36,51.754,0,0.998,0.0,0,56.36,3
4.358,0,0,0,0,0,33.203,0.0,0,0,0,0,0.0,2,22.651,0,1,206.583,0.0,1,0.792,2,3.789,0.953,4.033,2,0.0,1,1,3,50.908,5,0,3,0.068,4,18.011,2,0.865,2,0.8,0.0,15,0.0,4,0,39.2,104.29,7,0,3.029,0.023,48.476,130.969,130.969,2,104.29,3.63,3.63,10.447,133.033,98.702,1,1.091,0.0,0,133.033,5
4.857,0,0,0,0,0,44.956,5.797,0,1,1,1,39.149,3,71.453,1,3,218.099,90.148,0,0.673,2,3.934,3.521,3.964,9,2.184,7,3,6,116.996,3,0,6,-0.225,6,52.426,0,0.985,5,0.7,2.3,15,84.341,0,0,37.2,137.17,8,1,2.2,0.036,42.666,186.375,186.375,2,177.64,3.473,3.473,0.0,186.454,75.81,0,1.009,0.0,0,186.454,5
5.232,0,0,0,0,0,9.476,0.0,0,0,0,0,0.0,2,18.011,1,1,412.607,0.0,1,0.644,3,3.838,0.206,4.164,2,14.96,4,4,2,60.694,0,1,2,-0.057,1,34.612,1,0.996,5,0.73,2.0,23,0.0,0,0,49.0,125.72,11,1,3.651,0.021,88.166,189.113,189.113,3,125.72,3.763,3.763,10.516,189.188,124.598,0,1.078,0.0,1,204.148,12
4.836,0,0,0,0,0,5.807,0.0,0,0,0,0,0.0,1,22.651,0,1,331.426,5.807,0,0.827,3,3.803,-0.358,3.914,2,0.0,4,1,1,18.011,0,0,1,0.054,1,18.011,0,1.08,3,0.854,0.0,19,0.0,0,0,44.0,66.48,14,0,2.874,0.038,12.197,166.895,166.895,3,74.86,3.449,3.449,0.0,88.987,142.582,0,1.315,0.0,0,88.987,10
4.358,0,0,0,0,0,53.168,0.0,0,0,0,0,0.0,1,27.291,0,1,372.752,0.0,1,0.685,4,3.792,-0.341,4.058,0,17.288,2,1,1,18.011,0,1,1,-0.023,1,18.011,0,0.89,4,0.78,1.9,18,0.0,0,1,44.4,84.15,8,1,4.093,0.024,45.056,137.553,137.553,2,84.15,3.654,3.654,0.0,109.182,96.378,0,1.018,0.0,0,124.142,5
4.358,0,0,0,0,0,55.934,6.119,0,1,1,1,39.149,1,32.95,0,1,195.44,39.149,4,0.623,3,3.753,-0.309,3.896,1,2.328,2,2,1,18.011,2,1,1,-0.035,1,18.011,0,0.91,3,0.687,2.1,13,39.149,1,1,41.7,65.54,4,1,2.287,0.025,24.371,140.154,140.154,1,65.54,3.221,3.221,0.0,91.335,71.502,1,0.781,0.0,0,91.335,5
4.902,1,0,0,0,0,2.757,0.0,1,0,0,0,0.0,0,7.336,1,1,227.543,0.0,0,0.773,3,3.793,-0.448,4.005,6,0.0,2,4,1,18.011,3,0,1,0.029,6,18.011,0,0.921,0,0.889,0.0,22,0.0,3,0,49.1,44.7,14,0,2.844,0.023,32.285,171.421,171.421,3,44.7,3.574,3.574,0.0,63.066,144.617,0,0.943,4.909,1,63.066,7
4.358,0,0,0,0,0,5.67,0.0,0,0,0,0,0.0,1,29.558,0,1,193.09,0.0,4,0.721,2,3.711,-0.252,4.057,0,5.449,2,2,1,18.011,0,0,1,0.107,0,18.011,0,1.04,3,0.771,0.0,12,50.747,2,0,38.0,111.61,4,0,2.408,0.027,23.165,108.322,108.322,1,111.61,3.362,3.362,0.0,140.474,86.427,1,1.093,0.0,0,140.474,10
4.358,0,0,0,0,0,33.571,0.0,0,0,0,0,0.0,1,46.052,0,1,214.415,0.0,5,0.827,2,3.766,-0.336,3.912,1,17.22,2,2,1,18.011,1,1,1,0.059,1,18.011,0,1.005,4,0.939,0.0,10,0.0,1,3,38.6,88.33,0,0,1.228,0.032,39.406,100.366,100.366,0,88.33,3.467,3.467,0.0,114.503,60.959,1,0.916,0.0,0,114.503,5
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,33.808,0,1,438.081,0.0,6,0.794,3,3.793,-0.374,4.077,1,17.22,3,2,1,18.011,2,1,1,0.086,3,18.011,4,1.043,3,0.905,0.0,18,0.0,1,0,40.3,99.47,6,0,1.908,0.026,80.423,185.529,185.529,2,99.47,3.656,3.656,22.265,124.932,134.206,1,0.844,0.0,0,124.932,13
5.444,2,1,1,1,1,56.94,6.037,1,1,1,1,39.149,0,3.002,1,0,238.672,39.149,3,0.518,3,3.791,-0.699,3.984,0,14.96,0,3,0,0.0,0,0,0,0.001,0,0.0,2,0.744,0,0.65,5.6,16,39.149,0,1,47.2,53.35,8,2,2.824,0.02,61.027,170.702,170.702,2,53.35,3.557,3.557,10.656,66.81,98.742,0,0.89,3.957,2,81.77,10
5.276,0,0,0,0,0,39.133,0.0,0,0,0,0,0.0,1,45.612,0,0,339.662,38.027,0,0.794,3,3.814,0.252,4.12,0,0.0,0,1,2,32.897,3,0,2,-0.013,0,0.0,0,1.003,1,0.843,0.0,15,0.0,0,0,38.3,111.18,7,0,3.272,0.04,17.975,156.316,156.316,2,144.86,3.75,3.75,0.0,139.099,87.402,2,1.137,0.0,0,139.099,17
4.358,0,0,0,0,0,39.133,0.0,0,0,0,0,0.0,2,7.598,0,1,102.892,69.305,0,0.755,1,4.036,-0.182,3.914,1,13.13,3,1,1,16.405,0,0,1,-0.073,0,16.405,0,0.998,4,0.988,0.0,13,0.0,0,0,37.8,111.39,4,0,2.754,0.045,28.629,171.925,171.925,1,173.31,3.476,3.476,4.832,139.696,73.332,0,0.956,0.0,0,139.696,12
4.358,0,0,0,0,0,22.212,0.0,0,0,0,0,0.0,3,33.513,0,2,554.738,5.807,1,0.787,4,3.822,0.204,4.123,4,14.96,5,1,2,34.416,0,0,2,-0.023,0,34.416,1,0.914,7,0.923,1.6,19,0.0,1,0,40.6,96.97,12,1,2.787,0.034,39.167,175.655,175.655,3,105.35,3.669,3.669,10.531,128.998,127.722,1,1.121,0.0,0,143.958,10
4.358,0,0,0,0,0,33.571,0.0,0,0,0,0,0.0,0,0.0,0,0,189.539,0.0,0,0.671,3,3.753,-0.815,4.035,0,10.263,0,0,0,0.0,0,0,0,0.092,0,0.0,1,0.851,0,0.765,0.0,18,0.0,0,1,51.4,48.15,9,0,4.161,0.019,43.313,141.065,141.065,2,48.15,3.627,3.627,5.961,54.078,112.206,0,1.135,0.0,0,54.078,8
4.358,0,0,0,0,0,14.976,0.0,0,0,0,0,0.0,2,66.705,0,1,270.933,31.052,4,0.738,2,3.798,2.332,4.113,2,18.578,2,3,5,83.805,4,1,5,0.019,3,18.011,1,1.009,2,0.767,0.0,16,0.0,3,0,38.7,153.78,4,0,1.794,0.028,34.021,157.639,157.639,1,182.02,3.624,3.624,5.509,197.847,82.604,1,0.844,0.0,0,197.847,5
4.836,0,0,0,0,0,86.126,0.0,0,0,0,0,0.0,1,21.445,0,1,220.644,32.22,0,0.669,2,3.837,-0.233,4.122,0,0.0,1,1,1,18.011,1,1,1,-0.226,0,18.011,1,1.113,2,0.896,0.0,16,0.0,1,0,40.0,120.85,8,0,4.063,0.027,39.474,157.86,157.86,2,146.15,3.737,3.737,5.231,151.792,97.295,1,0.905,0.0,0,151.792,11
4.358,0,0,0,0,0,10.877,0.0,0,0,0,0,0.0,0,15.47,0,0,281.763,10.877,0,0.512,3,4.536,-0.346,3.736,1,0.0,0,0,1,42.683,0,0,1,0.014,3,91.908,1,1.042,0,0.634,4.3,18,91.908,1,0,45.7,46.53,12,2,2.376,0.059,26.252,225.468,236.345,3,56.34,3.298,3.298,5.751,73.946,113.715,0,0.619,0.0,0,73.946,8
4.358,0,0,0,0,0,37.905,0.0,1,0,0,0,0.0,2,44.055,2,1,323.552,0.0,1,0.683,4,3.723,0.222,4.013,1,26.731,4,7,2,49.683,4,1,2,-0.018,3,18.011,0,0.831,4,0.827,1.8,18,0.0,0,0,43.6,101.48,4,1,2.788,0.021,72.587,133.801,133.801,1,101.48,3.588,3.588,5.747,134.007,91.106,1,0.975,4.627,4,148.967,8
5.036,0,0,0,0,0,11.375,0.0,0,0,0,0,0.0,0,4.211,0,0,198.886,32.22,0,0.829,3,3.625,-0.879,4.036,0,0.0,0,1,0,0.0,0,0,0,-0.015,0,0.0,0,1.332,0,0.747,0.0,17,0.0,0,0,44.4,8.81,5,0,4.142,0.035,25.584,178.827,178.827,2,37.05,3.53,3.53,0.0,5.023,124.959,0,1.206,0.0,1,5.023,2
4.358,0,0,0,0,0,37.905,0.0,1,0,0,0,0.0,2,54.622,2,1,287.648,0.0,1,0.786,4,3.7,0.225,3.862,1,11.771,3,7,2,49.683,4,1,2,0.049,4,18.011,0,0.88,4,0.898,0.0,12,0.0,0,0,39.7,101.48,0,0,2.055,0.026,60.281,94.156,94.156,0,101.48,3.09,3.09,5.785,134.007,53.201,1,0.856,4.676,4,134.007,8
5.162,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,43.383,0,1,383.015,32.22,1,0.768,4,3.787,-0.41,4.025,0,0.0,1,2,1,18.011,2,0,1,0.014,1,18.011,0,0.914,2,0.905,0.0,20,0.0,0,0,43.3,63.57,11,0,3.361,0.033,21.725,195.541,195.541,3,91.81,3.617,3.617,5.395,85.549,119.313,1,1.085,0.0,0,85.549,9
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,16.52,0,0,250.795,45.192,1,0.615,3,3.675,-0.772,3.786,0,0.0,0,2,0,0.0,0,0,0,0.037,0,0.0,0,1.487,0,0.792,0.0,14,45.192,0,0,45.0,38.77,9,0,2.139,0.028,22.614,163.394,163.394,2,70.86,3.152,3.152,10.697,50.269,88.411,0,1.509,0.0,0,50.269,8
4.491,1,0,0,0,0,11.027,0.0,0,0,0,0,0.0,1,32.473,0,1,232.29,32.22,0,0.713,3,3.646,-0.323,3.974,0,14.96,1,3,1,18.011,3,1,1,-0.038,1,18.011,0,1.047,0,0.866,2.0,16,0.0,0,0,42.9,60.33,8,1,2.633,0.031,16.614,167.301,167.301,2,88.57,3.419,3.419,4.948,82.425,99.294,2,1.063,0.0,2,97.385,7
4.628,0,0,0,0,0,44.956,6.148,0,1,1,1,39.149,0,16.187,0,0,274.379,44.956,1,0.701,3,3.916,-0.717,4.31,0,0.0,0,1,0,0.0,0,0,0,-0.083,0,0.0,0,0.828,0,0.82,1.9,13,39.149,0,0,39.6,60.93,6,1,2.35,0.037,23.214,154.168,154.168,2,69.31,3.931,3.931,0.0,77.225,80.64,0,0.987,0.0,0,77.225,8
4.358,0,0,0,0,0,53.168,0.0,0,0,0,0,0.0,0,11.815,0,0,172.55,0.0,4,0.778,2,3.693,-0.722,3.913,0,11.771,0,0,0,0.0,0,0,0,0.048,0,0.0,1,1.031,0,0.896,0.0,11,0.0,0,1,38.8,69.21,4,0,2.73,0.03,45.562,105.199,105.199,1,69.21,3.459,3.459,5.189,78.925,80.303,0,1.034,0.0,0,78.925,10
4.358,0,0,0,0,1,27.058,0.0,1,0,0,0,0.0,1,19.994,1,2,225.646,0.0,3,0.722,2,3.808,0.247,4.015,5,17.22,3,2,2,35.899,3,0,2,0.033,3,35.899,0,0.921,3,0.848,0.0,19,0.0,1,1,44.7,92.93,8,0,3.253,0.023,51.542,158.196,158.196,2,92.93,3.615,3.615,5.183,123.359,124.375,0,1.006,3.912,0,123.359,6
4.358,0,0,0,0,0,16.786,0.0,0,0,0,0,0.0,1,46.052,0,1,214.415,0.0,4,0.85,2,3.777,-0.371,3.912,1,17.22,2,2,1,18.011,2,1,1,0.056,2,18.011,0,1.039,4,0.951,0.0,11,0.0,1,1,39.7,75.44,0,0,1.228,0.033,21.312,110.7,110.7,0,75.44,3.467,3.467,0.0,97.718,71.292,1,0.937,0.0,0,97.718,8
5.104,0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,0,16.884,1,0,174.214,0.0,0,1.11,2,3.713,-0.874,3.897,0,1.899,0,1,0,0.0,0,0,0,-0.101,0,0.0,0,1.004,0,1.039,0.0,7,0.0,0,0,36.5,18.84,5,0,1.273,0.047,26.22,112.618,112.618,1,18.84,3.313,3.313,0.0,23.034,96.898,0,1.009,4.882,0,23.034,4
4.886,2,1,1,1,1,56.94,6.072,1,1,1,1,39.149,0,3.002,1,0,225.658,39.149,3,0.542,3,3.774,-0.729,3.943,0,0.0,0,3,0,0.0,0,0,0,0.164,0,0.0,2,0.772,0,0.68,2.8,16,39.149,0,1,47.2,53.35,9,1,2.8,0.02,51.906,171.058,171.058,2,53.35,3.455,3.455,10.727,66.81,108.218,0,0.823,4.05,2,66.81,10
5.379,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,21.417,0,0,288.116,0.0,3,0.469,3,3.971,-0.726,3.944,0,0.0,0,3,0,0.0,0,0,0,-0.047,0,91.908,0,0.772,0,0.75,3.6,9,91.908,0,0,40.0,60.93,5,2,0.981,0.044,6.31,171.758,171.758,1,60.93,3.152,3.152,0.0,84.808,56.754,0,1.064,0.0,0,84.808,8
4.358,0,0,0,0,0,33.326,0.0,0,0,0,0,0.0,0,5.54,1,0,95.585,63.497,1,0.681,1,3.862,-0.733,3.925,0,30.349,0,0,0,0.0,0,0,0,-0.079,0,16.602,0,1.017,0,1.036,0.0,16,0.0,0,0,46.5,67.64,4,0,3.086,0.037,49.53,197.037,197.037,1,121.18,3.483,3.483,0.0,75.792,97.098,0,1.136,0.0,0,75.792,5
4.506,0,0,0,0,0,1.899,0.0,0,0,0,0,0.0,0,14.35,0,0,147.357,0.0,0,0.859,2,3.734,-0.874,3.918,0,2.757,0,1,0,0.0,0,0,0,0.022,0,0.0,0,0.939,0,0.944,0.0,16,0.0,0,1,45.1,25.88,9,0,2.73,0.032,20.503,137.283,137.283,2,25.88,3.45,3.45,0.0,28.943,106.957,0,1.119,0.0,0,28.943,6
4.714,0,0,0,0,0,11.615,0.0,0,0,0,0,0.0,2,24.22,0,1,371.256,11.615,3,0.831,3,3.886,-0.248,4.245,0,17.22,3,1,1,16.405,0,0,1,0.067,0,16.405,0,1.064,4,0.842,0.0,11,0.0,0,0,35.6,117.0,4,0,1.84,0.056,14.127,114.562,114.562,1,133.76,3.74,3.74,0.0,144.326,73.24,0,1.324,0.0,0,144.326,12
