pXC50,nCsp3,nC,MW,RBN,nSK,Se,SCBO,nAT,Si,nBT,nDB,Sp,Sv,nCsp2,nBO,nHet,nH,nCsp,nTB
8.149,4,22,385.46,4,29,48.349,45.5,48,53.817,51,3,33.267,32.224,17,32,7,19,1,1
7.959,4,22,369.46,4,28,47.022,43.5,47,52.607,50,2,32.813,31.509,17,31,6,19,1,1
8.347,4,22,384.48,4,29,49.123,44.5,49,55.106,52,2,33.819,32.531,17,32,7,20,1,1
7.387,7,25,427.55,5,32,57.0,47.5,57,64.062,60,2,38.551,36.805,17,35,7,25,1,1
8.824,4,22,385.46,4,29,48.349,45.5,48,53.817,51,3,33.267,32.224,17,32,7,19,1,1
8.347,4,22,369.46,4,28,47.022,43.5,47,52.607,50,2,32.813,31.509,17,31,6,19,1,1
8.854,4,22,385.46,4,29,48.349,45.5,48,53.817,51,3,33.267,32.224,17,32,7,19,1,1
8.638,4,22,369.46,4,28,47.022,43.5,47,52.607,50,2,32.813,31.509,17,31,6,19,1,1
7.699,6,25,475.62,6,34,59.403,51.5,59,66.192,62,4,40.654,38.706,18,37,9,25,1,1
7.638,4,23,383.49,4,29,49.905,44.5,50,56.023,53,2,34.574,33.036,18,32,6,21,1,1
5.0,7,24,485.99,8,34,60.047,47.5,59,66.971,62,2,39.563,38.257,17,37,10,25,0,0
4.3,1,15,251.31,3,19,32.051,29.5,32,35.78,34,0,22.279,21.413,14,21,4,13,0,0
6.2,2,20,390.44,6,29,47.894,44.0,47,53.109,50,1,31.966,31.434,18,32,9,18,0,0
5.593,0,19,436.28,3,28,38.8,42.0,37,41.268,40,5,29.517,29.022,19,31,9,9,0,0
6.0,7,28,533.65,9,38,65.949,56.5,65,72.654,69,6,44.529,42.862,21,42,10,27,0,0
6.0,8,28,518.69,8,37,67.28,54.5,67,75.148,71,5,45.387,42.98,20,41,9,30,0,0
5.569,3,17,413.86,6,27,42.898,40.0,41,46.573,43,3,29.091,28.677,14,29,10,14,0,0
5.6,6,19,388.41,4,28,47.483,39.0,46,52.622,49,2,30.353,30.211,13,31,9,18,0,0
5.6,2,16,278.34,2,21,35.153,34.0,35,39.279,38,0,24.284,23.434,14,24,5,14,0,0
5.0,1,18,359.45,3,26,39.44,43.0,39,43.654,43,0,28.972,27.917,17,30,8,13,0,0
5.7,7,22,440.5,9,32,57.207,46.0,56,63.402,58,4,36.364,35.642,15,34,10,24,0,0
5.263,11,26,495.64,9,36,69.516,48.5,69,78.351,72,1,43.961,42.056,15,39,10,33,0,0
6.252,9,35,586.69,3,44,74.531,69.0,74,82.438,82,2,51.193,49.508,26,52,9,30,0,0
7.9,3,20,440.46,9,32,53.76,46.0,52,59.153,54,3,34.091,34.105,17,34,12,20,0,0
5.481,3,16,308.38,2,23,39.356,36.0,39,44.275,42,0,26.296,25.477,13,26,7,16,0,0
5.6,3,22,401.53,2,29,48.098,45.0,48,53.527,52,1,34.461,32.697,19,33,7,19,0,0
5.801,3,25,479.5,6,35,56.654,51.0,55,62.666,58,1,37.603,37.428,22,38,10,20,0,0
5.465,16,31,562.79,10,41,82.825,54.5,83,94.301,87,1,52.557,49.47,15,45,10,42,0,0
5.854,15,30,564.76,10,41,81.269,54.5,81,92.095,85,1,51.25,48.658,15,45,11,40,0,0
5.6,5,27,519.52,7,38,59.981,56.5,58,65.876,61,3,40.057,40.142,20,41,11,20,2,2
6.208,11,27,524.76,11,37,72.923,51.0,73,82.766,76,2,47.466,44.362,16,40,10,36,0,0
7.678,1,22,386.51,5,28,45.996,44.0,46,51.029,49,2,33.455,31.675,21,31,6,18,0,0
4.699,3,17,263.37,2,20,36.491,30.5,37,41.401,39,0,25.347,23.752,14,22,3,17,0,0
7.553,2,21,464.86,5,32,50.32,45.0,48,54.906,50,2,33.148,33.422,19,34,11,16,0,0
5.301,1,15,269.75,2,19,31.047,29.5,31,34.515,33,0,22.682,21.526,14,21,4,12,0,0
4.301,3,17,329.81,4,23,39.469,33.5,39,43.764,41,0,27.114,26.009,14,25,6,16,0,0
4.301,4,18,325.4,5,24,43.356,34.5,43,48.445,45,0,28.472,27.423,14,26,6,19,0,0
6.745,2,13,239.31,2,18,31.043,28.0,31,35.152,33,0,21.074,20.214,11,20,5,13,0,0
5.6,2,19,315.41,4,24,40.811,38.0,41,45.983,44,0,28.597,27.268,17,27,5,17,0,0
5.6,2,15,332.84,4,22,35.553,32.5,35,39.143,37,0,25.79,24.449,13,24,7,13,0,0
4.0,0,13,194.25,1,15,24.738,25.0,25,27.657,27,0,18.057,17.15,13,17,2,10,0,0
5.6,1,18,335.82,4,24,38.251,38.0,38,42.512,41,0,27.693,26.569,17,27,6,14,0,0
4.0,0,13,220.25,1,17,25.174,29.0,25,27.824,27,0,18.546,18.139,12,19,4,8,1,1
8.166,8,22,488.07,7,33,59.603,45.5,59,66.923,62,1,40.068,37.862,14,36,11,26,0,0
5.6,1,13,274.39,3,18,28.218,28.5,28,30.707,30,1,21.807,20.239,12,20,5,10,0,0
4.2,0,12,213.26,2,16,27.167,24.0,27,30.365,28,1,18.517,17.886,12,17,4,11,0,0
5.6,0,14,255.27,2,19,29.68,30.0,29,32.705,31,1,20.455,20.27,14,21,5,10,0,0
5.0,8,19,354.51,8,26,51.774,36.0,52,59.351,54,0,33.103,31.111,11,28,7,26,0,0
5.6,1,17,275.33,1,21,34.051,34.0,34,37.78,37,2,24.279,23.413,16,24,4,13,0,0
6.42,2,20,371.39,5,27,44.24,39.0,43,49.045,45,1,29.375,29.143,18,29,7,16,0,0
7.921,8,22,398.53,7,29,56.178,39.5,56,63.734,58,3,36.006,34.22,14,31,7,27,0,0
5.0,3,17,457.71,6,27,43.64,38.0,42,47.653,44,1,29.864,29.154,14,29,10,15,0,0
5.6,6,20,415.89,4,29,49.069,41.5,48,54.516,51,1,32.824,31.962,14,32,9,19,0,0
7.921,9,28,466.58,2,35,61.109,55.0,61,68.189,68,1,41.762,40.025,19,42,7,26,0,0
5.6,5,20,416.39,3,30,47.112,43.0,45,51.547,49,3,30.529,31.068,15,34,10,15,0,0
6.206,3,15,364.83,6,25,43.218,34.0,42,48.053,43,2,27.824,27.261,12,26,10,17,0,0
5.6,1,16,275.34,3,21,34.043,34.5,34,38.152,37,0,24.074,23.214,15,24,5,13,0,0
5.6,1,16,275.34,3,21,34.043,34.5,34,38.152,37,0,24.074,23.214,15,24,5,13,0,0
5.6,1,16,290.36,3,22,36.145,35.5,36,40.651,39,0,25.08,24.236,15,25,6,14,0,0
5.6,1,17,275.33,3,21,34.051,34.5,34,37.78,37,0,24.279,23.413,16,24,4,13,0,0
5.6,3,13,227.29,3,17,30.051,26.5,30,33.78,32,0,20.279,19.413,10,19,4,13,0,0
5.6,6,16,282.38,3,21,38.92,31.5,39,44.109,42,0,25.807,24.488,10,24,5,18,0,0
5.6,0,13,235.27,1,18,27.276,31.0,27,30.322,30,0,19.551,19.161,13,21,5,9,0,0
5.6,0,16,292.39,3,21,33.018,34.5,33,36.574,36,0,24.716,23.38,16,24,5,12,0,0
5.6,1,17,306.42,4,22,35.902,35.5,36,39.989,39,0,26.478,24.907,16,25,5,14,0,0
5.6,6,19,332.45,3,25,44.796,39.0,45,50.896,49,0,30.364,28.816,13,29,6,20,0,0
5.6,3,16,292.38,3,22,38.029,35.0,38,43.066,41,0,25.841,24.762,13,25,6,16,0,0
5.6,6,22,391.49,5,29,51.301,43.5,51,57.777,55,0,34.273,32.946,16,33,7,22,0,0
8.444,9,23,442.54,6,32,59.832,43.5,59,67.153,62,3,37.915,36.65,14,35,9,27,0,0
4.1,0,13,210.25,0,16,26.065,25.0,26,28.867,28,1,18.512,17.865,13,18,3,10,0,0
5.6,1,21,361.47,4,26,42.08,40.5,42,46.661,45,0,30.932,29.322,20,29,5,16,0,0
4.903,3,19,378.5,5,27,45.316,41.0,45,50.61,48,0,31.705,30.191,16,30,8,18,0,0
4.903,4,20,392.53,6,28,48.2,42.0,48,54.026,51,0,33.466,31.718,16,31,8,20,0,0
5.367,3,19,378.5,6,27,45.316,41.0,45,50.61,48,0,31.705,30.191,16,30,8,18,0,0
5.8,5,20,319.44,3,24,44.585,36.0,45,50.441,48,1,30.324,28.52,15,27,4,21,0,0
4.854,3,19,393.52,6,28,47.418,42.0,47,53.109,50,0,32.711,31.213,16,31,9,19,0,0
5.0,2,19,333.37,3,25,40.589,38.5,40,44.614,43,2,27.949,27.369,17,28,6,15,0,0
5.0,2,24,409.48,4,31,50.349,48.5,50,55.817,54,2,35.267,34.224,22,35,7,19,0,0
5.0,2,19,412.26,3,26,40.818,39.5,40,44.456,43,2,29.301,28.395,17,29,7,14,0,0
5.0,4,25,427.49,5,32,53.567,49.0,53,59.069,57,2,36.688,35.665,21,36,7,21,0,0
5.0,2,19,332.39,3,25,41.363,38.5,41,45.903,44,2,28.5,27.676,17,28,6,16,0,0
5.0,2,19,349.44,3,25,40.338,38.5,40,44.325,43,2,29.142,27.842,17,28,6,15,0,0
5.0,7,17,306.41,4,23,40.912,35.5,41,46.481,44,0,27.603,26.289,9,26,6,18,1,1
6.174,6,30,557.1,11,40,69.52,58.5,69,77.544,72,2,47.392,45.422,23,43,10,29,1,1
5.6,7,21,450.38,5,30,52.832,41.5,52,59.081,55,0,35.75,34.128,14,33,9,22,0,0
5.6,3,23,371.47,3,28,48.912,42.0,49,54.651,52,2,33.779,32.235,20,31,5,21,0,0
5.6,3,23,371.47,3,28,48.912,42.0,49,54.651,52,2,33.779,32.235,20,31,5,21,0,0
7.2,2,22,357.44,3,27,46.029,41.0,46,51.235,49,2,32.017,30.708,20,30,5,19,0,0
5.6,6,15,342.41,3,25,43.887,36.5,43,49.481,46,1,27.762,27.235,9,28,10,18,0,0
6.5,4,30,469.58,3,36,58.789,58.0,59,65.438,64,1,42.336,40.563,25,41,6,23,1,1
5.6,11,24,447.6,5,33,62.087,46.0,62,70.474,66,3,40.324,38.374,13,37,9,29,0,0
8.119,7,28,498.71,7,36,65.618,52.5,66,74.102,70,1,45.273,42.352,21,40,8,30,0,0
7.319,7,29,481.65,6,36,66.65,53.0,67,75.308,71,2,44.836,42.385,22,40,7,31,0,0
8.745,13,34,634.74,12,46,83.418,63.5,82,92.987,87,4,53.569,52.097,21,51,12,36,0,0
5.0,9,27,543.67,7,38,67.265,53.5,66,75.247,70,1,44.296,42.722,18,42,11,28,0,0
8.495,12,26,460.64,6,34,65.752,47.5,66,74.806,69,3,42.841,40.406,13,37,8,32,1,1
9.081,5,24,480.59,8,34,58.956,49.0,58,65.112,61,1,39.557,38.115,19,37,10,24,0,0
6.921,4,20,332.44,3,25,44.803,38.0,45,50.524,48,2,30.569,29.015,16,28,5,20,0,0
9.161,12,26,460.64,6,34,65.752,47.5,66,74.806,69,3,42.841,40.406,13,37,8,32,1,1
5.639,0,15,394.4,4,27,41.229,40.5,39,44.878,41,3,26.966,27.334,15,29,12,12,0,0
4.523,12,25,554.6,7,36,69.469,46.5,69,78.156,71,3,46.176,42.995,13,38,11,33,0,0
6.0,3,21,422.46,7,31,51.291,46.0,50,56.864,53,1,33.665,33.344,18,34,10,19,0,0
6.046,4,22,434.5,8,32,54.989,47.0,54,61.149,57,1,35.943,35.202,18,35,10,22,0,0
6.222,5,23,447.55,8,33,58.647,48.0,58,65.853,61,1,38.256,37.035,18,36,10,25,0,0
6.0,5,22,448.54,8,33,57.865,48.0,57,64.936,60,1,37.5,36.53,17,36,11,24,0,0
7.699,5,22,449.52,8,33,57.091,48.0,56,63.647,59,1,36.949,36.223,17,36,11,23,0,0
8.0,4,22,435.48,8,32,54.214,47.0,53,59.86,56,1,35.392,34.895,18,35,10,21,0,0
8.097,6,24,479.54,11,35,61.309,50.0,60,67.9,63,1,39.369,38.664,18,38,11,25,0,0
7.046,6,24,479.54,11,35,61.309,50.0,60,67.9,63,1,39.369,38.664,18,38,11,25,0,0
6.398,10,28,532.66,11,39,71.734,55.0,71,80.434,75,1,46.205,44.551,18,43,11,32,0,0
7.523,9,27,518.63,11,38,68.851,54.0,68,77.019,72,1,44.443,43.024,18,42,11,30,0,0
7.0,4,22,435.48,8,32,54.214,47.0,53,59.86,56,1,35.392,34.895,18,35,10,21,0,0
7.301,3,23,429.47,7,32,52.003,49.0,51,57.236,54,1,35.176,34.654,19,35,9,19,1,1
7.398,4,23,434.49,8,32,54.996,47.0,54,60.777,57,1,36.148,35.401,19,35,9,22,0,0
6.699,5,20,423.48,8,31,53.207,45.5,52,59.232,55,1,34.188,33.697,15,34,11,21,0,0
6.0,5,21,422.49,8,31,53.989,45.5,53,60.149,56,1,34.943,34.202,16,34,10,22,0,0
6.222,5,25,459.55,8,34,59.654,49.5,59,66.481,62,1,39.46,38.234,20,37,9,25,0,0
6.523,4,25,445.51,8,33,56.778,48.5,56,62.694,59,1,37.904,36.906,21,36,8,23,0,0
6.0,4,25,444.53,8,33,57.552,48.5,57,63.983,60,1,38.455,37.213,21,36,8,24,0,0
6.0,4,25,445.51,8,33,56.778,48.5,56,62.694,59,1,37.904,36.906,21,36,8,23,0,0
6.0,4,25,460.53,8,34,58.88,49.5,58,65.192,61,1,38.909,37.928,21,37,9,24,0,0
6.0,4,24,481.57,9,34,58.182,50.5,57,63.823,60,2,39.006,37.808,20,37,10,23,0,0
6.0,4,25,445.51,8,33,56.778,48.5,56,62.694,59,1,37.904,36.906,21,36,8,23,0,0
6.0,4,25,445.51,8,33,56.778,48.5,56,62.694,59,1,37.904,36.906,21,36,8,23,0,0
7.523,4,25,445.51,8,33,56.778,48.5,56,62.694,59,1,37.904,36.906,21,36,8,23,0,0
6.523,4,24,418.48,8,31,53.676,45.5,53,59.196,56,0,35.898,34.885,20,34,7,22,0,0
6.222,5,23,433.51,8,32,55.771,47.0,55,62.066,58,1,36.699,35.707,18,35,9,23,0,0
6.0,5,23,433.51,8,32,55.771,47.0,55,62.066,58,1,36.699,35.707,18,35,9,23,0,0
6.0,3,21,405.45,7,30,50.003,45.0,49,55.236,52,1,33.176,32.654,18,33,9,19,0,0
6.0,4,22,419.48,7,31,52.887,46.0,52,58.651,55,1,34.938,34.181,18,34,9,21,0,0
6.097,5,23,433.51,8,32,55.771,47.0,55,62.066,58,1,36.699,35.707,18,35,9,23,0,0
7.398,5,24,432.52,8,32,56.552,47.0,56,62.983,59,1,37.455,36.213,19,35,8,24,0,0
7.0,6,24,447.54,8,33,58.654,48.0,58,65.481,61,1,38.46,37.234,18,36,9,25,0,0
6.0,6,24,446.56,8,33,59.429,48.0,59,66.77,62,1,39.012,37.541,18,36,9,26,0,0
4.4,0,8,180.6,0,12,17.622,18.0,17,18.98,18,2,12.847,12.639,8,13,4,5,0,0
6.0,5,25,427.55,6,32,57.0,47.5,57,64.062,60,1,38.551,36.805,20,35,7,25,0,0
6.0,5,25,427.55,6,32,57.0,47.5,57,64.062,60,1,38.551,36.805,20,35,7,25,0,0
6.0,5,26,426.56,6,32,57.781,47.5,58,64.979,61,1,39.307,37.31,21,35,6,26,0,0
5.6,6,15,270.37,3,20,37.92,28.0,38,43.109,40,3,24.807,23.488,9,22,5,18,0,0
8.611,1,20,375.49,3,27,44.214,42.0,44,49.112,47,1,31.699,30.17,19,30,7,17,0,0
5.6,2,17,307.39,3,23,40.138,34.5,40,45.192,42,1,27.051,25.983,15,25,6,17,0,0
7.9,2,22,356.46,4,27,46.803,42.0,47,52.524,50,1,32.569,31.015,20,30,5,20,0,0
5.6,3,15,637.87,2,21,33.32,28.0,33,35.865,34,0,30.023,25.328,12,22,6,12,0,0
5.6,8,22,425.54,7,31,58.538,42.0,58,65.896,60,3,37.222,35.761,14,33,9,27,0,0
5.6,3,18,411.34,3,29,42.887,42.5,40,47.021,43,0,27.222,28.568,15,32,11,11,0,0
8.3,3,25,441.6,4,32,54.865,49.0,55,61.358,58,1,38.983,36.75,20,35,7,23,2,1
5.6,2,17,346.34,2,25,39.574,36.5,38,43.713,40,1,25.858,26.111,15,27,8,13,0,0
5.6,1,11,278.32,4,19,30.116,28.5,29,32.787,30,3,20.318,19.998,10,20,8,10,0,0
7.7,4,23,415.56,2,30,50.982,46.0,51,56.943,55,1,36.222,34.223,19,34,7,21,0,0
6.5,2,21,426.44,3,31,49.661,46.0,48,55.125,51,1,32.631,32.681,19,34,10,17,0,0
4.0,2,8,163.2,0,12,21.284,17.0,21,23.95,22,4,13.756,13.359,6,13,4,9,0,0
5.6,0,14,288.32,3,20,29.982,31.0,29,32.336,31,1,21.551,21.15,14,22,6,9,0,0
5.6,3,17,343.44,6,24,41.549,36.5,41,45.95,43,2,28.358,27.083,14,26,7,17,0,0
5.6,5,27,471.55,8,35,60.662,52.0,60,67.109,63,3,40.665,39.433,22,38,8,25,0,0
5.6,5,21,362.47,4,27,49.014,40.0,49,55.149,52,2,32.784,31.256,16,30,6,22,0,0
5.6,10,31,526.75,9,39,76.403,55.0,77,87.052,80,2,50.126,46.987,21,42,8,38,0,0
5.6,2,19,406.37,3,29,45.298,41.0,43,49.677,45,4,29.012,29.736,17,31,10,14,0,0
5.6,1,17,379.28,3,24,36.884,36.0,36,39.715,38,2,27.852,26.475,16,26,7,12,0,0
5.6,1,13,288.16,1,17,27.069,27.0,27,29.997,29,0,20.415,19.197,12,19,4,10,0,0
8.4,4,27,530.66,8,38,64.832,56.5,64,71.899,68,1,44.114,42.443,23,42,11,26,0,0
7.5,3,27,501.03,8,36,61.425,54.5,61,68.505,65,1,42.415,40.653,24,40,9,25,0,0
5.6,4,22,405.54,4,29,49.167,45.5,49,55.073,53,0,34.705,32.892,18,33,7,20,0,0
7.2,1,14,234.28,1,18,28.058,30.0,28,31.239,30,0,20.307,19.666,12,20,4,10,1,1
5.6,1,21,418.52,4,30,48.643,46.0,48,53.82,51,2,34.159,32.906,20,33,9,18,0,0
6.7,0,24,444.52,4,32,49.836,50.5,49,54.578,53,1,35.847,34.773,24,36,8,17,0,0
5.6,5,21,408.45,5,30,49.149,45.0,48,54.785,52,0,32.694,32.297,16,34,9,18,0,0
5.6,4,20,375.48,6,28,49.225,42.5,49,55.604,52,1,32.824,31.552,16,31,8,21,0,0
5.6,0,15,348.21,3,23,35.018,34.5,34,38.25,36,1,25.244,24.584,15,25,8,11,0,0
5.6,5,23,442.48,7,32,54.436,46.0,53,60.583,56,0,35.358,34.933,18,35,9,21,0,0
5.6,6,22,376.5,4,28,51.898,41.0,52,58.564,55,2,34.546,32.783,16,31,6,24,0,0
5.9,11,29,467.67,6,35,67.207,51.0,68,76.514,73,0,45.143,42.197,18,40,6,33,0,0
8.3,2,24,427.57,3,31,51.982,48.0,52,57.943,55,1,37.222,35.223,20,34,7,21,2,1
5.6,2,17,293.35,3,22,37.262,33.0,37,41.405,39,3,25.495,24.655,15,24,5,15,0,0
5.6,1,16,316.36,3,24,36.582,40.5,36,40.817,40,0,25.568,25.225,15,28,8,12,0,0
5.6,4,16,267.36,4,20,36.818,29.0,37,41.611,39,1,24.801,23.467,12,22,4,17,0,0
5.6,7,17,322.41,2,24,42.24,37.0,42,47.69,45,1,28.057,27.004,9,27,7,18,1,1
5.6,3,24,477.59,8,34,57.847,51.0,57,63.986,60,5,39.347,37.894,21,37,10,23,0,0
5.6,4,14,256.34,3,19,35.036,28.5,35,39.694,37,0,23.046,21.961,10,21,5,16,0,0
5.6,6,26,442.56,8,33,59.109,49.0,59,66.189,63,1,39.762,38.025,20,37,7,26,0,0
7.8,0,24,444.52,4,32,49.836,50.5,49,54.578,53,1,35.847,34.773,24,36,8,17,0,0
5.6,3,23,400.54,6,29,48.88,46.0,49,54.444,53,0,35.216,33.202,20,33,6,20,0,0
7.0,6,17,308.43,3,23,42.796,34.0,43,48.896,46,0,28.364,26.816,11,26,6,20,0,0
5.6,7,19,325.42,1,24,44.098,34.5,44,49.781,47,2,29.262,27.904,12,27,5,20,0,0
5.6,1,21,411.94,5,28,46.429,41.0,46,51.099,48,2,33.523,31.723,20,30,7,18,0,0
5.6,4,16,323.41,1,23,36.447,36.0,36,40.282,40,1,26.176,25.116,12,27,7,13,0,0
5.9,1,16,350.3,2,25,37.203,36.5,35,40.637,37,1,24.034,24.968,15,27,9,10,0,0
8.4,2,21,444.43,3,32,50.174,47.0,48,55.464,51,1,32.569,33.064,19,35,11,16,0,0
6.3,5,33,589.78,10,43,74.047,65.5,74,82.809,79,1,51.733,49.088,28,48,10,31,0,0
5.6,1,19,367.88,4,25,39.334,39.5,39,43.06,42,1,29.546,27.954,18,28,6,14,0,0
8.801,2,25,454.6,4,33,55.083,51.5,55,61.441,59,1,39.228,37.245,23,37,8,22,0,0
4.0,0,11,214.22,1,16,23.687,26.0,23,26.163,25,0,16.483,16.523,11,18,5,7,0,0
4.5,1,13,209.27,1,16,26.84,26.0,27,30.156,29,0,19.063,18.171,12,18,3,11,0,0
5.6,4,24,398.5,6,30,52.014,46.0,52,58.149,56,1,35.784,34.256,20,34,6,22,0,0
5.6,0,14,301.28,2,22,32.513,33.5,31,35.626,33,1,21.642,22.169,14,24,8,9,0,0
5.6,1,16,366.75,2,25,37.014,36.5,35,40.242,37,1,24.955,25.412,15,27,9,10,0,0
6.7,0,19,361.46,3,26,41.331,41.0,41,45.697,44,1,29.938,28.643,19,29,7,15,0,0
4.2,2,9,220.28,0,15,23.578,23.5,23,25.953,25,2,16.648,16.041,7,17,6,8,0,0
5.6,4,28,497.67,7,36,62.96,56.0,63,70.398,67,2,43.961,41.518,24,40,8,27,0,0
5.6,15,27,522.73,7,38,76.05,50.0,76,86.843,80,2,47.83,45.218,12,42,11,38,0,0
5.6,3,14,254.32,3,19,33.153,29.5,33,37.279,35,1,22.284,21.434,11,21,5,14,0,0
8.3,3,27,529.65,6,38,62.909,57.5,62,69.903,66,2,43.387,41.891,24,42,11,24,0,0
6.9,11,24,451.61,6,33,63.156,45.0,63,72.02,67,2,40.569,38.569,13,37,9,30,0,0
5.6,3,15,268.35,4,20,36.036,30.0,36,40.694,38,0,24.046,22.961,12,22,5,16,0,0
5.6,1,19,285.37,4,22,36.607,35.0,37,40.986,39,0,26.586,25.225,17,24,3,15,1,1
8.2,6,23,449.01,6,32,57.091,47.0,57,64.667,61,0,38.756,36.74,17,36,9,25,0,0
5.6,0,12,289.7,1,20,29.255,30.0,28,31.685,30,2,20.318,20.418,12,22,8,8,0,0
5.6,7,22,408.53,7,30,55.287,43.5,55,62.691,58,0,36.04,34.494,15,33,8,25,0,0
4.1,0,5,169.59,0,11,15.833,17.0,15,17.436,16,0,10.886,10.935,5,12,6,4,0,0
5.6,0,12,269.31,1,19,26.796,31.0,26,29.036,29,1,19.892,19.536,12,22,7,7,0,0
5.6,3,23,404.93,7,29,50.011,44.0,50,55.883,53,1,35.188,33.369,20,32,6,21,0,0
5.6,16,28,521.74,7,38,76.832,50.0,77,87.76,81,2,48.586,45.723,12,42,10,39,0,0
4.0,2,15,223.29,1,17,29.731,26.0,30,33.199,32,1,21.029,19.897,13,19,2,13,0,0
5.6,4,23,415.56,3,30,50.982,46.0,51,56.943,55,1,36.222,34.223,19,34,7,21,0,0
4.0,2,10,203.22,0,15,24.611,22.0,24,27.159,26,2,16.21,16.074,8,17,5,9,0,0
