pXC50,nCsp2,Ui,Eig07_EA.bo.,Eta_betaP,Eig06_EA.bo.,piID,Eig03_EA.bo.,SM13_AEA.ri.,Eta_beta,C.,PCD,SpMaxA_AEA.ed.,Eta_FL,piPC03,piPC02,SM02_EA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,Eig12_AEA.bo.,Eig09_AEA.bo.,Eig07_AEA.bo.,Eig15_AEA.dm.,SpMaxA_EA,SpMaxA_EA.ed.,piPC05,piPC08,Eig09_EA.bo.,piPC01,SCBO,Eig08_AEA.bo.,Eig12_AEA.ri.,S0K,SpMaxA_AEA.ri.,Eig15_AEA.bo.,Eig12_EA.ri.,nBM,Uc,Eig12_EA,SM06_AEA.dm.,ZM2Kup,piPC04,SpMaxA_AEA.bo.,piPC06,SpAD_EA.bo.,ZM2Per,ZM2V,Eig08_EA,SM02_AEA.dm.,Chi1_EA.ed.,Eig13_AEA.bo.,Eig08_AEA.ed.,ZM2MulPer,Eig05_AEA.bo.,Mi,nC,Eig12_EA.bo.,SpMax6_Bh.m.,piPC07,Eig09_AEA.ri.,Eig14_AEA.bo.,Eig07_AEA.ed.,Eta_F,P_VSA_e_2,SM02_AEA.bo.,C.028,ZM1Per,Eig06_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.
4.1,9,2.585,0.575,10.0,0.802,7.733,2.799,2.799,20.5,41.4,1.72,0.399,4.477,4.294,3.701,4.382,1.681,1.681,-0.137,0.924,1.661,-1.615,0.189,0.651,5.366,5.923,-0.474,3.135,22.0,1.556,-0.423,64.0,0.246,-0.534,-1.268,8,3.17,-1.366,-1.366,257.896,4.823,0.266,5.604,31.859,380.53,242.0,0.139,0.139,2.69,-0.342,2.649,262.353,2.658,1.125,12,-1.644,2.583,5.797,0.597,-0.5,2.915,14.113,89.201,4.376,0,361.24,1.939,0.214,0.214
4.06,16,3.322,2.125,17.0,2.598,9.377,3.599,3.599,32.5,43.9,2.387,0.258,6.447,4.723,4.22,4.905,2.719,2.719,1.395,2.5,3.069,0.02,0.122,0.435,5.728,6.329,1.5,3.611,36.0,2.841,1.032,112.096,0.156,0.637,0.057,15,4.0,0.059,0.059,407.408,5.254,0.17,5.777,53.245,640.22,407.0,1.408,1.408,4.43,1.122,4.351,435.454,3.424,1.117,18,0.073,3.056,5.977,2.0,0.716,4.762,24.172,190.985,4.868,0,599.69,3.358,3.843,3.843
5.757,24,3.954,2.691,26.0,2.796,12.48,3.734,3.734,47.5,50.0,3.951,0.185,9.172,5.203,4.588,5.276,3.048,3.048,2.542,2.974,3.516,1.033,0.088,0.317,6.336,7.666,2.109,3.98,52.5,3.194,2.032,168.974,0.114,2.281,1.015,23,4.585,1.087,1.087,582.117,5.802,0.123,6.699,77.258,913.42,580.0,1.74,1.74,6.387,2.5,4.61,616.852,3.724,1.096,25,1.552,3.272,7.181,2.492,2.424,4.876,40.223,207.34,5.238,0,845.81,3.564,4.837,4.837
5.889,7,2.7,1.13,9.0,1.771,8.461,2.783,2.783,22.0,38.2,1.592,0.319,3.564,4.482,3.917,4.6,2.492,2.492,0.658,1.764,2.21,-0.588,0.152,0.545,5.49,6.428,0.549,3.35,27.5,2.153,0.36,86.439,0.195,-0.04,-0.445,8,3.17,-0.522,-0.522,333.441,5.088,0.213,5.893,40.756,541.06,340.0,0.972,0.972,3.57,0.44,3.455,361.088,3.323,1.116,13,-0.562,3.056,6.216,1.344,0.235,3.744,12.777,97.898,4.627,0,506.03,2.738,2.185,2.185
5.554,16,3.524,1.735,18.5,2.461,10.921,3.518,3.518,33.5,50.0,3.797,0.269,6.909,4.945,4.263,4.949,2.678,2.678,1.654,2.183,2.667,-0.764,0.128,0.442,6.16,7.711,1.037,3.597,35.5,2.301,1.322,98.107,0.167,0.454,0.386,21,4.459,0.441,0.441,397.907,5.614,0.184,6.683,52.858,586.22,375.0,0.825,0.825,4.307,1.087,3.274,398.311,3.308,1.109,17,0.522,2.811,7.214,1.672,0.968,3.809,22.483,126.639,4.806,4,520.89,3.148,1.966,1.966
4.0,14,3.17,1.837,15.5,2.253,8.569,2.921,2.921,30.25,41.0,2.11,0.258,6.566,4.477,4.043,4.727,2.474,2.474,1.2,2.5,2.769,-0.185,0.12,0.399,5.417,5.359,1.5,3.526,33.0,2.578,0.82,104.039,0.159,0.5,-0.079,14,3.907,-0.089,-0.089,389.211,4.958,0.174,5.276,46.855,574.32,365.0,1.125,1.125,4.543,0.713,3.582,393.325,3.269,1.139,16,-0.108,3.006,5.385,2.0,0.66,3.847,23.815,159.36,4.727,0,597.04,3.133,2.729,2.729
4.1,21,4.0,2.66,26.5,2.828,10.805,3.636,3.636,47.5,45.1,3.208,0.187,9.627,5.113,4.559,5.247,3.227,3.227,2.5,3.044,3.363,0.87,0.089,0.305,6.123,7.101,2.266,3.951,51.0,3.249,2.0,160.465,0.115,2.118,1.0,26,4.755,1.0,1.0,580.616,5.694,0.126,6.429,74.562,858.8,554.0,1.802,1.802,6.249,2.27,4.632,591.92,3.791,1.115,23,1.5,3.394,6.813,2.565,2.208,4.692,39.426,186.807,5.173,1,812.97,3.531,4.724,4.724
4.1,17,3.524,2.179,19.5,2.553,10.119,3.308,3.308,34.25,48.7,3.193,0.257,7.093,4.846,4.248,4.934,2.653,2.653,1.416,2.5,3.018,-0.376,0.121,0.417,6.045,6.803,1.5,3.624,36.5,2.596,0.994,106.039,0.159,0.634,0.023,19,4.322,0.024,0.024,379.574,5.443,0.177,6.231,53.316,561.31,361.0,1.14,1.14,4.525,0.935,3.655,385.44,3.336,1.109,19,0.031,2.88,6.572,2.0,0.751,4.254,25.864,125.302,4.838,1,534.4,3.285,2.687,2.687
5.079,8,2.907,1.776,10.5,2.368,8.285,3.039,3.039,27.5,34.1,1.45,0.27,5.309,4.515,4.047,4.732,2.738,2.738,1.0,2.02,2.765,0.078,0.129,0.463,5.442,6.299,0.867,3.512,32.5,2.433,0.652,116.096,0.165,0.519,-0.206,9,3.322,-0.243,-0.243,425.387,5.044,0.179,5.827,47.744,657.23,416.0,1.269,1.269,4.33,0.936,3.929,444.673,3.538,1.137,15,-0.268,3.103,6.082,1.717,0.664,4.457,21.976,108.716,4.781,0,650.1,3.208,3.069,3.069
4.1,9,2.807,2.524,11.0,2.628,8.021,3.412,3.412,32.25,34.6,1.232,0.26,7.051,4.588,4.197,4.883,2.684,2.684,2.0,2.5,3.315,0.51,0.117,0.506,5.314,6.035,1.5,3.689,39.0,2.651,1.68,152.955,0.145,0.771,0.669,9,3.322,0.71,0.71,649.787,4.962,0.149,5.432,57.412,948.15,568.0,1.517,1.517,5.053,1.496,4.48,610.405,3.577,1.177,18,0.829,3.322,5.769,2.139,1.209,5.075,40.877,108.138,5.014,0,1035.58,3.518,3.966,3.966
4.159,15,3.459,2.561,18.0,2.711,12.448,3.474,3.474,41.25,42.4,3.412,0.186,7.957,5.184,4.53,5.218,3.142,3.142,2.464,2.86,3.331,1.077,0.089,0.332,6.498,8.08,1.972,3.912,49.0,3.065,2.078,164.974,0.115,2.0,1.076,18,4.248,1.084,1.084,578.742,5.872,0.125,7.017,74.239,855.01,541.0,1.776,1.776,6.375,2.408,4.657,569.938,3.761,1.124,25,1.415,3.358,7.569,2.444,2.127,4.972,34.194,104.301,5.204,1,772.42,3.55,5.172,5.172
4.0,17,3.524,2.181,20.0,2.459,10.35,3.448,3.448,39.25,42.9,2.79,0.228,8.107,4.897,4.334,5.021,2.79,2.79,2.263,2.721,3.026,0.278,0.109,0.393,5.934,6.857,1.766,3.75,41.5,2.893,1.853,126.606,0.139,1.011,0.856,19,4.322,0.934,0.934,439.498,5.474,0.151,6.157,61.17,658.33,418.0,1.463,1.463,5.36,1.893,4.014,447.522,3.591,1.127,21,1.189,3.08,6.466,2.28,1.266,4.77,31.233,138.102,4.992,0,588.73,3.299,3.249,3.249
4.0,14,3.392,2.383,18.5,2.427,10.936,3.178,3.178,34.5,43.9,3.574,0.241,6.497,4.846,4.248,4.934,2.474,2.474,1.378,2.361,3.118,-0.438,0.114,0.38,6.005,7.076,1.286,3.624,36.5,2.767,0.99,108.039,0.15,0.882,0.041,18,4.248,0.043,0.043,374.186,5.462,0.167,6.266,54.159,556.25,359.0,1.27,1.27,4.636,0.969,3.774,378.96,3.214,1.127,18,0.056,2.856,6.636,2.172,0.916,4.137,23.56,93.1,4.854,0,493.26,3.187,2.828,2.828
5.532,17,3.644,2.46,19.5,2.524,11.307,3.519,3.519,38.25,46.8,3.551,0.211,7.294,5.066,4.419,5.106,2.747,2.747,2.118,2.66,3.155,0.618,0.1,0.345,6.243,7.838,1.72,3.795,43.5,2.815,1.618,130.606,0.13,1.618,0.618,22,4.524,0.635,0.635,460.969,5.708,0.144,6.782,64.69,682.08,437.0,1.414,1.414,5.575,2.118,4.098,461.087,3.486,1.116,22,0.939,3.059,7.33,2.226,2.117,4.549,27.726,128.54,5.026,4,604.71,3.331,3.55,3.55
4.0,10,3.17,1.999,14.5,2.118,10.761,3.149,3.149,32.75,37.0,3.239,0.232,6.622,4.817,4.216,4.902,2.324,2.324,2.0,2.567,2.856,-0.105,0.109,0.377,5.895,7.01,1.572,3.638,37.0,2.705,1.723,118.211,0.142,0.839,0.733,16,4.087,0.78,0.78,411.043,5.406,0.159,6.16,54.627,615.22,395.0,1.414,1.414,5.235,1.423,3.68,420.464,3.051,1.142,17,0.968,3.165,6.58,2.231,1.172,4.067,22.304,79.11,4.852,1,581.77,2.95,3.207,3.207
4.0,10,3.087,1.891,13.0,2.357,10.631,3.181,3.181,28.5,41.0,3.241,0.276,5.5,4.902,4.193,4.879,2.6,2.6,1.438,2.019,2.768,-0.714,0.132,0.462,6.252,7.795,0.829,3.512,32.5,2.217,1.126,98.107,0.17,0.504,0.197,15,4.0,0.218,0.218,361.572,5.609,0.191,6.764,49.777,538.95,341.0,1.176,1.176,4.138,0.908,3.513,362.959,3.291,1.129,16,0.259,2.867,7.302,1.535,0.731,4.122,19.068,73.946,4.76,3,484.1,3.178,2.606,2.606
4.0,13,3.0,2.023,15.0,2.125,9.367,3.053,3.053,32.5,40.8,1.997,0.214,6.497,4.554,4.111,4.796,2.482,2.482,1.713,2.5,2.886,0.151,0.102,0.32,5.474,5.851,1.5,3.611,36.0,2.801,1.422,114.211,0.134,0.962,0.452,13,3.807,0.489,0.489,367.883,5.043,0.148,5.445,52.36,539.93,347.0,1.412,1.412,5.261,1.375,3.591,370.211,3.349,1.128,20,0.575,3.001,5.661,2.091,1.072,4.355,21.893,114.551,4.836,0,506.2,3.037,3.036,3.036
5.932,21,3.755,2.585,22.5,2.734,12.672,3.66,3.66,43.0,50.0,3.694,0.203,8.405,5.276,4.575,5.263,3.235,3.235,2.505,3.055,3.327,0.993,0.097,0.363,6.546,7.904,2.153,3.902,48.5,3.249,2.0,133.58,0.125,1.749,1.0,21,4.459,1.0,1.0,539.357,5.948,0.135,6.938,73.745,823.95,516.0,1.888,1.888,5.514,2.5,5.123,545.026,3.817,1.109,25,1.5,3.03,7.42,2.684,2.04,5.354,36.259,147.849,5.205,0,699.73,3.496,5.832,5.832
4.017,1,2.585,0.764,5.5,1.117,6.725,2.094,2.094,14.5,38.1,1.578,0.274,2.321,3.497,3.332,4.007,1.434,1.434,0.268,1.164,1.924,-1.497,0.132,0.305,3.85,4.382,-0.155,3.135,22.0,1.304,-0.017,73.059,0.191,-0.574,-0.983,3,2.0,-1.0,-1.0,156.667,3.689,0.237,4.06,26.538,217.48,150.0,0.254,0.254,4.168,-0.072,2.187,160.498,2.482,1.129,16,-1.321,2.867,4.143,0.864,-0.179,2.567,7.407,103.203,4.263,0,248.18,2.311,0.456,0.456
5.462,22,3.907,2.685,27.0,2.772,11.123,3.616,3.616,47.5,47.3,3.651,0.172,9.512,5.002,4.472,5.159,2.951,2.951,2.528,2.946,3.404,1.0,0.082,0.257,6.009,6.761,2.041,3.932,50.0,3.264,2.0,168.974,0.109,1.95,0.994,22,4.524,1.0,1.0,521.607,5.486,0.12,6.121,70.01,780.35,507.0,1.671,1.671,6.323,2.5,4.424,541.31,3.645,1.11,26,1.475,3.277,6.442,2.42,2.178,4.889,39.03,182.982,5.15,0,779.44,3.505,4.386,4.386
4.1,9,3.248,0.927,15.5,1.774,8.646,3.33,3.33,27.25,37.5,2.677,0.346,5.379,4.496,3.966,4.649,2.157,2.157,0.377,1.474,2.215,-1.434,0.163,0.541,5.411,6.205,0.178,3.35,27.5,2.118,-0.025,69.059,0.213,-0.227,-1.0,14,3.907,-1.0,-1.0,365.7,5.038,0.237,5.617,39.732,527.4,345.0,0.596,0.596,3.295,0.186,3.0,372.315,3.029,1.141,9,-1.442,2.645,5.962,0.993,-0.118,3.143,17.229,54.235,4.551,0,534.42,2.728,1.372,1.372
4.1,7,2.322,1.5,8.5,1.737,7.324,2.768,2.768,22.0,36.4,1.082,0.289,4.387,4.131,3.75,4.431,1.879,1.879,0.565,1.694,2.5,-0.997,0.136,0.436,4.906,4.942,0.584,3.296,26.0,2.114,0.436,82.239,0.179,0.173,-0.433,7,3.0,-0.478,-0.478,293.817,4.476,0.189,4.813,37.603,420.14,271.0,0.732,0.732,3.754,0.5,3.414,289.559,2.879,1.134,16,-0.486,2.899,4.845,1.405,0.374,3.508,15.476,94.667,4.538,0,413.84,2.731,1.788,1.788
4.0,5,2.459,0.303,7.0,0.927,6.81,2.566,2.566,16.0,34.6,1.268,0.513,2.961,4.195,3.644,4.324,1.336,1.336,-0.23,0.146,1.649,-1.883,0.238,0.913,4.753,4.929,-1.0,3.02,19.5,0.549,-0.714,51.303,0.301,-0.893,-1.358,7,3.0,-1.618,-1.618,235.123,4.63,0.32,5.008,29.552,355.47,229.0,-0.758,-0.758,2.3,-0.526,2.781,246.189,2.39,1.131,9,-1.936,2.499,5.096,0.0,-0.598,3.0,9.111,81.751,4.307,0,330.89,2.118,-1.953,-1.953
4.0,7,2.807,1.417,10.5,1.5,7.488,2.855,2.855,22.5,33.3,1.344,0.339,3.821,4.163,3.882,4.564,2.169,2.169,0.604,1.307,2.427,-1.0,0.158,0.555,5.001,5.304,0.076,3.332,27.0,2.0,0.0,76.439,0.201,0.105,-0.921,9,3.322,-1.0,-1.0,266.925,4.584,0.229,5.167,39.045,446.9,292.0,1.0,1.0,3.701,0.5,3.247,314.474,3.027,1.13,13,-1.0,2.866,5.339,1.005,0.296,3.414,14.686,106.169,4.57,0,428.76,2.5,2.136,2.136
4.1,13,3.17,1.5,16.5,2.419,8.471,2.948,2.948,30.25,41.7,2.141,0.241,5.969,4.363,3.989,4.673,2.51,2.51,0.722,1.885,2.5,-0.275,0.118,0.329,5.351,5.49,0.784,3.466,31.0,2.5,0.246,94.107,0.159,0.5,-0.477,14,3.907,-0.634,-0.634,331.164,4.846,0.177,5.213,43.868,508.34,334.0,1.0,1.0,4.235,0.659,3.414,357.156,3.3,1.119,15,-0.736,3.014,5.377,1.537,0.5,3.414,19.947,127.395,4.654,0,527.34,3.23,2.275,2.275
6.387,13,3.459,2.417,17.0,2.763,12.332,3.625,3.625,37.25,40.4,3.886,0.21,6.596,5.224,4.483,5.17,3.013,3.013,2.118,2.485,3.208,0.689,0.101,0.367,6.623,8.412,1.481,3.807,44.0,2.887,1.725,141.207,0.129,1.671,0.728,20,4.392,0.842,0.842,489.119,5.977,0.143,7.224,67.294,782.5,490.0,1.544,1.544,5.72,2.069,4.629,519.333,3.657,1.119,21,0.993,3.178,7.835,2.17,1.772,4.999,25.961,136.572,5.063,2,696.12,3.387,4.414,4.414
4.322,13,3.322,1.5,17.5,2.188,8.526,3.454,3.454,30.25,38.9,2.264,0.323,5.996,4.46,4.094,4.779,2.515,2.515,0.724,1.424,2.5,-1.0,0.151,0.53,5.422,5.663,0.228,3.466,31.0,2.5,0.153,82.239,0.192,0.5,-0.841,15,4.0,-0.849,-0.849,323.471,4.936,0.218,5.474,45.103,516.8,338.0,1.0,1.0,3.736,0.562,3.414,365.13,3.276,1.126,14,-1.127,2.687,5.645,1.15,0.5,3.414,21.584,104.968,4.691,0,489.3,3.023,2.275,2.275
5.329,22,3.954,2.424,26.0,2.706,13.041,3.91,3.91,46.25,48.9,4.952,0.185,9.037,5.235,4.59,5.278,3.173,3.173,2.529,3.015,3.175,0.595,0.089,0.287,6.368,7.606,2.264,3.922,49.5,3.032,2.014,149.58,0.116,1.847,1.009,28,4.858,1.0,1.0,523.591,5.854,0.129,6.731,74.001,818.48,526.0,1.532,1.532,5.889,2.355,4.414,559.481,3.753,1.108,23,1.478,3.304,7.164,2.453,2.118,4.469,33.958,179.198,5.152,1,742.59,3.401,4.312,4.312
4.948,16,3.644,1.984,21.0,2.471,10.186,3.685,3.685,37.75,45.0,3.116,0.248,8.012,4.948,4.321,5.007,3.008,3.008,1.644,2.5,2.888,-0.108,0.116,0.415,5.958,6.729,1.5,3.701,39.5,2.506,1.34,114.211,0.152,0.811,0.398,20,4.392,0.455,0.455,490.115,5.499,0.166,6.178,57.725,700.45,450.0,1.0,1.0,4.569,1.636,3.687,484.465,3.643,1.119,18,0.523,2.924,6.465,2.0,1.169,4.397,30.858,130.215,4.922,2,670.45,3.211,2.275,2.275
5.907,5,2.585,0.472,7.5,1.173,7.496,2.797,2.797,19.5,33.3,1.361,0.378,3.925,4.234,3.689,4.369,1.796,1.796,0.0,0.864,1.925,-1.251,0.18,0.618,5.136,5.609,-0.447,3.178,23.0,1.807,-0.259,69.487,0.233,-0.487,-1.215,5,2.585,-1.248,-1.248,311.89,4.663,0.253,5.357,32.863,457.59,289.0,0.286,0.286,2.92,-0.144,2.912,310.318,2.836,1.152,10,-1.39,2.8,5.549,0.567,-0.255,3.185,14.245,47.08,4.454,0,418.71,2.268,0.673,0.673
4.0,13,3.248,1.387,14.5,1.919,8.602,2.816,2.816,27.5,48.3,2.024,0.317,5.647,4.586,4.003,4.687,2.452,2.452,0.926,2.118,2.48,-0.948,0.15,0.531,5.353,5.76,0.927,3.45,30.5,2.349,0.463,76.439,0.195,0.028,-0.606,14,3.907,-0.585,-0.585,353.285,5.084,0.208,5.453,44.029,546.0,345.0,0.914,0.914,3.706,0.606,3.435,368.734,3.234,1.101,14,-0.833,2.683,5.613,1.546,0.303,3.618,19.2,124.278,4.68,0,524.07,2.806,2.21,2.21
4.1,9,3.087,1.804,13.5,2.096,8.914,3.367,3.367,30.0,37.0,1.994,0.287,5.458,4.711,4.186,4.871,2.354,2.354,1.119,2.459,2.775,-0.284,0.132,0.518,5.704,6.33,1.413,3.57,34.5,2.5,0.688,104.096,0.164,0.506,-0.145,13,3.807,-0.222,-0.222,394.159,5.262,0.186,6.008,52.027,648.34,410.0,1.112,1.112,4.593,1.0,3.926,438.256,3.185,1.127,17,-0.277,3.145,6.184,2.0,0.835,4.289,22.518,93.745,4.834,0,611.33,3.028,2.94,2.94
4.0,12,3.322,1.722,17.5,2.065,8.887,3.142,3.142,34.25,38.3,1.903,0.274,6.593,4.654,4.205,4.89,2.682,2.682,1.731,2.5,2.685,-0.094,0.126,0.487,5.509,5.606,1.5,3.638,37.0,2.5,1.436,116.211,0.158,0.735,0.483,15,4.0,0.557,0.557,390.582,5.059,0.176,5.467,54.045,623.46,402.0,1.044,1.044,4.771,1.138,3.546,431.297,3.428,1.127,18,0.624,3.03,5.668,2.0,1.0,3.981,26.252,115.179,4.875,0,588.71,3.016,2.587,2.587
