pXC50,nDB,N.,nBM,nN,AMW,Mp,nAB,H.,C.,Me,Mi,Mv,MW,nAT,nB
5.013,0,8.1,11,3,6.631,0.637,11,51.4,37.8,0.992,1.136,0.594,245.36,37,0
6.329,1,8.2,12,4,7.03,0.633,11,49.0,36.7,1.005,1.138,0.602,344.46,49,0
7.337,0,7.9,17,3,7.352,0.679,17,44.7,44.7,0.995,1.121,0.644,279.37,38,0
5.06,3,6.3,21,3,10.767,0.742,18,33.3,41.7,1.043,1.117,0.719,516.81,48,0
5.18,2,8.3,20,3,12.921,0.813,18,25.0,44.4,1.058,1.108,0.787,465.15,36,0
4.301,2,11.1,17,5,8.3,0.675,15,42.2,37.8,1.017,1.132,0.647,373.48,45,0
4.65,2,7.7,20,3,11.404,0.774,18,30.8,43.6,1.042,1.112,0.745,444.74,39,0
4.4,3,5.0,21,2,11.843,0.777,18,27.5,45.0,1.055,1.107,0.761,473.73,40,0
4.96,3,2.4,21,1,11.53,0.776,18,29.3,46.3,1.048,1.103,0.755,472.74,41,0
5.097,0,2.4,11,1,6.522,0.66,11,51.2,43.9,0.982,1.119,0.61,267.4,41,0
5.523,1,2.4,7,1,7.769,0.68,6,50.0,40.5,0.995,1.123,0.623,326.29,42,0
5.0,0,2.9,6,1,8.178,0.687,6,48.6,40.0,1.001,1.124,0.632,286.22,35,0
5.371,0,4.8,6,1,6.343,0.658,6,52.4,42.9,0.977,1.123,0.603,133.21,21,0
4.398,5,8.1,17,3,11.791,0.798,12,24.3,51.4,1.049,1.115,0.784,436.28,37,0
7.319,0,3.6,5,2,5.867,0.623,5,57.1,37.5,0.978,1.133,0.565,328.55,56,0
6.0,1,4.9,13,2,6.936,0.653,12,48.8,41.5,0.995,1.126,0.615,284.39,41,0
5.889,1,0.0,1,0,5.444,0.616,0,60.4,37.7,0.971,1.129,0.55,288.52,53,0
6.097,3,0.0,4,0,6.425,0.642,0,52.8,41.5,0.988,1.122,0.595,340.5,53,0
4.187,4,8.7,27,4,9.141,0.719,23,34.8,45.7,1.024,1.114,0.702,420.48,46,0
4.347,2,8.2,25,4,8.256,0.708,23,40.8,44.9,1.004,1.115,0.672,404.53,49,0
5.155,1,8.7,12,4,7.446,0.673,11,47.8,39.1,0.995,1.127,0.625,342.51,46,0
5.0,1,8.3,12,4,7.719,0.676,11,45.8,39.6,1.002,1.126,0.634,370.52,48,0
5.301,1,6.9,12,4,6.665,0.626,11,51.7,36.2,0.998,1.138,0.588,386.55,58,0
5.523,0,9.5,22,4,9.126,0.74,22,38.1,47.6,1.006,1.114,0.701,383.3,42,0
5.854,1,6.8,12,4,6.755,0.632,11,50.8,37.3,0.998,1.136,0.595,398.56,59,0
5.301,1,6.5,12,4,6.655,0.63,11,51.6,37.1,0.996,1.136,0.59,412.59,62,0
5.921,1,6.2,12,4,6.563,0.628,11,52.3,36.9,0.995,1.136,0.587,426.62,65,0
4.886,0,9.5,22,4,9.126,0.74,22,38.1,47.6,1.006,1.114,0.701,383.3,42,0
5.0,2,6.5,19,3,7.728,0.683,17,45.7,41.3,1.0,1.121,0.64,355.5,46,0
4.854,3,3.4,27,3,7.726,0.665,24,45.5,42.0,1.01,1.132,0.634,679.87,88,0
5.0,0,8.6,16,5,8.994,0.666,16,41.4,36.2,1.037,1.159,0.645,521.64,58,0
5.398,0,8.6,16,5,8.994,0.666,16,41.4,36.2,1.037,1.159,0.645,521.64,58,0
4.824,2,7.3,19,4,7.538,0.662,17,47.3,38.2,1.003,1.129,0.622,414.58,55,0
4.907,12,5.7,12,12,6.236,0.598,0,56.6,31.1,0.997,1.146,0.553,1322.05,212,0
5.0,2,4.8,14,2,7.535,0.677,12,47.6,40.5,0.997,1.121,0.629,316.46,42,0
5.046,2,4.8,14,2,7.963,0.675,12,45.2,40.5,1.01,1.129,0.638,334.45,42,0
5.0,2,4.8,14,2,7.963,0.675,12,45.2,40.5,1.01,1.129,0.638,334.45,42,0
5.0,2,4.2,14,2,7.177,0.665,12,50.0,39.6,0.993,1.123,0.614,344.52,48,0
5.0,2,7.0,15,3,7.941,0.69,12,44.2,41.9,1.002,1.12,0.649,341.47,43,0
5.0,2,4.4,14,2,7.344,0.671,12,48.9,40.0,0.995,1.122,0.621,330.49,45,0
5.0,2,4.4,14,2,7.344,0.671,12,48.9,40.0,0.995,1.122,0.621,330.49,45,0
5.0,2,4.8,14,2,7.963,0.675,12,45.2,40.5,1.01,1.129,0.638,334.45,42,0
5.0,2,4.4,14,2,7.344,0.671,12,48.9,40.0,0.995,1.122,0.621,330.49,45,0
5.0,2,4.8,14,2,7.963,0.675,12,45.2,40.5,1.01,1.129,0.638,334.45,42,0
5.0,2,4.4,14,2,7.344,0.671,12,48.9,40.0,0.995,1.122,0.621,330.49,45,0
5.0,2,4.4,14,2,7.344,0.671,12,48.9,40.0,0.995,1.122,0.621,330.49,45,0
5.0,2,4.8,14,2,8.355,0.697,12,45.2,40.5,1.005,1.119,0.648,350.9,42,0
5.0,2,4.8,14,2,7.963,0.675,12,45.2,40.5,1.01,1.129,0.638,334.45,42,0
4.398,2,7.1,25,4,8.011,0.69,23,42.9,42.9,1.005,1.12,0.655,448.59,56,0
7.796,0,5.1,17,2,10.199,0.778,17,38.5,46.2,1.008,1.104,0.716,397.77,39,0
4.699,0,4.7,17,3,7.157,0.651,17,50.0,39.1,0.998,1.13,0.608,458.05,64,0
5.0,0,14.7,11,5,8.83,0.686,11,44.1,35.3,1.013,1.143,0.645,300.22,34,0
4.398,2,10.7,18,6,7.26,0.653,16,46.4,39.3,1.002,1.135,0.622,406.54,56,0
4.398,2,8.7,14,4,8.444,0.66,12,39.1,41.3,1.032,1.144,0.657,388.41,46,0
6.222,1,1.8,8,1,6.273,0.628,6,54.4,38.6,0.988,1.129,0.58,357.54,57,0
4.0,2,6.1,14,3,7.132,0.664,12,46.9,42.9,0.996,1.124,0.628,349.47,49,0
4.268,0,7.3,17,3,7.996,0.693,17,43.9,43.9,1.001,1.121,0.654,327.84,41,0
5.0,1,8.3,17,4,7.636,0.687,16,45.8,41.7,0.995,1.122,0.64,366.53,48,0
5.301,0,9.8,22,6,7.223,0.67,22,45.9,42.6,0.994,1.127,0.633,440.6,61,0
6.0,0,8.5,22,5,7.213,0.676,22,45.8,44.1,0.992,1.123,0.638,425.58,59,0
5.301,1,7.8,23,5,7.307,0.673,22,45.3,43.8,0.996,1.123,0.638,467.62,64,0
5.0,0,9.8,22,6,7.223,0.67,22,45.9,42.6,0.994,1.127,0.633,440.6,61,0
5.0,1,8.7,23,6,7.198,0.664,22,46.4,42.0,0.996,1.128,0.629,496.67,69,0
5.046,1,9.1,23,6,7.313,0.668,22,45.5,42.4,0.998,1.127,0.635,482.64,66,0
5.046,1,9.5,23,6,7.438,0.672,22,44.4,42.9,1.0,1.127,0.641,468.61,63,0
5.097,1,8.3,23,6,7.093,0.661,22,47.2,41.7,0.995,1.128,0.624,510.7,72,0
5.155,1,8.6,23,6,7.267,0.669,22,45.7,42.9,0.996,1.126,0.634,508.68,70,0
5.523,1,8.2,23,6,7.16,0.666,22,46.6,42.5,0.995,1.126,0.629,522.71,73,0
5.0,1,8.2,23,6,7.16,0.666,22,46.6,42.5,0.995,1.126,0.629,522.71,73,0
5.398,1,8.6,23,6,7.267,0.669,22,45.7,42.9,0.996,1.126,0.634,508.68,70,0
5.222,1,8.2,23,6,7.16,0.666,22,46.6,42.5,0.995,1.126,0.629,522.71,73,0
5.0,1,7.9,23,6,7.062,0.663,22,47.4,42.1,0.994,1.127,0.624,536.74,76,0
5.0,1,8.1,23,6,7.28,0.663,22,45.9,41.9,1.0,1.127,0.63,538.71,74,0
5.398,0,8.5,22,5,7.213,0.676,22,45.8,44.1,0.992,1.123,0.638,425.58,59,0
4.921,0,6.8,11,3,8.079,0.661,11,45.5,38.6,1.017,1.15,0.629,355.47,44,0
5.854,0,5.7,11,3,6.483,0.652,11,54.7,37.7,0.979,1.129,0.587,343.59,53,0
8.0,0,6.4,17,3,7.181,0.687,17,48.9,42.6,0.983,1.118,0.628,337.53,47,0
7.26,0,7.9,17,3,9.195,0.705,17,36.8,44.7,1.029,1.141,0.687,349.41,38,0
5.523,3,5.8,19,5,7.114,0.651,16,47.7,40.7,1.001,1.128,0.618,611.81,86,0
5.301,0,7.0,16,5,6.757,0.652,16,52.1,38.0,0.987,1.13,0.598,479.76,71,0
5.0,0,8.1,16,5,7.93,0.659,16,45.2,38.7,1.015,1.146,0.629,491.64,62,0
5.222,0,9.8,17,6,8.01,0.666,17,44.3,39.3,1.014,1.146,0.636,488.64,61,0
5.398,0,8.5,16,5,8.095,0.662,16,44.1,39.0,1.018,1.146,0.635,477.61,59,0
4.523,1,12.5,19,8,7.635,0.657,18,43.8,39.1,1.01,1.137,0.634,488.61,64,0
7.398,1,7.7,18,3,11.004,0.775,17,33.3,46.2,1.029,1.112,0.738,429.14,39,0
5.0,0,12.1,22,8,7.373,0.657,22,45.5,39.4,1.003,1.136,0.627,486.64,66,0
4.456,1,10.4,14,5,8.155,0.649,12,41.7,39.6,1.028,1.155,0.64,391.44,48,0
4.523,3,4.4,15,3,6.995,0.651,12,48.5,41.2,0.998,1.126,0.615,475.64,68,0
5.301,1,7.7,22,4,8.126,0.69,21,42.3,42.3,1.008,1.121,0.657,422.55,52,0
5.854,1,7.9,11,5,6.533,0.629,10,52.4,36.5,0.993,1.138,0.586,411.61,63,0
5.347,4,6.7,16,3,8.93,0.695,12,37.8,44.4,1.027,1.127,0.681,401.85,45,0
4.854,0,10.5,23,6,8.045,0.68,23,40.4,43.9,1.013,1.131,0.661,458.54,57,0
4.602,4,9.8,16,4,8.947,0.716,12,36.6,46.3,1.017,1.118,0.695,366.83,41,0
5.0,1,1.8,13,1,6.791,0.669,12,49.1,45.5,0.986,1.115,0.624,373.53,55,0
5.0,1,2.0,13,1,6.814,0.668,12,49.0,45.1,0.987,1.116,0.623,347.49,51,0
5.0,2,1.9,14,1,7.085,0.67,12,47.2,45.3,0.994,1.115,0.632,375.5,53,0
5.0,1,2.0,13,1,7.132,0.668,12,46.9,44.9,0.996,1.116,0.632,349.46,49,0
4.886,4,6.7,16,4,8.083,0.672,12,43.3,41.7,1.014,1.131,0.646,485.0,60,0
5.187,4,8.9,22,5,8.428,0.708,18,39.3,46.4,1.008,1.118,0.68,471.98,56,0
5.0,1,1.8,13,1,6.904,0.658,12,49.1,43.9,0.994,1.124,0.618,393.54,57,0
5.0,1,1.8,13,1,6.589,0.659,12,50.9,43.9,0.985,1.118,0.611,375.55,57,0
5.0,2,1.8,14,1,6.791,0.669,12,49.1,45.5,0.986,1.115,0.624,373.53,55,0
5.0,1,4.6,11,3,6.302,0.632,10,53.8,38.5,0.986,1.132,0.583,409.63,65,0
5.0,4,9.8,20,5,7.833,0.687,16,41.2,45.1,1.005,1.122,0.662,399.49,51,0
5.0,3,7.0,19,4,7.273,0.672,16,45.6,43.9,0.996,1.122,0.637,414.55,57,0
4.523,2,9.1,18,5,7.737,0.654,16,43.6,40.0,1.015,1.138,0.635,425.51,55,0
5.0,3,5.8,19,3,7.413,0.683,16,44.2,46.2,0.996,1.117,0.649,385.5,52,0
5.0,3,5.5,19,3,7.264,0.678,16,45.5,45.5,0.994,1.118,0.642,399.53,55,0
5.0,3,6.9,19,4,7.423,0.668,16,44.8,43.1,1.002,1.124,0.638,430.55,58,0
5.215,1,6.9,14,5,7.551,0.645,12,45.8,40.3,1.014,1.149,0.622,543.67,72,0
5.301,2,5.8,19,3,7.413,0.683,17,44.2,46.2,0.996,1.117,0.649,385.5,52,0
4.569,3,7.1,19,4,8.081,0.673,16,41.1,44.6,1.018,1.139,0.656,452.52,56,0
4.398,3,7.5,19,4,8.555,0.713,16,41.5,45.3,1.004,1.118,0.674,453.4,53,0
5.0,3,6.1,19,3,7.581,0.689,16,42.9,46.9,0.998,1.115,0.658,371.47,49,0
5.0,3,5.5,19,3,7.264,0.678,16,45.5,45.5,0.994,1.118,0.642,399.53,55,0
4.638,2,12.5,24,6,8.759,0.685,22,35.4,43.8,1.029,1.134,0.684,420.44,48,0
4.959,2,2.9,14,1,8.041,0.703,12,44.1,44.1,1.001,1.11,0.657,273.38,34,0
5.523,4,0.0,4,0,6.83,0.65,0,52.5,39.3,0.992,1.121,0.598,416.63,61,0
4.301,3,4.4,15,2,7.476,0.672,12,44.4,44.4,1.003,1.119,0.643,336.42,45,0
4.0,1,6.3,19,3,8.988,0.678,18,35.4,45.8,1.041,1.146,0.683,431.42,48,0
5.398,6,3.6,12,2,7.473,0.631,6,46.4,37.5,1.02,1.133,0.614,418.49,56,0
4.0,1,8.0,19,4,8.569,0.672,18,38.0,44.0,1.031,1.143,0.668,428.45,50,0
4.0,1,8.5,19,4,8.402,0.7,18,40.4,44.7,1.01,1.121,0.671,394.89,47,0
4.208,0,7.3,17,3,7.996,0.693,17,43.9,43.9,1.001,1.121,0.654,327.84,41,0
4.409,0,6.4,17,3,7.572,0.68,17,46.8,42.6,0.996,1.123,0.636,355.9,47,0
4.62,0,6.4,17,3,7.572,0.68,17,46.8,42.6,0.996,1.123,0.636,355.9,47,0
5.5,0,6.3,11,2,6.76,0.65,11,50.0,40.6,0.991,1.129,0.608,216.31,32,0
4.785,0,9.5,7,2,6.962,0.669,6,47.6,42.9,0.988,1.127,0.626,146.21,21,0
5.105,0,6.1,12,2,6.919,0.66,12,48.5,42.4,0.991,1.125,0.62,228.32,33,0
6.5,0,13.3,11,4,7.276,0.643,11,46.7,36.7,1.005,1.143,0.614,218.29,30,0
4.699,0,8.5,17,4,7.116,0.667,17,46.8,42.6,0.993,1.126,0.629,334.46,47,0
5.447,0,2.9,12,1,6.686,0.663,12,50.0,44.1,0.985,1.119,0.616,227.33,34,0
5.259,0,3.2,11,1,7.009,0.653,11,48.4,41.9,0.998,1.123,0.617,217.29,31,0
4.848,0,3.2,11,1,7.009,0.653,11,48.4,41.9,0.998,1.123,0.617,217.29,31,0
4.728,0,6.3,11,2,6.76,0.65,11,50.0,40.6,0.991,1.129,0.608,216.31,32,0
5.706,0,5.7,11,2,6.581,0.644,11,51.4,40.0,0.989,1.129,0.599,230.34,35,0
6.319,0,2.9,11,1,6.804,0.647,11,50.0,41.2,0.995,1.125,0.608,231.32,34,0
7.337,0,6.3,11,2,6.76,0.65,11,50.0,40.6,0.991,1.129,0.608,216.31,32,0
6.444,0,5.7,11,2,6.581,0.644,11,51.4,40.0,0.989,1.129,0.599,230.34,35,0
7.337,0,2.9,12,1,6.686,0.663,12,50.0,44.1,0.985,1.119,0.616,227.33,34,0
7.337,0,3.2,11,1,7.528,0.692,11,48.4,41.9,0.99,1.114,0.633,233.36,31,0
5.788,0,3.2,11,1,7.009,0.653,11,48.4,41.9,0.998,1.123,0.617,217.29,31,0
5.074,0,2.9,12,1,6.686,0.663,12,50.0,44.1,0.985,1.119,0.616,227.33,34,0
7.337,0,6.1,12,2,6.919,0.66,12,48.5,42.4,0.991,1.125,0.62,228.32,33,0
6.398,2,6.7,18,3,9.422,0.725,16,40.0,40.0,1.019,1.116,0.681,423.98,45,0
5.155,12,5.6,12,11,6.137,0.595,0,56.6,31.6,0.996,1.147,0.552,1202.84,196,0
5.268,1,9.6,19,5,8.145,0.691,18,42.3,42.3,1.007,1.129,0.656,423.56,52,0
6.222,0,2.0,12,1,6.879,0.664,12,52.0,42.0,0.985,1.121,0.608,343.93,50,0
4.119,1,8.3,18,5,6.926,0.66,17,48.3,41.7,0.991,1.128,0.619,415.59,60,0
5.0,2,1.9,14,1,6.934,0.656,12,49.1,43.4,0.995,1.126,0.617,367.5,53,0
6.097,1,8.8,19,7,7.452,0.649,18,47.5,37.5,1.006,1.136,0.616,596.2,80,0
5.377,1,9.6,19,5,8.462,0.708,18,42.3,42.3,1.004,1.121,0.665,440.01,52,0
4.602,0,2.7,12,1,8.277,0.718,12,45.9,45.9,0.992,1.111,0.66,306.25,37,0
5.279,0,2.7,12,1,8.277,0.718,12,45.9,45.9,0.992,1.111,0.66,306.25,37,0
4.602,0,2.7,12,1,8.277,0.718,12,45.9,45.9,0.992,1.111,0.66,306.25,37,0
4.994,0,2.7,12,1,8.277,0.718,12,45.9,45.9,0.992,1.111,0.66,306.25,37,0
5.114,0,2.5,12,1,8.007,0.708,12,47.5,45.0,0.99,1.113,0.649,320.28,40,0
5.664,0,2.5,12,1,8.007,0.708,12,47.5,45.0,0.99,1.113,0.649,320.28,40,0
5.22,0,2.5,12,1,8.007,0.708,12,47.5,45.0,0.99,1.113,0.649,320.28,40,0
5.425,0,2.5,12,1,8.007,0.708,12,47.5,45.0,0.99,1.113,0.649,320.28,40,0
5.785,0,2.5,12,1,8.007,0.708,12,47.5,45.0,0.99,1.113,0.649,320.28,40,0
4.851,0,5.6,12,2,8.534,0.717,12,44.4,44.4,0.998,1.117,0.664,307.24,36,0
4.602,0,6.1,12,2,8.885,0.729,12,42.4,45.5,1.001,1.115,0.678,293.21,33,0
4.721,0,5.6,12,2,8.534,0.717,12,44.4,44.4,0.998,1.117,0.664,307.24,36,0
4.602,0,5.1,12,2,8.238,0.707,12,46.2,43.6,0.995,1.118,0.652,321.27,39,0
5.0,1,7.9,11,3,7.985,0.682,10,44.7,39.5,1.006,1.125,0.641,303.42,38,0
5.0,1,10.3,11,4,7.241,0.662,10,46.2,41.0,0.998,1.131,0.628,282.38,39,0
5.0,1,9.5,11,4,7.057,0.656,10,47.6,40.5,0.995,1.132,0.619,296.41,42,0
5.0,1,12.1,27,8,8.04,0.666,26,40.9,40.9,1.017,1.138,0.651,530.62,66,0
5.523,1,5.5,18,3,7.773,0.662,17,43.6,43.6,1.014,1.14,0.641,427.51,55,0
5.0,1,6.8,12,3,8.304,0.65,11,40.9,40.9,1.033,1.152,0.645,365.39,44,0
5.155,1,5.7,12,3,7.613,0.649,11,45.3,41.5,1.015,1.145,0.627,403.49,53,0
5.699,1,5.0,12,2,8.059,0.653,11,42.5,42.5,1.026,1.149,0.641,322.36,40,0
5.097,1,6.8,12,3,8.304,0.65,11,40.9,40.9,1.033,1.152,0.645,365.39,44,0
5.0,1,6.8,12,3,9.122,0.647,11,36.4,40.9,1.056,1.167,0.663,401.37,44,0
5.0,1,6.8,12,3,8.304,0.65,11,40.9,40.9,1.033,1.152,0.645,365.39,44,0
5.0,1,6.8,12,3,8.304,0.65,11,40.9,40.9,1.033,1.152,0.645,365.39,44,0
5.0,1,8.3,12,4,7.884,0.644,11,43.8,39.6,1.023,1.154,0.63,378.44,48,0
5.523,1,0.0,13,0,7.871,0.687,12,41.4,48.3,1.01,1.108,0.666,228.26,29,0
5.0,3,11.9,10,5,7.795,0.661,6,42.9,40.5,1.013,1.142,0.64,327.4,42,0
5.0,3,10.9,10,5,7.77,0.651,6,43.5,39.1,1.016,1.143,0.633,357.43,46,0
5.0,1,5.8,17,3,8.989,0.663,16,36.5,44.2,1.047,1.16,0.671,467.45,52,0
6.056,0,2.6,23,1,8.035,0.724,23,38.5,53.8,0.999,1.098,0.696,313.37,39,0
5.22,0,0.0,23,0,8.009,0.718,23,39.0,53.7,1.001,1.096,0.692,328.38,41,0
6.167,0,2.4,23,1,7.795,0.714,23,40.5,52.4,0.996,1.101,0.683,327.4,42,0
5.929,2,7.0,18,3,8.172,0.678,16,39.5,44.2,1.019,1.122,0.665,351.39,43,0
4.699,1,10.8,38,8,8.064,0.7,37,39.2,47.3,1.005,1.123,0.677,596.72,74,0
4.301,2,2.9,20,2,7.186,0.657,18,47.1,42.6,1.001,1.122,0.625,488.63,68,0
6.889,2,7.0,18,3,8.546,0.706,16,39.5,44.2,1.013,1.115,0.676,367.46,43,0
4.638,2,7.7,19,3,8.652,0.722,17,38.5,46.2,1.009,1.111,0.688,337.43,39,0
4.398,2,7.9,13,3,7.985,0.682,11,44.7,39.5,1.006,1.125,0.641,303.42,38,0
4.444,2,8.6,13,3,8.268,0.69,11,42.9,40.0,1.01,1.124,0.653,289.39,35,0
4.398,2,7.9,13,3,7.985,0.682,11,44.7,39.5,1.006,1.125,0.641,303.42,38,0
4.398,2,7.3,13,3,7.743,0.675,11,46.3,39.0,1.003,1.126,0.632,317.45,41,0
4.398,2,7.3,13,3,8.62,0.672,11,41.5,39.0,1.028,1.142,0.65,353.43,41,0
5.0,1,2.1,13,1,6.839,0.666,12,48.9,44.7,0.989,1.117,0.622,321.45,47,0
5.0,1,8.8,17,3,8.215,0.698,16,38.2,47.1,1.011,1.117,0.68,279.32,34,0
