pXC50,MW,Sp,Sv,nSK,nBO,Se,nAT,Si,nBT,nC,SCBO,nH,RBN,RBF,O.
5.481,306.41,27.603,26.289,23,26,40.912,41,46.481,44,17,35.5,18,4,0.091,0.0
5.292,557.1,47.392,45.422,40,43,69.52,69,77.544,72,30,58.5,29,11,0.153,4.3
5.6,450.38,35.75,34.128,30,33,52.832,52,59.081,55,21,41.5,22,5,0.091,1.9
5.6,342.41,27.762,27.235,25,28,43.887,43,49.481,46,15,36.5,18,3,0.065,4.7
6.3,469.58,42.336,40.563,36,41,58.789,59,65.438,64,30,58.0,23,3,0.047,1.7
5.3,447.6,40.324,38.374,33,37,62.087,62,70.474,66,24,46.0,29,5,0.076,3.2
5.0,498.71,45.273,42.352,36,40,65.618,66,74.102,70,28,52.5,30,7,0.1,1.5
6.523,481.65,44.836,42.385,36,40,66.65,67,75.308,71,29,53.0,31,6,0.085,3.0
8.432,634.74,53.569,52.097,46,51,83.418,82,92.987,87,34,63.5,36,12,0.138,7.3
5.114,543.67,44.296,42.722,38,42,67.265,66,75.247,70,27,53.5,28,7,0.1,3.0
5.0,460.64,42.841,40.406,34,37,65.752,66,74.806,69,26,47.5,32,6,0.087,3.0
5.0,480.59,39.557,38.115,34,37,58.956,58,65.112,61,24,49.0,24,8,0.131,8.6
6.721,332.44,30.569,29.015,25,28,44.803,45,50.524,48,20,38.0,20,3,0.063,2.2
6.16,394.4,26.966,27.334,27,29,41.229,39,44.878,41,15,40.5,12,4,0.098,7.7
5.886,369.53,34.108,32.133,27,29,53.876,54,61.85,56,19,37.0,27,8,0.143,1.9
4.7,180.6,12.847,12.639,12,13,17.622,17,18.98,18,8,18.0,5,0,0.0,5.9
6.2,270.37,24.807,23.488,20,22,37.92,38,43.109,40,15,28.0,18,3,0.075,2.6
6.8,302.79,24.904,23.789,21,23,36.36,36,40.638,38,15,31.0,15,5,0.132,2.8
5.4,637.87,30.023,25.328,21,22,33.32,33,35.865,34,15,28.0,12,2,0.059,6.1
5.4,441.6,38.983,36.75,32,35,54.865,55,61.358,58,25,49.0,23,4,0.069,1.8
5.8,278.32,20.318,19.998,19,20,30.116,29,32.787,30,11,28.5,10,4,0.133,10.3
4.1,163.2,13.756,13.359,12,13,21.284,21,23.95,22,8,17.0,9,0,0.0,4.8
5.4,471.55,40.665,39.433,35,38,60.662,60,67.109,63,27,52.0,25,8,0.127,8.3
5.4,526.75,50.126,46.987,39,42,76.403,77,87.052,80,31,55.0,38,9,0.113,2.6
5.4,406.37,29.012,29.736,29,31,45.298,43,49.677,45,19,41.0,14,3,0.067,4.7
6.8,288.16,20.415,19.197,17,19,27.069,27,29.997,29,13,27.0,10,1,0.034,0.0
5.4,530.66,44.114,42.443,38,42,64.832,64,71.899,68,27,56.5,26,8,0.118,6.3
5.4,501.03,42.415,40.653,36,40,61.425,61,68.505,65,27,54.5,25,8,0.123,3.3
5.8,408.45,32.694,32.297,30,34,49.149,48,54.785,52,21,45.0,18,5,0.096,2.1
6.8,348.21,25.244,24.584,23,25,35.018,34,38.25,36,15,34.5,11,3,0.083,2.9
7.2,370.93,32.745,30.697,26,29,48.887,49,55.671,52,19,37.0,23,4,0.077,0.0
5.4,322.41,28.057,27.004,24,27,42.24,42,47.69,45,17,37.0,18,2,0.044,2.4
7.6,412.46,33.995,33.387,31,35,48.752,48,54.03,52,23,49.5,17,5,0.096,2.1
5.6,379.41,30.557,30.111,27,29,48.341,47,53.713,49,20,36.0,20,6,0.122,6.4
8.4,308.43,28.364,26.816,23,26,42.796,43,48.896,46,17,34.0,20,3,0.065,0.0
5.1,209.27,19.063,18.171,16,18,26.84,27,30.156,29,13,26.0,11,1,0.034,0.0
5.4,301.28,21.642,22.169,22,24,32.513,31,35.626,33,14,33.5,9,2,0.061,3.2
5.4,366.75,24.955,25.412,25,27,37.014,35,40.242,37,16,36.5,10,2,0.054,2.9
7.1,358.91,31.949,29.896,25,27,47.894,48,54.299,50,19,35.0,23,7,0.14,2.1
5.8,353.23,26.387,24.944,22,24,35.062,35,38.539,37,18,34.5,13,3,0.081,2.9
6.6,451.61,40.569,38.569,33,37,63.156,63,72.02,67,24,45.0,30,6,0.09,1.6
5.4,285.37,26.586,25.225,22,24,36.607,37,40.986,39,19,35.0,15,4,0.103,0.0
7.2,449.01,38.756,36.74,32,36,57.091,57,64.667,61,23,47.0,25,6,0.098,0.0
4.5,169.59,10.886,10.935,11,12,15.833,15,17.436,16,5,17.0,4,0,0.0,0.0
5.4,535.71,48.847,46.428,40,45,72.854,73,82.305,78,31,59.5,33,10,0.128,2.7
5.4,357.32,25.341,26.079,26,28,37.909,36,41.381,38,17,39.5,10,2,0.053,2.8
6.8,330.86,28.222,26.644,23,25,42.12,42,47.84,44,16,33.0,19,5,0.114,0.0
7.0,370.93,32.745,30.697,26,29,48.887,49,55.671,52,19,37.0,23,4,0.077,0.0
7.6,334.83,28.449,27.074,24,27,39.033,39,43.428,42,19,38.0,15,4,0.095,0.0
6.0,334.41,29.262,28.203,25,28,43.247,43,48.318,46,19,38.0,18,3,0.065,4.7
5.4,346.39,28.983,28.345,26,29,41.549,41,46.034,44,20,41.0,15,3,0.068,2.4
6.7,290.4,27.353,25.773,22,25,39.592,40,44.9,43,18,35.0,18,2,0.047,0.0
6.1,526.75,50.126,46.987,39,42,76.403,77,87.052,80,31,55.0,38,10,0.125,2.6
4.7,226.25,18.966,18.58,17,19,27.393,27,30.076,29,13,27.0,10,1,0.034,7.4
5.4,471.31,33.881,31.224,27,30,45.105,45,49.584,48,22,41.5,18,4,0.083,6.7
5.4,365.38,28.796,28.584,26,28,45.458,44,50.298,46,19,35.0,18,6,0.13,6.8
7.2,407.97,33.296,31.292,27,29,49.516,49,55.511,51,18,39.0,22,7,0.137,4.1
5.9,465.48,34.352,34.2,32,34,52.189,50,56.636,52,22,46.0,18,6,0.115,10.0
5.4,264.33,20.83,20.008,18,19,30.68,30,33.621,31,12,25.0,12,3,0.097,10.0
4.7,227.26,19.0,18.555,17,19,27.353,27,30.495,29,13,27.0,10,1,0.034,0.0
4.9,178.23,13.636,12.998,12,13,18.375,18,19.956,19,8,19.0,6,1,0.053,5.6
5.4,378.48,34.233,32.651,28,30,51.091,51,57.322,53,23,40.0,23,7,0.132,3.9
5.4,402.82,29.029,29.071,28,31,42.705,41,46.899,44,18,42.0,13,4,0.091,2.4
5.8,462.59,42.307,40.31,35,39,60.781,61,67.979,65,29,54.0,26,8,0.123,3.3
5.4,536.61,41.773,40.968,38,42,61.647,60,67.954,64,26,56.5,22,7,0.109,5.0
7.0,287.78,23.693,22.569,20,22,34.251,34,38.512,36,14,30.0,14,4,0.111,0.0
6.7,383.46,33.296,32.178,29,33,47.207,47,52.738,51,23,46.5,18,4,0.078,0.0
6.3,322.34,26.398,26.063,24,27,38.814,38,42.325,41,18,37.0,14,2,0.049,10.5
5.4,271.39,26.529,24.719,20,21,40.592,41,46.069,42,17,27.0,21,5,0.119,4.9
5.8,591.79,53.62,50.997,44,50,80.941,81,91.716,87,33,65.0,37,5,0.057,2.5
4.4,151.21,11.426,10.778,10,11,15.265,15,16.83,16,6,16.0,5,0,0.0,0.0
5.7,230.67,17.404,16.967,16,18,23.498,23,25.768,25,11,26.0,7,1,0.04,0.0
6.7,328.27,22.836,20.953,18,19,32.233,32,36.329,33,11,24.5,14,4,0.121,0.0
5.4,373.47,30.574,29.325,26,28,45.76,45,50.574,47,18,39.0,19,6,0.128,8.9
5.4,579.76,53.029,50.395,43,47,79.956,80,89.972,84,34,61.0,37,7,0.083,5.0
6.2,272.24,19.364,19.998,20,22,29.484,28,31.661,30,12,32.5,8,3,0.1,14.3
7.1,439.58,39.142,37.407,33,37,57.985,58,65.806,62,24,50.0,25,6,0.097,0.0
7.3,342.87,29.222,27.644,24,27,43.12,43,48.84,46,17,35.0,19,3,0.065,0.0
5.4,429.31,29.943,28.56,26,29,39.793,39,42.878,42,19,41.0,13,3,0.071,7.7
5.4,222.26,19.512,18.865,17,19,27.065,27,29.867,29,14,27.5,10,1,0.034,3.7
5.4,491.59,41.949,40.625,36,40,63.792,63,71.572,67,27,52.0,27,6,0.09,3.2
5.8,272.32,21.097,20.435,19,21,28.654,28,31.127,30,14,30.0,9,2,0.067,3.6
6.8,340.48,31.341,29.584,25,27,48.891,49,55.936,51,18,34.0,24,5,0.098,2.0
5.5,351.18,22.784,22.362,21,23,33.153,32,36.124,34,13,30.5,11,4,0.118,9.4
5.4,253.28,20.972,20.601,19,21,30.494,30,33.575,32,14,30.0,11,2,0.063,6.7
4.9,215.23,17.21,17.074,16,18,25.611,25,28.159,27,11,25.5,9,2,0.074,8.0
5.8,330.59,19.057,18.071,17,19,23.036,22,23.868,24,11,26.0,5,0,0.0,9.1
7.7,392.92,34.188,32.369,28,31,49.011,49,54.883,52,22,42.0,21,6,0.115,2.0
4.4,212.25,15.307,14.955,14,15,22.913,22,24.79,23,8,19.5,8,1,0.043,13.6
5.4,332.43,30.773,29.214,25,27,44.811,45,50.152,47,21,37.0,20,5,0.106,4.4
5.8,395.49,32.603,31.279,28,30,46.618,46,51.495,48,21,41.0,18,5,0.104,4.3
4.6,227.31,18.949,17.832,16,18,25.033,25,27.661,27,12,26.0,9,1,0.037,0.0
5.8,460.53,38.909,37.928,34,37,58.88,58,65.192,61,25,49.0,24,6,0.098,8.6
5.8,363.19,22.404,20.487,18,19,32.651,32,36.707,33,10,24.0,14,4,0.121,6.3
5.4,355.45,29.358,28.083,25,27,42.549,42,46.95,44,18,38.0,17,5,0.114,7.1
4.9,214.03,11.585,11.331,11,12,15.745,15,16.961,16,6,16.0,4,0,0.0,6.7
5.7,316.39,27.682,26.643,23,24,43.465,43,48.571,44,17,31.0,20,5,0.114,9.3
5.4,500.67,45.091,42.922,37,41,69.072,69,78.388,73,27,52.0,32,7,0.096,2.9
5.7,372.14,22.71,23.002,23,26,30.611,29,32.005,32,15,37.0,6,1,0.031,13.8
5.4,405.26,29.671,29.046,27,30,42.338,41,46.001,44,18,41.0,14,2,0.045,7.3
5.4,402.49,35.239,33.971,30,34,52.342,52,58.358,56,23,45.0,22,5,0.089,5.8
5.4,281.39,26.563,24.993,21,23,39.702,40,45.026,42,17,31.0,19,3,0.071,2.5
4.2,175.21,14.756,14.359,13,14,22.284,22,24.95,23,9,20.0,9,1,0.043,4.5
5.4,343.85,28.671,27.337,24,27,42.345,42,47.551,45,17,35.0,18,3,0.067,2.4
7.0,419.48,35.301,34.499,32,36,49.458,49,54.774,53,24,52.5,17,5,0.094,2.0
5.4,532.52,40.301,40.637,39,44,60.2,58,65.959,63,27,59.0,19,4,0.063,5.2
7.5,358.41,29.779,29.146,27,30,42.542,42,47.406,45,20,43.0,15,4,0.089,0.0
7.9,360.46,31.819,30.531,27,30,47.123,47,53.106,50,20,41.5,20,6,0.12,2.1
5.8,338.12,19.659,18.171,17,19,24.571,24,26.754,26,11,26.0,7,0,0.0,4.2
5.4,470.57,41.216,39.74,35,38,61.436,61,68.398,64,27,52.0,26,8,0.125,6.6
5.4,277.34,25.245,24.139,21,23,35.942,36,39.824,38,18,32.0,15,3,0.079,5.6
5.4,319.82,26.875,25.536,22,24,40.353,40,45.179,42,16,30.5,18,3,0.071,5.0
4.2,237.28,20.517,19.886,18,20,29.167,29,32.365,31,14,29.0,11,2,0.065,3.4
6.3,525.78,49.552,45.911,38,41,72.167,73,81.849,76,31,55.0,35,10,0.132,1.4
6.3,327.2,23.421,22.218,20,23,31.171,31,34.496,34,15,33.0,11,1,0.029,0.0
5.9,333.22,22.512,21.077,19,21,28.371,28,30.628,30,14,30.0,9,2,0.067,3.6
5.9,411.9,35.625,34.02,30,33,48.033,48,52.598,51,26,47.0,18,4,0.078,4.2
5.4,331.43,27.358,26.083,23,26,40.549,40,44.95,43,16,34.5,17,4,0.093,7.5
6.6,352.21,24.665,23.713,22,25,32.389,32,35.579,35,16,37.0,10,1,0.029,0.0
5.4,353.48,30.665,28.895,25,27,44.105,44,49.155,46,19,36.5,19,5,0.109,4.5
7.1,434.98,36.995,35.213,31,35,54.207,54,61.252,58,22,46.0,23,5,0.086,0.0
5.4,484.66,44.841,42.406,36,39,67.752,68,76.806,71,28,52.0,32,7,0.099,2.9
5.8,325.33,24.921,25.027,24,26,37.211,36,40.911,38,16,36.0,12,5,0.132,5.6
5.5,490.59,39.591,38.389,35,38,58.065,57,64.069,60,24,54.0,22,7,0.117,7.0
6.6,384.91,32.438,30.885,27,30,48.331,48,54.465,51,19,39.0,21,4,0.078,2.1
5.4,293.36,25.29,24.456,22,24,37.254,37,41.777,39,16,33.0,15,4,0.103,2.7
6.6,329.82,26.909,25.81,23,26,39.462,39,44.136,42,16,34.0,16,3,0.071,2.6
5.4,488.59,39.62,38.343,35,39,56.923,56,62.99,60,25,53.5,21,6,0.1,3.6
5.4,302.35,26.489,25.633,23,26,37.16,37,40.907,40,19,36.5,14,2,0.05,5.4
4.3,224.28,20.273,19.392,17,19,28.949,29,32.282,31,14,27.0,12,1,0.032,3.4
6.2,356.81,27.841,27.172,25,28,39.873,39,43.978,42,18,37.5,14,2,0.048,2.6
8.0,436.55,39.546,37.783,33,37,56.898,57,63.564,61,27,50.5,24,7,0.115,3.5
6.9,424.5,36.273,35.246,32,36,52.451,52,58.315,56,24,50.5,20,6,0.107,3.8
6.7,420.97,33.54,31.787,28,31,49.734,49,55.594,52,18,41.0,21,5,0.096,4.1
4.5,227.25,18.006,17.875,17,19,26.604,26,29.531,28,11,26.0,9,0,0.0,3.8
5.4,385.94,33.955,31.917,27,30,50.996,51,57.797,54,20,38.0,24,5,0.093,2.0
7.2,466.58,41.762,40.025,35,42,61.109,61,68.189,68,28,55.0,26,2,0.029,4.9
8.0,474.62,42.534,40.594,35,39,65.196,65,73.6,69,26,49.5,30,6,0.087,4.6
7.1,331.76,24.324,24.14,23,25,35.207,34,38.645,36,15,34.5,11,3,0.083,2.9
5.4,398.32,26.188,27.593,28,30,41.927,39,45.602,41,17,39.5,11,3,0.073,5.1
4.2,191.21,15.21,15.074,14,15,23.611,23,26.159,24,9,21.0,9,2,0.083,8.7
5.4,219.27,18.733,18.128,16,17,29.378,29,32.99,30,11,23.0,13,4,0.133,6.9
5.4,366.75,24.955,25.412,25,27,37.014,35,40.242,37,16,36.5,10,2,0.054,2.9
5.4,368.29,23.972,25.351,26,28,37.716,35,40.977,37,16,37.5,9,2,0.054,2.9
7.4,427.99,36.966,34.96,30,33,56.2,56,63.794,59,21,42.0,26,6,0.102,1.8
5.7,304.85,27.938,25.853,21,23,41.691,42,47.302,44,17,28.5,21,3,0.068,2.4
5.4,362.34,26.313,26.826,26,28,40.902,39,44.922,41,17,37.5,13,3,0.073,5.1
5.4,374.53,35.489,33.277,27,28,56.883,57,64.647,58,21,34.0,30,9,0.155,7.0
6.2,271.72,21.375,20.714,19,21,29.491,29,32.309,31,14,30.0,10,2,0.065,3.4
7.0,474.54,38.131,37.503,34,38,60.523,59,67.995,63,23,46.0,25,6,0.095,3.4
5.9,560.71,49.239,47.227,41,46,75.545,75,85.316,80,31,58.0,34,7,0.088,2.7
6.2,386.5,34.58,33.058,29,32,51.007,51,57.521,54,22,45.0,22,7,0.13,2.0
5.4,346.39,28.983,28.345,26,29,41.549,41,46.034,44,20,41.0,15,3,0.068,2.4
5.5,413.08,24.438,23.178,21,22,32.836,32,35.673,33,14,30.0,11,3,0.091,6.3
5.4,342.87,29.222,27.644,24,27,43.12,43,48.84,46,17,35.0,19,3,0.065,0.0
6.8,428.91,34.915,33.832,31,35,48.563,48,53.634,52,23,49.5,17,5,0.096,2.1
4.4,210.25,18.512,17.865,16,18,26.065,26,28.867,28,13,25.0,10,1,0.036,3.8
5.4,499.59,42.705,41.429,37,41,63.723,63,71.027,67,28,55.0,26,4,0.06,4.8
6.7,437.63,38.756,36.32,31,34,57.952,58,65.77,61,22,43.5,27,6,0.098,1.7
4.1,185.21,14.79,14.634,14,16,21.393,21,23.907,23,9,23.5,7,0,0.0,0.0
7.3,375.53,34.893,32.891,28,31,52.665,53,60.225,56,21,40.5,25,5,0.089,0.0
5.4,383.49,34.574,33.036,29,32,49.905,50,56.023,53,23,45.0,21,6,0.113,2.0
6.2,542.68,43.989,42.06,38,43,60.822,60,66.408,65,28,58.5,22,6,0.092,6.7
5.4,545.66,45.529,43.862,39,43,66.949,66,73.654,70,29,58.0,27,7,0.1,9.1
5.4,363.31,26.591,24.459,21,23,36.014,36,40.246,38,15,31.0,15,4,0.105,0.0
5.4,342.42,31.012,29.687,26,29,43.927,44,48.737,47,22,41.0,18,3,0.064,4.5
4.1,212.05,13.097,12.342,11,12,17.309,17,18.795,18,8,16.0,6,0,0.0,5.9
8.2,343.81,26.398,25.799,24,26,38.898,38,43.302,40,15,35.5,14,5,0.125,2.6
5.4,301.16,20.659,19.691,18,20,27.287,27,30.08,29,13,28.5,9,2,0.069,0.0
5.4,391.44,31.148,30.713,28,30,49.327,48,55.457,50,19,39.0,20,7,0.14,2.1
5.4,464.6,41.017,39.263,34,37,63.381,63,71.731,66,25,48.0,29,9,0.136,3.2
5.4,306.41,26.682,25.106,22,25,35.909,36,39.617,39,18,35.0,14,2,0.051,2.8
6.6,276.37,25.591,24.246,21,23,36.709,37,41.484,39,17,32.0,16,3,0.077,0.0
5.8,315.35,25.676,25.233,23,25,38.843,38,43.29,40,17,34.0,15,4,0.1,2.6
5.4,324.42,29.023,27.73,24,26,44.131,44,49.734,46,18,34.0,20,4,0.087,4.5
7.4,305.36,26.495,25.655,23,26,38.262,38,42.405,41,18,35.0,15,1,0.024,5.3
6.8,329.87,28.978,27.149,23,25,42.902,43,48.757,45,17,33.0,20,5,0.111,0.0
5.4,332.43,30.773,29.214,25,27,44.811,45,50.152,47,21,37.0,20,6,0.128,4.4
5.4,430.98,32.449,30.679,28,31,43.833,43,48.059,46,18,42.5,15,6,0.13,2.3
5.4,399.82,29.654,29.411,27,29,45.782,44,50.242,46,19,36.0,17,6,0.13,6.8
5.6,384.45,32.54,31.673,29,33,46.425,46,51.821,50,22,46.5,17,4,0.08,0.0
5.4,206.61,13.131,13.429,14,16,18.051,17,19.519,19,7,23.5,3,0,0.0,0.0
5.7,260.31,23.273,22.392,20,23,31.949,32,35.282,35,17,33.0,12,1,0.029,3.1
5.8,347.37,27.233,27.16,26,29,40.018,39,44.153,42,17,41.0,13,5,0.119,5.1
5.6,267.36,24.801,23.467,20,22,36.818,37,41.611,39,16,29.0,17,3,0.077,2.7
5.4,360.37,27.62,27.638,26,28,42.458,41,47.128,43,18,37.5,15,3,0.07,2.4
6.8,348.41,29.745,28.871,26,29,43.432,43,48.449,46,20,40.0,17,5,0.109,2.3
5.4,292.38,27.04,25.641,22,24,38.785,39,43.658,41,19,33.0,17,4,0.098,0.0
6.6,343.85,28.671,27.337,24,27,42.345,42,47.551,45,17,35.0,18,3,0.067,2.4
7.0,428.91,34.915,33.832,31,35,48.563,48,53.634,52,23,49.5,17,5,0.096,2.1
6.4,313.42,28.057,26.705,23,25,43.091,43,49.153,45,17,33.0,20,5,0.111,0.0
5.4,374.4,29.381,29.165,27,29,45.341,44,50.543,46,19,38.5,17,4,0.087,2.3
8.2,244.7,19.165,18.494,17,19,26.382,26,29.183,28,12,27.0,9,1,0.036,0.0
6.0,352.5,31.216,29.202,25,28,44.88,45,50.444,48,19,37.5,20,4,0.083,2.2
7.1,420.97,33.54,31.787,28,31,49.734,49,55.594,52,18,41.0,21,5,0.096,4.1
5.4,331.82,28.08,26.735,23,25,41.36,41,45.807,43,18,32.0,18,6,0.14,7.3
6.2,277.36,24.472,23.423,20,21,39.356,39,44.445,40,14,26.0,19,3,0.075,7.7
5.4,386.51,33.455,31.675,28,31,45.996,46,51.029,49,22,44.0,18,5,0.102,2.2
6.7,233.3,20.495,19.655,17,18,32.262,32,36.405,33,12,23.0,15,2,0.061,6.3
5.4,268.35,24.046,22.961,20,22,36.036,36,40.694,38,15,30.0,16,3,0.079,2.8
5.4,241.3,18.438,17.821,17,19,24.469,24,26.827,26,11,28.5,7,1,0.038,0.0
5.8,269.33,23.495,22.655,20,22,35.262,35,39.405,37,15,29.5,15,3,0.081,5.7
6.4,462.44,36.699,34.405,30,33,51.513,51,57.246,54,21,42.5,21,5,0.093,2.0
5.5,568.76,49.944,47.308,41,45,73.156,73,81.936,77,31,61.0,32,9,0.117,4.1
6.6,252.34,23.796,22.445,19,21,34.716,35,39.112,37,16,29.0,16,1,0.027,2.9
5.4,498.66,43.205,41.013,36,40,62.178,62,69.481,66,27,54.5,26,6,0.091,3.2
5.0,210.25,18.512,17.865,16,18,26.065,26,28.867,28,13,26.0,10,1,0.036,3.8
7.6,419.48,35.301,34.499,32,36,49.458,49,54.774,53,24,52.5,17,5,0.094,2.0
5.4,380.29,30.699,29.089,25,27,44.567,44,49.167,46,19,34.0,19,6,0.13,6.8
5.4,317.42,29.563,27.993,24,26,42.702,43,48.026,45,20,36.0,19,5,0.111,2.3
5.4,461.61,42.858,40.617,35,39,61.556,62,69.268,66,29,53.5,27,7,0.106,1.6
7.7,398.53,36.006,34.22,29,31,56.178,56,63.734,58,22,39.5,27,7,0.121,3.6
7.7,427.36,35.046,33.197,29,32,49.334,49,54.827,52,22,43.0,20,6,0.115,2.0
6.9,454.53,38.489,37.487,34,38,56.662,56,62.94,60,25,52.5,22,7,0.117,5.4
5.4,384.79,28.017,28.029,27,30,39.502,38,42.902,41,19,42.0,11,3,0.073,2.6
5.2,343.85,28.671,27.337,24,27,42.345,42,47.551,45,17,35.0,18,3,0.067,2.4
5.4,424.5,35.216,34.351,31,34,53.916,53,60.615,56,22,45.0,22,6,0.107,1.9
6.6,479.63,44.074,41.858,36,40,64.767,65,72.893,69,29,54.5,29,9,0.13,3.1
6.0,301.42,29.108,27.279,23,26,41.374,42,46.817,45,20,35.0,19,1,0.022,0.0
4.1,215.29,18.154,17.031,15,17,24.04,24,26.289,26,12,23.5,9,1,0.038,4.2
5.4,331.45,31.324,29.52,25,28,45.585,46,51.441,49,21,37.0,21,2,0.041,2.2
4.4,174.63,10.528,10.1,10,11,13.807,13,14.857,14,4,15.5,3,0,0.0,0.0
5.9,434.54,39.779,37.936,33,38,55.763,56,62.113,61,29,51.5,23,3,0.049,1.8
5.4,373.53,32.438,30.465,26,30,49.192,49,55.567,53,18,39.0,23,5,0.094,4.1
5.7,407.52,36.006,34.519,30,33,55.327,55,62.272,58,22,42.0,25,6,0.103,5.5
6.3,413.96,35.205,33.433,29,32,53.316,53,60.378,56,20,41.0,24,5,0.089,1.9
5.4,325.33,24.921,25.027,24,26,37.211,36,40.911,38,16,36.0,12,5,0.132,5.6
7.0,437.55,38.586,37.079,33,37,56.109,56,63.019,60,25,51.5,23,6,0.1,1.8
5.4,280.31,22.977,22.622,21,23,33.596,33,37.073,35,15,32.5,12,2,0.057,6.1
6.7,370.45,30.08,28.926,26,28,42.702,42,47.127,44,20,38.0,16,5,0.114,2.4
4.2,179.21,14.006,13.875,13,14,22.604,22,25.531,23,7,18.0,9,0,0.0,4.5
5.8,273.14,19.409,18.175,16,18,24.967,25,27.499,27,13,26.0,9,1,0.037,0.0
4.1,220.63,15.097,15.155,15,17,20.942,20,22.562,22,9,23.5,5,0,0.0,5.0
