pXC50,MATS4v,MATS4p,GATS4v,P_VSA_MR_7,SIC4,BIC5,SIC3,SIC5,BIC4,CIC3,CIC4,HNar,GNar,PDI,BIC3,SpMax3_Bh.p.,Uindex,LOC,SpMax2_Bh.m.,BAC,CIC5,GATS5v,X0A,X2A,MATS4m,X4v,SpMin1_Bh.m.,Eta_sh_p,MCD,SpMax4_Bh.p.,TIE,MATS7i,JGI6,SsCH3,X5v,NRS,Rperim,X3v,Mp,SM13_EA.bo.,C.001,nCp,SpMax2_Bh.e.,SM15_EA.bo.,JGI1,Yindex,Eig02_EA.bo.,SM12_AEA.ri.,SpMin1_Bh.v.,nCIC,nCIR,TRS,Eta_B_A,SpMax4_Bh.v.,SpMAD_AEA.ed.,JGT,C.006,NsCH3,P_VSA_LogP_1,SaasC,D.Dtr06,SM08_EA.bo.,CATS2D_09_AA,C.003
5.0,-0.048,-0.054,1.024,33.571,0.89,0.871,0.869,0.89,0.871,0.918,0.77,1.815,1.966,0.907,0.85,3.749,136.666,0.832,3.85,150.0,0.77,0.896,0.727,0.304,-0.035,7.888,2.126,0.178,0.407,3.711,278.194,0.006,0.018,9.579,5.427,4,24,11.831,0.613,17.991,3,3,3.916,20.617,0.21,0.368,3.474,3.474,2.082,4,4,24,0.026,3.716,1.522,0.453,4,5,43.268,2.224,1099.67,11.837,5,2
6.081,0.039,-0.011,0.929,33.571,0.874,0.857,0.841,0.874,0.857,1.1,0.874,1.676,1.856,0.874,0.825,3.726,195.539,1.331,3.849,317.0,0.874,0.924,0.753,0.318,0.065,6.04,2.06,0.284,0.214,3.652,417.445,0.004,0.018,18.392,3.838,2,12,9.379,0.609,18.042,10,10,3.914,20.659,0.272,0.579,3.474,3.474,2.044,2,2,12,0.034,3.653,1.543,0.54,2,10,88.252,2.175,536.56,11.882,4,4
4.0,0.026,-0.024,0.951,33.571,0.885,0.867,0.864,0.885,0.867,0.935,0.793,1.76,1.92,0.879,0.847,3.747,147.006,1.155,3.866,180.0,0.793,0.904,0.737,0.314,0.071,7.409,2.126,0.208,0.327,3.665,303.196,0.01,0.018,10.793,5.109,3,18,10.831,0.62,17.975,6,6,3.915,20.605,0.246,0.454,3.462,3.462,2.081,3,3,18,0.03,3.67,1.511,0.491,3,6,52.951,2.265,772.666,11.808,4,2
4.921,0.039,-0.012,0.931,33.571,0.871,0.854,0.841,0.871,0.854,1.101,0.888,1.671,1.853,0.873,0.824,3.727,189.413,1.343,3.85,317.0,0.888,0.912,0.754,0.318,0.061,6.065,2.063,0.289,0.218,3.655,415.458,0.018,0.018,18.379,3.894,2,12,9.399,0.611,18.043,10,10,3.914,20.66,0.277,0.603,3.474,3.474,2.046,2,2,12,0.034,3.657,1.549,0.548,1,10,88.252,2.178,524.336,11.882,2,4
6.456,0.137,0.078,0.792,0.0,0.812,0.835,0.754,0.84,0.806,1.505,1.149,1.556,1.735,0.829,0.749,3.582,161.061,2.752,3.678,160.0,0.975,0.992,0.78,0.348,0.167,2.792,2.035,0.371,0.0,3.51,291.983,-0.118,0.024,13.669,1.576,0,0,4.316,0.584,15.47,7,7,3.787,17.691,0.315,1.657,3.001,3.001,2.015,0,0,0,0.036,3.513,1.515,0.59,1,7,61.776,0.0,0.0,10.066,0,3
5.0,0.035,-0.016,0.939,33.571,0.884,0.863,0.865,0.884,0.863,0.926,0.8,1.745,1.912,0.893,0.845,3.749,151.427,1.154,3.894,207.0,0.8,0.891,0.74,0.314,0.1,7.548,2.126,0.218,0.321,3.746,339.687,0.016,0.02,10.525,5.124,3,18,10.949,0.623,18.035,6,6,3.916,20.652,0.259,0.466,3.476,3.476,2.082,3,3,18,0.031,3.676,1.521,0.509,3,6,52.951,2.047,787.866,11.884,5,2
8.959,0.141,0.08,0.792,0.0,0.822,0.838,0.734,0.844,0.816,1.703,1.139,1.556,1.742,0.834,0.729,3.63,237.86,2.842,3.71,249.0,0.998,0.985,0.78,0.34,0.158,3.566,2.035,0.379,0.0,3.551,487.408,-0.113,0.026,17.182,2.036,0,0,5.563,0.586,16.011,9,9,3.804,18.291,0.309,1.713,3.129,3.129,2.022,0,0,0,0.037,3.537,1.547,0.592,1,9,79.427,0.0,0.0,10.458,0,4
4.0,0.026,-0.024,0.951,33.571,0.885,0.867,0.864,0.885,0.867,0.935,0.793,1.76,1.92,0.879,0.847,3.747,147.006,1.155,3.866,180.0,0.793,0.904,0.737,0.314,0.071,7.409,2.126,0.208,0.327,3.665,303.196,0.01,0.018,10.793,5.109,3,18,10.831,0.62,17.975,6,6,3.915,20.605,0.246,0.454,3.462,3.462,2.081,3,3,18,0.03,3.67,1.511,0.491,3,6,52.951,2.265,772.666,11.808,4,2
4.523,0.072,0.041,0.883,0.0,0.81,0.838,0.792,0.845,0.803,1.216,1.113,1.532,1.715,0.822,0.786,3.511,123.374,2.586,3.674,130.0,0.906,0.998,0.786,0.346,0.106,2.437,2.042,0.389,0.0,3.394,223.555,0.051,0.021,11.103,1.477,0,0,3.898,0.586,15.669,6,6,3.787,17.943,0.304,1.66,3.094,3.094,2.012,0,0,0,0.036,3.387,1.542,0.596,1,6,52.951,0.0,0.0,10.104,1,3
5.0,0.035,0.009,0.914,33.571,0.886,0.864,0.873,0.886,0.864,0.835,0.75,1.918,2.03,0.914,0.852,3.701,93.913,0.734,3.914,39.0,0.75,0.849,0.711,0.302,0.036,7.499,2.126,0.098,0.511,3.684,170.083,0.027,0.015,1.867,5.436,4,24,10.43,0.643,17.073,0,0,3.906,19.525,0.17,0.441,3.444,3.444,2.082,4,4,24,0.02,3.674,1.489,0.378,4,1,7.19,1.478,837.324,11.404,2,1
5.0,0.029,-0.002,0.918,28.429,0.896,0.873,0.883,0.896,0.873,0.769,0.682,1.89,2.018,0.914,0.861,3.712,90.667,0.774,3.84,52.0,0.682,0.822,0.715,0.299,0.045,6.794,2.126,0.118,0.522,3.689,175.414,0.039,0.014,1.838,4.914,4,24,9.617,0.633,16.97,0,0,3.911,19.389,0.184,0.464,3.315,3.315,2.083,4,4,24,0.022,3.693,1.509,0.409,4,1,7.19,0.814,804.671,11.288,1,1
5.398,0.033,-0.001,0.92,16.786,0.896,0.873,0.878,0.896,0.873,0.803,0.682,1.917,2.031,0.917,0.855,3.76,90.687,0.744,3.911,39.0,0.682,0.839,0.711,0.301,0.034,7.457,2.125,0.1,0.522,3.691,164.092,0.004,0.013,1.868,5.425,4,24,10.42,0.646,17.074,0,0,3.906,19.527,0.173,0.452,3.446,3.446,2.08,4,4,24,0.02,3.693,1.494,0.383,4,1,7.19,1.645,813.11,11.403,0,1
5.0,0.051,0.021,0.897,16.786,0.885,0.864,0.868,0.885,0.864,0.884,0.772,1.895,2.018,0.911,0.848,3.766,97.06,0.754,3.885,52.0,0.772,0.858,0.715,0.305,0.045,7.436,2.127,0.119,0.5,3.694,180.02,0.007,0.016,3.996,5.426,4,24,10.32,0.631,17.078,2,2,3.907,19.53,0.186,0.45,3.444,3.444,2.083,4,4,24,0.023,3.696,1.49,0.398,3,2,17.65,1.738,857.781,11.412,1,2
6.0,0.056,0.008,0.906,16.786,0.877,0.854,0.857,0.877,0.854,0.941,0.813,1.834,1.988,0.902,0.835,3.733,90.383,1.061,3.84,86.0,0.813,0.872,0.723,0.303,0.08,6.398,2.126,0.171,0.478,3.706,181.614,-0.056,0.018,6.922,4.275,4,22,8.824,0.62,17.436,3,3,3.922,19.889,0.224,0.505,3.472,3.472,2.082,4,4,22,0.03,3.707,1.519,0.46,1,4,34.872,1.367,403.61,11.579,2,2
6.0,0.056,0.008,0.906,16.786,0.877,0.854,0.857,0.877,0.854,0.941,0.813,1.834,1.988,0.902,0.835,3.733,90.383,1.061,3.84,86.0,0.813,0.872,0.723,0.303,0.08,6.398,2.126,0.171,0.478,3.706,181.614,-0.056,0.018,6.922,4.275,4,22,8.824,0.62,17.436,3,3,3.922,19.889,0.224,0.505,3.472,3.472,2.082,4,4,22,0.03,3.707,1.519,0.46,1,4,34.872,1.367,403.61,11.579,2,2
5.0,0.029,-0.003,0.922,18.952,0.883,0.861,0.87,0.883,0.861,0.853,0.766,1.89,2.018,0.914,0.848,3.71,90.688,0.774,3.84,52.0,0.766,0.819,0.715,0.301,0.056,6.763,2.126,0.118,0.522,3.688,172.563,0.039,0.015,1.847,4.923,4,24,9.593,0.633,16.925,0,0,3.911,19.337,0.194,0.458,3.259,3.259,2.083,4,4,24,0.023,3.693,1.505,0.415,4,1,7.19,0.82,808.438,11.271,1,1
5.0,0.037,-0.011,0.926,33.449,0.892,0.869,0.878,0.892,0.869,0.794,0.704,1.915,2.032,0.915,0.856,3.693,87.542,0.754,3.913,39.0,0.704,0.844,0.712,0.3,0.032,7.193,2.125,0.103,0.511,3.645,158.785,0.012,0.013,1.858,5.129,4,23,10.074,0.64,17.169,0,0,3.906,19.623,0.177,0.456,3.476,3.476,2.08,4,4,23,0.021,3.628,1.492,0.39,4,1,7.19,1.354,593.923,11.376,0,1
5.0,0.013,-0.009,0.947,33.571,0.908,0.881,0.891,0.908,0.881,0.728,0.614,1.974,2.074,0.933,0.864,3.767,89.519,0.445,3.906,26.0,0.614,0.84,0.703,0.299,0.002,7.554,2.127,0.073,0.58,3.733,162.073,0.014,0.015,0.0,5.454,5,29,10.581,0.641,17.432,0,0,3.91,19.907,0.167,0.4,3.473,3.473,2.082,5,5,29,0.02,3.745,1.479,0.364,3,0,0.0,2.278,888.03,11.651,3,1
5.0,0.018,-0.004,0.934,16.786,0.897,0.876,0.871,0.897,0.876,0.862,0.687,1.92,2.03,0.915,0.851,3.766,97.044,0.84,3.884,40.0,0.687,0.849,0.711,0.303,0.011,7.41,2.127,0.097,0.5,3.692,177.962,0.021,0.015,2.038,5.463,4,24,10.459,0.631,17.073,1,1,3.907,19.525,0.167,0.447,3.444,3.444,2.082,4,4,24,0.02,3.695,1.482,0.372,3,1,8.825,1.745,858.026,11.405,1,1
5.0,0.028,0.001,0.923,16.786,0.883,0.861,0.87,0.883,0.861,0.853,0.766,1.917,2.031,0.912,0.848,3.726,90.687,0.744,3.84,39.0,0.766,0.826,0.711,0.301,0.049,6.586,2.126,0.102,0.522,3.69,163.913,0.023,0.013,1.853,4.735,4,24,9.405,0.633,17.074,0,0,3.908,19.527,0.173,0.452,3.446,3.446,2.081,4,4,24,0.02,3.693,1.494,0.383,4,1,7.19,1.405,813.11,11.403,1,1
5.0,0.006,-0.005,0.944,16.786,0.895,0.872,0.876,0.895,0.872,0.811,0.689,1.915,2.032,0.916,0.854,3.766,87.779,0.51,3.88,37.0,0.689,0.859,0.712,0.302,-0.013,6.865,2.127,0.104,0.533,3.69,156.454,0.008,0.016,1.613,5.061,4,24,9.732,0.635,17.059,1,1,3.907,19.511,0.177,0.42,3.444,3.444,2.082,4,4,24,0.022,3.693,1.491,0.392,3,1,8.825,1.728,796.695,11.394,1,1
5.0,0.006,0.007,0.957,33.571,0.9,0.881,0.876,0.9,0.881,0.865,0.698,1.772,1.927,0.897,0.858,3.747,155.957,1.337,3.849,182.0,0.698,0.908,0.735,0.311,-0.004,6.978,2.127,0.203,0.316,3.666,324.256,0.055,0.016,11.058,4.811,3,18,10.756,0.612,17.979,4,4,3.915,20.608,0.22,0.459,3.473,3.473,2.083,3,3,18,0.027,3.671,1.514,0.466,3,6,52.094,2.222,804.314,11.811,3,3
5.0,-0.021,-0.031,0.999,33.571,0.909,0.895,0.875,0.914,0.89,0.868,0.63,1.806,1.946,0.904,0.856,3.747,151.491,1.427,3.849,135.0,0.597,0.91,0.73,0.31,-0.008,6.935,2.126,0.165,0.321,3.665,314.135,0.047,0.017,5.493,4.759,3,18,10.494,0.612,17.955,3,4,3.915,20.591,0.198,0.444,3.473,3.473,2.082,3,3,18,0.023,3.67,1.493,0.427,3,3,26.476,2.217,789.254,11.779,3,2
5.0,0.042,0.007,0.926,33.571,0.899,0.88,0.87,0.899,0.88,0.892,0.693,1.76,1.92,0.896,0.852,3.747,147.006,1.155,3.849,180.0,0.693,0.917,0.737,0.314,0.081,6.721,2.126,0.207,0.327,3.666,313.448,0.0,0.018,8.942,4.51,3,18,10.003,0.613,18.006,5,5,3.915,20.63,0.246,0.454,3.474,3.474,2.082,3,3,18,0.03,3.671,1.511,0.491,2,5,44.126,2.181,772.666,11.846,3,2
5.921,0.135,0.074,0.817,0.0,0.808,0.825,0.72,0.833,0.8,1.882,1.293,1.543,1.74,0.837,0.713,3.651,370.527,2.935,3.743,431.0,1.123,0.989,0.782,0.331,0.146,4.754,2.04,0.4,0.0,3.597,890.395,-0.037,0.026,21.801,3.007,0,0,7.469,0.59,16.675,11,11,3.83,19.026,0.307,1.761,3.202,3.202,2.034,0,0,0,0.039,3.59,1.592,0.603,0,12,105.474,0.0,0.0,10.945,0,5
7.569,0.135,0.084,0.789,0.0,0.812,0.83,0.73,0.835,0.807,1.714,1.195,1.548,1.735,0.83,0.726,3.619,202.721,2.723,3.701,218.0,1.047,0.984,0.781,0.341,0.134,3.523,2.048,0.388,0.0,3.552,395.045,-0.048,0.024,17.747,2.084,0,0,5.44,0.585,15.876,9,9,3.805,18.16,0.306,1.821,3.085,3.085,2.032,0,0,0,0.037,3.538,1.55,0.592,1,9,79.427,0.0,0.0,10.313,0,5
8.523,0.136,0.117,0.785,0.0,0.847,0.839,0.778,0.847,0.839,1.429,0.983,1.531,1.728,0.831,0.77,3.609,262.327,2.757,3.735,309.0,0.983,1.024,0.785,0.333,0.076,3.659,2.046,0.409,0.0,3.554,590.825,-0.017,0.022,17.874,2.282,0,0,5.942,0.589,16.366,10,10,3.816,18.669,0.319,1.743,3.239,3.239,2.031,0,0,0,0.039,3.546,1.59,0.618,0,10,88.252,0.0,0.0,10.73,0,5
7.252,0.144,0.072,0.792,0.0,0.82,0.836,0.735,0.843,0.813,1.683,1.147,1.569,1.749,0.836,0.729,3.624,226.195,2.886,3.69,222.0,1.0,0.942,0.777,0.344,0.175,3.377,2.035,0.359,0.0,3.551,450.501,-0.127,0.024,15.574,1.964,0,0,5.261,0.586,15.814,8,8,3.792,18.077,0.303,1.666,2.978,2.978,2.021,0,0,0,0.035,3.536,1.524,0.575,2,8,70.602,0.0,0.0,10.335,0,4
7.276,0.139,0.111,0.785,0.0,0.846,0.837,0.777,0.846,0.837,1.424,0.986,1.543,1.735,0.833,0.769,3.591,250.073,2.799,3.719,278.0,0.986,1.029,0.782,0.336,0.09,3.532,2.045,0.392,0.0,3.554,548.981,0.012,0.022,16.373,2.138,0,0,5.63,0.589,16.217,9,9,3.805,18.499,0.314,1.702,3.159,3.159,2.03,0,0,0,0.038,3.545,1.567,0.606,1,9,79.427,0.0,0.0,10.637,0,5
8.602,0.123,0.084,0.815,0.0,0.841,0.847,0.769,0.859,0.829,1.54,1.057,1.643,1.821,0.858,0.758,3.643,178.039,2.98,3.785,250.0,0.939,0.965,0.76,0.328,0.112,4.902,2.079,0.304,0.14,3.632,368.216,-0.043,0.021,17.452,3.112,1,6,7.371,0.603,16.773,9,9,3.872,19.184,0.267,1.003,3.244,3.244,2.058,1,1,6,0.033,3.625,1.533,0.527,1,9,79.427,0.932,196.98,11.11,0,5
2.745,-0.04,-0.022,0.973,16.786,0.902,0.881,0.855,0.92,0.863,0.884,0.602,1.869,1.995,0.928,0.818,3.739,79.633,1.249,3.839,42.0,0.486,0.905,0.719,0.305,-0.13,3.609,2.057,0.133,0.447,3.551,124.34,0.029,0.015,2.701,2.216,3,17,5.619,0.647,17.415,1,1,3.908,19.894,0.188,0.566,3.473,3.473,2.038,3,3,17,0.022,3.578,1.487,0.398,1,2,19.708,2.102,332.792,11.615,0,0
6.854,0.123,0.084,0.815,0.0,0.841,0.847,0.769,0.859,0.829,1.54,1.057,1.643,1.821,0.858,0.758,3.643,178.039,2.98,3.785,250.0,0.939,0.965,0.76,0.328,0.112,4.902,2.079,0.304,0.14,3.632,368.216,-0.043,0.021,17.452,3.112,1,6,7.371,0.603,16.773,9,9,3.872,19.184,0.267,1.003,3.244,3.244,2.058,1,1,6,0.033,3.625,1.533,0.527,1,9,79.427,0.932,196.98,11.11,0,5
7.143,0.136,0.097,0.8,0.0,0.837,0.841,0.759,0.856,0.823,1.599,1.079,1.643,1.821,0.872,0.746,3.643,178.039,2.98,3.787,250.0,0.958,0.947,0.76,0.328,0.12,4.717,2.073,0.304,0.14,3.633,374.671,-0.036,0.021,17.263,2.949,1,6,7.188,0.607,16.882,9,9,3.872,19.293,0.267,1.003,3.286,3.286,2.053,1,1,6,0.033,3.626,1.533,0.527,1,9,79.427,0.89,196.98,11.188,0,5
6.071,0.136,0.097,0.8,0.0,0.837,0.841,0.759,0.856,0.823,1.599,1.079,1.643,1.821,0.872,0.746,3.643,178.039,2.98,3.787,250.0,0.958,0.947,0.76,0.328,0.12,4.717,2.073,0.304,0.14,3.633,374.671,-0.036,0.021,17.263,2.949,1,6,7.188,0.607,16.882,9,9,3.872,19.293,0.267,1.003,3.286,3.286,2.053,1,1,6,0.033,3.626,1.533,0.527,1,9,79.427,0.89,196.98,11.188,0,5
8.523,0.141,0.08,0.792,0.0,0.822,0.838,0.734,0.844,0.816,1.703,1.139,1.556,1.742,0.834,0.729,3.63,237.86,2.842,3.71,249.0,0.998,0.985,0.78,0.34,0.158,3.566,2.035,0.379,0.0,3.551,487.408,-0.113,0.026,17.182,2.036,0,0,5.563,0.586,16.011,9,9,3.804,18.291,0.309,1.713,3.129,3.129,2.022,0,0,0,0.037,3.537,1.547,0.592,1,9,79.427,0.0,0.0,10.458,0,4
2.796,-0.066,-0.065,1.01,16.786,0.908,0.881,0.864,0.923,0.867,0.822,0.557,1.897,2.01,0.935,0.825,3.739,76.314,1.235,3.838,31.0,0.466,0.819,0.715,0.307,-0.125,3.414,2.056,0.108,0.459,3.515,114.35,0.003,0.014,1.208,2.157,3,17,5.34,0.65,17.37,0,0,3.908,19.853,0.179,0.558,3.471,3.471,2.037,3,3,17,0.02,3.546,1.472,0.377,2,1,10.883,2.106,322.64,11.578,0,0
5.67,0.139,0.087,0.793,0.0,0.821,0.834,0.729,0.843,0.813,1.739,1.149,1.565,1.748,0.851,0.722,3.633,250.374,2.946,3.714,250.0,1.009,0.971,0.778,0.34,0.125,3.569,2.031,0.368,0.0,3.552,519.864,-0.088,0.022,17.158,2.045,0,0,5.662,0.591,16.192,9,9,3.808,18.487,0.3,1.625,3.128,3.128,2.018,0,0,0,0.036,3.541,1.537,0.581,1,9,79.427,0.0,0.0,10.592,0,4
7.252,0.157,0.089,0.777,0.0,0.817,0.831,0.725,0.84,0.808,1.754,1.166,1.556,1.742,0.849,0.717,3.63,237.86,2.842,3.712,249.0,1.022,0.963,0.78,0.34,0.177,3.419,2.027,0.379,0.0,3.551,496.635,-0.13,0.026,16.983,1.912,0,0,5.398,0.591,16.246,9,9,3.804,18.556,0.309,1.713,3.161,3.161,2.016,0,0,0,0.037,3.537,1.547,0.592,1,9,79.427,0.0,0.0,10.606,0,4
6.959,0.153,0.135,0.763,0.0,0.843,0.832,0.767,0.843,0.832,1.495,1.006,1.531,1.728,0.846,0.757,3.609,262.327,2.757,3.735,309.0,1.006,1.013,0.785,0.333,0.082,3.474,2.034,0.409,0.0,3.554,600.706,-0.015,0.022,17.621,2.141,0,0,5.749,0.594,16.524,10,10,3.816,18.842,0.319,1.743,3.245,3.245,2.023,0,0,0,0.039,3.546,1.59,0.618,0,10,88.252,0.0,0.0,10.842,0,5
7.854,0.103,0.067,0.892,18.952,0.885,0.888,0.858,0.903,0.87,0.942,0.765,1.63,1.813,0.844,0.844,3.675,208.72,3.414,3.8,329.0,0.644,1.021,0.763,0.325,0.064,4.707,2.037,0.297,0.064,3.608,487.704,-0.056,0.022,9.111,2.921,1,3,7.044,0.595,16.824,5,5,3.883,19.191,0.277,0.868,3.192,3.192,2.022,1,1,3,0.033,3.601,1.531,0.547,1,5,44.126,0.0,0.0,11.108,0,2
5.0,-0.013,-0.045,0.983,7.958,0.892,0.877,0.878,0.892,0.877,0.788,0.693,1.774,1.917,0.886,0.863,3.815,101.621,1.716,3.844,73.0,0.693,0.948,0.736,0.316,-0.042,6.319,2.127,0.173,0.316,3.655,191.448,-0.004,0.018,5.305,4.31,2,12,8.944,0.617,17.672,3,3,3.909,20.279,0.218,0.623,3.443,3.443,2.084,2,2,12,0.026,3.637,1.485,0.464,2,3,26.476,1.075,341.671,11.435,1,2
5.0,0.013,-0.012,0.957,7.958,0.884,0.88,0.861,0.894,0.871,0.909,0.756,1.784,1.921,0.886,0.847,3.816,110.371,1.828,3.846,79.0,0.691,0.948,0.735,0.315,0.007,6.701,2.128,0.164,0.3,3.657,213.054,-0.008,0.017,5.757,4.81,2,12,9.326,0.615,17.681,3,3,3.909,20.288,0.207,0.657,3.443,3.443,2.084,2,2,12,0.023,3.642,1.484,0.445,2,3,26.476,1.082,361.864,11.445,1,2
5.0,0.047,-0.001,0.92,7.958,0.878,0.865,0.848,0.878,0.865,0.977,0.785,1.769,1.915,0.867,0.836,3.815,96.868,1.442,3.843,78.0,0.785,0.94,0.737,0.317,0.067,6.494,2.127,0.177,0.324,3.653,187.553,0.016,0.018,5.955,4.609,2,12,8.778,0.614,17.649,3,3,3.909,20.264,0.224,0.698,3.443,3.443,2.083,2,2,12,0.026,3.631,1.492,0.464,1,3,26.476,1.085,329.696,11.386,0,2
