pXC50,GATS6s,GATS1s,PW5,MATS6e,MATS6s,AAC,IC0,GATS4e,GATS4s,GATS6e,GATS6p,Eta_epsi_A,CATS2D_05_PL,CATS2D_07_DD,CATS2D_08_PP,CATS2D_09_AP,GATS1e,GATS6m,IC1,MATS1p,MATS1v,MATS6m,nRCONH2,BIC1,C.001,C.003,CATS2D_05_AL,CATS2D_07_LL,CATS2D_08_LL,CATS2D_09_LL,Eig01_AEA.ri.,Eig01_EA.ed.,Eig01_EA.ri.,Eta_FL_A,GATS1p,GATS1v,GATS4m,H.,MATS1e,MATS1s,MATS4e,MATS4m,MATS6i,N.072,nCp,nCt,NsCH3,P_VSA_LogP_1,SIC1,SM10_AEA.dm.,SpMax_AEA.ri.,SpMax_EA.ed.,SpMax_EA.ri.,SpMin5_Bh.s.,SsCH3,SssNH,X0Av,X2Av,MATS5s,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v
7.155,1.632,0.7,0.089,-0.141,-0.164,1.527,1.527,1.234,1.181,1.554,0.991,0.553,4,5,2,4,0.825,1.199,2.885,-0.016,0.002,-0.112,1,0.378,13,6,22,31,29,34,4.003,9.709,2.963,0.148,1.437,1.28,0.907,56.1,-0.104,-0.08,-0.114,0.115,0.126,10,14,6,13,114.728,0.382,9.709,4.003,9.709,2.963,1.3,23.267,24.701,0.624,0.221,0.162,25.268,1.482,2.197,311.756,6.229,0.0,5.256,5.422,4.596,4.635,6.321,4.592,5.838,6.067,4.938,5.03,6.865,4.938,6.194,6.45,5.068,5.237,7.221,5.126,6.353,6.633,5.197,5.31,7.367,5.222,6.36,6.597,5.373,5.37,7.681,5.315,6.475,6.715,5.371,5.484,7.634,5.406,6.56,6.804,5.435,5.599,7.65,5.506,6.688,6.949,5.541,5.7,7.875,5.585
6.523,1.657,0.69,0.09,-0.145,-0.166,1.519,1.519,1.235,1.184,1.582,0.987,0.551,4,5,2,4,0.815,1.209,2.854,-0.019,0.0,-0.114,1,0.367,15,7,25,36,34,40,4.003,9.709,2.963,0.145,1.441,1.286,0.899,56.3,-0.098,-0.077,-0.109,0.125,0.131,11,16,7,15,132.378,0.371,9.709,4.003,9.709,2.963,1.307,26.929,27.564,0.628,0.223,0.169,27.5,2.364,5.591,342.801,6.204,0.0,5.352,5.517,4.689,4.734,6.408,4.689,5.937,6.167,5.033,5.131,6.954,5.039,6.295,6.55,5.167,5.341,7.318,5.229,6.458,6.74,5.3,5.414,7.467,5.325,6.461,6.697,5.479,5.475,7.783,5.42,6.581,6.82,5.478,5.592,7.742,5.515,6.668,6.91,5.543,5.711,7.755,5.618,6.8,7.06,5.653,5.818,7.98,5.702
5.86,1.602,0.711,0.088,-0.136,-0.163,1.536,1.536,1.233,1.179,1.521,0.997,0.555,4,5,2,4,0.837,1.188,2.919,-0.012,0.005,-0.108,1,0.39,11,5,19,26,24,28,4.003,9.709,2.963,0.151,1.432,1.273,0.918,56.0,-0.111,-0.085,-0.121,0.102,0.12,9,12,5,11,97.077,0.395,9.709,4.003,9.709,2.963,1.291,19.594,21.843,0.621,0.218,0.154,22.959,0.6,0.36,280.71,6.259,0.0,5.151,5.318,4.494,4.525,6.225,4.484,5.728,5.958,4.832,4.917,6.767,4.827,6.081,6.338,4.958,5.12,7.114,5.012,6.235,6.514,5.083,5.194,7.255,5.107,6.247,6.486,5.253,5.254,7.567,5.197,6.356,6.596,5.25,5.363,7.514,5.284,6.439,6.684,5.313,5.472,7.532,5.379,6.562,6.824,5.415,5.565,7.758,5.452
7.721,1.579,0.727,0.08,-0.05,-0.126,1.539,1.539,0.986,1.178,1.317,0.941,0.562,4,5,2,4,0.877,1.162,3.001,-0.122,-0.039,-0.093,1,0.381,11,5,19,25,23,26,4.003,9.709,2.963,0.155,1.579,1.337,0.917,56.3,-0.08,-0.073,-0.075,0.072,0.152,8,12,5,11,97.077,0.384,9.709,4.003,9.709,2.963,1.292,19.941,22.832,0.618,0.215,0.115,40.561,-0.067,0.004,368.789,6.268,0.0,5.447,5.598,4.8,4.785,6.485,4.758,6.042,6.259,5.084,5.147,7.049,5.074,6.34,6.589,5.186,5.335,7.345,5.231,6.443,6.716,5.273,5.415,7.403,5.317,6.514,6.764,5.419,5.459,7.704,5.391,6.565,6.804,5.431,5.544,7.67,5.462,6.624,6.873,5.489,5.659,7.645,5.558,6.778,7.04,5.584,5.741,7.892,5.631
7.638,1.572,0.703,0.083,-0.099,-0.134,1.486,1.486,1.224,1.167,1.494,1.006,0.54,4,5,2,4,0.829,1.171,2.893,-0.011,0.002,-0.085,1,0.378,11,5,19,31,30,34,4.003,9.709,2.963,0.138,1.441,1.301,0.929,57.3,-0.095,-0.071,-0.101,0.093,0.099,8,12,5,11,97.077,0.381,9.709,4.003,9.709,2.963,1.308,20.412,23.039,0.629,0.229,0.137,28.183,3.303,10.907,318.135,6.062,0.0,5.277,5.444,4.594,4.667,6.304,4.614,5.866,6.099,4.913,5.061,6.843,4.955,6.222,6.488,5.034,5.257,7.196,5.129,6.358,6.645,5.143,5.319,7.321,5.21,6.367,6.619,5.299,5.373,7.59,5.292,6.464,6.714,5.312,5.477,7.558,5.38,6.552,6.809,5.385,5.586,7.582,5.477,6.668,6.933,5.483,5.681,7.798,5.557
9.398,1.268,0.857,0.077,-0.034,-0.098,1.631,1.631,1.303,1.272,1.166,1.098,0.588,7,9,0,7,0.982,1.048,3.254,0.049,0.048,-0.033,0,0.452,2,0,8,8,6,7,3.995,9.708,2.943,0.176,1.365,1.187,1.054,53.6,-0.199,-0.141,-0.187,-0.039,0.047,6,4,0,2,17.65,0.458,9.708,3.995,9.708,2.943,1.269,2.638,15.126,0.577,0.188,0.11,20.125,-5.562,30.937,234.788,6.633,0.0,4.978,5.148,4.358,4.295,6.14,4.286,5.518,5.737,4.675,4.674,6.679,4.609,5.872,6.135,4.792,4.852,6.988,4.774,5.959,6.214,4.867,4.921,7.1,4.861,6.017,6.258,5.017,4.997,7.343,4.943,6.101,6.342,5.068,5.093,7.293,5.03,6.207,6.453,5.142,5.176,7.407,5.114,6.285,6.535,5.234,5.241,7.614,5.171
8.959,1.07,0.81,0.08,0.039,-0.01,1.686,1.686,1.218,1.186,1.007,1.07,0.613,5,7,0,5,0.94,1.013,3.364,0.061,0.056,-0.017,0,0.469,0,0,7,7,6,6,3.954,9.292,2.91,0.183,1.347,1.151,1.058,51.5,-0.194,-0.121,-0.199,-0.063,0.064,6,3,0,0,0.0,0.476,9.292,3.954,9.292,2.91,1.218,0.0,14.302,0.56,0.183,0.094,21.323,-5.854,34.269,228.818,6.957,0.0,4.957,5.111,4.374,4.275,6.165,4.281,5.494,5.695,4.694,4.655,6.746,4.604,5.861,6.113,4.804,4.834,7.012,4.768,5.94,6.182,4.881,4.895,7.128,4.852,5.997,6.227,5.049,4.963,7.396,4.93,6.075,6.302,5.1,5.049,7.407,5.006,6.167,6.403,5.131,5.125,7.432,5.078,6.23,6.465,5.227,5.181,7.605,5.132
9.222,1.48,0.822,0.078,-0.078,-0.13,1.582,1.582,1.32,1.246,1.373,0.979,0.577,5,6,0,5,0.933,1.05,3.691,0.081,0.065,-0.029,0,0.541,2,1,9,13,11,12,3.991,9.693,2.953,0.223,1.142,1.044,1.048,50.5,-0.165,-0.136,-0.172,-0.039,0.028,4,2,1,2,17.65,0.557,9.693,3.991,9.693,2.953,1.16,3.509,11.136,0.573,0.182,0.056,17.061,0.013,0.0,186.834,6.858,0.24,4.65,4.81,4.09,4.077,5.812,4.056,5.162,5.366,4.408,4.45,6.309,4.383,5.482,5.722,4.485,4.611,6.572,4.525,5.6,5.858,4.515,4.633,6.691,4.551,5.631,5.881,4.587,4.643,6.88,4.571,5.637,5.879,4.602,4.7,6.766,4.622,5.707,5.951,4.691,4.795,6.827,4.711,5.834,6.096,4.759,4.865,7.038,4.771
7.174,1.536,0.805,0.078,-0.087,-0.139,1.565,1.565,1.257,1.213,1.386,0.991,0.568,5,6,0,5,0.94,1.056,3.533,0.029,0.039,-0.029,0,0.516,2,2,9,11,8,11,3.991,9.693,2.953,0.195,1.272,1.136,1.043,52.9,-0.153,-0.112,-0.157,-0.038,0.03,4,2,2,2,17.65,0.527,9.693,3.991,9.693,2.953,1.16,3.543,11.34,0.584,0.193,0.046,17.061,-0.31,0.096,187.255,6.596,0.12,4.698,4.865,4.105,4.09,5.807,4.066,5.245,5.463,4.429,4.484,6.328,4.409,5.585,5.841,4.503,4.668,6.592,4.568,5.704,5.976,4.534,4.698,6.728,4.598,5.726,5.995,4.601,4.692,6.918,4.606,5.702,5.953,4.614,4.734,6.796,4.647,5.765,6.015,4.704,4.825,6.852,4.734,5.892,6.161,4.771,4.899,7.051,4.795
8.523,1.424,0.808,0.074,-0.033,-0.093,1.513,1.513,1.31,1.247,1.311,1.02,0.55,5,6,0,5,0.925,1.032,3.353,0.039,0.034,-0.002,0,0.483,3,1,8,13,11,12,3.99,9.692,2.952,0.176,1.294,1.183,1.038,54.9,-0.136,-0.104,-0.147,-0.019,0.008,4,3,1,3,26.476,0.492,9.692,3.99,9.692,2.952,1.228,5.715,11.265,0.601,0.203,0.086,19.549,2.174,4.725,198.946,6.328,0.118,4.761,4.929,4.123,4.167,5.843,4.125,5.309,5.533,4.419,4.544,6.354,4.446,5.639,5.906,4.501,4.706,6.625,4.589,5.731,6.005,4.54,4.737,6.739,4.627,5.758,6.025,4.61,4.756,6.911,4.651,5.768,6.028,4.63,4.802,6.814,4.695,5.831,6.092,4.709,4.872,6.884,4.767,5.93,6.205,4.772,4.928,7.07,4.816
7.377,1.489,0.834,0.074,-0.093,-0.142,1.575,1.575,1.301,1.259,1.34,1.012,0.571,6,6,0,6,0.963,1.074,3.411,0.037,0.04,-0.053,0,0.503,2,1,8,10,8,10,3.99,9.692,2.953,0.201,1.274,1.139,1.024,53.0,-0.17,-0.13,-0.168,-0.015,0.037,4,2,1,2,17.65,0.513,9.692,3.99,9.692,2.953,1.16,3.521,11.127,0.583,0.191,0.045,17.0,-0.98,0.96,179.343,6.6,0.128,4.652,4.822,4.049,4.029,5.787,4.007,5.179,5.401,4.346,4.395,6.297,4.317,5.494,5.754,4.401,4.549,6.531,4.454,5.587,5.855,4.463,4.588,6.637,4.502,5.633,5.887,4.558,4.622,6.866,4.546,5.665,5.917,4.566,4.693,6.762,4.604,5.738,5.996,4.658,4.78,6.825,4.685,5.843,6.114,4.718,4.833,7.025,4.732
8.62,1.379,0.834,0.076,-0.073,-0.128,1.605,1.605,1.284,1.207,1.274,1.016,0.582,5,6,0,5,0.951,1.047,3.621,0.056,0.052,-0.039,0,0.546,3,1,7,9,7,7,3.99,9.691,2.952,0.21,1.232,1.101,1.056,51.7,-0.181,-0.145,-0.191,-0.055,0.024,4,3,1,3,26.476,0.559,9.691,3.99,9.691,2.952,0.831,4.774,10.834,0.581,0.183,0.067,16.07,-1.687,2.845,162.112,6.774,0.14,4.541,4.708,3.959,3.921,5.713,3.905,5.055,5.271,4.28,4.287,6.222,4.224,5.369,5.612,4.357,4.457,6.479,4.379,5.493,5.753,4.398,4.508,6.588,4.429,5.538,5.792,4.469,4.532,6.794,4.455,5.549,5.799,4.464,4.575,6.671,4.489,5.601,5.854,4.539,4.643,6.718,4.555,5.705,5.978,4.59,4.687,6.929,4.59
