pXC50,MATS6e,MATS6s,P_VSA_LogP_4,P_VSA_MR_2,PW4,MATS4s,GATS8p,AMR,ATS1m,ATS1p,ATS1s,ATS1v,ATS2m,ATS2p,ATS2v,ATS3p,ATS3v,ATS4m,ATS4p,ATS4v,ATS5e,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC3i,ATSC3p,ATSC4i,ATSC4p,ATSC4v,ATSC5i,ATSC5p,ATSC5v,ATSC6i,ATSC6p,ATSC6v,ATSC7i,ATSC7p,ATSC7v,ATSC8i,ATSC8p,ATSC8v,BBI
7.639,-0.004,0.02,0.0,23.542,0.151,0.106,1.148,76.797,3.431,3.608,4.902,3.419,3.672,4.009,3.781,4.093,3.911,3.664,4.084,3.853,4.999,3.421,3.919,3.681,4.838,5.149,3.247,3.754,3.506,4.658,4.969,3.146,3.639,5.418,3.376,4.52,4.841,3.197,3.656,5.27,3.359,1.412,12.919,1.431,14.245,18.989,1.196,12.205,15.875,1.031,10.0,13.61,0.899,9.123,11.72,0.9,10.016,11.193,28
5.705,-0.085,-0.102,52.858,44.313,0.171,-0.028,1.006,69.28,3.689,3.205,4.959,3.17,3.923,3.625,3.552,3.771,3.669,3.957,3.77,3.667,4.851,3.922,3.64,3.564,4.649,4.856,3.716,3.433,3.362,4.421,4.612,3.539,3.266,5.735,3.195,4.34,4.507,3.501,2.985,5.918,3.005,0.938,9.471,0.949,9.792,11.934,0.834,8.888,10.764,0.675,6.704,8.71,0.563,5.942,7.166,0.421,4.332,5.289,29
4.824,-0.051,-0.069,52.858,44.313,0.151,-0.049,1.389,63.318,3.624,3.12,4.828,3.074,3.839,3.535,3.449,3.647,3.527,3.642,3.58,3.454,4.588,3.632,3.409,3.321,4.469,4.686,3.538,3.175,3.099,4.114,4.311,3.235,2.916,5.472,2.819,3.832,3.965,3.263,2.638,5.23,2.684,0.836,8.631,0.799,8.328,10.353,0.67,7.15,8.686,0.529,5.44,7.0,0.393,4.465,4.941,0.29,3.088,3.186,26
4.939,0.052,0.088,0.0,23.542,0.17,0.063,1.967,82.988,3.514,3.647,4.98,3.481,3.823,4.06,3.869,4.183,4.028,3.865,4.187,3.994,4.999,3.668,4.048,3.856,4.808,5.073,3.587,3.922,3.723,4.713,5.004,3.545,3.881,5.65,3.646,4.469,4.69,3.544,3.817,5.414,3.594,1.545,13.823,1.669,15.66,20.034,1.467,13.834,17.57,1.247,11.764,15.049,1.205,12.549,14.174,1.068,12.048,12.578,34
8.097,-0.014,0.016,0.0,23.542,0.151,0.099,1.3,67.552,3.352,3.508,4.821,3.314,3.602,3.907,3.679,3.983,3.813,3.598,3.959,3.744,4.882,3.377,3.788,3.558,4.698,5.017,3.296,3.734,3.446,4.409,4.662,3.33,3.694,5.23,3.434,4.541,4.835,3.168,3.562,5.468,3.307,1.259,11.516,1.274,12.166,16.856,1.045,10.578,13.731,0.976,10.982,12.505,0.891,10.51,11.333,0.815,9.532,11.332,26
4.026,0.059,0.004,426.833,472.375,0.209,0.063,1.101,250.242,4.483,4.458,6.08,4.458,4.936,4.931,4.916,5.162,5.121,5.222,5.293,5.242,6.026,5.375,5.458,5.412,6.155,6.291,5.549,5.596,5.556,6.294,6.44,5.648,5.689,7.478,5.65,6.406,6.559,5.653,5.713,7.612,5.668,3.185,26.649,3.815,32.356,38.808,4.383,37.034,43.173,4.946,41.633,48.341,5.705,48.108,56.15,6.341,53.105,59.911,122
5.546,0.035,0.03,0.0,0.0,0.17,-0.001,0.955,76.907,3.507,3.321,5.168,3.292,3.895,3.785,3.708,3.939,3.87,3.961,3.916,3.826,5.023,3.83,3.786,3.704,4.874,5.101,3.759,3.653,3.576,4.741,4.961,3.613,3.521,6.133,3.44,4.592,4.823,3.416,3.362,5.929,3.277,1.096,10.085,1.078,9.965,14.609,0.944,8.57,13.183,0.824,7.531,11.463,0.717,6.581,9.891,0.61,5.61,8.605,31
4.0,-0.046,-0.041,52.858,44.313,0.167,-0.034,1.126,81.205,3.808,3.356,5.175,3.337,4.07,3.783,3.73,3.951,3.876,4.207,3.983,3.906,5.1,4.295,3.94,3.883,5.027,5.206,4.219,3.839,3.785,4.867,5.043,3.986,3.716,6.343,3.656,4.752,4.919,3.889,3.543,6.211,3.542,1.114,10.891,1.157,11.492,14.576,1.101,11.356,13.896,0.992,9.923,12.501,0.875,8.955,10.982,0.735,7.027,9.257,35
5.854,0.038,0.029,0.0,0.0,0.17,-0.002,0.839,70.944,3.428,3.245,5.066,3.208,3.809,3.709,3.621,3.852,3.771,3.835,3.816,3.712,4.899,3.684,3.668,3.572,4.729,4.961,3.601,3.517,3.424,4.573,4.799,3.415,3.351,5.923,3.271,4.407,4.631,3.179,3.151,5.806,3.09,1.009,9.387,0.982,9.196,13.282,0.845,7.759,11.769,0.723,6.707,10.049,0.609,5.592,8.43,0.497,4.414,6.995,28
5.538,0.038,0.029,0.0,0.0,0.17,-0.002,0.839,70.944,3.428,3.245,5.066,3.208,3.809,3.709,3.621,3.852,3.771,3.835,3.816,3.712,4.899,3.684,3.668,3.572,4.729,4.961,3.601,3.517,3.424,4.573,4.799,3.415,3.351,5.923,3.271,4.407,4.631,3.179,3.151,5.806,3.09,1.009,9.387,0.982,9.196,13.282,0.845,7.759,11.769,0.723,6.707,10.049,0.609,5.592,8.43,0.497,4.414,6.995,28
6.48,0.127,0.141,0.0,0.0,0.194,0.022,0.008,48.161,2.93,2.808,4.706,2.83,3.273,3.223,3.214,3.445,3.399,3.38,3.444,3.362,4.573,3.027,3.213,3.102,4.259,4.541,2.632,2.69,2.564,3.537,3.854,1.459,1.869,4.819,1.679,2.273,2.648,0.242,0.859,2.996,0.622,0.661,5.149,0.623,5.285,9.146,0.455,4.152,7.906,0.247,2.408,5.037,0.094,0.959,2.214,0.023,0.264,0.641,19
5.699,0.018,0.01,54.999,35.313,0.195,-0.036,0.957,137.602,4.094,3.876,5.794,3.937,4.549,4.331,4.379,4.562,4.596,4.767,4.612,4.615,5.778,4.729,4.627,4.61,5.779,5.971,4.785,4.652,4.643,5.821,6.016,4.782,4.638,7.165,4.63,5.806,6.015,4.622,4.503,7.207,4.477,2.114,16.377,2.221,17.454,27.151,2.239,18.243,28.423,2.282,18.826,29.069,2.25,18.51,29.446,1.974,16.244,27.218,70
5.328,-0.13,-0.1,0.0,23.542,0.177,-0.033,0.651,48.756,2.835,2.895,4.536,2.855,3.159,3.31,3.225,3.425,3.302,3.0,3.324,3.171,4.327,2.735,3.12,2.939,4.086,4.391,2.386,2.879,2.685,3.832,4.149,1.926,2.555,4.71,2.318,3.409,3.756,1.281,2.008,4.277,1.737,0.678,5.416,0.598,4.949,8.322,0.481,4.138,6.963,0.371,3.227,5.443,0.255,2.403,4.093,0.136,1.332,2.403,17
4.745,-0.092,-0.083,0.0,23.542,0.17,-0.02,0.912,53.357,2.901,2.988,4.591,2.939,3.214,3.403,3.306,3.521,3.385,3.066,3.429,3.264,4.432,2.82,3.249,3.056,4.217,4.526,2.582,3.047,2.854,4.011,4.316,2.364,2.842,4.875,2.649,3.813,4.126,1.924,2.544,4.7,2.311,0.756,6.093,0.677,5.633,9.302,0.558,4.82,7.94,0.454,3.871,6.418,0.364,3.131,5.187,0.257,2.387,4.004,18
4.959,-0.077,-0.076,0.0,23.542,0.165,-0.009,0.946,57.958,2.963,3.073,4.643,3.017,3.267,3.488,3.381,3.609,3.461,3.128,3.525,3.349,4.526,2.898,3.362,3.16,4.333,4.645,2.68,3.184,2.98,4.152,4.461,2.564,3.016,4.945,2.824,3.995,4.296,2.363,2.834,4.867,2.644,0.834,6.77,0.755,6.316,10.28,0.635,5.502,8.915,0.53,4.548,7.397,0.446,3.772,6.164,0.365,3.111,5.105,19
4.796,-0.066,-0.064,0.0,23.542,0.162,-0.001,0.929,62.559,3.022,3.151,4.692,3.089,3.317,3.566,3.45,3.69,3.531,3.186,3.613,3.428,4.612,2.971,3.464,3.254,4.436,4.751,2.77,3.305,3.092,4.275,4.587,2.664,3.158,5.023,2.953,4.138,4.444,2.564,3.009,4.937,2.819,0.912,7.448,0.834,6.998,11.256,0.712,6.183,9.889,0.607,5.226,8.374,0.522,4.446,7.145,0.447,3.75,6.082,20
4.125,-0.058,-0.056,0.0,23.542,0.16,0.007,0.942,67.16,3.077,3.224,4.739,3.156,3.364,3.639,3.516,3.764,3.597,3.241,3.693,3.501,4.691,3.038,3.557,3.34,4.53,4.847,2.852,3.413,3.192,4.384,4.699,2.755,3.281,5.101,3.068,4.262,4.572,2.663,3.151,5.016,2.95,0.989,8.127,0.912,7.681,12.23,0.79,6.865,10.861,0.683,5.904,9.35,0.597,5.122,8.123,0.522,4.424,7.063,21
5.854,-0.051,-0.05,0.0,23.542,0.158,0.013,0.952,71.761,3.13,3.292,4.784,3.219,3.41,3.707,3.577,3.834,3.659,3.293,3.767,3.569,4.765,3.102,3.642,3.42,4.616,4.935,2.928,3.51,3.284,4.483,4.8,2.838,3.392,5.173,3.171,4.373,4.686,2.754,3.276,5.095,3.065,1.067,8.806,0.989,8.364,13.203,0.867,7.547,11.833,0.759,6.583,10.324,0.673,5.798,9.1,0.598,5.098,8.042,22
5.77,-0.046,-0.045,0.0,23.542,0.157,0.018,0.96,76.362,3.179,3.355,4.827,3.279,3.453,3.77,3.635,3.899,3.717,3.342,3.837,3.633,4.833,3.161,3.72,3.493,4.695,5.015,2.998,3.599,3.368,4.573,4.892,2.915,3.491,5.24,3.264,4.473,4.788,2.838,3.387,5.167,3.168,1.144,9.485,1.067,9.046,14.175,0.944,8.229,12.803,0.835,7.262,11.297,0.748,6.475,10.075,0.673,5.774,9.019,23
4.886,-0.042,-0.04,0.0,23.542,0.155,0.023,0.966,80.963,3.227,3.415,4.868,3.334,3.495,3.83,3.689,3.96,3.773,3.389,3.901,3.692,4.897,3.217,3.793,3.562,4.768,5.09,3.064,3.68,3.445,4.655,4.976,2.986,3.581,5.303,3.35,4.564,4.881,2.915,3.487,5.235,3.262,1.221,10.164,1.144,9.729,15.146,1.021,8.91,13.773,0.912,7.941,12.269,0.824,7.152,11.049,0.748,6.45,9.995,24
5.056,-0.111,-0.088,0.0,47.084,0.198,0.035,0.628,67.924,3.084,3.215,4.745,3.149,3.397,3.625,3.515,3.801,3.665,3.532,3.85,3.7,4.928,3.424,3.831,3.659,4.863,5.158,3.235,3.758,3.556,4.774,5.088,2.867,3.567,5.614,3.31,4.535,4.897,2.117,3.135,5.293,2.803,1.035,8.15,1.074,8.709,13.723,1.043,8.773,13.833,0.959,8.391,13.132,0.787,7.192,11.454,0.508,4.776,7.924,22
4.959,-0.106,-0.113,0.0,23.542,0.189,-0.067,0.0,39.554,2.687,2.678,4.417,2.662,3.038,3.093,3.04,3.199,3.114,2.795,3.063,2.934,4.066,2.228,2.716,2.503,3.567,3.913,1.347,2.108,1.835,2.793,3.182,0.409,1.292,3.497,0.979,1.298,1.682,0.021,0.361,1.386,0.189,0.521,4.066,0.431,3.613,6.359,0.282,2.739,4.915,0.14,1.435,2.761,0.05,0.551,1.144,0.008,0.102,0.218,15
4.328,-0.129,-0.122,0.0,23.542,0.19,-0.046,0.175,44.155,2.764,2.792,4.478,2.763,3.1,3.207,3.136,3.319,3.213,2.93,3.205,3.068,4.211,2.569,2.965,2.786,3.921,4.237,1.96,2.603,2.368,3.438,3.789,1.283,2.027,4.29,1.749,2.738,3.119,0.404,1.251,3.466,0.952,0.6,4.741,0.519,4.266,7.338,0.395,3.489,5.991,0.26,2.491,4.357,0.135,1.349,2.493,0.05,0.528,1.057,16
5.886,0.088,0.08,0.0,0.0,0.168,-0.012,0.247,59.019,3.249,3.075,4.823,3.016,3.613,3.537,3.42,3.651,3.538,3.52,3.58,3.435,4.592,3.293,3.367,3.248,4.367,4.602,3.16,3.134,3.061,4.246,4.482,2.878,2.834,5.715,2.775,3.923,4.199,2.171,2.274,5.458,2.15,0.834,7.995,0.789,7.656,10.626,0.638,5.98,8.89,0.501,4.524,6.977,0.37,3.282,5.383,0.207,1.924,3.402,22
4.046,0.115,0.111,0.0,0.0,0.174,-0.018,0.008,53.057,3.146,2.978,4.675,2.903,3.498,3.439,3.302,3.534,3.398,3.301,3.426,3.268,4.407,3.02,3.158,3.055,4.225,4.481,2.854,2.827,2.744,3.888,4.154,2.17,2.243,5.45,2.133,2.997,3.358,0.568,1.367,3.912,1.109,0.746,7.3,0.686,6.743,9.247,0.526,4.786,7.279,0.378,3.437,5.536,0.206,1.907,3.226,0.075,0.765,1.392,19
4.277,0.115,0.111,0.0,0.0,0.174,-0.018,0.008,53.057,3.146,2.978,4.675,2.903,3.498,3.439,3.302,3.534,3.398,3.301,3.426,3.268,4.407,3.02,3.158,3.055,4.225,4.481,2.854,2.827,2.744,3.888,4.154,2.17,2.243,5.45,2.133,2.997,3.358,0.568,1.367,3.912,1.109,0.746,7.3,0.686,6.743,9.247,0.526,4.786,7.279,0.378,3.437,5.536,0.206,1.907,3.226,0.075,0.765,1.392,19
6.262,0.038,0.029,0.0,0.0,0.17,-0.002,0.839,70.944,3.428,3.245,5.066,3.208,3.809,3.709,3.621,3.852,3.771,3.835,3.816,3.712,4.899,3.684,3.668,3.572,4.729,4.961,3.601,3.517,3.424,4.573,4.799,3.415,3.351,5.923,3.271,4.407,4.631,3.179,3.151,5.806,3.09,1.009,9.387,0.982,9.196,13.282,0.845,7.759,11.769,0.723,6.707,10.049,0.609,5.592,8.43,0.497,4.414,6.995,28
4.796,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
5.071,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.62,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
5.046,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
6.373,0.115,0.163,11.0,0.0,0.185,0.047,0.623,63.771,3.305,3.139,4.852,3.078,3.647,3.582,3.468,3.717,3.607,3.635,3.701,3.561,4.764,3.423,3.539,3.399,4.528,4.789,3.265,3.326,3.203,4.328,4.546,3.057,3.085,5.576,3.016,4.212,4.487,2.607,2.787,5.601,2.634,0.895,8.458,0.899,8.561,11.876,0.768,7.174,10.552,0.618,5.868,8.643,0.48,4.171,6.477,0.362,3.332,5.542,23
6.745,0.046,0.08,11.0,35.313,0.188,0.036,0.738,68.519,3.347,3.213,4.884,3.146,3.689,3.645,3.526,3.765,3.653,3.69,3.764,3.628,4.836,3.549,3.665,3.529,4.711,4.973,3.398,3.505,3.36,4.496,4.742,3.172,3.285,5.631,3.163,4.297,4.551,2.836,3.048,5.618,2.907,0.945,8.883,0.96,9.024,12.428,0.878,8.079,11.798,0.748,7.063,10.298,0.596,5.515,8.14,0.472,4.221,6.635,24
5.886,0.104,0.139,11.0,23.542,0.159,0.083,0.894,119.053,3.72,3.789,5.247,3.69,4.003,4.214,4.049,4.343,4.159,4.013,4.328,4.135,5.361,3.928,4.266,4.078,5.291,5.575,3.886,4.204,4.018,5.232,5.508,3.807,4.14,6.133,3.957,5.174,5.461,3.675,4.076,6.131,3.868,1.78,16.326,1.775,16.206,23.005,1.679,15.043,21.882,1.577,14.253,20.62,1.475,13.221,19.208,1.389,12.59,18.279,35
6.675,0.093,0.156,11.0,0.0,0.179,0.039,0.811,88.383,3.543,3.453,5.065,3.394,3.883,3.882,3.776,3.995,3.882,3.843,3.943,3.809,4.937,3.748,3.843,3.73,4.814,5.043,3.751,3.8,3.695,4.789,5.001,3.692,3.748,5.989,3.643,4.719,4.975,3.46,3.633,5.932,3.463,1.27,11.726,1.275,11.764,15.264,1.165,10.446,13.859,1.088,9.853,13.033,1.033,9.129,12.035,0.947,8.834,11.757,32
5.5,0.005,0.017,0.0,23.542,0.159,0.058,0.955,77.724,3.235,3.364,4.918,3.302,3.535,3.783,3.668,3.954,3.809,3.585,3.926,3.76,4.959,3.353,3.819,3.621,4.822,5.129,3.174,3.674,3.465,4.662,4.974,3.008,3.538,5.412,3.326,4.525,4.834,2.925,3.418,5.282,3.216,1.197,9.719,1.152,9.594,15.314,1.028,8.844,14.113,0.887,7.698,12.279,0.773,6.68,10.643,0.684,5.863,9.342,25
6.367,0.006,0.018,0.0,23.542,0.166,0.09,0.947,74.146,3.194,3.292,4.874,3.238,3.494,3.704,3.602,3.891,3.756,3.581,3.886,3.728,4.946,3.32,3.776,3.584,4.775,5.085,3.117,3.604,3.396,4.58,4.89,2.938,3.444,5.35,3.239,4.431,4.736,2.849,3.311,5.213,3.117,1.117,9.004,1.1,9.162,14.656,0.976,8.383,13.551,0.821,7.127,11.511,0.697,6.002,9.665,0.609,5.189,8.36,24
6.347,-0.007,0.006,0.0,23.542,0.172,0.077,1.081,64.944,3.093,3.152,4.79,3.11,3.409,3.563,3.479,3.755,3.64,3.502,3.75,3.609,4.82,3.217,3.622,3.445,4.624,4.929,2.988,3.419,3.227,4.393,4.698,2.773,3.232,5.224,3.046,4.204,4.493,2.609,3.078,5.071,2.887,0.963,7.655,0.943,7.795,12.694,0.819,7.008,11.603,0.666,5.762,9.561,0.547,4.738,7.753,0.458,4.133,6.644,22
5.773,0.0,0.012,0.0,23.542,0.161,0.051,0.947,73.123,3.187,3.301,4.879,3.245,3.495,3.72,3.612,3.893,3.756,3.547,3.863,3.705,4.899,3.305,3.748,3.556,4.752,5.058,3.116,3.592,3.389,4.58,4.89,2.938,3.444,5.356,3.239,4.431,4.736,2.849,3.311,5.218,3.117,1.119,9.042,1.074,8.911,14.336,0.95,8.159,13.14,0.81,7.017,11.304,0.697,6.002,9.665,0.609,5.189,8.36,24
6.409,0.011,0.022,0.0,23.542,0.164,0.096,0.955,78.747,3.241,3.356,4.913,3.296,3.534,3.768,3.658,3.952,3.809,3.618,3.948,3.782,5.004,3.369,3.844,3.646,4.843,5.155,3.175,3.685,3.472,4.662,4.974,3.008,3.538,5.407,3.326,4.525,4.834,2.925,3.418,5.276,3.216,1.194,9.68,1.178,9.845,15.634,1.054,9.069,14.524,0.898,7.81,12.485,0.773,6.68,10.643,0.684,5.863,9.342,25
4.388,-0.046,-0.035,0.0,23.542,0.186,-0.002,0.213,50.118,2.912,2.908,4.656,2.891,3.267,3.33,3.275,3.512,3.438,3.328,3.468,3.366,4.528,2.966,3.288,3.136,4.298,4.596,2.512,2.969,2.771,3.879,4.212,1.768,2.456,4.816,2.199,3.237,3.61,0.673,1.661,4.06,1.344,0.731,5.663,0.678,5.49,9.408,0.548,4.759,8.257,0.382,3.576,6.323,0.216,2.105,3.953,0.084,0.868,1.791,19
4.046,0.03,-0.032,426.833,472.375,0.212,0.058,1.118,250.242,4.483,4.458,6.08,4.458,4.936,4.931,4.916,5.206,5.168,5.295,5.38,5.326,6.131,5.486,5.576,5.527,6.295,6.43,5.681,5.736,5.695,6.458,6.613,5.777,5.836,7.625,5.791,6.53,6.684,5.803,5.815,7.802,5.781,3.269,27.35,4.079,34.626,41.571,4.884,41.387,48.857,5.686,47.806,55.067,6.753,57.104,67.215,7.167,59.981,68.102,122
4.013,0.048,-0.005,426.833,472.375,0.209,0.063,1.106,250.242,4.483,4.458,6.08,4.458,4.936,4.931,4.916,5.15,5.109,5.21,5.279,5.229,6.009,5.35,5.437,5.39,6.139,6.276,5.523,5.573,5.532,6.268,6.42,5.617,5.667,7.411,5.625,6.382,6.528,5.666,5.7,7.622,5.661,3.164,26.474,3.773,31.99,38.348,4.308,36.401,42.414,4.862,40.89,47.258,5.586,47.267,55.833,6.166,51.559,58.173,122
