pXC50,Eig03_EA,SM11_AEA.bo.,Eig03_EA.bo.,SM13_AEA.ri.,RDSQ,Eig06_AEA.bo.,X2,ZM2V,ZM2Per,ATS1m,ATS5m,ZM2MulPer,Eig08_AEA.dm.,SM03_AEA.bo.,ZM2Kup,Psi_e_1,Eig05_AEA.dm.,Eta_epsi,MW,ZM1Per,Eig03_AEA.ri.,Eig13_AEA.bo.,Eig13_AEA.ed.,GGI5,Eig07_AEA.bo.,ZM1MulPer,ATSC6p,Eig08_EA.bo.,MPC01,MWC01,nBO,SRW02,ZM1V,ZM2Mad,SpAD_AEA.ed.,Dz,GGI10,Eig07_EA,SM15_AEA.bo.,XMOD,ATS8m,ATS4m,X3sol,piPC02,SM02_EA.bo.,SRW04,SpAD_EA.ed.,Eig07_AEA.ri.,ATSC4i,ATS2m,Eig15_AEA.ed.,SpMax4_Bh.m.,P_VSA_LogP_5,Eig08_EA.ed.,SM03_AEA.ri.,GMTIV,SM08_AEA.bo.,Eig06_AEA.ed.,SpMax4_Bh.p.,SpMax4_Bh.v.,IC3,Eig07_EA.bo.,ATSC5p,GMTI,SpAD_EA.bo.,S1K,Pol,X5v
5.796,2.583,2.583,3.441,3.441,187.662,2.919,11.246,424.0,681.5,3.67,4.073,456.897,1.099,6.039,441.438,4.873,2.395,28.01,360.39,679.05,3.528,0.976,2.453,1.028,2.686,532.77,9.204,1.5,3.258,3.258,25,3.932,486.0,201.719,38.118,56.5,0.062,1.232,1.232,80.501,3.646,3.996,8.331,4.127,4.812,5.273,110.217,2.212,1.32,4.038,2.0,3.445,86.679,2.243,2.243,23507.0,13.176,4.19,3.063,3.089,4.888,1.767,9.554,5245.0,48.273,18.404,34,2.117
6.509,2.517,2.517,3.448,3.448,213.304,2.932,11.221,368.0,563.8,3.699,4.056,393.23,1.325,6.113,350.165,4.292,2.226,27.4,366.52,516.78,3.494,1.292,2.801,0.799,2.864,381.488,12.591,1.753,3.367,3.367,28,4.043,352.0,203.335,41.866,55.0,0.054,1.417,1.417,85.716,3.574,3.964,10.145,4.284,4.97,5.342,114.494,2.407,1.446,3.939,2.45,3.726,31.927,2.732,2.732,19645.0,13.137,4.188,3.727,3.678,4.845,2.021,11.585,7474.0,56.127,18.315,38,2.75
7.143,2.532,2.532,3.464,3.464,228.223,2.967,11.632,379.0,581.7,3.728,4.126,404.197,1.328,6.154,361.165,4.46,2.239,28.7,380.55,527.78,3.504,1.534,3.041,0.979,2.888,387.754,14.05,1.762,3.401,3.401,29,4.078,358.0,212.335,44.398,57.0,0.066,1.45,1.45,88.281,3.683,4.054,10.823,4.311,4.997,5.389,123.006,2.426,1.588,3.981,2.456,3.726,31.927,2.753,2.753,20542.0,13.203,4.257,3.727,3.679,4.922,2.051,13.862,7999.0,58.408,19.286,42,2.882
7.444,2.725,2.725,3.44,3.44,228.434,3.275,12.898,444.0,703.37,3.774,4.171,474.88,1.383,6.143,460.529,6.193,2.591,31.31,400.46,707.03,3.653,1.0,2.717,1.139,2.919,552.271,11.618,1.77,3.401,3.401,29,4.078,506.0,233.979,43.287,62.5,0.074,1.499,1.499,89.661,3.955,4.218,9.645,4.22,4.905,5.46,127.116,2.458,1.44,4.108,2.484,3.662,86.679,2.792,2.792,27963.0,13.232,5.001,3.681,3.654,5.029,2.086,10.747,7861.0,54.04,19.816,37,2.461
7.77,2.628,2.628,3.44,3.44,230.745,3.254,12.956,435.0,689.17,3.782,4.19,467.59,1.42,6.13,450.619,6.209,2.515,33.21,416.51,700.99,3.564,1.0,2.717,1.208,2.921,551.017,11.954,1.782,3.401,3.401,29,4.078,504.0,228.646,44.045,64.5,0.153,1.503,1.503,92.01,3.988,4.241,9.518,4.205,4.89,5.407,124.75,2.461,1.562,4.123,2.364,3.557,86.679,2.803,2.803,28367.0,13.211,4.934,3.591,3.572,5.197,2.089,11.917,8065.0,53.973,22.355,39,2.426
7.682,2.67,2.67,3.44,3.44,231.726,3.141,12.995,439.0,694.03,3.782,4.203,470.649,1.367,6.13,455.529,6.218,2.555,33.21,416.51,702.65,3.596,1.0,2.717,1.181,2.915,551.004,12.962,1.756,3.401,3.401,29,4.078,504.0,228.646,43.925,64.5,0.087,1.497,1.497,91.919,4.013,4.264,9.271,4.205,4.89,5.407,124.683,2.456,1.577,4.128,2.385,3.532,86.679,2.77,2.77,28175.0,13.213,4.781,3.557,3.539,5.197,2.077,12.385,7973.0,54.003,22.355,39,2.39
5.678,2.603,2.603,3.44,3.44,189.715,2.922,11.273,412.0,653.93,3.67,4.06,444.85,1.072,6.039,426.71,5.563,2.449,28.01,360.39,672.69,3.542,0.86,2.467,1.125,2.701,532.065,9.375,1.5,3.258,3.258,25,3.932,486.0,208.65,38.062,56.5,0.012,1.251,1.251,80.854,3.636,4.137,8.331,4.127,4.812,5.273,110.576,2.229,1.274,4.011,2.0,3.429,86.679,2.234,2.234,21971.0,13.181,4.183,3.06,3.092,4.888,1.786,9.447,5053.0,48.449,18.404,34,2.18
6.638,2.784,2.784,3.44,3.44,254.707,3.371,13.844,501.0,792.48,3.845,4.283,536.635,1.793,6.212,526.619,6.788,2.815,35.543,446.49,814.77,3.717,1.046,2.919,1.236,2.924,641.798,12.762,1.799,3.466,3.466,31,4.143,588.0,246.183,47.36,70.5,0.203,1.518,1.518,98.868,4.144,4.321,10.174,4.277,4.963,5.476,134.476,2.467,1.532,4.197,2.479,3.578,97.679,3.17,3.17,40430.0,13.282,5.138,3.444,3.467,5.236,2.091,11.944,9739.0,58.24,23.975,43,2.438
4.523,2.532,2.532,3.466,3.466,224.612,2.956,11.62,397.0,615.1,3.736,4.053,423.631,1.306,6.154,386.165,4.607,2.282,28.914,384.51,584.4,3.503,1.534,3.041,0.826,2.894,439.877,11.356,1.5,3.401,3.401,29,4.078,406.0,216.409,44.41,58.5,0.12,1.459,1.459,89.147,3.588,4.064,10.213,4.311,4.997,5.389,122.928,2.433,1.701,3.998,2.483,3.726,31.927,2.589,2.589,25006.0,13.201,4.27,3.726,3.678,4.77,2.06,11.926,8503.0,58.384,19.223,42,2.676
6.357,2.518,2.518,3.446,3.446,221.428,2.937,11.562,396.0,608.44,3.74,4.078,423.366,1.392,6.129,383.619,4.438,2.412,28.867,382.52,565.5,3.499,1.534,3.033,0.91,2.905,419.097,11.373,1.784,3.401,3.401,29,4.078,388.0,210.989,43.278,58.0,0.103,1.475,1.475,89.624,3.586,3.991,10.462,4.297,4.984,5.371,117.814,2.449,1.387,3.979,2.456,3.759,44.985,2.788,2.788,23638.0,13.138,4.199,3.743,3.682,5.012,2.073,11.337,8587.0,57.775,19.248,39,2.582
7.538,2.703,2.703,3.44,3.44,251.12,3.255,13.605,452.0,714.89,3.827,4.223,483.204,1.516,6.173,468.529,6.503,2.58,33.91,428.52,718.55,3.629,1.168,3.219,1.076,2.919,560.595,12.77,1.775,3.466,3.466,31,4.143,514.0,241.979,46.14,66.5,0.12,1.511,1.511,95.661,4.076,4.269,10.145,4.248,4.934,5.476,133.63,2.471,1.638,4.182,2.714,3.668,86.679,3.041,3.041,31619.0,13.228,4.977,3.694,3.664,4.965,2.086,12.134,9625.0,57.201,21.766,41,3.191
5.377,2.532,2.532,3.481,3.481,224.612,2.997,11.62,408.0,628.19,3.728,4.04,435.239,1.323,6.182,393.801,4.545,2.221,28.267,380.5,582.96,3.504,1.534,3.041,0.826,2.904,434.785,11.224,1.5,3.401,3.401,29,4.078,400.0,214.66,44.41,58.0,0.12,1.459,1.459,88.859,3.543,4.038,10.884,4.337,5.024,5.389,122.928,2.437,1.373,3.984,2.483,3.726,31.927,2.589,2.589,24921.0,13.243,4.27,3.726,3.678,4.799,2.071,11.107,8503.0,59.422,18.97,42,2.605
7.569,2.624,2.624,3.44,3.44,220.526,3.146,12.836,430.0,681.89,3.755,4.169,462.952,1.402,6.115,445.619,6.056,2.502,31.91,402.48,694.79,3.559,0.993,2.716,1.208,2.92,547.134,11.636,1.777,3.367,3.367,28,4.043,500.0,223.646,42.277,62.5,0.153,1.502,1.502,88.782,3.938,4.21,8.906,4.19,4.875,5.38,122.284,2.46,1.462,4.101,2.0,3.504,86.679,2.794,2.794,26556.0,13.203,4.61,3.532,3.514,4.954,2.084,10.683,7200.0,53.04,21.366,37,2.395
5.382,2.532,2.532,3.566,3.566,234.217,3.182,11.718,375.0,585.84,3.522,3.96,396.464,1.595,6.137,396.24,4.514,2.678,28.133,353.4,552.88,3.517,1.089,2.877,0.952,2.968,415.67,11.202,1.966,3.401,3.401,29,4.078,384.0,189.572,46.57,57.5,0.049,1.522,1.522,78.331,3.822,3.958,9.714,4.205,4.89,5.442,134.971,2.503,1.395,3.889,2.489,3.416,27.858,3.329,3.329,22164.0,13.075,4.948,3.245,3.268,4.825,2.166,11.523,7006.0,55.025,17.07,44,2.942
4.0,2.878,2.878,3.596,3.596,272.591,3.476,14.302,527.0,832.6,3.876,4.23,565.698,1.637,6.298,548.983,6.788,2.711,34.876,452.49,828.39,3.797,1.74,3.235,1.153,2.928,641.673,12.548,2.087,3.526,3.526,33,4.205,590.0,258.411,49.984,71.5,0.235,1.549,1.549,102.469,3.873,4.325,11.049,4.413,5.1,5.541,143.753,2.486,1.627,4.223,2.718,3.739,108.166,3.378,3.378,46174.0,13.363,5.232,3.723,3.68,4.974,2.098,12.131,12019.0,64.55,22.921,46,2.658
5.523,2.036,2.036,2.206,2.206,128.763,2.697,7.753,233.0,363.87,3.204,3.414,247.496,1.074,5.554,249.551,2.935,1.738,22.3,263.37,344.98,3.011,0.302,1.699,0.528,2.155,257.916,6.219,0.966,3.045,3.045,20,3.714,240.0,116.415,30.208,41.5,0.037,1.025,1.025,57.826,2.704,3.457,6.235,3.651,4.331,4.977,77.851,2.022,0.948,3.53,1.244,3.183,13.757,1.819,1.819,7227.0,12.205,3.708,3.17,3.165,4.615,1.086,7.029,3155.0,34.13,14.194,25,1.502
5.714,2.133,2.133,2.463,2.463,127.796,2.677,7.86,232.0,360.75,3.204,3.333,246.779,1.068,5.554,248.551,2.921,1.742,22.3,263.37,344.4,3.089,0.305,1.691,0.479,2.129,258.11,6.065,0.94,3.045,3.045,20,3.714,240.0,114.86,30.027,41.5,0.037,1.025,1.025,57.725,2.704,3.418,6.09,3.651,4.331,4.977,77.64,2.022,0.941,3.53,1.242,3.185,13.757,1.819,1.819,7455.0,12.141,3.711,3.17,3.166,4.665,1.072,6.82,3207.0,34.216,14.194,24,1.499
5.523,2.174,2.174,2.619,2.619,160.718,2.697,8.826,283.0,446.1,3.347,3.714,303.476,1.322,5.718,304.703,3.371,1.863,25.767,305.41,431.92,3.136,0.745,2.0,0.823,2.58,325.833,7.853,1.078,3.178,3.178,23,3.85,304.0,136.017,35.175,48.5,0.054,1.132,1.132,67.633,2.978,3.729,7.307,3.795,4.477,5.118,90.542,2.1,1.103,3.668,1.615,3.305,27.942,2.357,2.357,11213.0,12.433,3.72,3.17,3.165,4.758,1.572,8.433,4472.0,39.398,16.819,31,1.727
5.146,2.036,2.036,2.206,2.206,128.763,2.697,7.753,241.0,377.53,3.209,3.437,255.966,1.075,5.554,263.854,2.981,1.739,22.348,265.36,372.7,3.008,0.302,1.699,0.528,2.155,283.711,5.985,0.966,3.045,3.045,20,3.714,264.0,117.955,30.208,42.0,0.037,1.025,1.025,58.115,2.717,3.474,5.763,3.651,4.331,4.977,77.851,2.022,1.063,3.542,1.244,3.183,22.878,1.819,1.819,7733.0,12.205,3.708,3.17,3.165,4.561,1.086,6.872,3155.0,34.13,14.168,25,1.488
6.194,2.133,2.133,2.463,2.463,127.796,2.677,7.86,240.0,373.93,3.209,3.345,255.115,1.069,5.554,262.854,2.959,1.742,22.348,265.36,372.08,3.082,0.305,1.691,0.479,2.129,283.856,6.022,0.94,3.045,3.045,20,3.714,264.0,116.109,30.027,42.0,0.037,1.025,1.025,58.014,2.717,3.43,5.763,3.651,4.331,4.977,77.64,2.022,0.997,3.542,1.242,3.186,22.878,1.819,1.819,8037.0,12.141,3.711,3.17,3.166,4.612,1.072,6.843,3207.0,34.216,14.168,24,1.487
5.523,2.036,2.036,2.206,2.206,128.763,2.697,7.753,225.0,351.01,3.2,3.401,239.122,1.074,5.554,239.366,2.898,1.736,22.233,262.39,325.34,3.013,0.302,1.699,0.528,2.155,240.122,6.44,0.966,3.045,3.045,20,3.714,224.0,115.393,30.208,41.0,0.037,1.025,1.025,57.537,2.698,3.449,6.235,3.651,4.331,4.977,77.851,2.022,1.007,3.523,1.244,3.183,16.513,1.819,1.819,6721.0,12.205,3.708,3.17,3.165,4.522,1.086,7.157,3155.0,34.13,14.194,25,1.527
5.481,2.133,2.133,2.463,2.463,127.796,2.677,7.86,224.0,348.37,3.2,3.327,238.514,1.068,5.554,238.366,2.891,1.741,22.233,262.39,324.8,3.097,0.305,1.691,0.479,2.129,240.365,6.086,0.94,3.045,3.045,20,3.714,224.0,114.032,30.027,41.0,0.037,1.025,1.025,57.436,2.697,3.411,6.09,3.651,4.331,4.977,77.64,2.022,0.979,3.523,1.242,3.187,16.513,1.819,1.819,6873.0,12.141,3.711,3.173,3.168,4.619,1.072,6.782,3207.0,34.216,14.194,24,1.522
4.523,2.38,2.38,2.978,2.978,165.829,2.905,9.167,321.0,502.05,3.376,3.497,342.851,1.141,5.827,344.521,3.387,2.156,23.967,299.35,476.71,3.331,0.797,2.284,0.546,2.869,351.938,6.819,1.5,3.219,3.219,24,3.892,332.0,146.397,36.252,48.5,0.033,1.447,1.447,68.606,3.129,3.601,7.833,3.97,4.654,5.176,97.174,2.432,0.911,3.705,1.676,3.108,46.243,2.299,2.299,14604.0,12.474,4.0,2.975,2.993,4.456,1.948,7.091,5217.0,44.877,14.88,31,1.481
5.386,2.386,2.386,2.979,2.979,164.416,2.894,9.261,320.0,498.47,3.376,3.489,342.013,1.132,5.827,343.521,3.382,2.437,23.967,299.35,476.09,3.336,0.78,2.375,0.434,2.684,352.083,6.275,1.5,3.219,3.219,24,3.892,332.0,144.622,36.039,48.5,0.049,1.235,1.235,68.505,3.119,3.575,7.749,3.97,4.654,5.176,96.692,2.213,0.91,3.705,1.644,3.154,46.243,2.3,2.3,15036.0,12.427,4.0,2.989,3.017,4.599,1.763,7.059,5345.0,44.851,14.88,30,1.477
5.66,2.392,2.392,2.98,2.98,163.438,2.894,9.249,320.0,498.17,3.376,3.459,341.876,1.102,5.827,343.521,3.38,2.48,23.967,299.35,476.07,3.339,0.809,2.271,0.49,2.5,352.018,6.242,1.5,3.219,3.219,24,3.892,332.0,144.622,36.104,48.5,0.086,1.0,1.0,68.505,3.065,3.53,7.824,3.97,4.654,5.176,96.718,2.0,0.91,3.705,1.676,3.177,46.243,2.275,2.275,15468.0,12.424,4.0,3.002,3.034,4.375,1.5,7.114,5473.0,44.873,14.88,30,1.458
4.523,2.403,2.403,2.98,2.98,184.172,3.069,10.482,350.0,541.03,3.445,3.632,372.666,1.381,5.936,374.866,3.725,2.589,26.067,326.38,521.21,3.352,0.892,2.428,0.546,2.894,389.314,7.1,1.739,3.296,3.296,26,3.97,364.0,154.958,39.149,53.0,0.122,1.459,1.459,73.51,3.225,3.686,7.976,4.06,4.745,5.263,105.377,2.443,1.002,3.794,1.755,3.426,32.757,2.637,2.637,20231.0,12.524,4.367,3.289,3.312,4.785,1.989,7.383,6795.0,49.031,16.493,32,1.561
4.523,2.419,2.419,2.983,2.983,182.539,3.086,10.47,350.0,540.75,3.445,3.603,372.53,1.317,5.936,374.866,3.72,2.582,26.067,326.38,521.19,3.367,0.88,2.416,0.546,2.894,389.249,7.026,1.5,3.296,3.296,26,3.97,364.0,154.958,39.16,53.0,0.086,1.46,1.46,73.51,3.159,3.652,8.051,4.06,4.745,5.263,105.26,2.443,1.002,3.794,2.0,3.43,32.757,2.308,2.308,21095.0,12.521,4.397,3.289,3.313,4.642,1.989,7.528,7051.0,48.982,16.493,32,1.564
5.231,2.179,2.179,2.569,2.569,127.175,2.5,7.848,224.0,348.11,3.2,3.284,238.379,1.0,5.554,238.366,2.887,1.742,22.233,262.39,324.78,3.14,0.32,1.699,0.504,2.187,240.3,5.711,0.985,3.045,3.045,20,3.714,224.0,114.032,30.024,41.0,0.037,1.0,1.0,57.436,2.722,3.372,6.173,3.651,4.331,4.977,77.45,2.0,0.973,3.523,1.245,3.19,16.513,1.829,1.829,7025.0,12.137,3.711,3.174,3.171,4.375,1.12,7.137,3259.0,34.132,14.194,24,1.521
5.87,2.299,2.299,2.761,2.761,158.025,2.697,8.9,282.0,443.1,3.347,3.578,302.82,1.308,5.718,303.703,3.357,1.991,25.767,305.41,431.36,3.255,0.746,1.752,0.688,2.57,326.052,7.579,1.071,3.178,3.178,23,3.85,304.0,134.85,34.974,48.5,0.054,1.11,1.11,67.532,3.077,3.636,7.317,3.795,4.477,5.118,90.143,2.086,1.08,3.668,1.667,3.303,27.942,2.354,2.354,11897.0,12.376,3.814,3.189,3.198,4.803,1.567,8.124,4680.0,39.413,16.819,30,1.672
5.914,2.329,2.329,2.798,2.798,156.157,2.697,8.888,282.0,442.83,3.347,3.468,302.684,1.298,5.718,303.703,3.348,2.032,25.767,305.41,431.34,3.284,0.744,2.0,0.657,2.5,325.987,7.27,1.09,3.178,3.178,23,3.85,304.0,134.85,35.032,48.5,0.054,1.03,1.03,67.532,3.292,3.609,7.378,3.795,4.477,5.118,90.073,2.025,1.076,3.668,1.613,3.301,27.942,2.275,2.275,12581.0,12.373,3.843,3.2,3.209,4.625,1.5,8.082,4888.0,39.403,16.819,30,1.644
6.444,2.38,2.38,2.979,2.979,154.215,2.894,9.08,318.0,493.93,3.377,3.473,337.848,1.095,5.807,329.838,3.271,2.484,22.286,303.76,487.07,3.328,0.621,2.0,0.428,2.5,367.809,5.725,1.5,3.178,3.178,23,3.85,344.0,146.723,34.78,45.833,0.049,1.0,1.0,67.337,3.175,3.507,7.704,3.951,4.635,5.142,93.667,2.0,0.797,3.75,1.627,3.365,33.501,2.275,2.275,15389.0,12.399,4.0,2.964,2.994,4.479,1.5,6.027,4782.0,43.613,14.233,28,1.51
4.523,2.377,2.377,2.978,2.978,155.615,2.882,8.976,295.0,459.42,3.317,3.405,313.778,1.137,5.807,313.976,3.258,1.946,22.5,283.35,428.81,3.33,0.671,2.0,0.483,2.833,314.371,6.537,1.5,3.178,3.178,23,3.85,296.0,138.296,34.952,45.5,0.033,1.414,1.414,64.263,2.982,3.492,7.532,3.951,4.635,5.142,94.063,2.414,0.928,3.661,1.626,3.108,33.186,2.299,2.299,11963.0,12.448,4.0,3.026,3.008,4.554,1.931,6.926,4654.0,43.616,13.959,29,1.464
4.86,1.957,1.957,2.204,2.204,117.182,2.5,7.226,206.0,320.37,3.147,3.228,218.468,1.0,5.465,219.521,2.723,1.722,20.833,247.37,300.71,2.948,0.301,1.555,0.393,2.126,221.699,5.967,0.936,2.996,2.996,19,3.664,208.0,106.199,28.056,38.5,0.021,1.0,1.0,54.784,2.594,3.314,5.763,3.57,4.248,4.905,71.28,2.0,0.919,3.451,1.051,3.182,13.757,1.813,1.813,5766.0,11.979,3.459,3.17,3.165,4.336,1.069,6.804,2828.0,32.382,13.255,22,1.469
5.31,2.582,2.582,3.215,3.215,208.374,3.12,11.841,360.0,558.78,3.502,3.672,386.603,1.763,6.124,380.384,4.042,2.778,27.9,350.45,523.88,3.546,0.947,2.704,0.875,2.937,388.693,8.099,1.809,3.367,3.367,28,4.043,362.0,170.63,43.181,56.0,0.209,1.599,1.599,77.374,3.262,3.781,9.102,4.159,4.844,5.38,123.828,2.58,1.432,3.88,2.279,3.437,67.43,2.913,2.913,21520.0,12.946,4.761,3.439,3.431,4.642,1.996,9.956,8381.0,53.235,18.29,38,1.749
4.523,2.582,2.582,3.215,3.215,208.374,3.12,11.841,360.0,558.78,3.502,3.672,386.603,1.763,6.124,380.384,4.042,2.778,27.9,350.45,523.88,3.546,0.947,2.704,0.875,2.937,388.693,8.099,1.809,3.367,3.367,28,4.043,362.0,170.63,43.181,56.0,0.209,1.599,1.599,77.374,3.262,3.781,9.102,4.159,4.844,5.38,123.828,2.58,1.432,3.88,2.279,3.437,67.43,2.913,2.913,21520.0,12.946,4.761,3.439,3.431,4.642,1.996,9.956,8381.0,53.235,18.29,38,1.749
6.229,1.957,1.957,2.204,2.204,117.182,2.5,7.226,206.0,320.37,3.147,3.228,218.468,1.0,5.465,219.521,2.723,1.722,20.833,247.37,300.71,2.948,0.301,1.555,0.393,2.126,221.699,5.967,0.936,2.996,2.996,19,3.664,208.0,106.199,28.056,38.5,0.021,1.0,1.0,54.784,2.594,3.314,5.763,3.57,4.248,4.905,71.28,2.0,0.919,3.451,1.051,3.182,13.757,1.813,1.813,5766.0,11.979,3.459,3.17,3.165,4.336,1.069,6.804,2828.0,32.382,13.255,22,1.469
