pXC50,nBO,SCBO,RBN,nSK,nC,Se,nN,nDB,Si
9.721,95,117.0,38,92,61,183.122,17,13,207.35
9.388,95,120.0,38,92,60,176.69,18,13,199.187
9.741,95,120.0,38,92,60,176.69,18,13,199.187
9.886,100,127.5,38,96,65,183.355,17,13,206.52
9.721,99,126.0,38,95,63,181.573,18,13,204.603
9.391,95,120.0,38,92,60,176.69,18,13,199.187
8.854,92,118.0,34,88,60,166.399,14,12,186.779
8.824,95,121.0,36,91,63,175.05,14,12,197.025
8.237,95,121.0,37,91,63,175.05,14,12,197.025
8.143,98,125.0,38,94,63,178.697,16,13,200.815
9.569,96,122.0,38,92,63,177.152,15,12,199.523
7.119,98,125.0,38,94,63,179.472,17,13,202.104
9.538,95,121.0,37,91,62,174.268,15,12,196.108
10.638,99,126.0,39,95,64,182.355,17,13,205.52
10.409,100,127.0,39,96,65,185.239,17,13,208.935
9.495,100,127.0,40,96,65,185.239,17,13,208.935
10.187,100,127.0,40,96,65,185.239,17,13,208.935
9.444,101,128.0,41,97,66,188.122,17,13,212.35
10.538,99,126.0,39,95,64,182.355,17,13,205.52
9.886,100,127.0,40,96,65,185.239,17,13,208.935
9.824,97,124.0,37,93,62,176.588,17,13,198.689
9.469,98,125.0,38,94,63,179.472,17,13,202.104
9.481,98,124.0,39,94,65,182.919,15,12,206.353
8.409,94,120.0,36,90,61,171.384,15,12,192.693
8.854,93,119.0,35,89,60,168.501,15,12,189.277
8.0,97,124.0,37,93,62,175.814,16,13,197.4
8.658,100,128.0,38,96,63,181.017,18,14,203.397
6.15,44,62.0,6,38,30,61.192,5,3,67.567
7.695,122,153.0,48,117,78,227.024,21,17,256.087
5.971,122,153.0,47,117,78,226.25,20,17,254.798
7.754,122,150.0,47,117,78,232.675,21,17,263.333
5.0,114,140.0,47,111,69,220.562,24,18,249.752
7.947,111,137.0,45,108,70,213.155,20,17,240.758
5.444,31,37.0,12,30,27,70.37,1,0,81.429
7.654,123,154.0,47,118,79,229.908,21,17,259.502
6.67,122,153.0,47,117,78,226.25,20,17,254.798
6.603,121,151.5,47,116,75,224.46,23,17,253.253
5.678,119,148.0,48,115,74,224.57,22,18,253.38
8.921,62,80.0,22,59,42,113.748,10,7,128.583
7.0,63,81.0,21,60,41,113.519,10,7,127.587
8.921,61,79.0,21,58,41,110.865,10,7,125.168
8.796,61,79.0,21,58,41,111.639,11,7,126.457
8.509,61,79.0,21,58,41,111.639,11,7,126.457
8.699,59,76.5,21,56,39,107.756,11,7,122.042
9.004,60,78.0,21,57,41,109.537,10,7,123.959
8.77,64,83.0,23,61,42,116.843,13,8,132.454
8.854,65,84.0,23,62,43,119.726,13,8,135.869
8.481,78,102.0,27,73,54,138.261,13,7,156.53
8.569,70,91.0,25,66,48,126.392,12,7,143.201
5.0,118,148.0,45,113,76,219.711,20,16,247.964
7.471,126,159.0,47,120,80,231.126,22,17,260.585
9.097,60,78.0,21,57,40,108.756,11,7,123.042
8.77,60,78.0,21,57,40,108.756,11,7,123.042
8.77,59,76.5,21,56,38,106.974,12,7,121.125
8.301,61,79.0,21,58,41,110.865,10,7,125.168
7.642,122,153.0,47,117,78,227.024,21,17,256.087
7.44,119,149.0,45,114,77,222.595,20,16,251.379
6.539,115,143.0,45,111,72,217.257,21,17,245.257
5.0,124,157.0,46,118,82,226.602,18,16,255.007
6.537,127,159.0,49,122,81,237.22,22,18,267.625
6.596,119,148.0,48,115,74,224.57,22,18,253.38
6.988,122,153.0,47,117,77,226.242,22,17,255.17
5.0,122,153.0,44,116,77,222.257,21,17,250.257
8.509,62,80.0,22,59,42,114.523,11,7,129.872
5.0,108,133.0,43,105,66,207.49,21,17,234.426
6.977,121,151.5,47,116,75,224.46,23,17,253.253
7.497,122,150.0,47,117,78,232.675,21,17,263.333
7.156,120,150.0,47,115,78,224.704,19,16,253.506
7.598,119,149.0,45,114,77,222.595,20,16,251.379
7.532,121,152.0,46,116,78,225.697,21,17,254.878
6.624,115,143.0,45,111,72,217.257,21,17,245.257
10.171,98,125.0,38,94,63,179.472,17,13,202.104
7.07,116,146.0,43,111,75,213.951,18,16,240.762
6.965,119,150.0,45,114,75,218.373,21,17,245.842
8.481,70,91.0,25,66,49,127.174,11,7,144.118
8.523,71,93.0,24,67,48,124.287,10,8,139.417
8.328,61,79.0,21,58,41,111.639,11,7,126.457
9.0,63,83.0,22,60,41,112.41,11,9,126.461
8.886,61,79.0,21,58,41,109.861,10,7,123.903
9.161,61,79.0,21,58,41,110.05,10,7,124.298
8.523,60,78.0,21,57,40,108.756,11,7,123.042
8.678,61,79.0,21,58,41,110.865,10,7,125.168
5.0,126,157.0,46,120,81,233.791,21,17,263.918
7.214,123,154.0,47,118,78,228.351,21,17,257.297
6.106,126,157.0,49,121,82,238.558,21,17,269.748
8.523,62,80.0,22,59,42,113.748,10,7,128.583
7.0,65,83.0,21,62,41,112.101,10,7,125.657
5.0,121,150.0,49,117,75,230.329,24,18,260.582
7.47,123,154.0,47,118,78,228.351,21,17,257.297
7.602,126,159.0,47,120,80,231.126,22,17,260.585
7.928,122,153.0,47,117,77,226.242,22,17,255.17
6.706,121,150.0,49,117,75,230.329,24,18,260.582
6.959,122,153.0,47,117,78,227.024,21,17,256.087
9.004,65,84.0,23,62,44,119.734,11,8,135.497
6.693,118,146.0,47,114,75,225.908,21,17,255.502
6.337,61,79.0,21,58,42,110.832,9,7,125.215
8.762,60,77.0,22,57,42,111.388,9,6,126.421
7.495,61,79.0,21,58,42,110.832,9,7,125.215
7.495,61,78.0,22,58,42,112.716,9,6,127.63
9.532,61,78.0,22,58,42,112.716,9,6,127.63
9.722,60,78.0,21,57,42,109.505,9,7,124.006
6.42,61,78.0,22,58,42,112.716,9,6,127.63
8.303,60,78.0,21,57,42,109.505,9,7,124.006
8.306,61,78.0,22,58,42,112.716,9,6,127.63
6.62,61,79.0,21,58,41,110.05,10,7,124.298
