pXC50,nCsp2,H.,C.,N.,Me,nC,nBM,SCBO,nSK,nBO,Sv,MW,Sp
5.51,19,36.6,48.8,2.4,1.01,20,17,39.0,26,28,29.228,381.5,30.994
5.395,16,37.5,45.0,2.5,1.031,18,15,36.0,25,27,26.998,341.34,27.063
5.661,16,38.5,44.2,13.5,1.011,23,20,48.5,32,36,35.38,445.95,36.682
6.398,7,40.5,33.3,4.8,1.063,14,8,30.5,25,25,26.223,366.33,25.404
5.497,15,37.8,45.9,5.4,1.022,17,18,35.0,23,25,25.063,310.33,25.398
5.474,11,39.4,42.4,9.1,1.014,14,16,30.5,20,22,22.315,287.37,23.381
5.777,16,41.9,44.2,2.3,1.014,19,12,35.0,25,26,28.647,404.28,30.029
5.603,17,32.4,50.0,8.8,1.017,17,22,37.5,23,26,24.788,321.38,25.619
5.377,15,42.0,38.0,10.0,1.014,19,17,42.0,29,31,32.84,431.59,34.779
5.564,25,34.5,45.5,7.3,1.023,25,28,55.5,36,39,39.361,539.07,41.085
5.637,16,45.6,40.4,7.0,1.008,23,13,43.0,31,33,35.74,422.53,37.216
5.782,12,51.6,40.3,3.2,0.991,25,10,40.0,30,33,37.089,408.59,39.796
5.588,11,44.4,40.0,8.9,1.01,18,11,35.0,25,26,28.444,340.42,29.478
5.713,16,36.8,44.7,10.5,1.021,17,20,38.0,24,26,25.864,322.35,26.193
5.291,15,41.5,41.5,3.8,1.02,22,20,46.0,31,34,34.787,442.53,36.0
5.569,15,47.4,40.4,3.5,1.0,23,17,41.0,30,32,36.248,491.49,39.273
5.304,18,34.3,51.4,5.7,1.003,18,19,37.0,23,26,25.766,336.46,27.568
5.136,16,42.3,42.3,3.8,1.019,22,15,42.0,30,33,33.6,410.46,34.352
5.358,14,39.5,42.1,13.2,1.009,16,18,34.5,23,25,25.643,325.43,26.938
4.874,19,36.5,42.3,9.6,1.022,22,25,50.0,33,36,36.028,481.6,37.472
4.268,10,47.1,37.3,7.8,1.011,19,10,36.0,27,29,31.213,372.47,32.455
5.298,21,36.4,52.3,4.5,1.008,23,21,44.5,28,32,30.875,368.41,31.705
5.246,24,32.0,50.0,4.0,1.024,25,23,52.5,34,38,36.679,488.57,37.909
4.945,16,38.9,47.2,5.6,1.007,17,15,33.5,22,24,24.82,310.4,26.137
5.511,16,35.3,50.0,5.9,1.018,17,21,35.5,22,25,23.821,292.31,24.182
5.492,15,32.5,42.5,7.5,1.05,17,17,40.5,27,29,27.702,371.33,27.006
5.477,15,36.6,41.5,7.3,1.02,17,18,38.0,26,28,28.931,405.56,30.892
4.268,11,40.5,43.2,5.4,1.019,16,10,31.0,22,24,24.702,318.78,25.563
5.493,17,31.4,48.6,8.6,1.026,17,19,38.0,24,27,25.503,337.38,26.074
5.703,19,32.6,43.5,6.5,1.027,20,22,47.5,31,34,33.833,489.66,35.994
5.402,18,39.2,45.1,9.8,1.009,23,23,47.0,31,35,34.776,478.38,36.381
4.932,21,33.3,53.8,2.6,1.018,21,21,41.0,26,29,28.041,343.35,28.392
5.507,16,39.5,47.4,2.6,1.009,18,17,36.0,23,25,26.041,325.41,27.347
4.268,9,50.0,35.0,6.7,1.005,21,9,38.0,30,32,35.98,434.62,38.387
5.731,16,32.6,41.9,11.6,1.032,18,18,44.5,29,32,31.087,447.96,32.352
5.536,18,41.1,42.9,10.7,1.013,24,20,48.5,33,37,36.682,446.53,37.733
4.474,15,40.9,43.2,6.8,1.015,19,16,38.0,26,28,29.251,371.85,30.33
5.427,16,35.3,50.0,0.0,1.028,17,15,33.0,22,24,23.735,296.29,23.841
5.798,16,32.5,45.0,7.5,1.036,18,18,42.5,27,29,28.459,383.41,28.744
5.497,13,49.0,39.2,5.9,1.0,20,13,35.0,26,28,31.003,355.48,32.756
5.927,24,29.2,50.0,10.4,1.032,24,31,55.5,34,38,35.428,471.88,35.511
5.331,16,34.9,44.2,7.0,1.037,19,17,42.0,28,31,29.514,381.37,29.313
5.554,24,30.0,50.0,4.0,1.034,25,23,53.5,35,39,37.062,506.56,37.847
5.843,11,42.9,42.9,2.9,1.017,15,10,28.0,20,21,22.568,273.31,23.154
4.428,15,41.3,41.3,6.5,1.017,19,18,38.5,27,29,30.325,385.48,31.574
5.396,24,39.7,44.4,7.9,1.012,28,31,59.0,38,42,42.421,527.65,44.108
4.606,10,30.8,46.2,0.0,1.053,12,9,25.0,18,19,19.148,287.1,19.341
5.275,11,47.1,39.2,5.9,1.002,20,10,36.0,27,29,32.303,405.99,34.807
5.187,11,37.5,35.4,8.3,1.045,17,12,41.0,30,32,32.431,477.36,33.205
5.189,14,36.1,38.9,8.3,1.033,14,16,34.5,23,24,24.932,351.44,25.938
5.216,8,48.3,38.3,1.7,1.009,23,11,41.5,31,33,36.872,447.6,39.04
5.635,16,36.8,47.4,2.6,1.018,18,12,34.0,24,25,27.346,427.13,29.074
5.303,13,51.2,41.9,4.7,0.985,18,13,29.0,21,22,26.026,282.42,28.08
5.478,19,45.5,41.8,9.1,1.0,23,20,43.0,30,32,34.805,403.53,36.552
4.268,8,42.4,36.4,12.1,1.024,12,9,26.5,19,20,20.864,262.3,21.193
4.724,21,41.4,44.8,3.4,1.011,26,22,51.0,34,38,38.599,476.59,40.307
5.319,16,37.2,41.9,9.3,1.014,18,19,40.0,27,29,30.237,416.59,32.443
4.932,14,35.7,50.0,0.0,1.026,14,14,27.5,18,19,19.493,242.24,19.625
5.309,15,32.4,47.1,5.9,1.028,16,15,34.5,23,25,24.864,346.43,25.96
5.217,21,39.1,45.7,8.7,1.012,21,21,42.0,28,30,30.918,374.43,31.716
5.331,16,46.4,37.7,7.2,1.009,26,17,51.0,37,40,43.356,546.15,46.012
5.334,19,35.4,43.8,6.3,1.027,21,22,47.5,31,34,33.7,455.55,34.915
5.081,22,33.3,45.8,0.0,1.038,22,27,50.5,32,35,34.307,472.52,35.023
4.805,13,39.0,41.5,4.9,1.03,17,14,34.0,25,26,27.771,383.25,28.636
4.823,13,34.9,39.5,4.7,1.043,17,17,41.5,28,30,30.221,442.93,31.222
5.481,15,35.7,40.5,11.9,1.022,17,18,38.5,27,29,30.012,440.41,32.063
4.268,13,42.9,42.9,2.4,1.027,18,13,32.0,24,25,26.869,337.37,27.341
4.268,11,45.2,38.1,7.1,1.004,16,17,34.5,23,25,27.082,349.52,29.313
5.136,12,45.5,40.9,4.5,1.005,18,13,33.5,24,26,28.116,344.47,29.875
5.339,14,49.3,38.8,4.5,0.999,26,16,47.0,34,37,41.012,483.69,43.904
5.841,16,37.2,46.5,9.3,1.004,20,22,43.0,27,30,30.335,392.54,32.341
5.616,17,32.4,45.9,5.4,1.029,17,16,37.5,25,27,26.91,372.45,27.932
5.283,6,31.6,36.8,10.5,1.067,7,8,19.0,13,14,12.956,182.15,12.352
5.443,18,36.4,45.5,9.1,1.017,20,17,42.0,28,31,30.578,392.47,31.602
5.373,18,41.8,41.8,1.8,1.022,23,16,44.0,32,34,36.007,457.54,37.21
5.455,15,40.0,40.0,8.9,1.016,18,18,39.0,27,29,30.292,402.54,32.012
5.279,17,31.7,43.9,7.3,1.037,18,18,43.0,28,31,29.646,415.48,30.392
4.727,14,28.1,43.8,15.6,1.038,14,18,34.5,23,25,24.244,366.25,25.131
5.018,15,40.6,50.0,9.4,0.991,16,17,30.5,19,22,21.698,247.32,22.824
5.079,21,38.0,46.0,6.0,1.02,23,24,47.0,31,34,33.853,417.45,34.381
5.289,11,40.5,40.5,8.1,1.021,15,10,30.5,22,23,24.836,340.23,25.972
5.572,16,32.5,47.5,7.5,1.034,19,18,42.5,27,29,28.272,363.35,28.097
4.891,18,38.1,45.2,14.3,1.008,19,23,41.0,26,29,28.477,344.41,29.296
5.356,30,35.8,50.7,3.0,1.018,34,30,66.0,43,48,46.841,572.6,47.568
5.664,18,32.4,48.6,5.4,1.031,18,19,37.5,25,27,27.003,375.22,27.659
5.551,12,40.9,40.9,4.5,1.017,18,11,36.0,26,28,29.491,390.52,31.216
5.243,20,41.7,45.8,8.3,1.003,22,21,42.0,28,30,31.73,372.46,33.023
5.544,23,29.4,47.1,7.8,1.043,24,24,54.0,36,39,37.83,545.78,38.199
5.813,13,41.2,41.2,5.9,1.009,21,20,44.0,30,34,34.511,459.66,37.176
5.466,17,34.1,43.9,9.8,1.036,18,21,41.5,27,29,28.294,366.36,28.102
5.332,14,41.7,39.6,10.4,1.022,19,16,40.0,28,30,30.849,385.44,31.421
5.773,21,40.7,44.1,6.8,1.011,26,26,54.0,35,39,39.4,488.61,41.102
5.208,22,40.4,45.6,5.3,1.014,26,22,50.0,34,37,37.906,457.52,38.904
5.807,21,33.3,47.9,2.1,1.027,23,21,47.5,32,35,35.011,485.99,36.523
6.398,20,40.0,46.0,4.0,1.011,23,23,45.0,30,33,33.83,420.52,35.33
4.866,17,32.6,41.9,4.7,1.045,18,22,44.5,29,31,30.581,434.48,31.057
6.342,13,40.5,40.5,13.5,1.009,15,17,33.0,22,24,24.643,313.42,25.938
4.554,14,33.3,50.0,3.3,1.024,15,17,31.0,20,22,21.825,332.16,22.529
5.279,22,46.8,41.8,1.3,1.008,33,21,57.0,42,45,49.222,575.71,51.347
5.175,13,50.0,41.7,4.2,0.991,20,13,33.0,24,26,29.267,324.46,31.296
5.728,19,47.6,41.5,3.7,0.999,34,20,59.5,43,48,51.308,601.83,54.642
5.035,16,41.5,46.3,2.4,1.006,19,18,36.0,24,26,27.567,339.44,29.108
5.068,11,33.3,45.8,12.5,1.025,11,13,24.0,16,17,17.187,233.67,17.614
5.311,19,37.0,45.7,6.5,1.019,21,17,43.0,29,32,31.798,407.48,32.813
4.443,20,38.6,47.7,6.8,1.005,21,20,41.0,27,30,30.369,375.48,31.904
5.574,18,40.0,48.9,4.4,1.006,22,19,41.5,27,31,30.402,358.42,31.466
5.687,22,38.6,45.6,3.5,1.019,26,22,51.5,35,38,38.787,490.57,40.0
5.171,18,40.7,42.4,6.8,1.012,25,17,50.0,35,39,39.587,508.67,41.75
5.153,12,43.8,43.8,12.5,0.995,14,16,28.0,18,20,20.72,238.32,21.83
5.23,17,35.1,45.9,10.8,1.015,17,19,36.5,24,26,26.449,356.86,27.79
5.527,19,36.0,44.0,8.0,1.031,22,21,48.0,32,35,34.062,434.44,34.08
4.892,13,47.4,40.4,8.8,0.998,23,17,42.5,30,34,35.331,405.55,37.313
4.268,11,41.5,41.5,7.3,1.007,17,10,34.0,24,27,27.556,359.51,29.551
6.398,17,36.6,46.3,7.3,1.022,19,22,40.5,26,29,28.084,349.37,28.404
5.385,14,31.0,48.3,10.3,1.032,14,20,33.0,20,23,20.789,267.26,20.665
6.001,10,44.7,42.1,2.6,1.013,16,9,29.0,21,23,24.095,287.34,24.915
4.268,16,32.4,45.9,8.1,1.037,17,20,39.0,25,27,26.385,357.77,26.5
5.413,6,55.6,38.9,0.0,0.986,14,4,20.0,16,16,20.698,220.34,22.523
5.534,17,37.2,46.5,9.3,1.016,20,22,42.5,27,31,29.391,360.4,29.955
5.265,12,38.5,50.0,0.0,1.015,13,10,24.0,16,17,17.778,214.23,18.171
4.932,18,34.1,43.9,9.8,1.023,18,24,43.0,27,30,29.238,398.5,30.489
4.619,12,45.2,40.5,7.1,1.003,17,15,34.0,23,25,26.895,329.46,28.665
5.524,20,37.5,39.3,8.9,1.03,22,24,52.0,35,37,37.984,515.62,39.142
5.479,14,26.7,46.7,10.0,1.041,14,16,34.0,22,24,23.001,378.22,23.665
5.175,23,34.0,50.0,6.0,1.023,25,26,52.0,33,37,35.326,439.45,35.619
5.446,15,35.0,45.0,10.0,1.028,18,20,41.0,26,28,27.579,350.36,27.648
5.246,17,39.0,46.3,9.8,1.003,19,19,38.5,25,28,28.148,348.46,29.693
4.869,11,40.0,42.9,5.7,1.023,15,13,30.5,21,23,23.063,286.31,23.398
4.596,17,44.4,42.6,3.7,1.01,23,16,42.0,30,32,34.412,408.49,35.659
5.316,19,46.4,44.6,3.6,0.992,25,19,43.0,30,33,35.981,418.6,38.705
5.503,17,41.3,43.5,10.9,1.008,20,19,41.0,27,30,30.224,361.44,31.267
5.583,11,43.5,41.3,6.5,1.007,19,10,36.0,26,29,30.25,389.94,32.284
4.772,11,39.5,39.5,13.2,1.011,15,14,33.5,23,24,25.83,345.49,27.585
5.258,16,34.9,41.9,11.6,1.025,18,18,43.5,28,31,30.26,413.52,31.494
5.764,18,29.7,48.6,10.8,1.034,18,24,42.0,26,29,27.165,366.78,27.29
5.589,18,32.4,48.6,8.1,1.018,18,22,39.5,25,28,27.34,414.3,28.733
5.589,16,39.0,46.3,2.4,1.017,19,12,36.0,25,27,28.12,402.26,29.267
5.817,26,40.0,46.7,3.3,1.015,28,26,53.0,36,39,40.126,484.54,41.114
5.28,17,43.6,41.8,7.3,1.005,23,19,45.0,31,34,35.685,436.58,37.648
4.98,17,42.0,42.0,2.0,1.015,21,20,42.5,29,31,33.238,431.57,35.188
4.86,17,40.4,42.6,2.1,1.018,20,20,41.5,28,30,31.711,417.54,33.426
5.717,13,42.3,40.4,7.7,1.01,21,20,44.0,30,34,34.345,442.61,36.534
4.268,16,46.2,36.9,6.2,1.014,24,17,48.0,35,37,40.41,502.65,42.296
5.81,19,30.2,46.5,7.0,1.035,20,18,45.0,30,33,31.646,439.5,32.392
5.44,18,42.4,42.4,8.5,1.007,25,23,50.5,34,38,38.706,475.62,40.654
4.637,10,28.1,34.4,18.8,1.062,11,15,33.5,23,24,23.254,401.23,23.375
5.595,11,40.0,40.0,5.0,1.028,16,12,35.0,24,26,26.492,348.41,27.261
4.918,15,36.4,51.5,6.1,1.008,17,18,33.5,21,23,23.106,276.31,23.727
5.198,21,32.6,48.8,7.0,1.029,21,21,44.5,29,32,30.912,407.83,31.261
5.642,22,34.8,50.0,8.7,1.015,23,28,48.5,30,34,32.391,396.43,32.955
5.711,14,42.1,44.7,0.0,1.019,17,16,32.0,22,24,24.788,300.33,25.364
4.268,13,34.3,42.9,8.6,1.03,15,17,34.0,23,25,24.885,349.44,25.966
4.72,15,32.3,48.4,12.9,1.019,15,18,32.5,21,23,22.848,317.19,23.784
5.372,16,37.0,41.3,10.9,1.021,19,18,44.5,29,32,31.786,427.55,33.256
5.183,13,50.0,37.9,6.9,0.998,22,13,38.0,29,31,35.191,417.0,37.688
5.471,23,36.2,51.1,4.3,1.012,24,22,46.0,30,33,33.229,416.88,34.324
5.635,22,33.3,48.9,6.7,1.028,22,26,48.0,30,33,31.799,401.4,31.858
4.268,7,45.8,41.7,4.2,0.997,10,7,18.0,13,14,15.557,193.29,16.915
5.621,15,32.5,42.5,10.0,1.036,17,16,39.5,27,29,28.791,449.31,29.648
5.472,14,44.4,42.2,6.7,1.005,19,14,35.5,25,27,29.063,357.87,30.637
4.742,9,37.8,35.1,16.2,1.026,13,16,33.5,23,25,25.039,350.47,26.284
5.779,16,46.8,44.7,4.3,0.988,21,15,36.0,25,27,30.213,350.52,32.728
5.177,17,41.3,45.7,6.5,1.008,21,22,41.5,27,30,30.423,361.43,31.472
4.594,22,38.3,48.9,8.5,1.005,23,25,45.5,29,32,32.203,382.45,33.262
5.427,12,38.5,43.6,7.7,1.014,17,16,35.0,24,27,27.309,380.32,29.165
5.741,17,41.0,39.3,11.5,1.009,24,23,52.5,36,40,40.882,539.77,43.745
5.182,18,34.9,46.5,7.0,1.023,20,23,43.0,28,31,30.271,393.45,31.051
5.839,22,27.3,50.0,9.1,1.038,22,27,52.0,32,36,32.954,444.45,32.989
5.504,14,48.9,40.4,6.4,0.996,19,14,33.0,24,25,28.762,325.45,30.54
4.109,10,37.5,43.8,6.3,1.013,14,12,30.0,20,23,22.481,304.42,24.023
5.041,6,51.6,35.5,6.5,0.993,11,7,19.0,15,15,18.632,224.36,20.443
4.268,12,45.2,41.9,6.5,1.005,13,12,24.0,17,18,19.633,230.29,20.489
6.03,11,42.9,42.9,5.7,1.008,15,12,28.5,20,22,23.185,335.22,24.603
5.528,13,40.4,38.5,13.5,1.018,20,18,45.0,31,34,34.169,439.55,35.381
5.776,14,48.5,36.8,4.4,1.009,25,16,47.0,35,37,41.442,503.68,43.813
5.426,18,40.5,47.6,7.1,1.003,20,19,38.5,25,28,28.181,331.4,29.256
6.124,17,34.1,47.7,4.5,1.031,21,17,43.5,29,31,31.132,410.83,31.472
6.398,15,40.5,42.9,7.1,1.019,18,15,36.5,25,27,27.611,339.38,28.165
4.69,21,35.6,48.9,8.9,1.015,22,22,45.0,29,32,31.391,384.42,31.955
4.996,12,29.2,50.0,4.2,1.044,12,11,27.0,17,19,17.461,229.2,17.108
4.81,20,30.0,52.5,7.5,1.019,21,24,45.5,28,31,30.142,405.88,31.239
5.247,16,29.0,54.8,9.7,1.012,17,19,37.0,22,25,23.547,303.36,24.404
5.175,13,44.7,44.7,5.3,1.003,17,13,30.0,21,23,24.355,284.36,25.495
5.825,18,37.0,44.4,3.7,1.024,24,17,49.5,34,38,37.447,496.6,38.886
5.363,13,42.9,38.8,8.2,1.02,19,15,39.0,28,30,31.514,404.89,32.551
6.365,20,38.6,47.7,6.8,1.005,21,20,41.0,27,30,30.369,375.48,31.904
5.195,6,56.9,37.3,2.0,0.983,19,6,27.0,22,24,28.826,303.49,31.574
5.62,15,36.8,42.1,10.5,1.017,16,18,36.0,24,26,26.523,358.48,28.034
5.323,12,41.5,43.9,2.4,1.017,18,12,33.0,24,27,27.562,366.26,28.938
5.346,12,45.5,42.4,3.0,1.001,14,12,25.0,18,19,21.326,261.37,22.892
5.256,19,30.2,46.5,7.0,1.047,20,22,47.0,30,33,30.702,407.36,30.006
5.433,10,34.5,37.9,20.7,1.018,11,16,29.0,19,21,20.556,290.41,21.852
5.356,15,32.4,43.2,8.1,1.043,16,18,37.5,25,27,26.297,406.21,26.449
4.902,20,35.7,47.6,7.1,1.022,20,21,41.0,27,29,29.084,361.38,29.404
5.463,13,47.6,42.9,4.8,0.995,18,13,31.0,22,24,26.214,296.4,27.773
4.627,14,46.4,39.3,7.1,1.008,22,12,41.0,30,32,34.74,410.52,36.216
5.52,17,41.7,41.7,8.3,1.011,20,19,40.5,28,30,31.632,396.51,33.125
5.445,19,40.4,46.8,6.4,1.008,22,20,42.5,28,31,31.423,373.44,32.472
5.503,22,38.9,46.3,9.3,1.01,25,19,50.5,33,37,36.466,439.51,37.483
5.171,11,27.3,39.4,9.1,1.067,13,15,34.5,24,25,24.588,390.22,24.699
5.523,17,26.3,44.7,7.9,1.042,17,18,43.0,28,31,29.617,496.41,31.176
5.69,21,39.2,47.1,3.9,1.016,24,24,47.0,31,34,34.358,416.46,35.137
5.209,12,40.5,37.8,8.1,1.027,14,15,32.0,22,23,24.271,321.39,25.051
5.791,16,47.2,43.4,1.9,1.0,23,17,39.5,28,31,33.202,379.49,34.961
4.268,16,39.0,43.9,9.8,1.005,18,18,38.0,25,28,28.335,368.52,30.341
5.605,20,41.7,45.8,8.3,0.997,22,23,43.0,28,31,32.202,388.53,34.216
5.932,18,44.1,44.1,3.4,1.008,26,22,48.5,33,37,37.938,446.54,39.421
5.413,11,23.7,42.1,13.2,1.078,16,16,43.0,29,31,28.523,443.82,27.756
5.842,15,36.7,53.3,10.0,0.995,16,18,31.5,19,21,21.171,245.3,22.063
5.404,14,46.7,40.0,3.3,1.011,24,17,44.5,32,35,37.18,440.54,38.637
5.485,17,45.0,47.5,5.0,0.99,19,18,33.5,22,24,25.972,290.39,27.557
5.411,15,35.9,43.6,10.3,1.016,17,21,39.0,25,28,27.523,370.49,29.034
5.52,16,37.8,45.9,5.4,1.015,17,15,34.5,23,25,25.535,326.4,26.591
5.331,17,34.0,42.0,14.0,1.025,21,15,49.0,33,37,35.302,479.59,36.506
5.849,16,34.8,43.5,10.9,1.031,20,21,45.5,30,32,31.955,425.86,32.273
5.203,11,36.0,48.0,0.0,1.019,12,12,23.5,16,17,18.078,252.73,19.222
4.268,7,50.0,34.8,10.9,1.003,16,8,30.5,23,25,27.278,317.44,28.79
6.347,19,34.7,42.9,10.2,1.026,21,25,49.0,32,35,34.501,467.57,35.71
5.554,16,33.3,43.6,2.6,1.033,17,17,39.0,26,28,28.318,407.52,29.79
5.333,27,44.6,51.8,3.6,0.98,29,29,50.0,31,35,37.101,401.56,39.767
4.988,15,41.2,47.1,5.9,0.997,16,17,30.5,20,22,23.106,282.39,24.682
4.74,11,40.0,40.0,5.7,1.033,14,10,29.0,21,22,22.778,290.3,22.852
6.398,10,47.2,41.7,2.8,0.997,15,12,26.5,19,20,22.853,275.4,24.654
5.512,14,45.3,39.6,7.5,1.01,21,12,40.0,29,31,33.213,396.49,34.455
5.49,18,34.1,45.5,6.8,1.019,20,20,44.0,29,32,31.931,441.59,33.892
4.58,18,45.1,45.1,2.0,1.003,23,19,40.5,28,30,32.675,377.47,34.199
5.432,15,38.1,45.2,0.0,1.032,19,12,37.5,26,28,28.218,356.35,28.273
5.484,16,41.5,46.3,2.4,1.006,19,17,37.0,24,26,27.567,339.44,29.108
5.179,6,57.1,35.7,2.4,0.982,15,6,21.0,18,18,24.083,314.3,26.949
5.349,13,50.0,40.9,4.5,0.993,18,13,30.0,22,23,26.74,298.42,28.534
6.398,13,42.6,38.9,5.6,1.017,21,15,44.0,31,35,35.28,461.61,37.199
5.479,20,25.6,51.3,7.7,1.037,20,24,46.5,29,33,30.243,468.3,30.881
5.481,18,36.0,46.0,4.0,1.021,23,17,47.5,32,36,35.205,466.57,36.67
5.959,10,45.2,38.7,6.5,1.016,12,9,23.0,17,17,19.348,234.28,19.943
6.398,14,41.7,44.4,2.8,1.01,16,14,30.0,21,22,24.041,301.39,25.347
5.609,27,32.8,46.6,12.1,1.028,27,34,62.5,39,43,40.885,521.53,40.881
5.668,21,37.7,45.3,7.5,1.016,24,26,52.0,33,37,36.346,460.55,37.58
5.597,12,39.4,42.4,12.1,1.012,14,16,30.0,20,22,22.46,333.21,23.637
4.944,13,27.6,44.8,13.8,1.043,13,19,34.0,21,23,21.471,300.32,21.557
5.325,17,36.8,47.4,5.3,1.021,18,16,36.5,24,26,26.063,322.34,26.398
5.942,13,49.1,38.2,5.5,1.004,21,13,37.0,28,30,33.245,385.51,34.972
6.067,21,41.8,45.5,7.3,1.004,25,21,47.0,32,35,36.611,446.97,38.404
5.586,19,40.7,42.4,6.8,1.02,25,21,51.0,35,38,38.642,476.53,39.364
5.185,16,31.4,45.7,11.4,1.025,16,18,35.5,24,26,26.389,397.73,28.051
5.531,25,36.7,46.7,6.7,1.022,28,27,58.0,38,42,41.116,510.54,41.602
4.969,20,31.0,47.6,7.1,1.04,20,22,45.5,29,32,29.987,391.36,29.551
5.295,13,41.3,39.1,8.7,1.024,18,15,38.0,27,29,29.987,390.86,30.79
5.199,12,43.8,43.8,6.3,1.005,14,13,26.5,18,19,20.633,242.3,21.489
5.175,15,28.6,53.6,0.0,1.042,15,17,32.0,20,23,20.681,268.23,20.318
5.361,14,32.4,44.1,8.8,1.043,15,16,35.5,23,25,23.745,313.29,23.335
4.268,11,41.0,41.0,7.7,1.014,16,10,32.0,23,25,26.196,349.87,27.762
4.268,9,46.9,43.8,3.1,0.998,14,8,24.0,17,19,20.139,229.3,21.245
5.3,17,32.4,48.6,2.7,1.023,18,16,37.0,25,27,27.528,389.9,29.091
4.876,16,43.1,41.4,5.2,1.013,24,20,48.5,33,37,37.62,467.59,39.313
5.491,21,39.2,47.1,7.8,1.009,24,24,48.0,31,35,34.444,412.48,35.478
5.302,16,30.0,42.5,12.5,1.038,17,18,43.5,28,31,29.56,433.93,30.591
5.172,16,35.3,47.1,8.8,1.021,16,18,33.5,22,24,23.955,313.76,24.591
5.366,23,35.7,46.4,10.7,1.02,26,20,55.0,36,41,38.675,480.52,39.182
5.168,14,46.8,42.6,4.3,1.0,20,14,35.0,25,27,29.455,338.44,30.989
5.359,8,39.4,36.4,6.1,1.035,12,10,28.0,20,21,22.106,316.41,23.176
6.398,12,45.9,45.9,2.7,0.995,17,12,29.0,20,23,23.665,267.35,25.006
5.33,10,31.6,31.6,21.1,1.054,12,9,36.0,26,27,26.458,396.46,26.682
5.461,16,39.0,43.9,14.6,1.009,18,22,40.0,25,28,27.477,332.4,28.296
6.398,17,29.4,50.0,8.8,1.039,17,16,37.0,24,27,24.699,323.3,24.364
5.402,14,32.6,39.5,9.3,1.039,17,17,44.0,29,32,30.855,450.56,32.045
5.436,14,33.3,51.9,3.7,1.023,14,14,28.0,18,20,19.273,239.24,19.415
5.768,20,34.1,47.7,11.4,1.015,21,21,46.0,29,33,31.358,401.48,32.392
5.188,15,41.2,39.2,2.0,1.023,20,17,43.0,30,32,34.043,469.91,36.296
5.424,17,36.0,42.0,4.0,1.039,21,19,45.5,32,35,34.163,458.48,34.386
5.226,9,41.7,38.9,8.3,1.025,14,12,30.0,21,23,23.084,289.32,23.404
5.531,17,36.8,40.4,12.3,1.024,23,15,52.0,36,40,39.071,523.65,40.483
5.546,16,44.4,44.4,2.2,1.003,20,12,35.0,25,26,29.459,402.31,31.336
5.365,16,27.5,42.5,7.5,1.063,17,19,44.0,29,31,29.077,417.38,28.346
5.222,11,40.0,48.0,0.0,1.016,12,12,22.5,15,16,16.778,202.22,17.171
5.531,20,31.5,38.9,9.3,1.059,21,24,54.0,37,39,37.939,553.57,37.71
5.409,22,35.2,48.1,9.3,1.019,26,20,54.5,35,39,37.654,465.5,38.176
4.789,5,44.1,32.4,14.7,1.012,11,8,25.5,19,19,21.83,297.45,23.585
