pXC50,Me,X.,C.,nN,N.,nCsp2,SCBO,nC,AMW,H.,Mi,Mp,Mv,MW,nAB,nAT,nB
8.398,1.005,1.7,44.8,4,6.9,18,49.0,26,7.665,43.1,1.126,0.677,0.65,444.55,16,58,0
7.131,1.0,0.0,43.5,4,6.5,18,50.0,27,7.364,45.2,1.123,0.67,0.638,456.59,16,62,0
7.959,1.0,0.0,43.6,4,7.3,16,46.5,24,7.865,43.6,1.118,0.694,0.654,432.59,15,55,0
8.0,1.0,0.0,43.6,4,7.3,16,46.5,24,7.865,43.6,1.118,0.694,0.654,432.59,15,55,0
7.092,0.993,0.0,41.0,4,6.6,12,44.0,25,6.862,49.2,1.128,0.653,0.613,418.59,10,61,0
7.509,0.991,0.0,40.6,4,6.3,12,45.0,26,6.76,50.0,1.129,0.65,0.608,432.62,10,64,0
7.796,0.99,0.0,40.3,4,6.0,12,46.0,27,6.666,50.7,1.129,0.647,0.603,446.65,10,67,0
7.276,1.0,0.0,42.5,4,5.5,19,56.0,31,7.215,46.6,1.124,0.661,0.628,526.69,16,73,0
8.398,0.998,0.0,43.1,4,6.2,18,51.0,28,7.24,46.2,1.123,0.666,0.632,470.62,16,65,0
8.699,0.992,0.0,41.7,5,6.9,18,53.0,30,6.912,48.6,1.127,0.658,0.617,497.7,16,72,0
8.699,0.991,0.0,42.1,5,6.6,18,56.0,32,6.891,48.7,1.126,0.659,0.618,523.74,16,76,0
8.523,0.99,0.0,41.8,5,6.3,18,57.0,33,6.807,49.4,1.126,0.657,0.614,537.77,16,79,0
8.523,0.991,0.0,40.7,6,7.4,18,58.0,33,6.825,49.4,1.129,0.653,0.611,552.79,16,81,0
8.301,0.995,0.0,41.6,5,6.5,18,57.0,32,7.01,48.1,1.127,0.657,0.619,539.74,16,77,0
6.699,1.036,7.0,42.3,4,5.6,20,62.0,30,9.171,38.0,1.139,0.687,0.674,651.13,18,71,0
6.398,0.982,0.0,40.3,3,4.8,13,39.5,25,6.316,53.2,1.128,0.643,0.592,391.61,11,62,0
8.222,1.018,5.9,38.2,4,5.9,10,46.0,26,7.48,47.1,1.153,0.63,0.61,508.62,6,68,0
6.745,1.019,6.0,37.3,4,6.0,10,44.0,25,7.412,47.8,1.155,0.625,0.604,496.61,6,67,0
7.481,0.992,0.0,36.6,4,5.6,10,42.0,26,6.404,53.5,1.136,0.624,0.58,454.68,6,71,0
8.222,0.999,1.4,36.6,4,5.6,10,43.0,26,6.657,52.1,1.141,0.623,0.585,472.67,6,71,0
7.244,1.014,5.5,37.0,4,5.5,10,46.0,27,7.187,49.3,1.154,0.622,0.596,524.67,6,73,0
6.022,1.026,6.2,36.9,4,6.2,10,44.0,24,7.67,46.2,1.157,0.624,0.61,498.58,6,65,0
7.097,1.021,6.2,38.5,4,6.2,10,45.0,25,7.609,46.2,1.154,0.632,0.615,494.59,6,65,0
7.0,1.016,5.7,37.1,4,5.7,10,45.0,26,7.295,48.6,1.155,0.623,0.6,510.64,6,70,0
5.854,1.005,3.3,44.3,4,6.6,21,50.0,27,8.352,42.6,1.119,0.701,0.664,509.47,18,61,0
6.699,1.011,3.5,43.9,5,8.8,20,49.0,25,8.709,40.4,1.122,0.706,0.675,496.43,18,57,0
6.301,1.005,3.1,46.9,4,6.3,25,56.5,30,8.523,40.6,1.114,0.715,0.68,545.5,23,64,0
5.745,0.996,1.5,43.3,4,6.0,21,51.0,29,7.509,46.3,1.122,0.678,0.638,503.09,18,67,0
7.222,1.006,3.0,46.3,5,7.5,24,59.5,31,8.545,40.3,1.116,0.713,0.679,572.53,23,67,0
5.824,1.007,3.4,44.8,4,6.9,21,49.0,26,8.542,41.4,1.118,0.707,0.672,495.44,18,58,0
7.097,1.006,3.0,46.3,5,7.5,24,59.5,31,8.545,40.3,1.116,0.713,0.679,572.53,23,67,0
6.824,1.01,3.2,43.5,4,6.5,21,51.0,27,8.475,41.9,1.121,0.697,0.665,525.47,18,62,0
5.721,1.026,4.2,44.4,5,6.9,25,63.0,32,8.384,38.9,1.135,0.674,0.666,603.65,24,72,0
5.959,1.006,3.0,46.3,5,7.5,24,59.5,31,8.545,40.3,1.116,0.713,0.679,572.53,23,67,0
7.398,1.006,3.0,46.3,5,7.5,24,59.5,31,8.545,40.3,1.116,0.713,0.679,572.53,23,67,0
6.921,1.024,6.6,37.7,4,6.6,10,42.0,23,7.681,45.9,1.157,0.629,0.614,468.55,6,61,0
7.155,1.006,3.0,46.3,5,7.5,24,59.5,31,8.545,40.3,1.116,0.713,0.679,572.53,23,67,0
6.187,1.022,6.3,36.5,4,6.3,8,41.0,23,7.469,47.6,1.159,0.621,0.602,470.57,6,63,0
7.42,1.021,6.3,37.5,4,6.3,10,43.0,24,7.54,46.9,1.156,0.627,0.609,482.58,6,64,0
6.097,1.007,3.4,44.8,4,6.9,21,49.0,26,8.542,41.4,1.118,0.707,0.672,495.44,18,58,0
7.301,1.008,3.2,46.0,5,7.9,24,56.5,29,8.674,39.7,1.117,0.715,0.682,546.49,23,63,0
6.398,1.029,9.5,38.1,3,4.8,9,42.0,24,7.771,46.0,1.165,0.623,0.611,489.56,6,63,0
6.8,1.027,6.6,34.4,3,4.9,5,40.0,21,7.862,47.5,1.158,0.626,0.604,479.6,6,61,0
5.8,1.027,6.6,34.4,3,4.9,5,40.0,21,7.862,47.5,1.158,0.626,0.604,479.6,6,61,0
5.9,1.025,5.4,35.7,3,5.4,6,39.0,20,7.956,46.4,1.151,0.638,0.614,445.56,6,56,0
6.0,1.026,5.2,34.5,4,6.9,5,40.0,20,7.941,46.6,1.154,0.634,0.611,460.58,6,58,0
6.7,1.027,6.6,34.4,3,4.9,5,40.0,21,7.862,47.5,1.158,0.626,0.604,479.6,6,61,0
5.8,1.028,6.1,34.8,3,4.5,5,44.0,23,7.904,47.0,1.155,0.628,0.607,521.64,6,66,0
5.6,1.022,5.1,35.6,3,5.1,6,40.0,21,7.79,47.5,1.15,0.636,0.609,459.59,6,59,0
6.2,1.019,4.9,34.4,3,4.9,5,39.0,21,7.567,49.2,1.152,0.627,0.598,461.61,6,61,0
9.301,0.995,2.9,37.7,5,7.2,12,44.0,26,7.312,50.7,1.134,0.658,0.607,504.56,12,69,0
6.1,1.034,7.1,35.7,3,5.4,6,40.0,20,8.278,44.6,1.157,0.637,0.621,463.55,6,56,0
6.3,1.03,6.8,35.6,3,5.1,6,41.0,21,8.095,45.8,1.156,0.635,0.615,477.58,6,59,0
5.2,1.035,6.7,35.0,3,5.0,6,42.0,21,8.226,45.0,1.157,0.632,0.617,493.58,6,60,0
6.2,1.019,4.9,34.4,3,4.9,5,39.0,21,7.567,49.2,1.152,0.627,0.598,461.61,6,61,0
6.7,1.019,4.9,34.4,3,4.9,5,39.0,21,7.567,49.2,1.152,0.627,0.598,461.61,6,61,0
7.886,1.024,5.2,42.9,5,6.5,19,67.0,33,8.49,40.3,1.138,0.678,0.661,653.76,22,77,0
6.699,0.994,0.0,43.3,4,6.7,18,47.0,26,7.143,46.7,1.123,0.668,0.631,428.58,16,60,0
