pXC50,nC,SCBO,nCL,RBN,nBO,Sp,Si,Se,MW,nCsp3,nF,nBT,nX,nHet,X.,nAT,Mi,nH,nSK,Sv,nCsp,nTB,N.,nBM,nCsp2,C.,RBF,nAB
4.8,20,35.5,1,2,26,28.409,42.973,38.822,321.82,3,0,42,1,3,2.6,39,1.102,16,23,26.778,0,0,2.6,18,17,51.3,0.048,17
5.1,16,30.0,3,2,23,25.364,36.446,33.585,340.64,3,0,35,3,5,9.1,33,1.104,12,21,23.906,0,0,3.0,13,13,48.5,0.057,12
4.8,16,30.0,3,2,23,25.364,36.446,33.585,340.64,3,0,35,3,5,9.1,33,1.104,12,21,23.906,0,0,3.0,13,13,48.5,0.057,12
7.161,29,56.0,0,4,42,43.103,69.351,61.774,474.61,6,0,68,0,7,0.0,62,1.119,26,36,41.111,0,0,9.7,28,23,46.8,0.059,28
4.8,17,29.0,1,3,22,25.409,39.973,35.822,285.79,4,0,38,1,3,2.8,36,1.11,16,20,23.778,0,0,2.8,13,13,47.2,0.079,12
4.8,12,20.0,1,2,16,19.648,32.558,28.938,223.72,5,0,30,1,3,3.4,29,1.123,14,15,18.251,0,0,3.4,7,7,41.4,0.067,6
7.367,21,47.0,0,5,35,31.87,52.71,47.778,424.42,3,3,50,3,10,6.5,46,1.146,15,31,32.154,0,0,13.0,23,18,45.7,0.1,22
8.481,21,47.0,1,5,35,32.79,52.314,47.589,440.87,3,2,50,3,10,6.5,46,1.137,15,31,32.598,0,0,13.0,23,18,45.7,0.1,22
4.8,20,35.5,1,2,26,28.409,42.973,38.822,321.82,3,0,42,1,3,2.6,39,1.102,16,23,26.778,0,0,2.6,18,17,51.3,0.048,17
8.0,22,47.0,0,5,35,33.142,54.496,49.374,421.44,4,2,52,2,9,4.2,48,1.135,17,31,32.991,0,0,10.4,23,18,45.8,0.096,22
7.444,21,47.0,1,5,35,32.239,51.025,46.814,441.85,3,2,49,3,10,6.7,45,1.134,14,31,32.292,0,0,11.1,23,18,46.7,0.102,22
8.301,21,46.0,1,5,34,32.853,51.974,47.076,422.88,3,1,50,2,9,4.3,46,1.13,16,30,32.215,0,0,13.0,23,18,45.7,0.1,22
8.071,21,46.0,1,5,34,32.853,51.974,47.076,422.88,3,1,50,2,9,4.3,46,1.13,16,30,32.215,0,0,13.0,23,18,45.7,0.1,22
7.921,22,46.0,0,6,34,34.455,58.2,52.032,422.48,4,2,54,2,9,3.9,51,1.141,20,31,33.824,0,0,11.8,23,18,43.1,0.111,22
8.523,22,47.0,0,5,35,33.694,55.785,50.149,420.46,4,2,53,2,9,4.1,49,1.138,18,31,33.297,0,0,12.2,23,18,44.9,0.094,22
4.8,16,28.0,1,2,21,23.648,36.558,32.938,271.76,3,0,35,1,3,3.0,33,1.108,14,19,22.251,0,0,3.0,13,13,48.5,0.057,12
5.1,16,29.0,2,2,22,24.506,36.502,33.262,306.2,3,0,35,2,4,6.1,33,1.106,13,20,23.079,0,0,3.0,13,13,48.5,0.057,12
4.8,17,29.0,1,2,22,25.409,39.973,35.822,285.79,4,0,38,1,3,2.8,36,1.11,16,20,23.778,0,0,2.8,13,13,47.2,0.053,12
8.347,22,41.0,0,8,32,35.944,64.074,56.69,416.52,8,2,58,2,8,3.6,56,1.144,26,30,34.603,0,0,7.1,17,14,39.3,0.138,16
8.57,22,42.0,0,5,32,34.216,55.298,50.276,477.33,4,2,51,3,8,6.1,49,1.129,19,30,33.247,0,0,4.1,16,18,44.9,0.098,12
7.2,22,38.0,0,6,30,35.0,61.236,54.076,383.51,9,1,56,1,6,1.9,54,1.134,26,28,33.199,0,0,5.6,14,13,40.7,0.107,12
10.301,25,46.5,0,4,34,35.262,55.781,50.098,397.48,4,1,54,1,5,2.0,50,1.116,20,30,33.904,0,0,6.0,24,21,50.0,0.074,23
7.155,20,41.5,1,4,31,34.29,55.013,49.414,416.97,6,0,52,1,8,2.0,49,1.123,21,28,32.271,0,0,8.2,19,14,40.8,0.077,17
6.703,19,41.5,1,4,31,33.534,54.096,48.633,417.96,6,0,51,1,9,2.1,48,1.127,20,28,31.766,0,0,10.4,19,13,39.6,0.078,17
4.301,25,53.0,0,4,38,35.625,56.626,51.56,459.46,1,3,54,3,9,6.0,50,1.133,16,34,35.659,0,0,10.0,29,24,50.0,0.074,28
8.721,25,46.5,0,4,35,37.546,61.564,54.898,412.53,6,0,59,0,6,0.0,55,1.119,24,31,35.783,0,0,7.3,20,19,45.5,0.068,17
7.721,23,42.5,1,4,34,37.716,63.212,55.88,423.99,10,0,60,1,7,1.8,56,1.129,26,30,35.444,0,0,8.9,17,13,41.1,0.067,17
6.818,20,39.5,1,3,30,32.432,52.967,47.229,381.9,6,0,50,1,7,2.1,47,1.127,20,27,30.864,0,0,10.6,18,14,42.6,0.06,17
7.155,22,39.5,1,6,31,35.711,59.714,52.778,396.96,8,0,56,1,6,1.9,53,1.127,25,28,33.423,0,0,7.5,17,14,41.5,0.107,17
6.975,23,40.5,1,7,32,37.472,63.129,55.661,410.99,9,0,59,1,6,1.8,56,1.127,27,29,34.949,0,0,7.1,17,14,41.1,0.119,17
9.046,24,46.5,1,4,35,36.642,58.093,52.338,432.94,5,0,56,1,7,1.9,52,1.117,21,31,35.084,0,0,7.7,20,19,46.2,0.071,17
8.638,24,49.5,0,4,38,36.603,61.666,55.654,467.49,6,3,58,3,10,5.6,54,1.142,20,34,36.428,0,0,9.3,20,18,44.4,0.069,17
8.699,22,47.5,0,3,35,33.142,54.496,49.374,421.44,3,2,52,2,9,4.2,48,1.135,17,31,32.991,0,0,10.4,23,19,45.8,0.058,21
7.854,19,41.5,1,4,31,33.534,54.096,48.633,417.96,5,0,51,1,9,2.1,48,1.127,20,28,31.766,0,0,10.4,19,14,39.6,0.078,17
8.721,24,47.5,0,4,36,35.659,58.828,53.04,434.48,5,2,56,2,8,3.8,52,1.131,20,32,35.023,0,0,7.7,20,19,46.2,0.071,17
7.77,20,36.0,0,8,29,34.313,61.478,53.883,369.52,9,0,56,0,7,0.0,54,1.138,27,27,32.331,0,0,9.3,13,11,37.0,0.143,12
8.746,24,47.5,0,4,36,35.659,58.828,53.04,434.48,5,2,56,2,8,3.8,52,1.131,20,32,35.023,0,0,7.7,20,19,46.2,0.071,17
9.222,25,48.5,0,5,37,37.421,62.243,55.923,448.51,6,2,59,2,8,3.6,55,1.132,22,33,36.55,0,0,7.3,20,19,45.5,0.085,17
7.854,19,39.0,0,8,31,31.568,56.247,50.694,406.43,6,2,51,2,10,4.1,49,1.148,20,29,31.453,0,0,8.2,14,13,38.8,0.157,12
8.432,19,42.0,0,4,31,28.25,47.262,43.414,404.35,0,4,43,4,10,9.8,41,1.153,12,29,29.209,0,0,9.8,20,19,46.3,0.093,18
6.959,20,40.5,1,4,31,32.887,54.176,48.556,397.9,6,0,51,1,8,2.1,48,1.129,20,28,31.579,0,0,10.4,18,14,41.7,0.078,17
7.027,21,41.5,1,5,32,34.648,57.591,51.44,411.93,7,0,54,1,8,2.0,51,1.129,22,29,33.105,0,0,9.8,18,14,41.2,0.093,17
7.268,27,48.0,0,7,38,42.836,73.308,64.65,457.63,10,0,69,0,7,0.0,65,1.128,31,34,40.385,0,0,7.7,19,17,41.5,0.101,18
5.0,27,48.0,0,7,38,42.836,73.308,64.65,457.63,10,0,69,0,7,0.0,65,1.128,31,34,40.385,0,0,7.7,19,17,41.5,0.101,18
6.148,28,52.0,0,7,41,45.296,78.016,69.08,500.66,10,0,73,0,9,0.0,69,1.131,32,37,43.121,0,0,8.7,20,18,40.6,0.096,18
6.857,22,42.5,0,6,31,33.699,52.575,47.065,390.52,2,1,50,1,6,2.1,47,1.119,19,28,31.87,0,0,8.5,23,20,46.8,0.12,23
7.393,21,39.5,0,3,31,32.449,56.164,49.781,386.46,7,3,52,3,7,6.1,49,1.146,21,28,31.504,0,0,8.2,17,14,42.9,0.058,17
7.577,21,39.5,0,3,31,32.449,56.164,49.781,386.46,7,3,52,3,7,6.1,49,1.146,21,28,31.504,0,0,8.2,17,14,42.9,0.058,17
5.955,30,52.0,0,6,40,45.074,75.355,66.618,482.65,8,1,71,1,6,1.5,67,1.125,31,36,42.559,0,0,6.0,21,22,44.8,0.085,18
6.335,25,44.0,0,7,34,39.069,66.394,58.665,416.57,8,0,62,0,6,0.0,59,1.125,28,31,36.837,0,0,6.8,19,17,42.4,0.113,18
6.783,25,45.0,0,7,35,38.307,63.979,56.781,414.55,8,0,61,0,6,0.0,57,1.122,26,31,36.31,0,0,7.0,19,17,43.9,0.115,18
6.462,24,44.0,0,8,34,37.762,64.189,57.109,418.54,7,0,60,0,7,0.0,57,1.126,26,31,36.025,0,0,7.0,19,17,42.1,0.133,18
6.801,27,48.0,0,7,38,42.284,72.019,63.876,458.61,10,0,68,0,7,0.0,64,1.125,30,34,40.078,0,0,6.3,19,17,42.2,0.103,18
7.002,21,36.5,0,3,28,32.637,55.145,48.243,332.49,7,0,52,0,4,0.0,49,1.125,24,25,30.354,0,0,8.2,17,14,42.9,0.058,17
7.172,21,36.5,0,3,28,32.637,55.145,48.243,332.49,7,0,52,0,4,0.0,49,1.125,24,25,30.354,0,0,8.2,17,14,42.9,0.058,17
7.409,22,40.0,0,6,30,34.029,57.694,51.083,378.49,5,1,53,1,6,2.0,51,1.131,23,28,32.452,0,0,7.8,19,17,43.1,0.113,18
7.585,22,40.0,0,6,30,34.029,57.694,51.083,378.49,5,1,53,1,6,2.0,51,1.131,23,28,32.452,0,0,7.8,19,17,43.1,0.113,18
8.638,24,47.5,0,4,36,35.659,58.828,53.04,434.48,5,2,56,2,8,3.8,52,1.131,20,32,35.023,0,0,7.7,20,19,46.2,0.071,17
6.444,25,44.0,0,6,37,42.052,74.933,65.861,451.63,14,0,70,0,8,0.0,66,1.135,33,33,39.627,0,0,7.6,13,11,37.9,0.086,12
6.398,25,44.0,0,6,37,42.603,76.221,66.636,450.65,14,0,71,0,8,0.0,67,1.138,34,33,39.933,0,0,9.0,13,11,37.3,0.085,12
6.812,24,45.0,0,6,33,37.097,61.853,54.672,399.54,5,0,58,0,6,0.0,55,1.125,25,30,35.09,0,0,9.1,23,19,43.6,0.103,22
6.747,23,44.0,0,6,32,34.784,57.149,51.014,386.49,4,0,54,0,6,0.0,51,1.121,22,29,33.256,0,0,7.8,23,19,45.1,0.111,22
6.504,26,45.5,0,6,33,37.847,61.272,54.352,395.54,4,0,58,0,4,0.0,55,1.114,25,30,35.574,0,0,5.5,24,22,47.3,0.103,23
7.046,23,42.0,0,6,32,35.546,59.564,52.898,388.51,6,0,56,0,6,0.0,53,1.124,24,29,33.783,0,0,7.5,19,17,43.4,0.107,18
7.347,24,42.0,0,6,32,36.853,61.77,54.454,386.54,7,0,58,0,5,0.0,55,1.123,26,29,34.595,0,0,7.3,19,17,43.6,0.103,18
5.955,29,50.5,0,6,38,42.307,69.442,61.632,453.6,7,1,66,1,5,1.6,62,1.12,28,34,40.011,0,0,4.8,24,22,46.8,0.091,23
6.5,23,41.0,0,8,34,39.29,70.517,61.978,425.59,12,0,65,0,8,0.0,62,1.137,31,31,37.1,0,0,8.1,13,11,37.1,0.123,12
6.509,20,37.0,0,9,30,34.767,62.687,55.211,385.52,9,0,57,0,8,0.0,55,1.14,27,28,33.046,0,0,9.1,13,11,36.4,0.158,12
4.301,35,64.0,0,7,53,58.569,103.298,91.028,640.87,18,0,97,0,12,0.0,91,1.135,44,47,55.513,0,0,8.8,20,17,38.5,0.072,18
7.316,19,35.5,0,3,27,29.052,48.655,42.989,322.42,5,1,46,1,5,2.3,43,1.132,19,24,27.683,0,0,9.3,17,14,44.2,0.065,17
7.046,20,36.5,0,3,28,30.813,52.07,45.872,336.45,6,1,49,1,5,2.2,46,1.132,21,25,29.21,0,0,8.7,17,14,43.5,0.061,17
7.959,23,41.0,0,8,34,39.29,70.517,61.978,425.59,12,0,65,0,8,0.0,62,1.137,31,31,37.1,0,0,8.1,13,11,37.1,0.123,12
7.602,21,38.0,0,10,31,36.529,66.102,58.094,399.55,10,0,60,0,8,0.0,58,1.14,29,29,34.573,0,0,8.6,13,11,36.2,0.167,12
5.517,23,41.0,0,7,34,39.29,70.517,61.978,425.59,12,0,65,0,8,0.0,62,1.137,31,31,37.1,0,0,8.1,13,11,37.1,0.108,12
6.276,24,42.0,0,9,35,41.052,73.933,64.861,439.62,13,0,68,0,8,0.0,65,1.137,33,32,38.627,0,0,7.7,13,11,36.9,0.132,12
6.222,22,40.0,0,6,33,36.313,63.478,55.883,393.54,11,0,60,0,7,0.0,56,1.134,27,29,34.331,0,0,8.9,13,11,39.3,0.1,12
7.597,19,35.5,0,3,27,29.052,48.655,42.989,322.42,5,1,46,1,5,2.3,43,1.132,19,24,27.683,0,0,9.3,17,14,44.2,0.065,17
