pXC50,SpMax1_Bh.e.,piPC08,SpMax1_Bh.i.,piPC07,SRW07,SRW09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,CATS2D_04_AP,SM14_EA.bo.,SaasN,SM13_EA.bo.,SpMax1_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM11_EA.bo.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,piPC10,NaasN,Eig01_AEA.ri.,SpMax_AEA.ri.,C.043,piPC06,SM15_EA.ed.,SM07_EA.bo.,SM14_EA.ed.,SpDiam_EA.ed.,SM13_EA.ed.,D.Dtr09,SM08_EA.bo.,SaaN,SpMAD_EA.ed.,SpMAD_EA.dm.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,piPC04,D.Dtr05,piPC09,PW3,piPC05,C.030,nR09,CATS2D_02_PL,SM12_EA.ed.,SRW05,nPyrazoles,SM12_EA.dm.,SM14_EA.dm.,Eig04_AEA.ed.,Eta_sh_y,SM04_EA.dm.,nR05,nPyrimidines,SpDiam_AEA.ri.,SM08_EA.dm.,SM10_EA.dm.,SpAD_EA.dm.,SM02_EA.dm.,SM11_EA.ed.
5.923,3.975,5.88,3.996,5.676,0.0,0.0,9.641,9.641,9.641,0,18.983,0.0,17.582,3.926,16.372,20.242,14.924,3.826,3.826,6.826,3.826,12.264,13.793,6.146,0,3.955,3.955,0,5.372,34.161,9.59,31.923,16.108,29.665,0.0,11.266,0.0,4.03,0.251,3.009,3.009,5.009,3.009,4.801,0.0,6.131,0.324,5.275,0,0,0,27.442,0.0,0,2.153,2.337,4.408,0.27,1.676,0,0,5.058,1.843,1.986,5.281,1.724,25.172
6.759,4.119,7.496,4.137,7.045,0.0,0.0,10.831,10.831,10.831,0,21.181,0.0,19.682,4.123,18.252,22.641,16.734,4.487,4.487,7.487,4.487,13.797,15.363,8.206,0,4.129,4.129,0,6.567,35.93,10.862,33.58,17.986,31.219,0.0,12.542,0.0,4.292,0.289,3.132,3.132,5.132,3.132,5.659,0.0,7.94,0.343,6.256,0,0,0,28.886,0.0,0,14.462,16.757,5.745,0.306,5.295,0,0,5.294,9.872,12.167,9.552,3.144,26.522
6.268,3.982,6.055,3.999,5.87,0.0,0.0,9.684,9.684,9.684,0,19.256,0.0,17.86,3.937,16.613,20.544,15.181,3.892,3.892,6.892,3.892,12.503,14.003,6.416,0,3.97,3.97,0,5.558,34.25,9.818,32.01,16.205,29.749,0.0,11.445,0.0,4.082,0.304,3.021,3.021,5.021,3.021,4.906,0.0,6.353,0.331,5.4,0,0,0,27.525,0.0,0,2.191,2.36,5.004,0.298,1.862,0,0,5.074,1.933,2.045,7.001,1.958,25.254
5.0,4.102,7.764,4.14,7.284,0.0,0.0,11.05,11.05,11.05,0,21.34,0.0,19.836,4.075,18.389,22.814,16.871,4.531,4.531,7.531,4.531,13.92,15.475,8.629,0,4.157,4.157,0,6.761,36.212,10.98,33.847,18.292,31.472,0.0,12.625,14.848,4.394,0.26,3.211,3.211,5.211,3.211,5.696,0.0,8.269,0.348,6.334,0,0,0,29.127,0.0,0,0.788,0.621,6.003,0.366,1.773,0,1,5.263,1.214,0.986,9.889,2.143,26.752
7.222,4.173,7.89,4.219,7.362,5.733,7.803,12.147,12.147,12.147,3,22.058,2.039,20.516,4.149,19.004,23.586,17.452,4.738,4.738,7.738,4.738,14.392,15.973,8.651,1,4.312,4.312,2,6.837,37.491,11.326,35.008,19.687,32.52,160.199,12.989,17.992,4.64,0.0,3.349,3.349,5.349,3.349,5.796,139.283,8.22,0.362,6.355,1,2,1,30.05,3.434,1,0.0,0.0,5.751,0.389,0.0,3,1,5.387,0.0,0.0,0.0,0.0,27.562
5.796,4.074,7.408,4.093,6.977,0.0,0.0,11.006,11.006,11.006,0,20.424,0.0,18.978,4.032,17.656,21.785,16.175,4.168,4.168,7.168,4.168,13.372,14.922,8.2,0,4.158,4.158,0,6.482,36.103,10.558,33.733,18.214,31.353,0.0,12.243,0.0,4.287,0.202,3.188,3.188,5.188,3.188,5.591,0.0,7.831,0.34,6.197,0,0,0,29.001,0.0,0,6.88,7.91,5.742,0.317,2.906,0,0,5.261,4.831,5.852,6.669,2.202,26.619
5.0,4.113,7.578,4.119,7.076,4.727,6.843,11.011,11.011,11.011,0,21.19,0.0,19.704,4.34,18.273,22.644,16.769,4.445,4.445,7.445,4.445,13.838,15.385,8.342,0,4.159,4.159,0,6.597,36.169,10.901,33.8,18.22,31.419,93.218,12.55,0.0,4.453,0.222,3.196,3.196,5.196,3.196,5.626,46.63,7.941,0.346,6.21,0,1,0,29.066,2.398,0,6.88,7.91,5.722,0.346,2.906,1,0,5.27,4.831,5.852,6.669,2.202,26.681
6.469,4.197,8.219,4.2,7.684,4.844,7.066,11.925,11.925,11.925,0,22.295,0.0,20.728,4.408,19.194,23.848,17.62,4.861,4.861,7.861,4.861,14.526,16.126,9.083,0,4.304,4.304,0,7.111,37.44,11.44,34.992,19.703,32.535,164.092,13.121,0.0,4.595,0.207,3.333,3.333,5.333,3.333,5.985,41.09,8.621,0.361,6.638,0,2,0,30.102,2.398,0,7.119,8.189,6.051,0.367,2.994,1,0,5.42,4.99,6.051,7.254,2.276,27.643
6.481,4.214,8.219,4.217,7.684,4.844,7.066,11.925,11.925,11.925,0,22.295,0.0,20.728,4.191,19.194,23.848,17.62,4.861,4.861,7.861,4.861,14.526,16.126,9.083,0,4.33,4.33,0,7.111,37.44,11.44,34.992,19.703,32.535,164.092,13.121,0.0,4.595,0.207,3.333,3.333,5.333,3.333,5.985,41.09,8.621,0.361,6.638,0,2,0,30.102,2.398,0,7.119,8.189,6.051,0.379,2.994,1,0,5.434,4.99,6.051,7.254,2.276,27.643
5.0,4.195,8.183,4.198,7.648,4.844,7.066,11.68,11.68,11.68,0,22.256,0.0,20.689,4.407,19.156,23.809,17.583,4.856,4.856,7.856,4.856,14.493,16.092,9.055,0,4.261,4.261,0,7.082,37.228,11.413,34.799,19.24,32.361,171.673,13.094,0.0,4.583,0.191,3.299,3.299,5.299,3.299,5.968,43.025,8.58,0.355,6.621,0,2,0,29.945,2.398,0,6.88,7.91,5.775,0.367,2.906,1,0,5.378,4.831,5.852,6.669,2.202,27.503
5.0,4.212,8.183,4.215,7.648,4.844,7.066,11.68,11.68,11.68,0,22.256,0.0,20.689,4.188,19.156,23.809,17.583,4.856,4.856,7.856,4.856,14.493,16.092,9.055,0,4.297,4.297,0,7.082,37.228,11.413,34.799,19.24,32.361,171.672,13.094,0.0,4.583,0.191,3.299,3.299,5.299,3.299,5.968,43.025,8.58,0.355,6.621,0,2,0,29.945,2.398,0,6.88,7.91,5.775,0.379,2.906,1,0,5.4,4.831,5.852,6.669,2.202,27.503
5.77,4.049,6.968,4.067,6.572,0.0,0.0,10.968,10.968,10.968,0,20.108,0.0,18.664,4.008,17.336,21.473,15.86,4.142,4.142,7.142,4.142,13.058,14.599,7.54,0,4.147,4.147,0,6.117,35.987,10.249,33.612,18.205,31.225,0.0,11.919,0.0,4.247,0.256,3.18,3.18,5.18,3.18,5.273,0.0,7.33,0.337,5.848,0,0,0,28.865,0.0,0,6.88,7.91,5.016,0.312,2.906,0,0,5.25,4.831,5.852,6.669,2.202,26.473
5.745,4.05,6.963,4.068,6.576,0.0,0.0,11.004,11.004,11.004,0,20.118,0.0,18.673,4.009,17.342,21.486,15.865,4.15,4.15,7.15,4.15,13.059,14.602,7.538,0,4.154,4.154,0,6.122,36.027,10.249,33.647,18.212,31.256,0.0,11.92,0.0,4.243,0.256,3.185,3.185,5.185,3.185,5.273,0.0,7.307,0.337,5.861,0,0,0,28.891,0.0,0,6.88,7.91,5.018,0.312,2.906,0,0,5.257,4.831,5.852,6.669,2.202,26.495
5.921,4.042,6.896,4.055,6.511,4.443,6.293,11.004,11.004,11.004,0,20.129,0.0,18.701,4.24,17.348,21.511,15.897,4.153,4.153,7.153,4.153,13.099,14.598,7.325,0,4.151,4.151,0,6.088,36.028,10.296,33.648,18.212,31.257,0.0,11.905,0.0,4.307,0.267,3.186,3.186,5.186,3.186,5.247,51.372,7.21,0.341,5.722,0,0,0,28.892,2.398,0,6.88,7.91,5.019,0.317,2.906,1,0,5.255,4.831,5.852,6.669,2.202,26.496
5.0,4.001,5.952,4.018,5.76,0.0,0.0,10.243,10.243,10.243,0,19.565,0.0,18.138,3.958,16.814,20.92,15.357,4.031,4.031,7.031,4.031,12.578,14.094,6.059,0,4.068,4.068,0,5.459,34.987,9.794,32.683,17.133,30.362,0.0,11.428,0.0,4.177,0.382,3.097,3.097,5.097,3.097,4.795,0.0,6.198,0.34,5.291,0,0,0,28.073,0.0,0,7.119,8.189,4.537,0.304,2.994,0,0,5.171,4.99,6.051,7.254,2.276,25.742
5.495,4.009,6.141,4.022,5.975,0.0,0.0,10.862,10.862,10.862,0,20.042,0.0,18.597,3.974,17.22,21.444,15.754,4.173,4.173,7.173,4.173,12.919,14.427,6.358,0,4.146,4.146,0,5.667,35.829,10.086,33.461,18.009,31.081,0.0,11.689,0.0,4.246,0.427,3.173,3.173,5.173,3.173,4.934,0.0,6.38,0.352,5.453,0,0,0,28.727,0.0,0,7.119,8.189,4.546,0.332,3.048,0,0,5.25,4.994,6.052,8.974,2.417,26.342
5.585,4.057,6.968,4.073,6.616,0.0,0.0,11.241,11.241,11.241,0,20.381,0.0,18.915,4.018,17.542,21.788,16.05,4.257,4.257,7.257,4.257,13.192,14.741,7.511,0,4.207,4.207,0,6.163,36.345,10.334,33.945,18.616,31.533,0.0,12.004,0.0,4.258,0.279,3.22,3.22,5.22,3.22,5.306,0.0,7.305,0.344,5.887,0,0,0,29.148,0.0,0,7.119,8.189,5.091,0.312,2.994,0,0,5.31,4.99,6.051,7.254,2.276,26.734
6.167,4.08,7.436,4.097,7.019,0.0,0.0,11.257,11.257,11.257,0,20.625,0.0,19.163,4.04,17.806,22.019,16.315,4.273,4.273,7.273,4.273,13.471,15.025,8.213,0,4.214,4.214,0,6.516,36.411,10.622,34.018,18.657,31.614,0.0,12.304,0.0,4.299,0.22,3.226,3.226,5.226,3.226,5.615,0.0,7.859,0.346,6.215,0,0,0,29.24,0.0,0,7.119,8.189,5.945,0.317,2.994,0,0,5.318,4.99,6.051,7.254,2.276,26.836
5.0,4.112,7.565,4.118,7.073,4.727,6.843,10.972,10.972,10.972,0,21.186,0.0,19.701,4.34,18.271,22.64,16.768,4.444,4.444,7.444,4.444,13.837,15.384,8.354,0,4.152,4.152,0,6.594,36.135,10.901,33.77,18.214,31.393,94.44,12.55,0.0,4.456,0.222,3.189,3.189,5.189,3.189,5.626,47.377,7.948,0.346,6.201,0,1,0,29.044,2.398,0,6.88,7.91,5.696,0.346,2.906,1,0,5.263,4.831,5.852,6.669,2.202,26.663
5.678,4.195,8.183,4.197,7.641,4.844,7.066,11.674,11.674,11.674,0,22.254,0.0,20.688,4.407,19.155,23.807,17.582,4.856,4.856,7.856,4.856,14.492,16.092,9.05,0,4.259,4.259,0,7.08,37.215,11.413,34.788,19.238,32.351,173.936,13.094,0.0,4.584,0.191,3.297,3.297,5.297,3.297,5.968,43.658,8.576,0.356,6.615,0,2,0,29.936,2.398,0,6.88,7.91,5.782,0.367,2.906,1,0,5.375,4.831,5.852,6.669,2.202,27.495
5.678,4.212,8.183,4.215,7.641,4.844,7.066,11.674,11.674,11.674,0,22.254,0.0,20.688,4.188,19.155,23.807,17.582,4.856,4.856,7.856,4.856,14.492,16.092,9.05,0,4.295,4.295,0,7.08,37.215,11.413,34.788,19.238,32.351,173.936,13.094,0.0,4.584,0.191,3.297,3.297,5.297,3.297,5.968,43.658,8.576,0.356,6.615,0,2,0,29.936,2.398,0,6.88,7.91,5.782,0.379,2.906,1,0,5.398,4.831,5.852,6.669,2.202,27.495
6.222,4.041,6.901,4.054,6.506,4.443,6.293,10.968,10.968,10.968,0,20.119,0.0,18.692,4.24,17.342,21.498,15.893,4.145,4.145,7.145,4.145,13.097,14.596,7.372,0,4.144,4.144,0,6.083,35.988,10.296,33.613,18.205,31.226,0.0,11.905,0.0,4.309,0.267,3.18,3.18,5.18,3.18,5.247,52.148,7.236,0.341,5.707,0,0,0,28.866,2.398,0,6.88,7.91,5.016,0.317,2.906,1,0,5.248,4.831,5.852,6.669,2.202,26.474
5.0,4.073,7.405,4.092,6.974,0.0,0.0,10.969,10.969,10.969,0,20.416,0.0,18.972,4.031,17.652,21.775,16.172,4.16,4.16,7.16,4.16,13.37,14.92,8.193,0,4.15,4.15,0,6.479,36.066,10.558,33.701,18.208,31.325,0.0,12.242,0.0,4.29,0.202,3.182,3.182,5.182,3.182,5.591,0.0,7.842,0.34,6.188,0,0,0,28.978,0.0,0,6.88,7.91,5.725,0.317,2.906,0,0,5.254,4.831,5.852,6.669,2.202,26.599
8.301,4.206,8.372,4.21,7.818,4.844,7.081,12.315,12.315,12.315,0,22.444,0.0,20.866,4.413,19.318,24.011,17.738,4.922,4.922,7.922,4.922,14.63,16.231,9.269,0,4.346,4.346,0,7.242,37.877,11.546,35.395,20.107,32.907,264.681,13.214,0.0,4.483,0.266,3.381,3.381,5.381,3.381,6.101,65.888,8.793,0.352,6.746,0,2,0,30.44,2.398,0,8.103,9.433,6.051,0.355,3.261,1,0,5.476,5.504,6.788,12.755,2.647,27.952
4.398,3.997,6.277,4.025,6.038,0.0,0.0,11.032,11.032,11.032,0,19.871,0.0,18.483,3.946,17.15,21.233,15.756,4.079,4.079,6.837,4.079,13.058,14.479,6.572,0,4.186,4.186,0,5.844,36.306,10.392,33.948,18.549,31.571,0.0,11.884,0.0,4.183,0.336,3.201,3.201,5.201,3.201,5.22,0.0,6.413,0.341,5.598,0,0,0,29.234,0.0,0,9.487,11.032,5.979,0.387,3.778,0,0,5.212,6.457,7.957,14.433,2.941,26.852
6.721,4.131,7.312,4.178,6.894,4.844,7.081,12.085,12.085,12.085,3,21.797,1.812,20.243,4.114,18.721,23.336,17.157,4.731,4.731,7.731,4.731,14.082,15.674,7.765,1,4.299,4.299,1,6.472,37.389,11.013,34.904,19.546,32.413,70.309,12.686,12.902,4.598,0.0,3.336,3.336,5.336,3.336,5.504,36.651,7.512,0.349,6.085,1,1,1,29.937,2.398,1,0.0,0.0,5.034,0.418,0.0,1,1,5.372,0.0,0.0,0.0,0.0,27.443
6.377,4.166,7.877,4.206,7.352,4.844,7.096,12.867,12.867,12.867,3,22.086,1.922,20.541,4.143,19.029,23.615,17.474,4.756,4.756,7.756,4.756,14.415,16.0,8.647,1,4.445,4.445,1,6.861,38.4,11.356,35.864,20.803,33.325,83.07,13.023,13.423,4.861,0.0,3.486,3.486,5.486,3.486,5.792,43.187,8.3,0.35,6.422,1,1,1,30.8,2.398,1,0.0,0.0,5.803,0.339,0.0,1,1,5.518,0.0,0.0,0.0,0.0,28.263
7.328,4.149,7.563,4.197,7.106,4.844,7.081,12.148,12.148,12.148,3,21.844,1.989,20.296,4.128,18.78,23.378,17.224,4.733,4.733,7.733,4.733,14.166,15.747,8.141,1,4.313,4.313,1,6.635,37.49,11.117,35.006,19.679,32.517,89.844,12.772,13.376,4.486,0.127,3.35,3.35,5.35,3.35,5.607,46.85,7.856,0.369,6.2,1,1,1,30.046,2.398,1,0.504,0.395,5.747,0.394,1.159,1,1,5.386,0.787,0.634,3.44,1.376,27.558
8.097,4.157,7.841,4.198,7.316,4.844,7.081,12.088,12.088,12.088,3,22.034,1.885,20.49,4.135,18.982,23.56,17.426,4.737,4.737,7.737,4.737,14.365,15.954,8.596,1,4.303,4.303,1,6.819,37.41,11.297,34.929,19.555,32.444,78.29,12.976,17.593,4.628,0.0,3.339,3.339,5.339,3.339,5.772,40.642,8.264,0.357,6.396,1,1,1,29.975,2.398,1,0.0,0.0,5.712,0.404,0.0,1,1,5.376,0.0,0.0,0.0,0.0,27.49
7.538,4.155,7.767,4.193,7.239,4.844,7.05,11.875,11.875,11.875,3,22.001,1.734,20.459,4.131,18.953,23.524,17.399,4.723,4.723,7.723,4.723,14.34,15.929,8.486,1,4.273,4.273,1,6.731,37.143,11.273,34.679,19.209,32.211,68.728,12.953,12.904,4.597,0.0,3.305,3.305,5.305,3.305,5.729,35.554,8.188,0.362,6.342,1,1,1,29.759,2.398,1,0.0,0.0,5.501,0.39,0.0,1,1,5.345,0.0,0.0,0.0,0.0,27.289
7.194,4.133,7.424,4.18,6.983,4.844,7.081,12.109,12.109,12.109,4,21.832,1.717,20.283,4.131,18.766,23.367,17.209,4.732,4.732,7.732,4.732,14.148,15.73,7.911,1,4.304,4.304,1,6.548,37.425,11.096,34.94,19.605,32.449,81.322,12.752,12.85,4.591,0.0,3.341,3.341,5.341,3.341,5.543,42.576,7.67,0.365,6.137,1,1,1,29.975,2.398,1,0.0,0.0,5.667,0.421,0.0,1,1,5.377,0.0,0.0,0.0,0.0,27.483
5.572,4.134,7.416,4.181,6.968,4.844,7.081,12.08,12.08,12.08,3,21.795,1.853,20.241,4.115,18.72,23.333,17.157,4.73,4.73,7.73,4.73,14.083,15.676,7.975,1,4.298,4.298,1,6.528,37.383,11.018,34.898,19.53,32.407,83.951,12.692,13.071,4.438,0.21,3.335,3.335,5.335,3.335,5.549,44.135,7.667,0.346,6.13,1,1,1,29.931,2.398,1,11.769,13.615,5.312,0.375,4.398,1,1,5.371,8.077,9.923,5.034,2.615,27.438
6.334,4.146,7.579,4.193,7.117,5.352,7.455,12.147,12.147,12.147,3,21.843,2.02,20.295,4.125,18.779,23.377,17.224,4.733,4.733,7.733,4.733,14.165,15.746,8.173,1,4.311,4.311,1,6.643,37.488,11.116,35.004,19.686,32.515,93.057,12.771,13.501,4.495,0.123,3.348,3.348,5.348,3.348,5.626,104.123,7.885,0.365,6.204,1,1,1,30.044,3.045,1,0.504,0.395,5.745,0.377,1.159,2,1,5.386,0.787,0.634,3.44,1.376,27.556
6.616,4.146,7.597,4.193,7.131,5.352,7.455,12.147,12.147,12.147,3,21.844,2.026,20.295,4.125,18.78,23.378,17.224,4.733,4.733,7.733,4.733,14.166,15.747,8.209,1,4.311,4.311,1,6.653,37.489,11.116,35.005,19.686,32.517,99.323,12.772,13.547,4.426,0.119,3.348,3.348,5.348,3.348,5.636,110.683,7.905,0.356,6.216,1,1,1,30.046,3.045,1,0.504,0.395,5.747,0.362,1.159,2,1,5.386,0.787,0.634,3.44,1.376,27.558
6.921,4.159,7.727,4.204,7.201,5.416,7.535,11.875,11.875,11.875,3,22.023,1.698,20.483,4.136,18.973,23.548,17.423,4.724,4.724,7.724,4.724,14.364,15.945,8.429,1,4.272,4.272,2,6.689,37.144,11.297,34.681,19.209,32.212,129.521,12.962,17.142,4.691,0.0,3.305,3.305,5.305,3.305,5.712,71.894,8.026,0.367,6.259,1,2,1,29.76,3.045,1,0.0,0.0,5.501,0.419,0.0,2,1,5.345,0.0,0.0,0.0,0.0,27.291
6.824,4.169,7.727,4.209,7.201,5.416,7.535,11.875,11.875,11.875,3,22.023,1.724,20.483,4.142,18.973,23.548,17.423,4.724,4.724,7.724,4.724,14.364,15.945,8.429,1,4.273,4.273,1,6.689,37.144,11.297,34.681,19.209,32.212,129.521,12.962,12.839,4.691,0.0,3.305,3.305,5.305,3.305,5.712,71.894,8.026,0.367,6.259,1,2,1,29.76,3.045,1,0.0,0.0,5.501,0.415,0.0,2,1,5.345,0.0,0.0,0.0,0.0,27.291
6.056,4.113,7.342,4.157,6.867,5.352,7.424,11.505,11.505,11.505,2,21.556,0.0,20.028,4.093,18.539,23.064,16.999,4.629,4.629,7.629,4.629,13.978,15.551,7.9,0,4.211,4.211,1,6.406,36.682,10.955,34.253,18.721,31.817,121.508,12.616,12.332,4.584,0.175,3.239,3.239,5.239,3.239,5.49,67.304,7.58,0.363,6.025,1,2,1,29.4,3.045,1,4.667,5.323,5.034,0.404,2.158,2,1,5.284,3.372,4.015,3.846,1.693,26.963
7.071,4.153,7.771,4.185,7.238,5.476,7.644,11.891,11.891,11.891,3,22.062,1.743,20.519,4.351,19.005,23.59,17.451,4.735,4.735,7.735,4.735,14.384,15.969,8.431,1,4.271,4.271,1,6.717,37.175,11.306,34.712,19.29,32.243,128.965,12.977,12.895,4.697,0.0,3.315,3.315,5.315,3.315,5.723,65.168,8.034,0.364,6.287,1,2,1,29.791,3.045,1,0.0,0.0,5.486,0.397,0.0,2,1,5.391,0.0,0.0,0.0,0.0,27.321
5.796,4.106,7.026,4.154,6.601,4.727,6.862,11.488,11.488,11.488,2,21.47,0.0,19.931,4.085,18.433,22.986,16.878,4.625,4.625,7.625,4.625,13.827,15.423,7.387,0,4.199,4.199,1,6.17,36.622,10.767,34.186,18.656,31.742,51.981,12.466,12.27,4.32,0.0,3.227,3.227,5.227,3.227,5.335,26.971,7.17,0.35,5.864,1,1,1,29.313,2.398,1,0.0,0.0,4.507,0.333,0.0,1,1,5.271,0.0,0.0,0.0,0.0,26.864
5.886,4.108,7.117,4.155,6.661,4.727,6.862,11.489,11.489,11.489,2,21.487,0.0,19.951,4.086,18.457,23.001,16.907,4.626,4.626,7.626,4.626,13.869,15.456,7.507,0,4.201,4.201,0,6.241,36.624,10.83,34.187,18.66,31.744,57.8,12.511,12.184,4.416,0.0,3.229,3.229,5.229,3.229,5.367,30.114,7.293,0.349,5.91,1,1,1,29.315,2.398,1,0.0,0.0,5.024,0.375,0.0,1,1,5.273,0.0,0.0,0.0,0.0,26.866
