pXC50,nHet,nDB,nBM,Mi,nBO,SCBO,nSK,MW,nN,nAB,N.,nS,Sv,RBF,AMW,nCsp2,nHM
5.863,8,3,14,1.13,33,41.5,31,428.53,2,11,3.4,0,36.18,0.148,7.263,13,0
5.879,8,3,14,1.13,33,41.5,31,428.53,2,11,3.4,0,36.18,0.131,7.263,13,0
5.381,8,3,14,1.13,33,41.5,31,428.53,2,11,3.4,0,36.18,0.131,7.263,13,0
4.069,7,3,15,1.117,27,36.0,25,341.34,1,12,2.5,0,26.998,0.119,8.533,16,0
4.069,6,2,25,1.113,34,47.5,31,411.49,3,23,5.8,0,34.95,0.127,7.913,23,0
4.556,6,1,17,1.125,25,35.5,22,291.34,5,15,14.3,0,23.929,0.026,8.324,13,0
4.069,4,0,23,1.095,30,43.0,27,371.48,1,22,2.3,1,30.853,0.064,8.443,19,1
4.069,5,1,18,1.119,27,36.5,25,336.42,2,17,4.4,0,28.928,0.085,7.476,16,0
4.069,8,0,13,1.143,24,33.5,23,337.35,3,11,9.1,1,23.75,0.118,10.223,9,1
4.069,6,2,13,1.13,24,31.5,23,330.5,4,11,8.9,1,27.729,0.152,7.344,12,1
4.069,7,4,10,1.115,21,28.0,20,331.59,2,6,6.9,0,21.589,0.133,11.434,12,3
4.069,6,1,18,1.11,34,43.5,30,421.55,1,17,1.9,1,34.863,0.053,7.954,17,1
4.069,6,2,24,1.102,30,43.0,27,394.55,2,22,4.4,2,31.061,0.083,8.768,19,2
4.069,8,3,25,1.113,36,50.0,33,479.67,3,22,5.2,2,38.378,0.098,8.27,20,2
5.501,10,5,27,1.102,38,54.0,34,506.67,4,22,7.7,3,37.479,0.107,9.744,23,3
4.069,6,2,14,1.121,28,36.0,26,355.42,1,12,2.1,0,29.863,0.122,7.562,14,0
4.069,6,4,22,1.107,34,47.0,30,395.44,3,18,6.4,0,32.896,0.078,8.414,22,0
6.886,15,6,23,1.114,42,56.5,40,627.16,2,17,3.2,3,43.66,0.215,9.955,20,4
4.069,9,4,16,1.12,32,42.0,29,413.84,3,12,6.7,0,31.153,0.104,9.196,16,1
4.069,6,2,19,1.111,30,40.5,27,363.39,1,17,2.3,0,29.81,0.106,8.259,17,0
4.069,5,3,21,1.107,32,44.0,28,367.43,3,18,6.7,0,31.181,0.061,8.165,21,0
4.069,7,3,9,1.114,24,30.0,22,445.2,3,6,8.1,1,25.704,0.077,12.032,10,3
6.921,13,6,17,1.122,31,42.5,30,456.49,2,11,4.3,2,31.538,0.213,9.924,14,2
7.046,15,6,24,1.118,42,57.0,40,608.09,3,18,4.8,2,42.967,0.203,9.808,21,3
6.027,15,6,23,1.115,43,57.5,41,641.19,2,17,3.0,3,45.186,0.206,9.715,20,4
4.069,4,2,18,1.104,31,41.0,27,422.34,1,16,2.1,0,31.744,0.02,8.986,17,1
4.069,6,3,9,1.119,21,27.0,20,293.37,1,6,2.9,1,22.755,0.139,8.382,10,1
7.046,16,6,24,1.122,43,58.0,41,623.11,4,18,6.3,2,43.988,0.212,9.736,20,3
4.069,7,3,26,1.109,37,51.5,33,437.48,3,23,5.8,0,36.138,0.089,8.413,25,0
4.069,7,1,15,1.135,25,33.0,23,317.38,3,14,7.1,0,26.138,0.159,7.557,9,0
4.069,6,3,14,1.099,23,31.5,21,349.14,0,11,0.0,0,22.233,0.094,11.638,14,1
4.069,3,2,18,1.11,31,41.0,27,357.48,1,16,2.0,0,32.246,0.019,7.15,17,0
4.069,7,1,24,1.124,38,50.5,34,456.56,4,23,6.8,0,38.693,0.079,7.738,22,0
4.069,9,2,20,1.128,40,51.0,37,504.64,4,18,5.8,0,43.035,0.125,7.314,19,0
4.069,5,2,14,1.101,24,32.0,21,282.26,0,12,0.0,0,22.208,0.029,9.105,15,0
4.069,5,3,14,1.118,26,34.5,24,325.39,1,11,2.3,0,27.622,0.111,7.567,14,0
5.023,4,0,18,1.113,24,34.5,22,289.36,3,17,8.1,0,24.94,0.077,7.821,15,0
4.069,6,2,9,1.132,20,27.0,20,276.32,2,6,5.6,0,22.59,0.167,7.676,9,0
4.069,7,3,15,1.119,29,38.0,27,369.4,1,12,2.2,0,30.051,0.125,8.03,16,0
4.069,7,1,17,1.123,34,43.0,30,422.6,4,16,7.1,1,35.497,0.05,7.546,14,1
4.069,6,3,15,1.109,27,36.0,24,323.32,1,12,2.7,0,25.756,0.05,8.738,16,0
4.069,6,4,16,1.118,42,52.0,36,481.64,3,12,4.5,0,42.584,0.068,7.189,16,0
4.069,7,2,19,1.114,32,42.5,29,393.42,1,17,2.1,0,32.051,0.118,8.196,17,0
4.695,8,5,11,1.129,26,34.0,24,332.34,2,6,5.0,0,26.019,0.095,8.308,10,0
4.069,4,0,21,1.116,24,34.5,21,274.35,4,21,11.4,0,23.72,0.026,7.839,16,0
4.069,7,4,22,1.111,36,49.0,32,425.47,3,18,5.9,0,35.138,0.091,8.343,22,0
5.569,9,4,16,1.125,36,46.0,35,500.67,2,12,3.0,1,41.421,0.206,7.473,16,1
5.492,10,4,16,1.127,38,48.0,37,530.7,2,12,2.8,1,43.662,0.208,7.475,16,1
6.921,14,6,18,1.129,42,54.0,41,631.2,2,12,2.7,2,46.775,0.203,8.647,16,3
5.824,10,4,16,1.117,35,45.0,34,614.39,2,12,3.3,1,39.703,0.197,10.24,16,3
6.571,10,5,17,1.125,39,50.0,38,542.71,2,12,2.8,1,44.662,0.205,7.538,17,1
5.602,12,4,16,1.131,40,50.0,39,583.13,2,12,2.8,1,44.873,0.208,8.213,16,2
6.444,14,5,17,1.132,44,55.0,43,641.17,2,12,2.6,1,48.829,0.231,8.327,17,2
5.638,14,5,17,1.132,47,58.0,46,683.26,2,12,2.3,1,53.41,0.23,7.945,17,2
5.854,10,4,20,1.128,38,50.0,36,513.64,3,16,4.7,1,41.057,0.182,8.026,18,1
5.509,9,4,16,1.125,36,46.0,35,500.67,2,12,3.0,1,41.421,0.206,7.473,16,1
4.069,4,1,17,1.124,25,34.0,23,307.43,3,16,6.8,0,27.52,0.109,6.987,14,0
7.583,10,4,22,1.121,41,54.0,37,524.61,2,18,3.2,1,41.224,0.136,8.461,20,1
7.539,11,4,22,1.124,44,57.0,40,568.67,2,18,2.9,1,44.992,0.164,8.242,20,1
7.717,12,4,22,1.126,47,60.0,43,612.73,2,18,2.6,1,48.76,0.188,8.062,20,1
7.754,11,4,22,1.124,41,54.0,37,525.6,3,18,4.9,1,40.718,0.138,8.616,19,1
7.991,10,4,22,1.118,39,52.0,35,493.58,3,18,5.2,1,38.808,0.129,8.51,19,1
7.924,11,4,22,1.124,45,58.0,41,582.7,2,18,2.8,1,46.519,0.158,8.093,20,1
7.754,12,4,22,1.126,48,61.0,44,626.76,2,18,2.5,1,50.287,0.181,7.934,20,1
7.947,11,4,22,1.125,42,55.0,38,539.63,3,18,4.7,1,42.245,0.132,8.432,19,1
6.535,11,4,24,1.119,45,62.0,41,572.66,4,18,6.1,1,45.025,0.129,8.677,21,1
7.166,12,4,24,1.122,48,65.0,44,616.72,4,18,5.5,1,48.793,0.156,8.448,21,1
7.347,12,4,24,1.122,45,62.0,41,573.65,5,18,7.7,1,44.519,0.13,8.825,20,1
7.301,11,4,24,1.116,43,60.0,39,541.63,5,18,8.1,1,42.609,0.121,8.736,20,1
7.016,11,4,24,1.12,46,63.0,42,586.69,4,18,5.8,1,46.552,0.123,8.503,21,1
7.155,12,4,24,1.123,49,66.0,45,630.75,4,18,5.3,1,50.32,0.15,8.299,21,1
7.577,12,4,24,1.123,46,63.0,42,587.68,5,18,7.4,1,46.046,0.125,8.642,20,1
7.745,12,4,21,1.132,39,51.5,35,499.57,5,17,8.8,1,37.993,0.131,8.764,16,1
8.215,13,4,21,1.136,39,51.5,35,500.56,6,17,10.7,1,37.487,0.133,8.939,15,1
8.42,13,4,21,1.136,40,52.5,36,514.59,6,17,10.2,1,39.014,0.127,8.722,15,1
7.812,12,4,22,1.132,43,56.0,39,560.59,2,18,3.2,1,41.99,0.136,9.042,20,1
7.91,12,4,22,1.132,44,57.0,40,574.62,2,18,3.1,1,43.517,0.13,8.84,20,1
7.815,14,4,21,1.144,41,53.5,37,535.55,5,17,8.8,1,38.759,0.131,9.396,16,1
11.0,14,9,15,1.132,42,54.0,41,588.7,4,6,5.5,1,46.081,0.216,8.064,17,1
8.0,13,6,17,1.134,39,50.5,37,528.65,6,11,9.2,1,41.399,0.209,8.133,15,1
9.319,12,6,11,1.146,34,42.5,33,462.57,6,5,9.5,0,37.739,0.172,7.342,9,0
10.0,14,6,11,1.15,42,50.5,41,576.79,8,5,9.4,0,48.942,0.244,6.786,9,0
9.585,14,6,11,1.148,41,49.5,38,530.66,8,5,11.1,0,43.308,0.187,7.37,9,0
9.268,15,6,11,1.149,43,51.5,41,576.74,8,5,9.9,0,47.604,0.181,7.12,9,0
9.125,14,6,22,1.136,42,56.0,39,535.57,7,16,10.9,0,41.895,0.179,8.368,18,0
10.046,13,6,11,1.147,41,49.5,40,561.77,7,5,8.4,0,47.921,0.202,6.768,9,0
9.886,14,6,11,1.151,38,46.5,37,520.67,8,5,11.0,0,42.835,0.23,7.132,9,0
4.964,9,4,10,1.133,30,37.0,30,438.6,2,6,3.3,1,35.894,0.2,7.31,10,1
7.959,9,4,10,1.144,26,33.0,26,368.4,2,6,4.3,0,28.983,0.191,7.838,10,0
9.31,12,6,17,1.126,38,49.5,36,529.7,5,11,7.9,2,40.85,0.215,8.408,16,2
9.854,12,6,17,1.138,43,54.5,41,566.73,6,11,7.6,0,47.846,0.185,7.174,15,0
10.187,14,6,11,1.149,43,51.5,42,590.82,8,5,9.1,0,50.469,0.225,6.714,9,0
10.444,14,6,11,1.149,43,51.5,42,590.82,8,5,9.1,0,50.469,0.213,6.714,9,0
8.595,12,6,17,1.131,39,50.5,37,527.66,5,11,7.6,1,41.904,0.206,7.995,16,1
9.509,14,6,11,1.153,35,43.5,34,478.58,8,5,12.5,0,38.255,0.215,7.478,9,0
8.983,13,6,17,1.141,40,51.5,38,525.63,7,11,10.1,0,42.76,0.197,7.618,15,0
8.996,15,6,11,1.153,38,46.5,37,522.64,8,5,11.3,0,42.023,0.236,7.361,9,0
5.276,10,4,16,1.125,40,50.0,39,621.65,2,12,2.6,1,47.026,0.208,8.18,16,2
8.489,14,6,11,1.152,37,45.5,36,506.64,8,5,11.4,0,41.308,0.225,7.238,9,0
9.959,14,6,11,1.151,39,47.5,38,534.7,8,5,10.5,0,44.362,0.234,7.036,9,0
9.495,14,6,11,1.152,37,45.5,36,506.64,8,5,11.4,0,41.308,0.225,7.238,9,0
8.947,12,6,17,1.126,38,49.5,36,529.7,5,11,7.9,2,40.85,0.215,8.408,16,2
8.616,12,6,22,1.121,43,57.0,40,579.76,5,16,7.2,2,45.377,0.181,8.402,20,2
8.013,13,6,17,1.137,39,50.5,37,527.67,7,11,10.6,1,41.706,0.221,7.995,15,1
5.377,10,4,22,1.119,45,58.0,43,669.69,2,18,2.5,1,51.026,0.195,8.371,22,2
5.468,9,4,10,1.133,31,38.0,31,452.63,2,6,3.2,1,37.421,0.206,7.185,10,1
5.0,10,4,16,1.125,40,50.0,39,621.65,2,12,2.6,1,47.026,0.195,8.18,16,2
8.0,12,7,13,1.134,41,51.0,39,557.74,5,6,6.8,1,45.485,0.211,7.537,14,1
5.433,10,4,16,1.124,38,48.0,37,593.59,2,12,2.9,1,43.973,0.197,8.48,16,2
5.0,15,4,10,1.167,36,43.0,36,546.54,2,6,3.3,1,38.194,0.2,9.109,10,1
5.441,10,4,17,1.12,40,52.0,39,617.61,2,12,2.8,1,45.973,0.205,8.578,16,2
5.0,9,4,22,1.119,42,55.0,40,562.74,2,18,2.7,1,46.947,0.184,7.605,22,1
7.041,11,4,16,1.124,38,48.0,37,595.56,2,12,2.9,1,43.161,0.203,8.758,16,2
5.559,9,4,16,1.125,36,46.0,35,500.67,2,12,3.0,1,41.421,0.191,7.473,16,1
6.87,11,4,16,1.123,38,48.0,37,642.56,2,12,2.9,1,43.452,0.203,9.449,16,2
5.0,9,4,10,1.134,32,39.0,32,466.66,2,6,3.0,1,38.947,0.212,7.071,10,1
5.979,9,4,16,1.125,35,45.0,34,486.64,2,12,3.1,1,39.894,0.2,7.604,16,1
8.0,11,4,10,1.141,29,36.0,29,451.31,2,6,4.0,0,32.165,0.2,9.026,10,2
7.328,8,4,16,1.121,30,40.0,27,385.48,3,12,6.5,1,30.325,0.102,8.38,14,1
4.337,6,1,12,1.114,22,28.5,20,291.35,1,11,3.0,1,22.229,0.114,8.829,10,1
5.208,7,0,17,1.129,28,36.5,25,363.38,1,17,2.7,1,26.476,0.05,9.821,15,1
6.87,10,4,22,1.121,38,51.0,34,481.54,3,18,5.6,1,36.95,0.121,8.917,19,1
6.847,9,4,16,1.122,30,40.0,27,387.45,3,12,6.8,1,29.513,0.106,8.806,13,1
4.069,5,2,24,1.104,32,45.0,29,400.53,2,22,4.1,1,33.401,0.096,8.174,22,1
6.668,9,4,16,1.122,30,40.0,27,387.45,3,12,6.8,1,29.513,0.106,8.806,13,1
7.851,9,4,22,1.116,38,51.0,34,477.58,3,18,5.3,1,38.093,0.115,8.379,19,1
7.821,10,4,22,1.122,39,52.0,35,495.57,3,18,5.3,1,38.477,0.115,8.694,19,1
7.633,10,4,22,1.114,40,53.0,36,523.68,3,18,4.9,2,40.807,0.123,8.585,19,2
7.387,9,4,22,1.111,40,53.0,36,522.69,2,18,3.2,2,41.313,0.121,8.43,20,2
7.458,10,5,23,1.115,42,56.0,38,534.63,2,18,3.1,1,42.555,0.132,8.354,21,1
7.585,9,4,22,1.117,38,51.0,34,480.55,2,18,3.6,1,37.455,0.119,8.737,20,1
4.069,6,4,16,1.121,32,42.0,29,389.49,3,12,5.8,0,33.477,0.073,7.49,17,0
7.839,10,4,22,1.122,39,52.0,35,495.57,3,18,5.3,1,38.477,0.115,8.694,19,1
7.584,9,4,22,1.115,40,53.0,36,506.62,2,18,3.2,1,40.84,0.121,8.171,20,1
5.87,8,4,16,1.116,29,39.0,26,372.43,2,12,4.8,1,28.492,0.111,8.867,14,1
7.53,8,4,22,1.111,37,50.0,33,462.56,2,18,3.6,1,37.072,0.119,8.41,20,1
7.635,9,4,22,1.114,39,52.0,35,492.59,2,18,3.4,1,39.313,0.127,8.349,20,1
7.678,9,4,22,1.117,38,51.0,34,480.55,2,18,3.6,1,37.455,0.119,8.737,20,1
7.318,9,4,22,1.114,39,52.0,35,492.59,2,18,3.4,1,39.313,0.111,8.349,20,1
6.866,8,5,11,1.126,22,30.0,21,290.25,2,6,6.5,0,21.439,0.125,9.363,11,0
6.662,9,5,17,1.123,31,42.0,29,395.4,3,12,6.5,0,31.041,0.125,8.596,17,0
5.567,9,6,18,1.118,27,39.0,25,339.28,3,12,8.8,0,24.933,0.083,9.979,16,0
6.413,4,3,9,1.109,14,20.0,13,175.15,1,6,5.6,0,13.219,0.0,9.731,9,0
4.964,9,4,16,1.125,35,45.0,34,486.64,2,12,3.1,1,39.894,0.2,7.604,16,1
7.64,10,4,22,1.122,42,55.0,38,538.64,2,18,3.1,1,42.75,0.13,8.287,20,1
7.03,10,4,16,1.129,36,46.0,33,476.57,2,12,3.4,1,37.224,0.131,8.217,14,1
7.86,13,6,24,1.119,47,62.0,43,628.78,2,18,2.7,2,48.752,0.152,8.384,20,2
7.59,10,4,16,1.121,36,46.0,33,537.47,2,12,3.4,1,37.865,0.131,9.267,14,2
6.517,8,4,10,1.129,25,32.0,23,338.42,2,6,4.9,1,26.018,0.093,8.254,8,1
7.491,9,4,16,1.122,33,43.0,30,430.52,2,12,3.8,1,33.787,0.109,8.279,14,1
8.745,9,4,16,1.114,33,43.0,30,540.41,2,12,3.9,1,34.389,0.111,10.596,14,2
8.398,9,4,16,1.123,34,44.0,31,444.55,2,12,3.6,1,35.313,0.121,8.083,14,1
6.437,10,4,22,1.117,46,59.0,42,606.88,2,18,2.5,1,50.886,0.119,7.586,20,2
8.0,13,6,23,1.127,45,59.5,42,590.72,6,17,8.3,1,46.926,0.2,8.204,21,1
3.638,22,10,22,1.136,74,90.0,71,1010.3,7,12,5.1,1,83.148,0.241,7.321,22,1
7.287,9,4,24,1.111,42,59.0,38,524.64,4,18,6.5,1,42.4,0.106,8.462,21,1
7.484,10,4,24,1.115,42,59.0,38,525.63,5,18,8.2,1,41.894,0.108,8.617,20,1
7.548,11,4,24,1.116,43,60.0,39,541.63,5,18,8.1,1,42.609,0.106,8.736,20,1
7.932,10,4,22,1.118,39,52.0,35,493.58,3,18,5.2,1,38.808,0.113,8.51,19,1
8.18,10,4,22,1.113,39,52.0,35,556.47,3,18,5.3,1,39.118,0.115,9.763,19,2
8.155,9,4,10,1.143,27,34.0,27,382.43,2,6,4.0,0,30.51,0.2,7.649,10,0
4.611,13,7,13,1.136,38,48.0,37,557.13,4,6,5.7,1,43.006,0.141,7.959,12,2
6.301,16,9,15,1.138,45,57.0,44,638.77,4,6,4.9,1,50.091,0.193,7.79,14,1
4.0,16,9,15,1.141,46,58.0,46,667.87,5,6,5.5,1,53.978,0.22,7.339,14,1
4.625,17,9,25,1.134,55,72.0,53,754.95,6,16,6.1,1,60.999,0.208,7.626,22,1
6.824,15,8,20,1.134,49,63.0,48,668.77,4,12,4.5,0,54.431,0.225,7.6,21,0
6.268,8,4,10,1.129,25,32.0,23,338.42,2,6,4.9,1,26.018,0.116,8.254,8,1
7.609,8,4,10,1.131,29,36.0,27,394.54,2,6,3.8,1,32.126,0.145,7.444,8,1
7.91,9,4,10,1.137,30,37.0,28,412.53,2,6,3.8,1,32.509,0.145,7.784,8,1
6.903,8,4,10,1.13,26,33.0,24,352.45,2,6,4.5,1,27.545,0.13,8.01,8,1
6.288,8,4,10,1.131,30,37.0,28,408.57,2,6,3.6,1,33.652,0.155,7.296,8,1
7.472,9,4,10,1.138,31,38.0,29,426.56,2,6,3.6,1,34.036,0.155,7.617,8,1
7.879,8,4,10,1.129,25,32.0,23,338.42,2,6,4.9,1,26.018,0.116,8.254,8,1
7.19,8,4,10,1.131,29,36.0,27,394.54,2,6,3.8,1,32.126,0.145,7.444,8,1
6.662,9,4,10,1.137,30,37.0,28,412.53,2,6,3.8,1,32.509,0.145,7.784,8,1
5.876,9,4,10,1.137,26,33.0,24,356.41,2,6,4.9,1,26.402,0.116,8.693,8,1
7.402,9,4,10,1.137,30,37.0,28,412.53,2,6,3.8,1,32.509,0.145,7.784,8,1
8.014,10,4,10,1.144,31,38.0,29,430.52,2,6,3.8,1,32.892,0.145,8.123,8,1
5.848,11,4,10,1.154,28,35.0,26,392.39,2,6,4.9,1,27.168,0.116,9.57,8,1
8.127,11,4,10,1.15,32,39.0,30,448.51,2,6,3.8,1,33.275,0.145,8.462,8,1
6.577,12,4,10,1.157,33,40.0,31,466.5,2,6,3.8,1,33.659,0.145,8.802,8,1
7.959,11,5,17,1.136,36,47.0,35,487.53,3,12,4.9,0,38.773,0.177,7.992,17,0
6.097,11,6,18,1.132,47,59.0,45,620.82,4,12,4.5,0,53.625,0.187,6.976,19,0
6.553,11,6,18,1.13,47,59.0,44,604.77,4,12,4.8,0,51.572,0.161,7.2,19,0
7.189,14,6,11,1.152,40,48.5,39,547.75,9,5,11.3,0,46.195,0.21,6.847,8,0
8.097,13,6,17,1.143,41,52.5,39,538.68,8,11,11.0,0,44.594,0.187,7.379,14,0
9.268,14,6,11,1.153,36,44.5,35,492.61,8,5,11.9,0,39.782,0.221,7.352,9,0
6.517,8,4,16,1.119,31,41.0,28,400.49,2,12,4.2,1,31.545,0.098,8.344,14,1
6.538,6,4,10,1.127,16,23.0,15,206.17,2,6,9.5,0,14.956,0.045,9.818,8,0
5.523,7,4,10,1.124,21,28.0,19,280.33,2,6,6.5,1,20.723,0.061,9.043,8,1
5.444,8,3,14,1.125,33,41.5,31,444.6,2,11,3.4,1,36.652,0.148,7.536,13,1
4.431,8,3,14,1.129,32,40.5,30,414.5,2,11,3.6,0,34.653,0.138,7.402,13,0
5.0,6,2,8,1.136,23,28.0,22,306.4,2,6,4.5,0,26.17,0.133,6.964,8,0
4.489,9,3,14,1.127,34,42.5,32,507.42,2,11,3.4,0,37.205,0.131,8.6,13,1
5.129,8,4,15,1.127,33,42.5,31,426.51,2,11,3.5,0,35.653,0.136,7.483,14,0
5.562,8,3,9,1.134,32,38.0,30,418.54,2,6,3.3,0,35.707,0.129,6.976,9,0
5.415,9,3,14,1.133,32,40.5,30,415.49,3,11,5.5,0,34.148,0.14,7.554,12,0
5.759,8,3,14,1.124,32,40.5,30,430.57,2,11,3.6,1,35.126,0.138,7.689,13,1
5.742,8,3,14,1.129,32,40.5,30,414.5,2,11,3.6,0,34.653,0.138,7.402,13,0
5.138,7,3,14,1.128,31,39.5,29,398.5,2,11,3.6,0,33.938,0.123,7.245,13,0
4.947,8,4,15,1.127,33,42.5,31,426.51,2,11,3.5,0,35.653,0.136,7.483,14,0
4.66,7,3,9,1.132,27,33.0,26,363.45,1,6,2.0,0,30.632,0.173,7.126,9,0
5.554,8,3,9,1.132,41,47.0,37,512.71,2,6,2.6,0,45.341,0.111,6.659,9,0
5.827,8,3,9,1.135,33,39.0,31,432.57,2,6,3.2,0,37.234,0.138,6.866,9,0
5.636,8,3,9,1.134,32,38.0,30,418.54,2,6,3.3,0,35.707,0.129,6.976,9,0
5.356,8,3,15,1.128,35,44.0,33,454.57,2,12,3.2,0,38.707,0.154,7.215,15,0
5.879,8,3,14,1.132,32,40.5,30,413.52,3,11,5.3,0,34.96,0.136,7.255,13,0
5.212,8,3,14,1.132,31,39.5,29,399.49,3,11,5.6,0,33.433,0.125,7.398,13,0
5.678,8,3,14,1.129,31,39.5,29,400.47,2,11,3.8,0,33.126,0.127,7.556,13,0
4.963,10,4,15,1.129,34,43.5,32,444.48,2,11,3.6,0,35.556,0.138,7.937,14,0
4.77,10,4,15,1.129,34,43.5,32,444.48,2,11,3.6,0,35.556,0.138,7.937,14,0
8.0,15,7,7,1.15,34,41.0,34,488.51,4,0,6.5,0,37.27,0.194,7.879,7,0
5.599,8,3,14,1.124,32,40.5,30,430.57,2,11,3.6,1,35.126,0.138,7.689,13,1
8.076,13,7,19,1.134,46,59.0,45,624.76,4,12,4.7,0,52.001,0.209,7.35,19,0
5.77,14,5,17,1.132,45,56.0,44,655.2,2,12,2.5,1,50.356,0.235,8.19,17,2
5.0,10,4,10,1.133,38,45.0,37,536.76,2,6,2.6,1,45.243,0.192,6.971,10,1
5.077,8,4,16,1.123,34,44.0,33,470.64,2,12,3.2,1,39.179,0.203,7.47,16,1
5.745,10,4,10,1.135,34,41.0,34,496.69,2,6,2.9,1,41.189,0.214,7.096,10,1
6.721,12,4,21,1.116,41,53.5,39,591.15,2,17,3.0,2,44.096,0.206,8.957,20,3
6.886,13,6,18,1.129,32,44.0,31,451.45,3,12,6.3,1,32.372,0.204,9.405,15,1
5.293,9,4,10,1.131,31,38.0,30,436.58,2,6,3.4,1,35.367,0.203,7.527,10,1
8.0,11,6,12,1.134,35,44.0,34,490.64,4,6,6.3,1,39.41,0.231,7.666,13,1
9.854,14,6,11,1.15,40,48.5,39,548.73,8,5,10.1,0,45.889,0.238,6.946,9,0
8.012,11,6,12,1.134,36,45.0,35,504.67,4,6,6.0,1,40.937,0.235,7.532,13,1
8.0,12,6,17,1.134,41,52.5,39,554.74,6,11,8.2,1,45.265,0.2,7.599,16,1
6.538,11,5,17,1.127,40,51.0,39,558.71,2,12,2.7,1,45.377,0.203,7.654,17,1
5.0,9,4,16,1.125,36,46.0,35,500.67,2,12,3.0,1,41.421,0.206,7.473,16,1
9.0,12,6,11,1.149,29,37.5,28,392.42,6,5,12.5,0,30.105,0.204,8.175,9,0
6.264,11,4,16,1.128,39,49.0,38,546.7,2,12,2.8,1,44.377,0.205,7.593,16,1
10.081,14,6,17,1.142,44,55.5,41,566.69,8,11,10.7,0,46.308,0.179,7.556,15,0
7.013,12,4,21,1.128,43,55.5,41,582.74,4,17,5.3,1,47.178,0.195,7.77,18,1
8.0,13,6,17,1.135,40,51.5,38,542.68,6,11,8.8,1,42.926,0.214,7.981,15,1
8.33,13,6,17,1.134,39,50.5,37,528.65,6,11,9.2,1,41.399,0.209,8.133,15,1
