pXC50,CMC.80,Infective.80,Neoplastic.80,DLS_07,Inflammat.80,Hypertens.80,Mv,cRo5,CATS2D_08_LL,H.,SpMax3_Bh.m.,ATSC5p,GATS1v,CATS2D_03_LL,Eta_L_A,Depressant.80,CATS2D_02_DD,SpMin2_Bh.s.,Eig08_AEA.ri.,ATS8m,Eig09_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig14_AEA.bo.,SRW08,SpMin4_Bh.e.,RDCHI,Eta_FL_A,Eig09_EA.ri.,Chi1_EA.ri.,Chi1_EA.ed.,SpMaxA_AEA.ed.,X1v,Vindex,Yindex,SpMax3_Bh.i.,CATS2D_08_DL,Eta_betaS,SpMaxA_EA.ed.,S2K,Chi0_EA.ri.,Chi0_EA.dm.,Xt,SNar,SpMaxA_EA,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Eig09_AEA.dm.,X3v,MDDD,TIC2,Sp,AMR,Chi0_EA.ed.,Eig14_AEA.ri.,piPC07,Eig14_EA.ri.,SRW10,CID,ATS7p,SM03_AEA.ed.,TIC3,Psi_i_1,Eig11_EA.ed.,SM06_AEA.ri.,IVDM,Eig08_EA,SM02_AEA.dm.,ATSC2m,SpAD_AEA.dm.,CENT,SpMax8_Bh.i.,Eig12_AEA.ri.,Psi_i_0,X1,SpMaxA_EA.ri.,SpMaxA_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Eig07_EA.ed.,SM02_AEA.ri.,Eig13_EA.ed.,SM08_AEA.ri.,Chi0_EA.bo.,piPC01,SCBO,ATS8v,VAR,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,NdssC,NRS,CMC.50,SpMin5_Bh.m.,ATS1p,ATSC8i,X1Mad,Eig08_EA.ri.,Eig07_EA,SM15_AEA.bo.,Psychotic.80,ATS1i,SpAD_AEA.ed.,ATS2v,ON0V,TIC1,X3,ATS5p,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_AEA.dm.,ATSC1i,SpAD_AEA.ri.,Eig15_EA,SM09_AEA.dm.,S0K,X2,SpMin8_Bh.v.,SpDiam_AEA.dm.,SpMin8_Bh.p.,ATSC5m,nH,C.003,TIC4,ATSC8p,Eig10_EA,SM04_AEA.dm.,SpMin5_Bh.p.,SRW04,SpMaxA_AEA.ri.,SpAD_EA,SpAD_AEA.bo.,PHI,Chi1_EA.dm.
5.228,1,1,1,1.0,0,0,0.673,1,5,41.7,4.017,10.965,0.844,6,0.246,0,0,1.232,2.44,3.509,2.124,5.18,5.18,1.393,8.552,1.525,4.197,0.235,1.098,16.939,5.319,0.23,12.544,0.149,0.379,3.798,0,18.0,0.378,8.397,19.64,21.277,0.219,20.86,0.108,18.728,18.728,18.728,18.728,18.728,1.662,7.246,31.837,229.672,34.966,119.87,11.027,1.114,6.737,0.166,10.169,4.069,3.719,7.422,245.323,16.903,2.275,2.275,4.74,1.509,1.509,24.117,51.164,1242.0,2.925,1.416,20.042,13.47,0.093,0.167,1.199,1.199,4.768,4.768,1.082,1.082,16.31,3.761,42.0,3.463,116.0,15.362,15.362,15.362,15.362,15.362,1,3,0,1.58,3.682,0.944,11.406,1.387,1.578,1.578,1,4.076,45.962,3.948,8.817,186.721,9.969,3.936,0.439,0.439,1.271,0.753,46.591,-0.241,-0.241,128.606,12.937,1.107,7.18,1.062,32.115,20.0,0,245.323,8.036,1.062,1.062,1.639,5.476,0.136,46.543,46.489,5.903,26.2
5.903,1,1,0,1.0,0,0,0.651,1,6,44.9,3.821,9.898,0.878,6,0.261,0,0,1.216,2.374,3.418,2.046,4.499,4.499,1.437,8.431,1.513,4.204,0.232,1.032,16.145,5.429,0.209,10.819,0.148,0.373,3.782,0,17.5,0.32,9.045,19.675,24.055,0.219,20.86,0.101,18.834,18.834,18.834,18.834,18.834,1.526,6.261,30.42,236.714,34.625,117.444,11.388,1.124,6.467,0.21,10.03,4.044,3.768,7.219,252.366,16.025,2.136,2.136,4.719,1.425,1.425,23.703,46.455,1146.0,2.94,1.531,19.593,13.297,0.092,0.15,1.104,1.104,4.296,4.296,0.583,0.583,16.716,3.689,39.0,3.474,113.0,14.815,14.815,14.815,14.815,14.815,1,3,0,1.567,3.627,0.975,11.957,1.34,1.522,1.522,1,4.106,44.309,3.897,8.983,185.712,9.68,3.879,0.457,0.457,1.077,0.743,43.711,-0.158,-0.158,124.382,11.502,1.147,6.499,1.086,28.857,22.0,0,252.366,7.977,1.0,1.0,1.518,5.398,0.131,43.728,43.906,6.273,30.399
6.757,0,0,0,1.0,0,0,0.677,1,15,42.3,3.842,11.635,0.799,11,0.239,0,0,1.196,2.464,3.617,2.39,4.537,4.537,1.847,8.574,1.525,4.561,0.256,1.366,17.977,6.154,0.184,11.846,0.124,0.311,3.933,0,19.0,0.279,9.194,21.657,21.825,0.204,24.038,0.088,21.032,21.032,21.032,21.032,21.032,1.532,6.982,36.791,220.708,38.171,130.398,12.742,1.477,6.527,0.531,10.173,4.156,3.879,7.373,260.813,18.306,2.406,2.406,4.881,1.532,1.532,21.889,52.954,1496.0,2.939,2.0,21.827,14.832,0.082,0.133,1.414,1.414,4.312,4.312,2.136,2.136,18.213,3.85,46.0,3.694,130.0,16.875,16.875,16.875,16.875,16.875,1,4,0,1.579,3.754,1.08,13.684,1.421,1.656,1.656,0,4.163,50.436,4.036,9.15,176.56,11.095,4.024,1.658,1.658,1.267,0.742,50.282,0.347,0.347,137.207,13.033,1.107,6.537,1.062,33.193,22.0,0,274.423,8.786,1.116,1.116,1.552,5.533,0.114,50.334,50.682,6.004,30.726
6.498,1,0,0,1.0,0,0,0.668,1,6,42.2,3.821,8.381,0.829,6,0.261,0,0,1.216,2.374,3.382,2.041,4.499,4.499,1.048,8.404,1.513,4.117,0.23,1.027,15.651,5.282,0.216,10.396,0.15,0.38,3.782,0,16.75,0.33,8.361,18.689,21.369,0.223,20.167,0.104,17.963,17.963,17.963,17.963,17.963,1.526,6.016,27.817,213.482,32.347,111.197,10.886,0.766,6.385,-0.134,10.001,4.007,3.705,7.191,229.133,15.506,2.136,2.136,4.663,1.425,1.425,20.004,45.4,1022.0,2.939,1.369,18.705,12.759,0.095,0.155,1.098,1.098,4.271,4.271,0.573,0.573,15.794,3.664,38.0,3.411,104.0,14.387,14.387,14.387,14.387,14.387,1,3,0,1.29,3.58,0.992,11.458,1.34,1.522,1.522,0,4.029,42.84,3.858,7.96,172.611,9.257,3.737,-0.378,-0.378,1.0,0.76,42.687,-0.425,-0.425,118.211,11.333,1.107,6.499,1.062,24.673,19.0,0,229.133,7.959,1.0,1.0,1.389,5.371,0.135,42.592,42.89,5.708,26.411
6.466,0,0,0,1.0,0,0,0.678,1,7,42.2,3.825,8.581,0.796,7,0.266,0,0,1.216,2.374,3.435,2.04,4.499,4.499,1.048,8.404,1.513,4.117,0.225,1.023,15.798,5.282,0.216,10.774,0.15,0.38,3.782,0,16.75,0.33,8.593,18.762,21.343,0.223,20.167,0.104,17.963,17.963,17.963,17.963,17.963,1.526,6.251,27.817,213.482,33.267,115.786,10.886,0.765,6.385,-0.131,10.001,4.007,3.736,7.191,229.133,15.615,2.136,2.136,4.663,1.425,1.425,19.482,45.422,1022.0,2.937,1.353,18.844,12.759,0.094,0.155,1.098,1.098,4.271,4.271,0.573,0.573,15.794,3.664,38.0,3.433,104.0,14.387,14.387,14.387,14.387,14.387,1,3,0,1.289,3.605,0.899,11.267,1.339,1.522,1.522,0,4.022,42.84,3.876,7.96,172.611,9.257,3.772,-0.378,-0.378,1.0,0.673,42.797,-0.425,-0.425,118.211,11.333,1.107,6.499,1.062,25.452,19.0,0,229.133,8.235,1.0,1.0,1.386,5.371,0.135,42.592,42.89,5.977,26.389
5.481,1,1,0,1.0,0,0,0.672,1,6,40.4,3.822,9.033,0.825,6,0.245,0,0,1.216,2.376,3.46,2.243,4.499,4.499,1.444,8.486,1.514,4.255,0.243,1.237,16.575,5.556,0.203,10.795,0.147,0.37,3.784,0,18.25,0.312,8.991,19.89,24.695,0.217,21.266,0.098,19.17,19.17,19.17,19.17,19.17,1.787,6.248,32.265,222.659,33.563,118.306,11.528,1.161,6.679,0.214,10.089,4.075,3.729,7.29,238.311,16.315,2.275,2.275,4.76,1.426,1.426,19.763,49.104,1256.0,2.939,1.836,19.814,13.67,0.091,0.145,1.258,1.258,4.339,4.339,1.025,1.025,16.749,3.761,42.0,3.474,122.0,15.355,15.355,15.355,15.355,15.355,1,3,0,1.313,3.604,0.959,12.238,1.342,1.525,1.525,1,4.079,46.315,3.902,8.35,182.543,9.978,3.811,0.571,0.571,1.243,0.751,45.837,-0.156,-0.156,128.606,12.232,1.145,6.499,1.083,27.719,19.0,0,241.066,7.943,1.071,1.071,1.646,5.442,0.128,45.82,46.024,6.201,30.892
5.593,1,0,0,1.0,0,0,0.661,1,6,43.5,3.83,9.108,0.853,7,0.248,0,0,1.1,2.39,3.41,2.026,4.679,4.679,1.368,8.387,1.45,4.128,0.244,1.013,15.685,5.172,0.215,10.189,0.149,0.376,3.763,0,17.0,0.327,8.379,18.947,19.587,0.223,20.167,0.103,18.127,18.127,18.127,18.127,18.127,1.462,6.132,28.201,213.329,32.864,111.897,10.885,1.083,6.291,0.154,9.974,4.006,3.695,7.204,233.329,15.388,1.79,1.79,4.663,1.414,1.414,21.853,44.977,1056.0,2.939,1.242,18.758,12.797,0.094,0.161,1.081,1.081,4.312,4.312,0.628,0.628,15.982,3.664,38.0,3.454,114.0,14.315,14.315,14.315,14.315,14.315,1,3,0,1.512,3.579,0.909,11.513,1.365,1.532,1.532,1,4.048,43.11,3.857,8.4,170.865,9.424,3.776,0.347,0.347,1.2,0.702,42.36,-0.24,-0.24,118.211,11.149,1.107,6.679,1.062,27.535,20.0,0,235.329,7.614,1.0,1.0,1.511,5.371,0.134,42.423,42.498,5.728,24.616
7.301,1,0,0,1.0,0,0,0.65,1,8,45.8,3.824,9.948,0.866,7,0.27,0,0,1.232,2.39,3.377,2.065,4.504,4.504,1.019,8.404,1.516,4.114,0.221,1.023,15.526,5.253,0.215,10.724,0.15,0.38,3.823,0,16.5,0.327,8.404,18.627,21.323,0.223,20.167,0.103,17.963,17.963,17.963,17.963,17.963,1.462,6.216,27.621,225.323,34.171,115.399,10.869,0.761,6.286,-0.145,9.999,4.007,3.8,7.191,245.323,15.819,2.275,2.275,4.663,1.414,1.414,23.115,45.12,1042.0,2.939,1.243,19.04,12.759,0.094,0.155,1.192,1.192,4.312,4.312,0.58,0.58,15.871,3.664,38.0,3.491,94.0,14.387,14.387,14.387,14.387,14.387,1,3,0,1.51,3.629,1.03,11.578,1.365,1.532,1.532,0,4.082,42.999,3.893,8.733,175.059,9.241,3.837,-0.411,-0.411,1.0,0.727,42.565,-0.413,-0.413,116.211,11.333,1.107,6.504,1.062,30.803,22.0,0,247.323,9.024,1.074,1.074,1.4,5.371,0.134,42.525,43.059,5.757,29.915
7.276,0,0,0,1.0,0,0,0.634,1,12,48.1,3.826,12.063,0.913,9,0.284,0,0,1.235,2.392,3.534,2.285,4.504,4.504,1.448,8.486,1.524,4.249,0.204,1.261,16.485,5.524,0.201,11.634,0.147,0.371,3.87,0,17.5,0.306,9.275,19.823,21.323,0.217,21.266,0.096,19.17,19.17,19.17,19.17,19.17,1.462,6.809,30.872,255.254,37.694,124.395,11.511,1.162,6.326,0.214,10.087,4.075,3.919,7.29,275.254,17.181,2.323,2.323,4.76,1.417,1.417,26.814,48.442,1266.0,3.009,1.875,20.613,13.67,0.088,0.145,1.331,1.331,4.312,4.312,0.86,0.86,17.078,3.714,40.0,3.682,104.0,15.355,15.355,15.355,15.355,15.355,1,3,0,1.698,3.719,1.173,12.496,1.367,1.532,1.532,0,4.191,46.435,3.986,10.067,194.764,9.963,4.033,0.578,0.578,1.201,0.808,45.812,-0.159,-0.159,128.606,12.232,1.257,6.504,1.239,35.306,26.0,1,277.254,9.983,1.075,1.075,1.623,5.442,0.126,45.797,46.296,6.533,29.915
7.668,0,0,0,1.0,0,0,0.668,1,16,43.6,3.84,11.874,0.822,12,0.247,0,0,1.234,2.464,3.664,2.391,4.506,4.506,2.195,8.611,1.627,4.614,0.248,1.366,18.503,6.38,0.178,12.346,0.125,0.316,3.936,0,19.5,0.271,9.841,22.391,22.871,0.201,24.731,0.085,21.739,21.739,21.739,21.739,21.739,1.532,7.191,37.673,240.259,39.932,135.264,13.228,1.894,6.532,0.874,10.218,4.189,4.037,7.386,280.365,18.972,2.422,2.422,4.929,1.532,1.532,23.909,54.034,1670.0,3.006,2.0,22.643,15.332,0.08,0.129,1.415,1.415,4.312,4.312,2.275,2.275,18.92,3.871,47.0,3.773,132.0,17.375,17.375,17.375,17.375,17.375,1,4,0,1.715,3.794,1.233,14.157,1.421,1.723,1.723,0,4.215,51.718,4.073,9.65,189.234,11.336,4.108,2.136,2.136,1.287,0.785,51.613,0.347,0.347,141.58,13.386,1.158,6.506,1.114,33.141,24.0,0,293.975,10.446,1.276,1.276,1.705,5.557,0.111,51.567,52.062,6.519,32.438
7.208,0,0,0,1.0,0,0,0.628,1,14,49.1,3.826,12.101,0.934,8,0.29,0,0,1.235,2.464,3.583,2.39,4.504,4.504,1.458,8.489,1.577,4.357,0.198,1.365,17.019,5.814,0.195,12.117,0.144,0.363,3.876,0,18.0,0.296,9.948,20.481,21.323,0.213,21.959,0.093,19.825,19.825,19.825,19.825,19.825,1.532,6.837,33.888,270.965,39.455,129.073,12.022,1.164,6.324,0.215,10.081,4.109,4.029,7.287,294.965,17.845,2.417,2.417,4.812,1.532,1.532,28.561,49.698,1399.0,3.057,2.0,21.43,14.153,0.085,0.141,1.414,1.414,4.374,4.374,0.86,0.86,17.733,3.738,41.0,3.719,120.0,15.887,15.887,15.887,15.887,15.887,1,3,0,1.716,3.76,1.219,12.977,1.42,1.719,1.719,0,4.242,47.383,4.025,10.567,203.416,9.893,4.085,0.581,0.581,1.202,0.849,46.826,-0.142,-0.142,134.881,12.724,1.291,6.504,1.239,37.029,28.0,1,296.965,10.532,1.189,1.189,1.704,5.468,0.122,46.823,47.555,7.093,29.915
