pXC50,BIC5,SpMin1_Bh.s.,MAXDN,CIC4,BIC4,ATSC4e,MATS7v,MATS8v,Eig01_AEA.bo.,Eig01_EA.bo.,PW4,SM11_AEA.ri.,SpMax_AEA.bo.,SpMax_EA.bo.,X3A,CIC5,GATS2v,MATS1s,SIC4,SIC5,SM11_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,GATS2s,piPC08,SpDiam_EA.bo.,SpMaxA_EA.ed.,ATSC3p,ATSC4v,ATSC5e,MATS2e,SpMin4_Bh.e.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m
5.243,0.878,1.067,2.637,0.282,0.878,0.677,0.073,-0.193,4.536,4.285,0.185,4.285,4.536,4.285,0.183,0.282,0.831,-0.114,0.943,0.943,16.178,19.044,20.506,21.92,0.391,6.18,7.285,0.513,4.035,4.723,0.566,0.22,1.019,1.934,7.3,2.822,7.961,78.805,9.507,0.571,3.581,3.71,3.322,3.029,4.922,3.063,4.007,4.163,3.688,3.373,5.494,3.389,4.187,4.368,3.747,3.447,5.478,3.457,4.239,4.428,3.79
5.36,0.878,1.056,2.698,0.282,0.878,0.728,0.008,-0.257,4.536,4.285,0.185,4.285,4.536,4.285,0.183,0.282,0.901,-0.097,0.943,0.943,16.178,19.044,20.506,21.92,0.462,6.18,7.285,0.513,3.58,4.541,0.65,0.156,1.018,1.934,7.3,2.363,5.582,74.217,8.977,0.571,3.586,3.72,3.271,2.983,4.968,3.042,4.014,4.175,3.617,3.308,5.556,3.358,4.198,4.39,3.675,3.363,5.566,3.421,4.248,4.445,3.717
4.481,0.659,1.098,2.918,1.429,0.659,0.625,-0.255,-0.205,4.785,4.314,0.204,4.314,4.785,4.314,0.171,1.429,0.938,0.026,0.721,0.721,16.48,19.35,20.81,22.225,0.703,7.007,7.314,0.509,4.991,4.806,0.487,0.237,1.139,1.763,9.12,3.721,13.844,101.536,10.664,0.786,3.737,3.853,3.608,3.31,5.025,3.325,4.187,4.306,4.138,3.718,5.473,3.711,4.36,4.53,4.19,3.724,5.597,3.723,4.42,4.589,4.367
5.508,0.857,1.143,2.023,0.588,0.857,0.48,0.065,0.003,4.19,3.768,0.14,3.768,4.19,3.768,0.217,0.588,1.028,-0.056,0.89,0.89,14.702,17.32,18.71,19.949,0.571,4.859,6.768,0.409,6.795,7.376,0.346,0.146,1.35,1.734,11.333,2.409,5.805,84.1,7.736,0.286,3.755,3.883,3.32,3.225,4.911,3.197,4.252,4.435,3.634,3.514,5.423,3.461,4.468,4.683,3.657,3.587,5.666,3.514,4.376,4.573,3.609
5.83,0.919,1.164,2.188,0.067,0.919,0.54,0.065,-0.093,4.247,3.888,0.161,3.888,4.247,3.888,0.201,0.067,0.91,-0.101,0.986,0.986,15.38,18.064,19.449,20.749,0.569,4.939,6.888,0.42,5.757,5.438,0.415,0.104,1.359,1.996,9.45,4.085,16.687,80.778,10.974,0.524,3.524,3.597,3.455,3.208,4.803,3.159,3.952,4.035,3.833,3.56,5.287,3.481,4.15,4.286,3.848,3.534,5.484,3.452,4.126,4.284,3.799
5.475,0.834,1.164,2.188,0.545,0.834,0.369,-0.003,-0.027,4.145,3.671,0.153,3.671,4.145,3.671,0.208,0.545,1.037,-0.094,0.892,0.892,14.872,17.48,18.909,20.083,0.562,4.961,6.671,0.407,5.829,6.981,0.3,0.172,1.112,1.69,10.1,3.467,12.021,77.139,8.75,0.571,3.592,3.692,3.282,3.192,4.843,3.173,4.022,4.14,3.602,3.52,5.304,3.474,4.267,4.446,3.604,3.569,5.523,3.495,4.259,4.47,3.383
5.212,0.878,1.075,2.325,0.358,0.861,0.57,-0.081,-0.087,4.313,3.917,0.16,3.917,4.313,3.917,0.202,0.267,0.929,-0.126,0.927,0.946,15.48,18.189,19.604,20.896,0.588,5.031,6.917,0.458,5.255,4.572,0.46,0.115,1.073,1.823,9.4,4.097,16.784,77.394,10.305,0.571,3.519,3.601,3.344,3.155,4.831,3.143,3.929,4.015,3.715,3.491,5.307,3.459,4.171,4.311,3.811,3.56,5.545,3.506,4.141,4.291,3.678
5.909,0.769,1.211,2.244,0.933,0.769,0.349,0.06,-0.176,4.048,3.629,0.151,3.629,4.048,3.629,0.208,0.933,1.09,0.032,0.81,0.81,14.317,16.863,18.268,19.416,0.383,4.812,6.629,0.417,5.643,5.122,0.293,0.332,1.175,1.736,8.647,3.032,9.194,64.775,8.424,0.333,3.507,3.612,3.169,3.05,4.652,3.03,4.017,4.171,3.502,3.411,5.196,3.347,4.259,4.493,3.381,3.371,5.329,3.264,4.022,4.263,3.144
4.885,0.878,1.117,2.271,0.2,0.878,0.681,0.002,-0.15,4.563,4.078,0.2,4.078,4.563,4.078,0.172,0.2,0.842,-0.096,0.962,0.962,16.175,18.932,20.347,21.692,0.642,7.163,7.078,0.337,6.611,5.852,0.469,0.028,1.412,1.801,11.345,2.988,8.925,107.712,10.036,0.364,3.863,3.938,3.721,3.513,5.172,3.518,4.315,4.401,4.153,3.885,5.654,3.892,4.513,4.632,4.216,3.982,5.891,3.977,4.549,4.678,4.183
4.13,0.877,1.087,2.732,0.241,0.877,0.704,-0.2,-0.245,4.536,4.284,0.184,4.284,4.536,4.284,0.18,0.241,0.722,-0.104,0.95,0.95,16.303,19.162,20.617,22.03,0.403,6.167,7.284,0.513,4.965,4.438,0.594,0.209,0.991,2.064,7.45,3.759,14.131,78.223,14.43,0.571,3.492,3.576,3.601,3.071,4.862,3.075,3.913,4.019,4.081,3.44,5.463,3.424,4.113,4.245,4.242,3.545,5.476,3.512,4.141,4.256,4.618
5.85,0.824,1.394,1.684,0.764,0.824,0.242,0.198,0.248,5.158,4.247,0.213,4.247,5.158,4.247,0.149,0.764,0.891,0.028,0.853,0.853,15.979,18.842,20.28,21.718,0.513,5.361,6.79,0.981,11.045,18.631,0.403,-0.02,1.245,1.235,5.647,2.205,4.86,67.152,6.28,0.0,3.676,3.797,3.107,3.278,4.631,3.207,4.304,4.492,3.543,3.78,5.076,3.684,4.688,4.876,3.687,4.066,5.518,3.922,4.997,5.291,3.585
5.421,0.767,1.211,2.201,0.993,0.767,0.227,0.055,-0.164,4.048,3.629,0.151,3.629,4.048,3.629,0.208,0.993,1.102,0.037,0.803,0.803,14.317,16.863,18.268,19.416,0.367,4.812,6.629,0.417,5.602,6.534,0.195,0.412,1.29,1.526,8.647,2.854,8.145,65.012,7.04,0.333,3.581,3.702,3.095,3.092,4.675,3.063,4.102,4.283,3.386,3.447,5.194,3.375,4.322,4.564,3.246,3.426,5.326,3.315,4.19,4.46,3.066
