pXC50,MATS2i,SssNH,CATS2D_04_DL,JGI1,nCrs,C.002,P_VSA_i_4,P_VSA_e_3,JGI7,NssCH2,NssNH,C.028,MATS3v,Chi1_EA.ed.,Chi0_EA.ed.,SaaN,nArCN,nTB,NtN,StN,NtsC,StsC,BLI,GATS3v,GMTI,GATS5v,NNRS,nCIR,CATS2D_06_LL,Rbrid,SpMAD_AEA.dm.,Eta_FL_A,GATS3p,ALOGP,ALOGP2,ATS3i,Yindex,JGI6,AMR,IDMT,SpMax2_Bh.p.,Eig15_EA.bo.,CATS2D_05_LL,SpMax7_Bh.m.,ON1V,Eta_alpha,RBN,JGT,Eig14_EA,SM08_AEA.dm.,CATS2D_06_AA,DLS_02,MATS5v,SpMax8_Bh.m.,SpMin1_Bh.p.,C.026,D.Dtr10,Eig12_EA.ed.,SM07_AEA.ri.,IAC,TIC0,GATS2p,GATS2v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.
4.0,0.118,3.364,2,0.109,0,1,54.706,54.706,0.003,6,1,0,-0.035,4.47,9.284,8.924,0,0,0,0.0,0,0.0,0.959,0.992,5049.0,0.934,1.0,3,2,0,1.442,0.261,0.974,2.675,7.154,4.826,0.544,0.009,86.046,8073.2,3.697,-1.22,1,2.734,2.501,9.933,5,0.241,-1.0,-1.0,0,1.0,0.009,2.687,2.044,0,0.0,-1.153,-1.153,61.221,61.221,1.005,1.015,14.759,14.759,14.759
4.578,0.112,3.347,2,0.119,2,2,54.706,54.706,0.011,5,1,0,-0.093,3.992,8.298,8.925,0,0,0,0.0,0,0.0,0.968,1.054,3720.0,0.967,1.0,3,4,0,1.454,0.261,1.099,3.127,9.777,4.735,0.609,0.005,79.757,5639.66,3.726,-1.582,2,2.627,2.335,9.1,4,0.254,-1.0,-1.0,0,1.0,-0.03,2.583,2.028,0,0.0,-1.676,-1.676,51.088,51.088,1.043,1.04,13.345,13.345,13.345
4.166,0.144,3.331,2,0.114,0,0,54.706,54.706,0.01,5,1,0,-0.076,4.242,8.798,8.897,0,0,0,0.0,0,0.0,0.934,1.03,4256.0,0.862,1.0,3,2,0,1.46,0.273,1.028,2.354,5.539,4.724,0.596,0.005,81.291,6657.7,3.687,-1.265,2,2.687,2.251,9.433,4,0.248,-1.0,-1.0,0,1.0,0.086,2.629,2.046,0,0.0,-1.275,-1.275,57.759,57.759,0.966,0.981,14.052,14.052,14.052
5.215,0.103,3.357,2,0.114,0,0,54.706,54.706,0.01,5,1,0,-0.132,4.242,8.798,8.99,0,0,0,0.0,0,0.0,1.092,1.086,4256.0,0.825,1.0,3,2,0,1.57,0.234,1.184,3.098,9.599,4.708,0.596,0.005,87.466,6657.7,3.722,-1.265,2,2.687,2.251,9.933,4,0.248,-1.0,-1.0,0,1.0,0.097,2.631,2.037,0,0.0,-1.275,-1.275,57.759,57.759,1.185,1.057,14.052,14.052,14.052
7.699,0.046,0.0,0,0.146,0,0,6.249,6.249,0.011,3,0,0,0.146,4.059,8.986,0.0,0,0,0,0.0,0,0.0,1.117,0.815,4256.0,0.982,0.333,6,11,2,1.578,0.222,0.841,5.088,25.89,4.94,0.829,0.018,98.0,7568.11,3.707,-1.257,8,2.913,3.175,11.133,5,0.387,-0.647,-0.647,0,1.0,-0.013,2.628,2.068,4,146.503,-0.462,-0.462,61.334,61.334,0.842,0.873,15.223,15.223,15.223
4.74,0.287,0.0,0,0.155,1,1,1.899,1.899,0.013,3,0,1,-0.034,4.547,9.971,0.0,0,0,0,0.0,0,0.0,0.868,0.971,7052.0,1.046,0.2,15,5,4,1.571,0.276,1.019,3.447,11.882,4.734,0.582,0.019,92.815,11232.5,3.846,-0.404,7,2.926,2.549,11.733,2,0.408,-0.239,-0.239,0,1.0,-0.063,2.716,2.206,4,168.527,1.013,1.013,63.832,63.832,0.642,0.639,17.566,17.566,17.566
4.0,0.372,0.0,1,0.25,0,0,114.926,114.926,0.0,0,0,0,-0.292,2.232,5.204,3.973,2,2,2,17.486,2,3.847,0.831,1.193,980.0,1.483,1.0,1,0,0,1.826,0.31,1.406,0.931,0.867,3.936,1.615,0.016,55.133,1843.78,3.266,0.0,0,2.334,1.15,6.5,1,0.535,-2.0,-2.0,2,0.83,-0.515,1.804,2.017,0,0.0,-4.931,-4.931,35.374,35.374,0.48,0.487,9.085,9.085,9.085
4.0,0.059,0.0,1,0.176,2,2,114.926,114.926,0.01,4,0,0,0.016,2.846,6.424,4.155,2,2,2,17.824,2,3.994,0.903,0.967,1694.0,1.19,1.0,2,2,0,1.732,0.265,1.058,1.392,1.938,4.404,1.12,0.02,62.673,2822.43,3.601,-2.36,2,2.5,1.7,7.5,1,0.433,-1.618,-1.618,2,1.0,-0.26,2.14,2.009,0,0.0,-3.227,-3.227,40.665,40.665,0.955,0.9,10.947,10.947,10.947
4.585,0.034,0.0,1,0.167,3,3,114.926,114.926,0.015,5,0,0,0.053,3.096,6.924,4.197,2,2,2,17.94,2,4.027,0.936,0.933,2026.0,1.013,1.0,2,3,0,1.742,0.25,1.025,1.848,3.416,4.562,1.066,0.017,67.274,3460.67,3.625,-2.078,3,2.549,1.95,8.0,1,0.43,-1.598,-1.598,2,1.0,-0.041,2.274,2.062,0,0.0,-2.347,-2.347,44.472,44.472,1.009,0.952,11.654,11.654,11.654
4.0,-0.051,0.0,1,0.175,6,4,114.926,114.926,0.014,4,0,0,-0.005,3.126,7.028,4.296,2,2,2,18.134,2,4.101,0.92,0.986,2476.0,0.867,0.667,4,4,2,1.783,0.233,1.023,1.91,3.65,4.678,0.934,0.026,69.553,3951.24,3.733,-1.732,4,2.644,2.05,8.5,1,0.429,-1.267,-1.267,2,1.0,0.087,2.474,2.002,0,0.0,-2.367,-2.367,45.759,45.759,1.068,0.981,12.395,12.395,12.395
4.0,0.03,0.0,1,0.211,3,2,114.926,114.926,0.018,4,0,0,-0.004,3.133,7.011,4.141,2,2,2,17.944,2,3.943,0.899,0.981,2383.0,0.951,1.0,2,2,0,1.752,0.252,1.05,0.364,0.132,4.601,1.006,0.023,68.857,4216.06,3.623,-2.0,2,2.565,1.85,8.333,1,0.507,-1.35,-1.35,2,1.0,0.055,2.335,2.062,0,0.0,-2.518,-2.518,50.845,50.845,1.03,0.952,12.102,12.102,12.102
4.0,0.033,2.733,2,0.2,0,0,129.812,129.812,0.012,2,1,0,0.143,2.681,6.177,3.863,2,2,2,17.451,2,3.731,0.836,0.822,1301.0,1.125,1.0,1,0,0,1.748,0.297,0.892,0.038,0.001,4.132,1.375,0.018,57.19,2462.26,3.319,-3.0,0,2.207,1.238,6.833,3,0.472,-1.883,-1.883,1,1.0,-0.168,1.819,2.012,0,0.0,-4.38,-4.38,41.371,41.371,0.978,0.912,10.163,10.163,10.163
4.0,0.048,2.747,2,0.2,0,0,129.812,129.812,0.012,1,1,0,-0.16,2.681,6.177,3.878,2,3,2,17.47,3,6.102,0.801,1.038,1301.0,1.062,1.0,1,2,0,1.781,0.323,1.198,1.77,3.132,3.905,1.375,0.018,58.478,2462.26,3.405,-3.0,2,2.212,1.096,7.0,2,0.472,-1.883,-1.883,1,0.83,-0.058,1.809,2.008,0,0.0,-4.38,-4.38,33.627,33.627,0.914,0.844,10.163,10.163,10.163
4.0,0.036,0.0,1,0.173,2,3,114.926,114.926,0.014,5,0,0,-0.074,4.508,9.822,4.306,2,2,2,18.361,2,4.112,0.935,1.059,6476.0,0.978,1.0,3,6,0,1.678,0.26,1.116,3.588,12.877,4.923,0.594,0.018,96.518,11540.0,3.822,-1.0,8,2.866,2.686,11.5,3,0.406,-0.503,-0.503,2,1.0,0.021,2.687,2.085,0,0.0,0.222,0.222,60.298,60.298,1.031,0.997,16.533,16.533,16.533
4.0,0.354,0.0,2,0.167,0,0,114.926,114.926,0.014,0,0,0,-0.057,3.472,7.853,4.159,2,2,2,18.77,2,4.181,0.852,0.982,2817.0,1.18,1.0,2,0,0,1.73,0.312,1.094,2.449,6.0,4.378,1.187,0.018,80.269,5376.49,3.676,-1.526,2,2.687,1.782,9.5,2,0.443,-1.0,-1.0,2,1.0,-0.281,2.499,2.071,0,0.0,-2.0,-2.0,48.146,48.146,0.636,0.646,13.414,13.414,13.414
4.0,0.093,0.0,2,0.125,2,2,114.926,114.926,0.009,4,0,0,0.109,4.087,9.073,4.342,2,2,2,19.109,2,4.328,0.9,0.872,4109.0,1.044,1.0,3,4,0,1.686,0.28,0.926,2.91,8.47,4.703,0.91,0.016,87.809,7255.04,3.712,-1.488,4,2.687,2.332,10.5,2,0.353,-0.796,-0.796,2,1.0,-0.164,2.674,2.067,0,0.0,-0.349,-0.349,53.05,53.05,0.934,0.903,15.276,15.276,15.276
4.0,0.072,0.0,2,0.12,3,3,114.926,114.926,0.009,5,0,0,0.129,4.337,9.573,4.383,2,2,2,19.224,2,4.361,0.924,0.855,4671.0,0.948,1.0,3,5,0,1.686,0.267,0.913,3.367,11.334,4.822,0.876,0.015,92.41,8411.0,3.714,-1.0,5,2.815,2.582,11.0,2,0.349,-0.624,-0.624,2,1.0,-0.026,2.78,2.089,0,0.0,-0.315,-0.315,56.722,56.722,0.971,0.938,15.983,15.983,15.983
5.42,-0.017,0.0,2,0.13,6,4,114.926,114.926,0.012,4,0,0,0.078,4.367,9.677,4.482,2,2,2,19.418,2,4.435,0.913,0.902,5469.0,0.86,0.75,5,8,2,1.72,0.254,0.922,3.429,11.757,4.913,0.773,0.021,94.69,9310.31,3.828,-0.857,6,2.78,2.682,11.5,2,0.356,-0.366,-0.366,2,1.0,0.045,2.687,2.064,0,0.0,1.084,1.084,57.853,57.853,1.019,0.961,16.723,16.723,16.723
4.0,0.051,3.16,6,0.13,0,0,129.812,129.812,0.014,1,1,0,-0.014,4.772,10.456,4.238,2,2,2,19.168,2,4.241,0.857,0.965,6433.0,0.952,1.0,3,6,0,1.657,0.32,1.038,3.679,13.538,4.663,0.721,0.013,100.647,11830.8,3.842,-0.692,5,2.78,2.256,12.0,4,0.353,-0.348,-0.348,1,1.0,-0.037,2.687,2.074,0,0.0,1.047,1.047,56.226,56.226,0.98,0.948,17.345,17.345,17.345
4.0,0.209,0.0,1,0.231,0,0,111.801,111.801,0.0,0,0,0,-0.197,2.082,5.043,3.744,2,2,2,17.222,2,3.681,0.778,1.0,811.0,1.403,1.0,1,0,0,1.809,0.327,1.275,0.752,0.566,3.633,1.615,0.01,47.167,1467.13,3.161,0.0,0,1.817,0.908,5.933,1,0.502,0.0,0.0,2,0.83,-0.388,1.063,1.991,0,0.0,-5.339,-5.339,33.201,33.201,0.586,0.541,8.749,8.749,8.749
4.0,0.059,0.0,1,0.214,0,0,111.801,111.801,0.016,1,0,0,0.193,2.386,5.652,3.815,2,2,2,17.375,2,3.733,0.849,0.73,1028.0,1.176,1.0,1,1,0,1.79,0.299,0.893,1.101,1.213,3.927,1.505,0.012,51.915,1909.71,3.275,0.0,1,2.007,1.325,6.433,2,0.488,-2.0,-2.0,2,0.83,-0.241,1.775,1.995,0,0.0,-4.923,-4.923,37.578,37.578,0.87,0.76,9.456,9.456,9.456
4.0,-0.005,0.0,1,0.159,0,2,111.801,111.801,0.012,3,0,0,-0.028,4.009,8.795,3.97,2,2,2,17.893,2,3.854,0.889,1.006,4502.0,1.089,1.0,2,3,0,1.665,0.293,1.105,3.113,9.693,4.541,0.673,0.012,81.135,8092.94,3.808,-1.5,3,2.687,2.061,9.933,5,0.38,-1.0,-1.0,2,1.0,-0.09,2.603,2.021,0,0.0,-0.963,-0.963,54.222,54.222,1.048,0.995,14.43,14.43,14.43
4.0,-0.012,0.0,2,0.158,0,0,111.801,111.801,0.022,0,0,0,0.095,3.162,7.166,3.898,2,2,2,18.349,2,4.01,0.871,0.794,2163.0,1.128,1.0,2,0,0,1.814,0.319,0.751,2.647,7.007,4.132,1.213,0.014,73.948,3887.3,3.679,-2.323,2,2.687,1.382,8.933,1,0.419,-1.456,-1.456,1,1.0,-0.218,2.328,2.048,0,0.0,-2.264,-2.264,42.106,42.106,0.812,0.816,12.207,12.207,12.207
4.0,0.425,0.0,0,0.25,0,0,82.029,82.029,0.0,0,0,0,-0.268,2.232,5.204,3.961,2,2,2,17.479,2,3.837,0.891,1.102,980.0,1.529,1.0,1,0,0,1.837,0.3,1.192,2.012,4.049,3.813,1.615,0.016,55.985,1843.78,3.268,0.0,0,2.353,1.102,6.814,1,0.535,-2.0,-2.0,2,1.0,-0.569,1.848,1.994,0,0.0,-4.931,-4.931,36.058,36.058,0.378,0.389,9.085,9.085,9.085
4.0,0.045,0.0,0,0.176,2,2,82.029,82.029,0.01,4,0,0,0.125,2.846,6.424,4.143,2,2,2,17.818,2,3.984,0.952,0.889,1694.0,1.168,1.0,2,4,0,1.744,0.256,0.902,2.473,6.116,4.328,1.12,0.02,63.525,2822.43,3.603,-2.36,2,2.513,1.652,7.814,1,0.433,-1.618,-1.618,2,1.0,-0.275,2.179,1.983,0,0.0,-3.227,-3.227,41.513,41.513,0.851,0.845,10.947,10.947,10.947
4.0,0.018,0.0,0,0.167,3,3,82.029,82.029,0.015,5,0,0,0.143,3.096,6.924,4.185,2,2,2,17.933,2,4.017,0.982,0.856,2026.0,0.96,1.0,2,5,0,1.756,0.241,0.879,2.929,8.581,4.497,1.066,0.017,68.126,3460.67,3.627,-2.078,3,2.626,1.902,8.314,1,0.43,-1.598,-1.598,2,1.0,0.018,2.304,2.051,0,0.0,-2.347,-2.347,45.533,45.533,0.903,0.896,11.654,11.654,11.654
4.62,-0.089,0.0,0,0.175,6,4,82.029,82.029,0.014,4,0,0,0.081,3.126,7.028,4.284,2,2,2,18.127,2,4.091,0.962,0.924,2476.0,0.807,0.667,4,8,2,1.797,0.225,0.894,2.992,8.949,4.621,0.934,0.026,70.406,3951.24,3.738,-1.732,4,2.644,2.002,8.814,1,0.429,-1.267,-1.267,2,1.0,0.147,2.477,1.975,0,0.0,-2.367,-2.367,46.722,46.722,0.972,0.936,12.395,12.395,12.395
4.0,0.37,0.0,0,0.167,0,0,82.029,82.029,0.014,0,0,0,-0.03,3.472,7.853,4.147,2,2,2,18.764,2,4.171,0.891,0.922,2817.0,1.1,1.0,2,2,0,1.746,0.305,0.978,3.531,12.464,4.301,1.187,0.018,81.121,5376.49,3.68,-1.526,4,2.687,1.734,9.814,2,0.443,-1.0,-1.0,2,1.0,-0.215,2.614,2.058,0,0.0,-2.0,-2.0,48.923,48.923,0.573,0.595,13.414,13.414,13.414
4.0,0.072,0.0,0,0.125,2,2,82.029,82.029,0.009,4,0,0,0.173,4.087,9.073,4.329,2,2,2,19.102,2,4.318,0.935,0.819,4109.0,0.957,1.0,3,8,0,1.697,0.273,0.831,3.992,15.932,4.647,0.91,0.016,88.661,7255.04,3.714,-1.488,6,2.756,2.284,10.814,2,0.353,-0.796,-0.796,2,1.0,-0.099,2.687,2.054,0,0.0,-0.349,-0.349,53.932,53.932,0.871,0.869,15.276,15.276,15.276
4.0,0.051,0.0,0,0.12,3,3,82.029,82.029,0.009,5,0,0,0.185,4.337,9.573,4.371,2,2,2,19.217,2,4.351,0.957,0.803,4671.0,0.861,1.0,3,9,0,1.699,0.261,0.821,4.448,19.782,4.773,0.876,0.015,93.262,8411.0,3.715,-1.0,7,2.866,2.534,11.314,2,0.349,-0.624,-0.624,2,1.0,0.058,2.786,2.079,0,0.0,-0.315,-0.315,57.759,57.759,0.906,0.903,15.983,15.983,15.983
4.0,-0.052,0.0,0,0.13,6,4,82.029,82.029,0.012,4,0,0,0.133,4.367,9.677,4.47,2,2,2,19.411,2,4.425,0.944,0.857,5469.0,0.773,0.75,5,14,2,1.732,0.248,0.838,4.51,20.339,4.868,0.773,0.021,95.542,9310.31,3.829,-0.857,8,2.843,2.634,11.814,2,0.356,-0.366,-0.366,2,1.0,0.128,2.75,2.052,0,0.0,1.084,1.084,58.817,58.817,0.959,0.932,16.723,16.723,16.723
5.638,0.016,7.062,4,0.176,0,0,39.82,39.82,0.013,4,2,0,-0.223,6.073,12.524,0.0,0,0,0,0.0,0,0.0,0.937,1.186,12578.0,0.885,0.2,20,16,32,1.478,0.287,1.211,3.855,14.859,5.138,0.436,0.013,125.918,21064.5,3.871,0.384,16,3.042,3.347,14.6,0,0.324,0.677,0.677,0,0.83,0.115,2.777,2.118,2,0.0,2.275,2.275,72.789,72.789,0.956,0.961,20.927,20.927,20.927
5.686,0.14,0.0,0,0.145,1,4,5.023,5.023,0.012,10,0,1,0.089,6.527,14.246,0.0,0,0,0,0.0,0,0.0,0.997,0.915,17315.0,1.075,0.2,15,8,4,1.511,0.217,0.949,5.393,29.086,5.343,0.422,0.015,134.244,33075.7,3.847,0.754,13,3.212,4.765,16.133,10,0.364,0.765,0.765,0,0.67,-0.069,3.074,2.207,4,282.964,2.285,2.285,97.357,97.357,0.866,0.853,23.834,23.834,23.834
5.495,0.154,0.0,0,0.135,3,4,5.023,5.023,0.012,10,0,1,0.019,6.23,13.226,0.0,0,0,0,0.0,0,0.0,0.95,0.97,15787.0,0.998,0.333,16,7,4,1.537,0.231,0.99,4.109,16.885,5.249,0.402,0.015,123.239,26743.2,3.847,0.618,9,3.072,4.015,15.133,6,0.348,0.727,0.727,0,0.83,-0.007,2.929,2.207,4,250.288,2.462,2.462,88.682,88.682,0.841,0.833,22.541,22.541,22.541
6.616,0.154,0.0,0,0.135,4,4,5.023,5.023,0.01,10,0,1,0.033,6.233,13.226,0.0,0,0,0,0.0,0,0.0,0.95,0.956,15490.0,0.907,0.333,16,5,4,1.541,0.231,0.968,4.503,20.276,5.262,0.412,0.018,122.975,26316.0,3.847,0.724,7,3.066,4.015,15.133,5,0.347,0.758,0.758,1,0.83,0.071,2.928,2.207,4,246.897,2.46,2.46,88.682,88.682,0.841,0.833,22.541,22.541,22.541
5.557,0.136,0.0,0,0.132,4,5,5.023,5.023,0.012,11,0,1,0.037,6.48,13.726,0.0,0,0,0,0.0,0,0.0,0.964,0.956,17277.0,0.971,0.333,16,7,4,1.534,0.224,0.98,4.565,20.842,5.32,0.388,0.015,127.84,29799.4,3.847,0.847,10,3.077,4.265,15.633,6,0.34,0.853,0.853,0,0.83,0.022,2.942,2.207,4,262.428,2.49,2.49,92.038,92.038,0.868,0.859,23.248,23.248,23.248
4.523,0.204,0.0,0,0.135,1,1,5.023,5.023,0.01,9,0,1,0.021,6.233,13.226,0.0,0,0,0,0.0,0,0.0,0.916,0.955,15490.0,0.896,0.333,16,5,4,1.547,0.246,0.936,3.273,10.715,5.18,0.412,0.018,119.908,26316.0,3.847,0.724,7,3.061,3.682,14.967,5,0.347,0.758,0.758,2,0.83,0.094,2.928,2.207,4,246.897,2.46,2.46,88.988,88.988,0.767,0.769,22.541,22.541,22.541
4.523,0.182,0.0,0,0.132,1,2,5.023,5.023,0.012,10,0,1,0.029,6.48,13.726,0.0,0,0,0,0.0,0,0.0,0.931,0.956,17277.0,0.961,0.333,16,7,4,1.54,0.239,0.952,3.336,11.128,5.243,0.388,0.015,124.774,29799.4,3.847,0.847,9,3.073,3.932,15.467,6,0.34,0.853,0.853,0,0.83,0.041,2.93,2.207,4,262.428,2.49,2.49,92.458,92.458,0.799,0.799,23.248,23.248,23.248
5.625,0.058,3.707,1,0.128,7,7,19.91,19.91,0.01,11,1,1,0.056,6.73,14.226,0.0,0,0,0,0.0,0,0.0,0.979,0.94,19216.0,0.95,0.333,16,8,4,1.53,0.213,0.967,4.971,24.706,5.397,0.365,0.015,131.418,33624.9,3.847,0.916,11,3.093,4.507,16.133,7,0.334,0.984,0.984,0,0.67,0.038,3.016,2.207,4,278.433,2.543,2.543,95.357,95.357,0.949,0.926,23.955,23.955,23.955
5.585,0.175,0.0,0,0.141,1,2,1.899,1.899,0.013,6,0,1,0.067,5.407,11.608,0.0,0,0,0,0.0,0,0.0,0.899,0.908,9669.0,1.008,0.2,15,7,4,1.548,0.255,0.944,2.97,8.821,4.959,0.526,0.018,103.972,16639.8,3.847,-0.06,9,2.934,3.065,13.067,5,0.374,0.402,0.402,0,1.0,-0.021,2.913,2.207,4,202.234,1.621,1.621,74.368,74.368,0.793,0.778,19.687,19.687,19.687
5.783,0.351,0.0,0,0.167,1,1,5.023,5.023,0.013,5,0,1,-0.062,5.434,11.573,0.0,0,0,0,0.0,0,0.0,0.907,1.048,10668.0,0.9,0.2,15,5,4,1.552,0.257,1.078,3.586,12.857,4.999,0.509,0.02,110.834,18752.0,3.847,0.015,7,3.007,3.215,13.633,5,0.407,0.402,0.402,1,1.0,0.072,2.927,2.207,4,214.295,1.898,1.898,80.626,80.626,0.653,0.664,19.972,19.972,19.972
4.916,0.32,0.0,0,0.162,1,2,5.023,5.023,0.014,6,0,1,-0.044,5.681,12.073,0.0,0,0,0,0.0,0,0.0,0.925,1.043,11919.0,0.998,0.2,15,7,4,1.545,0.249,1.086,3.648,13.309,5.075,0.484,0.017,115.699,21347.6,3.847,0.33,9,3.057,3.465,14.133,6,0.397,0.404,0.404,0,1.0,-0.007,2.928,2.207,4,227.825,2.151,2.151,84.054,84.054,0.696,0.704,20.679,20.679,20.679
5.52,0.177,0.0,0,0.153,1,2,5.023,5.023,0.013,8,0,1,0.1,5.938,13.035,0.0,0,0,0,0.0,0,0.0,0.969,0.893,14457.0,0.963,0.2,15,7,4,1.52,0.232,0.913,4.346,18.885,5.225,0.45,0.016,125.195,26794.8,3.847,0.476,9,3.067,4.265,15.133,8,0.381,0.618,0.618,0,1.0,0.033,3.04,2.207,4,254.769,2.225,2.225,90.777,90.777,0.81,0.797,22.419,22.419,22.419
9.398,-0.133,3.836,5,0.081,8,14,51.582,51.582,0.007,16,1,4,0.119,7.989,16.646,9.983,0,0,0,0.0,0,0.0,1.119,0.867,30459.0,1.135,0.333,12,29,4,1.549,0.182,0.895,9.71,94.274,5.609,0.259,0.011,163.12,54919.0,4.025,1.33,28,3.333,5.763,19.033,11,0.257,1.247,1.247,0,0.33,-0.126,3.138,2.163,2,640.131,3.176,3.176,100.61,100.61,1.113,1.078,26.932,26.932,26.932
