pXC50,nCsp2,SCBO,nBM,nBO,nC,O.,nSK,AMW,C.,H.,Me,Mi,Mp,Mv,MW
6.921,14,43.0,17,34,23,3.3,31,7.327,38.3,48.3,0.997,1.13,0.662,0.617,439.64
6.081,15,40.0,18,30,19,9.1,27,8.715,43.2,38.6,1.02,1.117,0.7,0.677,383.46
6.045,15,41.0,18,31,20,8.5,28,8.457,42.6,40.4,1.016,1.119,0.693,0.666,397.49
7.699,14,31.0,17,22,15,6.3,20,8.886,46.9,37.5,1.011,1.107,0.73,0.697,284.36
6.013,15,38.0,18,28,18,4.9,25,8.596,43.9,39.0,1.011,1.118,0.711,0.68,352.45
6.959,14,34.0,17,25,18,4.9,23,7.962,43.9,43.9,1.0,1.114,0.699,0.655,326.45
8.222,14,36.0,17,27,18,9.3,25,8.336,41.9,41.9,1.015,1.118,0.688,0.658,358.45
6.936,16,52.0,19,41,28,5.8,37,7.547,40.6,46.4,1.002,1.124,0.669,0.631,520.71
8.398,14,39.0,17,30,20,10.0,28,8.05,40.0,44.0,1.015,1.122,0.671,0.641,402.51
8.222,18,39.5,22,28,19,5.1,25,9.397,48.7,35.9,1.008,1.096,0.764,0.718,366.49
7.377,14,31.0,17,22,14,6.5,20,9.205,45.2,35.5,1.018,1.113,0.73,0.703,285.35
7.638,14,32.0,17,23,15,9.1,21,9.102,45.5,36.4,1.021,1.11,0.722,0.697,300.36
8.301,18,39.5,22,28,19,7.7,25,8.985,48.7,35.9,1.014,1.103,0.733,0.706,350.42
7.824,14,32.0,17,23,15,6.3,21,9.963,46.9,34.4,1.021,1.105,0.757,0.723,318.8
7.337,14,37.0,17,28,19,7.0,25,8.243,44.2,41.9,1.008,1.113,0.7,0.665,354.46
8.854,14,39.0,17,30,20,8.5,27,8.181,42.6,42.6,1.012,1.117,0.688,0.656,384.49
6.0,15,39.0,18,29,18,11.4,27,8.806,40.9,38.6,1.027,1.122,0.688,0.671,387.45
7.398,15,35.0,18,25,17,8.1,23,8.822,45.9,37.8,1.015,1.109,0.719,0.69,326.4
7.276,14,36.0,17,27,16,8.3,25,10.232,44.4,30.6,1.058,1.14,0.706,0.713,368.36
6.237,17,43.0,19,32,21,9.8,30,8.383,41.2,41.2,1.019,1.122,0.682,0.658,427.52
8.046,14,31.0,17,22,14,6.9,20,10.509,48.3,31.0,1.027,1.101,0.775,0.745,304.77
8.0,14,32.0,17,23,14,6.9,21,11.13,48.3,27.6,1.045,1.113,0.773,0.758,322.76
8.398,17,39.5,22,28,18,5.1,25,8.985,46.2,35.9,1.014,1.113,0.728,0.701,350.43
7.469,14,33.0,17,24,16,5.7,22,9.509,45.7,37.1,1.016,1.108,0.743,0.704,332.83
7.796,14,33.0,17,24,16,8.3,22,8.733,44.4,38.9,1.016,1.112,0.711,0.682,314.39
8.42,29,70.0,35,51,34,8.1,46,8.822,45.9,37.8,1.015,1.109,0.719,0.69,652.8
6.137,15,44.0,18,34,22,7.3,31,8.01,40.0,43.6,1.011,1.126,0.675,0.644,440.57
9.0,14,35.0,17,26,16,5.7,24,10.067,45.7,31.4,1.051,1.138,0.713,0.713,352.36
6.086,17,46.0,19,35,23,8.5,33,7.976,39.0,44.1,1.014,1.128,0.666,0.638,470.6
6.469,14,34.0,17,25,16,8.3,23,9.69,44.4,36.1,1.025,1.111,0.735,0.705,348.83
6.367,14,32.0,17,23,15,9.1,21,9.102,45.5,36.4,1.021,1.11,0.722,0.697,300.36
6.523,14,32.0,17,23,14,6.9,21,13.23,48.3,27.6,1.035,1.096,0.822,0.78,383.66
6.796,16,39.5,22,28,17,5.3,25,9.248,44.7,34.2,1.02,1.118,0.727,0.706,351.42
6.174,20,48.5,24,35,23,5.7,32,8.445,43.4,39.6,1.012,1.12,0.701,0.673,447.56
7.699,14,32.0,17,23,16,5.7,21,8.525,45.7,40.0,1.007,1.109,0.718,0.681,298.39
8.699,16,33.0,18,23,16,6.1,21,8.981,48.5,36.4,1.011,1.103,0.739,0.706,296.37
6.959,14,31.0,17,22,14,6.9,20,12.042,48.3,31.0,1.024,1.098,0.792,0.751,349.22
6.31,14,38.0,17,29,22,3.8,27,7.218,41.5,49.1,0.991,1.119,0.674,0.622,382.57
7.125,14,34.0,17,25,16,8.3,23,10.924,44.4,36.1,1.022,1.108,0.748,0.71,393.28
6.0,14,35.0,17,26,17,10.0,24,8.61,42.5,40.0,1.019,1.117,0.695,0.669,344.42
5.678,15,36.0,14,28,21,4.0,27,8.488,42.0,46.0,1.002,1.114,0.708,0.652,424.42
5.276,15,35.0,14,27,19,4.8,25,9.389,45.2,40.5,1.01,1.106,0.741,0.691,394.34
7.201,16,44.0,17,33,21,8.0,31,9.608,42.0,38.0,1.026,1.118,0.721,0.69,480.4
7.0,16,44.0,17,33,23,7.1,31,7.85,41.1,44.6,1.007,1.122,0.676,0.641,439.58
4.523,9,28.0,10,21,13,14.3,20,8.496,37.1,42.9,1.029,1.125,0.664,0.642,297.36
5.398,9,27.0,12,20,13,11.8,19,8.275,38.2,44.1,1.02,1.122,0.671,0.64,281.36
4.523,9,25.0,11,19,13,9.1,18,8.041,39.4,45.5,1.01,1.12,0.677,0.638,265.36
7.456,16,45.0,17,34,24,6.8,32,7.688,40.7,45.8,1.005,1.123,0.672,0.634,453.61
8.526,23,61.0,27,45,29,10.8,41,9.47,44.6,36.9,1.028,1.112,0.718,0.696,615.52
7.071,14,32.0,17,23,16,2.9,21,8.985,45.7,40.0,1.0,1.101,0.752,0.694,314.46
6.444,21,57.0,20,46,32,5.3,41,7.896,42.7,45.3,1.002,1.118,0.687,0.645,592.21
5.638,13,30.0,17,21,13,3.6,19,10.264,46.4,32.1,1.016,1.1,0.788,0.74,287.39
6.854,14,32.0,17,23,15,6.1,21,9.589,45.5,36.4,1.013,1.101,0.758,0.712,316.43
4.004,12,29.0,16,21,15,0.0,19,8.68,45.5,42.4,0.99,1.101,0.754,0.684,286.45
5.638,13,29.0,16,21,16,0.0,19,8.396,47.1,44.1,0.984,1.095,0.754,0.679,285.46
8.0,14,31.0,17,22,14,3.4,20,12.596,48.3,31.0,1.015,1.088,0.833,0.768,365.29
6.796,14,31.0,17,22,15,0.0,20,9.891,46.9,37.5,0.995,1.089,0.805,0.726,316.5
5.398,15,35.0,18,25,16,2.7,23,9.256,43.2,37.8,1.008,1.111,0.745,0.698,342.48
5.745,13,27.0,16,19,14,0.0,17,9.193,50.0,39.3,0.988,1.086,0.79,0.715,257.4
6.602,14,31.0,17,22,16,3.0,20,9.074,48.5,39.4,0.996,1.092,0.767,0.705,299.44
5.398,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
5.444,11,28.0,16,20,13,0.0,18,9.428,44.8,37.9,1.0,1.103,0.771,0.708,273.41
8.097,14,32.0,17,23,16,2.9,21,8.985,45.7,40.0,1.0,1.101,0.752,0.694,314.46
5.301,8,27.5,15,20,11,0.0,18,10.516,39.3,35.7,1.01,1.107,0.795,0.722,294.46
7.602,14,30.0,17,21,14,3.4,19,9.876,48.3,34.5,1.008,1.093,0.786,0.732,286.4
4.674,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
4.409,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
6.244,12,29.5,16,21,13,6.9,19,10.013,44.8,34.5,1.019,1.101,0.768,0.723,290.39
4.921,10,29.5,16,21,11,3.7,19,11.424,40.7,29.6,1.027,1.103,0.813,0.756,308.44
6.076,8,27.0,11,21,14,2.9,19,8.356,40.0,45.7,0.996,1.113,0.717,0.652,292.46
6.268,13,29.0,16,21,15,3.1,19,8.982,46.9,40.6,0.996,1.095,0.76,0.696,287.43
7.319,14,31.0,17,22,14,3.4,20,11.063,48.3,31.0,1.019,1.091,0.816,0.761,320.84
5.398,9,24.0,12,17,9,8.7,16,11.014,39.1,30.4,1.038,1.112,0.771,0.736,253.33
4.0,6,18.0,10,13,8,0.0,12,10.457,42.1,36.8,1.013,1.111,0.779,0.718,198.69
6.77,14,33.0,17,24,16,5.6,22,9.179,44.4,38.9,1.009,1.104,0.744,0.695,330.46
4.036,8,27.5,15,20,11,0.0,18,9.566,37.9,37.9,1.011,1.123,0.745,0.692,277.41
6.854,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
6.161,14,32.0,17,23,15,3.1,21,10.465,46.9,34.4,1.013,1.096,0.795,0.737,334.87
7.495,14,32.0,17,23,15,2.9,21,9.278,44.1,38.2,1.006,1.106,0.752,0.7,315.45
6.155,16,41.0,15,32,22,3.9,30,9.488,43.1,41.2,1.012,1.112,0.736,0.685,483.87
6.167,15,36.0,18,26,17,10.5,24,9.011,44.7,36.8,1.023,1.112,0.712,0.691,342.4
6.745,14,33.0,17,24,16,5.7,22,9.509,45.7,37.1,1.016,1.108,0.743,0.704,332.83
7.328,14,33.0,17,24,17,5.3,22,8.222,44.7,42.1,1.003,1.112,0.708,0.667,312.42
6.495,14,36.0,17,27,17,7.7,25,9.344,43.6,35.9,1.038,1.132,0.698,0.688,364.4
7.276,17,47.0,19,36,24,6.8,33,7.909,40.7,44.1,1.009,1.124,0.676,0.643,466.61
8.222,17,39.5,22,28,18,5.1,25,8.985,46.2,35.9,1.014,1.113,0.728,0.701,350.43
6.108,16,34.0,18,24,17,5.6,22,8.622,47.2,38.9,1.007,1.106,0.726,0.689,310.4
6.0,15,39.5,22,28,16,5.4,25,9.525,43.2,32.4,1.027,1.124,0.726,0.712,352.41
7.495,17,46.0,19,35,23,7.1,32,8.082,41.1,42.9,1.011,1.123,0.68,0.65,452.58
6.114,14,31.0,17,22,14,6.9,20,10.509,48.3,31.0,1.027,1.101,0.775,0.745,304.77
8.301,17,38.5,22,27,17,5.6,24,9.344,47.2,33.3,1.019,1.111,0.74,0.717,336.4
8.301,14,32.0,17,23,15,6.3,21,11.352,46.9,34.4,1.018,1.102,0.773,0.729,363.25
6.0,15,43.0,18,33,21,7.7,30,8.203,40.4,42.3,1.014,1.125,0.68,0.651,426.54
6.921,14,39.0,17,30,20,4.1,27,7.807,40.8,44.9,1.002,1.124,0.682,0.642,382.53
7.77,14,34.0,17,25,17,7.7,23,8.421,43.6,41.0,1.011,1.114,0.701,0.668,328.42
6.444,17,40.5,22,29,19,4.8,26,8.678,45.2,38.1,1.01,1.115,0.718,0.687,364.46
6.0,14,32.0,17,23,16,5.7,21,8.525,45.7,40.0,1.007,1.109,0.718,0.681,298.39
8.097,14,37.0,17,28,19,8.7,26,8.097,41.3,43.5,1.012,1.119,0.681,0.648,372.48
6.921,14,30.0,17,21,14,6.9,19,9.322,48.3,34.5,1.016,1.103,0.745,0.716,270.33
5.456,9,24.0,11,18,12,10.0,17,8.378,40.0,43.3,1.015,1.118,0.686,0.65,251.33
6.721,18,47.0,16,37,26,6.6,34,8.181,42.6,44.3,1.007,1.116,0.692,0.652,499.07
5.18,9,26.0,11,20,14,8.3,19,7.761,38.9,47.2,1.006,1.121,0.67,0.627,279.39
7.796,17,43.0,19,32,21,8.3,29,8.531,43.8,39.6,1.016,1.116,0.699,0.673,409.5
6.102,17,42.0,19,31,20,10.4,29,8.614,41.7,39.6,1.023,1.12,0.688,0.667,413.49
6.854,16,45.0,17,34,22,7.5,32,9.329,41.5,39.6,1.022,1.119,0.713,0.68,494.43
6.222,14,36.0,17,27,18,7.0,25,8.71,41.9,41.9,1.009,1.111,0.715,0.669,374.52
6.824,15,35.0,18,25,16,8.3,23,9.094,44.4,36.1,1.022,1.114,0.718,0.695,327.39
4.0,6,18.0,10,13,8,5.0,12,9.013,40.0,40.0,1.013,1.119,0.72,0.676,180.25
5.201,8,27.5,15,20,10,0.0,18,10.943,37.0,33.3,1.019,1.114,0.796,0.73,295.45
6.632,9,25.0,11,19,13,9.1,18,8.041,39.4,45.5,1.01,1.12,0.677,0.638,265.36
5.398,20,41.0,23,29,21,2.4,26,8.965,50.0,38.1,0.997,1.094,0.764,0.71,376.53
6.444,8,20.0,11,14,8,5.6,13,11.815,44.4,27.8,1.039,1.106,0.805,0.768,212.67
5.721,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
5.854,15,36.0,18,26,17,5.1,24,9.166,43.6,38.5,1.011,1.109,0.738,0.693,357.49
5.398,14,32.0,17,23,16,2.9,21,8.985,45.7,40.0,1.0,1.101,0.752,0.694,314.46
7.398,14,31.0,17,22,15,3.1,20,9.388,46.9,37.5,1.003,1.098,0.768,0.711,300.43
5.398,15,36.0,18,26,17,7.9,24,9.433,44.7,36.8,1.017,1.104,0.743,0.703,358.47
5.398,14,33.0,18,23,15,6.1,21,9.589,45.5,36.4,1.013,1.101,0.758,0.712,316.43
5.398,20,42.0,23,30,22,2.2,27,8.679,48.9,40.0,0.995,1.097,0.752,0.697,390.56
4.959,14,32.0,17,23,16,5.9,21,9.278,47.1,38.2,1.006,1.096,0.758,0.705,315.44
5.415,14,31.0,17,22,15,6.5,20,9.723,48.4,35.5,1.011,1.091,0.775,0.724,301.41
5.854,20,40.0,23,28,21,2.5,25,9.038,52.5,37.5,0.994,1.086,0.777,0.72,361.51
5.721,14,30.0,17,21,15,3.3,19,9.514,50.0,36.7,1.0,1.087,0.785,0.725,285.41
4.0,20,42.0,23,30,21,2.4,27,9.785,50.0,35.7,1.005,1.093,0.785,0.73,410.97
4.252,12,29.0,16,21,15,0.0,19,7.924,44.1,44.1,0.991,1.115,0.713,0.659,269.4
4.721,15,31.0,17,22,16,3.0,20,9.074,48.5,39.4,0.996,1.092,0.767,0.705,299.44
7.004,14,34.0,17,25,17,5.1,23,8.833,43.6,41.0,1.005,1.107,0.732,0.68,344.49
5.18,12,29.0,16,21,15,0.0,19,8.68,45.5,42.4,0.99,1.101,0.754,0.684,286.45
6.0,20,40.0,23,28,20,2.6,25,9.295,51.3,35.9,1.0,1.091,0.778,0.725,362.5
7.409,14,34.0,17,25,15,3.1,23,11.075,46.9,28.1,1.051,1.129,0.762,0.747,354.4
7.432,14,32.0,17,23,14,3.4,21,12.251,48.3,27.6,1.03,1.089,0.846,0.789,355.28
5.398,14,41.0,17,32,22,3.7,29,7.919,40.7,46.3,0.997,1.117,0.696,0.642,427.64
7.268,14,32.0,17,23,16,2.9,21,8.985,45.7,40.0,1.0,1.101,0.752,0.694,314.46
