pXC50,nR09,D.Dtr09,Eig02_EA.ri.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ri.,nR05,N.072,Eig10_EA.ed.,SM05_AEA.ri.,Eig09_EA.bo.,Eig07_EA.bo.,CATS2D_07_DL,Eig02_EA.ed.,SM11_AEA.dm.,MAXDP,CATS2D_05_AN,CATS2D_07_AL,X5,Eig09_AEA.bo.,SpMax2_Bh.p.,ATS8p,Eig12_AEA.ed.,Eig11_EA,SM05_AEA.dm.,Eta_beta,Eig12_AEA.ri.,Eig11_AEA.bo.,Eig10_AEA.ed.,Eig02_AEA.bo.,MATS6m,Eig01_AEA.dm.,SpMax_AEA.dm.,SNar,Xt,ATSC8i,Eig07_EA,SM15_AEA.bo.,Eig07_AEA.bo.,Eig11_EA.ed.,SM06_AEA.ri.,Eig07_AEA.ri.,Eig11_AEA.ri.,Eig11_EA.ri.,Eig09_EA.ri.,Eig11_EA.bo.,SRW05,ATSC6i,Eig13_AEA.ri.,Eig11_AEA.ed.,Eig13_EA,Eig13_EA.bo.,Eig13_EA.ed.,Eig13_EA.ri.,SM07_AEA.dm.,SM08_AEA.ri.,Eig07_EA.ri.,SpMin4_Bh.e.,SpMin4_Bh.p.,CATS2D_02_DA,Rbrid,ATS6i,ATS7p,MATS6i,X3sol,SdssC,Eig09_AEA.ri.,Eig09_EA
5.921,0,0.0,2.81,2.869,2.869,3.85,0,1,1.917,1.917,1.294,1.978,3,8.85,8.85,5.674,0,5,5.161,2.5,3.86,3.455,3.166,0.213,0.213,31.0,0.983,1.716,3.425,4.186,-0.063,4.457,4.457,16.989,0.243,0.875,1.414,1.414,2.854,0.376,0.376,2.379,1.166,0.201,1.0,0.309,4.111,1.219,0.565,3.247,-0.439,-0.498,-1.211,-0.437,-0.439,-1.211,1.348,1.343,1.543,1,0,4.811,3.532,0.045,8.102,-0.432,2.0,1.0
7.0,1,373.738,2.951,3.006,3.006,3.991,1,18,8.452,8.452,3.238,3.285,38,9.633,9.633,8.755,3,43,29.115,4.046,3.97,6.159,5.857,2.719,2.719,152.0,3.664,3.944,5.984,4.203,0.008,4.29,4.29,92.413,0.104,11.881,2.861,2.861,4.063,8.367,8.367,3.847,3.712,2.69,2.791,3.162,2.398,10.022,3.646,5.917,2.652,3.066,8.05,2.632,2.652,8.05,2.817,1.926,2.021,21,9,7.038,6.055,0.075,46.978,-24.519,3.814,2.825
6.824,0,0.0,2.931,2.988,2.988,3.972,1,17,8.338,8.338,3.134,3.21,32,9.379,9.379,7.882,2,35,24.066,3.931,3.885,6.018,5.651,2.623,2.623,122.5,3.477,3.872,5.85,4.202,-0.008,4.29,4.29,78.484,0.113,10.263,2.821,2.821,3.996,8.048,8.048,3.81,3.622,2.613,2.685,3.052,2.398,8.649,3.476,5.796,2.473,2.921,6.844,2.457,2.473,6.844,2.779,1.802,1.988,18,9,6.93,5.913,0.125,39.912,-18.723,3.709,2.719
6.0,0,0.0,3.044,3.158,3.158,4.123,2,17,8.531,8.531,3.199,3.289,33,10.877,10.877,8.672,2,45,27.517,3.98,3.89,6.264,5.936,2.734,2.734,134.0,3.7,3.92,6.017,4.277,-0.008,4.291,4.291,88.947,0.106,13.108,2.843,2.843,4.087,8.44,8.44,3.828,3.723,2.697,2.765,3.137,3.045,10.701,3.639,5.974,2.646,3.031,8.225,2.621,2.646,8.225,2.796,1.823,2.008,19,10,7.142,6.16,0.098,46.573,-19.557,3.797,2.809
4.174,0,0.0,2.52,2.633,2.633,3.59,2,1,1.258,1.258,1.182,1.5,0,8.3,8.3,5.329,0,5,5.325,2.265,3.81,3.449,2.357,0.335,0.335,24.25,0.658,1.675,3.078,3.919,-0.054,3.959,3.959,16.008,0.25,0.738,1.21,1.21,2.546,0.72,0.72,2.179,1.317,0.323,1.0,0.412,3.045,0.851,0.388,2.867,-0.604,-0.77,-1.332,-0.593,-0.604,-1.332,1.163,1.433,1.676,0,1,4.688,3.473,0.157,7.917,-0.626,2.0,1.0
5.444,0,0.0,2.46,2.601,2.601,3.553,2,1,-0.929,-0.929,-0.38,0.923,0,8.289,8.289,4.755,0,3,3.857,1.0,3.452,2.54,1.747,-0.807,-0.807,15.25,-0.154,0.628,2.0,3.824,-0.143,3.958,3.958,11.444,0.296,0.32,0.846,0.846,2.031,-1.614,-1.614,1.813,0.234,-0.831,-0.3,-1.071,3.045,0.629,-0.508,2.0,-1.433,-1.528,-3.564,-1.321,-1.433,-3.564,0.804,1.386,1.606,0,1,4.534,3.039,0.011,5.906,-0.582,0.662,-0.313
6.0,1,127.364,2.988,3.364,3.364,4.247,1,0,3.115,3.115,1.881,2.624,1,12.241,12.241,6.011,0,6,6.837,2.825,4.084,3.826,3.235,0.759,0.759,39.75,1.205,2.187,4.034,4.836,0.056,5.19,5.19,18.898,0.23,0.974,1.846,1.846,3.287,1.9,1.9,2.769,1.664,0.662,1.22,1.057,2.398,1.309,0.975,3.583,0.011,0.014,0.022,0.01,0.011,0.022,1.622,1.568,1.719,2,1,4.933,3.896,0.13,13.807,-0.735,2.266,1.337
6.0,1,127.364,2.99,3.364,3.364,4.247,1,0,3.115,3.115,1.881,2.624,0,12.241,12.241,5.95,0,4,6.837,2.825,4.083,3.798,3.235,0.759,0.759,39.75,1.206,2.187,4.034,4.836,0.077,5.19,5.19,18.898,0.23,1.053,1.846,1.846,3.287,1.9,1.9,2.782,1.67,0.673,1.226,1.057,2.398,1.454,0.976,3.583,0.011,0.014,0.022,0.01,0.011,0.022,1.697,1.568,1.719,2,1,4.945,3.867,0.102,13.203,-0.758,2.269,1.337
5.155,0,0.0,2.943,2.947,2.947,3.95,1,4,3.306,3.306,2.046,2.644,0,9.502,9.502,6.205,0,18,6.868,2.984,3.747,4.41,3.637,1.329,1.329,42.0,2.008,2.51,4.066,4.174,0.081,3.994,3.994,25.372,0.199,2.002,2.126,2.126,3.487,3.037,3.037,3.127,2.32,1.306,1.699,1.5,2.398,2.199,2.0,3.739,1.0,1.117,2.136,0.997,1.0,2.136,2.102,1.632,1.845,3,0,5.662,4.442,0.023,13.587,-4.851,2.723,1.735
5.523,0,0.0,3.013,3.173,3.173,4.137,1,3,3.086,3.086,1.984,2.393,2,11.012,11.012,6.294,0,13,6.593,2.867,3.762,4.307,3.517,1.0,1.0,36.75,1.936,2.5,3.869,4.287,0.013,4.609,4.609,23.175,0.208,2.552,2.109,2.109,3.345,2.426,2.426,3.107,2.0,1.0,1.55,1.5,2.398,2.487,1.857,3.68,0.867,0.977,2.136,0.841,0.867,2.136,2.064,1.622,1.833,2,0,5.561,4.442,-0.104,11.065,-4.67,2.553,1.537
5.959,0,0.0,2.962,2.96,2.96,3.963,1,3,3.042,3.042,1.947,2.336,2,9.554,9.554,6.395,0,19,6.677,2.857,3.762,4.415,3.458,1.0,1.0,38.25,1.936,2.5,3.737,4.184,-0.043,3.996,3.996,23.581,0.206,2.07,2.078,2.078,3.288,2.399,2.399,3.074,2.0,1.0,1.546,1.5,2.398,2.203,1.868,3.636,0.884,0.977,2.104,0.854,0.884,2.104,2.048,1.622,1.833,2,0,5.595,4.52,-0.01,12.407,-3.986,2.548,1.532
7.125,0,0.0,3.439,3.456,3.456,4.452,0,2,2.575,2.575,1.632,2.321,4,13.354,13.354,6.299,0,10,7.03,2.634,3.843,4.648,3.445,1.122,1.122,39.5,2.075,2.5,3.824,4.508,-0.182,4.188,4.188,23.345,0.207,2.747,1.758,1.758,3.192,2.489,2.489,2.761,2.117,1.112,1.429,1.5,0.0,2.44,2.0,3.452,1.0,1.438,2.136,1.0,1.0,2.136,1.752,1.799,1.932,2,0,5.722,4.687,0.046,12.848,-2.027,2.454,1.475
4.678,0,0.0,2.828,2.835,2.835,3.834,0,2,3.807,3.807,2.216,2.603,2,8.705,8.705,5.916,0,22,8.5,3.103,3.859,4.565,3.628,1.482,1.482,55.5,2.46,2.891,4.134,4.155,-0.057,3.861,3.861,31.087,0.179,2.408,2.143,2.143,3.386,3.135,3.135,3.109,2.48,1.478,1.723,2.029,0.0,2.191,2.05,3.634,1.04,1.5,2.477,1.045,1.04,2.477,2.054,1.9,1.985,2,0,5.495,4.589,-0.007,14.011,-2.065,2.723,1.711
5.796,0,0.0,3.438,3.455,3.455,4.451,0,2,2.33,2.33,1.33,1.72,4,13.352,13.352,6.261,0,12,4.91,2.344,3.719,4.75,3.059,1.008,1.008,25.5,1.974,2.103,3.524,4.504,-0.093,4.188,4.188,19.761,0.225,2.822,1.677,1.677,2.727,1.669,1.669,2.664,2.016,1.012,1.265,1.053,0.0,2.549,1.565,3.106,0.571,0.586,0.968,0.565,0.571,0.968,1.645,1.676,1.863,2,0,5.882,4.774,0.015,10.601,-1.505,2.281,1.306
4.77,0,0.0,2.985,3.138,3.138,4.099,1,4,3.334,3.334,2.047,2.645,0,10.79,10.79,6.066,0,12,6.784,2.995,3.747,4.301,3.694,1.332,1.332,40.5,2.008,2.51,4.107,4.257,0.142,4.609,4.609,24.967,0.2,2.556,2.192,2.192,3.489,3.086,3.086,3.15,2.322,1.307,1.727,1.5,2.398,2.438,2.0,3.838,1.0,1.117,2.209,0.997,1.0,2.209,2.103,1.632,1.845,3,0,5.631,4.358,-0.099,12.245,-5.548,2.767,1.784
7.161,0,0.0,3.48,3.5,3.5,4.495,0,2,4.441,4.441,2.262,2.745,4,13.692,13.692,6.937,0,18,10.3,3.218,3.873,4.937,4.176,1.506,1.506,54.0,2.37,3.109,4.739,4.546,-0.076,4.193,4.193,31.898,0.177,3.612,2.356,2.356,3.666,4.02,4.02,3.357,2.484,1.459,1.815,1.943,0.0,3.307,2.364,4.3,1.359,1.733,3.126,1.36,1.359,3.126,2.355,1.894,1.982,2,0,6.005,4.941,0.082,17.395,-2.318,2.862,1.894
6.796,0,0.0,3.438,3.454,3.454,4.451,0,2,2.575,2.575,1.615,2.311,4,13.343,13.343,6.113,0,10,6.322,2.618,3.842,4.525,3.412,1.013,1.013,38.5,2.0,2.5,3.769,4.506,-0.14,4.187,4.187,21.959,0.213,2.517,1.757,1.757,3.188,2.345,2.345,2.758,2.027,1.021,1.33,1.5,0.0,2.082,2.0,3.437,1.0,1.298,2.136,1.0,1.0,2.136,1.747,1.785,1.922,2,0,5.608,4.545,0.248,12.559,-2.084,2.353,1.381
6.77,0,0.0,3.292,3.294,3.294,4.295,0,2,2.543,2.543,1.576,2.086,4,12.004,12.004,5.549,0,8,5.465,2.591,3.84,4.103,3.247,1.0,1.0,36.5,2.0,2.5,3.479,4.364,-0.284,4.151,4.151,19.761,0.225,1.785,1.743,1.743,3.061,2.136,2.136,2.725,2.0,1.0,1.135,1.5,0.0,1.403,1.393,3.247,0.398,0.463,0.911,0.391,0.398,0.911,1.678,1.724,1.882,2,0,5.129,4.198,0.169,10.772,-2.157,2.142,1.156
5.509,0,0.0,2.797,2.784,2.784,3.791,0,2,2.136,2.136,1.5,1.652,0,8.537,8.537,4.8,0,8,4.373,2.5,3.838,3.353,3.0,0.852,0.852,34.5,1.777,2.166,3.247,4.14,0.027,3.85,3.85,18.375,0.233,0.747,1.308,1.308,2.634,1.929,1.929,2.277,1.865,0.853,1.0,1.044,0.0,0.901,0.804,3.228,-0.152,-0.165,-0.366,-0.143,-0.152,-0.366,1.262,1.556,1.777,2,0,4.692,3.509,-0.017,8.427,-2.081,2.0,1.0
7.824,0,0.0,3.48,3.5,3.5,4.495,0,2,4.441,4.441,2.389,3.166,4,13.692,13.692,6.857,0,18,10.3,3.255,3.888,4.845,4.176,1.506,1.506,64.0,2.37,3.111,4.739,4.571,-0.097,4.206,4.206,31.898,0.177,3.346,2.356,2.356,3.848,4.02,4.02,3.357,2.484,1.459,1.815,1.952,0.0,2.882,2.364,4.3,1.359,1.888,3.126,1.36,1.359,3.126,2.355,1.902,1.976,2,0,5.794,4.857,0.064,17.395,-2.722,2.862,1.894
6.602,0,0.0,3.44,3.457,3.457,4.453,0,2,3.875,3.875,2.325,2.607,6,13.354,13.354,6.857,0,22,9.559,3.191,3.864,5.025,3.837,1.547,1.547,57.5,2.46,2.927,4.274,4.508,-0.075,4.188,4.188,32.474,0.175,4.093,2.15,2.15,3.409,3.606,3.606,3.113,2.539,1.53,1.75,2.086,0.0,3.041,2.309,4.085,1.332,1.614,3.075,1.292,1.332,3.075,2.055,1.9,1.985,2,0,5.861,5.004,0.164,16.87,-2.141,2.759,1.757
7.097,0,0.0,3.44,3.456,3.456,4.452,0,2,3.316,3.316,1.785,2.326,6,13.354,13.354,6.654,0,16,7.649,2.789,3.843,4.973,3.636,1.389,1.389,42.5,2.109,2.608,3.897,4.508,-0.081,4.188,4.188,27.504,0.191,3.739,1.776,1.776,3.195,3.15,3.15,2.781,2.368,1.349,1.708,1.603,0.0,2.992,2.1,3.694,1.102,1.5,2.432,1.096,1.102,2.432,1.78,1.822,1.951,2,0,5.927,4.947,0.105,14.386,-1.939,2.728,1.739
5.77,0,0.0,3.013,3.183,3.183,4.143,1,3,3.086,3.086,1.984,2.379,2,11.014,11.014,6.302,0,19,6.131,2.867,3.759,4.378,3.515,1.0,1.0,34.5,1.9,2.5,3.868,4.291,0.033,4.609,4.609,22.076,0.213,2.681,2.067,2.067,3.324,2.378,2.378,3.042,2.0,1.0,1.549,1.5,2.398,2.435,1.852,3.678,0.864,0.943,2.136,0.837,0.864,2.136,1.976,1.66,1.857,3,0,5.525,4.467,-0.074,10.176,-4.259,2.552,1.536
6.301,0,0.0,3.147,3.15,3.15,4.149,0,2,5.027,5.027,2.773,3.081,8,10.881,10.881,7.354,0,22,12.79,3.454,4.031,4.81,4.24,1.691,1.691,67.75,2.618,3.118,4.831,4.544,0.024,3.937,3.937,35.887,0.167,2.973,2.278,2.278,3.736,4.479,4.479,3.279,2.689,1.681,2.04,2.397,0.0,3.052,2.555,4.584,1.542,2.22,3.745,1.559,1.542,3.745,2.286,1.824,1.905,3,2,5.782,4.847,-0.131,18.689,-1.912,3.044,2.046
5.886,0,0.0,3.147,3.15,3.15,4.149,0,2,4.478,4.478,2.427,2.872,8,10.881,10.881,7.183,0,18,10.755,3.143,4.031,4.654,3.986,1.551,1.551,58.25,2.533,3.029,4.583,4.544,0.039,3.937,3.937,30.917,0.18,2.488,2.263,2.263,3.611,3.754,3.754,3.279,2.56,1.563,1.713,2.221,0.0,2.453,2.395,4.233,1.398,1.967,3.027,1.392,1.398,3.027,2.286,1.688,1.881,3,2,5.566,4.655,-0.117,16.219,-1.863,2.734,1.752
6.42,0,0.0,3.147,3.15,3.15,4.149,0,3,6.182,6.182,2.813,3.087,10,10.881,10.881,7.365,0,17,14.297,3.474,4.045,4.88,4.695,1.888,1.888,70.75,2.681,3.171,5.184,4.544,-0.001,3.937,3.937,39.183,0.16,3.17,2.58,2.58,3.849,5.684,5.684,3.575,2.865,1.832,2.166,2.427,0.0,3.116,2.618,5.043,1.618,2.399,4.471,1.618,1.618,4.471,2.559,1.832,2.022,3,3,5.809,4.879,-0.108,20.88,-2.009,3.169,2.164
6.276,0,0.0,3.157,3.175,3.175,4.168,0,2,4.536,4.536,2.57,2.867,6,10.997,10.997,7.349,0,17,12.089,3.346,4.032,4.787,4.207,1.616,1.616,60.0,2.549,3.07,4.693,4.547,-0.018,3.938,3.938,33.115,0.174,2.824,2.3,2.3,3.581,4.326,4.326,3.298,2.616,1.612,1.975,2.276,0.0,2.796,2.45,4.549,1.453,1.98,3.292,1.445,1.453,3.292,2.293,1.81,1.947,2,2,5.707,4.795,-0.05,18.04,-1.285,2.979,1.974
6.097,0,0.0,3.145,3.147,3.147,4.147,0,2,4.308,4.308,2.438,2.84,8,10.876,10.876,7.187,0,14,10.789,3.192,4.031,4.671,4.033,1.556,1.556,58.25,2.478,3.038,4.325,4.544,-0.031,3.936,3.936,30.917,0.18,2.542,2.087,2.087,3.472,3.773,3.773,3.079,2.566,1.57,1.796,2.23,0.0,2.493,2.367,4.249,1.376,1.897,2.989,1.361,1.376,2.989,2.068,1.703,1.897,3,2,5.586,4.676,-0.075,16.434,-1.512,2.808,1.814
5.0,0,0.0,2.816,3.072,3.072,4.003,2,2,3.857,3.857,1.928,2.712,2,10.331,10.331,6.22,0,8,8.118,2.896,3.867,4.223,3.79,1.204,1.204,46.5,1.959,2.567,4.333,4.433,-0.02,3.691,3.691,25.372,0.199,1.359,2.079,2.079,3.424,3.208,3.208,2.959,2.133,1.073,1.54,1.59,3.045,1.567,1.865,4.094,1.0,1.495,2.275,0.786,1.0,2.275,1.74,1.47,1.653,3,0,5.186,4.265,0.15,15.03,-0.537,2.63,1.726
8.678,2,188.296,3.045,3.147,3.147,4.115,2,2,2.568,2.568,1.742,2.32,2,11.04,11.04,5.985,2,8,7.025,2.668,3.881,3.795,3.281,0.834,0.834,34.75,1.562,2.26,3.663,4.528,0.336,3.919,3.919,19.304,0.228,1.052,1.858,1.858,3.177,1.997,1.997,2.816,1.708,0.704,1.197,1.156,3.045,1.301,1.056,3.414,0.057,0.068,0.141,0.056,0.057,0.141,1.759,1.523,1.669,1,2,4.948,3.892,0.221,10.558,-1.075,2.202,1.21
8.0,2,180.184,2.928,3.048,3.048,4.009,2,2,2.555,2.555,1.712,2.314,2,10.277,10.277,5.9,2,6,6.8,2.646,3.88,3.66,3.089,0.752,0.752,34.25,1.436,2.143,3.583,4.49,0.253,3.919,3.919,18.898,0.23,0.903,1.546,1.546,3.045,1.789,1.789,2.469,1.691,0.687,1.153,0.988,3.045,1.136,1.026,3.388,0.024,0.03,0.059,0.023,0.024,0.059,1.408,1.523,1.668,1,2,4.781,3.803,0.077,10.167,-1.078,2.162,1.181
8.0,2,180.184,2.926,3.048,3.048,4.01,2,2,2.555,2.555,1.712,2.314,2,10.277,10.277,5.872,2,8,6.8,2.646,3.879,3.603,3.089,0.752,0.752,34.5,1.49,2.143,3.583,4.49,0.28,3.919,3.919,18.898,0.23,0.866,1.546,1.546,3.045,1.789,1.789,2.495,1.741,0.737,1.167,0.988,3.045,1.092,1.024,3.388,0.024,0.03,0.059,0.023,0.024,0.059,1.445,1.457,1.658,1,2,4.719,3.743,-0.005,10.167,-1.131,2.17,1.181
8.0,2,188.35,3.058,3.156,3.156,4.126,2,2,2.648,2.648,1.78,2.32,2,10.903,10.903,5.974,2,8,7.206,2.692,3.877,3.742,3.307,0.953,0.953,35.5,1.602,2.325,3.597,4.529,0.27,3.919,3.919,19.304,0.228,1.054,1.827,1.827,3.176,2.336,2.336,2.803,1.941,0.937,1.207,1.253,3.045,1.307,1.047,3.575,0.044,0.053,0.109,0.044,0.044,0.109,1.776,1.575,1.78,1,2,5.01,3.854,0.156,9.863,-1.094,2.21,1.22
8.0,1,95.039,3.005,3.019,3.019,4.016,1,2,2.629,2.629,1.902,2.326,2,10.21,10.21,5.974,2,8,7.221,2.769,3.878,3.748,3.225,0.937,0.937,36.75,1.608,2.324,3.592,4.469,0.202,3.919,3.919,19.592,0.226,0.987,1.618,1.618,3.118,2.2,2.2,2.618,1.935,0.93,1.272,1.247,2.398,1.242,1.088,3.445,0.09,0.108,0.219,0.088,0.09,0.219,1.618,1.512,1.66,1,2,4.925,3.87,0.09,9.701,-1.094,2.273,1.273
8.319,2,196.461,3.108,3.223,3.223,4.194,2,2,2.868,2.868,1.804,2.32,2,11.488,11.488,6.059,2,10,7.488,2.713,3.878,3.867,3.362,1.026,1.026,36.0,1.636,2.372,3.714,4.537,0.268,3.92,3.92,19.709,0.225,1.195,1.875,1.875,3.177,2.535,2.535,2.846,2.012,1.006,1.261,1.323,3.045,1.482,1.062,3.639,0.061,0.073,0.153,0.06,0.061,0.153,1.808,1.578,1.787,1,2,5.162,3.964,0.195,10.276,-1.091,2.276,1.314
8.0,2,188.296,2.94,3.147,3.147,4.082,2,2,2.568,2.568,1.742,2.32,2,11.04,11.04,5.951,2,12,7.025,2.668,3.87,3.691,3.281,0.834,0.834,36.0,1.591,2.26,3.663,4.528,0.337,3.919,3.919,19.304,0.228,1.016,1.858,1.858,3.177,1.997,1.997,2.82,1.777,0.782,1.182,1.156,3.045,1.241,1.055,3.414,0.057,0.068,0.141,0.056,0.057,0.141,1.78,1.516,1.701,1,2,4.969,3.79,0.135,9.866,-1.137,2.189,1.21
8.0,2,188.296,3.043,3.147,3.147,4.115,2,2,2.568,2.568,1.742,2.32,2,11.04,11.04,5.954,2,10,7.025,2.668,3.87,3.678,3.281,0.834,0.834,35.5,1.604,2.26,3.663,4.528,0.346,3.919,3.919,19.304,0.228,1.024,1.858,1.858,3.177,1.997,1.997,2.822,1.785,0.789,1.194,1.156,3.045,1.242,1.059,3.414,0.057,0.068,0.141,0.056,0.057,0.141,1.782,1.515,1.706,1,2,4.969,3.791,0.196,9.866,-1.132,2.198,1.21
8.0,2,205.442,3.079,3.233,3.233,4.186,2,2,2.885,2.885,1.97,2.32,2,11.58,11.58,6.061,2,10,7.767,2.842,3.877,3.844,3.368,1.027,1.027,39.75,1.645,2.514,3.727,4.538,0.277,4.076,4.076,20.403,0.221,1.146,1.877,1.877,3.242,2.544,2.544,2.842,2.012,1.007,1.353,1.33,3.045,1.431,1.3,3.648,0.358,0.661,0.547,0.336,0.358,0.547,1.8,1.578,1.733,1,2,5.064,3.928,0.142,10.606,-1.208,2.356,1.354
