pXC50,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.008,C.011,C.012,C.016,C.017,C.024,C.025,C.026,C.027,C.028,C.029,C.031,C.034,C.038,C.040,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_DA,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_LL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_LL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_PL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_DA,CATS2D_07_DL,CATS2D_07_LL,CATS2D_07_PL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_DL,CATS2D_08_LL,CATS2D_08_PL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_DL,CATS2D_09_LL,CATS2D_09_PL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,Cl.089,CMC.50,CMC.80,cRo5,CSI,DBI,D.Dtr05,D.Dtr06,D.Dtr08,D.Dtr09,DECC
6.0,1.628,15.976,3.928,15.432,161.627,7.55,0.435,4.435,4.557,4.052,3.971,5.466,3.938,5.019,5.209,4.438,4.388,5.995,4.332,5.245,5.448,4.491,4.529,6.21,4.442,5.334,5.57,4.497,4.558,6.298,4.45,5.306,5.528,4.502,4.565,6.366,4.441,5.267,5.487,4.475,4.57,6.143,4.45,5.268,5.482,4.474,4.531,6.242,4.433,5.293,5.515,4.436,4.508,6.243,4.401,0.045,1.194,16.326,7.06,8.977,9.218,0.407,1.967,33.938,11.732,30.497,15.718,0.57,2.352,47.104,14.849,50.925,20.356,0.472,2.442,49.86,17.211,68.611,23.496,0.924,2.435,55.763,17.926,113.11,22.707,0.432,2.406,52.497,17.607,38.832,23.013,0.471,2.339,45.603,16.095,58.733,21.611,0.704,2.377,50.453,15.347,73.391,20.86,23,65,0.248,0.581,0.763,0.826,0.826,0.826,3.741,0.978,-3.68,-3.65,-3.48,39.5,2,2,0,0,0,9,0,0,0,1,1,4,2,0,1,1,1,1,3,1,1,0,0,0,1,8,3,8,0,0,2,9,0,2,15,0,0,0,2,0,4,0,1,9,0,0,1,0,4,0,7,7,2,0,0,5,0,2,7,0,3,0,2,9,1,1,2,0,2,8,1,3,0,3,3,0,2,0,3679.0,27.963,27.963,27.963,27.963,27.963,25.194,30.627,16.538,28.726,22.779,22.779,22.779,22.779,22.779,18.395,40.253,7.925,24.012,4.62,2.442,1.244,0.836,0.836,0.836,4.456,0,0,0,1,1451.0,4.301,193.977,504.146,0.0,358.922,2.516
4.5,1.186,14.348,5.792,33.55,101.961,5.119,0.0,4.149,4.308,3.32,3.583,4.98,3.477,4.758,5.008,3.491,3.951,5.455,3.778,5.07,5.371,3.573,4.111,5.734,3.893,5.145,5.457,3.572,4.116,5.925,3.89,5.13,5.448,3.329,4.033,5.857,3.785,4.959,5.296,3.212,3.915,5.498,3.652,4.848,5.169,3.164,3.837,5.426,3.588,4.831,5.161,3.107,3.791,5.403,3.536,0.097,0.8,16.186,6.473,9.639,9.401,0.202,1.208,26.309,9.835,17.983,14.656,0.356,1.432,33.016,12.312,30.756,18.27,0.4,1.445,34.979,12.534,61.82,18.733,0.375,1.33,33.426,11.642,50.203,17.445,0.206,1.184,27.286,10.417,22.125,15.523,0.199,1.089,25.118,9.5,20.814,14.141,0.198,1.043,24.355,9.108,20.988,13.608,63,24,0.198,0.373,0.591,0.675,0.742,0.801,3.184,1.33,-5.73,-5.59,-5.21,31.3,1,12,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,13,0,0,1,0,2,0,1,0,12,0,0,1,0,1,2,0,11,0,0,1,0,0,2,10,0,0,1,2,9,0,0,1,0,2,8,0,0,1,2,7,0,0,1,2,6,0,887.0,15.468,15.468,15.468,15.468,15.468,15.261,9.324,10.281,15.629,10.778,10.778,10.778,10.778,10.778,10.446,10.066,4.813,11.055,4.814,3.763,2.452,1.953,1.55,1.191,3.814,0,0,0,1,620.0,4.899,0.0,0.0,0.0,0.0,2.507
5.141,1.433,12.571,3.698,13.673,96.789,8.582,0.286,3.876,4.012,3.546,3.459,4.876,3.344,4.414,4.607,3.928,3.853,5.319,3.67,4.748,5.014,3.978,3.987,5.682,3.742,4.758,5.042,3.625,3.861,5.675,3.606,4.625,4.929,3.465,3.713,5.35,3.468,4.508,4.799,3.475,3.683,5.227,3.412,4.458,4.749,3.436,3.618,5.207,3.346,4.368,4.657,3.391,3.535,5.144,3.263,0.076,0.61,9.987,5.046,12.359,6.61,0.122,0.971,20.789,9.032,21.119,11.348,0.309,1.225,45.461,12.956,55.009,15.27,0.382,1.153,45.446,12.243,65.661,14.601,0.203,1.005,30.538,10.1,33.569,12.945,0.164,0.933,38.267,10.212,25.208,12.044,0.174,0.876,37.458,9.699,27.047,11.276,0.165,0.8,35.464,8.958,25.921,10.255,28,25,0.253,0.583,0.769,0.852,0.874,0.889,3.099,1.238,-4.56,-4.49,-4.22,36.2,0,6,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,12,0,0,0,0,1,15,0,0,0,0,0,2,2,2,14,1,0,0,0,1,3,0,10,1,0,0,0,0,3,9,1,0,0,3,8,1,0,0,0,3,7,1,0,0,3,6,1,0,0,3,5,1,624.0,14.027,14.027,14.027,14.027,14.027,13.044,11.369,8.817,14.324,10.278,10.278,10.278,10.278,10.278,8.841,6.763,4.152,10.899,4.121,2.245,1.191,0.723,0.596,0.511,3.743,0,0,1,1,521.0,4.0,0.0,86.242,0.0,0.0,2.014
5.242,1.39,14.13,4.61,21.253,105.991,8.14,0.261,3.989,4.128,3.611,3.564,4.953,3.447,4.542,4.743,3.98,3.96,5.406,3.773,4.882,5.158,4.028,4.096,5.762,3.847,4.891,5.182,3.696,3.983,5.756,3.725,4.776,5.085,3.546,3.854,5.46,3.604,4.676,4.974,3.556,3.828,5.35,3.555,4.634,4.933,3.52,3.772,5.332,3.498,4.559,4.857,3.479,3.701,5.276,3.427,0.082,0.687,12.071,5.757,11.196,7.638,0.136,1.099,24.708,10.252,19.812,13.07,0.329,1.382,49.728,14.445,54.667,17.41,0.394,1.308,48.939,13.642,64.183,16.681,0.215,1.161,34.477,11.547,32.124,15.014,0.179,1.09,41.881,11.669,23.984,14.145,0.188,1.033,41.048,11.153,25.737,13.38,0.18,0.958,39.122,10.423,24.976,12.373,30,27,0.238,0.544,0.72,0.814,0.859,0.878,3.185,1.261,-5.01,-4.91,-4.61,35.8,0,8,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,14,0,0,0,0,1,17,0,0,0,0,0,2,2,2,16,1,0,0,0,1,3,0,12,1,0,0,0,0,3,11,1,0,0,3,10,1,0,0,0,3,9,1,0,0,3,8,1,0,0,3,7,1,838.0,15.441,15.441,15.441,15.441,15.441,14.458,11.369,9.817,15.738,11.278,11.278,11.278,11.278,11.278,9.841,6.763,4.652,11.899,4.338,2.556,1.529,0.981,0.717,0.604,3.833,0,0,1,1,643.0,4.243,0.0,97.104,0.0,0.0,2.299
4.535,1.309,18.0,6.891,47.487,128.996,7.376,0.214,4.226,4.371,3.758,3.786,5.123,3.664,4.805,5.019,4.098,4.187,5.594,3.991,5.156,5.448,4.143,4.326,5.938,4.069,5.163,5.465,3.852,4.237,5.933,3.973,5.077,5.393,3.726,4.138,5.692,3.879,5.003,5.313,3.734,4.118,5.606,3.842,4.973,5.284,3.704,4.077,5.592,3.8,4.921,5.231,3.67,4.026,5.549,3.748,0.099,0.879,16.89,7.518,11.417,10.161,0.168,1.416,33.443,13.22,20.689,17.26,0.372,1.772,59.292,18.064,57.598,22.592,0.424,1.693,57.145,17.109,64.965,21.757,0.246,1.549,43.538,15.1,33.208,20.075,0.215,1.48,50.328,15.235,26.096,19.259,0.222,1.423,49.461,14.714,27.528,18.5,0.215,1.348,47.651,14.004,26.85,17.516,35,32,0.212,0.465,0.613,0.699,0.76,0.815,3.372,1.304,-6.07,-5.92,-5.5,35.3,0,13,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,19,0,0,0,0,1,22,0,0,0,0,0,2,2,2,21,1,0,0,0,1,3,0,17,1,0,0,0,0,3,16,1,0,0,3,15,1,0,0,0,3,14,1,0,0,3,13,1,0,0,3,12,1,1576.0,18.976,18.976,18.976,18.976,18.976,17.993,11.369,12.317,19.273,13.778,13.778,13.778,13.778,13.778,12.341,6.763,5.902,14.399,4.778,3.217,2.303,1.775,1.396,1.058,4.029,0,0,0,0,1001.0,4.796,0.0,124.638,0.0,0.0,3.0
4.78,1.371,14.917,5.066,25.667,110.592,7.954,0.25,4.041,4.182,3.642,3.612,4.989,3.494,4.601,4.805,4.005,4.01,5.446,3.82,4.943,5.223,4.052,4.147,5.8,3.896,4.952,5.246,3.729,4.04,5.794,3.78,4.844,5.154,3.585,3.918,5.511,3.665,4.751,5.052,3.594,3.893,5.407,3.619,4.712,5.014,3.56,3.841,5.39,3.566,4.643,4.944,3.521,3.775,5.337,3.5,0.086,0.726,13.073,6.111,11.146,8.147,0.142,1.162,26.56,10.853,19.859,13.919,0.338,1.461,51.745,15.178,55.209,18.463,0.4,1.385,50.627,14.338,64.215,17.708,0.221,1.238,36.364,12.264,32.213,16.036,0.187,1.169,43.625,12.389,24.313,15.181,0.195,1.111,42.783,11.872,25.992,14.417,0.187,1.036,40.885,11.147,25.258,13.416,31,28,0.232,0.526,0.696,0.79,0.846,0.88,3.225,1.271,-5.23,-5.12,-4.79,35.7,0,9,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,15,0,0,0,0,1,18,0,0,0,0,0,2,2,2,17,1,0,0,0,1,3,0,13,1,0,0,0,0,3,12,1,0,0,3,11,1,0,0,0,3,10,1,0,0,3,9,1,0,0,3,8,1,956.0,16.148,16.148,16.148,16.148,16.148,15.165,11.369,10.317,16.445,11.778,11.778,11.778,11.778,11.778,10.341,6.763,4.902,12.399,4.436,2.701,1.695,1.142,0.813,0.607,3.876,0,0,1,1,709.0,4.359,0.0,102.571,0.0,0.0,2.431
5.359,1.354,15.68,5.523,30.498,115.193,7.787,0.24,4.09,4.233,3.672,3.659,5.024,3.539,4.656,4.863,4.029,4.057,5.485,3.866,5.001,5.284,4.076,4.194,5.837,3.942,5.009,5.305,3.761,4.093,5.83,3.832,4.907,5.22,3.622,3.978,5.559,3.723,4.82,5.124,3.631,3.954,5.46,3.68,4.784,5.089,3.598,3.905,5.444,3.63,4.72,5.024,3.56,3.844,5.394,3.568,0.089,0.764,14.054,6.464,11.186,8.653,0.149,1.226,28.351,11.45,20.031,14.761,0.347,1.539,53.7,15.906,55.835,19.506,0.406,1.462,52.288,15.032,64.374,18.728,0.227,1.316,38.207,12.977,32.434,17.053,0.194,1.247,45.336,13.106,24.766,16.209,0.202,1.19,44.486,12.587,26.374,15.447,0.194,1.114,42.614,11.867,25.656,14.45,32,29,0.226,0.509,0.674,0.766,0.825,0.865,3.264,1.28,-5.45,-5.33,-4.97,35.6,0,10,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,16,0,0,0,0,1,19,0,0,0,0,0,2,2,2,18,1,0,0,0,1,3,0,14,1,0,0,0,0,3,13,1,0,0,3,12,1,0,0,0,3,11,1,0,0,3,10,1,0,0,3,9,1,1098.0,16.855,16.855,16.855,16.855,16.855,15.872,11.369,10.817,17.152,12.278,12.278,12.278,12.278,12.278,10.841,6.763,5.152,12.899,4.529,2.84,1.856,1.305,0.949,0.712,3.916,0,0,1,1,777.0,4.472,0.0,108.059,0.0,0.0,2.598
4.876,1.338,16.462,5.979,35.745,119.794,7.637,0.231,4.138,4.281,3.702,3.703,5.058,3.583,4.708,4.918,4.052,4.102,5.523,3.909,5.055,5.342,4.098,4.24,5.872,3.986,5.063,5.362,3.792,4.143,5.866,3.881,4.967,5.281,3.658,4.034,5.606,3.778,4.885,5.191,3.667,4.012,5.511,3.737,4.851,5.158,3.635,3.966,5.496,3.69,4.791,5.098,3.598,3.908,5.449,3.632,0.092,0.803,15.016,6.816,11.246,9.158,0.155,1.289,30.092,12.044,20.23,15.599,0.355,1.617,55.605,16.629,56.439,20.541,0.412,1.539,53.925,15.725,64.553,19.743,0.234,1.394,40.014,13.687,32.675,18.064,0.201,1.325,47.021,13.818,25.214,17.231,0.209,1.268,46.165,13.299,26.757,16.47,0.201,1.193,44.315,12.582,26.053,15.478,33,30,0.221,0.493,0.652,0.742,0.804,0.853,3.301,1.288,-5.66,-5.53,-5.15,35.5,0,11,0,0,0,1,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,17,0,0,0,0,1,20,0,0,0,0,0,2,2,2,19,1,0,0,0,1,3,0,15,1,0,0,0,0,3,14,1,0,0,3,13,1,0,0,0,3,12,1,0,0,3,11,1,0,0,3,10,1,1240.0,17.562,17.562,17.562,17.562,17.562,16.579,11.369,11.317,17.859,12.778,12.778,12.778,12.778,12.778,11.341,6.763,5.402,13.399,4.617,2.972,2.011,1.466,1.096,0.799,3.955,0,0,0,1,849.0,4.583,0.0,113.567,0.0,0.0,2.734
4.509,1.349,12.818,3.434,11.789,90.726,5.894,0.273,3.973,4.124,3.287,3.452,4.949,3.379,4.534,4.751,3.522,3.82,5.416,3.687,4.853,5.136,3.565,3.933,5.734,3.765,4.849,5.14,3.476,3.876,5.76,3.703,4.768,5.056,3.422,3.802,5.754,3.627,4.638,4.921,3.266,3.733,5.462,3.549,4.585,4.883,3.171,3.667,5.339,3.466,4.495,4.787,3.067,3.534,5.314,3.343,0.076,0.695,12.848,5.123,9.962,7.381,0.182,1.061,21.691,8.301,21.424,12.198,0.331,1.26,28.967,9.953,50.073,15.073,0.347,1.2,28.855,9.443,55.616,14.465,0.42,1.089,26.571,9.001,71.493,13.521,0.208,1.014,23.081,8.195,33.764,12.356,0.149,0.948,21.499,7.951,24.454,11.949,0.182,0.827,19.854,6.996,30.012,10.458,39,26,0.232,0.523,0.703,0.814,0.86,0.873,3.144,1.15,-4.84,-4.75,-4.46,34.6,1,8,0,0,0,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,1,1,1,1,0,12,0,0,0,1,4,13,1,0,1,1,1,1,3,1,12,0,0,2,0,1,1,1,9,0,0,2,1,1,3,10,2,0,1,3,9,2,0,1,0,4,7,1,0,1,4,6,1,0,1,3,5,1,692.0,14.897,14.897,14.897,14.897,14.897,14.043,13.692,9.615,14.984,10.798,10.798,10.798,10.798,10.798,9.457,14.592,4.499,10.935,4.351,2.664,1.616,0.976,0.707,0.63,3.79,0,1,1,1,548.0,4.123,0.0,86.911,0.0,0.0,2.289
5.807,1.206,14.0,4.825,23.276,91.892,5.165,0.0,4.053,4.214,3.22,3.494,4.914,3.39,4.649,4.886,3.379,3.862,5.384,3.682,4.994,5.308,3.428,3.98,5.754,3.751,4.985,5.303,3.306,3.928,5.763,3.688,4.883,5.21,3.163,3.846,5.492,3.592,4.792,5.118,3.1,3.774,5.376,3.522,4.755,5.082,3.043,3.714,5.358,3.463,4.689,5.017,2.976,3.64,5.304,3.39,0.094,0.723,14.611,5.956,9.632,8.548,0.158,1.086,23.621,9.216,17.336,13.515,0.35,1.259,30.101,10.83,52.218,16.255,0.395,1.193,29.441,10.351,58.908,15.572,0.216,1.093,25.828,9.653,28.113,14.408,0.186,1.018,23.705,8.907,21.13,13.321,0.193,0.961,22.784,8.381,22.437,12.584,0.186,0.892,21.311,7.751,21.788,11.669,49,21,0.206,0.407,0.584,0.678,0.754,0.821,3.098,1.34,-5.27,-5.16,-4.82,31.0,1,12,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14,0,0,0,0,1,13,0,0,0,0,0,2,2,2,12,1,0,0,0,1,3,0,11,1,0,0,0,0,3,10,1,0,0,3,9,1,0,0,0,3,8,1,0,0,3,7,1,0,0,3,6,1,708.0,14.261,14.261,14.261,14.261,14.261,14.054,5.97,9.613,14.333,9.794,9.794,9.794,9.794,9.794,9.462,4.517,4.544,9.953,4.652,3.476,2.438,1.887,1.443,1.047,3.725,0,0,1,1,550.0,4.583,0.0,0.0,0.0,0.0,2.381
