pXC50,Si,nBT,Sv,Se,nAT,MW,nH,nSK,nBO,Sp,nC,nCsp3,SCBO,nBM,nO,nAB,N.
4.523,62.705,57,34.484,55.992,55,437.56,25,30,32,36.04,21,8,41.0,15,3,12,5.5
7.833,81.767,75,43.583,72.4,72,509.67,35,37,40,45.722,27,12,49.5,18,5,17,6.9
6.2,66.936,62,34.584,58.658,59,385.56,31,28,31,37.04,22,14,36.0,8,3,6,5.1
4.523,67.702,60,36.527,60.196,59,467.6,27,32,33,38.051,21,7,43.0,16,3,12,8.5
4.523,60.373,55,34.452,54.327,53,448.54,22,31,33,35.523,21,5,44.5,20,3,17,7.5
8.914,55.278,52,31.158,49.418,49,386.52,22,27,30,32.887,19,7,37.5,13,3,11,8.2
5.022,77.225,72,43.89,68.432,69,492.67,32,37,40,46.591,31,5,54.0,26,2,24,5.8
4.57,62.373,57,36.452,56.327,55,472.56,22,33,35,37.523,23,3,48.0,22,3,18,7.3
5.0,72.023,67,41.527,63.952,64,481.62,28,36,39,43.557,29,3,53.0,26,1,24,7.8
8.432,69.524,66,39.739,62.069,62,476.65,28,34,38,42.171,26,8,48.5,19,3,17,6.5
9.337,53.441,50,29.466,47.56,47,355.44,21,26,29,30.483,18,6,37.0,16,3,16,10.6
4.0,39.112,37,22.445,34.716,35,252.34,16,19,21,23.796,16,3,28.0,13,1,12,5.7
8.804,76.517,72,43.1,67.978,68,497.65,31,37,41,45.29,29,8,53.5,24,3,23,7.4
6.569,54.983,51,30.267,48.578,49,336.47,24,25,27,32.296,21,6,35.5,17,2,17,4.1
5.167,73.81,69,42.364,65.549,66,478.64,30,36,39,44.83,30,4,53.0,26,2,24,6.1
7.2,36.112,34,19.445,31.716,32,216.31,16,16,18,20.796,13,6,22.0,7,1,6,6.3
8.041,69.524,66,39.739,62.069,62,476.65,28,34,38,42.171,26,8,48.5,19,3,17,6.5
8.73,66.109,63,38.212,59.185,59,462.62,26,33,37,40.409,25,7,47.5,19,3,17,6.8
8.376,60.687,57,33.101,53.236,54,361.53,27,27,30,35.608,23,8,38.5,17,1,17,5.6
7.565,57.398,53,30.794,50.461,51,338.49,26,25,27,33.057,21,8,34.0,13,2,12,3.9
6.319,90.901,83,48.699,80.428,80,567.74,39,41,44,51.177,32,15,54.0,16,4,12,3.8
7.056,86.572,79,47.57,77.534,76,584.68,34,42,45,48.807,30,12,56.0,17,6,12,5.3
6.398,89.774,82,48.479,79.319,79,564.74,38,41,44,50.966,32,15,55.0,16,3,12,5.1
7.796,80.031,73,43.823,71.541,70,543.63,31,39,42,44.836,27,10,52.0,16,5,12,7.1
4.0,41.611,39,23.467,36.818,37,267.36,17,20,22,24.801,16,4,29.0,13,1,12,8.1
7.801,69.524,66,39.739,62.069,62,476.65,28,34,38,42.171,26,8,48.5,19,3,17,6.5
8.35,69.524,66,39.739,62.069,62,476.65,28,34,38,42.171,26,8,48.5,19,3,17,6.5
7.0,88.154,80,48.086,78.854,77,600.69,34,43,46,49.057,29,11,57.0,17,6,12,7.8
6.357,87.778,80,47.382,78.09,77,570.7,36,41,44,49.114,30,13,54.0,16,5,12,5.2
8.056,86.861,79,46.876,77.309,76,571.69,35,41,44,48.358,29,12,54.0,16,5,12,6.6
7.77,78.765,72,43.935,70.538,69,562.07,30,39,42,45.239,27,10,52.0,16,4,12,7.2
4.0,37.279,35,21.434,33.153,33,254.32,14,19,21,22.284,14,3,28.0,13,1,12,12.1
7.553,88.395,81,48.727,79.381,78,593.7,35,43,46,50.085,30,12,59.0,19,8,12,6.4
7.9,34.7,33,20.6,31.127,31,259.36,13,18,20,21.926,13,3,26.5,12,1,11,9.7
7.824,78.765,72,43.935,70.538,69,562.07,30,39,42,45.239,27,10,52.0,16,4,12,7.2
6.301,88.501,80,47.419,78.312,77,577.7,36,41,44,49.08,31,15,53.0,15,2,12,3.9
6.143,84.818,77,46.151,75.418,74,569.68,33,41,44,47.392,28,10,55.0,17,4,12,9.5
6.06,92.19,84,49.006,81.203,81,566.76,40,41,44,51.728,32,15,54.0,16,3,12,4.9
7.569,87.268,81,48.507,78.272,77,590.7,34,43,47,49.875,30,12,60.0,21,7,16,7.8
8.3,35.907,34,20.633,32.16,32,242.3,14,18,20,21.489,14,3,26.5,12,2,11,6.3
4.0,36.279,34,20.434,32.153,32,242.31,14,18,20,21.284,13,3,26.5,12,1,11,12.5
7.7,34.7,33,20.6,31.127,31,259.36,13,18,20,21.926,13,3,26.5,12,1,11,9.7
6.886,85.446,78,47.35,76.425,75,581.68,33,42,45,48.597,30,12,57.0,17,5,12,6.7
7.824,91.81,84,50.254,82.265,81,607.73,37,44,47,51.847,31,13,60.0,19,8,12,6.2
4.0,39.032,37,22.632,34.793,35,272.4,16,19,21,24.443,15,4,27.5,12,1,11,5.7
4.0,39.694,37,21.961,35.036,35,256.34,16,19,21,23.046,14,4,27.5,12,1,11,11.4
6.854,88.695,81,47.887,78.872,78,569.71,37,41,44,49.87,31,14,54.0,16,5,12,3.8
8.05,65.125,60,36.68,58.429,57,459.51,24,33,36,37.33,24,8,45.5,18,3,17,5.3
7.301,85.837,79,47.631,76.832,76,583.14,35,41,44,49.79,30,12,55.0,17,6,12,5.3
7.4,75.77,70,40.54,67.196,67,467.62,33,34,37,42.711,26,11,45.5,17,5,17,4.5
4.0,39.322,37,22.16,35.043,35,256.33,16,19,21,23.25,15,4,27.5,12,2,11,5.7
4.69,26.203,23,13.8,23.502,23,169.2,11,12,12,14.176,8,2,15.0,6,3,6,4.3
4.0,38.116,36,22.127,34.011,34,273.39,15,19,21,23.688,14,4,27.5,12,1,11,8.8
8.4,35.617,34,21.106,31.909,32,258.37,14,18,20,22.682,14,3,26.5,12,1,11,6.3
7.569,92.391,86,51.825,82.61,82,611.76,37,45,49,53.938,34,11,64.0,24,6,18,6.1
6.2,37.279,35,21.434,33.153,33,254.32,14,19,21,22.284,14,3,28.0,13,1,12,12.1
7.91,57.485,54,32.191,51.451,51,381.47,23,28,31,33.449,21,7,40.0,17,4,16,5.9
6.509,89.774,82,48.479,79.319,79,564.74,38,41,44,50.966,32,15,55.0,16,3,12,5.1
6.495,91.486,85,51.172,81.545,81,601.75,37,44,48,53.415,35,12,61.0,22,4,18,3.7
6.66,74.481,69,40.234,66.421,66,468.6,32,34,37,42.159,26,11,45.5,17,6,17,3.0
6.564,87.861,80,47.876,78.309,77,583.7,35,42,45,49.358,30,12,56.0,17,5,12,6.5
7.523,85.786,78,47.733,76.938,75,599.67,32,43,46,48.534,30,12,58.0,17,5,12,6.7
5.979,86.572,79,47.57,77.534,76,584.68,34,42,45,48.807,30,12,56.0,17,6,12,5.3
4.0,38.196,36,21.94,33.934,34,253.33,15,19,21,23.04,15,3,28.0,13,1,12,8.8
6.602,84.363,77,45.855,75.207,74,556.67,34,40,43,47.353,29,12,53.0,16,5,12,5.4
7.444,90.569,84,50.667,80.763,80,602.74,36,44,48,52.66,34,11,61.0,22,4,18,5.0
6.31,85.15,78,46.237,75.108,75,534.71,36,39,42,48.751,31,14,53.0,16,2,12,5.3
6.886,88.493,80,48.469,79.367,77,618.68,33,44,47,48.995,29,11,58.0,17,6,12,7.8
5.886,84.446,77,46.35,75.425,74,569.67,33,41,44,47.597,29,11,55.0,17,5,12,6.8
6.137,85.786,78,47.733,76.938,75,599.67,32,43,46,48.534,30,12,58.0,17,5,12,6.7
6.398,81.948,76,45.328,73.323,72,554.65,32,40,44,46.591,29,12,54.0,16,5,12,5.6
6.319,88.565,81,47.764,77.992,78,548.74,38,40,43,50.512,32,15,54.0,16,2,12,5.1
7.824,79.904,73,44.603,71.432,70,552.64,30,40,43,45.625,28,10,55.0,17,4,12,8.6
5.796,84.98,78,47.201,76.498,75,579.67,33,42,45,48.324,29,11,58.0,19,8,12,6.7
6.357,87.486,80,47.172,77.545,77,553.71,37,40,43,49.415,31,14,53.0,16,4,12,3.9
6.469,80.821,74,45.108,72.214,71,551.65,31,40,43,46.381,29,11,55.0,17,4,12,7.0
7.0,89.684,82,49.034,80.156,79,592.72,36,43,46,50.637,30,12,59.0,19,7,12,7.6
7.602,85.655,78,47.064,76.752,75,585.67,33,42,45,48.051,29,11,56.0,17,6,12,6.7
6.387,88.774,81,47.479,78.319,78,552.73,38,40,43,49.966,31,14,53.0,16,3,12,5.1
6.796,83.529,76,45.844,74.643,73,570.66,32,41,44,46.841,28,10,55.0,17,5,12,8.2
6.602,101.728,94,54.85,89.425,90,613.86,45,45,49,58.552,38,16,61.0,21,2,18,3.3
8.076,78.765,72,43.935,70.538,69,562.07,30,39,42,45.239,27,10,52.0,16,4,12,7.2
7.444,79.738,73,43.613,70.996,70,526.64,32,38,41,45.137,28,11,51.0,16,4,12,5.7
7.367,83.256,75,45.785,74.636,72,595.63,30,42,45,45.955,28,11,55.0,16,4,12,6.9
7.31,84.738,77,46.559,75.97,74,586.66,32,42,45,47.296,28,11,57.0,18,6,12,8.1
5.504,95.952,88,52.721,86.141,84,658.74,37,47,51,53.722,33,15,62.0,17,7,12,4.8
7.0,86.268,79,47.507,77.272,76,578.69,34,42,45,48.875,29,11,58.0,19,7,12,7.9
5.55,80.742,75,45.516,72.767,71,568.63,30,41,45,46.284,29,11,56.0,17,6,12,5.6
6.77,82.32,75,45.129,73.316,72,554.66,32,40,43,46.387,28,10,54.0,17,4,12,8.3
7.174,87.774,80,46.479,77.319,77,540.72,38,39,42,48.966,30,14,51.0,15,3,12,5.2
7.108,86.233,79,47.186,77.021,76,566.69,35,41,44,48.87,30,12,55.0,17,6,12,5.3
6.066,104.229,96,56.774,92.297,92,658.86,44,48,52,59.705,38,15,65.0,22,4,18,4.3
7.0,94.897,88,51.796,83.657,84,585.8,41,43,47,55.029,36,14,59.0,21,2,18,3.6
6.857,93.099,85,50.561,83.04,82,606.75,38,44,47,52.398,31,13,60.0,19,7,12,7.3
6.292,86.861,79,46.876,77.309,76,571.69,35,41,44,48.358,29,12,54.0,16,5,12,6.6
6.854,88.691,81,46.984,78.101,78,539.73,39,39,42,49.722,31,15,51.0,15,3,12,3.8
8.13,65.125,60,36.68,58.429,57,459.51,24,33,36,37.33,24,8,45.5,18,3,17,5.3
6.53,56.196,53,31.885,50.676,50,382.45,22,28,31,32.898,21,7,40.0,17,5,16,4.0
7.638,81.323,74,45.032,73.087,71,572.63,30,41,44,45.534,27,10,56.0,18,6,12,8.5
7.097,97.399,90,53.721,86.53,86,630.8,40,46,50,56.182,36,13,63.0,22,4,18,4.7
6.569,83.153,76,45.14,73.879,73,540.67,34,39,42,46.898,29,12,52.0,16,4,12,5.5
7.319,85.837,79,47.631,76.832,76,583.14,35,41,44,49.79,30,12,55.0,17,6,12,5.3
7.745,83.446,76,45.35,74.425,73,557.66,33,40,43,46.597,28,11,53.0,16,5,12,6.8
5.928,90.308,83,49.33,80.392,80,574.74,38,42,45,51.694,32,13,58.0,19,6,12,5.0
4.403,85.391,77,44.825,75.61,75,527.69,37,38,40,46.938,27,14,50.0,13,6,6,6.7
5.308,92.806,85,50.351,82.494,82,589.76,39,43,46,52.699,32,13,59.0,19,6,12,6.1
6.143,91.225,85,49.835,81.174,81,573.75,39,42,46,52.449,33,14,57.0,17,6,12,3.7
5.1,59.97,54,32.766,53.767,53,408.92,25,28,29,34.279,20,8,36.0,10,5,6,3.8
5.467,93.723,87,50.857,83.276,83,588.77,40,43,47,53.455,33,14,58.0,17,6,12,4.8
6.99,51.768,48,29.457,46.312,46,361.87,21,25,27,31.086,20,7,34.0,13,2,12,2.2
4.613,94.095,86,50.658,83.269,83,588.78,40,43,46,53.25,32,13,59.0,19,5,12,7.2
4.403,71.727,65,37.815,63.305,63,441.59,31,32,34,39.745,23,11,43.0,12,4,6,7.9
5.724,83.767,77,45.583,74.4,74,533.69,35,39,42,47.722,29,11,54.0,18,5,12,6.8
4.538,88.102,81,48.518,78.836,78,576.71,36,42,45,50.387,31,12,58.0,19,7,12,5.1
6.284,96.016,88,53.066,85.821,85,629.78,39,46,49,55.154,34,14,64.0,20,7,12,5.9
5.565,92.806,85,50.351,82.494,82,589.76,39,43,46,52.699,32,13,59.0,19,6,12,6.1
5.3,39.694,37,21.961,35.036,35,256.34,16,19,21,23.046,14,4,27.5,12,1,11,11.4
8.2,37.196,35,20.94,32.934,33,241.32,15,18,20,22.04,14,3,26.5,12,1,11,9.1
8.551,58.607,56,31.509,51.789,52,354.49,26,26,30,33.512,21,12,36.0,11,3,10,3.8
6.95,40.321,38,22.939,35.567,36,271.42,17,19,21,24.995,15,4,27.5,12,0,11,8.3
7.33,40.611,38,22.467,35.818,36,255.35,17,19,21,23.801,15,4,27.5,12,1,11,8.3
4.0,39.694,37,21.961,35.036,35,256.34,16,19,21,23.046,14,4,27.5,12,1,11,11.4
4.0,42.9,40,23.773,37.592,38,266.38,18,20,22,25.353,16,4,29.0,13,0,12,10.5
5.7,50.463,47,30.187,45.774,45,505.26,19,26,28,32.586,17,5,36.0,14,3,12,6.7
7.52,39.484,37,22.246,34.709,35,252.35,16,19,21,23.591,15,3,28.0,13,0,12,11.4
4.0,36.279,34,20.434,32.153,32,242.31,14,18,20,21.284,13,3,26.5,12,1,11,12.5
8.79,36.279,34,20.434,32.153,32,242.31,14,18,20,21.284,13,3,26.5,12,1,11,12.5
8.43,36.279,34,20.434,32.153,32,242.31,14,18,20,21.284,13,3,26.5,12,1,11,12.5
7.11,38.568,36,21.741,33.927,34,253.34,15,19,21,22.836,14,3,28.0,13,0,12,14.7
5.3,41.066,38,22.762,36.029,36,268.36,16,20,22,23.841,14,3,29.0,13,0,12,16.7
