pXC50,Mp,Mv,nAB,C.,AMW,H.,nCsp3,nX,X.
5.824,0.671,0.623,22,41.7,7.155,48.6,11,1,1.4
5.602,0.703,0.666,16,44.2,8.183,41.9,5,1,2.3
6.0,0.694,0.656,22,45.5,7.909,43.6,6,2,3.6
4.959,0.695,0.655,16,43.5,7.954,43.5,6,1,2.2
6.092,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
4.735,0.615,0.548,0,36.8,5.405,60.5,10,0,0.0
4.699,0.65,0.556,0,34.0,5.552,62.0,13,0,0.0
4.699,0.611,0.549,0,35.1,5.578,59.5,10,0,0.0
5.409,0.677,0.572,0,34.3,5.789,61.2,17,0,0.0
4.699,0.625,0.569,0,36.6,5.986,56.1,11,0,0.0
4.796,0.631,0.566,0,39.5,5.661,58.1,11,0,0.0
5.658,0.67,0.61,12,46.0,6.28,52.4,11,0,0.0
4.699,0.644,0.581,6,41.7,5.864,56.3,10,0,0.0
5.013,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
4.387,0.661,0.625,12,40.0,7.563,47.3,8,1,1.8
4.959,0.663,0.622,12,40.0,7.478,48.0,7,1,2.0
5.387,0.648,0.6,12,38.7,6.936,51.6,11,1,1.6
4.125,0.658,0.619,12,39.7,7.414,48.3,9,1,1.7
5.051,0.662,0.621,12,42.0,6.97,48.0,7,0,0.0
5.481,0.648,0.6,12,38.7,6.936,51.6,11,1,1.6
4.959,0.663,0.622,12,40.0,7.478,48.0,7,1,2.0
4.721,0.662,0.621,12,42.0,6.97,48.0,7,0,0.0
6.62,0.648,0.6,12,38.7,6.936,51.6,11,1,1.6
4.959,0.655,0.61,12,39.3,7.178,50.0,9,1,1.8
5.292,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
4.409,0.655,0.605,12,41.2,6.559,51.0,8,0,0.0
4.638,0.655,0.605,12,41.2,6.559,51.0,8,0,0.0
4.06,0.658,0.619,12,39.7,7.414,48.3,9,1,1.7
4.824,0.672,0.621,12,40.0,8.062,49.1,9,1,1.8
5.2,0.644,0.615,12,37.7,7.639,47.5,10,2,3.3
4.638,0.665,0.615,12,41.1,7.107,50.0,10,1,1.8
4.0,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
4.0,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
5.796,0.671,0.627,17,43.5,6.923,47.8,5,0,0.0
5.171,0.68,0.633,17,41.8,8.299,47.3,8,1,1.8
4.796,0.686,0.641,17,42.3,8.507,46.2,7,1,1.9
5.18,0.675,0.627,17,41.4,8.111,48.3,9,1,1.7
5.398,0.702,0.642,17,41.8,8.591,47.3,8,1,1.8
5.921,0.667,0.626,11,42.1,7.01,47.4,5,0,0.0
5.797,0.677,0.628,23,45.5,6.798,48.5,9,0,0.0
5.585,0.677,0.628,23,45.5,6.798,48.5,9,0,0.0
4.699,0.618,0.562,5,35.1,5.929,56.8,10,0,0.0
5.004,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.301,0.633,0.595,6,32.6,7.423,50.0,8,0,0.0
4.678,0.688,0.649,16,41.5,7.996,43.9,5,1,2.4
4.208,0.633,0.581,10,37.5,6.218,54.2,11,0,0.0
5.119,0.703,0.659,21,45.8,7.852,43.8,5,1,2.1
6.481,0.691,0.643,16,44.2,7.578,46.5,5,1,2.3
4.959,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.347,0.703,0.659,21,45.8,7.852,43.8,5,1,2.1
4.602,0.669,0.626,16,42.9,6.962,47.6,5,0,0.0
4.0,0.623,0.58,6,37.3,6.397,53.7,17,0,0.0
5.0,0.65,0.611,6,36.6,7.557,48.8,8,1,2.4
4.0,0.617,0.567,6,36.6,6.083,56.1,9,0,0.0
4.0,0.615,0.563,6,36.4,5.987,56.8,10,0,0.0
4.0,0.609,0.56,6,35.0,6.043,56.7,15,0,0.0
4.903,0.68,0.633,17,41.8,8.299,47.3,8,1,1.8
4.979,0.709,0.65,17,42.3,8.817,46.2,7,1,1.9
4.237,0.683,0.646,11,44.2,7.382,44.2,5,0,0.0
5.268,0.652,0.602,11,40.5,6.524,51.4,5,0,0.0
5.276,0.703,0.666,11,44.2,8.183,41.9,5,1,2.3
5.143,0.683,0.646,11,44.2,7.382,44.2,5,0,0.0
4.939,0.674,0.634,17,44.4,7.099,46.7,5,0,0.0
4.523,0.658,0.629,12,42.3,7.317,46.2,8,0,0.0
4.699,0.635,0.598,12,39.3,6.796,50.8,11,1,1.6
5.137,0.699,0.653,17,45.1,8.615,45.1,6,1,2.0
4.222,0.62,0.571,6,36.9,6.163,55.4,17,0,0.0
4.87,0.703,0.666,11,44.2,8.183,41.9,5,1,2.3
4.699,0.641,0.593,12,36.9,6.872,52.3,12,0,0.0
4.398,0.622,0.577,6,37.1,6.324,54.3,18,0,0.0
4.699,0.645,0.579,5,32.3,6.818,54.8,7,0,0.0
5.167,0.687,0.628,17,43.1,7.129,49.0,7,0,0.0
4.403,0.703,0.666,11,44.2,8.183,41.9,5,1,2.3
5.4,0.658,0.645,10,37.0,8.047,40.7,0,0,0.0
5.26,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
7.745,0.631,0.575,10,37.8,6.032,55.6,10,0,0.0
5.373,0.679,0.634,12,41.2,8.439,47.1,8,1,2.0
5.456,0.674,0.627,12,40.7,8.23,48.1,9,1,1.9
5.0,0.645,0.589,6,40.5,6.172,54.1,9,0,0.0
4.642,0.615,0.561,5,35.7,5.915,57.1,10,0,0.0
4.0,0.61,0.546,5,35.0,5.51,60.0,10,0,0.0
5.363,0.693,0.645,17,44.4,8.396,46.3,7,1,1.9
4.721,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
4.081,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
4.854,0.672,0.62,11,45.0,6.61,50.0,6,0,0.0
5.222,0.663,0.622,12,40.0,7.478,48.0,7,1,2.0
5.369,0.725,0.659,17,45.1,9.537,45.1,6,1,2.0
5.608,0.693,0.645,17,44.4,8.396,46.3,7,1,1.9
5.358,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
4.824,0.684,0.643,11,45.5,7.192,45.5,6,0,0.0
4.469,0.654,0.6,11,42.1,6.326,52.6,6,0,0.0
4.155,0.678,0.638,16,41.3,7.758,45.7,6,1,2.2
4.417,0.641,0.604,12,40.3,6.88,50.0,12,1,1.6
4.0,0.621,0.573,10,35.7,6.224,54.8,8,0,0.0
4.0,0.649,0.584,10,35.7,6.607,54.8,8,0,0.0
4.0,0.626,0.585,11,36.4,6.578,52.3,8,0,0.0
4.222,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
6.26,0.704,0.662,16,45.5,7.975,43.2,5,1,2.3
5.276,0.684,0.643,16,45.5,7.192,45.5,5,0,0.0
6.347,0.723,0.681,16,45.5,8.757,40.9,5,2,4.5
6.056,0.723,0.681,16,45.5,8.757,40.9,5,2,4.5
5.854,0.678,0.638,16,41.3,7.758,45.7,6,1,2.2
5.921,0.692,0.656,16,43.2,8.065,43.2,5,1,2.3
4.699,0.61,0.546,0,35.0,5.51,60.0,11,0,0.0
5.481,0.696,0.649,22,45.5,7.582,45.5,6,1,1.8
4.538,0.655,0.605,12,41.2,6.559,51.0,8,0,0.0
4.456,0.661,0.625,12,40.0,7.563,47.3,8,1,1.8
5.432,0.68,0.631,12,41.7,8.403,47.9,7,1,2.1
5.041,0.672,0.621,12,40.0,8.062,49.1,9,1,1.8
4.854,0.655,0.61,12,39.3,7.178,50.0,9,1,1.8
4.66,0.649,0.6,12,41.1,6.492,51.8,10,0,0.0
4.638,0.655,0.605,12,41.2,6.559,51.0,8,0,0.0
4.921,0.655,0.61,12,39.3,7.178,50.0,9,1,1.8
6.0,0.65,0.606,12,42.1,6.676,50.9,11,1,1.8
5.598,0.648,0.607,12,41.1,6.813,50.0,10,1,1.8
4.699,0.625,0.569,5,36.6,5.986,56.1,10,0,0.0
4.699,0.655,0.61,12,39.3,7.178,50.0,9,1,1.8
4.0,0.611,0.555,6,35.5,5.816,58.1,16,0,0.0
4.222,0.62,0.574,6,37.0,6.256,54.8,19,0,0.0
6.377,0.69,0.646,12,42.9,7.782,45.2,5,1,2.4
7.745,0.67,0.635,12,41.8,7.901,45.5,9,3,5.5
4.631,0.627,0.583,6,38.0,6.404,53.5,19,0,0.0
4.215,0.658,0.612,11,42.5,6.71,50.0,6,0,0.0
5.658,0.683,0.637,16,42.2,7.575,46.7,6,1,2.2
5.284,0.68,0.631,12,41.7,8.403,47.9,7,1,2.1
5.553,0.648,0.6,12,38.7,6.936,51.6,11,1,1.6
5.227,0.693,0.645,17,44.4,8.396,46.3,7,1,1.9
5.125,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.658,0.683,0.646,11,44.2,7.382,44.2,5,0,0.0
4.921,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
6.0,0.683,0.635,16,40.8,8.477,46.9,7,1,2.0
5.126,0.659,0.616,12,39.6,7.32,49.1,8,1,1.9
5.0,0.667,0.629,12,42.6,7.116,46.8,6,0,0.0
6.0,0.702,0.655,16,42.2,8.341,44.4,6,2,4.4
6.0,0.683,0.637,16,42.2,7.575,46.7,6,1,2.2
6.0,0.673,0.653,16,41.7,8.519,41.7,7,4,8.3
6.0,0.694,0.641,16,42.2,8.563,46.7,6,1,2.2
6.0,0.691,0.647,16,39.5,9.007,44.2,6,1,2.3
6.0,0.683,0.657,16,41.7,9.445,41.7,7,4,8.3
4.569,0.624,0.583,6,35.6,6.535,52.5,15,0,0.0
6.0,0.664,0.618,16,42.2,6.81,48.9,6,0,0.0
6.0,0.713,0.66,16,42.2,9.328,44.4,6,2,4.4
5.0,0.623,0.58,6,37.3,6.397,53.7,17,0,0.0
4.398,0.625,0.583,6,37.5,6.478,53.1,16,0,0.0
4.699,0.621,0.582,6,36.8,6.539,52.9,17,0,0.0
4.398,0.626,0.578,6,37.9,6.252,54.5,17,0,0.0
6.0,0.672,0.631,16,40.8,7.57,46.9,7,1,2.0
4.301,0.655,0.616,12,38.7,7.397,48.4,11,0,0.0
4.222,0.646,0.601,12,37.3,7.095,50.8,10,0,0.0
4.0,0.617,0.57,6,36.5,6.185,55.4,19,0,0.0
6.0,0.68,0.643,16,39.5,7.974,44.2,6,1,2.3
6.0,0.655,0.635,16,41.7,7.801,43.8,7,3,6.3
4.398,0.647,0.611,12,41.0,6.927,49.2,11,0,0.0
4.398,0.643,0.588,11,41.3,6.162,54.3,9,0,0.0
4.097,0.618,0.574,6,36.4,6.312,54.5,16,0,0.0
4.699,0.627,0.587,6,37.7,6.567,52.5,15,0,0.0
5.0,0.593,0.52,0,33.3,4.966,64.4,15,0,0.0
4.921,0.659,0.612,12,41.7,6.677,50.0,7,0,0.0
4.398,0.65,0.616,12,41.4,7.044,48.3,10,0,0.0
5.0,0.593,0.521,0,33.3,4.986,64.3,14,0,0.0
4.699,0.644,0.597,12,37.1,6.978,51.6,11,0,0.0
5.0,0.625,0.559,6,38.5,5.574,59.0,9,0,0.0
5.0,0.625,0.559,6,38.5,5.574,59.0,9,0,0.0
5.0,0.628,0.564,6,38.9,5.649,58.3,8,0,0.0
5.0,0.593,0.52,0,33.3,4.966,64.4,15,0,0.0
5.0,0.593,0.52,0,33.3,4.966,64.4,15,0,0.0
4.921,0.652,0.615,16,40.0,7.07,48.0,8,1,2.0
4.959,0.653,0.608,16,40.0,6.71,50.0,8,0,0.0
4.569,0.649,0.61,16,39.2,6.892,49.0,8,0,0.0
6.102,0.645,0.61,16,37.5,7.028,48.2,10,0,0.0
5.076,0.64,0.608,16,37.0,7.084,48.1,8,0,0.0
5.0,0.625,0.559,6,38.5,5.574,59.0,9,0,0.0
4.523,0.64,0.606,12,39.0,6.975,49.2,11,0,0.0
5.149,0.67,0.624,16,40.0,7.399,48.0,8,1,2.0
5.0,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
6.602,0.647,0.608,16,38.6,6.887,49.1,10,0,0.0
5.167,0.64,0.601,16,37.5,6.796,50.0,9,0,0.0
6.796,0.646,0.614,16,38.6,7.203,47.4,10,1,1.8
5.167,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.059,0.619,0.559,6,37.2,5.754,58.1,10,0,0.0
6.284,0.643,0.61,16,37.9,7.044,48.3,10,0,0.0
5.337,0.667,0.626,11,42.1,7.01,47.4,5,0,0.0
4.229,0.649,0.61,16,39.2,6.892,49.0,8,0,0.0
4.658,0.651,0.61,16,38.8,6.867,49.0,8,0,0.0
5.678,0.687,0.641,16,40.0,8.088,46.0,8,2,4.0
4.959,0.649,0.61,16,39.2,6.892,49.0,8,0,0.0
5.076,0.646,0.604,16,38.9,6.769,50.0,9,0,0.0
5.824,0.677,0.637,16,38.6,8.095,45.6,10,2,3.5
5.18,0.646,0.604,16,38.9,6.769,50.0,9,0,0.0
5.699,0.669,0.623,11,43.6,6.805,48.7,5,0,0.0
5.569,0.686,0.639,17,46.9,6.969,46.9,5,0,0.0
6.357,0.624,0.595,6,36.4,6.964,50.0,2,0,0.0
4.523,0.664,0.619,17,43.1,6.814,49.0,7,0,0.0
4.87,0.687,0.628,17,43.1,7.129,49.0,7,0,0.0
5.678,0.673,0.624,17,44.7,6.755,48.9,5,0,0.0
7.589,0.689,0.64,12,44.7,7.574,47.4,5,1,2.6
4.0,0.691,0.645,22,44.3,8.303,45.9,8,1,1.6
5.456,0.68,0.633,17,41.8,8.299,47.3,8,1,1.8
5.347,0.702,0.642,17,41.8,8.591,47.3,8,1,1.8
4.143,0.668,0.626,17,43.8,6.947,47.9,6,0,0.0
4.757,0.699,0.658,17,43.5,9.007,43.5,5,1,2.2
5.036,0.693,0.636,17,43.8,7.282,47.9,6,0,0.0
5.305,0.702,0.642,17,41.8,8.591,47.3,8,1,1.8
5.314,0.692,0.649,17,42.9,8.742,44.9,6,1,2.0
5.903,0.716,0.658,17,42.9,9.07,44.9,6,1,2.0
4.71,0.7,0.644,17,44.4,7.456,46.7,5,0,0.0
5.051,0.678,0.628,17,41.1,8.133,48.2,8,1,1.8
5.264,0.675,0.627,17,41.4,8.111,48.3,9,1,1.7
4.81,0.686,0.641,17,42.3,8.507,46.2,7,1,1.9
5.097,0.686,0.641,17,42.3,8.507,46.2,7,1,1.9
5.048,0.675,0.627,17,41.4,8.111,48.3,9,1,1.7
4.0,0.622,0.556,6,38.1,5.51,59.5,10,0,0.0
4.0,0.699,0.666,16,43.9,8.313,41.5,4,1,2.4
4.658,0.663,0.613,11,39.1,7.193,50.0,9,1,2.2
4.081,0.639,0.594,10,37.1,6.581,51.4,6,0,0.0
5.921,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.77,0.733,0.658,16,42.9,9.96,45.2,5,1,2.4
4.824,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.921,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.678,0.647,0.599,10,39.4,6.525,51.5,6,0,0.0
4.796,0.687,0.628,12,42.6,7.181,48.9,7,0,0.0
4.699,0.657,0.611,12,42.0,6.71,50.0,8,0,0.0
4.921,0.665,0.631,12,37.3,7.873,45.1,8,0,0.0
5.0,0.629,0.585,6,33.3,7.139,52.4,7,1,2.4
5.206,0.661,0.618,12,42.6,6.84,48.9,7,0,0.0
4.745,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.495,0.69,0.646,16,42.9,7.782,45.2,5,1,2.4
4.721,0.675,0.639,16,41.2,7.822,45.1,7,1,2.0
4.886,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
4.0,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
4.538,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
4.0,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
4.167,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
4.097,0.615,0.561,5,35.7,5.915,57.1,10,0,0.0
4.0,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
4.328,0.615,0.561,5,35.7,5.915,57.1,10,0,0.0
4.149,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
4.0,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
4.357,0.608,0.543,5,34.9,5.452,60.5,11,0,0.0
4.0,0.615,0.561,5,35.7,5.915,57.1,10,0,0.0
4.0,0.605,0.547,5,34.1,5.692,59.1,11,0,0.0
