pXC50,Me,nH,AMW,nN,nDB,N.,nHet,nC,H.,C.,nCsp2,nCsp3,nHM,nS,Si,Sv,nAT,RBN,Sp,RBF,Mi,nBO,SCBO,nSK,Mv,X.,nAB,nBT,MW,Se
7.304,1.042,12,10.053,1,4,2.9,8,14,35.3,41.2,11,3,2,1,37.901,23.771,34,4,24.352,0.114,1.115,23,30.0,22,0.699,2.9,6,35,341.79,35.44
7.959,1.003,30,7.317,1,1,1.5,6,29,46.2,44.6,20,9,0,0,72.904,41.166,65,7,43.182,0.101,1.122,39,49.0,35,0.633,1.5,18,69,475.6,65.178
7.638,0.998,27,7.281,1,1,1.7,5,27,45.8,45.8,20,7,0,0,65.734,37.729,59,5,39.722,0.079,1.114,36,46.0,32,0.639,0.0,18,63,429.55,58.898
6.967,0.995,31,7.04,1,1,1.5,5,29,47.7,44.6,20,9,0,0,72.564,40.783,65,7,43.245,0.101,1.116,38,48.0,34,0.627,0.0,18,69,457.61,64.665
7.553,0.995,31,7.04,1,1,1.5,5,29,47.7,44.6,20,9,0,0,72.564,40.783,65,7,43.245,0.101,1.116,38,48.0,34,0.627,0.0,18,69,457.61,64.665
5.408,1.005,14,7.952,0,1,0.0,3,18,40.0,51.4,17,1,0,0,38.535,23.832,35,3,24.693,0.081,1.101,23,32.5,21,0.681,0.0,17,37,278.32,35.167
7.334,1.05,11,9.42,0,2,0.0,6,17,32.4,50.0,15,2,0,0,38.554,23.982,34,1,23.506,0.028,1.134,25,33.0,23,0.705,8.8,12,36,320.28,35.705
6.085,1.026,10,8.651,0,1,0.0,4,14,35.7,50.0,13,1,0,0,30.914,19.493,28,1,19.625,0.033,1.104,20,27.0,18,0.696,0.0,12,30,242.24,28.727
4.457,1.005,18,7.7,1,0,2.4,4,20,42.9,47.6,18,2,0,0,46.994,27.576,42,6,28.705,0.136,1.119,26,35.0,24,0.657,2.4,18,44,323.39,42.222
5.239,1.027,10,9.544,0,4,0.0,5,15,33.3,50.0,15,0,1,1,32.834,21.68,30,1,22.273,0.031,1.094,22,32.0,20,0.723,0.0,12,32,286.32,30.804
5.151,1.03,11,9.378,0,2,0.0,5,15,35.5,48.4,14,1,1,0,34.273,21.848,31,5,22.244,0.156,1.106,21,29.0,20,0.705,3.2,12,32,290.71,31.935
4.38,1.001,22,7.096,0,1,0.0,4,20,47.8,43.5,14,6,0,0,51.405,28.654,46,3,30.193,0.063,1.117,26,33.0,24,0.623,0.0,12,48,326.42,46.029
7.357,1.01,24,7.723,0,1,0.0,6,26,42.9,46.4,20,6,0,0,62.239,36.61,56,5,37.864,0.083,1.111,36,46.0,32,0.654,0.0,18,60,432.5,56.567
7.066,1.001,32,7.256,2,1,2.9,7,30,46.4,43.5,20,10,0,0,77.272,43.519,69,5,45.705,0.068,1.12,42,52.0,37,0.631,0.0,18,74,500.64,69.094
7.796,1.018,22,8.118,0,2,0.0,7,26,40.0,47.3,21,5,0,0,61.033,36.798,55,5,37.557,0.085,1.11,37,48.0,33,0.669,0.0,18,59,446.48,56.011
6.237,1.001,32,7.256,2,1,2.9,7,30,46.4,43.5,20,10,0,0,77.272,43.519,69,5,45.705,0.068,1.12,42,52.0,37,0.631,0.0,18,74,500.64,69.094
5.0,0.997,35,7.037,1,1,1.4,6,32,47.9,43.8,20,12,0,0,81.604,45.551,73,7,48.222,0.09,1.118,43,53.0,38,0.624,0.0,18,78,513.68,72.76
7.921,1.004,27,7.426,1,1,1.7,6,27,45.0,45.0,20,7,0,0,66.943,38.444,60,5,40.176,0.078,1.116,37,47.0,33,0.641,0.0,18,64,445.55,60.225
7.699,0.997,35,6.968,1,1,1.4,6,31,48.6,43.1,20,11,0,0,80.604,44.551,72,7,47.222,0.092,1.119,41,51.0,37,0.619,0.0,18,76,501.67,71.76
7.733,0.997,35,6.968,1,1,1.4,6,31,48.6,43.1,20,11,0,0,80.604,44.551,72,7,47.222,0.092,1.119,41,51.0,37,0.619,0.0,18,76,501.67,71.76
6.0,1.003,29,7.749,1,1,1.5,7,29,44.6,44.6,20,9,1,1,72.278,42.158,65,5,44.585,0.071,1.112,41,51.0,36,0.649,0.0,18,70,503.66,65.185
6.979,0.998,27,7.281,1,1,1.7,5,27,45.8,45.8,20,7,0,0,65.734,37.729,59,5,39.722,0.079,1.114,36,46.0,32,0.639,0.0,18,63,429.55,58.898
7.114,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,5,46.461,0.067,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.201,0.995,31,7.115,1,1,1.5,5,30,47.0,45.5,20,10,0,0,73.564,41.783,66,5,44.245,0.07,1.115,40,50.0,35,0.633,0.0,18,71,469.62,65.665
4.658,0.98,35,5.862,3,2,4.9,4,22,57.4,36.1,9,13,0,0,69.348,34.208,61,6,37.654,0.097,1.137,27,32.0,26,0.561,0.0,6,62,357.6,59.77
7.873,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,5,46.461,0.067,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.854,1.002,29,7.369,1,1,1.6,6,29,45.3,45.3,20,9,0,0,71.358,40.971,64,5,42.938,0.072,1.115,40,50.0,35,0.64,0.0,18,69,471.59,64.109
8.06,1.002,29,7.369,1,1,1.6,6,29,45.3,45.3,20,9,0,0,71.358,40.971,64,5,42.938,0.072,1.115,40,50.0,35,0.64,0.0,18,69,471.59,64.109
6.42,1.0,31,7.248,1,1,1.5,6,30,46.3,44.8,20,10,0,0,74.773,42.497,67,5,44.699,0.069,1.116,41,51.0,36,0.634,0.0,18,72,485.62,66.992
6.699,1.0,31,7.248,1,1,1.5,6,30,46.3,44.8,20,10,0,0,74.773,42.497,67,5,44.699,0.069,1.116,41,51.0,36,0.634,0.0,18,72,485.62,66.992
4.523,0.979,37,5.708,3,1,4.8,4,22,58.7,34.9,7,15,0,0,71.763,34.735,63,7,38.415,0.109,1.139,27,31.0,26,0.551,0.0,6,64,359.62,61.654
6.854,0.993,33,7.009,1,1,1.4,5,31,47.8,44.9,20,11,0,0,76.979,43.309,69,5,46.006,0.068,1.116,41,51.0,36,0.628,0.0,18,74,483.65,68.549
6.699,0.995,31,7.115,1,1,1.5,5,30,47.0,45.5,20,10,0,0,73.564,41.783,66,5,44.245,0.07,1.115,40,50.0,35,0.633,0.0,18,71,469.62,65.665
6.0,1.003,29,7.749,1,1,1.5,7,29,44.6,44.6,20,9,1,1,72.278,42.158,65,5,44.585,0.071,1.112,41,51.0,36,0.649,0.0,18,70,503.66,65.185
7.658,0.993,33,7.009,1,1,1.4,5,31,47.8,44.9,20,11,0,0,76.979,43.309,69,5,46.006,0.068,1.116,41,51.0,36,0.628,0.0,18,74,483.65,68.549
7.004,0.995,31,7.115,1,1,1.5,5,30,47.0,45.5,20,10,0,0,73.564,41.783,66,5,44.245,0.07,1.115,40,50.0,35,0.633,0.0,18,71,469.62,65.665
7.387,0.993,33,7.009,1,1,1.4,5,31,47.8,44.9,20,11,0,0,76.979,43.309,69,5,46.006,0.068,1.116,41,51.0,36,0.628,0.0,18,74,483.65,68.549
7.509,1.0,31,7.248,1,1,1.5,6,30,46.3,44.8,20,10,0,0,74.773,42.497,67,5,44.699,0.069,1.116,41,51.0,36,0.634,0.0,18,72,485.62,66.992
7.62,0.995,31,7.115,1,1,1.5,5,30,47.0,45.5,20,10,0,0,73.564,41.783,66,5,44.245,0.07,1.115,40,50.0,35,0.633,0.0,18,71,469.62,65.665
5.0,0.984,29,6.391,1,1,1.8,3,23,52.7,41.8,9,14,0,0,61.73,32.826,55,0,35.574,0.0,1.122,30,36.0,26,0.597,0.0,10,59,351.53,54.127
7.721,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,5,46.461,0.067,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.509,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.721,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.896,1.014,27,7.901,1,3,1.5,8,30,41.5,46.2,22,8,0,0,72.362,42.873,65,6,44.085,0.086,1.113,43,55.0,38,0.66,0.0,18,70,513.58,65.88
8.246,1.014,27,7.901,1,3,1.5,8,30,41.5,46.2,22,8,0,0,72.362,42.873,65,6,44.085,0.086,1.113,43,55.0,38,0.66,0.0,18,70,513.58,65.88
7.959,1.013,22,7.896,0,1,0.0,6,25,41.5,47.2,20,5,0,0,58.824,35.084,53,4,36.102,0.07,1.11,35,45.0,31,0.662,0.0,18,57,418.47,53.683
7.456,1.007,29,7.501,1,1,1.5,7,29,44.6,44.6,20,9,0,0,72.568,41.685,65,5,43.392,0.071,1.116,41,51.0,36,0.641,0.0,18,70,487.59,65.436
7.959,1.007,29,7.501,1,1,1.5,7,29,44.6,44.6,20,9,0,0,72.568,41.685,65,5,43.392,0.071,1.116,41,51.0,36,0.641,0.0,18,70,487.59,65.436
7.523,0.998,27,7.281,1,1,1.7,5,27,45.8,45.8,20,7,0,0,65.734,37.729,59,5,39.722,0.079,1.114,36,46.0,32,0.639,0.0,18,63,429.55,58.898
7.73,1.016,25,8.057,1,3,1.6,8,29,40.3,46.8,22,7,0,0,68.947,41.347,62,5,42.324,0.075,1.112,42,54.0,37,0.667,0.0,18,67,499.55,62.996
7.004,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.62,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
8.155,0.998,33,7.138,1,1,1.4,6,31,47.1,44.3,20,11,0,0,78.189,44.024,70,6,46.461,0.08,1.117,42,52.0,37,0.629,0.0,18,75,499.65,69.876
7.678,1.0,31,7.248,1,1,1.5,6,30,46.3,44.8,20,10,0,0,74.773,42.497,67,5,44.699,0.069,1.116,41,51.0,36,0.634,0.0,18,72,485.62,66.992
6.967,1.003,30,7.317,1,1,1.5,6,29,46.2,44.6,20,9,0,0,72.904,41.166,65,7,43.182,0.101,1.122,39,49.0,35,0.633,1.5,18,69,475.6,65.178
7.796,1.0,31,7.248,1,1,1.5,6,30,46.3,44.8,20,10,0,0,74.773,42.497,67,5,44.699,0.069,1.116,41,51.0,36,0.634,0.0,18,72,485.62,66.992
6.626,0.989,36,6.657,0,2,0.0,4,31,50.7,43.7,14,17,0,0,79.311,43.342,71,3,46.523,0.039,1.117,40,48.0,35,0.61,0.0,12,76,472.67,70.214
6.758,0.995,40,6.743,0,2,0.0,6,33,50.6,41.8,14,19,0,0,88.56,47.825,79,7,50.955,0.083,1.121,44,52.0,39,0.605,0.0,12,84,532.73,78.636
6.459,0.992,37,7.155,1,2,1.3,6,33,48.7,43.4,18,15,1,1,84.73,47.55,76,3,51.177,0.037,1.115,45,56.0,39,0.626,0.0,18,82,543.78,75.392
7.346,0.987,30,6.62,0,0,0.0,3,26,50.8,44.1,12,14,0,0,65.856,36.046,59,1,38.784,0.016,1.116,34,40.0,29,0.611,0.0,12,64,390.56,58.236
6.496,0.992,38,6.703,0,2,0.0,5,32,50.7,42.7,14,18,0,0,83.936,45.583,75,5,48.739,0.063,1.119,42,50.0,37,0.608,0.0,12,80,502.7,74.425
7.644,0.992,35,6.84,1,1,1.4,5,31,49.3,43.7,13,17,0,0,79.394,43.836,71,4,46.767,0.053,1.118,41,50.0,36,0.617,0.0,12,76,485.67,70.432
6.526,1.0,27,7.764,1,1,1.6,6,28,44.3,45.9,21,7,1,1,67.654,39.916,61,7,42.37,0.108,1.109,38,50.0,34,0.654,0.0,22,65,473.63,60.974
5.0,1.014,19,8.052,2,3,4.3,6,22,40.4,46.8,19,3,0,0,52.701,31.312,47,7,32.165,0.143,1.121,30,42.0,28,0.666,2.1,18,49,378.43,47.651
4.301,1.038,4,12.283,0,1,0.0,4,7,26.7,46.7,7,0,2,2,16.089,11.857,15,1,12.727,0.063,1.073,12,17.5,11,0.79,0.0,9,16,184.25,15.575
5.0,1.036,24,9.288,3,1,4.7,12,28,37.5,43.8,21,7,2,0,72.637,43.577,64,9,44.262,0.134,1.135,43,55.5,40,0.681,7.8,23,67,594.45,66.287
5.0,1.039,22,9.555,3,1,4.8,12,28,35.5,45.2,21,7,2,0,70.222,43.05,62,9,43.5,0.136,1.133,44,56.5,40,0.694,8.1,23,66,592.43,64.403
5.337,1.059,10,9.082,1,1,3.7,6,11,37.0,40.7,7,4,0,0,31.427,17.762,27,0,17.296,0.0,1.164,18,22.0,17,0.658,11.1,6,28,245.22,28.596
7.569,0.996,28,7.477,2,0,3.3,6,26,46.7,43.3,18,8,1,1,66.942,38.223,60,4,40.921,0.063,1.116,36,45.0,32,0.637,0.0,18,64,448.63,59.749
6.438,0.996,28,7.477,2,0,3.3,6,26,46.7,43.3,18,8,1,1,66.942,38.223,60,3,40.921,0.047,1.116,36,45.0,32,0.637,0.0,18,64,448.63,59.749
7.229,0.998,26,7.625,2,0,3.5,6,25,45.6,43.9,18,7,1,1,63.527,36.696,57,3,39.159,0.049,1.115,35,44.0,31,0.644,0.0,18,61,434.6,56.865
6.904,1.003,29,7.876,1,3,1.5,7,31,43.3,46.3,24,7,1,1,74.278,44.158,67,9,46.585,0.127,1.109,42,56.0,38,0.659,0.0,22,71,527.68,67.185
7.569,0.993,27,7.14,1,0,1.9,5,22,50.0,40.7,12,10,1,1,60.444,33.201,54,5,35.915,0.088,1.119,30,36.0,27,0.615,0.0,12,57,385.57,53.647
6.587,0.996,31,7.349,1,0,1.5,6,28,47.7,43.1,18,10,1,1,72.484,40.97,65,7,43.892,0.101,1.115,38,47.0,34,0.63,0.0,18,69,477.67,64.741
5.432,1.004,23,7.436,1,3,2.1,6,18,48.9,38.3,7,11,1,1,52.823,28.863,47,2,30.847,0.04,1.124,27,33.0,24,0.614,0.0,6,50,349.49,47.207
7.06,0.999,26,9.23,1,0,1.7,7,26,44.1,44.1,18,8,3,2,65.206,39.414,59,6,42.915,0.095,1.105,37,46.0,33,0.668,1.7,18,63,544.57,58.952
6.73,0.991,31,7.214,1,0,1.6,5,28,48.4,43.8,18,10,1,1,71.275,40.255,64,6,43.438,0.088,1.114,37,46.0,33,0.629,0.0,18,68,461.67,63.414
6.955,0.997,28,9.01,1,0,1.6,7,27,45.2,43.5,18,9,3,2,68.621,40.94,62,6,44.676,0.091,1.107,38,47.0,34,0.66,1.6,18,66,558.6,61.836
6.939,0.996,25,7.629,1,0,1.8,5,25,45.5,45.5,18,7,1,1,61.029,35.674,55,3,38.154,0.051,1.11,34,43.0,30,0.649,0.0,18,59,419.58,54.763
6.793,0.997,28,9.01,1,0,1.6,7,27,45.2,43.5,18,9,3,2,68.621,40.94,62,6,44.676,0.091,1.107,38,47.0,34,0.66,1.6,18,66,558.6,61.836
5.515,1.038,15,7.796,3,1,9.1,8,10,45.5,30.3,7,3,0,0,38.033,19.799,33,5,19.858,0.152,1.153,18,22.0,18,0.6,0.0,6,33,257.28,34.244
4.926,1.072,27,9.138,0,1,0.0,15,27,39.1,39.1,8,19,0,0,82.139,43.948,69,7,42.324,0.097,1.19,45,49.0,42,0.637,18.8,6,72,630.54,73.992
4.8,1.068,29,8.952,0,1,0.0,15,28,40.3,38.9,8,20,0,0,85.554,45.475,72,8,44.086,0.107,1.188,46,50.0,43,0.632,18.1,6,75,644.57,76.875
4.8,1.068,29,8.952,0,1,0.0,15,28,40.3,38.9,8,20,0,0,85.554,45.475,72,8,44.086,0.107,1.188,46,50.0,43,0.632,18.1,6,75,644.57,76.875
4.851,1.063,31,8.781,0,1,0.0,15,29,41.3,38.7,8,21,0,0,88.969,47.002,75,9,45.847,0.115,1.186,47,51.0,44,0.627,17.3,6,78,658.6,79.759
4.301,1.003,22,7.139,3,1,7.1,6,14,52.4,33.3,7,7,1,0,48.01,24.589,42,7,26.398,0.167,1.143,20,24.0,20,0.585,2.4,6,42,299.84,42.12
4.8,1.034,29,7.85,0,1,0.0,9,25,46.0,39.7,8,17,0,0,73.27,38.595,63,4,39.177,0.061,1.163,37,41.0,34,0.613,11.1,6,66,494.54,65.148
4.8,1.034,29,7.85,0,1,0.0,9,25,46.0,39.7,8,17,0,0,73.27,38.595,63,5,39.177,0.076,1.163,37,41.0,34,0.613,11.1,6,66,494.54,65.148
4.809,1.031,31,7.706,0,1,0.0,9,26,47.0,39.4,8,18,0,0,76.686,40.122,66,6,40.938,0.087,1.162,38,42.0,35,0.608,10.6,6,69,508.57,68.032
4.759,1.038,27,8.008,0,1,0.0,9,24,45.0,40.0,8,16,0,0,69.855,37.068,60,3,37.415,0.048,1.164,36,40.0,33,0.618,11.7,6,63,480.51,62.265
4.906,1.038,27,8.008,0,1,0.0,9,24,45.0,40.0,8,16,0,0,69.855,37.068,60,4,37.415,0.063,1.164,36,40.0,33,0.618,11.7,6,63,480.51,62.265
4.8,1.034,29,7.85,0,1,0.0,9,25,46.0,39.7,8,17,0,0,73.27,38.595,63,5,39.177,0.076,1.163,37,41.0,34,0.613,11.1,6,66,494.54,65.148
6.575,0.995,27,7.893,1,0,1.7,6,26,45.8,44.1,18,8,2,2,65.364,38.388,59,6,41.563,0.095,1.108,36,45.0,32,0.651,0.0,18,63,465.68,58.723
5.271,0.982,35,6.413,1,3,1.5,3,29,52.2,43.3,11,16,0,0,74.976,40.407,67,2,43.858,0.028,1.119,36,44.0,32,0.603,0.0,6,71,429.65,65.778
10.319,0.988,20,7.192,2,1,4.5,3,21,45.5,47.7,19,2,0,0,48.943,28.499,44,5,30.319,0.109,1.112,26,36.0,24,0.648,0.0,18,46,316.43,43.483
8.77,0.998,15,7.82,1,1,2.7,3,19,40.5,51.4,19,0,0,0,40.824,25.139,37,3,26.245,0.077,1.103,24,34.0,22,0.679,0.0,18,39,289.35,36.942
4.301,1.009,26,7.838,4,2,6.9,9,23,44.8,39.7,15,8,1,1,65.318,36.927,58,8,38.864,0.131,1.126,35,45.0,32,0.637,0.0,16,61,454.6,58.512
4.301,1.007,18,8.489,2,4,4.3,6,22,39.1,47.8,17,4,1,1,50.866,31.589,46,2,33.114,0.041,1.106,31,42.5,28,0.687,0.0,11,49,390.49,46.331
4.604,1.01,23,8.174,3,3,5.5,8,24,41.8,43.6,17,7,1,1,61.405,36.378,55,5,38.097,0.085,1.116,36,47.0,32,0.661,0.0,16,59,449.57,55.527
8.284,0.99,18,7.376,2,1,4.9,3,20,43.9,48.8,19,1,0,0,45.528,26.972,41,4,28.557,0.093,1.11,25,35.0,23,0.658,0.0,18,43,302.4,40.6
6.231,1.014,13,8.708,3,1,9.1,6,14,39.4,42.4,11,3,1,1,36.91,22.315,33,2,23.381,0.057,1.118,22,30.5,20,0.676,0.0,15,35,287.37,33.454
4.675,1.023,10,8.977,4,8,12.9,6,15,32.3,48.4,13,1,0,0,34.658,22.096,31,2,22.216,0.061,1.118,23,33.0,21,0.713,0.0,0,33,278.29,31.713
4.301,0.991,16,6.919,2,0,6.1,3,14,48.5,42.4,8,6,0,0,37.112,20.445,33,2,21.796,0.057,1.125,19,24.5,17,0.62,0.0,11,35,228.32,32.716
4.866,1.019,20,8.828,4,5,8.2,10,19,40.8,38.8,14,5,2,2,54.992,32.533,49,8,34.227,0.157,1.122,31,41.0,29,0.664,0.0,10,51,432.57,49.938
4.798,1.057,14,9.87,4,2,9.3,12,17,32.6,39.5,14,3,1,1,49.131,29.774,43,7,29.386,0.156,1.143,31,41.0,29,0.692,4.7,16,45,424.42,45.447
5.236,1.015,18,8.249,4,2,9.5,8,16,42.9,38.1,9,7,1,1,47.448,27.105,42,6,28.364,0.136,1.13,26,33.5,24,0.645,0.0,11,44,346.45,42.651
4.301,1.004,16,7.776,2,2,5.9,5,13,47.1,38.2,8,5,1,1,38.242,21.347,34,4,22.898,0.114,1.125,19,24.0,18,0.628,0.0,6,35,264.38,34.12
5.476,1.014,17,8.19,1,3,2.6,6,16,43.6,41.0,13,3,1,1,43.578,25.282,39,5,26.563,0.125,1.117,23,32.0,22,0.648,0.0,12,40,319.41,39.556
