pXC50,nN.CO.2,NaaNH,nPyrimidines,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,SpDiam_EA.bo.,C.041,C.042,Eig01_AEA.ed.,SpMax_AEA.ed.,nCconj,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,nROH,P_VSA_MR_3,SpDiam_EA.ed.,O.056,nOHs,Eig07_EA.dm.,NsOH,CATS2D_04_DD,C.009,SM09_EA.dm.,P_VSA_e_3,nOxolanes,SRW09,SpDiam_AEA.dm.,Eig01_AEA.ri.,SpMax_AEA.ri.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,Eig01_AEA.dm.,SpMax_AEA.dm.,SM07_EA.dm.,O.058,CATS2D_03_AP,P_VSA_i_4,ALOGP2,NdO,Eig02_AEA.ed.,SM05_EA.dm.,P_VSA_LogP_4,CATS2D_03_DD,Eig02_EA.bo.,SM12_AEA.ri.,Eig02_EA.ed.,SM11_AEA.dm.,Eig01_EA.ri.,SpMax_EA.ri.,P_VSA_LogP_5,SM14_EA.bo.,SM11_EA.dm.,nPyrroles,C.031,GATS1e,nDB,NdssC,SM15_EA.bo.,SM12_EA.bo.,NaasN,SM13_EA.dm.,SM12_EA.dm.,SpMax2_Bh.s.,SM13_EA.bo.,C.008,JGI6
5.383,0,0,1,4.547,4.547,4.547,7.547,0,0,6.779,6.779,1,11.112,11.112,11.112,0,0.0,18.539,0,0,0.0,0,0,0,0.351,53.481,0,7.273,5.624,4.167,4.167,3.216,3.216,5.216,3.216,3.624,3.624,0.384,1,0,53.481,19.266,1,6.126,0.393,104.177,0,3.841,3.841,8.914,8.914,3.063,3.063,29.306,21.332,0.312,0,0,0.689,1,1,22.813,18.37,0,0.273,0.309,5.023,19.824,0,0.015
6.383,0,0,1,4.543,4.543,4.543,7.543,0,0,6.77,6.77,1,11.076,11.076,11.076,0,0.0,18.499,0,0,0.0,0,0,0,0.0,51.582,0,7.273,5.622,4.157,4.157,3.203,3.203,5.203,3.203,3.622,3.622,0.0,1,0,51.582,30.957,1,6.094,0.0,81.86,0,3.841,3.841,8.814,8.814,3.058,3.058,8.086,21.325,0.0,0,0,0.696,1,1,22.805,18.366,0,0.0,0.013,5.032,19.819,1,0.015
7.367,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,68.367,19.93,1,6.086,0.0,110.417,0,3.84,3.84,8.77,8.77,3.056,3.056,16.705,21.316,0.0,0,0,0.725,1,1,22.796,18.354,0,0.0,0.013,5.035,19.808,0,0.012
7.26,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,68.367,16.288,1,6.086,0.0,122.188,0,3.84,3.84,8.77,8.77,3.056,3.056,26.181,21.316,0.0,0,0,0.725,1,1,22.796,18.354,0,0.0,0.013,5.034,19.808,0,0.012
6.754,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.465,0,0,0.0,0,0,0,0.0,85.153,0,7.154,5.618,4.148,4.148,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,85.153,7.835,1,6.061,0.0,151.674,0,3.716,3.716,8.644,8.644,3.043,3.043,35.229,21.279,0.0,0,0,0.769,1,1,22.763,18.31,0,0.0,0.013,5.036,19.767,0,0.01
6.83,0,0,1,4.542,4.542,4.542,7.542,0,1,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.465,0,0,0.0,0,0,0,0.0,85.153,0,7.154,5.618,4.15,4.15,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,85.153,7.203,1,6.061,0.0,169.736,0,3.716,3.716,8.644,8.644,3.052,3.052,35.229,21.279,0.0,0,0,0.769,1,1,22.763,18.31,0,0.0,0.013,5.035,19.767,0,0.01
5.27,0,0,1,4.506,4.506,4.506,7.506,0,0,6.75,6.75,1,10.976,10.976,10.976,0,0.0,18.38,0,0,0.0,0,0,0,0.0,33.571,0,7.273,5.617,4.129,4.129,3.171,3.171,5.171,3.171,3.617,3.617,0.0,1,0,33.571,10.714,1,6.074,0.0,75.621,0,3.838,3.838,8.712,8.712,3.039,3.039,13.519,21.188,0.0,0,0,0.6,1,1,22.668,18.225,0,0.0,0.0,5.038,19.687,0,0.016
7.77,0,0,1,4.543,4.543,4.543,7.543,0,0,6.77,6.77,1,11.076,11.076,11.076,0,0.0,18.499,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.157,4.157,3.203,3.203,5.203,3.203,3.622,3.622,0.0,1,0,68.367,19.477,1,6.094,0.0,122.188,0,3.841,3.841,8.814,8.814,3.058,3.058,26.181,21.325,0.0,0,0,0.72,1,1,22.805,18.366,0,0.0,0.013,5.035,19.819,1,0.015
6.312,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.625,4.154,4.154,3.201,3.201,5.201,3.201,3.625,3.625,0.0,1,0,68.367,18.916,1,6.086,0.0,122.188,0,3.84,3.84,8.77,8.77,3.054,3.054,27.855,21.316,0.0,0,0,0.697,1,1,22.796,18.354,0,0.0,0.013,5.036,19.808,0,0.012
6.33,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.167,4.167,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,68.367,12.094,1,6.086,0.0,122.188,0,3.84,3.84,8.77,8.77,3.112,3.112,35.689,21.316,0.0,0,0,0.787,1,1,22.796,18.354,0,0.0,0.013,5.058,19.808,0,0.012
7.745,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.465,0,0,0.0,0,0,0,0.0,68.367,0,7.154,5.618,4.151,4.151,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,68.367,15.134,1,6.061,0.0,122.188,0,3.716,3.716,8.644,8.644,3.054,3.054,26.181,21.279,0.0,0,0,0.734,1,1,22.763,18.31,0,0.0,0.013,5.034,19.767,0,0.01
6.83,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.465,0,0,0.0,0,0,0,0.0,68.367,0,7.154,5.618,4.158,4.158,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,68.367,12.952,1,6.061,0.0,122.188,0,3.716,3.716,8.644,8.644,3.09,3.09,29.367,21.279,0.0,0,0,0.734,1,1,22.763,18.31,0,0.0,0.013,5.034,19.767,0,0.01
6.292,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.064,11.064,11.064,0,0.0,18.461,0,0,0.0,0,0,0,0.0,68.367,0,6.605,5.617,4.159,4.159,3.195,3.195,5.195,3.195,3.617,3.617,0.0,1,0,68.367,15.499,1,6.059,0.0,122.188,0,3.694,3.694,8.637,8.637,3.096,3.096,29.367,21.276,0.0,0,0,0.719,1,1,22.756,18.308,0,0.0,0.013,5.035,19.758,0,0.011
6.668,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.463,0,0,0.0,0,0,0,0.0,68.367,0,6.605,5.618,4.16,4.16,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,68.367,19.564,1,6.063,0.0,122.188,0,3.765,3.765,8.656,8.656,3.1,3.1,32.552,21.296,0.0,0,0,0.714,1,1,22.774,18.335,0,0.0,0.013,5.035,19.782,0,0.013
5.888,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.464,0,0,0.0,0,0,0,0.0,68.367,0,6.605,5.618,4.161,4.161,3.196,3.196,5.196,3.196,3.618,3.618,0.0,1,0,68.367,15.37,1,6.065,0.0,122.188,0,3.774,3.774,8.664,8.664,3.099,3.099,45.61,21.299,0.0,0,0,0.78,1,1,22.777,18.339,0,0.0,0.293,5.036,19.785,0,0.013
7.387,0,0,0,4.127,4.127,4.127,7.127,0,0,6.521,6.521,0,10.268,10.268,10.268,0,0.0,17.001,0,0,0.0,0,0,0,5.75,65.856,0,7.557,6.07,4.039,4.039,3.06,3.06,5.06,3.06,4.07,4.07,4.409,1,0,65.856,5.372,1,6.114,3.032,63.237,0,3.365,3.365,8.89,8.89,2.997,2.997,46.509,19.943,7.068,0,0,0.751,1,1,21.32,17.168,0,8.374,9.429,6.82,18.513,0,0.019
8.301,0,0,0,4.249,4.249,4.249,7.249,0,0,6.784,6.784,0,11.16,11.16,11.16,0,0.0,18.509,0,0,0.0,0,0,0,5.75,51.582,0,7.557,5.736,4.16,4.16,3.183,3.183,5.183,3.183,3.736,3.736,4.409,1,0,51.582,12.048,1,6.122,3.032,86.963,0,3.694,3.694,8.92,8.92,3.109,3.109,40.231,20.443,7.068,0,0,0.719,1,1,21.839,17.63,0,8.374,7.771,5.127,18.991,0,0.016
9.0,0,0,0,4.249,4.249,4.249,7.249,0,0,6.784,6.784,0,11.16,11.16,11.16,0,0.0,18.509,0,0,0.0,0,0,0,5.75,51.582,0,7.557,5.736,4.165,4.165,3.183,3.183,5.183,3.183,3.736,3.736,4.409,1,0,66.542,9.073,1,6.122,3.032,86.963,0,3.694,3.694,8.92,8.92,3.124,3.124,45.851,20.443,7.068,0,0,0.659,1,1,21.839,17.63,0,8.374,7.771,7.428,18.991,0,0.016
5.512,0,0,1,4.534,4.534,4.534,7.534,0,0,6.768,6.768,1,11.068,11.068,11.068,0,0.0,18.468,0,0,0.0,0,0,0,1.37,71.492,0,7.154,5.721,4.148,4.148,3.199,3.199,5.199,3.199,3.721,3.721,1.001,1,0,71.492,7.757,1,6.075,0.653,121.759,0,3.546,3.546,8.74,8.74,3.033,3.033,26.181,21.219,1.754,0,0,0.763,1,1,22.707,18.24,0,2.143,2.552,5.034,19.703,1,0.014
7.745,0,0,1,4.534,4.534,4.534,7.534,0,0,6.768,6.768,1,11.068,11.068,11.068,0,0.0,18.468,0,0,0.0,0,0,0,1.37,71.492,0,7.154,5.721,4.148,4.148,3.199,3.199,5.199,3.199,3.721,3.721,1.001,1,0,71.492,7.757,1,6.075,0.653,121.759,0,3.546,3.546,8.74,8.74,3.033,3.033,26.181,21.219,1.754,0,0,0.763,1,1,22.707,18.24,0,2.143,2.552,5.034,19.703,1,0.014
6.061,0,0,1,4.542,4.542,4.542,7.542,0,0,6.767,6.767,1,11.064,11.064,11.064,0,0.0,18.461,0,0,0.0,0,0,0,0.0,85.153,0,6.605,5.617,4.158,4.158,3.195,3.195,5.195,3.195,3.617,3.617,0.0,1,0,85.153,7.763,1,6.059,0.0,162.516,0,3.694,3.694,8.637,8.637,3.095,3.095,47.462,21.276,0.0,0,0,0.747,1,1,22.756,18.308,0,0.0,0.013,5.036,19.758,0,0.011
7.796,0,0,1,4.585,4.585,4.585,7.585,0,0,6.782,6.782,1,11.14,11.14,11.14,0,0.0,18.568,0,0,0.0,0,0,0,0.0,68.367,0,7.286,5.623,4.166,4.166,3.22,3.22,5.22,3.22,3.623,3.623,0.0,1,0,68.367,18.916,1,6.095,0.0,122.188,0,3.736,3.736,8.781,8.781,3.057,3.057,27.855,21.407,0.0,0,0,0.697,1,1,22.902,18.419,0,0.0,0.013,5.074,19.888,0,0.013
7.495,0,0,1,4.585,4.585,4.585,7.585,0,0,6.782,6.782,1,11.14,11.14,11.14,0,0.0,18.568,0,0,0.0,0,0,0,0.0,101.265,0,7.286,5.62,4.169,4.169,3.22,3.22,5.22,3.22,3.62,3.62,0.0,1,0,101.265,10.681,1,6.095,0.0,122.188,0,3.736,3.736,8.781,8.781,3.062,3.062,27.111,21.407,0.0,0,0,0.855,1,1,22.902,18.419,0,0.0,0.013,5.15,19.888,0,0.013
7.678,0,1,1,4.493,4.493,4.493,7.493,0,1,6.736,6.736,0,11.037,11.037,11.037,0,0.0,18.209,0,0,0.0,0,0,0,0.0,83.928,0,7.14,5.193,4.168,4.168,3.193,3.193,5.193,3.193,3.193,3.193,0.0,0,0,83.928,3.114,0,6.085,0.0,112.789,0,3.85,3.85,8.836,8.836,3.114,3.114,54.802,21.182,0.0,0,0,0.942,0,0,22.649,18.242,0,0.0,0.0,5.024,19.682,0,0.01
7.721,0,0,1,4.588,4.588,4.588,7.588,0,0,6.785,6.785,1,11.156,11.156,11.156,0,0.0,18.584,0,0,0.0,0,0,0,0.0,86.378,0,7.298,5.621,4.172,4.172,3.224,3.224,5.224,3.224,3.621,3.621,0.0,1,0,86.378,17.408,1,6.105,0.0,140.199,0,3.739,3.739,8.838,8.838,3.063,3.063,27.111,21.417,0.0,0,0,0.805,1,1,22.912,18.427,0,0.0,0.013,5.032,19.897,0,0.014
8.523,0,1,1,4.582,4.582,4.582,7.582,0,0,6.769,6.769,0,11.147,11.147,11.147,0,0.0,18.32,0,0,0.0,1,0,0,0.0,83.683,0,7.273,5.253,4.202,4.202,3.228,3.228,5.228,3.228,3.253,3.253,0.0,0,0,83.683,4.094,0,6.379,0.0,133.245,0,3.923,3.923,9.68,9.68,3.146,3.146,56.824,21.445,0.0,0,1,0.953,0,0,22.936,18.462,0,0.0,0.0,5.161,19.93,0,0.014
7.495,0,0,0,4.2,4.2,4.2,7.2,0,0,6.7,6.7,0,10.885,10.885,10.885,0,0.0,18.039,0,0,0.0,0,0,0,5.75,68.367,0,7.557,5.736,4.12,4.12,3.141,3.141,5.141,3.141,3.736,3.736,4.409,1,0,68.367,2.943,1,6.116,3.032,120.539,0,3.498,3.498,8.899,8.899,3.078,3.078,45.778,20.233,7.068,0,0,0.777,1,1,21.615,17.44,0,8.374,7.771,5.2,18.782,0,0.013
7.886,0,1,1,4.493,4.493,4.493,7.493,0,0,6.736,6.736,0,11.037,11.037,11.037,0,0.0,18.209,0,0,0.0,0,0,0,0.0,67.142,0,7.14,5.193,4.171,4.171,3.193,3.193,5.193,3.193,3.193,3.193,0.0,0,0,67.142,6.465,0,6.085,0.0,75.614,0,3.85,3.85,8.836,8.836,3.124,3.124,55.231,21.182,0.0,1,0,0.916,0,0,22.649,18.242,0,0.0,0.0,5.005,19.682,0,0.01
9.0,1,0,1,4.305,4.305,4.305,7.305,1,0,6.77,6.77,1,11.153,11.153,11.153,0,0.0,18.329,0,0,0.0,0,0,0,4.52,86.378,0,6.293,5.745,4.208,4.208,3.229,3.229,5.229,3.229,3.745,3.745,3.434,2,0,86.378,2.142,2,6.386,2.324,128.893,0,3.69,3.69,9.735,9.735,3.163,3.163,39.058,20.61,5.584,0,0,0.827,2,2,22.024,17.767,0,6.634,6.21,7.412,19.148,0,0.016
7.523,0,0,0,4.2,4.2,4.2,7.2,0,1,6.7,6.7,0,10.885,10.885,10.885,0,0.0,18.039,0,0,0.0,0,0,0,5.75,68.367,0,7.557,5.736,4.125,4.125,3.141,3.141,5.141,3.141,3.736,3.736,4.409,1,0,68.367,2.56,1,6.116,3.032,138.601,0,3.498,3.498,8.899,8.899,3.091,3.091,45.778,20.233,7.068,0,0,0.777,1,1,21.615,17.44,0,8.374,7.771,5.202,18.782,0,0.013
6.873,0,0,0,4.2,4.2,4.2,7.2,0,1,6.7,6.7,0,10.885,10.885,10.885,0,0.0,18.039,0,0,0.0,0,0,0,5.75,68.367,0,7.557,5.736,4.12,4.12,3.141,3.141,5.141,3.141,3.736,3.736,4.409,1,0,68.367,3.018,1,6.116,3.032,126.83,0,3.498,3.498,8.899,8.899,3.078,3.078,39.487,20.233,7.068,0,0,0.777,1,1,21.615,17.44,0,8.374,7.771,5.203,18.782,0,0.013
6.695,0,1,0,4.2,4.2,4.2,7.2,0,0,6.7,6.7,0,10.885,10.885,10.885,0,0.0,18.039,0,0,0.0,0,0,0,5.75,84.908,0,7.557,5.736,4.121,4.121,3.141,3.141,5.141,3.141,3.736,3.736,4.409,1,0,84.908,5.216,1,6.116,3.032,103.626,0,3.498,3.498,8.899,8.899,3.079,3.079,46.642,20.233,7.068,0,0,0.716,1,1,21.615,17.44,0,8.374,7.771,5.07,18.782,0,0.013
7.143,0,0,0,4.2,4.2,4.2,7.2,0,0,6.7,6.7,0,10.885,10.885,10.885,0,0.0,18.039,0,0,0.0,0,0,0,5.75,70.021,0,7.557,5.736,4.107,4.107,3.141,3.141,5.141,3.141,3.736,3.736,4.409,1,0,70.021,4.973,1,6.116,3.032,115.397,0,3.498,3.498,8.899,8.899,3.039,3.039,35.29,20.233,7.068,0,0,0.687,1,1,21.615,17.44,1,8.374,7.771,5.053,18.782,0,0.013
8.398,0,0,0,4.202,4.202,4.202,7.202,0,0,6.7,6.7,0,10.886,10.886,10.886,0,0.0,18.036,0,0,0.0,0,0,0,5.75,51.582,0,7.226,5.736,4.126,4.126,3.142,3.142,5.142,3.142,3.736,3.736,4.409,1,0,66.542,13.082,1,6.116,3.032,86.963,0,3.578,3.578,8.899,8.899,3.094,3.094,39.529,20.279,7.068,0,0,0.582,1,1,21.647,17.497,0,8.374,7.771,7.428,18.819,0,0.014
7.328,0,0,0,4.196,4.196,4.196,7.196,0,0,6.699,6.699,0,10.884,10.884,10.884,0,0.0,18.031,0,0,0.0,0,0,0,5.75,68.367,0,7.226,5.736,4.118,4.118,3.139,3.139,5.139,3.139,3.736,3.736,4.409,1,0,68.367,7.232,1,6.116,3.032,115.519,0,3.483,3.483,8.899,8.899,3.076,3.076,39.027,20.222,7.068,0,0,0.706,1,1,21.59,17.435,0,8.374,7.771,5.007,18.755,0,0.012
