pXC50,TPSA.Tot.,CATS2D_05_LL,nS,SpMax1_Bh.s.,CATS2D_06_LL,CATS2D_07_LL,Eta_alpha_A,P_VSA_s_6,GATS4e,SpMax1_Bh.m.,X1A,CATS2D_04_AL,PCR,Eig02_AEA.dm.,SaaS,JGI3,AMW,Eig01_AEA.dm.,SpMax_AEA.dm.,NaaS,PCD,MATS1i,P_VSA_e_3,P_VSA_i_4,GATS4i,MATS4p,SpDiam_AEA.dm.,SpMAD_AEA.bo.,P_VSA_i_1,P_VSA_MR_8,nHet,MATS6p,P_VSA_m_4,P_VSA_s_3,RBF,CATS2D_06_PL,nHM,CATS2D_02_AP,CATS2D_04_PL,CATS2D_05_PL,Eta_B_A,nCONN,NdS,S.108,SdS,SsNH2,GATS4v,GATS1e,GATS7m,AAC,AECC,ALOGP,ALOGP2,AMR,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e
6.398,34.03,1,0,8.201,3,4,0.466,40.105,1.163,3.945,0.454,2,1.323,2.947,0.0,0.042,7.743,3.589,3.589,0,1.879,-0.143,19.91,34.87,1.064,-0.24,5.589,1.495,0.0,0.0,4,0.044,0.0,21.874,0.097,0,0,0,0,0,0.025,0,0,0,0.0,0.0,1.155,0.612,0.85,1.633,8.059,2.418,5.847,63.897,0.611,3.496,3.618,3.084,3.03,4.689,3.021,3.983
6.602,44.89,1,0,7.429,3,4,0.476,25.145,1.721,3.912,0.46,2,1.331,2.725,0.0,0.021,7.417,3.561,3.561,0,1.829,-0.017,34.796,34.796,1.05,-0.044,5.561,1.454,0.0,0.0,3,0.103,0.0,12.753,0.107,0,0,0,0,0,0.015,0,0,0,0.0,0.0,0.956,0.791,1.024,1.494,7.267,2.007,4.027,58.784,0.688,3.387,3.513,2.946,2.957,4.533,2.933,3.842
6.699,34.03,1,0,8.201,3,3,0.466,40.105,1.129,3.945,0.454,2,1.325,2.99,0.0,0.054,7.743,3.59,3.59,0,1.888,-0.143,19.91,34.87,1.125,-0.247,5.59,1.495,0.0,0.0,4,0.033,0.0,21.874,0.097,0,0,0,0,0,0.025,0,0,0,0.0,0.0,1.119,0.612,0.668,1.633,7.471,2.418,5.847,63.897,0.611,3.496,3.618,3.084,3.03,4.689,3.021,3.983
5.921,54.7,0,0,7.433,0,0,0.446,78.828,1.213,3.928,0.451,0,1.176,2.648,0.0,0.065,7.922,3.827,3.827,0,0.95,-0.283,4.778,4.778,0.823,0.052,5.743,1.492,0.0,0.0,5,-0.094,0.0,8.868,0.083,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.899,0.848,1.005,1.742,5.462,0.456,0.208,44.197,0.357,3.297,3.401,2.903,2.661,4.475,2.71,3.83
5.921,60.49,0,0,7.433,0,0,0.451,69.042,1.31,3.929,0.451,0,1.176,2.644,0.0,0.065,7.551,3.827,3.827,0,0.95,-0.216,37.676,37.676,0.825,0.047,5.743,1.492,0.0,0.0,5,-0.014,0.0,10.974,0.08,0,0,0,0,0,0.021,0,0,0,0.0,5.398,0.91,0.832,0.997,1.718,5.462,0.166,0.028,45.854,0.357,3.325,3.457,2.898,2.693,4.464,2.726,3.859
7.046,54.7,0,0,7.433,0,0,0.446,78.828,1.213,3.928,0.451,0,1.176,2.648,0.0,0.065,7.922,3.827,3.827,0,0.95,-0.283,4.778,4.778,0.823,0.052,5.743,1.492,0.0,0.0,5,-0.094,0.0,8.868,0.083,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.899,0.848,1.005,1.742,5.462,0.456,0.208,44.197,0.357,3.297,3.401,2.903,2.661,4.475,2.71,3.83
6.569,54.7,0,0,7.433,0,0,0.446,78.828,1.213,3.928,0.451,0,1.176,2.648,0.0,0.065,7.922,3.827,3.827,0,0.95,-0.283,4.778,4.778,0.823,0.052,5.743,1.492,0.0,0.0,5,-0.094,0.0,8.868,0.083,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.899,0.848,1.005,1.742,5.462,0.456,0.208,44.197,0.357,3.297,3.401,2.903,2.661,4.475,2.71,3.83
4.276,60.49,0,0,7.433,0,0,0.451,69.042,1.31,3.929,0.451,0,1.176,2.644,0.0,0.065,7.551,3.827,3.827,0,0.95,-0.216,37.676,37.676,0.825,0.047,5.743,1.492,0.0,0.0,5,-0.014,0.0,10.974,0.08,0,0,0,0,0,0.021,0,0,0,0.0,5.398,0.91,0.832,0.997,1.718,5.462,0.166,0.028,45.854,0.357,3.325,3.457,2.898,2.693,4.464,2.726,3.859
6.699,83.23,0,0,7.433,0,0,0.444,99.673,1.179,3.931,0.457,0,1.216,2.648,0.0,0.057,8.634,3.827,3.827,0,1.221,-0.081,68.306,68.306,0.826,0.044,5.746,1.492,0.0,0.0,7,-0.035,0.0,10.974,0.12,0,0,0,0,0,0.018,0,0,0,0.0,0.0,0.934,0.656,0.719,1.829,7.0,3.402,11.576,77.979,0.313,3.343,3.464,3.029,2.714,4.648,2.774,3.854
8.602,68.23,2,0,8.513,0,0,0.434,145.708,1.076,3.913,0.452,4,1.185,3.851,0.0,0.048,8.318,4.34,4.34,0,1.226,-0.171,3.124,48.005,0.875,0.026,6.34,1.5,0.0,0.0,9,-0.127,0.0,28.588,0.163,0,0,0,0,0,0.032,0,0,0,0.0,0.0,1.018,0.739,0.886,1.82,11.625,2.059,4.238,77.146,0.24,3.865,3.955,3.48,3.223,5.076,3.281,4.465
6.42,49.77,0,0,7.433,0,0,0.46,78.828,1.019,3.911,0.45,6,1.217,2.82,0.0,0.066,7.402,3.851,3.851,0,1.243,-0.216,3.124,3.124,1.006,-0.051,5.851,1.482,0.0,0.0,4,-0.367,0.0,14.811,0.069,0,0,0,0,0,0.026,0,0,0,0.0,0.0,0.981,0.838,1.262,1.56,6.267,1.594,2.54,54.695,0.375,3.445,3.546,2.993,2.914,4.583,2.917,3.982
8.31,43.7,0,0,7.433,0,0,0.45,47.145,1.082,3.929,0.454,0,1.167,2.681,0.0,0.061,7.547,3.828,3.828,0,0.925,-0.398,4.778,4.778,0.84,0.056,5.744,1.496,0.0,0.0,5,-0.076,0.0,13.461,0.111,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.855,0.787,1.257,1.689,6.214,0.864,0.747,48.948,0.333,3.399,3.508,2.98,2.756,4.512,2.794,3.962
6.0,43.7,0,0,7.433,0,0,0.45,47.145,1.082,3.929,0.454,0,1.167,2.681,0.0,0.061,7.547,3.828,3.828,0,0.925,-0.398,4.778,4.778,0.84,0.056,5.744,1.496,0.0,0.0,5,-0.076,0.0,13.461,0.111,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.855,0.787,1.257,1.689,6.214,0.864,0.747,48.948,0.333,3.399,3.508,2.98,2.756,4.512,2.794,3.962
9.0,43.7,1,0,7.433,0,0,0.459,62.912,0.968,3.956,0.458,2,1.186,2.884,0.0,0.062,7.161,3.852,3.852,0,1.108,-0.523,5.023,5.023,0.949,0.026,5.681,1.491,0.0,0.0,5,-0.141,0.0,18.323,0.147,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.894,0.828,1.211,1.597,8.235,1.432,2.051,63.223,0.278,3.602,3.716,3.136,3.001,4.701,3.012,4.161
6.0,54.7,0,0,7.433,0,0,0.45,78.828,1.032,3.943,0.447,2,1.176,2.832,0.0,0.076,7.547,3.852,3.852,0,0.977,-0.534,5.023,5.023,1.045,-0.089,5.678,1.513,0.0,0.0,5,-0.457,0.0,11.625,0.074,0,0,0,0,0,0.027,0,0,0,0.0,0.0,1.0,0.891,1.241,1.689,6.143,0.407,0.166,49.31,0.333,3.397,3.506,2.963,2.768,4.542,2.803,3.948
8.523,54.7,0,0,7.433,0,0,0.453,78.828,1.024,3.952,0.453,2,1.174,2.861,0.0,0.068,7.25,3.852,3.852,0,0.994,-0.486,5.023,5.023,1.145,-0.154,5.681,1.478,0.0,0.0,5,-0.17,0.0,13.731,0.1,0,0,0,0,0,0.023,0,0,0,0.0,0.0,1.116,0.878,1.207,1.642,6.867,0.756,0.571,54.058,0.313,3.489,3.604,3.022,2.873,4.593,2.891,4.051
6.456,54.7,1,0,7.433,0,0,0.456,94.595,1.039,3.956,0.455,2,1.193,2.884,0.0,0.065,7.409,3.852,3.852,0,1.129,-0.441,5.023,5.023,0.947,0.019,5.68,1.487,0.0,0.0,5,-0.24,0.0,13.731,0.129,0,0,0,0,0,0.022,0,0,0,0.0,0.0,0.929,0.879,1.119,1.637,7.563,1.024,1.048,58.472,0.294,3.519,3.631,3.07,2.928,4.671,2.945,4.054
6.523,43.7,0,0,7.433,0,0,0.453,47.145,0.949,3.944,0.45,2,1.168,2.832,0.0,0.072,7.25,3.852,3.852,0,0.954,-0.618,5.023,5.023,1.035,-0.066,5.679,1.514,0.0,0.0,5,-0.272,0.0,16.217,0.1,0,0,0,0,0,0.026,0,0,0,0.0,0.0,0.949,0.835,1.327,1.642,6.8,0.815,0.665,54.061,0.313,3.49,3.603,3.037,2.854,4.576,2.88,4.065
9.222,43.7,0,0,7.433,0,0,0.456,47.145,0.948,3.952,0.455,2,1.167,2.861,0.0,0.065,7.009,3.852,3.852,0,0.974,-0.567,5.023,5.023,1.124,-0.123,5.682,1.482,0.0,0.0,5,-0.08,0.0,18.323,0.121,0,0,0,0,0,0.022,0,0,0,0.0,0.0,1.056,0.827,1.292,1.6,7.5,1.164,1.356,58.809,0.294,3.574,3.692,3.091,2.95,4.626,2.962,4.158
6.699,83.23,0,0,7.433,0,0,0.448,99.673,0.996,3.945,0.453,2,1.214,2.832,0.0,0.068,8.194,3.852,3.852,0,1.244,-0.302,68.551,68.551,1.0,-0.096,5.685,1.515,0.0,0.0,7,-0.384,0.0,13.731,0.107,0,0,0,0,0,0.024,0,0,0,0.0,0.0,1.028,0.704,1.085,1.785,7.563,3.402,11.576,77.979,0.294,3.439,3.563,3.082,2.816,4.704,2.862,3.968
9.097,83.23,0,0,7.433,0,0,0.451,99.673,0.98,3.954,0.458,2,1.212,2.861,0.0,0.062,7.843,3.852,3.852,0,1.26,-0.273,68.551,68.551,1.087,-0.172,5.687,1.48,0.0,0.0,7,-0.113,0.0,15.836,0.129,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.136,0.688,1.064,1.742,8.176,3.402,11.576,77.979,0.278,3.527,3.656,3.134,2.916,4.748,2.946,4.07
8.398,83.23,1,0,7.433,0,0,0.454,115.439,1.001,3.957,0.46,2,1.228,2.884,0.0,0.059,7.977,3.852,3.852,0,1.386,-0.238,68.551,68.551,0.912,0.012,5.687,1.491,0.0,0.0,7,-0.191,0.0,15.836,0.156,0,0,0,0,0,0.019,0,0,0,0.0,0.0,0.952,0.689,0.988,1.736,8.889,3.402,11.576,77.979,0.263,3.556,3.681,3.177,2.969,4.815,2.997,4.073
8.0,60.49,0,0,7.433,0,0,0.455,69.042,1.127,3.944,0.447,2,1.176,2.831,0.0,0.076,7.231,3.851,3.851,0,0.977,-0.452,37.921,37.921,1.027,-0.089,5.678,1.513,0.0,0.0,5,-0.409,0.0,13.731,0.071,1,0,0,0,0,0.027,0,0,0,0.0,5.432,1.004,0.891,1.247,1.666,6.143,0.117,0.014,50.967,0.333,3.423,3.557,2.959,2.797,4.531,2.818,3.973
6.886,60.49,0,0,7.433,0,0,0.458,69.042,1.122,3.952,0.453,2,1.174,2.861,0.0,0.068,6.976,3.851,3.851,0,0.994,-0.41,37.921,37.921,1.12,-0.151,5.681,1.478,0.0,0.0,5,-0.14,0.0,15.836,0.097,1,0,0,0,0,0.023,0,0,0,0.0,5.459,1.116,0.881,1.22,1.621,6.867,0.466,0.217,55.715,0.313,3.512,3.65,3.018,2.899,4.583,2.905,4.075
6.155,60.49,1,0,7.433,0,0,0.46,84.809,1.145,3.956,0.455,2,1.193,2.884,0.0,0.065,7.138,3.851,3.851,0,1.129,-0.366,37.921,37.921,0.934,0.017,5.681,1.487,0.0,0.0,5,-0.213,0.0,15.836,0.125,1,0,0,0,0,0.022,0,0,0,0.0,5.467,0.935,0.883,1.131,1.618,7.563,0.734,0.539,60.13,0.294,3.542,3.676,3.066,2.953,4.662,2.959,4.077
8.155,46.5,0,0,7.433,0,0,0.458,36.145,1.04,3.944,0.45,2,1.168,2.832,0.0,0.072,6.976,3.852,3.852,0,0.954,-0.582,23.034,23.034,1.018,-0.067,5.681,1.514,0.0,0.0,5,-0.244,0.0,13.731,0.097,0,0,0,0,0,0.026,0,0,0,0.0,0.0,0.957,0.856,1.337,1.621,6.8,0.549,0.302,55.742,0.313,3.513,3.649,3.025,2.887,4.565,2.896,4.081
7.097,46.5,0,0,7.433,0,0,0.46,36.145,1.041,3.953,0.455,2,1.167,2.861,0.0,0.065,6.767,3.852,3.852,0,0.974,-0.534,23.034,23.034,1.102,-0.121,5.683,1.482,0.0,0.0,5,-0.06,0.0,15.836,0.118,0,0,0,0,0,0.022,0,0,0,0.0,0.0,1.059,0.849,1.307,1.581,7.5,0.898,0.806,60.49,0.294,3.595,3.734,3.081,2.98,4.616,2.977,4.172
7.0,46.5,1,0,7.433,0,0,0.463,51.912,1.068,3.957,0.458,2,1.186,2.884,0.0,0.062,6.921,3.852,3.852,0,1.108,-0.489,23.034,23.034,0.935,0.024,5.683,1.491,0.0,0.0,5,-0.122,0.0,15.836,0.143,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.901,0.851,1.224,1.58,8.235,1.166,1.36,64.904,0.278,3.622,3.757,3.126,3.03,4.692,3.026,4.175
7.886,73.71,5,1,5.215,10,9,0.511,133.901,1.044,4.057,0.439,8,1.35,3.313,0.0,0.037,8.681,3.89,3.89,0,2.377,0.129,52.562,52.562,1.149,-0.094,5.89,1.539,45.192,45.192,5,0.052,84.341,18.633,0.05,4,2,1,2,3,0.029,1,1,1,5.152,5.844,1.059,0.718,1.469,1.61,9.0,4.592,21.083,95.217,0.5,3.73,3.849,3.435,3.387,4.848,3.331,4.226
8.222,73.71,4,1,8.201,9,8,0.502,148.861,0.961,4.056,0.439,8,1.35,3.314,0.0,0.037,9.538,3.89,3.89,0,2.377,0.088,52.562,67.522,0.999,-0.095,5.89,1.539,45.192,45.192,6,0.075,84.341,24.569,0.054,4,2,1,2,3,0.029,1,1,1,5.092,5.784,1.092,0.601,1.5,1.79,9.0,4.311,18.584,90.392,0.5,3.672,3.781,3.445,3.324,4.879,3.289,4.157
5.62,118.62,10,0,7.451,8,8,0.465,122.579,1.025,3.988,0.434,12,1.517,3.81,0.0,0.039,9.049,3.812,3.812,0,4.331,0.0,36.022,36.022,0.906,0.05,5.812,1.532,0.0,0.0,8,-0.159,0.0,52.535,0.074,0,0,0,0,0,0.026,0,0,0,0.0,0.0,0.969,0.703,1.243,1.569,14.765,3.459,11.967,122.181,0.474,4.054,4.125,3.777,3.662,5.344,3.685,4.521
8.4,118.62,6,0,7.451,6,8,0.465,122.579,1.032,3.971,0.447,10,1.387,3.808,0.0,0.04,7.94,3.808,3.808,0,3.034,-0.034,36.022,36.022,0.879,0.069,5.808,1.485,0.0,0.0,8,-0.028,0.0,61.371,0.148,0,0,0,0,0,0.022,0,0,0,0.0,0.0,0.919,0.693,1.325,1.552,16.706,3.51,12.317,125.426,0.324,4.161,4.256,3.77,3.713,5.34,3.712,4.688
7.79,118.62,8,0,7.451,8,9,0.465,122.579,1.067,3.991,0.434,10,1.55,3.808,0.0,0.039,9.049,3.816,3.816,0,4.612,0.0,36.022,36.022,0.941,0.046,5.816,1.532,0.0,0.0,8,-0.109,0.0,52.535,0.074,0,0,0,0,0,0.025,0,0,0,0.0,0.0,0.95,0.703,1.167,1.569,13.059,3.459,11.967,122.181,0.474,4.054,4.125,3.777,3.662,5.344,3.685,4.521
9.0,118.62,6,0,7.451,4,4,0.463,122.579,1.089,3.97,0.444,10,1.397,3.808,0.0,0.042,8.317,3.808,3.808,0,3.084,-0.034,36.022,36.022,0.873,0.072,5.808,1.498,0.0,0.0,8,-0.069,0.0,56.302,0.127,0,0,0,0,0,0.023,0,0,0,0.0,0.0,0.929,0.701,1.405,1.585,15.063,2.597,6.745,116.224,0.343,4.067,4.154,3.714,3.623,5.288,3.635,4.578
6.77,137.08,4,0,7.451,4,4,0.457,144.579,0.897,3.984,0.446,12,1.382,3.809,0.0,0.042,8.209,3.809,3.809,0,3.093,-0.108,36.022,36.022,0.982,-0.036,5.809,1.487,0.0,0.0,10,0.004,0.0,66.788,0.143,0,0,0,0,0,0.024,0,0,0,0.0,0.0,1.042,0.768,1.322,1.603,17.667,2.564,6.576,129.15,0.308,4.212,4.295,3.844,3.709,5.433,3.733,4.734
7.48,118.62,2,0,7.451,0,1,0.46,122.579,1.141,3.971,0.44,8,1.407,3.806,0.0,0.043,8.791,3.809,3.809,0,3.137,-0.033,36.022,36.022,0.898,0.047,5.809,1.515,0.0,0.0,8,-0.133,0.0,51.233,0.102,0,0,0,0,0,0.024,0,0,0,0.0,0.0,0.974,0.714,1.356,1.619,13.4,1.955,3.821,106.715,0.364,3.963,4.041,3.656,3.525,5.233,3.551,4.455
10.996,122.0,4,2,7.434,1,5,0.495,80.471,0.719,4.301,0.451,6,1.341,3.651,1.551,0.046,8.112,4.41,4.41,1,2.493,-0.089,36.45,36.45,1.117,-0.136,6.41,1.457,63.497,63.497,8,0.087,63.497,100.285,0.173,0,2,0,0,0,0.022,0,0,0,0.0,0.0,1.179,0.741,1.547,1.719,12.741,4.172,17.406,113.723,0.379,4.003,4.105,3.725,3.587,5.075,3.519,4.543
10.963,114.15,0,1,7.436,1,0,0.484,136.583,0.877,4.094,0.436,9,1.322,3.652,0.0,0.048,9.466,4.634,4.634,0,2.5,0.025,20.89,20.89,1.072,-0.095,6.634,1.518,32.22,32.22,9,-0.001,71.368,77.856,0.1,0,2,0,0,0,0.029,0,0,0,0.0,0.0,1.082,0.679,0.822,1.824,12.567,3.939,15.515,113.153,0.364,3.983,4.058,3.782,3.592,5.189,3.576,4.504
10.951,94.56,0,0,7.434,0,0,0.452,105.064,0.838,3.957,0.452,6,1.288,3.594,0.0,0.046,8.275,3.652,3.652,0,1.786,0.21,50.663,50.663,1.064,-0.187,5.652,1.47,0.0,0.0,6,-0.043,0.0,33.346,0.097,2,0,0,0,0,0.027,0,0,0,0.0,4.927,1.208,0.801,1.276,1.706,8.0,0.905,0.819,64.91,0.316,3.533,3.631,3.16,2.99,4.821,3.025,4.001
10.921,117.16,0,1,7.434,0,0,0.473,128.542,0.735,3.981,0.437,6,1.358,3.651,0.0,0.054,9.677,3.779,3.779,0,2.399,-0.083,33.326,33.326,1.03,-0.199,5.779,1.52,38.564,38.564,7,0.275,38.564,37.047,0.094,0,1,0,0,0,0.028,0,0,0,0.0,0.0,1.243,0.812,1.093,1.863,8.85,2.596,6.737,74.966,0.5,3.57,3.627,3.356,3.115,4.845,3.134,4.04
10.959,132.26,2,2,7.434,1,1,0.498,119.034,0.831,4.281,0.437,6,1.358,3.651,1.359,0.054,10.213,3.779,3.779,1,2.399,0.005,33.326,33.326,0.946,-0.116,5.779,1.52,69.841,69.841,7,0.24,69.841,60.849,0.094,0,2,0,0,0,0.028,0,0,0,0.0,0.0,1.162,0.753,1.171,1.904,8.85,3.154,9.946,81.409,0.5,3.556,3.612,3.445,3.215,4.8,3.174,4.021
7.45,53.49,2,1,4.954,4,3,0.509,33.571,1.154,4.218,0.453,5,1.454,2.8,1.566,0.048,8.012,2.971,2.971,1,2.557,-0.116,33.571,33.571,1.251,-0.283,4.971,1.499,31.278,31.278,3,0.152,31.278,40.906,0.071,0,1,0,0,0,0.022,0,0,0,0.0,0.0,1.21,0.762,2.064,1.494,7.2,3.193,10.192,65.639,0.688,3.371,3.481,3.092,3.062,4.472,2.974,3.826
7.18,53.49,4,1,4.977,5,5,0.507,33.571,1.363,4.232,0.447,7,1.559,2.885,1.56,0.03,8.188,2.999,2.999,1,3.666,-0.065,33.571,33.571,1.145,-0.063,4.999,1.499,31.278,31.278,3,0.102,31.278,44.092,0.083,0,1,0,0,0,0.017,0,0,0,0.0,0.0,1.061,0.745,2.261,1.417,9.4,4.857,23.589,85.812,0.773,3.61,3.711,3.339,3.337,4.733,3.262,4.057
7.0,19.03,3,0,4.858,4,4,0.488,0.0,0.951,3.912,0.457,3,1.309,2.748,0.0,0.054,6.304,3.301,3.301,0,1.736,-0.175,19.91,19.91,1.13,-0.127,5.301,1.481,0.0,0.0,2,-0.088,0.0,8.048,0.114,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.068,1.138,0.818,1.253,7.125,3.25,10.561,68.268,0.647,3.581,3.727,3.014,3.128,4.565,3.067,4.101
8.268,19.03,1,0,5.43,2,1,0.482,23.321,0.726,3.881,0.484,1,1.237,2.557,0.0,0.066,6.445,3.027,3.027,0,1.092,-0.345,19.91,19.91,0.789,0.189,4.784,1.491,0.0,0.0,2,-0.058,0.0,6.968,0.13,0,0,0,0,0,0.016,0,0,0,0.0,0.0,0.703,1.189,0.633,1.326,5.636,2.481,6.155,46.817,0.455,3.189,3.343,2.629,2.678,4.28,2.631,3.671
6.481,44.89,3,0,7.429,4,4,0.477,25.145,1.193,3.908,0.457,3,1.144,2.795,0.0,0.038,6.121,3.575,3.575,0,0.808,-0.049,34.796,34.796,1.01,-0.047,5.575,1.49,0.0,0.0,3,0.037,0.0,20.134,0.081,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.939,0.791,1.12,1.377,7.188,2.99,8.937,64.335,0.294,3.64,3.789,3.031,3.148,4.56,3.086,4.233
7.699,19.03,3,0,4.854,4,4,0.488,0.0,0.958,3.896,0.457,3,1.132,2.686,0.0,0.054,5.51,3.171,3.171,0,0.741,-0.186,19.91,19.91,1.077,-0.083,5.171,1.477,0.0,0.0,2,-0.053,0.0,17.535,0.098,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.026,1.165,0.848,1.188,7.125,3.855,14.861,69.4,0.294,3.727,3.887,3.038,3.224,4.525,3.138,4.345
7.69,65.52,4,1,4.942,3,3,0.502,33.449,1.48,4.228,0.448,3,1.384,2.928,1.604,0.021,7.539,3.144,3.144,1,2.47,0.087,51.337,51.337,0.952,0.138,5.144,1.469,31.278,31.278,4,-0.139,31.278,53.15,0.079,0,1,0,0,0,0.013,0,0,0,0.0,0.0,0.839,0.736,1.826,1.48,9.316,3.813,14.54,81.45,0.524,3.671,3.797,3.325,3.315,4.67,3.235,4.198
