pXC50,ATS8i,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SM04_EA.ri.,SM15_EA.ri.,ATS8e,ATSC7i,ATSC7p,SM06_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,Eig01_AEA.ri.,Eig01_EA,Eig03_AEA.ed.,Eig03_EA.ed.,SM09_AEA.bo.,SM12_AEA.dm.,SpDiam_EA,SpDiam_EA.ed.,SpMax_AEA.ri.,SpMax_EA,Eig04_AEA.ed.,Eig10_EA.ri.,SM11_EA.bo.,Eig04_AEA.bo.,Eig04_EA.ed.,SM13_AEA.dm.,SM14_EA.bo.,SM15_EA.bo.,CATS2D_05_AA,SpDiam_AEA.ri.,ATS7v,ATSC6i,SM13_EA.bo.,SM03_EA.ed.,SM04_EA.ed.,SM05_EA,SM05_EA.ed.,SM06_AEA.ed.,SM06_EA,SM06_EA.ed.,SM07_AEA.ed.,SM07_EA,SM07_EA.ed.,SM08_AEA.ed.,SM08_EA,SM08_EA.ed.,SM09_AEA.ed.,SM09_EA,SM10_AEA.ed.
7.398,5.328,3.179,5.179,3.179,6.209,17.847,5.033,1.844,12.548,8.091,10.145,11.138,12.294,13.361,14.496,15.598,16.728,4.199,3.244,6.11,8.901,3.244,8.901,5.244,18.77,4.199,3.244,6.076,1.27,17.159,3.889,8.694,8.694,21.681,23.182,1,5.271,4.132,1.855,20.163,7.964,11.089,6.836,12.912,12.908,8.297,15.57,14.721,9.145,17.727,16.553,10.408,20.226,18.399,11.425,20.257
6.222,4.927,3.045,5.045,3.045,6.061,17.295,4.668,1.343,9.675,7.874,9.855,10.797,11.93,12.953,14.058,15.119,16.215,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.722,1.252,17.129,3.847,7.729,7.729,21.656,23.157,2,5.252,3.931,1.433,20.135,7.83,10.958,6.735,12.735,12.808,8.191,15.386,14.607,9.018,17.514,16.426,10.274,20.003,18.26,11.273,20.107
5.523,4.849,3.045,5.045,3.045,6.084,17.32,4.595,1.263,8.709,7.902,9.884,10.829,11.959,12.983,14.086,15.146,16.241,4.18,3.241,6.105,8.894,3.241,8.894,5.241,18.766,4.18,3.241,5.75,1.261,17.133,3.887,7.838,7.838,21.657,23.158,2,5.252,3.887,1.375,20.137,7.83,10.964,6.735,12.74,12.809,8.193,15.395,14.609,9.021,17.522,16.429,10.279,20.012,18.264,11.28,20.111
5.523,4.964,3.045,5.045,3.045,6.135,17.343,4.719,1.376,9.78,7.955,9.935,10.878,12.003,13.023,14.121,15.177,16.268,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.933,1.268,17.136,3.926,8.231,8.231,21.658,23.159,3,5.252,3.976,1.532,20.139,7.908,11.024,6.815,12.801,12.886,8.26,15.44,14.687,9.094,17.561,16.506,10.344,20.04,18.338,11.343,20.182
6.879,4.989,3.045,5.045,3.045,6.088,17.3,4.745,1.41,10.233,7.894,9.87,10.808,11.941,12.962,14.066,15.126,16.221,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.73,1.26,17.13,3.85,7.769,7.769,21.656,23.158,2,5.252,3.988,1.571,20.135,7.851,10.98,6.746,12.754,12.829,8.215,15.4,14.627,9.033,17.525,16.444,10.293,20.011,18.277,11.288,20.122
6.216,4.912,3.045,5.045,3.045,6.032,17.288,4.645,1.312,9.79,7.849,9.836,10.776,11.917,12.939,14.048,15.109,16.208,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.711,1.218,17.129,3.837,7.691,7.691,21.656,23.157,1,5.252,3.901,1.41,20.135,7.786,10.929,6.673,12.718,12.769,8.149,15.372,14.573,8.974,17.507,16.397,10.24,19.997,18.237,11.242,20.088
6.595,4.837,3.045,5.045,3.045,6.013,17.283,4.576,1.248,9.299,7.834,9.825,10.774,11.909,12.936,14.042,15.105,16.203,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.711,1.188,17.129,3.837,7.691,7.691,21.656,23.157,2,5.283,3.86,1.361,20.135,7.786,10.929,6.673,12.718,12.769,8.149,15.372,14.573,8.974,17.507,16.397,10.24,19.997,18.237,11.242,20.088
6.921,4.93,3.045,5.045,3.045,6.075,17.302,4.679,1.322,9.887,7.889,9.869,10.807,11.942,12.962,14.068,15.127,16.223,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.722,1.252,17.129,3.847,7.729,7.729,21.656,23.157,1,5.252,3.928,1.417,20.135,7.83,10.958,6.735,12.735,12.808,8.191,15.386,14.607,9.018,17.514,16.426,10.274,20.003,18.26,11.273,20.107
6.863,4.983,3.045,5.045,3.045,6.086,17.305,4.739,1.363,10.159,7.899,9.877,10.814,11.949,12.968,14.073,15.132,16.228,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.729,1.255,17.13,3.85,7.761,7.761,21.656,23.158,1,5.252,3.968,1.526,20.135,7.851,10.974,6.746,12.751,12.825,8.208,15.397,14.624,9.031,17.523,16.442,10.288,20.009,18.275,11.285,20.12
6.947,4.981,3.045,5.045,3.045,6.036,17.284,4.713,1.368,10.032,7.845,9.83,10.775,11.911,12.937,14.044,15.107,16.204,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.71,1.24,17.129,3.835,7.688,7.688,21.655,23.157,1,5.253,3.961,1.457,20.135,7.786,10.931,6.673,12.718,12.771,8.152,15.372,14.575,8.974,17.507,16.398,10.239,19.997,18.237,11.241,20.088
7.638,5.049,3.303,5.303,3.303,6.225,18.272,4.762,1.47,11.85,8.18,10.313,11.368,12.538,13.653,14.812,15.954,17.115,4.408,3.449,6.42,9.717,3.449,9.717,5.449,20.873,4.408,3.449,6.104,1.269,17.158,4.067,8.881,8.881,21.671,23.171,1,5.48,4.019,1.614,20.155,8.231,11.324,7.04,13.345,13.113,8.467,16.025,14.982,9.427,18.353,16.874,10.695,20.919,18.782,11.797,20.705
7.377,4.995,3.503,5.503,3.503,6.313,18.972,4.715,1.433,11.05,8.347,10.582,11.702,12.921,14.102,15.318,16.526,17.749,4.594,3.628,6.485,9.936,3.628,9.936,5.628,22.685,4.594,3.628,6.104,1.269,17.18,4.071,8.886,8.886,21.686,23.183,1,5.667,3.987,1.562,20.172,8.427,11.531,7.163,13.716,13.239,8.606,16.452,15.141,9.62,18.941,17.07,10.916,21.601,19.02,12.072,20.985
7.721,5.087,3.143,5.143,3.143,6.214,17.874,4.826,1.443,10.364,8.129,10.203,11.215,12.356,13.427,14.55,15.646,16.765,4.227,3.263,6.531,10.14,3.263,10.14,5.263,18.767,4.227,3.263,6.105,1.265,17.143,4.073,8.891,8.891,21.661,23.162,1,5.299,4.029,1.576,20.143,8.136,11.185,6.995,13.092,13.002,8.41,15.708,14.829,9.325,17.908,16.674,10.571,20.387,18.531,11.627,20.398
7.208,5.019,3.39,5.39,3.39,6.303,18.605,4.76,1.415,10.009,8.3,10.478,11.56,12.749,13.89,15.071,16.239,17.423,4.458,3.485,6.572,10.258,3.485,10.258,5.485,20.486,4.458,3.485,6.105,1.266,17.161,4.076,8.892,8.892,21.671,23.169,1,5.531,4.01,1.534,20.155,8.327,11.379,7.124,13.447,13.134,8.552,16.099,14.996,9.525,18.459,16.878,10.796,21.012,18.777,11.907,20.687
7.328,5.007,3.05,5.05,3.05,6.173,17.495,4.738,1.424,10.529,8.008,10.007,10.956,12.098,13.127,14.239,15.306,16.409,4.181,3.242,6.125,8.959,3.242,8.959,5.242,18.769,4.181,3.242,6.082,1.27,17.136,3.979,8.757,8.757,21.659,23.16,1,5.253,3.999,1.504,20.139,7.958,11.098,6.836,12.889,12.929,8.306,15.549,14.735,9.143,17.686,16.56,10.41,20.181,18.401,11.42,20.253
6.752,5.019,3.045,5.045,3.045,6.167,17.403,4.76,1.415,10.009,7.988,9.972,10.915,12.047,13.069,14.172,15.231,16.325,4.18,3.241,6.106,8.899,3.241,8.899,5.241,18.766,4.18,3.241,5.885,1.278,17.132,3.928,8.426,8.426,21.657,23.158,1,5.253,4.01,1.49,20.137,7.912,11.049,6.825,12.808,12.889,8.284,15.459,14.685,9.115,17.573,16.499,10.371,20.059,18.329,11.373,20.171
8.301,5.177,3.303,5.303,3.303,6.347,18.368,4.917,1.743,13.506,8.315,10.448,11.499,12.665,13.773,14.927,16.063,17.218,4.408,3.449,6.42,9.717,3.449,9.717,5.449,20.873,4.408,3.449,6.22,1.425,17.179,4.119,9.309,9.309,21.691,23.19,1,5.481,4.192,1.823,20.174,8.34,11.417,7.155,13.426,13.21,8.574,16.097,15.076,9.534,18.41,16.962,10.796,20.968,18.865,11.893,20.781
7.854,5.129,3.503,5.503,3.503,6.425,19.021,4.876,1.702,12.675,8.463,10.686,11.798,13.009,14.18,15.389,16.589,17.805,4.594,3.628,6.485,9.936,3.628,9.936,5.628,22.685,4.594,3.628,6.22,1.444,17.201,4.122,9.31,9.31,21.705,23.203,1,5.668,4.165,1.766,20.191,8.517,11.607,7.266,13.773,13.325,8.7,16.499,15.222,9.709,18.973,17.144,10.998,21.626,19.086,12.145,21.044
7.328,5.21,3.143,5.143,3.143,6.336,18.014,4.972,1.712,12.013,8.271,10.353,11.366,12.506,13.575,14.696,15.791,16.907,4.228,3.267,6.531,10.14,3.267,10.14,5.267,18.823,4.228,3.267,6.22,1.322,17.165,4.123,9.311,9.311,21.681,23.181,1,5.301,4.201,1.787,20.163,8.255,11.291,7.116,13.195,13.109,8.523,15.805,14.937,9.443,17.996,16.781,10.685,20.469,18.636,11.74,20.501
7.481,5.151,3.39,5.39,3.39,6.415,18.675,4.915,1.681,11.632,8.421,10.594,11.669,12.853,13.986,15.161,16.321,17.499,4.458,3.485,6.572,10.258,3.485,10.258,5.485,20.493,4.458,3.485,6.22,1.344,17.182,4.125,9.311,9.311,21.69,23.189,1,5.532,4.185,1.739,20.175,8.427,11.467,7.231,13.521,13.229,8.651,16.165,15.088,9.622,18.51,16.966,10.888,21.057,18.86,11.993,20.765
7.347,5.14,3.08,5.08,3.08,6.301,17.693,4.896,1.692,12.154,8.167,10.186,11.148,12.288,13.323,14.434,15.504,16.607,4.206,3.264,6.221,9.313,3.264,9.313,5.264,18.826,4.206,3.264,6.109,1.585,17.158,4.001,8.874,8.874,21.679,23.18,1,5.28,4.175,1.706,20.159,8.098,11.214,6.976,13.014,13.044,8.431,15.662,14.853,9.283,17.794,16.68,10.543,20.281,18.52,11.557,20.371
7.77,5.151,3.08,5.08,3.08,6.295,17.619,4.915,1.681,11.632,8.15,10.157,11.114,12.246,13.275,14.38,15.443,16.539,4.206,3.264,6.22,9.312,3.264,9.312,5.264,18.823,4.206,3.264,6.045,1.654,17.155,3.956,8.696,8.696,21.677,23.178,1,5.28,4.185,1.693,20.157,8.059,11.17,6.967,12.943,13.009,8.411,15.582,14.808,9.258,17.694,16.626,10.508,20.171,18.457,11.516,20.298
6.222,4.993,3.079,5.079,3.079,6.161,17.524,4.759,1.516,10.918,8.02,10.036,11.0,12.134,13.168,14.275,15.342,16.441,4.206,3.264,6.22,9.311,3.264,9.311,5.264,18.823,4.206,3.264,6.045,1.265,17.151,3.93,8.681,8.681,21.675,23.177,2,5.309,4.06,1.564,20.155,7.951,11.064,6.836,12.865,12.903,8.294,15.506,14.711,9.137,17.635,16.537,10.396,20.116,18.376,11.404,20.225
7.268,4.916,3.047,5.047,3.047,6.042,17.297,4.649,1.668,8.804,7.866,9.856,10.802,11.936,12.96,14.064,15.124,16.219,4.182,3.243,6.148,9.026,3.243,9.026,5.243,18.774,4.182,3.243,5.958,1.252,17.119,3.956,8.333,8.333,21.645,23.147,1,5.254,3.855,1.662,20.124,7.779,10.915,6.673,12.691,12.765,8.148,15.337,14.566,8.969,17.457,16.386,10.232,19.939,18.221,11.229,20.066
8.155,5.06,3.081,5.081,3.081,6.186,17.535,4.821,1.946,10.484,8.047,10.062,11.022,12.156,13.187,14.293,15.357,16.454,4.208,3.266,6.226,9.322,3.266,9.322,5.266,18.83,4.208,3.266,6.099,1.355,17.141,3.994,8.863,8.863,21.665,23.167,1,5.281,4.056,1.879,20.145,7.945,11.052,6.836,12.842,12.899,8.292,15.474,14.705,9.133,17.592,16.527,10.389,20.064,18.362,11.392,20.206
7.284,5.023,3.081,5.081,3.081,6.179,17.533,4.796,1.904,10.521,8.041,10.058,11.021,12.153,13.186,14.291,15.356,16.452,4.208,3.266,6.226,9.322,3.266,9.322,5.266,18.83,4.208,3.266,6.099,1.325,17.141,3.994,8.863,8.863,21.665,23.167,2,5.311,4.045,1.845,20.145,7.945,11.052,6.836,12.842,12.899,8.292,15.474,14.705,9.133,17.592,16.527,10.389,20.064,18.362,11.392,20.206
7.337,5.094,3.301,5.301,3.301,6.242,18.275,4.819,1.928,10.909,8.198,10.33,11.383,12.551,13.664,14.821,15.961,17.12,4.402,3.443,6.235,9.273,3.443,9.273,5.443,20.772,4.402,3.443,6.101,1.354,17.148,4.054,8.81,8.81,21.66,23.16,1,5.475,3.99,1.89,20.144,8.227,11.314,7.04,13.331,13.11,8.466,16.007,14.978,9.424,18.331,16.867,10.69,20.895,18.773,11.79,20.693
8.155,5.216,3.301,5.301,3.301,6.361,18.371,4.966,2.204,12.621,8.331,10.463,11.512,12.676,13.783,14.935,16.069,17.222,4.402,3.443,6.247,9.363,3.443,9.363,5.443,20.772,4.402,3.443,6.2,1.391,17.17,4.111,9.177,9.177,21.68,23.18,1,5.476,4.168,2.107,20.164,8.336,11.408,7.155,13.413,13.208,8.573,16.079,15.071,9.531,18.39,16.956,10.792,20.945,18.857,11.886,20.77
7.42,5.117,3.142,5.142,3.142,6.23,17.881,4.843,1.847,10.005,8.148,10.222,11.232,12.372,13.44,14.561,15.656,16.773,4.222,3.257,6.368,9.641,3.257,9.641,5.257,18.774,4.222,3.257,6.144,1.261,17.133,4.068,9.004,9.004,21.65,23.151,1,5.294,3.991,1.84,20.132,8.131,11.174,6.995,13.073,12.999,8.408,15.683,14.824,9.321,17.875,16.665,10.566,20.347,18.519,11.618,20.382
8.155,5.236,3.142,5.142,3.142,6.351,18.02,4.986,2.12,11.701,8.288,10.369,11.381,12.52,13.587,14.706,15.799,16.914,4.223,3.267,6.368,9.642,3.267,9.642,5.267,18.83,4.223,3.267,6.224,1.365,17.155,4.117,9.317,9.317,21.67,23.171,1,5.296,4.169,2.059,20.152,8.25,11.282,7.116,13.179,13.107,8.522,15.782,14.932,9.439,17.966,16.773,10.68,20.432,18.626,11.732,20.486
6.804,4.88,3.045,5.045,3.045,6.022,17.285,4.611,1.281,9.217,7.841,9.83,10.775,11.912,12.938,14.045,15.107,16.205,4.18,3.241,6.105,8.893,3.241,8.893,5.241,18.766,4.18,3.241,5.711,1.206,17.129,3.837,7.691,7.691,21.656,23.157,1,5.252,3.874,1.39,20.135,7.786,10.929,6.673,12.718,12.769,8.149,15.372,14.573,8.974,17.507,16.397,10.24,19.997,18.237,11.242,20.088
