pXC50,N.,Mi,nX,nF,X.,nN,Me,Mv,AMW,nHet,nBT,nCsp3,MW,H.,nH,Sp,RBN,SCBO,Se,C.,Mp,nAB,nAT,nB
4.0,5.2,1.13,0,0,0.0,3,1.009,0.62,7.337,8,59,7,425.53,46.6,27,37.426,11,42.0,58.545,39.7,0.645,12,58,0
4.0,7.4,1.133,0,0,0.0,4,1.002,0.612,7.084,7,55,7,382.51,48.1,26,34.762,10,38.0,54.109,38.9,0.644,12,54,0
4.23,7.4,1.132,1,0,1.9,4,1.008,0.627,7.721,8,55,7,416.95,46.3,25,35.62,10,39.0,54.432,38.9,0.66,12,54,0
4.0,6.7,1.126,1,0,1.7,4,1.005,0.64,7.783,8,62,7,467.01,45.0,27,40.381,10,46.5,60.316,41.7,0.673,17,60,0
4.0,7.4,1.141,0,0,0.0,5,1.012,0.6,7.171,11,69,11,487.62,48.5,33,42.415,13,45.5,68.843,35.3,0.624,11,68,0
4.0,7.4,1.141,0,0,0.0,5,1.012,0.6,7.171,11,69,11,487.62,48.5,33,42.415,13,45.5,68.843,35.3,0.624,11,68,0
4.41,9.4,1.141,0,0,0.0,5,1.012,0.608,7.311,9,54,7,387.49,47.2,25,33.461,10,37.5,53.654,35.8,0.631,11,53,0
4.312,9.4,1.141,0,0,0.0,5,1.012,0.608,7.311,9,54,7,387.49,47.2,25,33.461,10,37.5,53.654,35.8,0.631,11,53,0
4.0,5.1,1.136,0,0,0.0,4,1.003,0.593,6.845,10,80,13,540.73,50.6,40,49.455,15,50.0,79.276,36.7,0.626,12,79,0
4.228,6.3,1.135,0,0,0.0,4,1.001,0.599,6.884,8,65,9,440.6,50.0,32,40.5,13,42.0,64.087,37.5,0.633,12,64,0
4.0,5.5,1.127,0,0,0.0,4,0.994,0.612,6.859,7,75,9,500.7,49.3,36,47.569,14,51.0,72.527,41.1,0.652,18,73,0
8.301,7.5,1.138,0,0,0.0,15,1.002,0.595,7.101,29,205,44,1413.06,50.8,101,126.768,41,125.0,199.351,34.7,0.637,16,199,0
6.818,5.2,1.139,0,0,0.0,5,1.001,0.58,6.618,12,99,21,641.9,52.6,51,59.722,18,58.0,97.123,35.1,0.616,10,97,0
4.488,8.1,1.123,0,0,0.0,3,1.018,0.664,8.578,7,38,3,317.4,40.5,15,25.597,5,31.0,37.665,40.5,0.692,12,37,0
4.0,8.3,1.12,0,0,0.0,3,1.009,0.662,8.372,6,37,3,301.4,41.7,15,25.142,5,30.0,36.338,41.7,0.698,12,36,0
4.0,7.5,1.124,0,0,0.0,3,1.014,0.652,8.286,7,41,4,331.43,42.5,17,27.358,6,32.0,40.549,40.0,0.684,12,40,0
4.0,7.7,1.122,0,0,0.0,3,1.006,0.65,8.088,6,40,4,315.43,43.6,17,26.904,5,31.0,39.222,41.0,0.69,12,39,0
4.0,2.8,1.11,0,0,0.0,1,1.01,0.668,8.372,5,37,2,301.39,41.7,15,25.347,5,30.0,36.345,44.4,0.704,12,36,0
4.266,8.1,1.13,0,0,0.0,3,1.025,0.651,8.144,7,38,3,301.33,40.5,15,24.404,5,31.0,37.916,40.5,0.66,12,37,0
4.0,5.3,1.125,0,0,0.0,2,1.018,0.647,7.904,6,39,3,300.34,42.1,16,25.159,5,31.0,38.698,42.1,0.662,12,38,0
4.0,8.6,1.124,0,0,0.0,3,1.01,0.653,8.268,6,36,3,289.39,42.9,15,24.142,4,28.0,35.338,40.0,0.69,12,35,0
4.0,7.7,1.127,0,0,0.0,3,1.014,0.643,8.19,7,40,4,319.42,43.6,17,26.358,5,30.0,39.549,38.5,0.676,12,39,0
4.0,6.7,1.114,0,0,0.0,2,1.012,0.676,8.678,5,31,2,260.34,40.0,12,21.375,4,26.0,30.353,43.3,0.713,12,30,0
4.0,7.5,1.124,0,0,0.0,3,1.014,0.652,8.286,7,41,4,331.43,42.5,17,27.358,5,32.0,40.549,40.0,0.684,12,40,0
4.0,6.8,1.112,0,0,0.0,3,1.012,0.684,8.624,7,46,2,379.47,38.6,17,31.358,6,40.0,44.549,45.5,0.713,18,44,0
4.0,4.8,1.121,0,0,0.0,2,0.997,0.629,7.535,5,43,6,316.46,47.6,20,28.421,5,30.0,41.887,40.5,0.677,12,42,0
4.0,6.7,1.112,1,0,3.3,2,1.023,0.704,9.826,6,31,2,294.78,36.7,11,22.233,4,27.0,30.676,43.3,0.741,12,30,0
4.0,6.5,1.117,0,0,0.0,2,1.022,0.678,8.914,6,32,2,276.34,38.7,12,21.83,4,27.0,31.68,41.9,0.704,12,31,0
4.0,5.6,1.118,0,0,0.0,2,1.025,0.674,8.844,7,38,4,318.38,38.9,14,25.046,4,31.0,36.891,41.7,0.696,12,36,0
4.0,8.6,1.118,0,0,0.0,3,1.022,0.687,9.011,7,37,3,315.38,37.1,13,24.835,4,32.0,35.782,42.9,0.71,12,35,0
4.0,7.4,1.108,0,0,0.0,2,1.02,0.702,9.866,6,28,2,266.37,37.0,10,20.261,4,24.5,27.545,40.7,0.75,11,27,0
4.0,8.3,1.134,0,0,0.0,2,1.033,0.645,8.928,6,24,3,214.27,41.7,10,16.068,4,18.0,24.796,33.3,0.67,6,24,0
4.0,8.7,1.13,0,0,0.0,2,1.02,0.642,8.62,5,23,3,198.27,43.5,10,15.614,3,17.0,23.469,34.8,0.679,6,23,0
4.0,6.3,1.133,0,0,0.0,2,1.004,0.605,7.511,5,32,6,240.36,50.0,16,20.898,4,20.0,32.12,34.4,0.653,6,32,0
4.0,6.3,1.133,0,0,0.0,2,1.028,0.633,8.448,7,32,5,270.34,43.8,14,21.046,7,23.0,32.891,34.4,0.658,6,32,0
4.0,6.8,1.127,0,0,0.0,3,1.0,0.623,7.534,6,45,6,331.48,47.7,21,29.426,8,31.0,43.989,38.6,0.669,12,44,0
4.0,6.0,1.128,0,0,0.0,3,0.995,0.61,7.191,6,51,8,359.54,50.0,25,32.949,10,33.0,49.756,38.0,0.659,12,50,0
6.26,5.7,1.13,0,0,0.0,3,1.006,0.617,7.236,7,54,6,383.49,47.2,25,34.211,10,38.0,53.334,39.6,0.645,12,53,0
5.0,3.2,1.141,0,0,0.0,2,1.005,0.568,6.517,8,63,13,410.57,54.0,34,37.921,14,34.0,63.305,33.3,0.602,6,63,0
5.0,3.0,1.141,0,0,0.0,2,1.003,0.565,6.433,8,66,14,424.6,54.5,36,39.682,15,35.0,66.189,33.3,0.601,6,66,0
5.0,1.8,1.131,0,0,0.0,1,1.002,0.589,6.706,6,57,11,375.51,51.8,29,34.938,11,34.0,56.109,37.5,0.624,6,56,0
5.0,1.7,1.134,0,0,0.0,1,1.0,0.578,6.509,6,59,13,377.53,53.4,31,35.699,11,33.0,57.992,36.2,0.616,6,58,0
7.796,7.1,1.139,0,0,0.0,4,0.992,0.578,6.402,6,57,10,358.54,53.6,30,34.83,10,34.0,55.549,35.7,0.622,10,56,0
7.959,7.5,1.14,0,0,0.0,4,0.994,0.582,6.5,6,54,9,344.51,52.8,28,33.069,9,33.0,52.665,35.8,0.624,10,53,0
8.102,6.5,1.139,0,0,0.0,4,0.989,0.571,6.235,6,63,12,386.6,54.8,34,38.353,8,36.0,61.316,35.5,0.619,10,62,0
8.208,7.1,1.139,0,0,0.0,4,0.992,0.578,6.402,6,57,10,358.54,53.6,30,34.83,11,34.0,55.549,35.7,0.622,10,56,0
8.18,6.8,1.139,0,0,0.0,4,0.99,0.574,6.315,6,60,11,372.57,54.2,32,36.591,11,35.0,58.432,35.6,0.62,10,59,0
8.276,7.1,1.139,0,0,0.0,4,0.992,0.578,6.402,6,57,10,358.54,53.6,30,34.83,10,34.0,55.549,35.7,0.622,10,56,0
8.62,7.4,1.137,0,0,0.0,4,0.994,0.59,6.602,6,55,8,356.52,51.9,28,34.069,10,35.0,53.665,37.0,0.631,10,54,0
8.444,7.1,1.139,0,0,0.0,4,0.992,0.578,6.402,6,57,10,358.54,53.6,30,34.83,10,34.0,55.549,35.7,0.622,10,56,0
4.745,3.9,1.138,0,0,0.0,3,1.003,0.575,6.998,11,76,18,531.82,53.9,41,47.506,9,40.0,76.21,31.6,0.625,0,76,0
4.301,4.2,1.133,0,0,0.0,3,1.007,0.595,7.609,12,73,17,547.84,51.4,37,46.631,5,41.0,72.52,31.9,0.648,0,72,0
6.328,5.4,1.137,0,0,0.0,4,1.007,0.591,7.335,12,74,15,542.8,51.4,38,46.989,6,43.0,74.545,32.4,0.635,0,74,0
4.377,4.1,1.135,0,0,0.0,3,1.005,0.586,7.431,12,74,17,549.86,52.7,39,47.392,9,40.0,74.403,31.1,0.64,0,74,0
4.658,4.1,1.136,0,0,0.0,3,1.004,0.584,7.159,11,75,18,529.8,52.7,39,46.745,5,41.0,74.327,32.4,0.632,0,74,0
6.215,4.8,1.15,3,3,3.6,4,1.019,0.596,7.271,13,86,19,610.75,48.8,41,51.79,11,53.0,85.581,35.7,0.617,6,84,0
6.365,15.2,1.142,0,0,0.0,10,1.026,0.652,8.282,15,68,7,546.61,39.4,26,43.421,14,57.5,67.723,37.9,0.658,17,66,0
6.421,17.9,1.152,0,0,0.0,10,1.021,0.626,7.867,13,57,8,440.53,42.9,24,35.75,13,44.5,57.185,33.9,0.638,11,56,0
6.896,3.8,1.121,0,0,0.0,2,1.004,0.636,7.405,6,56,7,392.49,45.3,24,35.205,4,41.0,53.232,43.4,0.664,12,53,0
6.446,5.3,1.114,0,0,0.0,2,1.021,0.686,8.483,6,40,1,322.34,36.8,14,26.398,4,36.0,38.814,47.4,0.695,12,38,0
5.0,4.5,1.134,0,0,0.0,4,0.995,0.588,6.578,9,90,18,578.83,52.3,46,55.285,11,54.5,87.599,37.5,0.628,11,88,0
5.959,6.5,1.123,0,0,0.0,3,0.998,0.636,7.292,5,49,5,335.44,45.7,21,30.779,3,37.0,45.912,43.5,0.669,16,46,0
4.0,6.3,1.12,0,0,0.0,2,1.031,0.679,9.136,7,33,2,292.34,37.5,12,22.284,4,28.0,33.007,40.6,0.696,12,32,0
5.943,3.4,1.141,0,0,0.0,2,0.99,0.548,6.183,6,58,16,358.61,58.6,34,35.205,10,26.0,57.4,31.0,0.607,0,58,0
5.987,3.6,1.141,0,0,0.0,2,0.991,0.55,6.265,6,55,15,344.58,58.2,32,33.444,10,25.0,54.516,30.9,0.608,0,55,0
4.523,4.4,1.114,0,0,0.0,2,0.996,0.649,7.387,4,47,2,332.43,44.4,20,30.773,7,37.0,44.811,46.7,0.684,18,45,0
6.004,4.5,1.132,0,0,0.0,4,1.006,0.602,7.374,13,90,19,648.93,50.0,44,56.728,16,55.0,88.523,35.2,0.645,6,88,0
4.0,5.3,1.131,0,0,0.0,4,1.003,0.605,7.406,11,79,17,562.83,50.0,38,49.534,2,48.0,76.218,35.5,0.652,6,76,0
5.921,4.8,1.137,0,0,0.0,4,1.002,0.582,7.047,12,84,21,584.89,53.0,44,52.273,14,46.0,83.196,32.5,0.63,0,83,0
6.484,4.9,1.138,0,0,0.0,4,1.008,0.586,7.245,13,82,20,586.86,51.9,42,50.966,14,46.0,81.64,32.1,0.629,0,81,0
6.585,5.7,1.127,0,0,0.0,5,1.001,0.623,7.17,10,91,11,623.82,47.1,41,57.006,15,66.0,87.05,41.4,0.655,26,87,0
4.0,5.3,1.119,0,0,0.0,2,1.01,0.655,7.799,5,40,2,296.35,42.1,16,25.705,4,33.0,38.371,44.7,0.676,16,38,0
4.337,6.6,1.126,2,1,3.3,4,1.008,0.657,8.082,8,64,5,493.02,42.6,26,41.864,6,50.0,61.501,44.3,0.686,18,61,0
4.886,6.6,1.12,1,0,1.6,4,1.0,0.65,7.787,7,64,5,475.03,44.3,27,41.926,6,49.0,60.989,44.3,0.687,18,61,0
4.444,6.6,1.12,1,0,1.6,4,1.0,0.65,7.787,7,64,5,475.03,44.3,27,41.926,6,49.0,60.989,44.3,0.687,18,61,0
4.357,10.8,1.119,0,0,0.0,4,1.015,0.685,8.822,7,39,1,326.41,37.8,14,26.387,5,34.5,37.556,43.2,0.713,17,37,0
4.0,11.1,1.122,0,0,0.0,4,1.015,0.676,8.733,7,38,2,314.4,38.9,14,25.387,5,33.0,36.556,41.7,0.705,16,36,0
4.0,10.3,1.126,0,0,0.0,4,1.009,0.658,7.907,6,41,2,308.37,41.0,16,26.5,5,34.5,39.363,43.6,0.679,17,39,0
4.523,11.1,1.125,0,0,0.0,4,1.013,0.671,8.176,6,38,1,294.34,38.9,14,24.739,4,33.5,36.48,44.4,0.687,17,36,0
5.027,6.3,1.131,0,0,0.0,3,1.003,0.614,7.114,6,49,5,341.45,47.9,23,30.995,7,34.0,48.123,39.6,0.646,12,48,0
6.268,2.2,1.131,0,0,0.0,2,0.968,0.551,5.429,2,94,21,504.93,60.2,56,57.569,24,46.0,90.061,37.6,0.619,12,93,0
7.788,5.0,1.139,0,0,0.0,2,1.012,0.591,7.009,6,40,6,280.36,50.0,20,24.682,8,25.0,40.465,35.0,0.617,6,40,0
7.083,4.7,1.139,0,0,0.0,2,1.008,0.585,6.846,6,43,7,294.39,51.2,22,26.443,8,26.0,43.349,34.9,0.615,6,43,0
7.924,4.7,1.139,0,0,0.0,2,1.008,0.585,6.846,6,43,7,294.39,51.2,22,26.443,8,26.0,43.349,34.9,0.615,6,43,0
4.477,9.1,1.145,0,0,0.0,4,1.008,0.59,6.964,7,45,7,306.41,50.0,22,27.239,5,28.0,44.342,34.1,0.619,6,44,0
4.477,8.3,1.128,0,0,0.0,3,1.016,0.649,7.926,6,37,2,285.33,41.7,15,23.949,5,30.0,36.589,41.7,0.665,12,36,0
4.477,5.4,1.122,0,0,0.0,2,1.01,0.645,7.685,5,38,2,284.34,43.2,16,24.705,5,30.0,37.371,43.2,0.668,12,37,0
4.477,5.9,1.121,0,0,0.0,2,1.014,0.657,7.95,5,35,1,270.31,41.2,14,22.943,4,29.0,34.487,44.1,0.675,12,34,0
4.477,6.5,1.119,0,0,0.0,2,1.019,0.672,8.267,5,32,0,256.28,38.7,12,21.182,3,28.0,31.604,45.2,0.683,12,31,0
4.477,8.3,1.137,0,0,0.0,2,1.03,0.637,8.092,5,24,1,194.21,41.7,10,15.42,2,19.0,24.72,37.5,0.643,6,24,0
5.04,4.8,1.143,0,0,0.0,1,1.008,0.575,6.723,3,21,4,141.19,52.4,11,12.722,1,12.0,21.174,33.3,0.606,0,21,0
4.477,4.3,1.148,0,0,0.0,1,1.003,0.548,6.227,3,23,6,143.21,56.5,13,13.483,1,11.0,23.058,30.4,0.586,0,23,0
4.662,5.6,1.143,0,0,0.0,1,1.016,0.587,7.064,3,18,3,127.16,50.0,9,10.96,1,11.0,18.291,33.3,0.609,0,18,0
7.42,3.2,1.125,0,0,0.0,2,0.992,0.601,6.914,6,63,10,428.65,51.6,32,40.444,11,39.0,61.516,38.7,0.652,12,62,0
7.481,5.3,1.131,0,0,0.0,3,0.997,0.601,7.081,7,58,10,403.6,50.9,29,36.927,10,36.5,56.851,36.8,0.648,11,57,0
4.301,7.3,1.114,0,0,0.0,4,1.008,0.676,8.338,8,58,2,458.58,40.0,22,38.887,8,49.5,55.418,45.5,0.707,23,55,0
6.553,3.8,1.129,0,0,0.0,2,0.989,0.587,6.703,5,53,11,348.56,53.8,28,33.466,9,30.0,51.421,36.5,0.644,6,52,0
6.187,3.8,1.128,1,0,1.9,2,0.995,0.603,7.365,6,53,11,383.0,51.9,27,34.324,9,31.0,51.745,36.5,0.66,6,52,0
6.013,4.3,1.142,0,0,0.0,2,0.997,0.559,6.576,6,46,12,302.49,56.5,26,28.159,9,22.0,45.865,30.4,0.612,0,46,0
4.699,7.1,1.113,0,0,0.0,3,1.005,0.675,8.368,6,44,1,351.46,40.5,17,29.904,4,37.5,42.222,45.2,0.712,17,42,0
5.721,3.7,1.144,0,0,0.0,2,0.991,0.542,6.159,6,53,14,332.57,59.3,32,32.444,10,23.0,53.516,29.6,0.601,0,54,0
4.506,5.0,1.142,0,0,0.0,2,0.983,0.543,6.111,4,40,11,244.45,60.0,24,24.489,7,17.0,39.327,30.0,0.612,0,40,0
6.137,3.7,1.14,0,0,0.0,2,0.985,0.547,6.085,5,54,15,328.58,59.3,32,32.989,9,24.0,53.189,31.5,0.611,0,54,0
6.658,5.4,1.139,0,0,0.0,3,0.983,0.555,6.423,6,56,15,359.67,58.9,33,35.188,9,25.0,55.04,30.4,0.628,0,56,0
5.936,4.3,1.142,0,0,0.0,2,0.997,0.559,6.576,6,46,12,302.49,56.5,26,28.159,9,22.0,45.865,30.4,0.612,0,46,0
6.886,3.6,1.131,0,0,0.0,2,0.993,0.585,6.761,6,57,12,378.59,53.6,30,35.682,11,32.0,55.632,35.7,0.637,6,56,0
4.301,11.1,1.125,0,0,0.0,3,1.006,0.662,7.899,4,28,0,213.26,40.7,11,18.517,2,24.0,27.167,44.4,0.686,12,27,0
8.377,6.4,1.128,0,0,0.0,5,0.996,0.61,7.306,10,81,15,569.87,50.0,39,51.631,8,51.0,77.665,37.2,0.662,12,78,0
7.284,7.1,1.134,0,0,0.0,5,1.003,0.603,7.454,11,72,15,521.78,50.0,35,45.563,8,44.0,70.225,34.3,0.651,6,70,0
7.745,6.3,1.128,0,0,0.0,5,1.0,0.616,7.473,11,83,15,597.88,48.8,39,53.086,10,54.0,79.992,37.5,0.664,12,80,0
8.796,6.0,1.129,0,0,0.0,5,1.002,0.614,7.475,12,87,16,627.91,48.8,41,55.302,12,56.0,84.203,36.9,0.658,12,84,0
5.678,6.3,1.113,0,0,0.0,3,1.007,0.675,8.03,6,51,2,385.45,39.6,19,33.472,5,44.0,48.356,47.9,0.697,18,48,0
6.658,5.1,1.116,0,0,0.0,2,1.01,0.663,7.907,5,41,2,308.36,41.0,16,26.705,4,34.0,39.371,46.2,0.685,12,39,0
6.745,3.9,1.121,0,0,0.0,2,0.998,0.627,7.147,5,53,6,364.48,47.1,24,33.75,5,38.0,50.905,43.1,0.662,12,51,0
7.009,4.1,1.109,0,0,0.0,2,1.003,0.672,7.846,5,52,2,384.46,40.8,20,34.228,5,44.0,49.138,49.0,0.699,18,49,0
7.252,6.3,1.113,0,0,0.0,3,1.007,0.675,8.03,6,51,2,385.45,39.6,19,33.472,5,44.0,48.356,47.9,0.697,18,48,0
6.188,3.5,1.131,0,0,0.0,2,1.006,0.605,7.027,7,58,8,400.52,49.1,28,36.182,12,38.0,57.327,38.6,0.635,12,57,0
7.638,6.3,1.135,0,0,0.0,5,0.998,0.593,7.138,11,81,18,563.87,51.9,41,50.847,10,47.0,78.876,34.2,0.644,6,79,0
7.481,6.3,1.135,0,0,0.0,5,0.998,0.593,7.138,11,81,18,563.87,51.9,41,50.847,10,47.0,78.876,34.2,0.644,6,79,0
4.301,6.6,1.139,0,0,0.0,5,1.002,0.587,6.759,10,77,14,513.71,51.3,39,47.245,8,47.0,76.167,35.5,0.622,6,76,0
4.301,8.1,1.113,0,0,0.0,3,0.998,0.674,7.821,4,39,0,289.36,40.5,15,26.04,3,34.0,36.934,48.6,0.704,18,37,0
4.301,8.8,1.109,0,0,0.0,3,1.004,0.694,8.688,5,36,0,295.39,38.2,13,24.926,3,32.5,34.127,47.1,0.733,17,34,0
5.5,5.3,1.138,0,0,0.0,4,1.009,0.593,6.983,11,77,14,530.69,50.0,38,47.148,8,48.0,76.72,35.5,0.62,6,76,0
4.301,7.1,1.14,0,0,0.0,5,1.006,0.594,6.938,10,71,12,485.65,50.0,35,43.722,7,45.0,70.4,35.7,0.625,6,70,0
5.0,5.5,1.127,0,0,0.0,4,0.994,0.612,6.859,7,76,11,500.7,49.3,36,47.569,13,52.5,72.527,41.1,0.652,21,73,0
4.301,2.7,1.103,0,0,0.0,1,0.998,0.679,7.82,3,39,0,289.35,40.5,15,26.245,3,34.0,36.942,51.4,0.709,18,37,0
8.398,8.1,1.133,0,0,0.0,12,1.002,0.612,7.416,22,153,26,1097.59,48.6,72,97.035,35,101.0,148.25,36.5,0.656,22,148,0
4.301,5.3,1.108,0,0,0.0,2,0.993,0.67,7.589,3,40,0,288.37,42.1,16,26.796,3,34.0,37.716,50.0,0.705,18,38,0
4.301,5.7,1.103,0,0,0.0,2,0.997,0.689,8.411,4,37,0,294.4,40.0,14,25.682,3,32.5,34.909,48.6,0.734,17,35,0
