pXC50,P_VSA_i_4,CATS2D_06_DL,GATS8m,JGI6,H.049,SaaN,PCR,SaasC,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID
6.222,106.322,1,1.245,0.013,1,8.695,1.528,4.029,1.746,13.333,4.745,22.514,119.824,9.054,0.545,3.955,4.059,3.725,3.581,5.227,3.559,4.418,4.547,4.095,3.962,5.731,3.914,4.644,4.829,4.111,4.056,5.8,3.979,4.667,4.861,4.055,3.979,5.922,3.901,4.571,4.784,3.874,3.854,5.766,3.785,4.441,4.641,3.876,3.786,5.666,3.732,4.46,4.662,3.763,3.74,5.709,3.694,4.38,4.577,3.624,3.682,5.613,3.604,0.159,0.723,6.447,3.657,8.554,3.987,0.29,1.143,12.372,6.344,43.773,7.065,0.283,1.381,21.271,8.783,30.279,9.884,0.446,1.405,23.396,8.659,54.41,9.497,0.396,1.255,21.697,7.715,62.234,8.588,0.303,1.159,17.145,6.492,36.51,7.951,0.384,1.137,16.89,6.118,60.224,6.616,0.415,1.025,16.74,6.09,59.871,6.547,14,45,0.292,0.641,0.767,0.856,0.873,0.873,3.44
5.301,100.652,2,1.131,0.013,1,8.827,1.51,5.775,1.503,12.429,5.337,28.48,117.54,8.203,0.581,3.947,4.062,3.65,3.607,5.102,3.557,4.427,4.584,4.017,3.985,5.497,3.904,4.641,4.838,4.023,4.081,5.657,3.966,4.669,4.894,3.957,4.003,5.728,3.875,4.574,4.815,3.809,3.87,5.631,3.768,4.437,4.643,3.821,3.806,5.607,3.725,4.46,4.69,3.689,3.762,5.573,3.677,4.383,4.616,3.529,3.703,5.414,3.59,0.031,0.696,8.456,3.964,9.332,4.919,0.152,1.138,16.229,6.89,13.829,8.729,0.129,1.37,23.525,9.279,20.816,11.466,0.256,1.433,26.283,9.425,36.327,11.977,0.192,1.285,23.665,8.213,30.696,10.375,0.223,1.155,18.705,6.791,31.882,8.917,0.167,1.15,19.08,6.715,34.069,8.657,0.186,1.054,18.98,6.576,32.153,8.249,6,42,0.252,0.621,0.764,0.852,0.873,0.873,3.374
5.027,85.765,0,2.113,0.018,1,8.609,1.426,3.342,1.608,7.905,3.299,10.885,87.367,8.688,0.522,3.641,3.756,3.405,3.272,4.85,3.231,4.108,4.281,3.789,3.638,5.212,3.576,4.237,4.4,3.813,3.739,5.371,3.644,4.331,4.559,3.76,3.674,5.501,3.578,4.111,4.288,3.562,3.564,5.318,3.475,4.101,4.305,3.521,3.482,5.324,3.392,4.035,4.255,3.361,3.354,5.259,3.256,3.918,4.146,2.868,3.175,5.039,3.016,0.018,0.552,5.549,2.77,7.217,3.216,0.183,0.883,12.036,4.611,11.503,5.429,0.069,0.98,14.604,6.026,12.932,6.814,0.313,1.071,19.752,6.048,35.023,6.999,0.09,0.845,12.771,5.02,18.291,5.795,0.183,0.83,13.397,5.002,23.238,6.43,0.097,0.755,11.457,4.416,25.042,5.51,0.194,0.684,16.042,4.561,35.45,4.56,14,32,0.293,0.677,0.76,0.822,0.833,0.833,3.104
5.125,115.538,1,0.8,0.014,1,7.915,1.434,2.772,1.656,7.211,2.391,5.714,77.639,9.548,0.571,3.477,3.586,3.313,3.148,4.78,3.119,3.887,4.009,3.707,3.515,5.142,3.457,4.054,4.22,3.689,3.581,5.239,3.491,4.001,4.167,3.638,3.49,5.307,3.395,3.9,4.089,3.415,3.324,5.209,3.25,3.772,3.954,3.366,3.184,5.234,3.127,3.677,3.885,2.924,2.975,5.006,2.912,3.426,3.667,2.422,2.665,4.518,2.549,0.055,0.467,3.507,2.036,9.36,1.945,0.121,0.721,6.383,3.491,12.345,3.703,0.142,0.825,11.533,4.824,17.629,4.662,0.181,0.805,11.4,4.561,20.549,4.639,0.133,0.698,10.546,4.064,25.449,4.058,0.173,0.639,8.594,3.305,28.185,3.687,0.143,0.554,8.132,2.834,26.799,2.569,0.082,0.381,5.591,2.41,15.444,3.022,6,29,0.313,0.681,0.804,0.883,0.896,0.896,3.011
5.301,85.765,0,1.257,0.017,1,9.085,1.411,3.504,1.511,9.44,5.044,25.445,105.911,7.642,0.444,3.906,4.033,3.549,3.508,4.999,3.448,4.425,4.619,3.91,3.876,5.398,3.781,4.638,4.873,3.964,3.978,5.569,3.861,4.657,4.894,3.986,3.97,5.703,3.868,4.631,4.848,3.873,3.969,5.697,3.865,4.701,4.952,3.817,3.961,5.727,3.835,4.62,4.87,3.666,3.882,5.6,3.732,4.524,4.787,3.489,3.753,5.475,3.569,0.031,0.712,9.702,4.169,9.774,5.492,0.193,1.148,19.262,7.096,15.495,9.489,0.168,1.35,26.587,9.19,21.799,12.08,0.347,1.416,27.718,8.221,37.579,11.122,0.193,1.357,24.277,8.218,31.07,11.126,0.342,1.393,27.059,8.955,43.293,12.695,0.14,1.24,23.446,8.917,32.27,12.465,0.198,1.132,25.847,8.611,38.33,11.232,24,36,0.259,0.617,0.756,0.8,0.807,0.807,3.267
6.292,100.652,1,1.249,0.014,1,8.389,1.422,3.002,1.749,9.227,2.406,5.791,89.424,8.897,0.5,3.683,3.791,3.444,3.29,4.928,3.263,4.135,4.279,3.809,3.652,5.312,3.593,4.329,4.528,3.818,3.725,5.458,3.634,4.257,4.447,3.792,3.649,5.495,3.57,4.168,4.355,3.644,3.55,5.485,3.489,4.106,4.288,3.597,3.488,5.422,3.428,4.087,4.29,3.365,3.375,5.333,3.302,3.969,4.189,3.105,3.208,5.136,3.091,0.077,0.566,5.602,2.883,12.766,3.064,0.203,0.889,10.858,4.848,21.526,5.36,0.282,1.021,18.177,6.58,32.782,7.386,0.284,0.997,16.684,5.631,31.446,6.276,0.272,0.887,13.843,4.876,35.66,5.472,0.215,0.835,12.342,4.675,26.901,5.69,0.184,0.767,12.07,4.533,32.719,5.302,0.184,0.658,12.852,4.509,35.118,5.151,11,32,0.317,0.726,0.838,0.898,0.908,0.908,3.147
6.472,117.437,1,1.219,0.01,3,12.811,1.52,4.187,1.584,10.885,3.379,11.416,105.588,8.961,0.621,3.815,3.925,3.594,3.472,5.044,3.443,4.264,4.405,3.957,3.839,5.423,3.782,4.456,4.638,3.957,3.914,5.546,3.822,4.456,4.669,3.898,3.817,5.624,3.726,4.325,4.524,3.77,3.714,5.52,3.648,4.278,4.477,3.785,3.669,5.564,3.62,4.227,4.42,3.613,3.621,5.447,3.56,4.168,4.375,3.415,3.544,5.278,3.441,0.035,0.636,5.755,3.056,8.5,3.363,0.154,1.019,10.983,5.087,13.847,5.706,0.129,1.185,17.671,7.287,20.365,8.175,0.312,1.234,19.939,6.889,33.78,7.685,0.148,1.047,15.983,6.004,26.265,6.725,0.284,1.041,14.632,5.274,33.279,6.282,0.14,0.94,12.391,4.91,28.564,5.575,0.153,0.862,13.742,5.23,28.104,5.927,3,39,0.274,0.633,0.789,0.895,0.912,0.912,3.304
5.784,103.776,1,1.254,0.015,1,8.742,1.411,3.299,1.558,10.88,3.147,9.903,106.017,7.834,0.444,3.896,4.029,3.557,3.47,5.02,3.421,4.402,4.601,3.908,3.838,5.414,3.759,4.585,4.801,3.91,3.953,5.561,3.829,4.667,4.934,3.884,3.9,5.666,3.768,4.503,4.745,3.74,3.777,5.564,3.675,4.455,4.702,3.728,3.713,5.582,3.624,4.362,4.589,3.582,3.643,5.468,3.552,4.321,4.564,3.381,3.564,5.354,3.445,0.027,0.729,9.262,3.857,9.859,5.038,0.228,1.142,18.628,6.359,16.964,8.468,0.147,1.3,24.234,8.609,21.353,11.162,0.35,1.339,29.236,9.001,40.021,12.25,0.176,1.165,22.547,7.205,29.016,9.75,0.355,1.124,21.436,6.418,39.132,9.083,0.123,1.017,17.734,5.96,29.014,8.317,0.227,0.959,18.618,5.399,34.714,7.351,18,36,0.268,0.647,0.788,0.848,0.856,0.856,3.267
6.151,133.549,1,1.196,0.013,1,8.598,1.418,3.214,1.606,10.0,2.179,4.749,95.947,8.319,0.48,3.771,3.901,3.478,3.37,4.958,3.329,4.241,4.411,3.836,3.739,5.335,3.66,4.458,4.688,3.845,3.814,5.476,3.704,4.404,4.629,3.825,3.735,5.565,3.637,4.3,4.52,3.665,3.636,5.465,3.559,4.228,4.433,3.662,3.587,5.502,3.514,4.207,4.425,3.438,3.511,5.377,3.423,4.126,4.358,3.202,3.4,5.179,3.258,0.045,0.648,7.297,3.176,11.946,3.878,0.157,1.004,13.949,5.564,17.578,6.976,0.173,1.151,21.959,7.559,26.788,9.407,0.302,1.124,21.179,6.525,36.156,8.199,0.18,1.001,17.572,5.58,28.917,6.964,0.265,0.955,15.329,5.169,34.989,6.856,0.147,0.889,14.304,4.87,30.322,6.359,0.129,0.784,14.986,5.231,28.993,6.701,12,33,0.284,0.688,0.82,0.891,0.9,0.9,3.188
5.301,115.612,1,1.196,0.013,1,8.707,1.51,3.858,1.645,12.429,5.056,25.563,112.716,8.852,0.581,3.9,4.008,3.658,3.557,5.126,3.524,4.37,4.511,4.033,3.928,5.561,3.87,4.603,4.799,4.036,4.009,5.737,3.918,4.574,4.782,3.959,3.92,5.741,3.821,4.492,4.715,3.816,3.813,5.623,3.731,4.419,4.626,3.83,3.753,5.666,3.693,4.379,4.59,3.701,3.691,5.634,3.634,4.282,4.487,3.538,3.639,5.425,3.548,0.048,0.73,6.533,3.624,9.543,4.043,0.159,1.181,12.658,6.214,15.976,7.133,0.247,1.446,21.927,8.856,37.528,9.923,0.331,1.402,22.397,8.297,44.207,9.512,0.238,1.229,20.233,7.31,38.099,8.599,0.301,1.212,17.866,6.658,43.553,7.979,0.32,1.169,16.153,5.859,48.619,6.639,0.215,1.013,15.434,5.851,38.881,6.577,6,42,0.28,0.643,0.779,0.874,0.882,0.882,3.374
6.301,133.304,1,1.384,0.014,1,8.123,1.43,2.877,1.679,7.8,2.248,5.054,82.719,9.412,0.545,3.55,3.672,3.365,3.175,4.861,3.152,3.956,4.092,3.74,3.543,5.171,3.491,4.124,4.298,3.755,3.618,5.329,3.534,4.085,4.262,3.703,3.533,5.384,3.453,3.985,4.171,3.497,3.397,5.281,3.331,3.905,4.097,3.452,3.278,5.283,3.224,3.825,4.038,3.194,3.096,5.216,3.041,3.632,3.868,2.665,2.842,4.782,2.73,0.092,0.532,4.119,2.193,10.788,2.148,0.159,0.799,7.43,3.706,12.346,3.876,0.187,0.902,12.817,5.268,21.562,5.506,0.231,0.884,12.596,4.636,23.001,4.683,0.155,0.768,10.941,4.197,24.587,4.303,0.198,0.716,9.987,3.708,25.433,4.307,0.191,0.64,9.008,3.128,33.343,3.418,0.148,0.489,9.018,2.983,25.412,3.175,9,30,0.313,0.685,0.819,0.891,0.903,0.903,3.059
6.086,100.652,1,1.237,0.013,1,8.569,1.418,3.175,1.716,10.0,2.815,7.924,94.176,8.564,0.48,3.754,3.865,3.49,3.341,4.951,3.312,4.234,4.391,3.836,3.692,5.342,3.634,4.368,4.559,3.847,3.778,5.444,3.684,4.368,4.575,3.825,3.721,5.529,3.629,4.295,4.509,3.679,3.618,5.49,3.546,4.195,4.386,3.661,3.557,5.443,3.494,4.193,4.405,3.445,3.462,5.38,3.396,4.073,4.284,3.208,3.35,5.152,3.229,0.047,0.604,6.554,3.229,9.084,3.679,0.266,0.94,14.017,5.484,20.474,6.163,0.25,1.064,18.665,6.798,22.789,7.859,0.28,1.083,19.652,6.508,31.03,7.827,0.309,0.979,17.329,5.564,32.161,6.739,0.202,0.9,14.364,5.28,27.217,6.76,0.221,0.859,14.061,4.644,33.087,5.615,0.162,0.731,13.799,4.997,28.345,5.97,12,33,0.306,0.697,0.83,0.884,0.894,0.894,3.188
6.39,103.776,1,1.13,0.013,1,8.838,1.389,3.302,1.643,12.5,2.835,8.035,115.091,7.891,0.387,4.021,4.143,3.686,3.578,5.102,3.543,4.566,4.746,4.038,3.962,5.561,3.895,4.787,5.017,4.031,4.081,5.702,3.964,4.774,5.022,3.972,4.034,5.741,3.899,4.722,4.983,3.834,3.922,5.684,3.805,4.616,4.861,3.829,3.833,5.682,3.74,4.545,4.787,3.693,3.753,5.589,3.664,4.448,4.684,3.569,3.678,5.454,3.578,0.025,0.802,10.219,4.424,9.661,5.604,0.283,1.29,21.295,7.481,21.658,9.53,0.349,1.506,30.277,10.098,29.403,13.112,0.343,1.496,30.8,10.082,38.72,13.696,0.268,1.358,28.853,9.25,35.832,12.636,0.393,1.271,25.033,7.732,42.96,10.818,0.277,1.165,22.147,6.907,36.384,9.673,0.235,1.075,20.806,6.266,34.377,8.51,3,41,0.276,0.631,0.775,0.854,0.861,0.861,3.374
6.18,100.652,1,1.195,0.013,1,8.516,1.418,3.1,1.716,10.0,2.469,6.095,94.29,8.564,0.48,3.753,3.866,3.481,3.353,4.965,3.32,4.222,4.375,3.838,3.719,5.356,3.65,4.432,4.646,3.847,3.793,5.491,3.692,4.376,4.585,3.828,3.714,5.585,3.625,4.264,4.468,3.667,3.616,5.469,3.548,4.207,4.398,3.67,3.566,5.539,3.503,4.179,4.385,3.442,3.487,5.383,3.407,4.103,4.323,3.209,3.36,5.21,3.234,0.065,0.605,6.668,3.227,12.979,3.655,0.196,0.956,12.96,5.496,22.147,6.444,0.233,1.108,20.983,7.436,32.885,8.805,0.364,1.085,20.125,6.367,40.03,7.579,0.211,0.962,16.332,5.468,32.037,6.437,0.32,0.918,14.463,4.999,38.387,6.428,0.162,0.848,13.434,4.928,30.637,6.131,0.171,0.745,14.59,5.213,33.152,6.308,12,33,0.306,0.716,0.843,0.897,0.907,0.907,3.188
5.301,82.641,2,0.745,0.012,0,8.145,1.43,3.5,1.76,7.3,3.754,14.094,83.082,10.372,0.545,3.502,3.59,3.409,3.227,4.762,3.181,3.948,4.067,3.85,3.585,5.188,3.524,4.09,4.236,3.821,3.677,5.264,3.577,4.09,4.251,3.842,3.616,5.373,3.509,3.988,4.152,3.609,3.463,5.304,3.37,3.787,3.921,3.753,3.339,5.297,3.261,3.766,3.947,3.205,3.162,5.095,3.069,3.522,3.745,2.824,2.875,4.589,2.743,0.045,0.424,2.377,2.01,5.947,2.074,0.161,0.677,6.689,3.66,13.768,3.921,0.146,0.798,9.986,4.883,16.206,4.65,0.194,0.811,12.12,5.242,21.161,5.497,0.23,0.691,15.657,4.592,33.023,3.992,0.184,0.571,9.365,3.288,24.091,3.351,0.183,0.58,10.373,3.497,30.098,2.659,0.1,0.393,6.235,2.834,16.93,3.464,11,31,0.331,0.719,0.794,0.869,0.882,0.882,3.059
5.143,85.765,0,1.497,0.016,1,9.078,1.391,3.461,1.647,10.731,3.141,9.863,105.842,8.122,0.414,3.921,4.034,3.619,3.513,5.032,3.476,4.463,4.629,4.001,3.909,5.467,3.846,4.686,4.889,4.041,4.039,5.644,3.94,4.727,4.954,3.993,3.997,5.768,3.886,4.634,4.883,3.82,3.894,5.647,3.787,4.505,4.735,3.807,3.807,5.608,3.715,4.39,4.594,3.71,3.729,5.504,3.643,4.381,4.6,3.558,3.662,5.456,3.539,0.017,0.705,8.615,4.047,9.753,4.93,0.247,1.164,18.429,7.009,18.81,8.523,0.225,1.396,26.05,9.45,24.697,11.551,0.435,1.463,28.769,9.186,42.76,11.723,0.236,1.312,25.611,8.472,34.116,11.217,0.368,1.168,21.671,7.356,36.545,10.072,0.101,1.045,16.61,6.428,26.372,8.484,0.242,1.039,21.444,6.607,40.001,7.811,9,40,0.282,0.651,0.795,0.84,0.847,0.847,3.304
