pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
8.699,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.0,6.106,32.3,57.0,0.997,1.143,0.594,0.551,567.86,3.2
7.745,6.142,32.5,56.6,0.996,1.143,0.596,0.554,509.77,3.6
7.284,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
7.31,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
8.046,5.918,32.7,58.2,0.991,1.142,0.595,0.547,579.92,3.1
6.854,5.7,33.3,59.5,0.985,1.14,0.596,0.542,478.8,2.4
7.553,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.301,6.083,36.6,56.1,0.987,1.134,0.617,0.567,498.78,2.4
8.097,5.782,33.0,59.1,0.988,1.141,0.595,0.543,508.83,2.3
7.886,6.229,32.9,56.1,0.999,1.141,0.597,0.557,510.75,2.4
7.745,5.821,32.9,58.8,0.989,1.141,0.595,0.544,494.8,2.4
7.886,6.075,33.0,57.1,0.995,1.141,0.596,0.552,552.84,2.2
7.509,5.863,32.9,58.5,0.99,1.141,0.595,0.546,480.77,2.4
8.046,6.435,31.0,56.3,1.0,1.143,0.602,0.556,559.86,3.4
8.155,6.195,33.7,55.8,0.994,1.142,0.605,0.561,532.81,4.7
8.523,6.043,32.6,57.3,0.994,1.143,0.596,0.551,537.83,3.4
8.523,5.918,32.7,58.2,0.991,1.142,0.595,0.547,579.92,3.1
6.638,5.855,33.3,58.3,0.987,1.141,0.599,0.548,491.8,3.6
8.699,6.109,33.3,56.7,0.994,1.141,0.6,0.556,549.84,3.3
7.959,6.438,31.9,56.0,0.999,1.141,0.606,0.559,585.9,3.3
8.046,6.123,33.0,56.8,0.997,1.141,0.596,0.553,538.81,2.3
8.523,5.863,32.9,58.5,0.99,1.141,0.595,0.546,480.77,2.4
9.0,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
6.638,6.126,32.6,58.1,0.99,1.139,0.607,0.552,526.87,2.3
7.538,5.957,32.6,57.9,0.992,1.143,0.595,0.548,565.89,3.2
8.046,6.091,32.6,57.0,0.995,1.143,0.596,0.552,523.8,3.5
7.796,6.233,35.3,55.3,0.993,1.137,0.612,0.567,529.8,3.5
7.77,5.902,32.1,58.3,0.991,1.144,0.593,0.545,495.79,3.6
7.824,6.308,33.3,55.2,0.998,1.142,0.603,0.563,548.81,4.6
6.638,5.893,33.7,58.1,0.989,1.14,0.6,0.55,506.81,2.3
7.745,5.881,32.7,58.4,0.99,1.142,0.595,0.546,593.95,3.0
7.796,6.142,32.5,56.6,0.996,1.143,0.596,0.554,509.77,3.6
8.046,5.908,32.9,58.2,0.991,1.141,0.595,0.547,466.74,2.5
8.699,5.998,32.6,57.6,0.993,1.143,0.595,0.549,551.86,3.3
