pXC50,SpMin3_Bh.v.,SpMin3_Bh.p.,SpMin8_Bh.p.,Sp,IDDE,SpMin3_Bh.m.,TIC2,LLS_02,SpMin6_Bh.p.,SpMax2_Bh.v.,SpMin4_Bh.m.,S2K,Eta_epsi,Eig08_AEA.bo.,TIC4,Eig12_AEA.ri.,Eig08_AEA.ri.,SM05_EA.bo.,Eig08_EA.ri.,P_VSA_LogP_3,SpMaxA_AEA.dm.,IC4,Eta_C,Eig06_AEA.ri.,ATS6e,NaasN,DLS_cons,NdO,ATS2i,Uindex,ATS7i,SpMin4_Bh.s.,SpMax5_Bh.e.,TIE,ATSC2i,ATSC6m,ATS3e,SpMax7_Bh.s.,N.073,P_VSA_i_3,GGI9,SpMax4_Bh.i.,CIC0,ATSC8v,SM07_EA.bo.,DLS_07,ZM2MulPer,ATSC1m,TPSA.NO.,P_VSA_MR_1,ATS4e,SpMin5_Bh.e.,SM10_EA.bo.,SpMax8_Bh.p.,nHAcc,ATSC1v,SpMax7_Bh.m.,Rperim,SpMax7_Bh.p.,SpMax5_Bh.i.,ATS5i,nH,nR06,ATS4i,ATSC3m,Eig07_EA.bo.,SpMax8_Bh.i.,Eig02_AEA.bo.
5.268,1.976,1.968,1.121,42.029,4.885,1.99,274.743,0.63,1.562,3.872,1.74,9.66,37.448,3.433,333.763,2.369,3.014,8.032,1.947,123.191,0.113,5.755,33.559,3.221,5.118,0,0.64,2,4.818,50.79,5.192,0.886,3.535,73.309,1.394,39.744,4.981,4.639,0,339.395,0.343,3.746,4.192,13.485,10.826,1.0,633.7,8.457,80.89,250.382,5.036,1.457,15.122,2.873,7,5.593,3.099,29,3.086,3.544,5.225,21,5,5.212,27.797,2.692,3.041,4.356
4.706,2.0,1.995,1.452,46.852,5.172,2.008,291.132,0.63,1.577,3.95,1.777,10.128,39.333,3.46,374.0,2.529,3.014,8.3,1.955,151.62,0.103,5.844,36.841,3.223,5.255,0,0.58,2,4.911,52.024,5.367,0.946,3.541,65.907,1.377,44.74,5.076,4.57,0,374.708,0.35,3.779,4.477,18.257,11.217,1.0,664.769,10.181,80.89,270.735,5.147,1.462,15.664,3.097,6,6.443,3.329,33,3.249,3.552,5.364,24,6,5.319,31.117,2.787,3.27,4.465
5.721,2.004,2.002,1.508,46.244,4.88,2.011,296.511,0.63,1.607,3.933,1.75,10.376,41.767,3.617,370.569,2.519,3.178,8.376,2.147,142.144,0.099,5.882,37.286,3.553,5.19,0,0.46,4,4.885,56.055,5.24,0.896,3.709,87.999,1.388,39.792,5.055,4.852,0,388.649,0.426,3.837,4.325,13.462,11.211,1.0,762.782,8.156,130.62,235.422,5.17,1.599,15.505,3.028,8,5.509,3.364,34,3.105,3.73,5.31,21,5,5.323,26.322,3.109,3.27,4.385
4.873,2.004,2.002,1.51,49.852,5.24,2.013,299.922,0.63,1.576,3.957,1.78,10.269,41.433,3.567,398.428,2.576,3.123,8.467,2.088,170.572,0.095,5.947,39.558,3.524,5.27,0,0.5,2,4.949,53.683,5.373,0.947,3.71,71.638,1.384,43.389,5.119,4.627,0,373.216,0.357,3.839,4.569,18.154,11.39,1.0,736.35,9.969,84.8,270.735,5.217,1.62,15.818,3.093,6,6.386,3.329,38,3.352,3.732,5.409,24,6,5.375,30.571,2.95,3.275,4.465
5.149,1.982,1.974,1.48,47.307,5.016,1.996,307.131,0.63,1.547,3.932,1.747,10.35,40.8,3.55,374.699,2.482,3.132,8.252,2.068,142.144,0.101,5.765,37.619,3.428,5.183,0,0.64,2,4.927,54.158,5.222,0.891,3.688,72.39,1.406,42.733,5.056,4.627,0,384.216,0.413,3.825,4.463,14.92,11.077,1.0,709.173,10.063,94.03,270.735,5.168,1.59,15.373,3.01,7,6.355,3.217,34,3.092,3.709,5.364,24,5,5.327,29.168,2.941,3.263,4.385
4.759,1.982,1.974,1.491,47.307,5.114,1.996,308.641,0.63,1.547,3.932,1.748,10.35,40.8,3.495,382.699,2.48,3.087,8.252,2.018,142.144,0.101,5.888,37.832,3.424,5.203,0,0.64,2,4.927,54.143,5.295,0.891,3.687,72.733,1.406,42.551,5.056,4.627,0,384.216,0.37,3.825,4.463,16.021,11.08,1.0,709.309,10.063,94.03,270.735,5.168,1.59,15.379,3.008,7,6.355,3.217,34,3.087,3.708,5.363,24,5,5.327,29.168,2.94,3.268,4.385
4.0,1.977,1.971,1.402,47.244,5.202,1.989,314.641,0.63,1.618,3.933,1.742,10.558,42.314,3.503,384.699,2.488,3.206,8.272,2.135,142.144,0.099,5.918,39.719,3.426,5.262,0,0.64,2,4.932,56.08,5.376,0.883,3.685,88.018,1.521,42.945,5.077,4.655,0,372.445,0.41,3.825,4.371,16.039,11.1,1.0,739.623,9.175,94.03,250.382,5.201,1.587,15.403,3.011,8,6.074,3.244,34,3.131,3.707,5.396,23,5,5.358,28.301,2.94,3.248,4.405
4.0,1.991,1.985,1.38,49.489,4.863,2.001,331.135,0.63,1.604,3.924,1.927,11.535,44.362,3.566,405.947,2.594,3.189,8.274,2.136,151.62,0.095,5.97,42.542,3.573,5.295,0,0.58,2,4.968,60.009,5.429,1.061,3.777,99.552,1.685,45.79,5.139,4.804,0,373.216,0.441,3.845,4.435,18.743,11.07,1.0,764.635,9.39,84.8,300.656,5.209,1.638,15.332,3.08,8,6.443,3.23,36,3.166,3.799,5.349,24,5,5.382,31.861,3.002,3.266,4.37
5.284,1.978,1.97,1.377,45.029,4.803,1.991,282.207,0.63,1.546,3.932,1.742,9.777,39.548,3.516,349.775,2.474,3.089,8.246,2.009,142.144,0.103,5.734,36.095,3.384,5.133,0,0.5,2,4.859,52.274,5.19,0.886,3.686,77.321,1.414,38.54,5.028,4.639,0,337.903,0.363,3.825,4.299,13.325,11.07,1.0,705.145,8.24,84.8,250.382,5.114,1.586,15.367,3.005,7,5.557,3.217,34,3.082,3.708,5.27,21,5,5.275,27.199,2.94,3.224,4.385
4.445,1.828,1.843,1.426,42.784,4.985,1.809,277.234,0.75,1.549,3.932,1.711,9.138,37.5,3.399,335.763,2.363,2.908,8.208,1.85,134.931,0.108,5.789,33.515,3.308,5.041,0,0.63,2,4.814,48.624,5.07,0.84,3.671,65.633,1.259,34.613,4.962,4.627,0,335.639,0.285,3.814,4.263,11.466,11.042,1.0,681.6,8.022,97.94,223.651,5.043,1.451,15.328,3.003,7,5.186,3.217,33,3.072,3.689,5.213,20,4,5.189,25.944,2.939,3.219,4.385
5.208,1.627,1.617,0.867,28.102,3.516,1.621,163.24,1.0,1.239,3.772,1.417,7.179,22.8,2.5,167.24,0.26,2.0,7.296,1.0,47.381,0.215,4.52,23.602,2.738,4.309,0,0.9,2,4.318,42.119,4.009,0.615,3.08,65.264,0.721,38.578,4.506,4.078,0,257.769,0.111,3.299,3.496,6.226,9.935,1.0,356.722,2.926,54.37,164.795,4.607,1.025,14.012,2.618,3,3.97,2.928,11,2.735,3.084,4.69,15,1,4.785,27.974,1.8,2.737,4.068
4.896,1.982,1.973,1.444,44.852,4.86,1.996,285.021,0.63,1.551,3.899,1.745,10.129,37.933,3.38,346.405,2.371,2.972,8.074,1.903,142.144,0.11,5.587,34.738,3.272,5.223,0,0.6,2,4.869,52.925,5.289,0.891,3.559,67.02,1.343,46.286,4.998,4.563,0,374.708,0.29,3.756,4.413,17.458,10.89,1.0,626.142,10.29,80.89,270.735,5.114,1.549,15.196,2.97,6,6.437,3.102,29,3.076,3.577,5.331,24,5,5.285,28.957,2.714,3.259,4.357
4.9,1.981,1.973,1.338,42.091,4.948,1.996,262.379,0.63,1.513,3.887,1.745,9.124,35.933,3.242,321.008,2.358,2.842,8.087,1.777,123.191,0.116,5.535,32.773,3.294,5.142,0,0.76,2,4.815,48.703,5.215,0.891,3.489,64.505,1.279,42.787,4.946,4.559,0,351.166,0.295,3.748,4.293,16.071,10.913,1.0,608.121,9.34,80.89,247.193,5.076,1.464,15.219,2.964,6,5.876,3.066,29,2.978,3.519,5.275,22,5,5.238,26.587,2.588,3.169,4.358
5.342,1.978,1.97,1.377,45.029,4.903,1.991,283.717,0.63,1.546,3.932,1.744,9.777,39.548,3.467,357.775,2.466,3.045,8.246,1.967,142.144,0.103,5.865,36.217,3.387,5.135,0,0.5,2,4.859,52.27,5.2,0.887,3.685,78.661,1.414,38.485,5.028,4.64,0,337.903,0.354,3.825,4.299,13.522,11.073,1.0,705.282,8.24,84.8,250.382,5.115,1.587,15.373,3.005,7,5.557,3.217,34,3.082,3.707,5.277,21,5,5.274,27.199,2.94,3.224,4.385
5.469,1.981,1.973,1.453,44.307,4.932,1.995,293.776,0.75,1.562,3.872,1.745,10.259,38.7,3.354,356.405,2.372,2.972,8.061,1.902,123.191,0.11,5.748,35.417,3.22,5.247,0,0.69,2,4.888,52.779,5.321,0.891,3.534,68.143,1.379,46.987,5.01,4.567,0,385.708,0.33,3.745,4.369,17.381,10.875,1.0,638.395,10.279,90.12,270.735,5.102,1.457,15.183,2.97,7,6.385,3.099,29,3.086,3.544,5.33,24,5,5.267,29.722,2.663,3.268,4.358
4.0,1.981,1.973,1.512,47.83,5.172,1.995,331.809,0.63,1.593,3.872,1.811,11.461,41.3,3.36,394.438,2.373,2.972,8.067,1.902,123.191,0.105,5.801,39.018,3.315,5.309,0,0.7,2,5.001,57.095,5.367,0.943,3.618,72.191,1.522,51.995,5.088,4.475,0,412.88,0.346,3.747,4.533,20.175,10.881,1.0,656.329,12.274,79.12,294.278,5.159,1.527,15.186,3.08,7,7.59,3.157,29,3.132,3.642,5.423,28,5,5.32,34.757,2.715,3.315,4.358
4.917,1.981,1.973,1.458,44.307,5.037,1.995,289.876,0.75,1.568,3.873,1.745,10.259,38.7,3.292,352.405,2.446,2.912,8.082,1.837,123.191,0.11,5.684,35.754,3.185,5.279,0,0.69,2,4.888,52.65,5.351,0.891,3.527,69.548,1.379,48.877,5.011,4.565,0,385.708,0.39,3.743,4.369,16.882,10.913,1.0,639.064,10.279,90.12,270.735,5.106,1.442,15.232,2.97,7,6.385,3.096,29,3.09,3.531,5.338,24,5,5.266,29.72,2.634,3.272,4.375
4.573,1.982,1.974,1.463,49.614,5.107,1.996,301.931,0.63,1.565,3.955,1.907,10.792,41.333,3.42,395.193,2.464,2.972,8.25,1.904,161.096,0.099,5.812,38.842,3.44,5.312,0,0.6,2,4.963,56.216,5.381,1.003,3.696,73.939,1.443,49.811,5.104,4.601,0,398.251,0.319,3.841,4.584,18.761,11.084,1.0,694.384,11.13,80.89,294.278,5.231,1.596,15.404,3.015,6,7.007,3.234,35,3.108,3.723,5.445,26,6,5.396,31.166,3.034,3.294,4.364
5.276,1.982,1.974,1.51,47.307,5.114,1.996,305.032,0.63,1.547,3.932,1.749,10.35,40.8,3.416,380.699,2.463,2.972,8.269,1.903,142.144,0.101,5.857,38.113,3.414,5.263,0,0.64,2,4.927,54.143,5.327,0.891,3.685,73.629,1.406,45.669,5.056,4.627,0,384.216,0.337,3.825,4.463,17.345,11.112,1.0,709.977,10.063,94.03,270.735,5.175,1.589,15.421,3.006,7,6.355,3.217,34,3.082,3.707,5.377,24,5,5.326,29.175,2.939,3.274,4.385
4.388,1.984,1.976,1.513,54.046,5.219,1.996,362.465,0.63,1.596,3.898,1.975,12.741,46.867,3.587,445.333,2.537,3.192,8.289,2.148,151.62,0.091,5.86,44.418,3.433,5.369,0,0.67,2,5.089,64.396,5.455,1.099,3.725,86.295,1.649,53.347,5.191,4.695,0,467.335,0.528,3.907,4.704,20.353,11.095,1.0,766.21,13.004,99.35,341.362,5.331,1.596,15.386,3.086,8,8.024,3.292,35,3.14,3.745,5.541,30,6,5.5,34.509,2.947,3.331,4.367
4.9,1.985,1.968,1.377,45.091,4.907,2.013,268.152,0.63,1.546,3.932,1.749,9.567,38.033,3.4,347.02,2.37,2.911,8.187,1.855,151.62,0.105,5.689,34.545,3.301,5.123,0,0.5,2,4.854,50.426,5.183,0.892,3.682,66.331,1.293,39.449,5.015,4.627,0,349.674,0.296,3.823,4.395,14.31,11.021,1.0,668.635,9.125,84.8,247.193,5.105,1.589,15.331,3.005,6,5.829,3.217,34,3.082,3.705,5.269,22,5,5.269,28.184,2.939,3.223,4.385
5.208,1.978,1.97,1.377,45.029,4.903,1.991,280.107,0.63,1.546,3.932,1.748,9.777,39.548,3.413,355.775,2.385,2.957,8.263,1.89,142.144,0.103,5.832,36.382,3.394,5.149,0,0.5,2,4.859,52.274,5.193,0.889,3.684,81.216,1.414,39.158,5.029,4.644,0,337.903,0.327,3.824,4.299,13.522,11.104,1.0,706.025,8.24,84.8,250.382,5.124,1.589,15.412,3.005,7,5.557,3.217,34,3.082,3.706,5.278,21,5,5.281,27.13,2.939,3.223,4.385
4.468,1.734,1.769,0.749,21.54,3.984,1.629,150.955,1.0,1.13,3.628,1.351,5.014,23.233,2.167,162.465,0.348,1.764,7.765,0.772,160.947,0.176,4.923,16.026,2.465,4.242,1,0.81,0,4.329,29.765,4.255,0.415,2.976,39.623,0.803,17.437,4.478,4.321,1,232.266,0.016,3.266,3.059,3.768,10.782,0.5,359.14,6.689,139.54,93.216,4.486,0.976,15.367,2.102,8,2.805,2.455,14,2.241,3.031,4.598,13,1,4.667,18.485,1.53,2.601,4.154
4.645,1.908,1.901,1.25,34.063,4.21,1.91,270.56,1.0,1.469,3.723,1.77,6.748,29.033,2.702,281.315,1.264,2.333,7.97,1.325,89.636,0.13,5.308,26.479,2.996,5.007,1,0.93,1,4.85,37.912,5.209,0.994,3.386,45.756,1.316,34.903,4.944,3.929,1,362.106,0.156,3.531,4.29,13.746,11.006,1.0,350.067,12.513,57.5,247.193,5.11,1.32,15.628,2.808,4,7.09,2.951,15,2.944,3.443,5.334,27,3,5.349,31.802,2.138,3.086,4.241
6.708,2.049,2.031,1.628,65.023,4.593,2.07,441.918,0.38,1.763,3.932,1.98,16.111,59.667,3.8,481.137,3.167,3.461,8.768,2.48,94.762,0.064,5.012,63.03,3.649,5.631,0,0.27,6,5.308,96.107,5.815,1.157,3.718,256.195,2.035,59.007,5.469,6.532,0,721.82,1.061,3.961,5.087,26.96,11.672,0.0,891.287,17.386,207.4,353.133,5.626,1.67,16.099,3.346,12,10.571,3.428,32,3.394,3.734,5.851,40,6,5.771,46.06,3.139,3.51,4.727
6.587,2.039,2.021,1.622,61.5,4.459,2.063,414.718,0.5,1.747,3.932,1.978,14.899,57.067,3.799,455.247,2.923,3.458,8.721,2.479,113.715,0.066,5.058,59.674,3.756,5.657,0,0.36,6,5.231,90.599,5.792,1.152,3.715,247.875,1.896,60.218,5.421,6.532,0,674.736,1.007,3.948,4.976,24.269,11.634,0.5,877.544,15.461,207.4,329.591,5.608,1.669,16.075,3.344,12,9.402,3.432,32,3.398,3.73,5.824,36,6,5.757,41.57,3.138,3.506,4.727
6.545,2.006,1.991,1.519,52.443,4.418,2.029,315.46,0.63,1.634,3.946,1.964,12.127,49.067,3.758,355.99,2.884,3.41,8.69,2.443,113.715,0.074,4.811,47.145,3.556,5.46,0,0.51,6,4.994,75.286,5.614,1.105,3.696,212.277,1.377,41.046,5.215,6.532,0,580.567,0.727,3.909,4.795,19.902,11.612,0.5,815.748,10.434,183.34,258.964,5.386,1.661,16.062,3.229,10,6.733,3.31,32,3.232,3.704,5.546,26,6,5.497,27.619,3.118,3.402,4.728
5.612,1.868,1.849,1.613,50.58,4.107,1.906,317.333,0.75,1.751,3.945,1.86,10.629,45.733,3.542,345.333,2.655,3.371,8.547,2.401,18.952,0.083,4.544,51.715,3.513,5.541,0,0.76,4,5.148,61.344,5.804,1.211,3.667,164.226,1.69,54.651,5.358,6.401,0,624.446,0.476,3.876,4.868,24.865,11.472,1.0,648.533,15.212,149.2,353.133,5.475,1.577,15.911,3.088,8,9.435,3.169,30,3.096,3.683,5.605,34,4,5.658,44.907,3.005,3.275,4.693
4.898,2.052,2.027,1.58,57.625,4.263,2.069,355.371,0.75,1.655,3.938,1.997,12.931,50.933,3.526,418.92,2.707,3.4,8.543,2.439,18.952,0.076,4.76,61.184,3.515,5.621,0,0.83,4,5.305,70.548,5.836,1.25,3.693,184.977,1.973,63.27,5.52,6.401,0,718.615,0.627,3.907,5.112,29.765,11.469,1.0,664.743,18.902,149.2,447.302,5.653,1.672,15.909,3.261,8,11.69,3.252,32,3.268,3.711,5.848,42,6,5.857,55.274,3.001,3.451,4.691
5.834,2.009,1.992,1.535,53.057,4.263,2.03,312.803,0.75,1.638,3.943,1.973,12.016,47.333,3.722,365.333,2.707,3.4,8.611,2.439,113.715,0.076,4.807,47.153,3.515,5.497,0,0.7,4,5.045,70.548,5.664,1.105,3.692,175.813,1.47,49.781,5.244,6.401,0,577.362,0.627,3.909,4.877,21.794,11.532,1.0,737.806,12.864,149.2,306.049,5.418,1.669,15.977,3.233,8,8.043,3.237,32,3.236,3.706,5.645,30,6,5.557,33.862,3.077,3.411,4.691
5.602,2.026,2.01,1.573,56.58,4.418,2.045,337.08,0.75,1.65,3.945,1.984,12.499,49.933,3.725,396.3,3.021,3.408,8.688,2.449,94.762,0.074,4.833,52.543,3.607,5.522,0,0.73,4,5.139,75.387,5.741,1.138,3.697,187.328,1.625,51.728,5.304,6.401,0,624.446,0.812,3.928,4.998,24.922,11.591,1.0,761.245,14.788,149.2,353.133,5.512,1.674,16.015,3.272,8,9.235,3.268,32,3.283,3.712,5.727,34,6,5.668,36.901,3.078,3.448,4.691
5.842,2.021,2.003,1.6,56.58,4.418,2.045,349.28,0.75,1.691,3.938,1.994,13.194,49.933,3.725,401.809,2.734,3.408,8.611,2.449,113.715,0.074,4.9,51.57,3.52,5.586,0,0.71,4,5.135,75.405,5.749,1.149,3.708,186.583,1.626,57.777,5.328,6.401,0,624.446,0.787,3.926,4.998,23.878,11.532,1.0,746.126,14.788,149.2,353.133,5.489,1.689,15.977,3.307,8,9.235,3.321,32,3.344,3.726,5.711,34,6,5.643,39.748,3.078,3.479,4.691
6.469,1.988,1.974,1.381,49.534,4.096,2.008,289.011,0.75,1.623,3.954,1.941,10.876,44.733,3.705,329.54,2.671,3.366,8.611,2.392,113.715,0.08,4.708,42.761,3.5,5.43,0,0.6,4,4.947,65.851,5.63,1.053,3.671,165.184,1.31,41.697,5.152,6.401,0,530.277,0.567,3.877,4.748,19.293,11.534,1.0,730.441,10.916,149.2,258.964,5.349,1.643,15.983,3.106,8,6.831,3.176,32,3.111,3.683,5.523,26,6,5.479,27.486,3.075,3.265,4.695
6.892,1.974,1.96,1.366,51.25,4.263,1.981,302.321,0.75,1.622,3.956,1.92,11.686,46.905,3.722,329.54,2.932,3.391,8.688,2.409,94.762,0.077,4.708,47.868,3.552,5.438,0,0.6,4,4.945,70.537,5.63,1.051,3.672,181.303,1.272,39.508,5.167,6.401,0,585.032,0.699,3.876,4.602,18.473,11.593,1.0,803.462,8.522,149.2,235.422,5.358,1.642,16.02,3.125,8,6.061,3.371,32,3.128,3.683,5.523,24,6,5.477,26.946,3.078,3.264,4.695
6.289,1.862,1.844,1.287,41.534,4.059,1.902,250.631,0.88,1.601,3.941,1.81,8.545,39.133,3.502,262.631,2.258,3.153,8.552,2.114,18.952,0.1,4.236,40.75,3.444,5.422,0,0.85,4,4.877,61.732,5.496,0.957,3.485,170.447,1.271,50.168,5.044,6.401,0,530.277,0.465,3.618,4.529,16.659,11.489,1.0,608.967,11.31,149.2,258.964,5.282,1.484,15.938,2.888,8,6.94,3.087,20,2.928,3.537,5.491,26,4,5.413,28.262,3.019,3.126,4.712
6.346,1.907,1.88,1.299,45.057,4.143,1.953,285.418,0.88,1.616,3.937,1.884,9.649,41.733,3.483,297.418,2.574,3.183,8.535,2.164,18.952,0.095,4.374,45.074,3.426,5.476,0,0.78,4,4.982,67.19,5.691,1.063,3.582,184.125,1.413,51.911,5.146,6.401,0,577.362,0.525,3.704,4.683,20.129,11.465,1.0,614.199,13.196,149.2,306.049,5.385,1.573,15.909,2.96,8,8.087,3.132,20,2.998,3.621,5.482,30,4,5.559,33.813,3.003,3.159,4.693
6.167,2.004,1.994,1.697,64.279,5.069,2.011,471.121,0.5,1.888,3.903,1.981,17.647,56.333,3.628,551.892,2.552,3.36,8.523,2.285,166.904,0.085,5.749,54.197,3.5,5.654,0,0.45,5,5.368,93.776,5.854,1.136,3.803,160.396,2.28,73.754,5.489,4.74,0,637.362,0.646,3.909,4.955,27.493,11.451,0.0,779.744,23.361,136.8,411.989,5.661,1.745,15.949,3.281,10,12.022,3.615,30,3.521,3.827,5.912,45,5,5.889,61.416,3.129,3.563,4.388
6.42,1.993,1.987,1.697,61.239,5.109,1.998,445.737,0.38,1.87,3.91,1.981,17.256,54.481,3.628,512.757,2.653,3.32,8.535,2.278,166.904,0.087,5.697,49.664,3.5,5.536,0,0.55,5,5.288,90.92,5.753,1.095,3.8,157.107,2.249,64.372,5.407,4.765,0,567.507,0.617,3.909,4.787,22.922,11.467,0.5,790.561,20.417,127.57,391.635,5.535,1.729,15.966,3.281,10,10.727,3.615,30,3.52,3.824,5.725,40,5,5.761,55.561,3.07,3.563,4.371
