pXC50,SpMin2_Bh.s.,SpMin3_Bh.s.,Eig05_EA.ed.,SM14_AEA.dm.,Eig05_EA.ri.,Eig07_EA.ri.,Eig07_EA.bo.,MATS1i,ATS4i,Eig05_AEA.ri.,SM09_EA.bo.,SM11_EA.bo.,SM12_EA.bo.,ATS4e,Eig05_AEA.ed.,SM03_EA.bo.,SM10_EA.bo.,Eig06_AEA.bo.,P_VSA_s_3,X3v,Eta_B_A,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i
5.398,1.051,0.832,4.664,4.664,1.48,0.94,1.385,-0.216,4.705,2.517,13.731,16.761,18.299,4.507,4.776,4.527,15.295,2.724,6.616,3.312,0.029,1.791,7.105,-1.451,2.107,64.422,8.069,0.476,3.672,3.778,3.269,3.03,4.902,3.09,4.201,4.335,3.683,3.448,5.386,3.497,4.487,4.655,3.794,3.543,5.862,3.571,3.643,3.516,5.778,3.512,4.411,4.634,3.416,3.391,5.665,3.351,4.22,4.448,3.262,3.2,5.451,3.163,4.026,4.253
6.873,0.955,0.739,4.715,4.715,1.423,0.939,1.408,-0.314,4.647,2.496,13.734,16.763,18.301,4.455,4.787,4.527,15.299,2.845,6.187,3.504,0.027,1.955,7.75,-0.725,0.526,73.718,10.693,0.455,3.645,3.749,3.489,3.076,4.886,3.118,4.161,4.291,3.846,3.47,5.376,3.505,4.416,4.571,3.933,3.549,5.808,3.57,3.973,3.551,5.701,3.538,4.338,4.54,3.958,3.483,5.574,3.426,4.182,4.392,3.776,3.275,5.493,3.222,3.91,4.115
6.959,0.951,0.737,4.715,4.715,1.424,0.94,1.408,-0.337,4.651,2.497,13.734,16.763,18.301,4.458,4.787,4.527,15.299,2.845,6.187,3.344,0.027,1.955,7.75,-0.809,0.655,70.9,9.304,0.455,3.648,3.752,3.369,3.053,4.906,3.11,4.164,4.294,3.757,3.449,5.395,3.498,4.418,4.573,3.851,3.529,5.817,3.563,3.789,3.525,5.727,3.527,4.343,4.545,3.681,3.439,5.622,3.407,4.19,4.4,3.511,3.232,5.553,3.204,3.915,4.12
6.65,0.921,0.715,4.715,4.715,1.433,0.984,1.408,-0.331,4.651,2.501,13.734,16.763,18.301,4.454,4.787,4.527,15.299,2.845,6.187,3.15,0.027,1.883,7.75,-1.677,2.812,65.652,8.759,0.455,3.667,3.774,3.326,2.977,5.017,3.07,4.154,4.289,3.717,3.386,5.409,3.466,4.415,4.569,3.822,3.471,5.846,3.533,3.707,3.442,5.781,3.477,4.345,4.554,3.542,3.322,5.71,3.341,4.187,4.39,3.382,3.133,5.642,3.153,3.975,4.2
4.0,1.051,0.832,4.664,4.664,1.48,0.94,1.385,-0.216,4.705,2.517,13.731,16.761,18.299,4.507,4.776,4.527,15.295,2.724,6.616,3.312,0.029,1.791,7.105,-1.451,2.107,64.422,8.069,0.476,3.672,3.778,3.269,3.03,4.902,3.09,4.201,4.335,3.683,3.448,5.386,3.497,4.487,4.655,3.794,3.543,5.862,3.571,3.643,3.516,5.778,3.512,4.411,4.634,3.416,3.391,5.665,3.351,4.22,4.448,3.262,3.2,5.451,3.163,4.026,4.253
6.745,1.156,0.782,5.725,5.725,1.677,1.05,1.538,-0.22,4.898,2.751,13.751,16.776,18.311,4.688,5.248,4.59,15.311,2.966,6.187,3.793,0.031,1.919,7.1,-1.603,2.57,66.274,8.332,0.455,3.7,3.817,3.315,3.061,4.959,3.123,4.245,4.398,3.742,3.515,5.466,3.556,4.573,4.761,3.912,3.636,5.913,3.671,3.867,3.602,6.276,3.626,4.55,4.792,3.589,3.434,5.957,3.424,4.201,4.427,3.359,3.198,5.511,3.196,4.078,4.312
8.097,1.156,0.782,5.725,5.725,1.677,1.05,1.538,-0.22,4.898,2.751,13.751,16.776,18.311,4.688,5.248,4.59,15.311,2.966,6.187,3.793,0.031,1.919,7.1,-1.603,2.57,66.274,8.332,0.455,3.7,3.817,3.315,3.061,4.959,3.123,4.245,4.398,3.742,3.515,5.466,3.556,4.573,4.761,3.912,3.636,5.913,3.671,3.867,3.602,6.276,3.626,4.55,4.792,3.589,3.434,5.957,3.424,4.201,4.427,3.359,3.198,5.511,3.196,4.078,4.312
5.123,1.011,0.761,5.105,5.105,1.73,1.384,1.747,-0.38,4.825,2.795,13.739,16.764,18.301,4.615,4.814,4.649,15.301,3.018,12.569,3.476,0.031,1.85,8.545,-2.498,6.242,73.006,8.36,0.417,3.789,3.916,3.408,3.09,5.062,3.174,4.307,4.46,3.822,3.504,5.615,3.567,4.579,4.752,3.887,3.6,5.949,3.642,3.771,3.596,5.839,3.606,4.556,4.783,3.687,3.521,5.823,3.517,4.438,4.65,3.626,3.377,5.863,3.398,4.322,4.546
4.539,0.997,0.754,4.727,4.727,1.47,1.262,1.702,-0.231,4.719,2.528,13.731,16.762,18.301,4.51,4.789,4.527,15.301,2.982,8.293,3.334,0.026,1.863,8.429,-0.974,1.179,67.869,8.858,0.435,3.688,3.808,3.366,3.013,5.029,3.101,4.2,4.348,3.748,3.422,5.452,3.495,4.463,4.629,3.848,3.514,5.858,3.57,3.735,3.503,5.795,3.528,4.408,4.635,3.606,3.384,5.739,3.399,4.229,4.447,3.492,3.215,5.696,3.242,4.06,4.294
6.174,0.921,0.715,4.715,4.715,1.433,0.984,1.408,-0.331,4.651,2.501,13.734,16.763,18.301,4.454,4.787,4.527,15.299,2.845,6.187,3.15,0.027,1.883,7.75,-1.677,2.812,65.652,8.759,0.455,3.667,3.774,3.326,2.977,5.017,3.07,4.154,4.289,3.717,3.386,5.409,3.466,4.415,4.569,3.822,3.471,5.846,3.533,3.707,3.442,5.781,3.477,4.345,4.554,3.542,3.322,5.71,3.341,4.187,4.39,3.382,3.133,5.642,3.153,3.975,4.2
4.119,1.079,0.788,4.46,4.46,1.449,0.959,1.38,-0.244,4.789,2.491,13.729,16.76,18.298,4.539,4.685,4.527,15.294,2.656,8.722,3.441,0.032,1.749,6.444,-2.287,5.232,63.64,7.822,0.5,3.633,3.771,3.21,3.002,4.846,3.047,4.158,4.328,3.632,3.456,5.3,3.474,4.478,4.687,3.719,3.559,5.767,3.549,3.522,3.515,5.729,3.463,4.364,4.634,3.299,3.331,5.479,3.267,4.052,4.292,3.149,3.077,5.327,3.034,3.897,4.162
4.042,1.158,0.785,5.828,5.828,1.779,1.023,1.53,-0.202,4.91,2.839,13.804,16.838,18.378,4.683,5.016,4.663,15.367,2.736,10.621,3.829,0.032,1.772,7.2,-2.034,4.135,71.58,7.787,0.455,3.746,3.878,3.307,3.097,4.974,3.145,4.27,4.434,3.732,3.555,5.453,3.57,4.59,4.796,3.83,3.68,5.818,3.675,3.744,3.665,5.942,3.634,4.588,4.843,3.552,3.52,5.841,3.474,4.332,4.576,3.356,3.327,5.523,3.283,4.19,4.437
4.804,1.143,0.777,5.725,5.725,1.715,1.07,1.577,-0.221,4.882,2.768,13.786,16.803,18.335,4.667,5.248,4.649,15.342,3.023,9.373,3.825,0.031,1.758,7.1,-1.617,2.615,71.138,7.923,0.455,3.712,3.831,3.297,3.11,4.958,3.149,4.225,4.379,3.711,3.555,5.392,3.573,4.523,4.7,3.859,3.708,5.813,3.707,3.792,3.725,5.986,3.696,4.635,4.875,3.55,3.579,5.911,3.519,4.348,4.61,3.333,3.331,5.527,3.277,4.065,4.287
4.658,1.147,0.788,4.664,4.664,1.481,1.003,1.385,-0.003,4.843,2.525,13.731,16.761,18.299,4.609,4.776,4.527,15.295,2.724,8.722,3.609,0.029,1.808,7.105,-1.719,2.953,67.561,8.07,0.476,3.673,3.799,3.271,3.024,4.919,3.077,4.198,4.356,3.673,3.471,5.356,3.498,4.519,4.724,3.783,3.572,5.77,3.58,3.667,3.504,5.903,3.498,4.423,4.681,3.421,3.318,5.698,3.294,4.076,4.29,3.25,3.117,5.387,3.111,3.982,4.217
8.398,1.174,0.933,4.664,4.664,1.511,0.964,1.385,-0.121,4.898,2.543,13.731,16.761,18.299,4.671,4.776,4.527,15.295,2.724,9.151,3.884,0.029,1.707,7.105,-1.239,1.536,68.16,7.552,0.476,3.703,3.823,3.25,3.116,4.884,3.139,4.241,4.397,3.655,3.57,5.339,3.566,4.575,4.78,3.763,3.703,5.757,3.671,3.641,3.68,5.867,3.62,4.548,4.803,3.413,3.531,5.706,3.439,4.283,4.527,3.244,3.305,5.422,3.232,4.12,4.369
9.301,0.68,0.445,3.671,3.671,1.398,0.719,1.109,-0.493,4.265,2.451,13.72,16.753,18.292,4.094,4.101,4.46,15.287,2.583,11.431,2.181,0.023,1.862,7.111,-0.624,0.389,62.691,9.157,0.526,3.456,3.564,3.169,2.845,4.86,2.928,3.897,4.04,3.504,3.142,5.267,3.229,4.031,4.161,3.578,3.225,5.549,3.298,3.509,3.262,5.485,3.299,4.083,4.282,3.33,3.156,5.551,3.171,3.892,4.069,3.183,2.926,5.538,2.958,3.677,3.899
8.481,0.902,0.659,3.672,3.672,1.398,0.719,1.109,-0.483,4.427,2.451,13.707,16.747,18.288,4.253,4.105,4.388,15.278,2.583,6.187,2.424,0.02,1.877,7.211,-1.384,1.914,63.89,8.842,0.5,3.561,3.668,3.231,2.902,4.924,2.988,4.046,4.191,3.56,3.23,5.349,3.308,4.223,4.375,3.672,3.32,5.687,3.385,3.611,3.346,5.694,3.386,4.256,4.455,3.448,3.265,5.664,3.28,4.121,4.302,3.372,3.077,5.779,3.12,3.933,4.141
7.509,1.024,0.9,4.664,4.664,1.511,0.964,1.412,-0.107,4.723,2.543,13.779,16.796,18.329,4.518,4.776,4.59,15.338,2.833,9.802,3.463,0.029,1.739,7.105,-1.157,1.339,68.724,7.948,0.476,3.655,3.769,3.243,3.081,4.889,3.115,4.157,4.3,3.644,3.511,5.347,3.526,4.424,4.604,3.745,3.617,5.725,3.61,3.62,3.605,5.775,3.564,4.444,4.684,3.397,3.455,5.671,3.387,4.187,4.421,3.226,3.226,5.391,3.176,4.021,4.256
5.721,0.925,0.75,3.672,3.672,1.398,0.701,1.051,-0.468,4.519,2.451,13.704,16.744,18.285,4.336,4.105,4.388,15.275,2.501,6.187,2.517,0.02,1.846,7.211,-1.64,2.689,64.873,8.353,0.5,3.622,3.734,3.239,2.932,4.934,3.011,4.114,4.268,3.568,3.272,5.369,3.336,4.307,4.478,3.68,3.363,5.69,3.414,3.624,3.404,5.694,3.427,4.384,4.599,3.47,3.375,5.647,3.357,4.323,4.535,3.402,3.225,5.806,3.222,4.128,4.365
6.301,0.876,0.667,3.66,3.66,1.308,0.565,0.716,-0.393,4.473,2.341,13.681,16.714,18.253,4.213,4.086,4.388,15.252,2.316,11.479,2.315,0.023,1.653,7.188,-0.001,0.0,62.421,7.561,0.588,3.49,3.632,3.051,2.899,4.698,2.919,3.961,4.165,3.361,3.243,5.109,3.238,4.054,4.252,3.365,3.315,5.22,3.276,3.172,3.262,5.279,3.178,4.067,4.366,2.83,3.068,4.964,2.949,3.745,3.983,2.811,2.909,4.816,2.83,3.793,4.073
6.022,0.909,0.714,3.663,3.663,1.386,0.738,1.14,-0.37,4.426,2.428,13.666,16.707,18.248,4.178,4.087,4.311,15.241,2.528,8.293,2.277,0.022,1.742,8.0,-0.958,0.917,64.101,7.843,0.556,3.539,3.67,3.114,2.913,4.792,2.953,4.001,4.18,3.425,3.259,5.228,3.274,4.175,4.382,3.429,3.319,5.491,3.296,3.213,3.248,5.31,3.187,4.027,4.287,2.874,3.065,5.029,2.96,3.874,4.145,2.829,2.883,4.941,2.816,3.732,3.961
6.232,1.177,0.791,4.664,4.664,1.483,0.959,1.385,-0.253,4.919,2.526,13.731,16.761,18.299,4.675,4.776,4.527,15.295,2.724,11.256,4.04,0.029,1.667,7.105,-0.132,0.017,69.736,7.315,0.476,3.718,3.851,3.252,3.132,4.851,3.145,4.275,4.458,3.66,3.581,5.323,3.565,4.587,4.805,3.761,3.71,5.73,3.666,3.624,3.707,5.752,3.631,4.613,4.889,3.414,3.56,5.652,3.46,4.315,4.576,3.24,3.318,5.423,3.239,4.12,4.383
7.046,0.985,0.773,3.663,3.663,1.398,0.748,1.14,-0.216,4.466,2.434,13.666,16.707,18.248,4.225,4.087,4.311,15.241,2.528,8.722,2.414,0.022,1.685,8.0,-0.389,0.151,65.296,7.558,0.556,3.556,3.685,3.103,2.972,4.778,2.991,4.022,4.195,3.412,3.324,5.206,3.318,4.225,4.437,3.416,3.401,5.489,3.355,3.211,3.337,5.306,3.251,4.097,4.363,2.874,3.149,5.054,3.016,3.94,4.22,2.824,2.955,4.96,2.862,3.763,3.993
6.032,0.875,0.669,3.658,3.658,1.292,0.428,0.508,-0.418,4.445,2.323,13.677,16.712,18.251,4.156,4.086,4.388,15.249,2.31,11.479,2.126,0.027,1.488,6.4,1.09,1.188,60.646,7.26,0.625,3.439,3.592,2.985,2.886,4.591,2.883,3.921,4.146,3.306,3.223,4.995,3.199,3.991,4.191,3.271,3.285,5.1,3.225,3.092,3.225,5.116,3.115,3.964,4.272,2.719,3.017,4.783,2.888,3.655,3.896,2.641,2.871,4.658,2.754,3.71,4.031
4.17,1.175,0.907,5.129,5.129,1.675,1.396,1.913,-0.125,4.976,2.703,13.806,16.813,18.352,4.754,4.986,4.663,15.381,3.034,11.907,4.624,0.026,1.645,8.522,0.444,0.197,85.23,7.784,0.615,3.833,3.952,3.429,3.33,5.002,3.34,4.358,4.512,3.831,3.772,5.46,3.758,4.675,4.872,3.921,3.903,5.837,3.859,3.83,3.906,5.85,3.838,4.735,4.975,3.74,3.837,5.827,3.757,4.588,4.825,3.608,3.664,5.741,3.596,4.407,4.654
5.039,1.013,0.772,4.46,4.46,1.456,0.959,1.412,-0.262,4.669,2.496,13.773,16.792,18.325,4.439,4.685,4.59,15.332,2.825,9.373,3.282,0.032,1.736,6.444,-0.635,0.404,65.755,7.977,0.5,3.595,3.719,3.199,3.016,4.815,3.052,4.104,4.27,3.614,3.441,5.278,3.46,4.339,4.513,3.692,3.528,5.676,3.527,3.497,3.5,5.607,3.451,4.312,4.573,3.277,3.314,5.44,3.255,3.983,4.21,3.112,3.083,5.226,3.035,3.872,4.134
5.299,1.154,0.788,4.46,4.46,1.456,0.959,1.38,-0.275,4.841,2.496,13.729,16.76,18.298,4.59,4.685,4.527,15.294,2.656,8.722,3.685,0.032,1.703,6.444,-0.588,0.346,65.135,7.555,0.5,3.645,3.776,3.206,3.053,4.809,3.077,4.193,4.369,3.625,3.504,5.278,3.503,4.498,4.705,3.708,3.621,5.704,3.59,3.517,3.578,5.694,3.508,4.42,4.695,3.295,3.391,5.485,3.31,4.088,4.325,3.132,3.161,5.263,3.093,3.97,4.24
4.745,1.112,0.788,3.672,3.672,1.397,0.958,1.167,-0.3,4.636,2.45,13.719,16.755,18.294,4.392,4.151,4.46,15.287,2.43,11.256,3.291,0.029,1.742,6.353,-0.907,0.823,60.663,7.843,0.526,3.567,3.695,3.157,2.966,4.754,3.004,4.103,4.272,3.565,3.408,5.232,3.419,4.397,4.608,3.61,3.479,5.63,3.461,3.41,3.412,5.529,3.365,4.219,4.476,3.193,3.246,5.323,3.175,3.933,4.174,2.958,2.957,5.142,2.902,3.709,3.961
4.125,0.995,0.753,4.664,4.664,1.416,0.936,1.385,-0.331,4.714,2.482,13.731,16.761,18.299,4.5,4.776,4.527,15.295,2.724,8.293,3.231,0.029,1.808,7.105,-2.31,5.335,64.885,8.07,0.476,3.676,3.803,3.275,2.998,4.907,3.067,4.204,4.36,3.691,3.419,5.385,3.473,4.474,4.654,3.797,3.503,5.839,3.538,3.641,3.478,5.744,3.48,4.399,4.641,3.42,3.358,5.625,3.324,4.213,4.461,3.262,3.155,5.453,3.127,3.987,4.233
6.097,0.888,0.76,4.664,4.664,1.543,0.979,1.479,-0.255,4.523,2.564,13.825,16.832,18.36,4.342,4.776,4.649,15.378,2.979,14.506,3.159,0.029,1.824,7.105,-1.479,2.188,66.913,8.709,0.476,3.58,3.69,3.245,3.001,4.882,3.061,4.071,4.214,3.645,3.415,5.35,3.459,4.282,4.442,3.741,3.481,5.727,3.517,3.609,3.451,5.747,3.457,4.276,4.494,3.394,3.29,5.648,3.276,3.971,4.176,3.212,3.041,5.359,3.048,3.84,4.063
7.388,0.909,0.706,4.664,4.664,1.423,0.937,1.389,-0.38,4.58,2.489,13.733,16.763,18.3,4.388,4.776,4.527,15.297,2.785,6.187,3.071,0.029,1.877,7.105,-1.764,3.111,62.245,8.842,0.476,3.598,3.7,3.271,2.945,4.904,3.034,4.12,4.248,3.686,3.354,5.383,3.435,4.379,4.525,3.797,3.429,5.867,3.496,3.637,3.382,5.786,3.417,4.238,4.443,3.409,3.232,5.642,3.239,4.012,4.215,3.251,3.017,5.417,3.04,3.808,4.008
